"TID","HE"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>דירוג <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>דירוג <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>דירוג <RANK></c>"
"TID_BATTLE_LOG_AGE","לפני <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","רמה"
"TID_BATTLE_LOG_TVST_VERSUS","נגד"
"TID_BATTLE_LOG_TITLE","יומן קרב"
"TID_BATTLE_LOG_REPLAY","הילוך חוזר"
"TID_BATTLE_LOG_SURVIVED_FOR","שרדו במשך <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","הביסו את הבראולר הגדול תוך <TIME>"
"TID_BATTLE_LOG_MVP","שחקן כוכב"
"TID_BATTLE_LOG_FRIENDLY","ידידותיים"
"TID_BATTLE_LOG_PVP","מדורגים"
"TID_BATTLE_LOG_NO_ENTRIES","אין כניסות"
"TID_BATTLE_LOG_THIS_IS_A_BOT","זהו בוט"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","לא ניתן לצפות בהילוכים חוזרים"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","עדיין לא ניתן לצפות בהילוכים חוזרים"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","אין אפשרות להילוך חוזר: אין מספיק פרסי בראולר"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","צריך לצבור <NUM> פרסי בראולר כדי לפתוח הילוכים חוזרים"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","אין אפשרות להילוך חוזר: ההקלטה נכשלה"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","ההילוך החוזר כבר לא זמין"
"TID_PLAYER_XP_LEVEL","רמה"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","הוספת חבר נכשלה"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","פג תוקף של קישור חבר!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","לא ניתן להוסיף חבר, רשימת החברים שלהם מלאה!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","לא ניתן להוסיף חבר, רשימת החברים שלך מלאה!"
"TID_ADD_FRIEND_FAILED_BANNED","לא ניתן להוסיף חבר, המשתמש הורחק!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> נשארו"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> טוקנים ב-<TIME>"
"TID_TOP_HUD_NEXT_REWARD","הפרס הבא"
"TID_RANK_UP_REWARD_REPLACED_TITLE","אישור פרס חלופי"
"TID_RANK_UP_REWARD_REPLACED_POWER","אף אחד מהבראולרים שלך לא יכול לקבל <AMOUNT> נקודות כוח.\n\nהאם ברצונך לקבל את הפרס החלופי במקום זאת?"
"TID_RANK_UP_REWARD_REPLACED_HERO","כבר יש לך <NAME>, לכן ניתן לך את הפרס החלופי."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","שליחת בקשת חברות"
"TID_PLAYER_INFO_REMOVE_FRIEND","הסרה מרשימת החברים"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","נשלחה בקשת חברות"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","חבר\nבתוך המשחק"
"TID_POWER_POINTS","נקודות כוח"
"TID_HERO_INFO_LEVEL","כוח"
"TID_HERO_INFO_RANK","דירוג"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","שדרוג לרמת כוח <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","יש להקיש שוב לאישור"
"TID_HERO_INFO_MAX_LEVEL","כוח מקסימלי"
"TID_HERO_INFO_MORE_POWER_NEEDED","יש לצבור עוד כוח כדי לשדרג!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","לבראולר אין מספיק נקודות כוח"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","אין לך מספיק מטבעות!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","הבראולר הגיע לרמת כוח מקסימלית!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","מתחיל את הבראולר"
"TID_HERO_INFO_STAR_POWER_EQUIP","בחירה"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","נבחר"
"TID_PLAYER_REPORTED_SUCCESSFULLY","השחקן דווח!"
"TID_TOO_MANY_REPORTS_SENT","חרגת ממגבלת הדיווח היומית"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","נא להמתין לפני שליחת דוח נוסף"
"TID_CHOOSE_CHARACTER","צריך לבחור בראולר"
"TID_ARMOR","בריאות"
"TID_ARMOR_DESC","מראה כמה נזק מצטבר הבראולר יכול לספוג לפני שהוא נופל."
"TID_SHOTGUN_GIRL","שלי"
"TID_SHOTGUN_GIRL_DESC","הרובה יורה האש של שלי מפוצץ את הקבוצה השנייה בקליעים קטלניים. תכונת הסופר שלה הורסת מקומות מחסה ומבטיחה שהאויבים שלה יישארו במרחק בטוח!"
"TID_LONG_RANGE_SHOTGUN","קליעים"
"TID_LONG_RANGE_SHOTGUN_DESC","הרובה האימתני של שלי יורה קליעים לטווח בינוני. ככל שיותר קליעים פוגעים במטרה, כך הנזק גדול יותר."
"TID_MEGA_BLASH_ULTI","סופר-פגז"
"TID_MEGA_BLASH_ULTI_DESC","תכונת הסופר-פגז של שלי משמידה גם מקומות מחסה וגם אויבים. כל הניצולים נסוגים לאחור."
"TID_GUNSLINGER","קולט"
"TID_GUNSLINGER_DESC","קולט יורה מטח כדורים מדויק מהאקדחים הכפולים שלו. תכונת הסופר שלו מרסקת מקומות מחסה ומגבירה את מטח הכדורים!"
"TID_RAPID_FIRE","אקדח אוטומטי"
"TID_RAPID_FIRE_DESC","קולט יורה מהאקדחים שלו שש יריות ישירות ארוכות טווח."
"TID_RAPID_FIRE_ULTI","סופת קליעים"
"TID_RAPID_FIRE_ULTI_DESC","קולט פולט מטח כדורים מסיבי שמגיע למרחק רב והורס מקומות מחסה."
"TID_BULL_DUDE","בול"
"TID_BULL_DUDE_DESC","בול גורם נזק אדיר בטווח קצר באמצעות הרובה שלו. בתכונת הסופר שלו הוא מסתער על מחסומים ומפיל אויבים על ימין ועל שמאל!"
"TID_SHOTGUN_BLAST","דו-קני"
"TID_SHOTGUN_BLAST_DESC","הרובה הדו-קני של בול גורם נזק כבד. הטווח שלו קצר מאוד, לכן בול אוהב ליצור קרבה אישית."
"TID_CHARGE","בולדוזר"
"TID_CHARGE_DESC","בול מרכין את ראשו וכמו בולדוזר מפלס את דרכו בין יריבים ומכשולים. תמיד הוא היה תותח!"
"TID_ROCKET_GIRL","ברוק"
"TID_ROCKET_GIRL_DESC","ברוק יורה טילים ארוכי טווח על האויב. תכונת הסופר שלו היא מטח טילים בליסטיים שהורסים מקומות מחסה!"
"TID_FIREWORKS_WEAPON","טיל מטלטל"
"TID_FIREWORKS_WEAPON_DESC","ברוק מעיף טיל מטלטל שמסוגל להגיע למרחק עצום."
"TID_FIREWORKS_ULTI","גשם של טילים"
"TID_FIREWORKS_ULTI_DESC","ברוק יורה מטח טילים שמחסל אויבים ומכשולים. הוא מת לראות אתכם מתקלחים בגשם של טילים."
"TID_TNT_DUDE","דינ-מייק"
"TID_TNT_DUDE_DESC","דינ-מייק מעיף שני מקלות דינמיט. תכונת הסופר שלו היא חבית מלאה דינמיט שמעיפה לכל הרוחות מקומות מחסה."
"TID_MORTAR","פיוז קצר"
"TID_MORTAR_DESC","מייק משליך שני מקלות דינמיט ועובר כל מכשול שעומד בדרכו. הוא טיפוס עצבני ויש לו פיוז קצר!"
"TID_MORTAR_ULTI","פצצה של חבית"
"TID_MORTAR_ULTI_DESC","האם-אימא של חביות הדינמיט! מפוצצת מקומות מחסה כמו כלום. כל אויב ששורד מחוסל על המקום."
"TID_LUCHADOR","אל פרימו"
"TID_LUCHADOR_DESC","אל פרימו מכניס מבול של אגרופים בפרצוף של היריב. תכונת הסופר שלו היא נעיצת מרפק אכזרית שגורמת נזק חמור לכל מי שנתקל בה!"
"TID_LUCHADOR_WEAPON","אגרופי הזעם"
"TID_LUCHADOR_WEAPON_DESC","אל פרימו מכניס מבול של אגרופים לוהטים. לא סתם לוהטים! כמו פלפל חריף לפנים."
"TID_LUCHADOR_ULTI","נעיצת מרפק מהשמיים"
"TID_LUCHADOR_ULTI_DESC","אל פרימו מנתר למעלה ומנחית מרפק מהגיהינום שמחסל אויבים והורס מקומות מחסה!"
"TID_TRICKSHOT_DUDE_OLD","ריקושט"
"TID_TRICKSHOT_DUDE_DESC","ריקו יורה מטחי כדורים שחוזרים כריקושט מהקירות. תכונת הסופר שלו היא מטח ארוך טווח של כדורים קופצים חודרי מטרות!"
"TID_TRICKSHOT_DUDE_WEAPON","כדורים קופצים"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","הכדורים של ריקו קופצים חזרה מהקירות ומגדילים את טווח הפגיעה. הם מסוגלים לפגוע באויב גם מאחורי מחסה."
"TID_TRICKSHOT_DUDE_ULTI","יריה מתעתעת"
"TID_TRICKSHOT_DUDE_ULTI_DESC","ריקו יורה מטח כדורים ארוך טווח המפלח את האויב, קופץ כריקושט מקירות ומגדיל את טווח הפגיעה."
"TID_CACTUS","ספייק"
"TID_CACTUS_DESC","ספייק משליך רימוני קקטוס המפזרים סיכות מעופפות ומפגין תכונת סופר מרשימה ביותר: שדה של קקטוסים קוצניים המאט את התקדמות האויב וגורם לו נזקים!"
"TID_CACTUS_WEAPON","רימון של סיכות"
"TID_CACTUS_WEAPON_DESC","ספייק משליך קקטוס קטן שמתפוצץ ויורה קוצים לכל הכיוונים."
"TID_CACTUS_ULTI","לאן אתם הולכים?"
"TID_CACTUS_ULTI_DESC","ספייק משליך רימון קוצים. האויבים נלכדים באזור המופגז, נפגעים והתקדמותם מואטת."
"TID_BARKEEP","בארלי"
"TID_BARKEEP_DESC","בארלי מתקיף באמצעות השלכת בקבוקים על האויב, הגורמים לנזק היקפי. תכונת הסופר שלו היא מטח של בקבוקי תבערה!"
"TID_BARKEEP_WEAPON","עד הסוף"
"TID_BARKEEP_WEAPON_DESC","בארלי משליך בקבוק ושובר אותו על הרצפה. האויבים נפצעים מהפיצוץ ומנזק נוסף במשך הזמן אם הם נשארים באזור."
"TID_BARKEEP_ULTI","קריאה אחרונה"
"TID_BARKEEP_ULTI_DESC","בארלי משליך מטח של בקבוקי תבערה, המעלה בלהבות אזור עצום. הנה אחד על חשבון הבית!"
"TID_MECHANIC","ג‘סי"
"TID_MECHANIC_DESC","רובה ההלם של ג‘סי יורה קליעי אנרגיה המקפצים בין האויבים. תכונת הסופר שלה היא מקלע, חמוד אבל קטלני!"
"TID_MECHANIC_WEAPON","רובה הלם"
"TID_MECHANIC_WEAPON_DESC","ג‘סי יורה קליעי אנרגיה. לאחר שהקליע פוגע במטרה הוא קופץ ועובר למטרה הבאה בסביבה, וכך פוגע בשלושה אויבים."
"TID_MECHANIC_ULTI","מתקפה נחושה!"
"TID_MECHANIC_ULTI_DESC","ג‘סי מפעילה מקלע שיורה אוטומטית על האויב: הוא עשוי מ-100% חומרים ממוחזרים!"
"TID_SHAMAN","ניטה"
"TID_SHAMAN_DESC","ניטה מכה באויבים שלה באמצעות גלי הלם רועמים. תכונת הסופר שלה מזמנת דוב ענקי שנלחם לצידה!"
"TID_SHAMAN_WEAPON","שברים ורסיסים"
"TID_SHAMAN_WEAPON_DESC","ניטה משגרת גל הלם הפוגע באויב שנלכד בטווח הרטט שלו."
"TID_SHAMAN_ULTI","הדוב הטוב"
"TID_SHAMAN_ULTI_DESC","ניטה מזמנת את רוחו של הדובון הגדול כדי שיצוד את אויביה."
"TID_UNDERTAKER","מורטיס"
"TID_UNDERTAKER_DESC","מורטיס מזנק קדימה עם כל הינף של את החפירה שלו. תכונת הסופר שלו היא שיגור ענן של עטלפים כדי לפגוע באויביו ולרפא את עצמו!"
"TID_UNDERTAKER_WEAPON","עת להניף את האת"
"TID_UNDERTAKER_WEAPON_DESC","מורטיס מזנק קדימה עם כל הינף של את החפירה שלו ומייצר אפשרויות עסקיות לעצמו."
"TID_UNDERTAKER_ULTI","תמצית החיים"
"TID_UNDERTAKER_ULTI_DESC","מורטיס משגר נחיל עטלפים אשר מצד אחד שואב את חיוניותם של אויביו ומצד שני מפיח בעצמו רוח חיים."
"TID_CROW","קרואו"
"TID_CROW_DESC","קרואו זורק שלישיית פגיונות מורעלים. תכונת הסופר שלו מאפשרת לו לזנק ולנחות תוך כדי שהוא זורק עוד פגיונות!"
"TID_CROW_WEAPON","אולר"
"TID_CROW_WEAPON_DESC","קרואו משליך איום משולש של פגיונות. אויבים שנפגעים מהלהבים המורעלים יצברו נזק לאורך זמן."
"TID_CROW_ULTI","הסתערות"
"TID_CROW_ULTI_DESC","קרואו עף לשמיים מוקף בטבעת של פגיונות מורעלים, בהמראה וגם בנחיתה."
"TID_DEAD_MARIACHI","פוקו"
"TID_DEAD_MARIACHI_DESC","פוקו יורה גלי קול מזיקים לעבר האויבים שלו. תכונת הסופר שלו מרפאת את עצמו וגם את חבריו לקבוצה!"
"TID_DEAD_MARIACHI_WEAPON","אקורד מנצח"
"TID_DEAD_MARIACHI_WEAPON_DESC","פוקו פורט על הגיטרה ומפיץ גלי קול מסמרי שיער, וכך מסב נזק לאויבים."
"TID_DEAD_MARIACHI_ULTI","הדרן"
"TID_DEAD_MARIACHI_ULTI_DESC","פוקו מרפא את עצמו ואת כל החברים שבסביבה עם המנגינה העליזה שלו. זה לא משפיע על האויבים."
"TID_BOW_DUDE","בו"
"TID_BOW_DUDE_DESC","בו יורה שלושה חיצים מתפוצצים אל עבר המטרות שלו. תכונת הסופר שלו היא להטמין שלושה מוקשים באדמה!"
"TID_BOW_DUDE_WEAPON","עיני נץ"
"TID_BOW_DUDE_WEAPON_DESC","בו משחרר שלושה חיצים מתפוצצים שקורעים את אויביו לגזרים כמו ציפורני עוף דורס."
"TID_BOW_DUDE_ULTI","תפוס שועל"
"TID_BOW_DUDE_ULTI_DESC","בו מסתיר מלכודות מתפוצצות באדמה. כשהאויב מפעיל אותן, הן מתפוצצות אחרי זמן קצר, מעיפות את האויבים ומסיבות להם נזק."
"TID_SNIPER","פייפר"
"TID_SNIPER_DESC","הצליפות של פייפר מזיקות יותר ככל שהן מגיעות ממרחק גדול יותר. תכונת הסופר שלה היא לזרוק רימון ממש במקום שבו היא עומדת ולעוף משם תוך שנייה!"
"TID_SNIPER_WEAPON","מטריית צלפים"
"TID_SNIPER_WEAPON_DESC","פייפר יורה מקצה השמשייה שלה. הירייה צוברת תאוצה ככל שהיא מכוונת רחוק יותר!"
"TID_SNIPER_ULTI","איזה פיצוץ"
"TID_SNIPER_ULTI_DESC","פייפר מתרחקת בקפיצה ממחזרים שתלטנים, אבל היא משאירה להם מתנה: רימונים חיים מהבירית שלה!"
"TID_MINIGUN_DUDE","פאם"
"TID_MINIGUN_DUDE_DESC","פאם יורה בלי לחשוב פעמיים ומעיפה רסיסים לכל עבר. תכונת הסופר שלה היא צריח מרפא שמחזיר חיים לה ולחברי הקבוצה!"
"TID_MINIGUN_DUDE_WEAPON","סופת שאריות"
"TID_MINIGUN_DUDE_WEAPON_DESC","פאם מעיפה שאריות מתכת על אזור גדול. מומלץ להרכיב משקפי מגן!"
"TID_MINIGUN_DUDE_ULTI","נשיקה של אימא"
"TID_MINIGUN_DUDE_ULTI_DESC","צריח המרפא של פאם עוזר לה וגם לחברי הקבוצה שנשארים בטווח ההשפעה שלו."
"TID_BONE_THROWER","זורק עצמות"
"TID_BONE_THROWER_DESC","חתיכת תותחן! עם המקלע הענק שלו, מיניגאנר מוריד כמויות של אויבים במכה. (מהירותו איטית, חסין מדחיפה לאחור)"
"TID_BONE_THROWER_WEAPON","מיני-מקלע"
"TID_BONE_THROWER_WEAPON_DESC","מיניגאנר מפעיל את המקלע הענק הזה בקלות. הוא אפילו מסוגל ללכת בזמן שהוא יורה בו במצב אוטומטי!"
"TID_BONE_THROWER_ULTI","ערכת עזרה ראשונה"
"TID_BONE_THROWER_ULTI_DESC","בקרב יריות לפעמים חוטפים פציעות שטחיות. ערכת העזרה הראשונה עוזרת לקבוצה שלך להמשיך להילחם!"
"TID_BLACK_HOLE","טארה"
"TID_BLACK_HOLE_DESC","מתקפת קלפי הטארוט המשולשת של טארה חודרת את קווי ההגנה של האויב. תכונת הסופר שלה היא חור שחור ששואב את כל האויבים שבסביבה וגורם לנזק!"
"TID_BLACK_HOLE_WEAPON","שלושה קלפי טארוט"
"TID_BLACK_HOLE_WEAPON_DESC","טארה משתמשת בזריזות ידיים כדי להעיף על האויבים שלושה קלפי טארוט. טריק שווה!"
"TID_BLACK_HOLE_ULTI","כוח משיכה"
"TID_BLACK_HOLE_ULTI_DESC","טארה מפעילה כוח משיכה מוגבר שמושך את האויבים שבסביבה וגורם להם להתנגש אחד בשני בעוצמה רבה!"
"TID_TURRET_DAMAGE","נזק צריח"
"TID_TURRET_HEALTH","חיי צריח"
"TID_STAT_DAMAGE_PER_SECOND","נזק בכל שנייה"
"TID_STAT_DAMAGE_PER_SECOND_EACH","נזק בכל שנייה"
"TID_STAT_DAMAGE_PER_STRIKE","נזק מכל אגרוף"
"TID_ROBOT","סגן איירונס"
"TID_ROBOT_DESC","בנוי לשרת. עם רישיון להרוס."
"TID_ROBOT_WEAPON","צליפת טילים"
"TID_ROBOT_WEAPON_DESC","סגן איירונס יורה טיל מתפוצץ לטווח מטורף עם דיוק של מכונה."
"TID_ROBOT_ULTI","שליטה על הקהל"
"TID_ROBOT_ULTI_DESC","כשיש צורך באמצעים קיצוניים, סגן איירונס מסוגל להוריד גשם של טילים על הקהל הסורר."
"TID_ARMOR_STAT","בריאות"
"TID_HEALTH","בריאות"
"TID_STAT_GRENADE_DAMAGE","נזק מכל רימון"
"TID_STAT_MISSILE_DAMAGE","נזק מכל טיל"
"TID_STAT_HEALTH","נקודות פגיעה"
"TID_STAT_SPEED","מהירות"
"TID_STAT_DAMAGE","נזק"
"TID_STAT_DAMAGE_PER_SHOT","נזק מכל קליע"
"TID_STAT_DAMAGE_PER_SHELL","נזק מכל פגז"
"TID_STAT_HAMMER_DAMAGE","נזק בכל 0.2 שניות"
"TID_BATTLE","משחק"
"TID_QUIT","יציאה"
"TID_MATCHMAKING_QUIT","יציאה"
"TID_MATCHMAKING_HEADING","מחפש שחקנים"
"TID_MATCHMAKING_TIME_LABEL","המשחק מתחיל בעוד:"
"TID_MATCHMAKING_PLAYERS","נמצאו שחקנים <x>/<y>"
"TID_BUTTON_CANCEL","ביטול"
"TID_BUTTON_OK","אישור"
"TID_ENTER_NAME_TITLE","ברוכים הבאים ל-Brawl Stars!"
"TID_ENTER_NAME_BODY","מה שמך?"
"TID_TIME_DAYS","ימים"
"TID_TIME_HOURS","שע'"
"TID_TIME_MINS","דק'"
"TID_TIME_SECS","שנ'"
"TID_MATCHMAKING_TIME","זמן תחילת המשחק <TIME>"
"TID_SUPERCELL_ID_TITLE","מזהה Supercell"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","מחובר"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","התחברות"
"TID_SUPERCELL_ID_LOGIN_BUTTON","כניסה"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","משחק בלי"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","האם ברצונך לטעון התקדמות אחרת עם רמת ניסיון <number>? יש לטעון אותה באמצעות כניסה עם מזהה Supercell שלך."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","שגיאה!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","לקוח ושרת לא מסונכרנים!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","טעינת המשחק מחדש"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","שגיאת חיבור"
"TID_ERROR_POP_UP_CONNECTION_FAILED","לא ניתן להתחבר לשרת. יש לבדוק את חיבור האינטרנט שלך ולנסות שוב."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","ניסיון מחדש"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","התחברות נכשלה"
"TID_ERROR_POP_UP_LOGIN_FAILED","נא לנסות שוב מאוחר יותר."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","ניסיון מחדש"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","יש כאן מישהו?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","יש ללחוץ על הלחצן בהמשך כדי לטעון את המשחק מחדש."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","טעינת המשחק מחדש"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","יש עדכון זמין!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","חדשות טובות! גרסה חדשה של Brawl Stars זמינה."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","עדכון"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","עבודות תחזוקה"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","מצטערים, מתבצעות עבודות תחזוקה בשרתים. נא לנסות שוב מאוחר יותר."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","ניסיון מחדש"
"TID_ERROR_POP_UP_BANNED_TITLE","נחסמת!"
"TID_ERROR_POP_UP_BANNED","נחסמת באופן זמני"
"TID_ERROR_POP_UP_BANNED_BUTTON","אישור"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","צור קשר עם התמיכה"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","מידע נוסף"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","הודעה חשובה"
"TID_INFO_POP_UP_IAP_NOTE","ניתן לשחק ב-Brawl Stars בחינם, אבל אפשר להאיץ את ההתקדמות באמצעות רכישות בתוך היישום (באפשרותך להשבית את זה בהגדרות המכשיר שלך). יש להקיש על אישור כדי לקבל את מדיניות הפרטיות והתנאים שלנו."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","אישור"
"TID_SERVER_ERROR_TITLE","שגיאת שרת <number>"
"TID_SERVER_ERROR","נותקת במהלך הקרב."
"TID_SERVER_ERROR_BUTTON","אישור"
"TID_COME_BACK_NOTIFICATION_SMALL","רוצה עוד קרב?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","רוצה עוד קרב?"
"TID_COME_BACK_NOTIFICATION_LARGE","רוצה עוד קרב?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","חיבור אבד"
"TID_ERROR_POP_UP_CONNECTION_LOST","נא לנסות להיכנס מחדש!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","ניסיון כניסה מחדש"
"TID_TROPHIES","גביעים"
"TID_PRACTICE","אימון"
"TID_READY","מוכנים"
"TID_BATTLE_END_TITLE_VICTORY","ניצחון!"
"TID_BATTLE_END_TITLE_DEFEAT","תבוסה"
"TID_BATTLE_END_TITLE_DRAW","תיקו"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","שרדו במשך <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","שיחקת אותה מספר 1!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","דירוג: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","המשחק הסתיים בתיקו כי שתי הקבוצות צברו מספר זהה של יהלומים!"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","הבראולר הגדול הובס תוך <TIME>"
