"Name","Disabled","FileName","BackgroundFile","FallBackMusic","Volume","Loop","PlayCount","FadeOutTimeSec","DurationSec","MovieClipFrameLabel"
,,"music/background/military_lase_tag_ingame_02.ogg","TRUE",,70,"true",,,60,
"Xmas_Pirate_Menu","true","music/brawl_pirate_menu_01.ogg",,,60,"true",,,67,
"Pirate_Brawl_Ingame","true","music/pirate_brawl_ingame_01.ogg",,,70,"true",,,63,
"MenuMusic",,"music/brawl_stars_menu_01.ogg",,,60,"true",,,153,
"MechMenuMusic","true","music/mech_menu_01.ogg",,,60,"true",,,78,
"Cnymenu_music","true","music/background/cny_brawl_menu_01.ogg","TRUE","Action_Western_Menu",60,"true",,,178,
"Brawl_royale_menu_music","true","music/royale_brawl_menu_01.ogg",,,60,"true",,,91,
"Brawl_dawgs_menu","true","music/brawl_dawgs_menu_01.ogg",,,60,"true",,,95,
"Xmas_menu","true","music/brawlmass_01.ogg",,,60,"true",,,85,
"10th_Anniversary_Menu","true","music/brawl_original_menu_01.ogg",,,60,"true",,,124,
"WinJingle",,"music/slugfest_game_won_01.ogg",,,80,,1,,,
"LoseJingle",,"music/slugfest_game_lost_01.ogg",,,70,,1,,,
"DrawJingle",,"music/laser_game_draw_01.ogg",,,70,,1,,,
"Win_loop",,"music/win_screen_loop_4x_01.ogg",,,60,"true",,,30,
"Draw_loop",,"music/draw_screen_loop_4x_01.ogg",,,60,"true",,,34,
"Lose_loop",,"music/lose_screen_loop_4x_01.ogg",,,60,"true",,,28,
"Brawlbawl_goal",,"music/brawl_goal_02.ogg",,,80,,1,,,
"Brawlbawl_other_goal",,"music/brawl_other_goal_01.ogg",,,80,,1,,,
"30_sec_panic",,"music/brawl_panic_time_01.ogg",,,75,"true",,,30,
"Brawl_xmas_flag_win",,"music/brawl_xmas_flag_win_01.ogg",,,70,,1,,,
"Brawl_xmas_flag_lose",,"music/brawl_xmas_flag_lose_01.ogg",,,70,,1,,,
"Snowtel_Menu","true","music/snowtel_menu_01.ogg",,,60,"true",,,60,
"Snowtel_Ingame","true","music/snowtel_ingame_01.ogg",,,70,"true",,,69,
"Ranked_pick",,"music/bs_nerd_mode_01.ogg",,,60,"true",,,67,
"Golden_Week_Menu","true","music/background/golden_paw_stars_01.ogg","TRUE","Action_Western_Menu",60,"true",,,81,
"Action_Western_Menu",,"music/action_western_stars_01.ogg",,,60,"true",,,72,
"Action_Western_Ingame","true","music/rooty_tooty_ingame_01.ogg",,,70,"true",,,61,
"Basketbrawl_goal",,"music/brawl_score_point_01.ogg",,,80,,1,,,
"Basketbrawl_other_goal",,"music/brawl_other_point_01.ogg",,,80,,1,,,
"Volleybrawl_goal",,"music/brawl_score_point_01.ogg",,,80,,1,,,
"Volleybrawl_other_goal",,"music/brawl_other_point_01.ogg",,,80,,1,,,
"Summer_Brawl_Menu_Muzak","true","music/brawl_dinobeach_menu_01.ogg",,,60,"true",,,54,
"Summer_Brawl_Ingame_Music","true","music/brawl_dinobeach_ingame_01.ogg",,,70,"true",,,72,
"Punk_Brawl_Menu","true","music/brawl_punk_menu_01.ogg",,,70,"true",,,75,
"Fairytale_Menu","true","music/brawl_fairytale_menu_01.ogg",,,60,"true",,,57,
"Courtyard_Ingame","true","music/brawl_castle_ingame_01.ogg",,,70,"true",,,67,
"Brawlywood_Ingame","true","music/brawlywood_ingame_01.ogg",,,70,"true",,,82,
"Brawlywood_Menu","true","music/brawlywood_menu_01.ogg",,,60,"true",,,52,
"Retro_Fight_Menu",,"music/retro_fighting_menu_01.ogg",,,60,"true",,,90,
"Retro_Fight_Ingame",,"music/retro_fight_ingame_01.ogg",,,70,"true",,,62,
"Biodome_Menu",,"music/biodome_menu_01.ogg",,,60,"true",,,66,
"Biodome_Ingame",,"music/biodome_ingame_01.ogg",,,70,"true",,,66,
