"Name","Disabled","DisabledCN","IconSWF","IconExportName","Character","Skin","GiveOnSkinUnlock","IsPicto","BattleCategory","Rarity","EmoteType","SoundEffect","SfxIndex","LockedForChronos","EmoteBundles","IsDefaultBattleEmote","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","ExtraCatalogCampaign","HideFromCatalogRarityCategory"
"emoji_happy","","","sc/ui.sc","emoji_happy","","","","","HAPPY","DEFAULT","HAPPY","","","","","TRUE","","","","","","",""
"emoji_jacky","","","sc/ui.sc","emoji_jacky","Driller","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Jackie_Start_VO","0","","","","","","","","","",""
"emoji_jacky_angry","","","sc/ui.sc","emoji_jacky_angry","Driller","","","","ANGRY","COMMON","ANGRY","Jackie_Die_VO","3","","","","375","9","","","","",""
"emoji_jacky_gg","","","sc/ui.sc","emoji_jacky_gg","Driller","","","","SPECIAL","RARE","GG","Jackie_Kill_VO","0","","","","750","19","","","","",""
"emoji_jacky_sad","","","sc/ui.sc","emoji_jacky_sad","Driller","","","","SAD","COMMON","SAD","Jackie_Hurt_VO","0","","","","375","9","","","","",""
"emoji_jacky_thanks","","","sc/ui.sc","emoji_jacky_thanks","Driller","","","","SPECIAL","EPIC","THANKS","Jackie_Ulti_VO","4","","","","1500","39","","","","",""
"emoji_jessie","","","sc/ui.sc","emoji_jessie","Mechanic","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Jess_start","3","","","","","","","","","",""
"emoji_jessie_angry","","","sc/ui.sc","emoji_jessie_angry","Mechanic","","","","ANGRY","COMMON","ANGRY","Jess_takedamage","3","","","","375","9","","","","",""
"emoji_jessie_gg","","","sc/ui.sc","emoji_jessie_gg","Mechanic","","","","SPECIAL","RARE","GG","Jess_lead","3","","","","750","19","","","","",""
"emoji_jessie_sad","","","sc/ui.sc","emoji_jessie_sad","Mechanic","","","","SAD","COMMON","SAD","Jess_die","3","","","","375","9","","","","",""
"emoji_jessie_thanks","","","sc/ui.sc","emoji_jessie_thanks","Mechanic","","","","SPECIAL","EPIC","THANKS","Jess_ulti","2","","","","1500","39","","","","",""
"emoji_laugh","","","sc/ui.sc","emoji_laugh","","","","","PLAYER_1","DEFAULT","HAPPY","","","","","TRUE","","","","","","",""
"emoji_leon","","","sc/ui.sc","emoji_leon","Ninja","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Leon_start_vo","2","","","","","","","","","",""
"emoji_leon_angry","","","sc/ui.sc","emoji_leon_angry","Ninja","","","","ANGRY","COMMON","ANGRY","Leon_hurt_vo","3","","","","375","9","","","","",""
"emoji_leon_gg","","","sc/ui.sc","emoji_leon_gg","Ninja","","","","SPECIAL","RARE","GG","Leon_kill_vo","0","","","","750","19","","","","",""
"emoji_leon_sad","","","sc/ui.sc","emoji_leon_sad","Ninja","","","","SAD","COMMON","SAD","Leon_die_vo","0","","","","375","9","","","","",""
"emoji_leon_thanks","","","sc/ui.sc","emoji_leon_thanks","Ninja","","","","SPECIAL","EPIC","THANKS","Leon_ulti_vo","0","","","","1500","39","","","","",""
"emoji_mortis","","","sc/ui.sc","emoji_mortis","Undertaker","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Mortis_start","3","","","","","","","","","",""
"emoji_mortis_angry","","","sc/ui.sc","emoji_mortis_angry","Undertaker","","","","ANGRY","COMMON","ANGRY","Mortis_hurt","2","","","","375","9","","","","",""
"emoji_mortis_gg","","","sc/ui.sc","emoji_mortis_gg","Undertaker","","","","SPECIAL","RARE","GG","Mortis_kill","3","","","","750","19","","","","",""
"emoji_mortis_sad","","","sc/ui.sc","emoji_mortis_sad","Undertaker","","","","SAD","COMMON","SAD","Mortis_die","2","","","","375","9","","","","",""
"emoji_mortis_thanks","","","sc/ui.sc","emoji_mortis_thanks","Undertaker","","","","SPECIAL","EPIC","THANKS","Mortis_ulti_vo","2","","","","1500","39","","","","",""
"emoji_nita","","","sc/ui.sc","emoji_nita","Shaman","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Nita_start","0","","","","","","","","","",""
"emoji_nita_angry","","","sc/ui.sc","emoji_nita_angry","Shaman","","","","ANGRY","COMMON","ANGRY","Nita_hurt","1","","","","375","9","","","","",""
"emoji_nita_gg","","","sc/ui.sc","emoji_nita_gg","Shaman","","","","SPECIAL","RARE","GG","Nita_lead","1","","","","750","19","","","","",""
"emoji_nita_sad","","","sc/ui.sc","emoji_nita_sad","Shaman","","","","SAD","COMMON","SAD","Nita_death","0","","","","375","9","","","","",""
"emoji_nita_thanks","","","sc/ui.sc","emoji_nita_thanks","Shaman","","","","SPECIAL","EPIC","THANKS","Nita_ulti","1","","","","1500","39","","","","",""
"emoji_pam","","","sc/ui.sc","emoji_pam","MinigunDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Pam_start","2","","","","","","","","","",""
"emoji_pam_angry","","","sc/ui.sc","emoji_pam_angry","MinigunDude","","","","ANGRY","COMMON","ANGRY","Pam_die","0","","","","375","9","","","","",""
"emoji_pam_gg","","","sc/ui.sc","emoji_pam_gg","MinigunDude","","","","SPECIAL","RARE","GG","Pam_ulti","1","","","","750","19","","","","",""
"emoji_pam_sad","","","sc/ui.sc","emoji_pam_sad","MinigunDude","","","","SAD","COMMON","SAD","Pam_hurt","4","","","","375","9","","","","",""
"emoji_pam_thanks","","","sc/ui.sc","emoji_pam_thanks","MinigunDude","","","","SPECIAL","EPIC","THANKS","Pam_start","3","","","","1500","39","","","","",""
"emoji_penny","","","sc/ui.sc","emoji_penny","ArtilleryDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Penny_start","0","","","","","","","","","",""
"emoji_penny_angry","","","sc/ui.sc","emoji_penny_angry","ArtilleryDude","","","","ANGRY","COMMON","ANGRY","Penny_takedamage","0","","","","375","9","","","","",""
"emoji_penny_gg","","","sc/ui.sc","emoji_penny_gg","ArtilleryDude","","","","SPECIAL","RARE","GG","Penny_lead","0","","LoginCalendarPenny1","","750","19","","","","",""
"emoji_penny_sad","","","sc/ui.sc","emoji_penny_sad","ArtilleryDude","","","","SAD","COMMON","SAD","Penny_die","0","","","","375","9","","","","",""
"emoji_penny_thanks","","","sc/ui.sc","emoji_penny_thanks","ArtilleryDude","","","","SPECIAL","EPIC","THANKS","Penny_takedamage","1","","LoginCalendarPenny2","","1500","39","","","","",""
"emoji_piper","","","sc/ui.sc","emoji_piper","Sniper","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Piper_Start","0","","","","","","","","","",""
"emoji_piper_angry","","","sc/ui.sc","emoji_piper_angry","Sniper","","","","ANGRY","COMMON","ANGRY","Piper_Takedamage","1","","","","375","9","","","","",""
"emoji_piper_gg","","","sc/ui.sc","emoji_piper_gg","Sniper","","","","SPECIAL","RARE","GG","Piper_Lead","0","","","","750","19","","","","",""
"emoji_piper_sad","","","sc/ui.sc","emoji_piper_sad","Sniper","","","","SAD","COMMON","SAD","Piper_Die","1","","","","375","9","","","","",""
"emoji_piper_thanks","","","sc/ui.sc","emoji_piper_thanks","Sniper","","","","SPECIAL","EPIC","THANKS","Piper_Kill","1","","","","1500","39","","","","",""
"emoji_poco","","","sc/ui.sc","emoji_poco","DeadMariachi","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Poco_start","3","","","","","","","","","",""
"emoji_poco_angry","","","sc/ui.sc","emoji_poco_angry","DeadMariachi","","","","ANGRY","COMMON","ANGRY","Poco_die","1","","","","375","9","","","","",""
"emoji_poco_gg","","","sc/ui.sc","emoji_poco_gg","DeadMariachi","","","","SPECIAL","RARE","GG","Poco_lead","2","","","","750","19","","","","",""
"emoji_poco_sad","","","sc/ui.sc","emoji_poco_sad","DeadMariachi","","","","SAD","COMMON","SAD","Poco_hurt","3","","","","375","9","","","","",""
"emoji_poco_thanks","","","sc/ui.sc","emoji_poco_thanks","DeadMariachi","","","","SPECIAL","EPIC","THANKS","Poco_start","2","","","","1500","39","","","","",""
"emoji_primo","","","sc/ui.sc","emoji_primo","Luchador","","","TRUE","DEFAULT","DEFAULT","DEFAULT","El_primo_start","1","","","","","","","","","",""
"emoji_primo_angry","","","sc/ui.sc","emoji_primo_angry","Luchador","","","","ANGRY","COMMON","ANGRY","El_primo_hurt","3","","","","375","9","","","","",""
"emoji_primo_gg","","","sc/ui.sc","emoji_primo_gg","Luchador","","","","SPECIAL","RARE","GG","El_primo_kill","1","","","","750","19","","","","",""
"emoji_primo_sad","","","sc/ui.sc","emoji_primo_sad","Luchador","","","","SAD","COMMON","SAD","El_primo_die","0","","","","375","9","","","","",""
"emoji_primo_thanks","","","sc/ui.sc","emoji_primo_thanks","Luchador","","","","SPECIAL","EPIC","THANKS","El_primo_start","5","","","","1500","39","","","","",""
"emoji_rage","","","sc/ui.sc","emoji_rage","","","","","ANGRY","DEFAULT","ANGRY","","","","","TRUE","","","","","","",""
"emoji_rico","","","sc/ui.sc","emoji_rico","TrickshotDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Rick_start","2","","","","","","","","","",""
"emoji_rico_angry","","","sc/ui.sc","emoji_rico_angry","TrickshotDude","","","","ANGRY","COMMON","ANGRY","Rick_hurt","4","","","","375","9","","","","",""
"emoji_rico_gg","","","sc/ui.sc","emoji_rico_gg","TrickshotDude","","","","SPECIAL","RARE","GG","Rick_kill","5","","","","750","19","","","","",""
"emoji_rico_sad","","","sc/ui.sc","emoji_rico_sad","TrickshotDude","","","","SAD","COMMON","SAD","Rick_die","0","","","","375","9","","","","",""
"emoji_rico_thanks","","","sc/ui.sc","emoji_rico_thanks","TrickshotDude","","","","SPECIAL","EPIC","THANKS","Rick_start","4","","","","1500","39","","","","",""
"emoji_rosa","","","sc/ui.sc","emoji_rosa","Rosa","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Rosa_start","0","","","","","","","","","",""
"emoji_rosa_angry","","","sc/ui.sc","emoji_rosa_angry","Rosa","","","","ANGRY","COMMON","ANGRY","Rosa_die","1","","","","375","9","","","","",""
"emoji_rosa_gg","","","sc/ui.sc","emoji_rosa_gg","Rosa","","","","SPECIAL","RARE","GG","Rosa_ulti_vo","0","","","","750","19","","","","",""
"emoji_rosa_sad","","","sc/ui.sc","emoji_rosa_sad","Rosa","","","","SAD","COMMON","SAD","Rosa_die","2","","","","375","9","","","","",""
"emoji_rosa_thanks","","","sc/ui.sc","emoji_rosa_thanks","Rosa","","","","SPECIAL","EPIC","THANKS","Rosa_lead","2","","","","1500","39","","","","",""
"emoji_sad","","","sc/ui.sc","emoji_sad","","","","","SAD","DEFAULT","SAD","","","","","TRUE","","","","","","",""
"emoji_sandy","","","sc/ui.sc","emoji_sandy","Sandstorm","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Sandy_start_vo","0","","","","","","","","","",""
"emoji_sandy_angry","","","sc/ui.sc","emoji_sandy_angry","Sandstorm","","","","ANGRY","COMMON","ANGRY","Sandy_hurt_vo","1","","","","375","9","","","","",""
"emoji_sandy_gg","","","sc/ui.sc","emoji_sandy_gg","Sandstorm","","","","SPECIAL","RARE","GG","Sandy_kill_vo","0","","","","750","19","","","","",""
"emoji_sandy_sad","","","sc/ui.sc","emoji_sandy_sad","Sandstorm","","","","SAD","COMMON","SAD","Sandy_die_vo","2","","","","375","9","","","","",""
"emoji_sandy_thanks","","","sc/ui.sc","emoji_sandy_thanks","Sandstorm","","","","SPECIAL","EPIC","THANKS","Sandy_kill_vo","1","","","","1500","39","","","","",""
"emoji_shelly","","","sc/ui.sc","emoji_shelly","ShotgunGirl","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Shelly_Start","3","","","","","","","","","",""
"emoji_shelly_angry","","","sc/ui.sc","emoji_shelly_angry","ShotgunGirl","","","","ANGRY","COMMON","ANGRY","Shelly_Die","3","","","","375","9","","","","",""
"emoji_shelly_gg","","","sc/ui.sc","emoji_shelly_gg","ShotgunGirl","","","","SPECIAL","RARE","GG","Shelly_Lead","0","","","","750","19","","","","",""
"emoji_shelly_sad","","","sc/ui.sc","emoji_shelly_sad","ShotgunGirl","","","","SAD","COMMON","SAD","Shelly_Die","0","","","","375","9","","","","",""
"emoji_shelly_thanks","","","sc/ui.sc","emoji_shelly_thanks","ShotgunGirl","","","","SPECIAL","EPIC","THANKS","Shelly_Lead","3","","","","1500","39","","","","",""
"emoji_shocked","","","sc/ui.sc","emoji_shocked","","","","","SAD","DEFAULT","SAD","","","","","","","","","","","",""
"emoji_smile","","","sc/ui.sc","emoji_smile","","","","","HAPPY","DEFAULT","HAPPY","","","","","TRUE","","","","","","",""
"emoji_speechless","","","sc/ui.sc","emoji_speechless","","","","","SAD","DEFAULT","SAD","","","","","","","","","","","",""
"emoji_spike","","","sc/ui.sc","emoji_spike","Cactus","","","TRUE","DEFAULT","DEFAULT","DEFAULT","","","","","","","","","","","",""
"emoji_spike_angry","","","sc/ui.sc","emoji_spike_angry","Cactus","","","","ANGRY","COMMON","ANGRY","","","","","","375","9","","","","",""
"emoji_spike_gg","","","sc/ui.sc","emoji_spike_gg","Cactus","","","","SPECIAL","RARE","GG","","","","","","750","19","","","","",""
"emoji_spike_sad","","","sc/ui.sc","emoji_spike_sad","Cactus","","","","SAD","COMMON","SAD","","","","","","375","9","","","","",""
"emoji_spike_thanks","","","sc/ui.sc","emoji_spike_thanks","Cactus","","","","SPECIAL","EPIC","THANKS","","","","","","1500","39","","","","",""
"emoji_sprout","","","sc/ui.sc","emoji_sprout","Wally","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Sprout_Start_VO","0","","","","","","","","","",""
"emoji_sprout_angry","","","sc/ui.sc","emoji_sprout_angry","Wally","","","","ANGRY","COMMON","ANGRY","Sprout_Die_VO","1","","","","375","9","","","","",""
"emoji_sprout_gg","","","sc/ui.sc","emoji_sprout_gg","Wally","","","","SPECIAL","RARE","GG","Sprout_Lead_VO","0","","","","750","19","","","","",""
"emoji_sprout_sad","","","sc/ui.sc","emoji_sprout_sad","Wally","","","","SAD","COMMON","SAD","Sprout_Hurt_VO","2","","","","375","9","","","","",""
