TID,AR
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,أنجزت التحدي!
TID_CC_POPUP_CHALLENGE_OVER,انتهى التحدي
TID_CC_POPUP_OUT_OF_LIVES,نفدت كل المحاولات
TID_CC_POPUP_BUY_LIVES,أتريد شراء <NUM> إضافية؟
TID_CC_POPUP_COMPLETED,تم إنجاز التحدي
TID_CC_POPUP_LEVEL,المرحلة <LEVEL>
TID_CC_POPUP_WIN,انتصار
TID_CC_POPUP_LOSSES,الخسائر
TID_QUALIFIED_TITLE,فتحت مباراة التأهل عبر الإنترنت
TID_QUALIFIED_INFO,هائل! لقد فزت في تحدي البطولة!\n\nلمتابعة مسيرتك نحو بطولة Brawl Stars، انتقل إلى <cFFE400><URL></c>
TID_QUALIFIED_INFO_HUB,هائل! لقد فزت في تحدي البطولة! مدهش!\n\nلمتابعة مسيرتك في بطولة Brawl Stars، انتقل إلى قسم ESPORTS الجديد في الشاشة الرئيسية.
TID_QUALIFIED_INFO_PSG,هنيئًا! فزت بـ PSG CUP! وفتحت مظهر شيلي PSG!
TID_QUALIFIED_GO,البدء
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,تحدي البطولة
TID_BATTLE_END_CC_WIN_LABEL,مكافأة الانتصار #<AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,انتهى التحدي\nحظًا أفضل في المرة القادمة!
TID_BATTLE_END_CC_DEFEAT_1,أمامك خسارة واحدة وبعدها سيتم إقصاؤك. واصل القتال!
TID_BATTLE_END_CC_DEFEAT_2,خسرت هذه المعركة، لكن بإمكانك الاستمرار.
TID_BATTLE_END_CC_DRAW_DESC,العب مجددًا للفوز!
TID_BATTLE_END_CC_QUALIFY_LABEL,تأهلت!
TID_BATTLE_END_CC_QUALIFY_INFO,تهانينا! لقد تأهلت للمرحلة التالية من بطولة Brawl Stars.\nاطّلع على بريدك الوارد لمزيد من المعلومات.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,مكافآت دوري التكتيكات الهجومية
TID_PRO_LEAGUE_INFO_POPUP_INFO,تعتمد هذه المكافأة على\nنقاطك النهائية.
TID_PRO_LEAGUE_INFO_POPUP_RANK,الترتيب
TID_PRO_LEAGUE_INFO_POPUP_POINTS,النقاط
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,مكافأة إضافية على بلوغك\nقمة لوحة الصدارة العالمية.
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,مكافآت نهاية دوري التكتيكات الهجومية
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,لوحة صدارة الدوري
TID_PRO_LEAGUE_SEASON_END_TIME,ينتهي الدوري بعد
TID_PRO_LEAGUE_POPUP_TITLE,التكتيكات الهجومية
TID_EVENT_LABEL_PRO_LEAGUE,التكتيكات الهجومية
TID_PRO_LEAGUE_POPUP_INFO,اختبر مهاراتك في موسم التكتيكات الهجومية. شارك في 3 مواجهات يومية لتسلق لوحة صدارة الدوري. ستحصل عند نهاية الدوري على نقاط نجوم بناءً على نقاطك وعلى ترتيبك في لوحة صدارة الدوري العالمية.
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,الدوري الحالي
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,الدوري السابق
TID_PRO_LEAGUE_LABEL,التكتيكات الهجومية
TID_TEAM_ERROR_38,اختر بطلاً بمستوى قوة 10!
TID_TEAM_ERROR_39,انتهت مواجهات 'التكتيكات الهجومية' لهذا اليوم.
TID_PRO_LEAGUE_GAMES,المعارك المتبقية: <GAMESLEFT>/<MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,انتهى دوري التكتيكات الهجومية
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,نقاطك
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,ترتيبك
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,مكافأة نقاط النجوم
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,مكافأة دوري التكتيكات الهجومية: فزت بـ <AMOUNT> من <cff00ff>نقاط النجوم</c>.
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,انتصار استثنائي (3 نقاط إضافية):
TID_OVERWHELMING_VICTORY_GMV_0,فز قبل ظهور الجوهرة الـخامسة عشرة.
TID_OVERWHELMING_VICTORY_GMV_5,فز بنتيجة 2-0.
TID_OVERWHELMING_VICTORY_GMV_2,فز وصحة خزينتك المتبقية 60% على الأقل.
TID_OVERWHELMING_VICTORY_GMV_11,فز وصحة قاعدتك المتبقية 80% على الأقل.
TID_OVERWHELMING_VICTORY_GMV_3,فز وعدد نجومك يفوق عدد نجوم العدو بـ 10 نجمات على الأقل.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,اربح نقاطًا بناءً على ترتيبك في المواجهة.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,اربح 30 نقطة عند الانتصار، و15 نقطة عند التعادل، و5 نقاط عند الهزيمة كجائزة ترضية.
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,النقاط
TID_DOUBLE_TOKEN_WEEKEND,حدث الأقراص المضاعفة
TID_COIN_SHOWER_EVENT,حدث سيل النقود
TID_RANKS_ADDED_TITLE,رتب أبطال جديدة
TID_RANKS_ADDED_DESC,أضفنا الرتب من 21 إلى 35 لكل الأبطال.\n\nلقد حصلت على <cff00ff><STARPOINTS></c> من نقاط النجوم و<TOKENS> من الأقراص من الأبطال الذين بلغوا هذه الترتيبات الجديدة.
TID_SKINS_TITLE,المظاهر
TID_SKINS_BUTTON_LABEL,المظاهر
TID_SKIN_PREVIEW,معاينة المظهر
TID_DEFAULT_SKIN,مظهر <HERO> الافتراضي
TID_HERO_LVL_UP_MATERIAL,النقود
TID_TOKENS,الأقراص
TID_FIRST_WINS,أقراص النجوم
TID_CLUB_COINS,نقود الاتحاد
TID_BUTTON_INBOX,البريد الوارد
TID_INBOX_TITLE,البريد الوارد
TID_INBOX_SYSTEM_SENDER,النظام
TID_INBOX_SUPPORT_SENDER,دعم Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,قبل <TIME>
TID_INBOX_CLAIM,المطالبة
TID_INBOX_VIEW,العرض
TID_INBOX_TAB_0,بريد الاتحاد
TID_INBOX_TAB_1,البريد الشخصي
TID_INBOX_NO_ENTRIES,السجل فارغ
TID_INBOX_CAPTION_99,انتهى دوري الكؤوس
TID_INBOX_CAPTION_94,تبرع مظاهر: <NAME>
TID_INBOX_CAPTION_93,تبرع أبطال: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,تبرع ببطل: <NAME> (مستوى القوة <LEVEL>)
TID_INBOX_CAPTION_92,تبرع بـ <AMOUNT> من نقاط القوة لصالح <NAME>
TID_INBOX_CAPTION_91,تبرع بـ <AMOUNT> من التذاكر
TID_INBOX_CAPTION_90,تبرع بـ <AMOUNT> من <NAME>
TID_INBOX_CAPTION_89,تبرع بـ <AMOUNT> من الجواهر
TID_INBOX_CAPTION_88,تبرع بـ <AMOUNT> من مضاعفات الأقراص
TID_INBOX_CAPTION_85,سحب <AMOUNT> من الجواهر
TID_INBOX_CAPTION_84_4,تبرع بالقدرة الخاصة <ABI> لـ<NAME>
TID_INBOX_CAPTION_84_5,تبرع بجهاز <ABI> لـ <NAME>
TID_INBOX_CAPTION_78,أضفنا رتب الأبطال من 21 إلى 30!
TID_INBOX_CAPTION_76,فتحت مباراة التأهل عبر الإنترنت
TID_INBOX_CAPTION_75,مكافأة الفوز في <CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,تعويض التذاكر
TID_INBOX_CAPTION_73,تبرع: Brawl Pass
TID_INBOX_CAPTION_72_52,تبرع: تعبير
TID_INBOX_CAPTION_71,تبرع: <AMOUNT> من الأقراص لموسم BRAWL PASS <SEASON>
TID_INBOX_CAPTION_70,مكافأة الفوز في <CHALLENGE>:
TID_INBOX_CAPTION_64,تبرع: <AMOUNT> من <NAME>
TID_INBOX_CAPTION_DONATION,التبرع: <TEXT>
TID_INBOX_NEW,جديد!
TID_BAND_MAIL_POPUP_TITLE,بريد الاتحاد
TID_BAND_MAIL_POPUP_DEFAULT_TXT,اكتب رسالتك هنا...
TID_BAND_MAIL_POPUP_POST,الإرسال
TID_BAND_MAIL_POPUP_NO_MSG,لا تنس إدخال رسالة.
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,هذه الميزة غير متوفرة في الحسابات التجريبية.
TID_REVOKE_TITLE,رسالة من فريق الدعم
TID_REVOKE_OK,حسنًا
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,تعذر إرسال طلب الانضمام. أنت في فريق بالفعل
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,تعذر إرسال طلب الانضمام. لديك دعوة فريق معلقة
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,تعذر إرسال طلب الانضمام. لديك طلب انضمام معلق
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,أُلغي طلب الانضمام
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,أريد الانضمام إلى فريقك
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>نصر</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>هزيمة</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>تعادل</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>الترتيب <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>الترتيب <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>الترتيب <RANK></c>
TID_BATTLE_LOG_AGE,قبل <TIME>
TID_BATTLE_LOG_HERO_LEVEL_LABEL,مستوى
TID_BATTLE_LOG_TVST_VERSUS,ضد
TID_BATTLE_LOG_TITLE,سجل المعارك
TID_BATTLE_LOG_REPLAY,إعادة العرض
TID_BATTLE_LOG_MVP,نجم المواجهة
TID_BATTLE_LOG_FRIENDLY,ودية
TID_BATTLE_LOG_TOURNAMENT,البطولة
TID_BATTLE_LOG_PVP,مصنفة
TID_BATTLE_LOG_PRO_LEAGUE,التكتيكات الهجومية
TID_BATTLE_LOG_RANKED,دوري القوة
TID_BATTLE_LOG_NO_ENTRIES,السجل فارغ
TID_BATTLE_LOG_THIS_IS_A_BOT,هذا روبوت
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,تسجيل إعادات العرض معطل حاليًا
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,لا توجد إعادات عرض حتى الآن
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,إعادة العرض غير متاحة؛ عدد كؤوس البطل أقل من اللازم.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,اجمع <NUM> من كؤوس البطل لفتح إعادات العرض.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,إعادة العرض غير متاحة؛ فشل التسجيل.
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,لم تعد إعادة العرض متاحة.
TID_PLAYER_RANK_TIER_0,1
TID_PLAYER_RANK_TIER_1,2
TID_PLAYER_RANK_TIER_2,3
TID_PLAYER_RANK_TIER_3,4
TID_PLAYER_RANK_TIER_4,5
TID_PLAYER_RANK_TIER_5,6
TID_ADD_FRIEND_FAILED,فشلت إضافة صديق
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,انتهت صلاحية رابط الصديق!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,تعذرت إضافة الصديق نظرًا لاكتمال قائمة الأصدقاء لديه!
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,تعذرت إضافة الصديق نظرًا لاكتمال قائمة الأصدقاء لديك!
TID_ADD_FRIEND_FAILED_BANNED,تعذرت إضافة الصديق نظرًا لحظر هذا المستخدم!
TID_KEYPOOL_KEYS_REMAINING,الباقي <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> من الأقراص بعد <TIME>
TID_TOP_HUD_NEXT_REWARD,المكافأة التالية
TID_RANK_UP_REWARD_REPLACED_TITLE,تأكيد المكافأة البديلة
TID_RANK_UP_REWARD_REPLACED_POWER,لا يمكن لأي من الأبطال لديك الحصول على <AMOUNT> من نقاط القوة.\n\nأتريد المطالبة بمكافأة بديلة؟
TID_RANK_UP_REWARD_REPLACED_HERO,بما أن لديك <NAME> بالفعل، فستحصل على مكافأة بديلة.
TID_RANK_UP_REWARD_REPLACED_PIN,بما أنك تملك هذا التعبير بالفعل، فستحصل على مكافأة بديلة.
TID_RANK_UP_REWARD_REPLACED_SKIN,بما أن لديك <NAME> بالفعل، فستحصل على مكافأة بديلة.
TID_RANK_UP_REWARD_REPLACED_GEN,بما أنك تملك هذه المكافأة بالفعل، فستحصل على مكافأة بديلة.
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,لا يمكن لأي بطل من الأبطال أن يتلقى <AMOUNT> من نقاط القوة، وقد وصلت إلى الحد الأقصى من نقاط القوة.\n\nأتريد المطالبة بالمكافأة البديلة بدلاً من ذلك؟
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,إرسال طلب صداقة
TID_PLAYER_INFO_REMOVE_FRIEND,الإزالة من قائمة الأصدقاء
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,تم إرسال طلب صداقة
TID_PLAYER_INFO_IS_YOUR_FRIEND,صديق\nباللعبة
TID_POWER_POINTS,نقاط القوة
TID_HERO_INFO_LEVEL,القوة
TID_HERO_INFO_LEVEL_LONG,مستوى القوة
TID_HERO_INFO_RANK,الترتيب
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,الترقية إلى مستوى القوة <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,اضغط مجددًا للتأكيد
TID_HERO_INFO_MAX_LEVEL,أقصى قوة
TID_HERO_INFO_MORE_POWER_NEEDED,اجمع المزيد من نقاط القوة للترقية!
TID_HERO_INFO_LEVEL_UP_ERROR_4,لا يملك هذا البطل نقاط قوة كافية.
TID_HERO_INFO_LEVEL_UP_ERROR_3,لا تملك نقودًا كافية!
TID_HERO_INFO_LEVEL_UP_ERROR_5,بلغ هذا البطل مستوى القوة الأقصى بالفعل!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,بطل مبتدئ
TID_HERO_INFO_STAR_POWER_EQUIP,التحديد
TID_HERO_INFO_STAR_POWER_EQUIPPED,محدد
TID_PLAYER_REPORTED_SUCCESSFULLY,تم الإبلاغ عن اللاعب!
TID_TOO_MANY_REPORTS_SENT,تجاوزت حد الإبلاغ اليومي!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,الرجاء الانتظار قبل إرسال بلاغ آخر
TID_CHOOSE_CHARACTER,اختر البطل
TID_ARMOR,الصحة
TID_ARMOR_DESC,يمثل مدى الضرر الذي يمكن للبطل استيعابه قبل السقوط.
TID_SHOTGUN_GIRL,شيلي
TID_SHOTGUN_GIRL_DESC,تحمل شيلي بندقيتها التي ترش أعداءها بالخردق، وعند استخدامها الزخم تستطيع تدمير الساتر وإبعاد خصومها عنها!
TID_LONG_RANGE_SHOTGUN,هجوم الخردق
TID_LONG_RANGE_SHOTGUN_DESC,تشن شيلي هجوم الخردق الكثيف متوسط المدى. كلما كانت تصويباتها دقيقة، ألحقت المزيد من الضرر.
TID_MEGA_BLASH_ULTI,الخرطوشة الفتاكة
TID_MEGA_BLASH_ULTI_DESC,تنفذ شيلي هجوم الخرطوشة الفتاكة الذي يخترق السواتر، ويصيب أعداءها. أي ناجين من الهجوم يتقهقرون على الفور.
TID_GUNSLINGER,كولت
TID_GUNSLINGER_DESC,بطل غير متوقع، وغالبًا يجد نفسه في المكان الخطأ لكن في الوقت المناسب. لا يعرف الخجل، وإنما مُفعم بالثقة بكل بساطة.
TID_RAPID_FIRE,المسدسات
TID_RAPID_FIRE_DESC,كولت يطلق ست طلقات بعيدة المدى من مسدساته.
TID_RAPID_FIRE_ULTI,عاصفة الرصاص
TID_RAPID_FIRE_ULTI_DESC,يطلق كولت وابلاً هائلاً من الرصاص بعيد المدى القادر على تدمير الساتر.
TID_BULL_DUDE,بول
TID_BULL_DUDE_DESC,يلحق بول ببندقيته ضررًا هائلاً قصير المدى. يعتمد هجوم الزخم لديه على اختراق الحواجز وكبح الأعداء للوراء.
TID_SHOTGUN_BLAST,ثنائي الطلقات
TID_SHOTGUN_BLAST_DESC,تلحق بندقية بول ثنائية الطلقات أضرارًا كبيرة. سلاح بول قصير المدى؛ لذا فهو يفضل الاشتباك المباشر عن قرب.
TID_CHARGE,البلدوزر
TID_CHARGE_DESC,يندفع بول بمقدمة رأسه كالثور ويكسح أعداءه وأي عقبات في طريقه. لطالما كان صلبًا عنيدًا كالثور.
TID_ROCKET_GIRL,بروك
TID_ROCKET_GIRL_DESC,عندما لا يشعل بروك العراك بالصواريخ، فإنه يضيء حلبة الرقص بحركاته الانسيابية.
TID_FIREWORKS_WEAPON,صاروخ بعيد المدى
TID_FIREWORKS_WEAPON_DESC,يطلق بروك صاروخًا واحدًا قويًا يصل إلى مدى بعيد.
TID_FIREWORKS_ULTI,سيل الصواريخ
TID_FIREWORKS_ULTI_DESC,يطلق بروك وابل صواريخ يقضي على الأعداء والعقبات. لا شيء أحب إليه من إمطار أعدائه بالصواريخ!
TID_TNT_DUDE,دينامايك
TID_TNT_DUDE_DESC,بعدما كان يُعتقد لزمن طويل أن دينامايك المجنون فُقد في أعماق منجم، عاد من جديد وما زال يتوق لتفجير كل شيء إلى قطع صغيرة.
TID_MORTAR,الفتيل المشتعل
TID_MORTAR_DESC,يقذف مايك إصبعي ديناميت يجتازان أي عقبات في طريقهما. ينفجر الديناميت بسرعة كغضب مايك.
TID_MORTAR_ULTI,البرميل المتفجر الكبير
TID_MORTAR_ULTI_DESC,يتفجر برميل الديناميت الضخم هذا ليدمر الساتر، ويدفع الأعداء الناجين إلى التقهقر.
TID_LUCHADOR,إل بريمو
TID_LUCHADOR_DESC,يصرع إل بريمو أعداءه بلكماته الجنونية، وفي هجوم الزخم ينزل عليهم بضربة الكوع التي تلحق بهم الضرر.
TID_LUCHADOR_WEAPON,قبضتا الغضب
TID_LUCHADOR_WEAPON_DESC,ينقض إل بريمو بأربع لكمات غاضبة على خصومه. يا لها من ضربات نارية كالفلفل الحار!
TID_LUCHADOR_ULTI,ضربة الكوع
TID_LUCHADOR_ULTI_DESC,يقفز إل بريمو عاليًا وينزل بضربة كوع صاعقة تفتت أعداءه وتدمر الساتر!
TID_TRICKSHOT_DUDE_OLD,ريكوشيه
TID_TRICKSHOT_DUDE_DESC,يطلق ريكو وابلاً من الرصاصات التي تقفز عند إصابتها الجدران، وعند استخدامه الزخم يرش الهدف برصاصاته النطاطة التي تخترقه على الفور.
TID_TRICKSHOT_DUDE_WEAPON,الرصاص المرتد
TID_TRICKSHOT_DUDE_WEAPON_DESC,يرتد رصاص ريكو عند إصابة الجدران، فيزداد مداه. كما أن بإمكانه إصابة الأعداء المحتمين بساتر.
TID_TRICKSHOT_DUDE_ULTI,الضربة المراوغة
TID_TRICKSHOT_DUDE_ULTI_DESC,يطلق ريكو وابلاً من الرصاص الذي يخترق الأعداء ويرتد عند إصابة الجدران، فيزداد مداه.
TID_CACTUS,سبايك
TID_CACTUS_DESC,يلقي سبايك قنابل من الصبار المتفجر الذي تتطاير منه الأشواك، ولديه قوة زخم فعالة تصنع نطاقًا من الأشواك التي تبطئ الأعداء وتلحق بهم الضرر.
TID_CACTUS_WEAPON,قنبلة الأشواك
TID_CACTUS_WEAPON_DESC,يطلق سبايك صبارة صغيرة تتفجر إلى أشواك تطير في اتجاهات مختلفة.
TID_CACTUS_ULTI,سكة الأشواك
TID_CACTUS_ULTI_DESC,يلقي سبايك قنبلة يدوية شائكة تلحق الضرر بالأعداء في منطقة انفجارها، وتبطئ حركتهم.
TID_BARKEEP,بارلي
