TID,CNT
TID_QUEST_DESC_1_BIG_GAME,贏得<AMOUNT>場對戰
TID_QUEST_DESC_1_BIG_GAME_SINGLE,贏得<AMOUNT>場對戰
TID_QUEST_HERO_CONDITION,\n限定英雄：<HERO>
TID_QUEST_MODE_CONDITION,\n限定模式：<MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\n僅限組隊對戰
TID_QUEST_NEW,NEW
TID_QUEST_PREMIUM,亂鬥通行券專屬
TID_RANK_POPUP_QUESTS,任務
TID_RANK_POPUP_CLUB_FEATURE,戰隊
TID_BRAWL_PASS_POPUP_TITLE,亂鬥通行券
TID_BRAWL_PASS_POPUP_INFO,第<SEASON>季
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,回到當前主題季
TID_BRAWL_PASS_PREVIOUS_SEASON,上一主題季
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,點擊此處領取獎勵！
TID_BRAWL_PASS_UNLOCK_INFO,尚未解鎖專屬獎勵！
TID_BRAWL_PASS_UNLOCK_LABEL,解鎖
TID_BRAWLPASS_PURCHASE_ERROR_3,你已購買當前亂鬥主題季的亂鬥通行券。
TID_BRAWLPASS_PURCHASE_ERROR_4,抱歉，已無法購買該亂鬥通行券！
TID_BRAWLPASS_PURCHASE_ERROR_5,無法購買亂鬥通行券超值特惠，你已解鎖全部獎勵！
TID_BRAWLPASS_PURCHASE_ERROR_6,寶石餘額為負數時無法購買亂鬥通行券
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,解鎖下一階獎勵？
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,購買<NUM>代幣並解鎖下階獎勵？
TID_PURCHASE_BRAWL_PASS_TITLE,獲取亂鬥通行券！
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,亂鬥通行券
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,亂鬥通行券超值特惠
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,解鎖亂鬥通行券獎勵、額外任務，還有每週<NUM>次刷新任務機會
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,亂鬥通行券 + <NUM>階獎勵
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,無法購買過往亂鬥主題季的亂鬥通行券
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,無法獲取當前亂鬥主題季的亂鬥通行券，請稍後再試。
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,已解鎖當前亂鬥主題季的亂鬥通行券
TID_TAKEDOWNS_LABEL,擊倒
TID_DEFEAT_LABEL,被擊倒
TID_UNDERDOG,逆風高飛
TID_ACCESSORY,武裝配件
TID_BATTLE_END_COIN_SHOWER,堆金如山活動
TID_LFG_POPUP_TITLE_MEMBER,尋找隊友
TID_LFG_POPUP_TITLE_TEAM,尋找小隊
TID_LFG_POPUP_INFO_MEMBER,尋找隊友與你並肩作戰
TID_LFG_POPUP_INFO_TEAM,招募其他玩家加入你的小隊
TID_LFG_POPUP_EVENT_LABEL_MEMBER,選擇活動（點擊更換）
TID_LFG_POPUP_EVENT_LABEL_TEAM,選擇活動（點擊更換）
TID_LFG_POPUP_START_SEARCH,立即尋找
TID_LFG_NO_ROOM_FOR_PLAYERS,該模式無法支援更多玩家
TID_LOOKING_FOR_A_TEAM,正在尋找小隊
TID_LOOKING_FOR_A_MEMBER,正在尋找隊友
TID_CC_TEASER_TITLE,即將展開！
TID_CC_TEASER_INFO,做好準備，迎接荒野亂鬥全球錦標賽<WIN>勝挑戰吧！\n\n與好友組隊，或使用\q尋找小隊\q功能，增加你脫穎而出的機會。\n\n挑戰僅持續<DURATION>小時，快來加入對戰吧！
TID_CC_POPUP_TITLE,全球錦標賽挑戰
TID_CC_POPUP_1_TITLE,PSG CUP
TID_CC_POPUP_TITLE_PSG_21,PSG CUP 2021
TID_CC_POPUP_DESC,每次獲勝都能贏取超讚獎勵！獲勝<WINS>場即可完成挑戰。戰敗<LOSSES>場，挑戰結束！
TID_CC_POPUP_1_DESC,每次獲勝都能贏取超讚獎勵！獲勝<WINS>場即可完成挑戰。戰敗<LOSSES>場，挑戰結束！
TID_CC_POPUP_WINS,<WINS>/<MAX>次獲勝
TID_CC_POPUP_WINS_FOR_EVENT,第<LEVEL>階段
TID_POPUP_WINS_FOR_EVENT_PSG_1,半準決賽
TID_POPUP_WINS_FOR_EVENT_PSG_2,準決賽
TID_POPUP_WINS_FOR_EVENT_PSG_3,決賽
TID_CC_POPUP_QUALIFY_INFO,完成挑戰即可獲得參加荒野亂鬥全球錦標賽下一階段的比賽資格！
TID_CC_POPUP_QUALIFY_INFO_PSG,完成挑戰即可獲得雪莉的PSG明星球員造型。
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,挑戰已完成！
TID_CC_POPUP_CHALLENGE_OVER,挑戰結束
TID_CC_POPUP_OUT_OF_LIVES,已達敗場上限
TID_CC_POPUP_BUY_LIVES,購買<NUM>次額外挑戰機會？
TID_CC_POPUP_COMPLETED,挑戰已完成
TID_CC_POPUP_LEVEL,第<LEVEL>階段
TID_CC_POPUP_WIN,勝場
TID_CC_POPUP_LOSSES,敗場
TID_QUALIFIED_TITLE,已解鎖線上資格賽！
TID_QUALIFIED_INFO,你已完成全球錦標賽挑戰，太神啦！\n\n你可以前往<cFFE400><URL></c>，繼續荒野亂鬥全球錦標賽之旅。
TID_QUALIFIED_INFO_HUB,你已完成全球錦標賽挑戰，太神啦！\n\n你可以前往主介面查看全新的\q電競賽事\q版塊，繼續荒野亂鬥全球錦標賽之旅！
TID_QUALIFIED_INFO_PSG,恭喜你完成PSG CUP，你已獲得雪莉的PSG明星球員造型！
TID_QUALIFIED_GO,立即前往
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,全球錦標賽挑戰
TID_BATTLE_END_CC_WIN_LABEL,<AMOUNT>勝獎勵
TID_BATTLE_END_CC_DEFEAT_0,挑戰結束\n祝你下次好運！
TID_BATTLE_END_CC_DEFEAT_1,再輸一場，你就出局囉！加油！
TID_BATTLE_END_CC_DEFEAT_2,你戰敗了，但你可以繼續挑戰！
TID_BATTLE_END_CC_DRAW_DESC,繼續為勝利而戰！
TID_BATTLE_END_CC_QUALIFY_LABEL,已晉級！
TID_BATTLE_END_CC_QUALIFY_INFO,恭喜！你已獲得參加荒野亂鬥全球錦標賽下一階段的比賽資格。\n請查看你的收件匣以了解更多資訊。
TID_PRO_LEAGUE_INFO_POPUP_TITLE,星光競賽聯賽獎勵
TID_PRO_LEAGUE_INFO_POPUP_INFO,根據你的最終積分\n可獲得的獎勵
TID_PRO_LEAGUE_INFO_POPUP_RANK,排名
TID_PRO_LEAGUE_INFO_POPUP_POINTS,積分
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,位居全球排行榜前列\n可獲得的額外獎勵
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,星光競賽聯賽結束獎勵
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,聯賽名人堂
TID_PRO_LEAGUE_SEASON_END_TIME,離聯賽結束還有
TID_PRO_LEAGUE_POPUP_TITLE,星光競賽
TID_EVENT_LABEL_PRO_LEAGUE,星光競賽
TID_PRO_LEAGUE_POPUP_INFO,在星光競賽中證明自己的實力！每天可參加3場星光競賽對戰，在聯賽名人堂上邁向更高排名。賽季結束後，你將根據自己的積分和全球聯賽名人堂排名獲得星徽點數獎勵。
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,當前聯賽
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,上個聯賽
TID_PRO_LEAGUE_LABEL,星光競賽
TID_TEAM_ERROR_38,請選擇一位10級英雄！
TID_TEAM_ERROR_39,今天的星光競賽對戰機會已用盡。
TID_PRO_LEAGUE_GAMES,還剩<GAMESLEFT>/<MAXGAMES>次對戰機會
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,星光競賽聯賽已結束
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,你的積分
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,你的排名
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,星徽點數獎勵
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,星光競賽獎勵：獲得<AMOUNT><cff00ff>星徽點數</c>！
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,大獲全勝(+3分):
TID_OVERWHELMING_VICTORY_GMV_0,在第15顆寶石出現前獲勝
TID_OVERWHELMING_VICTORY_GMV_5,2比0獲勝
TID_OVERWHELMING_VICTORY_GMV_2,在己方金庫生命值高於60%的情況下獲勝
TID_OVERWHELMING_VICTORY_GMV_11,在己方多功能炮台生命值高於80%的情況下獲勝
TID_OVERWHELMING_VICTORY_GMV_3,在領先對方至少10顆賞金之星的情況下獲勝
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,根據你在對戰中的排名獲得積分
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,勝利獲得30分，平局獲得15分，戰敗獲得5分。
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,積分
TID_DOUBLE_TOKEN_WEEKEND,雙倍代幣活動
TID_COIN_SHOWER_EVENT,堆金如山活動
TID_RANKS_ADDED_TITLE,全新Rank級數
TID_RANKS_ADDED_DESC,所有英雄的Rank上限已從20提高至35啦！\n\n你符合條件的英雄已自動升至更高的Rank，因此獲得了<cff00ff><STARPOINTS></c>星徽點數和<TOKENS>代幣！
TID_SKINS_TITLE,造型
TID_SKINS_BUTTON_LABEL,造型
TID_SKIN_PREVIEW,造型預覽
TID_DEFAULT_SKIN,<HERO>預設造型
TID_HERO_LVL_UP_MATERIAL,金幣
TID_TOKENS,代幣
TID_FIRST_WINS,星徽代幣
TID_CLUB_COINS,戰隊幣
TID_BUTTON_INBOX,收件匣
TID_INBOX_TITLE,收件匣
TID_INBOX_SYSTEM_SENDER,系統
TID_INBOX_SUPPORT_SENDER,荒野亂鬥玩家支援
TID_INBOX_BRAWLSTARS_SENDER,荒野亂鬥
TID_INBOX_AGE,<TIME>前
TID_INBOX_CLAIM,領取
TID_INBOX_VIEW,查看
TID_INBOX_TAB_0,戰隊郵件
TID_INBOX_TAB_1,個人郵件
TID_INBOX_NO_ENTRIES,無郵件
TID_INBOX_CAPTION_99,榮耀聯賽已結束
TID_INBOX_CAPTION_94,補償造型：<NAME>
TID_INBOX_CAPTION_93,補償英雄：<NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,補償英雄<NAME>（戰力等級<LEVEL>）
TID_INBOX_CAPTION_92,補償<NAME>的<AMOUNT>能量點數
TID_INBOX_CAPTION_91,補償<AMOUNT>張入場券
TID_INBOX_CAPTION_90,補償<AMOUNT><NAME>
TID_INBOX_CAPTION_89,補償<AMOUNT>寶石
TID_INBOX_CAPTION_88,補償<AMOUNT>雙倍代幣加成
TID_INBOX_CAPTION_85,扣除<AMOUNT>寶石
TID_INBOX_CAPTION_84_4,為<NAME>補償能力之星：<ABI>
TID_INBOX_CAPTION_84_5,為<NAME>補償武裝配件：<ABI>
TID_INBOX_CAPTION_78,現已推出英雄Rank21至30！
TID_INBOX_CAPTION_76,已解鎖線上資格賽！
TID_INBOX_CAPTION_75,<CHALLENGE>獲勝獎勵：\n<NAME>
TID_INBOX_CAPTION_74,入場券補償
TID_INBOX_CAPTION_73,補償：亂鬥通行券
TID_INBOX_CAPTION_72_52,補償：表情
TID_INBOX_CAPTION_71,補償：為主題季第<SEASON>季補償<AMOUNT>代幣
TID_INBOX_CAPTION_70,<CHALLENGE>獲勝獎勵：
TID_INBOX_CAPTION_64,補償：<AMOUNT>x <NAME>
TID_INBOX_CAPTION_DONATION,補償：<TEXT>
TID_INBOX_NEW,NEW!
TID_BAND_MAIL_POPUP_TITLE,戰隊郵件
TID_BAND_MAIL_POPUP_DEFAULT_TXT,請在此處輸入郵件內容......
TID_BAND_MAIL_POPUP_POST,傳送
TID_BAND_MAIL_POPUP_NO_MSG,請先輸入郵件內容
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,測試帳號無法使用該功能
TID_REVOKE_TITLE,玩家支援團隊訊息
TID_REVOKE_OK,我知道了
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,無法發送小隊請求，你已經在小隊中了。
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,無法發送小隊請求，你發送的小隊邀請仍在等待答覆。
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,無法發送小隊請求，你之前的小隊請求正在等待答覆。
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,小隊請求已取消
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,我想加入你的小隊
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>勝利</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>戰敗</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>平局</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>第<RANK>名</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>第<RANK>名</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>第<RANK>名</c>
TID_BATTLE_LOG_AGE,<TIME>前
TID_BATTLE_LOG_HERO_LEVEL_LABEL,等級
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,對戰紀錄
TID_BATTLE_LOG_REPLAY,重播
TID_BATTLE_LOG_MVP,MVP
TID_BATTLE_LOG_FRIENDLY,友誼賽
TID_BATTLE_LOG_TOURNAMENT,錦標賽
TID_BATTLE_LOG_PVP,排位賽
TID_BATTLE_LOG_PRO_LEAGUE,星光競賽
TID_BATTLE_LOG_RANKED,星光聯賽
TID_BATTLE_LOG_NO_ENTRIES,無對戰紀錄
TID_BATTLE_LOG_THIS_IS_A_BOT,這是電腦
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,目前無法觀看重播
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,暫無重播
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,無法重播：英雄獎盃數不足
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,英雄獎盃數達到<NUM>即可解鎖重播功能
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,無法重播：錄製失敗
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,抱歉，已無法重播
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,新增好友失敗
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,好友連結已失效！
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,無法新增好友，對方好友列表已滿！
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,無法新增好友，你的好友列表已滿！
TID_ADD_FRIEND_FAILED_BANNED,無法新增好友，該玩家已被封禁！
TID_KEYPOOL_KEYS_REMAINING,剩餘<VALUE>
TID_KEYPOOL_NEXT_PATCH,<TIME>後+<KEYS>代幣
TID_TOP_HUD_NEXT_REWARD,下個獎勵
TID_RANK_UP_REWARD_REPLACED_TITLE,確認領取替代獎勵
TID_RANK_UP_REWARD_REPLACED_POWER,沒有英雄可接收<AMOUNT>能量點數獎勵。\n\n是否領取替代獎勵？
TID_RANK_UP_REWARD_REPLACED_HERO,由於你已解鎖<NAME>，你將獲得替代獎勵。
TID_RANK_UP_REWARD_REPLACED_PIN,由於你已擁有這款表情，你將獲得替代獎勵。
TID_RANK_UP_REWARD_REPLACED_SKIN,由於你已擁有<NAME>，你將獲得替代獎勵。
TID_RANK_UP_REWARD_REPLACED_GEN,由於你已擁有該獎勵，你將獲得替代獎勵。
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,沒有英雄可接收<AMOUNT>能量點數，且你的能量點數已達上限。\n\n是否領取替代獎勵？
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,發送好友請求
TID_PLAYER_INFO_REMOVE_FRIEND,從好友列表中移除
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,好友請求已發送
TID_PLAYER_INFO_IS_YOUR_FRIEND,遊戲內\n好友
TID_POWER_POINTS,能量點數
TID_HERO_INFO_LEVEL,等級
TID_HERO_INFO_LEVEL_LONG,戰力等級
TID_HERO_INFO_RANK,RANK
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,升至戰力等級<LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,再次點擊以確認
TID_HERO_INFO_MAX_LEVEL,等級已滿
TID_HERO_INFO_MORE_POWER_NEEDED,收集更多能量點數以升級英雄！
TID_HERO_INFO_LEVEL_UP_ERROR_4,英雄的能量點數不足
TID_HERO_INFO_LEVEL_UP_ERROR_3,你的金幣不足！
TID_HERO_INFO_LEVEL_UP_ERROR_5,英雄已達到最高戰力等級！
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,初始英雄
TID_HERO_INFO_STAR_POWER_EQUIP,選擇
TID_HERO_INFO_STAR_POWER_EQUIPPED,已選擇
TID_PLAYER_REPORTED_SUCCESSFULLY,已檢舉該玩家！
TID_TOO_MANY_REPORTS_SENT,已達每日檢舉上限！
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,請稍後再進行檢舉
TID_CHOOSE_CHARACTER,選擇英雄
TID_ARMOR,生命值
TID_ARMOR_DESC,代表英雄在被擊倒前能夠承受的傷害。
TID_SHOTGUN_GIRL,雪莉
TID_SHOTGUN_GIRL_DESC,雪莉的散彈槍可發射制式散彈重創敵人。她的超級技能可摧毀障礙物並擊退敵人！
TID_LONG_RANGE_SHOTGUN,制式散彈
TID_LONG_RANGE_SHOTGUN_DESC,雪莉的散彈槍可大範圍散射出多枚中等射程的彈丸，命中敵人的彈丸越多，造成的傷害越高。
TID_MEGA_BLASH_ULTI,超級散彈
TID_MEGA_BLASH_ULTI_DESC,雪莉的超級散彈可摧毀障礙物直擊對手，即使有敵人僥倖生還也會被擊退。
TID_GUNSLINGER,柯爾特
TID_GUNSLINGER_DESC,自信爆表的柯爾特總是能勇敢地面對挑戰，經常無故捲入事端的他，誤打誤撞成為一名英雄。
TID_RAPID_FIRE,左輪連擊
TID_RAPID_FIRE_DESC,柯爾特使用他的左輪手槍向同一個方向連開6槍，可攻擊到遠距離的敵人。
TID_RAPID_FIRE_ULTI,狂彈風暴
TID_RAPID_FIRE_ULTI_DESC,柯爾特能快速連續射出大量子彈，這些子彈的射程更遠且能摧毀障礙物。
TID_BULL_DUDE,狂牛
TID_BULL_DUDE_DESC,狂牛的雙管獵槍可以對近距離的敵人造成巨大傷害。開啟超級技能後，他可以撞穿障礙物、撞飛敵人！
TID_SHOTGUN_BLAST,雙管獵殺
TID_SHOTGUN_BLAST_DESC,狂牛的雙管獵槍傷害非常驚人，但是射程很短，所以狂牛喜歡衝到敵人面前解決問題。
TID_CHARGE,蠻牛衝撞
TID_CHARGE_DESC,狂牛埋頭發動衝鋒，能夠撞飛敵人、撞穿障礙物。沒錯，這位老兄不但脾氣倔得像頭牛，腦袋也硬得像頭牛！
TID_ROCKET_GIRL,布洛克
TID_ROCKET_GIRL_DESC,布洛克不僅能在戰鬥中用火箭點燃整個戰場，還能用華麗的舞步點燃整個舞池！
TID_FIREWORKS_WEAPON,搖滾火箭
TID_FIREWORKS_WEAPON_DESC,布洛克每次能發射一枚射程驚人的搖滾火箭。
TID_FIREWORKS_ULTI,火箭轟炸
TID_FIREWORKS_ULTI_DESC,布洛克發射的火箭彈幕可摧毀敵人和障礙物。敵人遭受火箭轟炸的畫面，是布洛克眼裡最美的風景。
TID_TNT_DUDE,爆破麥克
TID_TNT_DUDE_DESC,在礦坑裡待太久會讓人神智不清。瘋瘋癲癲的爆破麥克重回戰場，他已經等不及要把全世界都炸上天囉！
TID_MORTAR,爆破炸藥
TID_MORTAR_DESC,麥克投擲兩根可飛越障礙物的爆破炸藥。這些爆破炸藥就像麥克的脾氣一樣易燃易爆炸！
TID_MORTAR_ULTI,爆破蹦蹦蹦
TID_MORTAR_ULTI_DESC,這個塞滿炸藥的炸藥桶不僅威力巨大，還能摧毀障礙物。即使敵人在爆炸中僥倖生還，也仍會被強大的衝擊波震飛。
TID_LUCHADOR,艾爾普里莫
TID_LUCHADOR_DESC,艾爾普里莫會用迅雷不及掩耳的拳頭痛擊對手。他的超級技能可以讓他騰空飛起，重創下方的敵人！
TID_LUCHADOR_WEAPON,憤怒鐵拳
TID_LUCHADOR_WEAPON_DESC,艾爾普里莫以迅雷之勢連續打出4記憤怒鐵拳。這墨西哥嗆辣十足的拳頭可以把對手打得滿地找牙！
TID_LUCHADOR_ULTI,飛身肘擊
TID_LUCHADOR_ULTI_DESC,艾爾普里莫高高躍起，落地時施展強力肘擊，能擊退敵人並摧毀障礙物！
TID_TRICKSHOT_DUDE_OLD,彈射
TID_TRICKSHOT_DUDE_DESC,彈射發射的一連串子彈撞到牆壁後會反彈。他的超級技能發射更多的子彈，射得更遠、彈力更強，還能穿透敵人！
TID_TRICKSHOT_DUDE_WEAPON,彈力射擊
TID_TRICKSHOT_DUDE_WEAPON_DESC,彈射射出的子彈在擊中牆面後會反彈，而且飛得更遠，此特性讓他可以攻擊到躲在障礙物後面的敵人。
TID_TRICKSHOT_DUDE_ULTI,華麗彈射
TID_TRICKSHOT_DUDE_ULTI_DESC,彈射射出一連串子彈，子彈可以穿透敵人，擊中牆面後會反彈並飛得更遠。
TID_CACTUS,史派克
TID_CACTUS_DESC,史派克丟出的炸彈在爆炸後會向周圍發射尖刺。他華麗的超級技能會讓目標區域內長滿尖刺，可減緩敵人的移動速度並對他們造成傷害。
TID_CACTUS_WEAPON,驚喜刺刺球
TID_CACTUS_WEAPON_DESC,史派克射出一個小仙人掌，仙人掌爆炸後會向不同方向發射尖刺。
TID_CACTUS_ULTI,尖刺樂園
TID_CACTUS_ULTI_DESC,史派克拋出一個尖刺炸彈，處於技能範圍內的敵人會受到傷害並降低移動速度。
TID_BARKEEP,保力
TID_BARKEEP_DESC,保力很樂意為顧客們奉上美好星樂園的招牌飲料。不過，你要是敢弄髒他的地盤，招待你的就是滿腔怒火和亂飛的玻璃瓶了！
TID_BARKEEP_WEAPON,手搖瓶
TID_BARKEEP_WEAPON_DESC,保力拋出一個手搖瓶，瓶子落地破碎時會噴濺液體對敵人造成傷害，同時若敵人持續處於濺出液體範圍內則會受到更多傷害。
TID_BARKEEP_ULTI,無限暢飲
TID_BARKEEP_ULTI_DESC,保力迅速拋出多個燃燒瓶，使一大片區域燃起熊熊烈火，保力以行動表現滿滿熱情！
TID_MECHANIC,潔西
TID_MECHANIC_DESC,潔西用脈衝步槍發射的能量球會在多個敵人間彈射。她的超級技能是部署一座可愛又可怕的炮台！
TID_MECHANIC_WEAPON,脈衝步槍
TID_MECHANIC_WEAPON_DESC,潔西發射一個能量球，能量球在命中目標後會彈向其他目標，最多可擊中3名敵人。每彈射一次，能量球造成的傷害就降低<damageDecayChain>。
TID_MECHANIC_ULTI,自動炮台
TID_MECHANIC_ULTI_DESC,潔西架設一座可以自動攻擊敵人的炮台，這座炮台運用可完全回收的材料製作！
TID_SHAMAN,妮塔
TID_SHAMAN_DESC,妮塔發射的衝擊波可以傷害多名敵人。她的超級技能是召喚一頭熊靈與她並肩作戰！
TID_SHAMAN_WEAPON,衝擊波
TID_SHAMAN_WEAPON_DESC,妮塔向前方使出一道衝擊波，對波及的敵人造成傷害。
TID_SHAMAN_ULTI,熊靈召喚
TID_SHAMAN_ULTI_DESC,妮塔召喚出大寶貝熊，牠會自動追擊附近的敵人。
TID_UNDERTAKER,莫提斯
TID_UNDERTAKER_DESC,莫提斯每次揮鏟都會向前突進。他的超級技能是召喚一群蝙蝠傷害敵人並治療自己！
TID_UNDERTAKER_WEAPON,鐵鏟突襲
TID_UNDERTAKER_WEAPON_DESC,莫提斯喜歡揮舞鋒利的鐵鏟向前突襲，為自己的事業創造商機。莫提斯的3格彈藥槽全滿時，他將獲得一個自動蓄能的突襲能量條。能量條蓄滿後，他下一次突襲的距離會更遠。
TID_UNDERTAKER_ULTI,噬血侵襲
TID_UNDERTAKER_ULTI_DESC,莫提斯召喚出一群蝙蝠，牠們在傷害敵方英雄的同時也會為莫提斯恢復生命值，太恐怖了！
TID_CROW,鴉
TID_CROW_DESC,有一天，這個神秘生物突然來到小鎮裡，但沒人敢招惹他......應該說再也沒有了。
TID_CROW_WEAPON,淬毒飛刀
TID_CROW_WEAPON_DESC,鴉擲出3把淬毒飛刀，飛刀會對敵人造成持續性傷害，同時降低他們獲得的治療效果。
TID_CROW_ULTI,飛躍毒襲
TID_CROW_ULTI_DESC,鴉飛向空中，在他起飛和落地的瞬間會向周圍丟出一圈淬毒的飛刀。
TID_DEAD_MARIACHI,波可
TID_DEAD_MARIACHI_DESC,波可的吉他會發出音浪，對敵人造成傷害。他的超級技能可以同時治療自己和隊友！
TID_DEAD_MARIACHI_WEAPON,強力和弦
TID_DEAD_MARIACHI_WEAPON_DESC,波可彈吉他時會發出一波接一波刺耳的琴聲，被音浪波及的對手將受到傷害。
TID_DEAD_MARIACHI_ULTI,治癒安可曲
