TID,RU
TID_QUEST_DESC_7_MODE_5,ПЕРЕДАЙ МЯЧ <AMOUNT> Р.
TID_QUEST_DESC_7_MODE_6,СОБЕРИ КУБИКИ УСИЛЕНИЙ (<AMOUNT> ШТ.)
TID_QUEST_DESC_7_MODE_9,"СОБЕРИ КУБИКИ УСИЛЕНИЙ (<AMOUNT> ШТ.), ПОКА ОБА ИГРОКА АКТИВНЫ"
TID_QUEST_DESC_7_MODE_17,УДЕРЖИВАЙ ЗОНЫ В ТЕЧЕНИЕ <AMOUNT> С.
TID_QUEST_DESC_7_MODE_20,НЕ ДАЙ ПОБЕДИТЬ СЕБЯ В ТЕЧЕНИЕ <AMOUNT> РАУНДОВ
TID_QUEST_DESC_1_LEVELED,ПРОЙДИ УРОВЕНЬ
TID_QUEST_DESC_1_BIG_GAME,ВЫИГРАЙ БОЙ <AMOUNT> Р.
TID_QUEST_DESC_1_BIG_GAME_SINGLE,ВЫИГРАЙ БОЙ <AMOUNT> Р.
TID_QUEST_HERO_CONDITION,\nС БОЙЦОМ <HERO>
TID_QUEST_MODE_CONDITION,\nВ РЕЖИМЕ «<MODE>»
TID_QUEST_PLAYAGAIN_CONDITION,\nС ТОВАРИЩЕМ ПО КОМАНДЕ
TID_QUEST_NEW,НОВЫЙ
TID_QUEST_PREMIUM,ТОЛЬКО С BRAWL PASS
TID_RANK_POPUP_QUESTS,КВЕСТЫ
TID_RANK_POPUP_CLUB_FEATURE,КЛУБЫ
TID_BRAWL_PASS_POPUP_TITLE,BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,<SEASON>-Й СЕЗОН
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,НАЗАД К ТЕКУЩЕМУ СЕЗОНУ
TID_BRAWL_PASS_PREVIOUS_SEASON,ПРОШЛЫЙ СЕЗОН
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,"НАЖМИ ЗДЕСЬ, ЧТОБЫ ЗАБРАТЬ НАГРАДЫ!"
TID_BRAWL_PASS_UNLOCK_INFO,ПРЕМИУМ-НАГРАДЫ ЗАБЛОКИРОВАНЫ!
TID_BRAWL_PASS_UNLOCK_LABEL,РАЗБЛОКИРОВАТЬ
TID_BRAWLPASS_PURCHASE_ERROR_3,Brawl Pass этого сезона уже куплен.
TID_BRAWLPASS_PURCHASE_ERROR_4,"К сожалению, этот Brawl Pass уже недоступен."
TID_BRAWLPASS_PURCHASE_ERROR_5,НАБОР BRAWL PASS недоступен. Все награды уже заработаны.
TID_BRAWLPASS_PURCHASE_ERROR_6,Покупка Brawl Pass невозможна при отрицательном балансе кристаллов.
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,ПРОЙТИ УРОВЕНЬ?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Купить <NUM> жетонов и перейти на следующий уровень?
TID_PURCHASE_BRAWL_PASS_TITLE,КУПИТЬ BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,НАБОР BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Открой награды Brawl Pass, дополнительные квесты и дополнительные обновления квестов (<NUM> в неделю)."
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,BRAWL PASS + УРОВНИ (<NUM>)
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Купить Brawl Pass прошлых сезонов невозможно.
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,Brawl Pass текущего сезона не найден. Повторите попытку позже.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Brawl Pass текущего сезона уже разблокирован.
TID_TAKEDOWNS_LABEL,ПОБЕДЫ
TID_DEFEAT_LABEL,ПОРАЖЕНИЕ
TID_UNDERDOG,АУТСАЙДЕР
TID_ACCESSORY,ГАДЖЕТ
TID_BATTLE_END_COIN_SHOWER,СОБЫТИЕ С ЛАВИНОЙ МОНЕТ
TID_LFG_POPUP_TITLE_MEMBER,ИСКАТЬ УЧАСТНИКА
TID_LFG_POPUP_TITLE_TEAM,ИСКАТЬ КОМАНДУ
TID_LFG_POPUP_INFO_MEMBER,Поиск игроков для игры в команде
TID_LFG_POPUP_INFO_TEAM,Искать игрока для этой команды
TID_LFG_POPUP_EVENT_LABEL_MEMBER,"Условия участия (нажми, чтобы изменить)"
TID_LFG_POPUP_EVENT_LABEL_TEAM,"Хочу играть (нажми, чтобы изменить)"
TID_LFG_POPUP_START_SEARCH,ВПЕРЁД!
TID_LFG_NO_ROOM_FOR_PLAYERS,В этом игровом режиме не может участвовать больше игроков.
TID_LOOKING_FOR_A_TEAM,В ПОИСКЕ КОМАНДЫ
TID_LOOKING_FOR_A_MEMBER,В ПОИСКЕ УЧАСТНИКА
TID_CC_TEASER_TITLE,Уже скоро!
TID_CC_TEASER_INFO,"Готовься к испытанию чемпионата с <WIN> победами!\n\nИграй с друзьями или используй функцию поиска команды, чтобы повысить свои шансы на успех.\n\nИ помни, испытание продлится всего <DURATION> ч.!"
TID_CC_POPUP_TITLE,ИСПЫТАНИЕ ЧЕМПИОНАТА
TID_CC_POPUP_1_TITLE,КУБОК PSG
TID_CC_POPUP_TITLE_PSG_21,КУБОК PSG 2021
TID_CC_POPUP_DESC,"Получи невероятные награды за каждую победу! Чтобы пройти испытание, нужно победить <WINS> раз, но после <LOSSES> поражений ты вылетишь!"
TID_CC_POPUP_1_DESC,"Невероятные награды за каждую победу! Чтобы выиграть Кубок PSG, нужно победить <WINS> раз, но после <LOSSES> поражений ты выбываешь!"
TID_CC_POPUP_WINS,<WINS> из <MAX> ПОБЕД
TID_CC_POPUP_WINS_FOR_EVENT,<LEVEL>-Й ЭТАП
TID_POPUP_WINS_FOR_EVENT_PSG_1,ЧЕТВЕРТЬФИНАЛ
TID_POPUP_WINS_FOR_EVENT_PSG_2,ПОЛУФИНАЛ
TID_POPUP_WINS_FOR_EVENT_PSG_3,ФИНАЛ
TID_CC_POPUP_QUALIFY_INFO,"Пройди испытание, чтобы перейти на следующий этап чемпионата Brawl Stars!"
TID_CC_POPUP_QUALIFY_INFO_PSG,"Выиграй испытание, чтобы получить скин Шелли PSG!"
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Испытание пройдено!
TID_CC_POPUP_CHALLENGE_OVER,ИСПЫТАНИЕ ЗАКОНЧЕНО
TID_CC_POPUP_OUT_OF_LIVES,ПОПЫТОК НЕ ОСТАЛОСЬ
TID_CC_POPUP_BUY_LIVES,КУПИТЬ ЕЩË <NUM>?
TID_CC_POPUP_COMPLETED,ИСПЫТАНИЕ ПРОЙДЕНО
TID_CC_POPUP_LEVEL,<LEVEL>-Й ЭТАП
TID_CC_POPUP_WIN,ПОБЕДА
TID_CC_POPUP_LOSSES,ПОРАЖЕНИЯ
TID_QUALIFIED_TITLE,Онлайн-этап РАЗБЛОКИРОВАН!
TID_QUALIFIED_INFO,"Ого, тебе удалось пройти испытание чемпионата! НЕВЕРОЯТНО!\n\nЧтобы продолжить путь к ЧЕМПИОНАТУ BRAWL STARS, перейди по ссылке <cFFE400><URL></c>"
TID_QUALIFIED_INFO_HUB,"Ого, тебе удалось пройти испытание Чемпионата! НЕВЕРОЯТНО!\n\nЧтобы продолжить путь на ЧЕМПИОНАТ BRAWL STARS, посети новый раздел «КИБЕРСПОРТ», который находится на главном экране!"
TID_QUALIFIED_INFO_PSG,Поздравляем с победой в Кубке PSG! Открыт скин Шелли PSG.
TID_QUALIFIED_GO,ВПЕРЁД!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,ИСПЫТАНИЕ ЧЕМПИОНАТА
TID_BATTLE_END_CC_WIN_LABEL,НАГРАДА ЗА <AMOUNT>-Ю ПОБЕДУ
TID_BATTLE_END_CC_DEFEAT_0,Испытание закончено.\nУдачи в следующий раз!
TID_BATTLE_END_CC_DEFEAT_1,"Ещё одно поражение, и ты выбываешь. Соберись!"
TID_BATTLE_END_CC_DEFEAT_2,Поражение... Но у тебя ещё есть шанс!
TID_BATTLE_END_CC_DRAW_DESC,Сыграй ещё раз и постарайся победить!
TID_BATTLE_END_CC_QUALIFY_LABEL,ЭТАП ПРОЙДЕН!
TID_BATTLE_END_CC_QUALIFY_INFO,Поздравляем! Ты переходишь на следующий этап чемпионата Brawl Stars.\nДополнительная информация во входящих сообщениях.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Награда лиги СИЛОВОЙ ГОНКИ
TID_PRO_LEAGUE_INFO_POPUP_INFO,Награда\nза очки
TID_PRO_LEAGUE_INFO_POPUP_RANK,Место
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Очки
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Дополнительная награда за достижение\nвершины глобального списка лидеров
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,НАГРАДА КОНЦА ЛИГИ СИЛОВОЙ ГОНКИ
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,ТАБЛИЦА ЛИГИ
TID_PRO_LEAGUE_SEASON_END_TIME,ДО КОНЦА ЛИГИ
TID_PRO_LEAGUE_POPUP_TITLE,СИЛОВАЯ ГОНКА
TID_EVENT_LABEL_PRO_LEAGUE,СИЛОВАЯ ГОНКА
TID_PRO_LEAGUE_POPUP_INFO,Испытай себя в СИЛОВОЙ ГОНКЕ! Сражайся в 3 боях каждый день и продвигайся к вершине таблицы лиги. В конце лиги ты получишь звёздные очки за набранные в сезоне очки и место в глобальной таблице лиги.
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,ТЕКУЩАЯ ЛИГА
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,ПРЕДЫДУЩАЯ ЛИГА
TID_PRO_LEAGUE_LABEL,СИЛОВАЯ ГОНКА
TID_TEAM_ERROR_38,Выбери бойца с 10-м уровнем силы!
TID_TEAM_ERROR_39,Все игры СИЛОВОЙ ГОНКИ на сегодня проведены!
TID_PRO_LEAGUE_GAMES,ОСТАЛОСЬ БОЁВ: <GAMESLEFT>/<MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,КОНЕЦ ЛИГИ СИЛОВОЙ ГОНКИ
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Твои очки
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Твоё место
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Звёздные очки
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,НАГРАДА СИЛОВОЙ ГОНКИ: <AMOUNT> <cff00ff>звёздных очков!</c>
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Эпическая победа (+3 очка):
TID_OVERWHELMING_VICTORY_GMV_0,"победите до того, как появится 15-й кристалл."
TID_OVERWHELMING_VICTORY_GMV_5,победите со счётом 2:0.
TID_OVERWHELMING_VICTORY_GMV_2,сохраните не менее 60 % очков здоровья своего сейфа.
TID_OVERWHELMING_VICTORY_GMV_11,сохраните не менее 80 % очков здоровья своей базы.
TID_OVERWHELMING_VICTORY_GMV_3,"наберите хотя бы на 10 звёзд больше, чем противник."
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Получай очки за место по итогам боя.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"30 очков за победу, 15 очков за ничью и 5 утешительных очков за поражение."
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,ОЧКИ
TID_DOUBLE_TOKEN_WEEKEND,СОБЫТИЕ С УДВОЕННЫМИ ЖЕТОНАМИ
TID_COIN_SHOWER_EVENT,СОБЫТИЕ С ЛАВИНОЙ МОНЕТ
TID_RANKS_ADDED_TITLE,Новые ранги для бойцов
TID_RANKS_ADDED_DESC,"Максимальный ранг бойца вырос с 20-го до 35-го.\n\nТы получаешь звёздные очки (<cff00ff><STARPOINTS></c>) и жетоны (<TOKENS>) за всех бойцов, достигших какого-либо из этих новых рангов."
TID_SKINS_TITLE,СКИНЫ
TID_SKINS_BUTTON_LABEL,СКИНЫ
TID_SKIN_PREVIEW,ПРЕДПРОСМОТР СКИНА
TID_DEFAULT_SKIN,<HERO>: СТАНДАРТНЫЙ СКИН
TID_HERO_LVL_UP_MATERIAL,монеты
TID_TOKENS,жетоны
TID_FIRST_WINS,звёздные жетоны
TID_CLUB_COINS,Монеты клуба
TID_BUTTON_INBOX,ВХОДЯЩИЕ
TID_INBOX_TITLE,ВХОДЯЩИЕ
TID_INBOX_SYSTEM_SENDER,Система
TID_INBOX_SUPPORT_SENDER,Служба поддержки Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> назад
TID_INBOX_CLAIM,ЗАБРАТЬ
TID_INBOX_VIEW,СМОТРЕТЬ
TID_INBOX_TAB_0,КЛУБ
TID_INBOX_TAB_1,ЛИЧНЫЕ
TID_INBOX_NO_ENTRIES,НИЧЕГО НЕТ
TID_INBOX_CAPTION_99,Трофейная лига закончилась.
TID_INBOX_CAPTION_94,Вы получаете скин: <NAME>
TID_INBOX_CAPTION_93,Вы получаете бойца: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Вы получаете бойца: <NAME> (<LEVEL>-й уровень силы)
TID_INBOX_CAPTION_92,<NAME>: вы получаете очки силы (<AMOUNT>) для этого бойца
TID_INBOX_CAPTION_91,Вы получаете билеты (<AMOUNT>)
TID_INBOX_CAPTION_90,Вы получаете <NAME> (<AMOUNT>)
TID_INBOX_CAPTION_89,Вы получаете кристаллы (<AMOUNT>)
TID_INBOX_CAPTION_88,Вы получаете удвоитель жетонов (<AMOUNT>)
TID_INBOX_CAPTION_85,Списаны кристаллы (<AMOUNT>)
TID_INBOX_CAPTION_84_4,<NAME>: вы получаете звёздную силу «<ABI>» для этого бойца
TID_INBOX_CAPTION_84_5,<NAME>: вы получаете гаджет «<ABI>» для этого бойца
TID_INBOX_CAPTION_78,Новые ранги для бойцов: 21-30!
TID_INBOX_CAPTION_76,Онлайн-этап РАЗБЛОКИРОВАН!
TID_INBOX_CAPTION_75,Награда за победу в испытании «<CHALLENGE>»:\n<NAME>
TID_INBOX_CAPTION_74,Компенсация за билеты
TID_INBOX_CAPTION_73,ВЫ ПОЛУЧАЕТЕ BRAWL PASS
TID_INBOX_CAPTION_72_52,ВЫ ПОЛУЧАЕТЕ ЗНАЧОК
TID_INBOX_CAPTION_71,ВЫ ПОЛУЧАЕТЕ ЖЕТОНЫ (<AMOUNT>) ДЛЯ СЕЗОНА BRAWL PASS «<SEASON>»
TID_INBOX_CAPTION_70,"<CHALLENGE>, награда за победу:"
TID_INBOX_CAPTION_64,Вы получаете <NAME> (<AMOUNT>)
TID_INBOX_CAPTION_DONATION,ВЫ ПОЛУЧАЕТЕ: <TEXT>
TID_INBOX_NEW,НОВОЕ!
TID_BAND_MAIL_POPUP_TITLE,КЛУБ
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Напиши сообщение...
TID_BAND_MAIL_POPUP_POST,ОТПРАВИТЬ
TID_BAND_MAIL_POPUP_NO_MSG,Сначала напиши сообщение
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Недоступно для демонстрационных учётных записей.
TID_REVOKE_TITLE,Сообщение службы поддержки
TID_REVOKE_OK,Понятно
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Нельзя отправить запрос на вступление. Ты уже в команде.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Нельзя отправить запрос на вступление.\nСначала рассмотри приглашение в команду.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Нельзя отправить запрос на вступление. Другой твой запрос ожидает рассмотрения.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Запрос на вступление отменён.
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,Я ХОЧУ ВСТУПИТЬ В ВАШУ КОМАНДУ
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>ПОБЕДА</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>ПОРАЖЕНИЕ</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>НИЧЬЯ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>МЕСТО: <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>МЕСТО: <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>МЕСТО: <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> назад
TID_BATTLE_LOG_HERO_LEVEL_LABEL,УР.
TID_BATTLE_LOG_TVST_VERSUS,ПРОТИВ
TID_BATTLE_LOG_TITLE,ДАННЫЕ БОЯ
TID_BATTLE_LOG_REPLAY,ПОВТОР
TID_BATTLE_LOG_MVP,ЗВЁЗДНЫЙ ИГРОК
TID_BATTLE_LOG_FRIENDLY,ДРУЖЕСКИЙ
TID_BATTLE_LOG_TOURNAMENT,ТУРНИР
TID_BATTLE_LOG_PVP,РАНГОВЫЙ
TID_BATTLE_LOG_PRO_LEAGUE,СИЛОВАЯ ГОНКА
TID_BATTLE_LOG_RANKED,СИЛОВАЯ ЛИГА
TID_BATTLE_LOG_NO_ENTRIES,НЕТ ЗАПИСЕЙ
TID_BATTLE_LOG_THIS_IS_A_BOT,Это бот
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Повторы сейчас отключены
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Повтор ещё не доступен
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Повтор недоступен: у бойца слишком мало трофеев
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,"Собери <NUM> трофеев бойца, чтобы разблокировать возможность повторов"
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Повтор недоступен: ошибка записи
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Повтор больше не доступен
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Не удалось добавить друга
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Срок действия ссылки для приглашения друга истёк!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Не удалось добавить друга, список друзей пользователя переполнен!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Не удалось добавить друга, твой список друзей переполнен!"
TID_ADD_FRIEND_FAILED_BANNED,"Не удалось добавить друга, пользователь заблокирован!"
TID_KEYPOOL_KEYS_REMAINING,Ещё <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> жетонов через <TIME>
TID_TOP_HUD_NEXT_REWARD,Следующая награда
TID_RANK_UP_REWARD_REPLACED_TITLE,Альтернативная награда
TID_RANK_UP_REWARD_REPLACED_POWER,Ни один боец не может быть выбран для получения <AMOUNT> очков силы.\n\nВозьмёшь вместо этого альтернативную награду?
TID_RANK_UP_REWARD_REPLACED_HERO,"У тебя уже есть <NAME>, поэтому ты получишь альтернативную награду."
TID_RANK_UP_REWARD_REPLACED_PIN,"У тебя уже есть этот значок, поэтому ты получишь альтернативную награду."
TID_RANK_UP_REWARD_REPLACED_SKIN,"У тебя уже есть <NAME>, поэтому ты получишь альтернативную награду."
TID_RANK_UP_REWARD_REPLACED_GEN,"У тебя уже есть эта награда, поэтому ты получишь вместо неё другую."
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,"Достигнуто максимальное количество очков силы, и ни один из твоих бойцов не может получить <AMOUNT> очк. силы.\n\nЗабрать альтернативную награду?"
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,ПРЕДЛОЖИТЬ ДРУЖИТЬ
TID_PLAYER_INFO_REMOVE_FRIEND,УДАЛИТЬ ИЗ СПИСКА ДРУЗЕЙ
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,ПРЕДЛОЖЕНИЕ ОТПРАВЛЕНО
TID_PLAYER_INFO_IS_YOUR_FRIEND,ДРУГ\nВ ИГРЕ
TID_POWER_POINTS,ОЧКИ СИЛЫ
TID_HERO_INFO_LEVEL,СИЛА
TID_HERO_INFO_LEVEL_LONG,УРОВЕНЬ СИЛЫ
TID_HERO_INFO_RANK,РАНГ
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,ПОВЫСИТЬ УРОВЕНЬ СИЛЫ ДО <LVL>-ГО
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,НАЖМИ СНОВА ДЛЯ ПОДТВЕРЖДЕНИЯ
TID_HERO_INFO_MAX_LEVEL,МАКСИМАЛЬНАЯ СИЛА
TID_HERO_INFO_MORE_POWER_NEEDED,"Собери больше очков силы, чтобы улучшить!"
TID_HERO_INFO_LEVEL_UP_ERROR_4,У бойца не хватает очков силы!
TID_HERO_INFO_LEVEL_UP_ERROR_3,У тебя не хватает монет!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Боец достиг максимального уровня силы!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,НАЧАЛЬНЫЙ БОЕЦ
TID_HERO_INFO_STAR_POWER_EQUIP,ВЫБРАТЬ
TID_HERO_INFO_STAR_POWER_EQUIPPED,ВЫБРАНО
TID_PLAYER_REPORTED_SUCCESSFULLY,Жалоба отправлена!
TID_TOO_MANY_REPORTS_SENT,Достигнут ежедневный лимит жалоб!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,"Подожди, прежде чем отправлять новую жалобу."
TID_CHOOSE_CHARACTER,ВЫБЕРИ БОЙЦА
TID_ARMOR,ЗДОРОВЬЕ
TID_ARMOR_DESC,"Отражает количество урона, которое может выдержать боец."
TID_SHOTGUN_GIRL,ШЕЛЛИ
TID_SHOTGUN_GIRL_DESC,Шелли обрушивает на вражескую команду шквал дроби из ружья. Её Супер уничтожает укрытия и держит противников на расстоянии!
TID_LONG_RANGE_SHOTGUN,КАРТЕЧЬ
TID_LONG_RANGE_SHOTGUN_DESC,"Громобой Шелли выпускает сноп пуль на среднюю дистанцию. Чем больше пуль достигает цели, тем больше урон."
TID_MEGA_BLASH_ULTI,СУПЕРОБСТРЕЛ
TID_MEGA_BLASH_ULTI_DESC,"Суперобстрел Шелли сносит и укрытия, и врагов. Выживших отбрасывает назад."
TID_GUNSLINGER,КОЛЬТ
TID_GUNSLINGER_DESC,"Герой поневоле, который часто оказывается в ненужном месте в нужное время. Влюблён в своё отражение в зеркале и просто излучает уверенность!"
TID_RAPID_FIRE,ПОЛНАЯ ОБОЙМА
TID_RAPID_FIRE_DESC,Кольт делает шесть выстрелов большой дальности из револьверов.
TID_RAPID_FIRE_ULTI,ПУЛЕВОЙ ШТОРМ
TID_RAPID_FIRE_ULTI_DESC,Пули из револьверов Кольта покрывают огромное расстояние и уничтожают укрытия.
TID_BULL_DUDE,БУЛЛ
TID_BULL_DUDE_DESC,Ружьё Булла наносит серьёзный урон на небольшой дистанции. Его Супер позволяет ему прорываться сквозь препятствия и отбрасывать врагов назад!
TID_SHOTGUN_BLAST,ДВУСТВОЛКА
TID_SHOTGUN_BLAST_DESC,"Двустволка Булла наносит серьёзный урон, но обладает малой дальностью. Поэтому Булл предпочитает тесное общение."
TID_CHARGE,БУЛЬДОЗЕР
TID_CHARGE_DESC,"Нагнув голову, Булл проносится сквозь врагов и препятствия. Упорство — его второе я."
TID_ROCKET_GIRL,БРОК
TID_ROCKET_GIRL_DESC,"Если Брок не отжигает с ракетами на поле боя, то отжигает на танцполе!"
TID_FIREWORKS_WEAPON,РОКОВАЯ РАКЕТА
TID_FIREWORKS_WEAPON_DESC,Выпущенная Броком роковая ракета летит высоко и далеко.
TID_FIREWORKS_ULTI,РАКЕТНЫЙ ДОЖДЬ
TID_FIREWORKS_ULTI_DESC,Заградительный ракетный огонь Брока сметает препятствия и врагов. Он искупает тебя под ракетным дождём!
TID_TNT_DUDE,ДИНАМАЙК
TID_TNT_DUDE_DESC,"Когда все окончательно решили, что Динамайк сгинул в шахте, он вернулся и всё так же рвётся что-нибудь взорвать!"
TID_MORTAR,ЛОПНУВШЕЕ ТЕРПЕНИЕ
TID_MORTAR_DESC,"Брошенная Майком пара шашек легко преодолеет препятствия, а начиняющий их динамит взрывоопасен, как характер Майка!"
TID_MORTAR_ULTI,БОЛЬШОЙ БА-БАХ
TID_MORTAR_ULTI_DESC,Супермегамощный взрыв сносит укрытия. Выживших врагов отбрасывает взрывной волной!
TID_LUCHADOR,ЭЛЬ ПРИМО
TID_LUCHADOR_DESC,"Эль Примо обрушивает на врагов град ударов. Его Супер, удар локтем в прыжке, наносит урон всем, кто оказался рядом!"
TID_LUCHADOR_WEAPON,КУЛАКИ ЯРОСТИ
TID_LUCHADOR_WEAPON_DESC,Эль Примо наносит четыре неистовых удара своими мощными кулаками.
TID_LUCHADOR_ULTI,МОГУЧИЙ ЛОКОТЬ
TID_LUCHADOR_ULTI_DESC,"Высоко подпрыгнув, Эль Примо с силой обрушивает вниз локоть, разбрасывая в стороны врагов и разрушая укрытия."
TID_TRICKSHOT_DUDE_OLD,РИКОШЕТ
