"Name","FileName","StartFrame","EndFrame","RunningTimeMs","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Priority"
"UndertakerRecoil1","mortis_attack.scw",-1,-1,-1,,,,50,"false",1
"UndertakerUltiRecoil1","mortis_ulti.scw",1,30,-1,,,,50,"false","chest_s#1"
"UndertakerUltiAttack","mortis_ulti.scw",1,30,-1,,,,50,"false","chest_s#1"
"UndertakerWin","mortis_win.scw",1,77,-1,,,,,"false",1
"UndertakerWinloop","mortis_win.scw",77,106,-1,,,,,"true",1
"UndertakerLose","mortis_lose.scw",1,54,-1,,,,,"false",1
"UndertakerLoseloop","mortis_lose.scw",54,60,-1,,,,,"true",1
"MariachiIdle","mariachi_idle.scw",-1,-1,-1,,100,100,,"true",
"MariachiWalk","mariachi_walk.scw",-1,-1,-1,140,100,100,,"true",1
"MariachiAttack","mariachi_attack.scw",-1,-1,-1,,100,100,300,"false","ChestBone#3"
"MariachiSecondary","mariachi_attack.scw",-1,-1,-1,,100,100,200,"false","ChestBone#3"
"MariachiRecoil","mariachi_recoil.scw",-1,-1,-1,,100,200,150,"false","ChestBone#4"
"MariachiReload","mariachi_reload.scw",-1,-1,-1,,100,200,200,"false","ChestBone#2"
"MariachiPushback","mariachi_idle.scw",-1,-1,-1,,200,300,500,"false",5
"MariachiWin","mariachi_win1.scw",-1,-1,-1,50,,,50,"false",
"MariachiWinloop","mariachi_winloop1.scw",-1,-1,-1,,,,,"true",
"MariachiLose","mariachi_lose1.scw",-1,-1,-1,,,,50,"false",
"MariachiLoseloop","mariachi_loseloop1.scw",-1,-1,-1,,,,,"true",
"CrowIdle","crow_idle1.scw",-1,-1,-1,,100,100,,"true",
"CrowWalk","crow_walk1.scw",-1,-1,-1,200,100,100,,"true",1
"CrowPrimary","crow_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"CrowSecondary","crow_attack2.scw",-1,-1,-1,,50,50,10,"false",5
"CrowRecoil","crow_recoil1.scw",-1,-1,-1,,50,50,200,"false","ChestBone#4"
"CrowReload","crow_idle1.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"CrowPushback","crow_idle1.scw",-1,-1,-1,,200,100,200,"false",5
"CrowWin","crow_win1.scw",-1,-1,-1,,,,200,"false",
"CrowWinloop","crow_winloop1.scw",-1,-1,-1,,,,,"true",
"CrowLose","crow_lose1.scw",-1,-1,-1,,,,200,"false",
"CrowLoseloop","crow_loseloop1.scw",-1,-1,-1,,,,,"true",
"BowGuyIdle","bowdude_idle.scw",-1,-1,-1,,500,500,,"true",
"BowGuyWalk","bowdude_walk.scw",-1,-1,-1,150,500,500,,"true",1
"BowGuyAttack","bowdude_attack.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuySecondary","bowdude_ultiattack1.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuyRecoil","bowdude_recoil.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuyRecoil2","bowdude_ultirecoil1.scw",-1,-1,-1,,50,50,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BowGuyWin","bowdude_win1.scw",-1,-1,-1,,,,200,"false",
"BowGuyWinloop","bowdude_winloop1.scw",-1,-1,-1,,,,,"true",
"BowGuyLose","bowdude_lose1.scw",-1,-1,-1,,,,200,"false",
"BowGuyLoseloop","bowdude_loseloop1.scw",-1,-1,-1,,,,,"true",
"RickosheaIdle","rickoshea_idle.scw",-1,-1,-1,,100,100,,"true",
"RickosheaWalk","rickoshea_walk.scw",-1,-1,-1,100,100,100,,"true",1
"RickosheaPrimary","rickoshea_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"RickosheaSecondary","rickoshea_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"RickosheaRecoil","rickoshea_recoil.scw",-1,-1,-1,,100,200,400,"false","ChestBone#4"
"RickosheaReload","rickoshea_reload.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"RickosheaPushback","rickoshea_idle.scw",-1,-1,-1,,200,100,200,"false",5
"RickosheaWin","rickoshea_win1.scw",-1,-1,-1,,,,200,"false",
"RickosheaWinloop","rickoshea_winloop1.scw",-1,-1,-1,,,,,"true",
"RickosheaLose","rickoshea_lose1.scw",-1,-1,-1,,,,200,"false",
"RickosheaLoseloop","rickoshea_loseloop1.scw",-1,-1,-1,,,,,"true",
"JunkerIdle","jessie_idle.scw",-1,-1,-1,,100,100,,"true",
"JunkerWalk","jessie_walk.scw",-1,-1,-1,150,100,100,,"true",1
"JunkerPrimary","jessie_attack.scw",1,5,-1,,,,1,"false","spine_lower_s#3"
"JunkerUltiAttack","jessie_idle.scw",-1,-1,-1,,200,200,10,"false",5
"JunkerRecoil","jessie_attack.scw",5,15,-1,,25,,100,"false","spine_lower_s#4"
"JunkerUltiRecoil","jessie_idle.scw",-1,-1,-1,,200,200,100,"false",5
"JunkerReload","jessie_idle.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"JunkerPushback","jessie_idle.scw",-1,-1,-1,,200,100,200,"false",5
"JunkerWin","jessie_win.scw",1,107,-1,,,,,"false",
"JunkerWinloop","jessie_win.scw",107,139,-1,,,,,"true",
"JunkerLose","jessie_lose.scw",1,56,-1,,,,,"false",
"JunkerLoseloop","jessie_lose.scw",56,70,-1,,,,,"true",
"BarkeepIdle","barkeep_idle.scw",-1,-1,-1,,100,100,,"true",
"BarkeepWalk","barkeep_walk.scw",-1,-1,-1,120,100,100,,"true",1
"BarkeepPrimary","barkeep_attack1.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"BarkeepSecondary","barkeep_attack1.scw",-1,-1,-1,,100,50,200,"false","ChestBone#3"
"BarkeepRecoil","barkeep_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BarkeepReload","barkeep_reload.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"BarkeepPushback","barkeep_idle.scw",-1,-1,-1,,200,100,200,"false",5
"BarkeepWin","barkeep_win1.scw",-1,-1,-1,,,,200,"false",
"BarkeepWinloop","barkeep_winloop1.scw",-1,-1,-1,,,,,"true",
"BarkeepLose","barkeep_lose1.scw",-1,-1,-1,,,,200,"false",
"BarkeepLoseloop","barkeep_loseloop1.scw",-1,-1,-1,,,,,"true",
"CactusIdle","cactus_idle1.scw",-1,-1,-1,,100,100,,"true",
"CactusWalk","cactus_walk1.scw",-1,-1,-1,100,100,100,,"true",1
"CactusPrimary","cactus_attack1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"CactusSecondary","cactus_ultirecoil1.scw",-1,-1,-1,,50,50,200,"false",5
"CactusRecoil","cactus_recoil1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"CactusRecoil2","cactus_ultirecoil1.scw",-1,-1,-1,,50,50,200,"false",5
"CactusReload","cactus_idle1.scw",-1,-1,-1,,200,200,200,"false",5
"CactusWin","cactus_win1.scw",-1,-1,-1,,,,200,"false",
"CactusWinloop","cactus_winloop1.scw",-1,-1,-1,,,,,"true",
"CactusLose","cactus_lose1.scw",-1,-1,-1,,,,200,"false",
"CactusLoseloop","cactus_loseloop1.scw",-1,-1,-1,,,,,"true",
"LouchadorIdle","louchador_idle.scw",-1,-1,-1,,500,500,,"true",
"LouchadorWalk","louchador_walk.scw",-1,-1,-1,150,120,200,,"true",1
"LouchadorPrimary","louchador_attack1.scw",-1,-1,-1,,100,100,50,"false","ChestBone#3"
"LouchadorSecondary","louchador_ulti_attack1.scw",-1,-1,-1,,100,100,,"false","ChestBone#3"
"LouchadorRecoil","louchador_recoil.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"LouchadorPushback","louchador_idle.scw",-1,-1,-1,,100,100,400,"false",5
"LouchadorRecoil2","louchador_recoil2.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"LouchadorWin","luchador_win1.scw",-1,-1,-1,,,,200,"false",5
"LouchadorWinloop","luchador_winloop1.scw",-1,-1,-1,,,,,"true",1
"LouchadorLose","luchador_lose1.scw",-1,-1,-1,,,,200,"false",5
"LouchadorLoseloop","luchador_loseloop1.scw",-1,-1,-1,,,,,"true",1
"ShamanIdle","shaman_idle1.scw",-1,-1,-1,,100,100,,"true",
"ShamanWalk","shaman_walk1.scw",-1,-1,-1,200,100,100,,"true",1
"ShamanAttack","shaman_attack1.scw",-1,-1,-1,,100,100,300,"false","ChestBone#3"
"ShamanSecondary","shaman_attack1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#3"
"ShamanRecoil","shaman_recoil1.scw",-1,-1,-1,,100,100,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"ShamanReload","shaman_idle1.scw",-1,-1,-1,,100,200,500,"false","ChestBone#2"
"ShamanPushback","shaman_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"ShamanWin","shaman_win1.scw",-1,-1,-1,,,,200,"false",5
"ShamanWinloop","shaman_winloop1.scw",-1,-1,-1,,,,,"true",1
"ShamanLose","shaman_lose1.scw",-1,-1,-1,,,,200,"false",5
"ShamanLoseloop","shaman_loseloop1.scw",-1,-1,-1,,,,,"true",1
"ShellyIdle","shelly_idle.scw",-1,-1,-1,,100,100,,"true",
"ShellyWalk","shelly_walk.scw",-1,-1,-1,,100,100,,"true",1
"ShellyPrimary","shelly_attack1.scw",-1,-1,-1,,100,100,300,"false","ChestBone#3"
"ShellySecondary","shelly_attack1.scw",-1,-1,-1,,100,100,200,"false","ChestBone#3"
"ShellyRecoil","shelly_recoil1.scw",-1,-1,-1,,100,200,150,"false","ChestBone#4"
"ShellyReload","shelly_reload.scw",-1,-1,-1,,200,10,100,"false","ChestBone#2"
"ShellyPushback","shelly_pushback.scw",-1,-1,-1,,100,100,200,"false",5
"ShellyWin","shelly_win1.scw",-1,-1,-1,,,,200,"false",5
"ShellyWinloop","shelly_winloop1.scw",-1,-1,-1,,,,,"true",1
"ShellyLose","shelly_lose1.scw",-1,-1,-1,,,,200,"false",5
"ShellyLoseloop","shelly_loseloop1.scw",-1,-1,-1,,,,,"true",1
"BearIdle","bear_idle1.scw",-1,-1,-1,,100,100,,"true",
"BearWalk","bear_walk1.scw",-1,-1,-1,100,100,100,,"true",1
"BearAttack","bear_attack1.scw",-1,-1,-1,,100,200,150,"false","ChestBone#4"
"BearRecoil","bear_recoil1.scw",-1,-1,-1,,1,1,50,"false","ChestBone#4"
"BearPushback","bear_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"BrockIdle","brock_idle1.scw",-1,-1,-1,,100,100,,"true",
"BrockWalk","brock_walk1.scw",-1,-1,-1,150,100,100,,"true",1
"BrockSecondary","brock_ultiattack1.scw",-1,-1,-1,,1,100,100,"false","PelvisBone#4"
"BrockRecoil","brock_recoil1.scw",-1,-1,-1,,1,100,100,"false","PelvisBone#4"
"BrockRecoil2","brock_ultirecoil1.scw",-1,-1,-1,,1,100,100,"false","PelvisBone#4"
"BrockWin","brock_win1.scw",-1,-1,-1,,,,200,"false",5
"BrockWinloop","brock_winloop1.scw",-1,-1,-1,,,,,"true",5
"BrockLose","brock_lose1.scw",-1,-1,-1,,,,200,"false",5
"BrockLoseloop","brock_loseloop1.scw",-1,-1,-1,,,,,"true",5
"BullRockIdle","bull_rock_idle.scw",-1,-1,-1,,500,500,,"true",
"BullRockWalk","bull_rock_run.scw",-1,-1,-1,140,500,500,,"true",1
"BullRockPrimary","bull_rock_attack.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"BullRockSecondary","bull_rock_charge.scw",-1,-1,-1,,100,200,200,"true","ChestBone#4"
"BullRockRecoil","bull_rock_recoil.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"BullRockReload","bull_rock_idle.scw",-1,-1,-1,,100,100,600,"false","ChestBone#2"
"BullRockPushback","bull_rock_idle.scw",-1,-1,-1,,100,200,400,"false",5
"BullRockWin","bull_rock_win1.scw",-1,-1,-1,,,,200,"false",5
"BullRockWinloop","bull_rock_winloop1.scw",-1,-1,-1,,,,,"true",5
"BullRockLose","bull_rock_lose1.scw",-1,-1,-1,,,,200,"false",5
"BullRockLoseloop","bull_rock_loseloop1.scw",-1,-1,-1,,,,,"true",5
"SniperIdle","sniper_idle1.scw",-1,-1,-1,,100,100,,"true",
"SniperWalk","sniper_walk1.scw",-1,-1,-1,150,100,100,,"true",1
"SniperAttack","sniper_attack1.scw",-1,-1,-1,,50,50,200,"false",5
"SniperSecondary","sniper_ulti1.scw",-1,-1,-1,,50,50,200,"false",5
"SniperRecoil","sniper_recoil1.scw",-1,-1,-1,,50,50,200,"false",5
"SniperReload","sniper_idle1.scw",-1,-1,-1,,100,200,500,"false","ChestBone#2"
"SniperPushback","sniper_idle1.scw",-1,-1,-1,,200,300,500,"false",5
"SniperWin","sniper_win1.scw",0,26,-1,,,,,"false",5
"SniperWinloop","sniper_win1.scw",26,60,-1,,,,,"true",1
"SniperLose","sniper_lose1.scw",0,30,-1,,,,,"false",5
"SniperLoseloop","sniper_lose1.scw",30,39,-1,,,,,"true",1
"Ball","ball_geo.scw",-1,-1,-1,,,,,"true",
"NinjaIdle","ninja_idle.scw",-1,-1,-1,,100,100,,"true",
"NinjaWalk","ninja_walk.scw",0,19,-1,,100,100,,"true",1
"NinjaPrimary","ninja_attack1.scw",0,2,-1,,100,100,300,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"NinjaSecondary","ninja_ulti1.scw",0,2,-1,,100,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"NinjaRecoil","ninja_attack1.scw",4,15,-1,,100,200,150,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"NinjaRecoil2","ninja_ulti1.scw",0,15,-1,,100,200,100,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"NinjaReload","ninja_idle.scw",-1,-1,-1,,200,10,100,"false","ChestBone#2"
"NinjaPushback","ninja_idle.scw",-1,-1,-1,,100,100,200,"false",5
"NinjaWin","ninja_win1.scw",0,32,-1,,,,200,"false",5
"NinjaWinloop","ninja_win1.scw",32,40,-1,,,,,"true",1
"NinjaLose","ninja_lose1.scw",0,20,-1,,,,200,"false",5
"NinjaLoseloop","ninja_lose1.scw",20,30,-1,,,,,"true",1
"MinigunnerIdle","minigunner_idle.scw",0,39,-1,,100,100,,"true","PelvisBone#4"
"MinigunnerWalk","minigunner_walk.scw",-1,-1,-1,140,500,500,,"true",1
"MinigunnerPrimary","minigunner_idle.scw",-1,-1,-1,,100,200,200,"false","ChestBone#3"
"MinigunnerSecondary","minigunner_ulti1.scw",0,3,-1,,100,100,200,"true","ChestBone#4"
"MinigunnerRecoil","minigunner_idle.scw",-1,-1,-1,,100,100,200,"false","ChestBone#4"
"MinigunnerRecoil2","minigunner_ulti1.scw",0,15,-1,,100,100,200,"false","ChestBone#4"
"MinigunnerReload","minigunner_idle.scw",-1,-1,-1,,100,100,600,"false","ChestBone#2"
"MinigunnerPushback","minigunner_idle.scw",-1,-1,-1,,100,200,400,"false",5
"MinigunnerWin","minigunner_win1.scw",0,32,-1,,,,200,"false",5
"MinigunnerWinloop","minigunner_win1.scw",33,57,-1,,,,,"true",5
"MinigunnerLose","minigunner_lose1.scw",0,40,-1,,,,200,"false",5
"MinigunnerLoseloop","minigunner_lose1.scw",40,45,-1,,,,,"true",5
"HealingStation","healstation_geo.scw",-1,-1,-1,,,,,"true",
"BarrelbotIdle","barrelbot_idle.scw",-1,-1,-1,,100,100,,"true",
"BarrelbotWalk","barrelbot_walk.scw",-1,-1,-1,150,100,100,,"true",1
"BarrelbotPrimary","barrelbot_idle.scw",-1,-1,-1,,200,200,100,"false","ChestBone#3"
"BarrelbotSecondary","barrelbot_charge.scw",-1,-1,-1,,1,1,1,"true",5
"BarrelbotRecoil","barrelbot_recoil.scw",-1,-1,-1,,200,200,100,"false","ChestBone#4"
"BarrelbotRecoil2","barrelbot_recoil2.scw",-1,-1,-1,,200,200,100,"false","ChestBone#4"
"BarrelbotReload","barrelbot_recoil.scw",-1,-1,-1,,800,800,800,"false","ChestBone#2"
"BarrelbotPushback","barrelbot_idle.scw",-1,-1,-1,,200,100,200,"false",5
"BarrelbotWin","barrelbot_win1.scw",0,28,-1,,,,200,"false",
"BarrelbotWinloop","barrelbot_win1.scw",29,88,-1,,,,,"true",
"BarrelbotLose","barrelbot_lose1.scw",0,67,-1,,,,200,"false",
"BarrelbotHide","barrelbot_signature.scw",-1,-1,-1,,200,200,100,"true",
"BarrelbotLoseloop","barrelbot_lose1.scw",68,68,-1,,,,,"true",
"RangedBotIdle","rangedbot_idle.scw",-1,-1,-1,,100,100,,"true",
"RangedBotWalk","rangedbot_walk.scw",-1,-1,-1,100,100,100,,"true",1
"RangedBotPrimary","rangedbot_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"RangedBotSecondary","rangedbot_attack1.scw",-1,-1,-1,,100,300,600,"false","ChestBone#3"
"RangedBotRecoil","rangedbot_recoil.scw",-1,-1,-1,,100,200,400,"false","ChestBone#4"
"RangedBotReload","rangedbot_reload.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"RangedBotPushback","rangedbot_idle.scw",-1,-1,-1,,200,100,200,"false",5
"RangedBotWin","rangedbot_win1.scw",-1,-1,-1,,,,200,"false",
"RangedBotWinloop","rangedbot_winloop1.scw",-1,-1,-1,,,,,"true",
"RangedBotLose","rangedbot_lose1.scw",-1,-1,-1,,,,200,"false",
"RangedBotLoseloop","rangedbot_loseloop1.scw",-1,-1,-1,,,,,"true",
"FastMeleeBotIdle","fastmeleebot_idle.scw",-1,-1,-1,,500,500,,"true",
"FastMeleeBotWalk","fastmeleebot_walk.scw",-1,-1,-1,150,120,200,,"true",1
"FastMeleeBotRecoil","fastmeleebot_recoil.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"FastMeleeBotPushback","fastmeleebot_idle.scw",-1,-1,-1,,100,100,400,"false",5
"FastMeleeBotWin","fastmeleebot_idle.scw",-1,-1,-1,,,,200,"false",5
"FastMeleeBotWinloop","fastmeleebot_idle.scw",-1,-1,-1,,,,,"true",1
"FastMeleeBotLose","fastmeleebot_idle.scw",-1,-1,-1,,,,200,"false",5
"FastMeleeBotLoseloop","fastmeleebot_idle.scw",-1,-1,-1,,,,,"true",1
"MeleeBotIdle","meleebot_idle.scw",-1,-1,-1,,500,500,,"true",
"MeleeBotWalk","meleebot_walk.scw",-1,-1,-1,150,120,200,,"true",1
"MeleeBotRecoil","recoil.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"MeleeBotPushback","meleebot_idle.scw",-1,-1,-1,,100,100,400,"false",5
"MeleeBotRecoil2","recoil_2.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"MeleeBotWin","meleebot_idle.scw",-1,-1,-1,,,,200,"false",5
"MeleeBotWinloop","meleebot_idle.scw",-1,-1,-1,,,,,"true",1
"MeleeBotLose","meleebot_idle.scw",-1,-1,-1,,,,200,"false",5
"MeleeBotLoseloop","meleebot_idle.scw",-1,-1,-1,,,,,"true",1
"BossBotIdle","bossbot_idle.scw",-1,-1,-1,,500,500,,"true",
"BossBotWalk","bossbot_walk.scw",-1,-1,-1,150,120,200,,"true",1
"BossBotPrimary","bossbot_shoot_recoil.scw",-1,-1,-1,,1,100,200,"false","ChestBone#3"
"BossBotRecoil","bossbot_recoil_1.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BossBotPushback","bossbot_idle.scw",-1,-1,-1,,100,100,400,"false",5
"BossBotRecoil2","bossbot_recoil_2.scw",-1,-1,-1,,1,100,200,"false","PelvisBone#4+RLegBone#0+LLegBone#0"
"BossBotWin","bossbot_idle.scw",-1,-1,-1,,,,200,"false",5
"BossBotWinloop","bossbot_idle.scw",-1,-1,-1,,,,,"true",1
"BossBotLose","bossbot_idle.scw",-1,-1,-1,,,,200,"false",5
"BossBotLoseloop","bossbot_idle.scw",-1,-1,-1,,,,,"true",1
"ArtilleryGalIdle","mari_idle.scw",-1,-1,-1,,100,100,,"true",
"ArtilleryGalWalk","mari_walk.scw",-1,-1,-1,150,100,100,,"true",1
"ArtilleryGalPrimary","mari_attack.scw",1,8,-1,,,,1,"false","spine_lower_s#5"
"ArtilleryGalUltiAttack","mari_idle.scw",-1,-1,-1,,200,200,10,"false",5
"ArtilleryGalRecoil","mari_attack.scw",5,15,-1,,100,200,200,"false","spine_lower_s#5"
"ArtilleryGalUltiRecoil","mari_idle.scw",-1,-1,-1,,200,200,100,"false",5
"ArtilleryGalReload","mari_idle.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"ArtilleryGalPushback","mari_idle.scw",-1,-1,-1,,200,100,200,"false",5
"ArtilleryGalWin","mari_win.scw",1,50,-1,,,,,"false",
"ArtilleryGalWinloop","mari_win.scw",40,50,-1,,,,,"true",
"ArtilleryGalLose","mari_lose.scw",1,50,-1,,,,,"false",
"ArtilleryGalLoseloop","mari_lose.scw",40,50,-1,,,,,"true",
"FrankIdle","frank_idle.scw",-1,-1,-1,,500,500,,"true",
"FrankWalk","frank_walk.scw",-1,-1,-1,150,120,200,,"true",5
"FrankPrimary","frank_attack.scw",1,30,-1,,100,100,1,"false",5
"FrankSecondary","frank_ulti.scw",1,50,-1,,100,100,,"false",5
"FrankRecoil","frank_attack.scw",22,30,-1,,1,100,100,"false",5
"FrankPushback","frank_idle.scw",-1,-1,-1,,100,100,400,"false",5
"FrankRecoil2","frank_ulti.scw",36,50,-1,,1,1,100,"false",5
"FrankWin","frank_win.scw",1,22,-1,,,,,"false",5
"FrankWinloop","frank_win.scw",23,50,-1,,,,,"true",1
"FrankLose","frank_lose.scw",1,74,-1,,,,,"false",5
"FrankLoseloop","frank_lose.scw",75,119,-1,,,,,"true",1
"ArtillerySpawn","turret_spawn.scw",-1,-1,-1,,,,1,"false",3
"ArtilleryIdle","turret_idle.scw",-1,-1,-1,,,,,"true",
"ArtilleryAttack","turret_attack.scw",-1,-1,-1,100,,,1,"false",4
"JunkerKnightWalk","jessie_knight_walk.scw",-1,-1,-1,150,100,100,,"true",1
"JunkerKnightIdle","jessie_knight_idle.scw",1,29,-1,,100,100,,"true",
"JunkerKnightPrimary","jessie_knight_attack.scw",1,5,-1,,,,1,"false","spine_lower_s#3"
"JunkerKnightUltiAttack","jessie_knight_idle.scw",1,29,-1,,200,200,10,"false",5
"JunkerKnightRecoil","jessie_knight_attack.scw",5,15,-1,,25,,100,"false","spine_lower_s#4"
"JunkerKnightUltiRecoil","jessie_knight_idle.scw",1,29,-1,,200,200,100,"false",5
"JunkerKnightReload","jessie_knight_idle.scw",1,29,-1,,200,200,200,"false","ChestBone#2"
"JunkerKnightPushback","jessie_knight_idle.scw",1,29,-1,,200,100,200,"false",5
"JunkerKnightWin","jessie_knight_win.scw",1,100,-1,,,,,"false",
"JunkerKnightWinloop","jessie_knight_win.scw",100,130,-1,,,,,"true",
"JunkerKnightBattleWin","jessie_knight_battlewin.scw",1,107,-1,,,,,"false",
"JunkerKnightBattleWinloop","jessie_knight_battlewin.scw",107,139,-1,,,,,"true",
"JunkerKnightLose","jessie_knight_lose.scw",1,56,-1,,,,,"false",
"JunkerKnightLoseloop","jessie_knight_lose.scw",56,70,-1,,,,,"true",
"JunkerSummertimeWalk","jessie_summertime_walk.scw",-1,-1,-1,150,100,100,,"true",1
"CrowPheonixIdle","crow_pheonix_idle.scw",-1,-1,-1,,100,100,,"true",
"CrowPheonixWalk","crow_pheonix_walk.scw",1,29,-1,150,100,100,,"true",1
"CrowPheonixPrimary","crow_pheonix_attack.scw",1,5,-1,150,100,300,600,"false","spine_lower_s#4"
"CrowPheonixUltiAttack","crow_pheonix_ulti.scw",-1,-1,-1,,50,50,10,"false",5
"CrowPheonixRecoil","crow_pheonix_attack.scw",5,20,-1,150,,,100,"false","spine_lower_s#4"
"CrowPheonixReload","crow_pheonix_idle.scw",-1,-1,-1,,200,200,200,"false","ChestBone#2"
"CrowPheonixPushback","crow_pheonix_idle.scw",-1,-1,-1,,200,100,200,"false",5
"CrowPheonixWin","crow_pheonix_win.scw",1,89,-1,,,,0,"false",
"CrowPheonixWinloop","crow_pheonix_win.scw",90,112,-1,,,,,"true",
"CrowPheonixLose","crow_pheonix_lose.scw",1,49,-1,,,,200,"false",
"CrowPheonixLoseloop","crow_pheonix_lose.scw",50,75,-1,,,,,"true",
"TurretWin","turret_dragon_win.scw",1,100,-1,,,,,"false",
"TurretWinloop","turret_dragon_win.scw",100,130,-1,,,,,"true",
"UndertakerGreaserWin","mortis_greaser_win.scw",0,80,-1,,,,,"false",1
