"Name","FileNames","BackgroundFile","MinVolume","MaxVolume","MinPitch","MaxPitch","Priority","MaximumByType","MaxRepeatMs","Loop","PlayVariationsInSequence","PlayVariationsInSequenceManualReset","StartDelayMinMs","StartDelayMaxMs","PlayOnlyWhenInView","MaxVolumeScaleLimit","NoSoundScaleLimit","PadEmpyToEndMs","MovieClipFrameLabel"
"Byron_Dryfire","sfx/byron_dry_fire_01.ogg",,30,40,95,105,1,3,200,,,,,,,,,,
"gunslinger_fire","sfx/pistol_fire_01.ogg",,15,30,95,105,1,20,50,,,,,,,,,,"sfx_gunslinger_fire"
"gunslinger_fire_ulti","sfx/pistol_fire_ulti_01.ogg",,20,30,105,115,1,20,50,,,,,,,,,,
"explosion_rocket_rose","sfx/rose_rocket_explo_01.ogg",,25,35,95,105,1,10,,,,,,,,,,,
"explosion_rocket_rose_ulti","sfx/rose_rocket_ulti_explo_01.ogg",,30,40,95,105,1,10,,,,,,,,,,,
"tnt_attack","sfx/dynamike_throw_01.ogg",,40,50,95,105,1,4,,,,,,,,,,,
"tnt_attack_ulti","sfx/dynamike_throw_02.ogg",,50,60,95,105,1,4,,,,,,,,,,,
"No_ammo_shotgungirl","sfx/sgg_out_of_ammo_02.ogg",,60,60,100,100,1,3,,,,,,,,,,,
"Dry_fire_shotgungirl","sfx/sgg_dryfire_01.ogg",,60,60,95,105,1,3,,,,,,,,,,,
"gale_dry_fire","sfx/gale_dry_fire_01.ogg",,60,60,95,105,1,3,,,,,,,,,,,
"sprout_dryfire","sfx/sprout_dryfire_01.ogg",,60,60,95,105,1,3,,,,,,,,,,,
"Rhinocharge","sfx/dummy.ogg",,1,1,98,102,1,5,,,,,,,,,,,
"Rhinofire","sfx/rhino_fire_01.ogg",,40,45,95,105,1,10,,,,,,,,,,,
"Rhinostep","sfx/rhinostep_01.ogg",,35,50,92,108,1,8,,,,,,,,,,,
"Robotfire","sfx/rocket_rose_atk_02.ogg",,30,40,95,105,1,8,,,,,,,,,,,
"Rocketgirlspecial","sfx/flowerrocket_01.ogg",,55,55,95,105,1,8,,,,,,,,,,,
"Roboturret","sfx/roboturret01.ogg",,60,60,98,102,1,4,,,,,,,,,,,
"Water_jess_turret","sfx/roboturret01.ogg",,20,20,110,120,1,4,,,,,,,,,,,
"Robocon","sfx/robocon_01.ogg",,60,60,98,102,1,3,,,,,,,,,,,
"Timedgrenade","sfx/solgrenade01.ogg",,60,70,96,104,1,4,,,,,,,,,,,
"Shotgun","sfx/shotgun_fire_01.ogg",,45,55,95,105,1,8,,,,,,,,,,,
"Utilshotgun","sfx/bigshotgun01.ogg",,65,70,97,103,1,8,,,,,,,,,,,
"Utilshotgun_Vo","sfx/shelly_ulti_01.ogg",,30,40,98,102,1,1,,,,,,,,,,,
,"sfx/shelly_ulti_02.ogg",,30,40,98,102,1,1,,,,,,,,,,,
,"sfx/background/shelly_ulti_03.ogg","TRUE",30,40,98,102,1,1,,,,,,,,,,,
,"sfx/background/shelly_ulti_04.ogg","TRUE",30,40,98,102,1,1,,,,,,,,,,,
"ShellyTakedamge_Vo","sfx/shelly_hurt_01.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/shelly_hurt_02.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/shelly_hurt_03.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/shelly_hurt_04.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/shelly_hurt_05.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
"Shelly_Die","sfx/shelly_die_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/shelly_die_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/shelly_die_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/shelly_die_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Shelly_Kill","sfx/shelly_kill_01.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/shelly_kill_02.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/shelly_kill_03.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/shelly_kill_04.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/shelly_kill_05.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
"Shelly_Lead","sfx/shelly_lead_01.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/shelly_lead_02.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/shelly_lead_03.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/shelly_lead_04.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
"Shelly_Start","sfx/shelly_start_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/shelly_start_02.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/shelly_start_03.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/shelly_start_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Jess_ulti","sfx/jess_ulti_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/jess_ulti_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_ulti_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_ulti_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_ulti_05.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_ulti_06.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Bull_takedamage_vo","sfx/bull_hurt_vo_01.ogg",,40,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/bull_hurt_vo_02.ogg",,40,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/bull_hurt_vo_03.ogg","TRUE",40,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/bull_hurt_vo_04.ogg","TRUE",40,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/bull_hurt_vo_05.ogg","TRUE",40,50,98,102,1,1,3000,,,,,,,,,,
"Bull_die","sfx/bull_die_vo_01.ogg",,40,50,98,102,1,1,,,,,,,,,,,
,"sfx/bull_die_vo_02.ogg",,40,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/bull_die_vo_03.ogg","TRUE",40,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/bull_die_vo_04.ogg","TRUE",40,50,98,102,1,1,,,,,,,,,,,
"Bull_kill","sfx/bull_kill_vo_01.ogg",,40,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/bull_kill_vo_02.ogg",,40,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/bull_kill_vo_03.ogg","TRUE",40,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/bull_kill_vo_04.ogg","TRUE",40,50,98,102,1,1,15000,,,,,,,,,,
"Bull_lead","sfx/bull_lead_vo_01.ogg",,40,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/bull_lead_vo_02.ogg",,40,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/bull_lead_vo_03.ogg","TRUE",40,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/bull_lead_vo_04.ogg","TRUE",40,50,98,102,1,1,20000,,,,,,,,,,
"Bull_start","sfx/bull_start_vo_01.ogg",,40,50,98,102,1,1,,,,,,,,,,,
,"sfx/bull_start_vo_02.ogg",,40,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/bull_start_vo_03.ogg","TRUE",40,50,98,102,1,1,,,,,,,,,,,
"Bull_ulti","sfx/bull_ulti_vo_01.ogg",,40,50,98,102,1,1,,,,,,,,,,,
,"sfx/bull_ulti_vo_02.ogg",,40,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/bull_ulti_vo_03.ogg","TRUE",40,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/bull_ulti_vo_04.ogg","TRUE",40,50,98,102,1,1,,,,,,,,,,,
"Brock_start_vo","sfx/brock_start_vo_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_start_vo_02.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_start_vo_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/brock_start_vo_04.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_start_vo_05.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_start_vo_06.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_start_vo_07.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Brock_die_vo","sfx/brock_death_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/brock_death_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_death_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_death_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Brock_hurt_vo","sfx/brock_hurt_01.ogg",,45,50,98,102,1,1,5000,,,,,,,,,,
,"sfx/brock_hurt_02.ogg",,45,50,98,102,1,1,5000,,,,,,,,,,
,"sfx/background/brock_hurt_03.ogg","TRUE",45,50,98,102,1,1,5000,,,,,,,,,,
,"sfx/background/brock_hurt_04.ogg","TRUE",45,50,98,102,1,1,5000,,,,,,,,,,
,"sfx/background/brock_hurt_05.ogg","TRUE",45,50,98,102,1,1,5000,,,,,,,,,,
"Brock_kill_vo","sfx/brock_kill_vo_01.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/brock_kill_vo_02.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/brock_kill_vo_03.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/brock_kill_vo_04.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
"Brock_lead_vo","sfx/brock_lead_vo_01.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/brock_lead_vo_02.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/brock_lead_vo_03.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/brock_lead_vo_04.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/brock_lead_vo_05.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/brock_lead_vo_06.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
"Brock_ulti_vo","sfx/brock_ulti_vo_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/brock_ulti_vo_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_ulti_vo_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_ulti_vo_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/brock_ulti_vo_05.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Jess_takedamage","sfx/jess_hurt_01.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/jess_hurt_02.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/jess_hurt_03.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/jess_hurt_04.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/jess_hurt_05.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/jess_hurt_06.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
"Jess_die","sfx/jess_die_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/jess_die_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_die_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_die_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Jess_kill","sfx/jess_kill_01.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/jess_kill_02.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/jess_kill_03.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/jess_kill_04.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/jess_kill_05.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/jess_kill_06.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/jess_kill_07.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
"Jess_lead","sfx/jess_lead_01.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/jess_lead_02.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/jess_lead_03.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/jess_lead_04.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/jess_lead_05.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
"Jess_start","sfx/jess_start_vo_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/jess_start_vo_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_start_vo_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_start_vo_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/jess_start_vo_05.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Hotshot_Takedamge_Vo","sfx/hotshot_hurt_01.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/hotshot_hurt_02.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/hotshot_hurt_03.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/hotshot_hurt_04.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/hotshot_hurt_05.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/hotshot_hurt_06.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/hotshot_hurt_07.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/hotshot_hurt_08.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
"Hotshot_Die","sfx/hotshot_die_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/hotshot_die_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/hotshot_die_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/hotshot_die_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Hotshot_Kill","sfx/hotshot_kill_01.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/hotshot_kill_02.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/hotshot_kill_03.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/hotshot_kill_04.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/hotshot_kill_05.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/hotshot_kill_06.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/hotshot_kill_07.ogg","TRUE",45,50,98,102,1,1,15000,,,,,,,,,,
"Hotshot_Lead","sfx/hotshot_lead_01.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/hotshot_lead_02.ogg",,45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/hotshot_lead_03.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/hotshot_lead_04.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/hotshot_lead_05.ogg","TRUE",45,50,98,102,1,1,20000,,,,,,,,,,
"Hotshot_Start","sfx/hotshot_start_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/hotshot_start_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/hotshot_start_03.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
,"sfx/background/hotshot_start_04.ogg","TRUE",45,50,98,102,1,1,,,,,,,,,,,
"Hotshot_Ulti","sfx/hotshot_ulti_01.ogg",,45,50,98,102,1,1,10000,,,,,,,,,,
,"sfx/hotshot_ulti_02.ogg",,45,50,98,102,1,1,10000,,,,,,,,,,
,"sfx/background/hotshot_ulti_03.ogg","TRUE",45,50,98,102,1,1,10000,,,,,,,,,,
,"sfx/background/hotshot_ulti_04.ogg","TRUE",45,50,98,102,1,1,10000,,,,,,,,,,
"Mech_Colt_Start_VO","sfx/mech_colt_start_vo_01.ogg",,60,60,98,102,1,1,,,,,,,,,,,
,"sfx/mech_colt_start_vo_02.ogg",,60,60,98,102,1,1,,,,,,,,,,,
,"sfx/mech_colt_start_vo_03.ogg",,60,60,98,102,1,1,,,,,,,,,,,
,"sfx/mech_colt_start_vo_04.ogg",,60,60,98,102,1,1,,,,,,,,,,,
"Mech_Colt_Die_VO","sfx/mech_colt_die_vo_01.ogg",,60,60,98,102,1,1,,,,,,,,,,,
,"sfx/mech_colt_die_vo_02.ogg",,60,60,98,102,1,1,,,,,,,,,,,
,"sfx/mech_colt_die_vo_03.ogg",,60,60,98,102,1,1,,,,,,,,,,,
,"sfx/mech_colt_die_vo_04.ogg",,60,60,98,102,1,1,,,,,,,,,,,
"Mech_Colt_Kill_VO","sfx/mech_colt_kill_vo_01.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_kill_vo_02.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_kill_vo_03.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_kill_vo_04.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_kill_vo_05.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_kill_vo_06.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
"Mech_Colt_Lead_VO","sfx/mech_colt_lead_vo_01.ogg",,60,60,98,102,1,1,20000,,,,,,,,,,
,"sfx/mech_colt_lead_vo_02.ogg",,60,60,98,102,1,1,20000,,,,,,,,,,
,"sfx/mech_colt_lead_vo_03.ogg",,60,60,98,102,1,1,20000,,,,,,,,,,
,"sfx/mech_colt_lead_vo_04.ogg",,60,60,98,102,1,1,20000,,,,,,,,,,
,"sfx/mech_colt_lead_vo_05.ogg",,60,60,98,102,1,1,20000,,,,,,,,,,
"Mech_Colt_Ulti_VO","sfx/mech_colt_ulti_vo_01.ogg",,60,60,98,102,1,1,10000,,,,,,,,,,
,"sfx/mech_colt_ulti_vo_02.ogg",,60,60,98,102,1,1,10000,,,,,,,,,,
,"sfx/mech_colt_ulti_vo_03.ogg",,60,60,98,102,1,1,10000,,,,,,,,,,
,"sfx/mech_colt_ulti_vo_04.ogg",,60,60,98,102,1,1,10000,,,,,,,,,,
"Mech_Colt_Hurt_VO","sfx/mech_colt_hurt_vo_01.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_hurt_vo_02.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_hurt_vo_03.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_hurt_vo_04.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_hurt_vo_05.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_hurt_vo_06.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
,"sfx/mech_colt_hurt_vo_07.ogg",,60,60,98,102,1,1,15000,,,,,,,,,,
"Piper_Takedamage","sfx/piper_hurt_01.ogg",,35,45,98,102,1,1,3000,,,,,,,,,,
,"sfx/piper_hurt_02.ogg",,35,45,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/piper_hurt_03.ogg","TRUE",35,45,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/piper_hurt_04.ogg","TRUE",35,45,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/piper_hurt_05.ogg","TRUE",35,45,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/piper_hurt_06.ogg","TRUE",35,45,98,102,1,1,3000,,,,,,,,,,
"Piper_Die","sfx/piper_die_01.ogg",,35,45,98,102,1,1,,,,,,,,,,,
,"sfx/piper_die_02.ogg",,35,45,98,102,1,1,,,,,,,,,,,
,"sfx/background/piper_die_03.ogg","TRUE",35,45,98,102,1,1,,,,,,,,,,,
"Piper_Kill","sfx/piper_kill_01.ogg",,35,45,98,102,1,1,15000,,,,,,,,,,
,"sfx/piper_kill_02.ogg",,35,45,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/piper_kill_03.ogg","TRUE",35,45,98,102,1,1,15000,,,,,,,,,,
,"sfx/background/piper_kill_04.ogg","TRUE",35,45,98,102,1,1,15000,,,,,,,,,,
"Piper_Lead","sfx/piper_lead_01.ogg",,35,45,98,102,1,1,20000,,,,,,,,,,
,"sfx/piper_lead_02.ogg",,35,45,98,102,1,1,20000,,,,,,,,,,
,"sfx/background/piper_lead_03.ogg","TRUE",35,45,98,102,1,1,20000,,,,,,,,,,
"Piper_Start","sfx/piper_start_01.ogg",,35,45,98,102,1,1,,,,,,,,,,,
,"sfx/piper_start_02.ogg",,35,45,98,102,1,1,,,,,,,,,,,
,"sfx/background/piper_start_03.ogg","TRUE",35,45,98,102,1,1,,,,,,,,,,,
,"sfx/background/piper_start_04.ogg","TRUE",35,45,98,102,1,1,,,,,,,,,,,
"Piper_Ulti","sfx/piper_ulti_01.ogg",,50,60,98,102,1,1,10000,,,,,,,,,,
,"sfx/piper_ulti_02.ogg",,50,60,98,102,1,1,10000,,,,,,,,,,
"Barley_Hurt","sfx/barley_hurt_01.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/barley_hurt_02.ogg",,45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/barley_hurt_03.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
,"sfx/background/barley_hurt_04.ogg","TRUE",45,50,98,102,1,1,3000,,,,,,,,,,
"Barley_Die","sfx/barley_die_01.ogg",,45,50,98,102,1,1,,,,,,,,,,,
,"sfx/barley_die_02.ogg",,45,50,98,102,1,1,,,,,,,,,,,
"Barley_Kill","sfx/barley_kill_01.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
,"sfx/barley_kill_02.ogg",,45,50,98,102,1,1,15000,,,,,,,,,,
