TID,DE
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Der Kauf eines Brawlpasses für vergangene Saisons ist nicht möglich.
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,Die aktuelle Brawlpass-Saison kann nicht gefunden werden. Bitte versuche es später erneut.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Die aktuelle Brawlpass-Saison wurde bereits freigeschaltet.
TID_TAKEDOWNS_LABEL,TAKEDOWNS
TID_DEFEAT_LABEL,NIEDERLAGE
TID_UNDERDOG,UNDERDOG
TID_ACCESSORY,GADGET
TID_BATTLE_END_COIN_SHOWER,MÜNZREGEN-EREIGNIS
TID_LFG_POPUP_TITLE_MEMBER,MITGLIEDERSUCHE
TID_LFG_POPUP_TITLE_TEAM,TEAMSUCHE
TID_LFG_POPUP_INFO_MEMBER,"Suche nach Spielern, die sich mit dir zusammentun wollen"
TID_LFG_POPUP_INFO_TEAM,Suche nach einem Spieler für dein aktuelles Team
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Ereigniskriterien (tippe zum Ändern)
TID_LFG_POPUP_EVENT_LABEL_TEAM,Ich möchte spielen (tippe zum Ändern)
TID_LFG_POPUP_START_SEARCH,LOS!
TID_LFG_NO_ROOM_FOR_PLAYERS,Dieser Spielmodus unterstützt keine weiteren Spieler.
TID_LOOKING_FOR_A_TEAM,SUCHT NACH TEAM
TID_LOOKING_FOR_A_MEMBER,SUCHT NACH MITGLIED
TID_CC_TEASER_TITLE,Demnächst!
TID_CC_TEASER_INFO,"Mach dich bereit für die <WIN>-Siege-Championship-Herausforderung!\n\nSpiele mit Freunden im Team oder benutze die \qTeamsuche\q, um deine Chancen zu verbessern.\n\nVerliere keine Zeit! Die Herausforderung läuft nur <DURATION> Stunden!"
TID_CC_POPUP_TITLE,CHAMPIONSHIP-HERAUSFORDERUNG
TID_CC_POPUP_1_TITLE,PSG CUP
TID_CC_POPUP_TITLE_PSG_21,PSG CUP 2021
TID_CC_POPUP_DESC,"Verdiene tolle Belohnungen für jeden Sieg! Mit <WINS> Siegen hast du die Herausforderung abgeschlossen. Wenn du <LOSSES>-mal verlierst, scheidest du aus!"
TID_CC_POPUP_1_DESC,"Verdiene tolle Belohnungen für jeden Sieg! Mit <WINS> Siegen hast du den Cup gewonnen. Wenn du <LOSSES>-mal verlierst, scheidest du aus!"
TID_CC_POPUP_WINS,SIEGE: <WINS>/<MAX>
TID_CC_POPUP_WINS_FOR_EVENT,Phase <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,VIERTELFINALE
TID_POPUP_WINS_FOR_EVENT_PSG_2,HALBFINALE
TID_POPUP_WINS_FOR_EVENT_PSG_3,FINALE
TID_CC_POPUP_QUALIFY_INFO,"Schließe die Herausforderung ab, um dich für die nächste Phase der Brawl Stars World Championship zu qualifizieren!"
TID_CC_POPUP_QUALIFY_INFO_PSG,"Schließe die Herausforderung ab, um den PSG-Shelly-Skin zu gewinnen!"
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Herausforderung abgeschlossen!
TID_CC_POPUP_CHALLENGE_OVER,HERAUSFORDERUNG VORBEI
TID_CC_POPUP_OUT_OF_LIVES,KEINE VERSUCHE ÜBRIG
TID_CC_POPUP_BUY_LIVES,<NUM> WEITERE KAUFEN?
TID_CC_POPUP_COMPLETED,HERAUSFORDERUNG ABGESCHLOSSEN
TID_CC_POPUP_LEVEL,Phase <LEVEL>
TID_CC_POPUP_WIN,SIEG
TID_CC_POPUP_LOSSES,NIEDERLAGEN
TID_QUALIFIED_TITLE,Online-Qualifier FREIGESCHALTET!
TID_QUALIFIED_INFO,"Wow, du hast die Championship-Herausforderung gemeistert! BEEINDRUCKEND!\n\nUm deinen Weg zur BRAWL STARS CHAMPIONSHIP fortzusetzen, gehe zu: <cFFE400><URL></c>"
TID_QUALIFIED_INFO_HUB,"Wow, du hast die Championship-Herausforderung gemeistert! BEEINDRUCKEND!\n\nUm deinen Weg zur BRAWL STARS CHAMPIONSHIP fortzusetzen, gehe zu der neuen E-SPORTS-SEKTION im Hauptbildschirm!"
TID_QUALIFIED_INFO_PSG,"Herzlichen Glückwunsch, du hast den PSG CUP gewonnen und den PSG-Shelly-Skin freigeschaltet!"
TID_QUALIFIED_GO,LOS!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,CHAMPIONSHIP-HERAUSFORDERUNG
TID_BATTLE_END_CC_WIN_LABEL,BELOHNUNG FÜR SIEG NR. <AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,Herausforderung vorbei.\nMehr Glück beim nächsten Mal!
TID_BATTLE_END_CC_DEFEAT_1,Noch eine Niederlage und du scheidest aus. Gib alles!
TID_BATTLE_END_CC_DEFEAT_2,"Du hast dieses Mal verloren, kannst aber noch weiterspielen!"
TID_BATTLE_END_CC_DRAW_DESC,Spiel noch einmal und hol dir den Sieg!
TID_BATTLE_END_CC_QUALIFY_LABEL,QUALIFIZIERT!
TID_BATTLE_END_CC_QUALIFY_INFO,Herzlichen Glückwunsch! Du hast dich für die nächste Phase der Brawl Stars Championship qualifiziert.\nIn deinem Posteingang erfährst du mehr.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,POWERPLAY-Ligabelohnungen
TID_PRO_LEAGUE_INFO_POPUP_INFO,Belohnung abh.\nv. d. Punktzahl
TID_PRO_LEAGUE_INFO_POPUP_RANK,Rang
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Punkte
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Zusatzbelohnung fürs Erreichen\nder Spitze der globalen Bestenliste
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,POWERPLAY-LIGAENDE-BELOHNUNGEN
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,LIGATABELLE
TID_PRO_LEAGUE_SEASON_END_TIME,LIGA ENDET IN:
TID_PRO_LEAGUE_POPUP_TITLE,POWERPLAY
TID_EVENT_LABEL_PRO_LEAGUE,POWERPLAY
TID_PRO_LEAGUE_POPUP_INFO,"Stell dein Können im POWERPLAY-Modus auf die Probe. Nimm an drei täglichen Kämpfen teil, um in der Ligatabelle aufzusteigen. Wenn die Liga vorbei ist, bekommst du Starpunkte. Wie viele Starpunkte du bekommst, hängt von deinem Rang in der Ligatabelle und der Menge deiner gesammelten Punkte ab."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,AKTUELLE LIGA
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,VORHERIGE LIGA
TID_PRO_LEAGUE_LABEL,POWERPLAY
TID_TEAM_ERROR_38,Wähle einen Brawler mit POWERLEVEL 10 aus!
TID_TEAM_ERROR_39,Heute sind keine weiteren POWERPLAY-SPIELE verfügbar!
TID_PRO_LEAGUE_GAMES,<GAMESLEFT>/<MAXGAMES> KÄMPFE ÜBRIG
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,POWERPLAY-LIGA VORBEI
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Deine Punkte
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Dein Rang
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Starpunkte-Belohnung
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,POWERPLAY-BELOHNUNG: <AMOUNT> <cff00ff>Starpunkte</c> erhalten!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Epischer Sieg (+3 Punkte)
TID_OVERWHELMING_VICTORY_GMV_0,"Gewinne, bevor das 15. Juwel erscheint."
TID_OVERWHELMING_VICTORY_GMV_5,Gewinne 2:0.
TID_OVERWHELMING_VICTORY_GMV_2,Gewinne mit mindestens 60 % Tresor-TP.
TID_OVERWHELMING_VICTORY_GMV_11,Gewinne mit mindestens 80 % Basis-TP.
TID_OVERWHELMING_VICTORY_GMV_3,Gewinne mit mindestens 10 Sternen Differenz.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,"Verdiene Punkte, abhängig von deiner Platzierung im Spiel."
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Du bekommst 30 Punkte für einen Sieg, 15 für ein Unentschieden und einen Trostpreis von 5 Punkten für eine Niederlage."
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,PUNKTE
TID_DOUBLE_TOKEN_WEEKEND,DOPPELMARKEN-EREIGNIS
TID_COIN_SHOWER_EVENT,MÜNZREGEN-EREIGNIS
TID_RANKS_ADDED_TITLE,Neue Brawlerränge
TID_RANKS_ADDED_DESC,"Ab sofort gibt es 35 statt 20 Brawlerränge.\n\nDu hast <cff00ff><STARPOINTS></c> Starpunkte und <TOKENS> Marken für Brawler erhalten, die diese neuen Ränge erreicht haben."
TID_SKINS_TITLE,SKINS
TID_SKINS_BUTTON_LABEL,SKINS
TID_SKIN_PREVIEW,SKINVORSCHAU
TID_DEFAULT_SKIN,STANDARDSKIN VON <HERO>
TID_HERO_LVL_UP_MATERIAL,Münzen
TID_TOKENS,Marken
TID_FIRST_WINS,Starmarken
TID_CLUB_COINS,Clubmünzen
TID_BUTTON_INBOX,POSTEINGANG
TID_INBOX_TITLE,POSTEINGANG
TID_INBOX_SYSTEM_SENDER,System
TID_INBOX_SUPPORT_SENDER,Brawl Stars-Support
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,Vor <TIME>
TID_INBOX_CLAIM,EINFORDERN
TID_INBOX_VIEW,ANZEIGEN
TID_INBOX_TAB_0,CLUBPOST
TID_INBOX_TAB_1,PERSÖNLICH
TID_INBOX_NO_ENTRIES,KEINE EINTRÄGE
TID_INBOX_CAPTION_99,Die Trophäenliga ist vorbei
TID_INBOX_CAPTION_94,Skinspende: <NAME>
TID_INBOX_CAPTION_93,Brawlerspende: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Brawlerspende: <NAME> (Powerlevel <LEVEL>)
TID_INBOX_CAPTION_92,Spende von <AMOUNT> Powerpunkt(en) für <NAME>
TID_INBOX_CAPTION_91,Spende von <AMOUNT> Ticket(s)
TID_INBOX_CAPTION_90,Spende: <NAME> (<AMOUNT>)
TID_INBOX_CAPTION_89,Spende von <AMOUNT> Juwel(en)
TID_INBOX_CAPTION_88,Spende von <AMOUNT> Markenverdoppler(n)
TID_INBOX_CAPTION_85,Widerruf von <AMOUNT> Juwelen
TID_INBOX_CAPTION_84_4,Starpowerspende (<ABI>) für <NAME>
TID_INBOX_CAPTION_84_5,Spende von Gadget (<ABI>) für <NAME>
TID_INBOX_CAPTION_78,Die Brawlerränge 21-30 sind da!
TID_INBOX_CAPTION_76,Online-Qualifier FREIGESCHALTET!
TID_INBOX_CAPTION_75,Siegesbelohnung für <CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,Ticketentschädigung
TID_INBOX_CAPTION_73,SPENDE: BRAWLPASS
TID_INBOX_CAPTION_72_52,SPENDE: PIN
TID_INBOX_CAPTION_71,SPENDE: <AMOUNT> MARKEN FÜR BRAWLPASS-SAISON <SEASON>
TID_INBOX_CAPTION_70,Siegesbelohnung für <CHALLENGE>:
TID_INBOX_CAPTION_64,Spende: <NAME> (<AMOUNT>)
TID_INBOX_CAPTION_DONATION,SPENDE: <TEXT>
TID_INBOX_NEW,NEU!
TID_BAND_MAIL_POPUP_TITLE,CLUBPOST
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Gib deine Nachricht hier ein ...
TID_BAND_MAIL_POPUP_POST,SENDEN
TID_BAND_MAIL_POPUP_NO_MSG,"Denke daran, eine Nachricht einzugeben."
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Diese Funktion steht Demo-Konten nicht zur Verfügung.
TID_REVOKE_TITLE,Support-Nachricht
TID_REVOKE_OK,Alles klar!
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Beitrittsanfrage fehlgeschlagen. Du bist bereits in einem Team.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Teameinladung.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Senden der Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Beitrittsanfrage.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Beitrittsanfrage abgebrochen.
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,ICH MÖCHTE DEINEM TEAM BEITRETEN
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>SIEG</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>NIEDERLAGE</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>UNENTSCHIEDEN</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00><RANK>. PLATZ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000><RANK>. PLATZ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc><RANK>. PLATZ</c>
TID_BATTLE_LOG_AGE,Vor <TIME>
TID_BATTLE_LOG_HERO_LEVEL_LABEL,LVL
TID_BATTLE_LOG_TVST_VERSUS,VS.
TID_BATTLE_LOG_TITLE,KAMPFLOG
TID_BATTLE_LOG_REPLAY,WIEDERH.
TID_BATTLE_LOG_MVP,STARSPIELER
TID_BATTLE_LOG_FRIENDLY,TESTSPIEL
TID_BATTLE_LOG_TOURNAMENT,TURNIER
TID_BATTLE_LOG_PVP,RANGLISTENSPIEL
TID_BATTLE_LOG_PRO_LEAGUE,POWERPLAY
TID_BATTLE_LOG_RANKED,POWER-LIGA
TID_BATTLE_LOG_NO_ENTRIES,KEINE EINTRÄGE
TID_BATTLE_LOG_THIS_IS_A_BOT,Dies ist ein Bot.
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Wiederholungen sind vorübergehend deaktiviert.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Noch keine Wiederholung.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Keine Wiederholung: zu wenige Brawler-Trophäen
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,"Erreiche <NUM> Brawler-Trophäen, um Wiederholungen freizuschalten."
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Keine Wiederholung: Aufnahme fehlgeschlagen
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Wiederholung nicht mehr verfügbar
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Fehler beim Hinzufügen von Freund
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Freundschaftslink abgelaufen!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,Freund kann nicht hinzugefügt werden. Seine Freundesliste ist voll!
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,Freund kann nicht hinzugefügt werden. Deine Freundesliste ist voll!
TID_ADD_FRIEND_FAILED_BANNED,Freund kann nicht hinzugefügt werden. Der Spieler ist gesperrt!
TID_KEYPOOL_KEYS_REMAINING,Noch <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> Marken in <TIME>
TID_TOP_HUD_NEXT_REWARD,Nächste Belohnung
TID_RANK_UP_REWARD_REPLACED_TITLE,Alternative Belohnung bestätigen
TID_RANK_UP_REWARD_REPLACED_POWER,Keiner deiner Brawler kann die <AMOUNT> Powerpunkte erhalten.\n\nStattdessen alternative Belohnung einfordern?
TID_RANK_UP_REWARD_REPLACED_HERO,Du hast <NAME> bereits freigeschaltet. Daher bekommst du die alternative Belohnung.
TID_RANK_UP_REWARD_REPLACED_PIN,Du hast diesen Pin bereits freigeschaltet. Daher bekommst du die alternative Belohnung.
TID_RANK_UP_REWARD_REPLACED_SKIN,Du hast <NAME> bereits freigeschaltet. Daher bekommst du die alternative Belohnung.
TID_RANK_UP_REWARD_REPLACED_GEN,Du hast diese Belohnung bereits. Daher bekommst du die alternative Belohnung.
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,Keiner deiner Brawler kann <AMOUNT> Powerpunkte erhalten und du hast das Maximum an Powerpunkten erreicht.\n\nMöchtest du stattdessen die alternative Belohnung einfordern?
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,FREUNDSCHAFTS-\nANFRAGE SENDEN
TID_PLAYER_INFO_REMOVE_FRIEND,AUS FREUNDESLISTE ENTFERNEN
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,ANFRAGE GESENDET
TID_PLAYER_INFO_IS_YOUR_FRIEND,INGAME-\nFREUND
TID_POWER_POINTS,POWERPUNKTE
TID_HERO_INFO_LEVEL,POWER
TID_HERO_INFO_LEVEL_LONG,POWERLEVEL
TID_HERO_INFO_RANK,RANG
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,AUF POWERLEVEL <LVL> UPGRADEN
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,ZUM BESTÄTIGEN ERNEUT TIPPEN
TID_HERO_INFO_MAX_LEVEL,MAX. POWER
TID_HERO_INFO_MORE_POWER_NEEDED,Für dieses Upgrade musst du mehr Power sammeln!
TID_HERO_INFO_LEVEL_UP_ERROR_4,Brawler hat nicht genug Powerpunkte!
TID_HERO_INFO_LEVEL_UP_ERROR_3,Du hast nicht genug Münzen!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Brawler ist schon auf dem höchsten POWERLEVEL!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,ERSTER BRAWLER
TID_HERO_INFO_STAR_POWER_EQUIP,AUSWÄHLEN
TID_HERO_INFO_STAR_POWER_EQUIPPED,AUSGEWÄHLT
TID_PLAYER_REPORTED_SUCCESSFULLY,Spieler gemeldet!
TID_TOO_MANY_REPORTS_SENT,Dein tägliches Meldelimit wurde überschritten!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,"Warte bitte, bevor du eine weitere Meldung schickst."
TID_CHOOSE_CHARACTER,WÄHLE EINEN BRAWLER
TID_ARMOR,TREFFERPUNKTE
TID_ARMOR_DESC,"Zeigt an, wie viel kontinuierlichen Schaden ein Brawler einstecken kann, bevor er besiegt ist."
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,Shellys Shotgun beschießt Gegner mit Streufeuer. Ihr Superskill zerstört Deckungen und hält Feinde auf Distanz!
TID_LONG_RANGE_SHOTGUN,STREUSCHUSS
TID_LONG_RANGE_SHOTGUN_DESC,"Shellys Schießeisen feuert eine weit gestreute Schrotsalve mit mittlerer Reichweite. Je mehr Kugeln treffen, desto größer ist der Schaden."
TID_MEGA_BLASH_ULTI,SUPERSCHROT
TID_MEGA_BLASH_ULTI_DESC,"Shellys Superschrot macht sowohl Deckungen als auch Gegner dem Erdboden gleich. Wer davon noch nicht erledigt wird, wird zurückgestoßen."
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,"Ein ungewöhnlicher Held, der sich des Öfteren zur richtigen Zeit am falschen Ort befindet. Er liebt Spiegel und strotzt nur so vor Selbstbewusstsein!"
TID_RAPID_FIRE,SECHSERSCHUSS
TID_RAPID_FIRE_DESC,Colt verschießt sechs Schüsse mit großer Reichweite aus seinen glänzenden Revolvern.
TID_RAPID_FIRE_ULTI,KUGELHAGEL
TID_RAPID_FIRE_ULTI_DESC,"Colt ballert eine wuchtige Salve an Kugeln, die Deckungen zerstören und eine extrem hohe Reichweite haben."
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Bulls Schrotflinte teilt aus der Nähe großen Schaden aus. Mit seinem Superskill stürmt er vorwärts, wodurch er Hindernisse zerstört und Gegner zurückstößt."
TID_SHOTGUN_BLAST,DOPPELT KILLT BESSER
TID_SHOTGUN_BLAST_DESC,"Bulls doppelläufige Schrotflinte teilt großen Schaden aus. Sie hat eine sehr geringe Reichweite - doch Bull macht es nichts aus, es ganz aus der Nähe mit seinen Gegnern aufzunehmen."
TID_CHARGE,BULLDOZER
TID_CHARGE_DESC,Bull senkt seinen Kopf und rammt sich wild durch Gegner und Hindernisse. Er will mit dem Kopf durch die Wand - und ist damit echt erfolgreich!
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Wenn Brock nicht gerade damit beschäftigt ist, Gegner aus der Distanz mit Raketen zu befeuern, stellt er auf dem Dancefloor seine feurigen Tanzmoves zur Schau."
TID_FIREWORKS_WEAPON,ROCKENDE RAKETE
TID_FIREWORKS_WEAPON_DESC,"Brock verschießt eine rockende Rakete, die eine weite Entfernung zurücklegt."
TID_FIREWORKS_ULTI,RAKETENREGEN
TID_FIREWORKS_ULTI_DESC,"Brock feuert mehrere Raketen, die Feinde sowie Hindernisse hochjagen."
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Er galt lange als in einer Mine verschollen, doch nun ist der verrückte Dynamike zurück - und er will immer noch alles in die Luft jagen!"
TID_MORTAR,KURZE LUNTE
TID_MORTAR_DESC,"Mike wirft zwei Dynamitstangen, die über jedes Hindernis fliegen. Diese sind ebenso explosiv wie sein Temperament!"
TID_MORTAR_ULTI,DONNERTONNE
TID_MORTAR_ULTI_DESC,"Ein riesiges Fass, das bis zum Rand mit Sprengstoff vollgestopft ist und Deckungen hochjagt. Gegner werden bei der Explosion zurückgestoßen!"
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,"El Primo greift seine Gegner mit einem Hagel an Fäusten an. Sein Superskill ist ein Ellenbogen-Drop, der allen Getroffenen Schaden zufügt."
TID_LUCHADOR_WEAPON,FURORFÄUSTE
TID_LUCHADOR_WEAPON_DESC,El Primo pfeffert Feinden furios vier feurige Fäuste ins Face. Das ist Backenfutter mit Jalapeño-Geschmack!
TID_LUCHADOR_ULTI,FLYING ELBOW DROP
TID_LUCHADOR_ULTI_DESC,"El Primo springt hoch in die Luft und landet mit einem intergalaktischen Ellenbogen-Drop, der Feinde wegstößt und Deckungen zerschmettert."
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,"Rico verschießt Kugeln, die von Wänden abprallen. Mit seinem Superskill feuert er eine lange Salve an Flummigeschossen, die Ziele durchdringen."
TID_TRICKSHOT_DUDE_WEAPON,FLUMMIGESCHOSSE
