TID,HE
TID_BRAWLPASS_PURCHASE_ERROR_5,"לא ניתן לקבל חבילת BRAWL PASS, כבר זכית בכל הפרסים!"
TID_BRAWLPASS_PURCHASE_ERROR_6,אי אפשר לבצע רכישת Brawl Pass כשיתרת היהלומים שלילית
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,להתקדם בדרגה?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,לקנות <NUM> טוקנים ולהתקדם לדרגה הבאה?
TID_PURCHASE_BRAWL_PASS_TITLE,קבלו BRAWL PASS!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,חבילת BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"ניתן לפתוח פרסי Brawl Pass, קווסטים נוספים ו-<NUM> הפעלות מחדש של קווסטים לשבוע"
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,קבלו BRAWL PASS + <NUM> דרגות
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,לא ניתן לרכוש עונות קודמות של Brawl Pass
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,"עונת Brawl Pass הנוכחית לא נמצאה, נא לנסות שוב מאוחר יותר."
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,עונת Brawl Pass הנוכחית נפתחה כבר
TID_TAKEDOWNS_LABEL,ניצחונות מוחצים
TID_DEFEAT_LABEL,תבוסה
TID_UNDERDOG,אנדרדוג
TID_ACCESSORY,גאדג‘ט
TID_BATTLE_END_COIN_SHOWER,אירוע גשם של מטבעות
TID_LFG_POPUP_TITLE_MEMBER,חיפוש חבר בקבוצה
TID_LFG_POPUP_TITLE_TEAM,חיפוש קבוצה
TID_LFG_POPUP_INFO_MEMBER,חיפוש שחקנים שייצרו איתך קבוצה
TID_LFG_POPUP_INFO_TEAM,חיפוש שחקן שיצטרף לקבוצה הנוכחית שלך
TID_LFG_POPUP_EVENT_LABEL_MEMBER,קריטריוני האירוע (הקישו כדי לשנות)
TID_LFG_POPUP_EVENT_LABEL_TEAM,אני רוצה לשחק (הקישו כדי לשנות)
TID_LFG_POPUP_START_SEARCH,קדימה!
TID_LFG_NO_ROOM_FOR_PLAYERS,מצב המשחק הזה לא תומך בעוד שחקנים
TID_LOOKING_FOR_A_TEAM,מחפש קבוצה
TID_LOOKING_FOR_A_MEMBER,מחפש חבר בקבוצה
TID_CC_TEASER_TITLE,בקרוב!
TID_CC_TEASER_INFO,"כדאי להתכונן לאתגר אליפות של <WIN> ניצחונות!\n\nאפשר לשחק עם חברים או להשתמש בתכונה \qחיפוש קבוצה\q כדי להגדיל את הסיכויים שלך.\n\nהאתגר יהיה פעיל רק למשך <DURATION> שעות, אז לא כדאי לפספס!"
TID_CC_POPUP_TITLE,אתגר האליפות
TID_CC_POPUP_1_TITLE,גביע PSG
TID_CC_POPUP_TITLE_PSG_21,גביע PSG‏ 2021
TID_CC_POPUP_DESC,"אפשר לזכות בפרסים מדהימים עם כל ניצחון! דרושים <WINS> ניצחונות כדי לזכות באתגר, אבל אחרי <LOSSES> הפסדים אין יותר ניסיונות!"
TID_CC_POPUP_1_DESC,"אפשר לזכות בפרסים מדהימים עם כל ניצחון! דרושים <WINS> ניצחונות כדי לזכות בגביע, אבל אם הפסדת <LOSSES> פעמים - אין לך יותר ניסיונות!"
TID_CC_POPUP_WINS,<WINS>/<MAX> ניצחונות
TID_CC_POPUP_WINS_FOR_EVENT,שלב <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,רבע הגמר
TID_POPUP_WINS_FOR_EVENT_PSG_2,חצי הגמר
TID_POPUP_WINS_FOR_EVENT_PSG_3,הגמר
TID_CC_POPUP_QUALIFY_INFO,נסה לזכות באתגר ולעלות לשלב הבא באליפות Brawl Stars!
TID_CC_POPUP_QUALIFY_INFO_PSG,כדאי לנצח באתגר כדי לזכות בסקין שלי PSG!
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,האתגר הושלם!
TID_CC_POPUP_CHALLENGE_OVER,האתגר הסתיים
TID_CC_POPUP_OUT_OF_LIVES,אין יותר ניסיונות
TID_CC_POPUP_BUY_LIVES,רוצה לקנות עוד <NUM>?
TID_CC_POPUP_COMPLETED,האתגר הושלם
TID_CC_POPUP_LEVEL,שלב <LEVEL>
TID_CC_POPUP_WIN,ניצחון
TID_CC_POPUP_LOSSES,הפסדים
TID_QUALIFIED_TITLE,משחק מקדים מקוון נפתח!
TID_QUALIFIED_INFO,"וואו, זכית באתגר האליפות! מדהים!\n\nכדי להמשיך במסע אל אליפות BRAWL STARSעבור אל <cFFE400><URL></c>"
TID_QUALIFIED_INFO_HUB,"וואו, זכית באתגר האליפות! מדהים!\n\nכדי להמשיך במסע שלך באליפות BRAWL STARS, צריך לעבור אל איזור ESPORTS החדש דרך מסך הבית!"
TID_QUALIFIED_INFO_PSG,"ברכותינו, זכית בגביע PSG! פתחת את הסקין שלי PSG!"
TID_QUALIFIED_GO,קדימה!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,אתגר האליפות
TID_BATTLE_END_CC_WIN_LABEL,הפרס עבור ניצחון מספר <AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,האתגר הסתיים\nבהצלחה בפעם הבאה!
TID_BATTLE_END_CC_DEFEAT_1,עוד הפסד אחד ואתם בחוץ. המשיכו להילחם!
TID_BATTLE_END_CC_DEFEAT_2,"הפעם הפסדת, אבל עדיין אפשר להמשיך!"
TID_BATTLE_END_CC_DRAW_DESC,שחק שוב כדי לנצח!
TID_BATTLE_END_CC_QUALIFY_LABEL,הצלחת לעלות!
TID_BATTLE_END_CC_QUALIFY_INFO,מזל טוב! אתם רשאים להשתתף בשלב הבא של אליפות Brawl Stars. בדקו את תיבת הדואר הנכנס כדי לקבל פרטים נוספים.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,פרסי ליגת ׳מהלך כוחני׳
TID_PRO_LEAGUE_INFO_POPUP_INFO,פרס על סמך\nהנקודות הסופיות שלך
TID_PRO_LEAGUE_INFO_POPUP_RANK,דירוג
TID_PRO_LEAGUE_INFO_POPUP_POINTS,נקודות
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,פרס נוסף על הגעה\nלראש לוח המובילים העולמי
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,פרסי סוף ליגת ׳מהלך כוחני׳
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,טבלת הליגה
TID_PRO_LEAGUE_SEASON_END_TIME,הליגה מסתיימת בעוד
TID_PRO_LEAGUE_POPUP_TITLE,מהלך כוחני
TID_EVENT_LABEL_PRO_LEAGUE,מהלך כוחני
TID_PRO_LEAGUE_POPUP_INFO,"יש לך אפשרות לבחון את הכישורים שלך ב׳מהלך כוחני׳! כדאי להשלים שלושה משחקים יומיים כדי להעפיל לראש טבלת הליגה. כשהליגה תסתיים, ניתן לך נקודות כוכב על סמך הנקודות והדירוג שצברת בטבלת הליגה העולמית."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,הליגה הנוכחית
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,הליגה הקודמת
TID_PRO_LEAGUE_LABEL,מהלך כוחני
TID_TEAM_ERROR_38,צריך לבחור בראולר ברמת עוצמה 10!
TID_TEAM_ERROR_39,לא נותרו יותר משחקי מהלך כוחני היום!
TID_PRO_LEAGUE_GAMES,נותרו <MAXGAMES>/<GAMESLEFT> קרבות
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,ליגת ׳מהלך כוחני׳ הסתיימה
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,הנקודות שלך
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,הדירוג שלך
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,פרס נקודות כוכב
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,פרס ׳מהלך כוחני׳: <AMOUNT> <cff00ff>נקודות כוכב</c> נצברו!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,ניצחון אפי (3+ נקודות):
TID_OVERWHELMING_VICTORY_GMV_0,נצחו לפני שמופיע היהלום ה-15
TID_OVERWHELMING_VICTORY_GMV_5,נצחו 2-0
TID_OVERWHELMING_VICTORY_GMV_2,נצחו עם 60% בריאות לפחות בכספת שלכם
TID_OVERWHELMING_VICTORY_GMV_11,נצחו עם 80% בריאות לפחות בבסיס שלכם
TID_OVERWHELMING_VICTORY_GMV_3,נצחו עם לפחות 10 כוכבים יותר מאשר היריב
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,ניתנות לך נקודות על סמך הדירוג שלך בתחרות
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"מרוויחים 30 נקודות מניצחון, 15 מתיקו ופרס ניחומים של 5 מתבוסה"
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,נקודות
TID_DOUBLE_TOKEN_WEEKEND,אירוע טוקנים כפולים
TID_COIN_SHOWER_EVENT,אירוע גשם של מטבעות
TID_RANKS_ADDED_TITLE,דירוגי בראולרים חדשים
TID_RANKS_ADDED_DESC,הוספנו דירוג של 21-35 לכל הבראולרים.\n\nהרווחת <cff00ff><STARPOINTS></c> נקודות כוכב ו-<TOKENS> טוקנים מבראולרים שהגיעו לדירוגים החדשים האלה
TID_SKINS_TITLE,סקינים
TID_SKINS_BUTTON_LABEL,סקינים
TID_SKIN_PREVIEW,תצוגה מקדימה של סקין
TID_DEFAULT_SKIN,סקין ברירת מחדל של <HERO>
TID_HERO_LVL_UP_MATERIAL,מטבעות
TID_TOKENS,טוקנים
TID_FIRST_WINS,טוקנים של כוכבים
TID_CLUB_COINS,מטבעות מועדון
TID_BUTTON_INBOX,תיבת דואר נכנס
TID_INBOX_TITLE,תיבת דואר נכנס
TID_INBOX_SYSTEM_SENDER,מערכת
TID_INBOX_SUPPORT_SENDER,תמיכת Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,לפני <TIME>
TID_INBOX_CLAIM,קבלו
TID_INBOX_VIEW,פתיחה
TID_INBOX_TAB_0,דואר מועדון
TID_INBOX_TAB_1,אישי
TID_INBOX_NO_ENTRIES,אין הודעות
TID_INBOX_CAPTION_99,ליגת הגביע הסתיימה
TID_INBOX_CAPTION_94,תרומת סקינים: <NAME>
TID_INBOX_CAPTION_93,תרומת בראולרים: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,תרומת בראולר: <NAME> (רמת כוח <LEVEL>)
TID_INBOX_CAPTION_92,תרומה של <AMOUNT> נקודות כוח עבור <NAME>
TID_INBOX_CAPTION_91,תרומה של <AMOUNT> כרטיסים
TID_INBOX_CAPTION_90,תרומה של <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,תרומה של <AMOUNT> יהלומים
TID_INBOX_CAPTION_88,תרומה של <AMOUNT> מכפילי טוקנים
TID_INBOX_CAPTION_85,פסילת <AMOUNT> יהלומים
TID_INBOX_CAPTION_84_4,תרומה של כוח כוכב <ABI> עבור <NAME>
TID_INBOX_CAPTION_84_5,תרומה של גאדג‘ט <ABI> עבור <NAME>
TID_INBOX_CAPTION_78,דירוג 21-30 לבראולרים כבר כאן!
TID_INBOX_CAPTION_76,משחק מקדים מקוון נפתח!
TID_INBOX_CAPTION_75,פרס על ניצחון ב<CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,פיצוי על כרטיסים
TID_INBOX_CAPTION_73,תרומה: BRAWL PASS
TID_INBOX_CAPTION_72_52,תרומה: סיכה
TID_INBOX_CAPTION_71,תרומה: <AMOUNT> טוקנים לעונת BRAWL PASS <SEASON>
TID_INBOX_CAPTION_70,פרס על ניצחון ב<CHALLENGE>:
TID_INBOX_CAPTION_64,תרומה: <NAME> x <AMOUNT>
TID_INBOX_CAPTION_DONATION,תרומה: <TEXT>
TID_INBOX_NEW,חדש!
TID_BAND_MAIL_POPUP_TITLE,דואר מועדון
TID_BAND_MAIL_POPUP_DEFAULT_TXT,כתבו את ההודעה שלך כאן...
TID_BAND_MAIL_POPUP_POST,פרסם
TID_BAND_MAIL_POPUP_NO_MSG,זכרו להזין הודעה
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,מאפיין זה לא זמין עבור חשבונות דמו
TID_REVOKE_TITLE,הודעה מצוות התמיכה
TID_REVOKE_OK,הבנתי
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,לא ניתן לשלוח בקשת הצטרפות. הצטרפת כבר לקבוצה
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,לא ניתן לשלוח בקשת הצטרפות. יש לך הזמנה לקבוצה בהמתנה
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,לא ניתן לשלוח בקשת הצטרפות. יש לך בקשת הצטרפות בהמתנה
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,בקשת ההצטרפות בוטלה
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,אני רוצה להצטרף לקבוצה
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>ניצחון</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>תבוסה</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>תיקו</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>דירוג <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>דירוג <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>דירוג <RANK></c>
TID_BATTLE_LOG_AGE,לפני <TIME>
TID_BATTLE_LOG_HERO_LEVEL_LABEL,רמה
TID_BATTLE_LOG_TVST_VERSUS,נגד
TID_BATTLE_LOG_TITLE,יומן קרבות
TID_BATTLE_LOG_REPLAY,הילוך חוזר
TID_BATTLE_LOG_MVP,שחקן כוכב
TID_BATTLE_LOG_FRIENDLY,ידידותיים
TID_BATTLE_LOG_TOURNAMENT,טורניר
TID_BATTLE_LOG_PVP,מדורג
TID_BATTLE_LOG_PRO_LEAGUE,מהלך כוחני
TID_BATTLE_LOG_RANKED,ליגת הכוח
TID_BATTLE_LOG_NO_ENTRIES,אין כניסות
TID_BATTLE_LOG_THIS_IS_A_BOT,זהו בוט
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,לא ניתן לצפות בהילוכים חוזרים
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,עדיין לא ניתן לצפות בהילוכים חוזרים
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,אין אפשרות להילוך חוזר: אין מספיק פרסי בראולר
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,צריך לצבור <NUM> פרסי בראולר כדי לפתוח הילוכים חוזרים
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,אין אפשרות להילוך חוזר: ההקלטה נכשלה
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,ההילוך החוזר כבר לא זמין
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,הוספת חבר נכשלה
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,פג תוקף של קישור חבר!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"לא ניתן להוסיף חבר, רשימת החברים שלהם מלאה!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"לא ניתן להוסיף חבר, רשימת החברים שלך מלאה!"
TID_ADD_FRIEND_FAILED_BANNED,"לא ניתן להוסיף חבר, המשתמש הורחק!"
TID_KEYPOOL_KEYS_REMAINING,<VALUE> נשארו
TID_KEYPOOL_NEXT_PATCH,+<KEYS> טוקנים ב-<TIME>
TID_TOP_HUD_NEXT_REWARD,הפרס הבא
TID_RANK_UP_REWARD_REPLACED_TITLE,אישור פרס חלופי
TID_RANK_UP_REWARD_REPLACED_POWER,אף אחד מהבראולרים שלך לא יכול לקבל <AMOUNT> נקודות כוח.\n\nהאם ברצונך לקבל את הפרס החלופי במקום זאת?
TID_RANK_UP_REWARD_REPLACED_HERO,"כבר יש לך <NAME>, לכן ניתן לך את הפרס החלופי."
TID_RANK_UP_REWARD_REPLACED_PIN,"כיוון שכבר יש לך סיכה כזאת, ניתן לך את הפרס החלופי."
TID_RANK_UP_REWARD_REPLACED_SKIN,"כיוון שכבר יש לך <NAME>, ניתן לך את הפרס החלופי."
TID_RANK_UP_REWARD_REPLACED_GEN,"כיוון שכבר יש לך פרס כזה, ניתן לך במקומו את הפרס החלופי."
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,"אף אחד מהבראולרים שלך לא יכול לקבל <AMOUNT> נקודות כוח, כי הגעת לכמות המקסימלית.\n\nרוצה לקבל פרס חלופי במקום?"
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,שליחת בקשת חברות
TID_PLAYER_INFO_REMOVE_FRIEND,הסרה מרשימת החברים
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,נשלחה בקשת חברות
TID_PLAYER_INFO_IS_YOUR_FRIEND,חבר/ה\nלמשחק
TID_POWER_POINTS,נקודות כוח
TID_HERO_INFO_LEVEL,כוח
TID_HERO_INFO_LEVEL_LONG,רמת כוח
TID_HERO_INFO_RANK,דירוג
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,שדרוג לרמת כוח <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,יש להקיש שוב לאישור
TID_HERO_INFO_MAX_LEVEL,כוח מקסימלי
TID_HERO_INFO_MORE_POWER_NEEDED,יש לצבור עוד כוח כדי לשדרג!
TID_HERO_INFO_LEVEL_UP_ERROR_4,לבראולר אין מספיק נקודות כוח
TID_HERO_INFO_LEVEL_UP_ERROR_3,אין לך מספיק מטבעות!
TID_HERO_INFO_LEVEL_UP_ERROR_5,הבראולר הגיע לרמת כוח מקסימלית!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,בראולרית ראשונה
TID_HERO_INFO_STAR_POWER_EQUIP,בחירה
TID_HERO_INFO_STAR_POWER_EQUIPPED,נבחר
TID_PLAYER_REPORTED_SUCCESSFULLY,השחקן דווח!
TID_TOO_MANY_REPORTS_SENT,חרגת ממגבלת הדיווח היומית
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,נא להמתין לפני שליחת דוח נוסף
TID_CHOOSE_CHARACTER,צריך לבחור בראולר
TID_ARMOR,בריאות
TID_ARMOR_DESC,מראה כמה נזק מצטבר הבראולר יכול לספוג לפני שהוא נופל.
TID_SHOTGUN_GIRL,שלי
TID_SHOTGUN_GIRL_DESC,הרובה יורה האש של שלי מפוצץ את הקבוצה השנייה בקליעים קטלניים. תכונת הסופר שלה הורסת מקומות מחסה ומבטיחה שהאויבים שלה יישארו במרחק בטוח!
TID_LONG_RANGE_SHOTGUN,קליעים
TID_LONG_RANGE_SHOTGUN_DESC,"הרובה האימתני של שלי יורה קליעים לטווח בינוני. ככל שיותר קליעים פוגעים במטרה, כך הנזק גדול יותר."
TID_MEGA_BLASH_ULTI,סופר-פגז
TID_MEGA_BLASH_ULTI_DESC,תכונת הסופר-פגז של שלי משמידה גם מקומות מחסה וגם אויבים. כל הניצולים נסוגים לאחור.
TID_GUNSLINGER,קולט
TID_GUNSLINGER_DESC,גיבור לא סביר שלעתים קרובות מוצא את עצמו במקום הלא נכון בזמן הנכון. הוא די מחבב את עצמו ושופע ביטחון עצמי!
TID_RAPID_FIRE,אקדח אוטומטי
TID_RAPID_FIRE_DESC,קולט יורה מהאקדחים שלו שש יריות ישירות ארוכות טווח.
TID_RAPID_FIRE_ULTI,סופת קליעים
TID_RAPID_FIRE_ULTI_DESC,קולט פולט מטח כדורים מסיבי שמגיע למרחק רב והורס מקומות מחסה.
TID_BULL_DUDE,בול
TID_BULL_DUDE_DESC,בול גורם נזק אדיר בטווח קצר באמצעות הרובה שלו. בתכונת הסופר שלו הוא מסתער על מחסומים ומפיל אויבים על ימין ועל שמאל!
TID_SHOTGUN_BLAST,דו-קני
TID_SHOTGUN_BLAST_DESC,"הרובה הדו-קני של בול גורם נזק כבד. הטווח שלו קצר מאוד, לכן בול אוהב ליצור קרבה אישית."
TID_CHARGE,בולדוזר
TID_CHARGE_DESC,בול מרכין את ראשו וכמו בולדוזר מפלס את דרכו בין יריבים ומכשולים. הוא תמיד היה תותח!
TID_ROCKET_GIRL,ברוק
TID_ROCKET_GIRL_DESC,"כשברוק לא מדליק את שדה הקרב בטילים, הוא מאיר את רחבת הריקודים במהלכי ריקוד מגניבים."
TID_FIREWORKS_WEAPON,טיל מטלטל
TID_FIREWORKS_WEAPON_DESC,ברוק מעיף טיל מטלטל שמסוגל להגיע למרחק עצום.
TID_FIREWORKS_ULTI,גשם של טילים
TID_FIREWORKS_ULTI_DESC,ברוק יורה מטח טילים שמחסל אויבים ומכשולים. הוא מת לראות אתכם מתקלחים בגשם של טילים.
TID_TNT_DUDE,דינ-מייק
TID_TNT_DUDE_DESC,"מדובר בפצצה מתקתקת. דינ-מייק חזר, ועדיין מדגדג לו באצבעות לפוצץ הכול לרסיסים!"
TID_MORTAR,פיוז קצר
TID_MORTAR_DESC,מייק משליך שני מקלות דינמיט ועובר כל מכשול שעומד בדרכו. הוא טיפוס עצבני ויש לו פיוז קצר!
TID_MORTAR_ULTI,פצצה של חבית
TID_MORTAR_ULTI_DESC,האמ-אימא של חביות הדינמיט! מפוצצת מקומות מחסה כמו כלום. כל אויב ששורד מחוסל על המקום.
TID_LUCHADOR,אל פרימו
TID_LUCHADOR_DESC,אל פרימו מכניס מבול של אגרופים בפרצוף של היריב. תכונת הסופר שלו היא נעיצת מרפק אכזרית שגורמת נזק חמור לכל מי שנתקל בה!
TID_LUCHADOR_WEAPON,אגרופי הזעם
TID_LUCHADOR_WEAPON_DESC,אל פרימו מכניס מבול של אגרופים לוהטים. לא סתם לוהטים! כמו פלפל חריף לפנים.
TID_LUCHADOR_ULTI,נעיצת מרפק מהשמיים
TID_LUCHADOR_ULTI_DESC,אל פרימו מנתר למעלה ומנחית מרפק מהגיהינום שמחסל אויבים והורס מקומות מחסה!
TID_TRICKSHOT_DUDE_OLD,ריקושט
TID_TRICKSHOT_DUDE_DESC,ריקו יורה מטחי כדורים שחוזרים כריקושט מהקירות. תכונת הסופר שלו היא מטח ארוך טווח של כדורים קופצים חודרי מטרות!
TID_TRICKSHOT_DUDE_WEAPON,כדורים קופצים
TID_TRICKSHOT_DUDE_WEAPON_DESC,הכדורים של ריקו קופצים חזרה מהקירות ומגדילים את טווח הפגיעה. הם מסוגלים לפגוע באויב גם מאחורי מחסה.
TID_TRICKSHOT_DUDE_ULTI,יריה מתעתעת
TID_TRICKSHOT_DUDE_ULTI_DESC,"ריקו יורה מטח כדורים ארוך טווח המפלח את האויב, קופץ כריקושט מקירות ומגדיל את טווח הפגיעה."
TID_CACTUS,ספייק
TID_CACTUS_DESC,ספייק משליך רימוני קקטוס המפזרים סיכות מעופפות ומפגין תכונת סופר מרשימה ביותר: שדה של קקטוסים קוצניים המאט את התקדמות האויב וגורם לו נזקים!
TID_CACTUS_WEAPON,רימון של סיכות
TID_CACTUS_WEAPON_DESC,ספייק משליך קקטוס קטן שמתפוצץ ויורה קוצים לכל הכיוונים.
TID_CACTUS_ULTI,אל תלכו!
TID_CACTUS_ULTI_DESC,"ספייק משליך רימון קוצים. האויבים נלכדים באזור המופגז, נפגעים והתקדמותם מואטת."
TID_BARKEEP,בארלי
