"Name","Disabled","DisabledCN","FileName","ExportName","Character","Skin","Rarity","EffectColorR","EffectColorG","EffectColorB","FlipSprayForEnemies","LockedForChronos","SprayBundles","IsDefaultBattleSpray","Texture"
"spray_penny_1",,,"sc/ui.sc","spray_penny_1","ArtilleryDude",,"COMMON",255,96,187,"TRUE",,,,"spray_penny.png"
"spray_carl_1",,,"sc/ui.sc","spray_carl_1","Whirlwind",,"COMMON",255,236,147,"TRUE",,,,"spray_carl.png"
"spray_coc",,,"sc/ui.sc","spray_coc",,,"COMMON",255,249,90,"TRUE",,,,"spray_coc.png"
"spray_badrandoms",,,"sc/ui.sc","spray_badrandoms",,,"COMMON",255,88,255,"TRUE",,,,"spray_badrandoms.png"
"spray_deepsea_1",,,"sc/ui.sc","spray_deepsea_1",,,"COMMON",150,255,16,"TRUE",,,,"spray_deepsea_1.png"
"spray_deepsea_2",,,"sc/ui.sc","spray_deepsea_2",,,"COMMON",255,77,212,"TRUE",,,,"spray_deepsea_2.png"
"spray_bronze",,,"sc/ui.sc","spray_bronze",,,"COLLECTORS",239,117,39,"TRUE",,,,"spray_bronze.png"
"spray_silver",,,"sc/ui.sc","spray_silver",,,"COLLECTORS",162,162,206,"TRUE",,,,"spray_silver.png"
"spray_gold",,,"sc/ui.sc","spray_gold",,,"COLLECTORS",255,156,33,"TRUE",,,,"spray_gold.png"
"spray_diamond",,,"sc/ui.sc","spray_diamond",,,"COLLECTORS",0,243,252,"TRUE",,,,"spray_diamond.png"
"spray_mythic",,,"sc/ui.sc","spray_mythic",,,"COLLECTORS",243,64,255,"TRUE",,,,"spray_mythic.png"
"spray_legendary",,,"sc/ui.sc","spray_legendary",,,"COLLECTORS",255,42,68,"TRUE",,,,"spray_legendary.png"
"spray_masters",,,"sc/ui.sc","spray_masters",,,"COLLECTORS",252,224,91,"TRUE",,,,"spray_masters.png"
"spray_challenge_ball",,,"sc/ui.sc","spray_challenge_ball",,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_ball.png"
"spray_challenge_solo",,,"sc/ui.sc","spray_challenge_solo",,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_solo.png"
"spray_challenge_duo1",,,"sc/ui.sc","spray_challenge_duo1",,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_duo1.png"
"spray_challenge_duo2",,,"sc/ui.sc","spray_challenge_duo2",,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_challenge_duo2.png"
"spray_bsc",,,"sc/ui.sc","spray_bsc",,,"COLLECTORS",255,255,17,"TRUE",,,,"spray_bsc.png"
"spray_mortis_mecha",,,"sc/ui.sc","spray_mortis_mecha","Undertaker","UndertakerMecha","COMMON",214,79,252,"TRUE",,,,"spray_mortis_mecha.png"
"spray_bea_1",,,"sc/ui.sc","spray_bea_1","BeeSniper",,"COMMON",252,200,10,"TRUE",,,,"spray_bea.png"
"spray_bibi_1",,,"sc/ui.sc","spray_bibi_1","Baseball",,"COMMON",96,224,255,"TRUE",,,,"spray_bibi.png"
"spray_bonnie_1",,,"sc/ui.sc","spray_bonnie_1","CannonGirl",,"COMMON",238,20,84,"TRUE",,,,"spray_bonnie.png"
"spray_edgar_1",,,"sc/ui.sc","spray_edgar_1","Enrager",,"COMMON",168,27,249,"TRUE",,,,"spray_edgar.png"
"spray_frank_1",,,"sc/ui.sc","spray_frank_1","HammerDude",,"COMMON",61,255,199,"TRUE",,,,"spray_frank.png"
"spray_grom_1",,,"sc/ui.sc","spray_grom_1","CrossBomber",,"COMMON",255,241,0,"TRUE",,,,"spray_grom.png"
"spray_nani_1",,,"sc/ui.sc","spray_nani_1","Controller",,"COMMON",13,222,248,"TRUE",,,,"spray_nani.png"
"spray_pam_1",,,"sc/ui.sc","spray_pam_1","MinigunDude",,"COMMON",194,193,232,"TRUE",,,,"spray_pam.png"
"spray_piper_1",,,"sc/ui.sc","spray_piper_1","Sniper",,"COMMON",155,54,193,"TRUE",,,,"spray_piper.png"
"spray_griff_1",,,"sc/ui.sc","spray_griff_1","AssaultShotgun",,"COMMON",255,253,48,"TRUE",,,,"spray_griff.png"
"spray_robotfactory_1",,,"sc/ui.sc","spray_robotfactory_1",,,"COMMON",7,167,255,"TRUE",,,,"spray_robotfactory_1.png"
"spray_robotfactory_2",,,"sc/ui.sc","spray_robotfactory_2",,,"COMMON",193,255,73,"TRUE",,,,"spray_robotfactory_2.png"
"spray_gemgrab",,,"sc/ui.sc","spray_gemgrab",,,"COLLECTORS",154,69,255,"TRUE",,,,"spray_gemgrab.png"
"spray_bounty",,,"sc/ui.sc","spray_bounty",,,"COLLECTORS",255,190,32,"TRUE",,,,"spray_bounty.png"
"spray_heist",,,"sc/ui.sc","spray_heist",,,"COLLECTORS",184,238,251,"TRUE",,,,"spray_heist.png"
"spray_mortis_1",,,"sc/ui.sc","spray_mortis_1","Undertaker",,"COMMON",255,13,255,"TRUE",,,,"spray_mortis.png"
"spray_sprout_1",,,"sc/ui.sc","spray_sprout_1","Wally",,"COMMON",255,200,0,"TRUE",,,,"spray_sprout.png"
"spray_mrp_1",,,"sc/ui.sc","spray_mrp_1","SpawnerDude",,"COMMON",30,32,248,"TRUE",,,,"spray_mrp.png"
"spray_byron_1",,,"sc/ui.sc","spray_byron_1","SnakeOil",,"COMMON",0,210,170,"TRUE",,,,"spray_byron.png"
"spray_max_1",,,"sc/ui.sc","spray_max_1","Speedy",,"COMMON",255,239,0,"TRUE",,,,"spray_max.png"
"spray_tara_1",,,"sc/ui.sc","spray_tara_1","BlackHole",,"COMMON",0,133,251,"TRUE",,,,"spray_tara.png"
"spray_squeak_1",,,"sc/ui.sc","spray_squeak_1","StickyBomb",,"COMMON",0,228,223,"TRUE",,,,"spray_squeak.png"
"spray_gene_1",,,"sc/ui.sc","spray_gene_1","HookDude",,"COMMON",255,180,3,"TRUE",,,,"spray_gene.png"
"spray_ghost_tunnel",,,"sc/ui.sc","spray_ghost_tunnel",,,"COMMON",0,0,0,"TRUE",,,,"spray_ghost_tunnel.png"
"spray_ghost_train",,,"sc/ui.sc","spray_ghost_train",,,"COMMON",92,255,255,"TRUE",,,,"spray_ghost_train.png"
"spray_ghost_wagon1",,,"sc/ui.sc","spray_ghost_wagon1",,,"COMMON",92,255,255,"TRUE",,,,"spray_ghost_wagon1.png"
"spray_ghost_wagon2",,,"sc/ui.sc","spray_ghost_wagon2",,,"COMMON",239,255,255,"TRUE",,,,"spray_ghost_wagon2.png"
"spray_ghost_wagon3",,,"sc/ui.sc","spray_ghost_wagon3",,,"COMMON",255,14,248,"TRUE",,,,"spray_ghost_wagon3.png"
"spray_paper",,,"sc/ui.sc","spray_paper",,,"COMMON",255,255,115,"TRUE",,,,"spray_paper.png"
"spray_scissors",,,"sc/ui.sc","spray_scissors",,,"COMMON",255,255,115,"TRUE",,,,"spray_scissors.png"
"spray_rock",,,"sc/ui.sc","spray_rock",,,"COMMON",255,255,115,"TRUE",,,,"spray_rock.png"
"spray_denied",,,"sc/ui.sc","spray_denied",,,"COMMON",244,0,57,"TRUE",,,,"spray_denied.png"
"spray_singlesday",,,"sc/ui.sc","spray_singlesday",,,"COLLECTORS",255,194,7,"TRUE",,,,"spray_singlesday.png"
"spray_lastbox",,,"sc/ui.sc","spray_lastbox",,,"COLLECTORS",255,32,26,"TRUE",,,,"spray_lastbox.png"
"spray_grand_masters",,,"sc/ui.sc","spray_grand_masters",,,"COLLECTORS",196,251,29,"TRUE",,,,"spray_grand_masters.png"
"spray_amber_1",,,"sc/ui.sc","spray_amber_1","FireDude",,"COLLECTORS",250,255,61,"TRUE",,,,"spray_amber.png"
"spray_crow_1",,,"sc/ui.sc","spray_crow_1","Crow",,"COLLECTORS",193,211,255,"TRUE",,,,"spray_crow.png"
"spray_meg_1",,,"sc/ui.sc","spray_meg_1","MechaDude",,"COLLECTORS",243,0,66,"TRUE",,,,"spray_meg.png"
"spray_leon_1",,,"sc/ui.sc","spray_leon_1","Ninja",,"COLLECTORS",0,214,40,"TRUE",,,,"spray_leon.png"
"spray_chester_1",,,"sc/ui.sc","spray_chester_1","Jester",,"COLLECTORS",103,67,255,"TRUE",,,,"spray_chester.png"
"spray_sandy_1",,,"sc/ui.sc","spray_sandy_1","Sandstorm",,"COLLECTORS",125,94,252,"TRUE",,,,"spray_sandy.png"
"spray_spike_1",,,"sc/ui.sc","spray_spike_1","Cactus",,"COLLECTORS",0,224,95,"TRUE",,,,"spray_spike.png"
"spray_anniversary1",,,"sc/ui.sc","spray_anniversary1",,,"COMMON",243,192,255,"TRUE",,,,"spray_anniversary1.png"
"spray_anniversary2",,,"sc/ui.sc","spray_anniversary2",,,"COMMON",255,185,33,"TRUE",,,,"spray_anniversary2.png"
"spray_brawlidays_hat",,,"sc/ui.sc","spray_brawlidays_hat",,,"COMMON",249,3,3,"TRUE",,,,"spray_brawlidays_hat.png"
"spray_brawlidays_horns",,,"sc/ui.sc","spray_brawlidays_horns",,,"COMMON",18,188,0,"TRUE",,,,"spray_brawlidays_horns.png"
"spray_brawlentines_heart1",,,"sc/ui.sc","spray_brawlentines_heart1",,,"COMMON",255,77,213,"TRUE",,,,"spray_brawlentines_heart1.png"
"spray_brawlentines_heart2",,,"sc/ui.sc","spray_brawlentines_heart2",,,"COMMON",255,77,213,"TRUE",,,,"spray_brawlentines_heart2.png"
"spray_candyland1",,,"sc/ui.sc","spray_candyland1",,,"COMMON",255,209,18,"TRUE",,,,"spray_candyland1.png"
"spray_candyland2",,,"sc/ui.sc","spray_candyland2",,,"COMMON",131,255,255,"TRUE",,,,"spray_candyland2.png"
"spray_lny2022",,,"sc/ui.sc","spray_lny2022",,,"COMMON",151,255,16,"TRUE",,,,"spray_lny2022.png"
"spray_esports2022_punch",,,"sc/ui.sc","spray_esports2022_punch",,,"COLLECTORS",102,247,47,"TRUE",,,,"spray_esports2022_punch.png"
"spray_gray_1",,,"sc/ui.sc","spray_gray_1","DoorMan",,"COMMON",255,255,255,"TRUE",,,,"spray_gray.png"
"spray_rt_1",,,"sc/ui.sc","spray_rt_1","Splitter",,"COLLECTORS",255,255,255,"TRUE",,,,"spray_rt.png"
"spray_willow_1",,,"sc/ui.sc","spray_willow_1","Puppeteer",,"COMMON",18,255,209,"TRUE",,,,"spray_willow.png"
"spray_hub1",,,"sc/ui.sc","spray_hub1",,,"COMMON",253,243,60,"TRUE",,,,"spray_hub1.png"
"spray_hub2",,,"sc/ui.sc","spray_hub2",,,"COMMON",255,10,98,"TRUE",,,,"spray_hub2.png"
"spray_otis_mask",,,"sc/ui.sc","spray_otis_mask","Silencer","SilencerOni","COLLECTORS",61,190,255,"TRUE",,,,"spray_otis_mask.png"
"spray_lola_mask",,,"sc/ui.sc","spray_lola_mask","Duplicator","DuplicatorKitsune","COLLECTORS",255,255,255,"TRUE",,,,"spray_lola_mask.png"
"spray_dynamike_mask",,,"sc/ui.sc","spray_dynamike_mask","TntDude","TntDudeTengu","COLLECTORS",252,131,42,"TRUE",,,,"spray_dynamike_mask.png"
"spray_janet_popstar",,,"sc/ui.sc","spray_janet_popstar","JetpackGirl","JetpackGirlPopstar","COLLECTORS",251,243,79,"TRUE",,,,"spray_janet_popstar.png"
"spray_nani_easter",,,"sc/ui.sc","spray_nani_easter","Controller","ControllerEaster","COLLECTORS",255,167,255,"TRUE",,,,"spray_nani_easter.png"
"spray_carl_carpet",,,"sc/ui.sc","spray_carl_carpet","Whirlwind","WhirlwindRamadan","COLLECTORS",253,243,60,"TRUE",,,,"spray_carl_carpet.png"
"spray_ruffs_1",,,"sc/ui.sc","spray_ruffs_1","Ruffs",,"COLLECTORS",233,45,172,"TRUE",,,,"spray_ruffs.png"
"spray_belle_1",,,"sc/ui.sc","spray_belle_1","ElectroSniper",,"COLLECTORS",160,243,255,"TRUE",,,,"spray_belle.png"
"spray_buzz_1",,,"sc/ui.sc","spray_buzz_1","RopeDude",,"COLLECTORS",0,255,31,"TRUE",,,,"spray_buzz.png"
"spray_buster_1",,,"sc/ui.sc","spray_buster_1","ShieldTank",,"COLLECTORS",123,245,255,"TRUE",,,,"spray_buster.png"
"spray_colette_1",,,"sc/ui.sc","spray_colette_1","Percenter",,"COLLECTORS",250,170,255,"TRUE",,,,"spray_colette.png"
"spray_eve_1",,,"sc/ui.sc","spray_eve_1","Flea",,"COLLECTORS",164,29,246,"TRUE",,,,"spray_eve.png"
"spray_fang_1",,,"sc/ui.sc","spray_fang_1","KickerDude",,"COLLECTORS",255,198,0,"TRUE",,,,"spray_fang.png"
"spray_gale_1",,,"sc/ui.sc","spray_gale_1","Blower",,"COLLECTORS",68,255,255,"TRUE",,,,"spray_gale.png"
"spray_janet_1",,,"sc/ui.sc","spray_janet_1","JetpackGirl",,"COLLECTORS",254,208,234,"TRUE",,,,"spray_janet.png"
"spray_lola_1",,,"sc/ui.sc","spray_lola_1","Duplicator",,"COLLECTORS",0,214,193,"TRUE",,,,"spray_lola.png"
"spray_lou_1",,,"sc/ui.sc","spray_lou_1","IceDude",,"COLLECTORS",0,233,251,"TRUE",,,,"spray_lou.png"
"spray_mandy_1",,,"sc/ui.sc","spray_mandy_1","Beamer",,"COLLECTORS",255,210,75,"TRUE",,,,"spray_mandy.png"
"spray_otis_1",,,"sc/ui.sc","spray_otis_1","Silencer",,"COLLECTORS",61,251,196,"TRUE",,,,"spray_otis.png"
"spray_sam_1",,,"sc/ui.sc","spray_sam_1","WeaponThrower",,"COLLECTORS",254,226,34,"TRUE",,,,"spray_sam.png"
"spray_surge_1",,,"sc/ui.sc","spray_surge_1","PowerLeveler",,"COLLECTORS",144,60,255,"TRUE",,,,"spray_surge.png"
"spray_easter2023",,,"sc/ui.sc","spray_easter2023",,,"COMMON",0,234,0,"TRUE",,,,"spray_easter2023.png"
"spray_challenge_basketball",,,"sc/ui.sc","spray_challenge_basketball",,,"COLLECTORS",255,139,35,"TRUE",,,,"spray_challenge_basketball.png"
"spray_challenge_duels",,,"sc/ui.sc","spray_challenge_duels",,,"COLLECTORS",253,242,80,"TRUE",,,,"spray_challenge_duels.png"
