"Name","TicketsInRareDraw","TicketsInSuperRareDraw","TicketsInEpicDraw","TicketsInMythicDraw","TicketsInLegendaryDraw","TicketsInOverchargeDraw","TicketsInRankedDraw","TicketsInCollabRareDraw","TicketsInCollabSuperRareDraw","TicketsInCollabEpicDraw","TicketsInCollabMythicDraw","TicketsInCollabLegendaryDraw","TypeName","TypeValue","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount"
"Brawler Legendary",,,,,2,,,,,,,,"Brawler",5,,,,,"Credits",1000
"Bling S",5,,,,,,,,,,,,"Bling",,,,20,20,,
"Bling M",,5,,,,,,,,,,,"Bling",,,,50,50,,
"Bling L",,,,,,,,,,,,,"Bling",,,,100,100,,
"Bling XL",,,,,,,,,,,,,"Bling",,,,200,200,,
"Skin 1-29 Gem",,,5,25,,,,,,,,,"Skin",,1,29,,,"Bling",500
"Skin 30-79 Gem",,,,,33,,,,,,,,"Skin",,30,79,,,"Bling",1000
"Skin 80-149 Gem",,,,,2,,,,,,,,"Skin",,80,149,,,"Bling",1000
"Pin 1-9 Gem",,5,15,,,,,,,,,,"Pin",,1,9,,,"Bling",100
"Pin 10-29 Gem",,,5,10,,,,,,,,,"Pin",,10,29,,,"Bling",100
"Pin 30-39 Gem",,,,5,,,,,,,,,"Pin",,30,999,,,"Bling",100
"Spray 1-19 Gem",,2,15,,,,,,,,,,"Spray",,1,19,,,"Bling",100
"Spray 20-29 Gem",,,,10,,,,,,,,,"Spray",,20,999,,,"Bling",100
"Profile Pic",,,,10,,,,,,,,,"ProfilePic",,,,,,"Bling",100
"Token Doubler S",45,,,,,,,,,,,,"TokenDoubler",,,,100,100,"Credits",100
"Skin 150-199 Gem",,,,,,,,,,,,,"Skin",,150,199,,,"Bling",100
"Skin 200-999 Gem",,,,,,,,,,,,,"Skin",,200,999,,,"Bling",100
"Token Doubler M",,20,,,,,,,,,,,"TokenDoubler",,,,200,200,"Credits",100
"Token Doubler L",,,10,,,,,,,,,,"TokenDoubler",,,,500,500,"Credits",100
"Overcharge",,,,,15,1,,,,,,,"Overcharge",,,,,,"Coins",1000
"RankedStarSkin",,,,,,,100,,,,,,"RankedStarSkin",,,,,,"Bling",500
"RankedStarSpray",,,,,,,200,,,,,,"RankedStarSpray",,,,,,"Bling",170
"RankedStarProfilePic",,,,,,,200,,,,,,"RankedStarProfilePic",,,,,,"Bling",130
"Bling Ranked S",,,,,,,400,,,,,,"Bling",,,,100,100,,
"Bling Ranked M",,,,,,,90,,,,,,"Bling",,,,250,250,,
"Bling Ranked L",,,,,,,10,,,,,,"Bling",,,,1000,1000,,
"CollabMutation S",,,,,,,,50,,,,,"CollabMutation",,,,,,"Credits",20
"CollabSkin 1-29 Gem",,,,,,,,,,,78,,"CollabSkin",,1,29,,,"Bling",200
"CollabSkin 30-79 Gem",,,,,,,,,,,22,,"CollabSkin",,30,79,,,"Bling",500
"CollabSkin 80-149 Gem",,,,,,,,,,,,80,"CollabSkin",,80,149,,,"Bling",1000
"CollabSkin 150-299 Gem",,,,,,,,,,,,8,"CollabSkin",,150,299,,,"Bling",1000
"CollabSkin 300-799 Gem",,,,,,,,,,,,12,"CollabSkin",,300,999,,,"Bling",1000
"CollabSpray",,,,,,,,,,18,,,"CollabSpray",,,,,,"Bling",100
"CollabProfilePic",,,,,,,,,,18,,,"CollabProfilePic",,,,,,"Bling",100
"Coins S Collab",,,,,,,,20,,,,,"Coins",,,,100,100,,
"Coins M Collab",,,,,,,,,20,,,,"Coins",,,,200,200,,
"Coins L Collab",,,,,,,,,,,,,"Coins",,,,500,500,,
"Coins XL Collab",,,,,,,,,,,,,"Coins",,,,1000,1000,,
"Power Points S Collab",,,,,,,,15,,,,,"PowerPoints",,,,50,50,,
"Power Points M Collab",,,,,,,,,15,,,,"PowerPoints",,,,100,100,,
"Power Points L Collab",,,,,,,,,,,,,"PowerPoints",,,,250,250,,
"Power Points XL Collab",,,,,,,,,,,,,"PowerPoints",,,,500,500,,
"Bling S Collab",,,,,,,,15,,,,,"Bling",,,,50,50,,
"Bling M Collab",,,,,,,,,15,,,,"Bling",,,,100,100,,
"Bling L Collab",,,,,,,,,,,,,"Bling",,,,250,250,,
"Bling XL Collab",,,,,,,,,,,,,"Bling",,,,500,500,,
"CollabPin",,,,,,,,,,14,,,"CollabPin",,,,,,"Bling",100
"CollabMutation M",,,,,,,,,50,,,,"CollabMutation",,,,,,"Credits",50
"CollabMutation L",,,,,,,,,,50,,,"CollabMutation",,,,,,"Credits",100
