"Name","RewardEmotes","RewardPlayerIcons","RewardTitles","RewardSprays","MasteryIconFile","MasteryIconExportName","CustomTrack","VisualComponentTypes","VisualComponentNames"
"MasteryCooker","emoji_pearl_facepalm","player_icon_pearl1","TitleMasteryPearl",,"sc/ui.sc","mastery_brawler_icon_pearl",,,
"MasteryConductor","emoji_chuck_facepalm","player_icon_chuck1","TitleMasteryChuck",,"sc/ui.sc","mastery_brawler_icon_chuck",,,
"MasteryCocooner","emoji_charlotte_facepalm","player_icon_charlie1","TitleMasteryCharlie",,"sc/ui.sc","mastery_brawler_icon_charlotte",,,
"MasteryLeaper","emoji_miko_facepalm","player_icon_miko1","TitleMasteryMiko",,"sc/ui.sc","mastery_brawler_icon_miko",,,
"MasteryAttacher","emoji_kit_facepalm","player_icon_kit1","TitleMasteryKit",,"sc/ui.sc","mastery_brawler_icon_kit",,,
"MasteryTwins","emoji_twin_facepalm","player_icon_twins1","TitleMasteryTwins",,"sc/ui.sc","mastery_brawler_icon_twins",,,
"MasteryAxeJuggler","emoji_melodie_facepalm","player_icon_melody1","TitleMasteryMelody",,"sc/ui.sc","mastery_brawler_icon_melodie",,,
"MasteryInsectMan","emoji_angelo_facepalm","player_icon_angelo1","TitleMasteryAngelo",,"sc/ui.sc","mastery_brawler_icon_angelo",,,
"MasteryDragonRider","emoji_draco_facepalm","player_icon_draco1","TitleMasteryDraco",,"sc/ui.sc","mastery_brawler_icon_draco",,,
"MasteryAmbusher","emoji_lili_facepalm","player_icon_lily1","TitleMasteryLily",,"sc/ui.sc","mastery_brawler_icon_lili",,,
"MasteryPainter","emoji_berry_facepalm","player_icon_berry1","TitleMasteryBerry",,"sc/ui.sc","mastery_brawler_icon_berry",,,
"MasteryCrab","emoji_clancy_facepalm","player_icon_clancy1","TitleMasteryClancy",,"sc/ui.sc","mastery_brawler_icon_clancy",,,
"MasteryDigger","emoji_digger_facepalm","player_icon_digger1","TitleDigger",,"sc/ui.sc","mastery_brawler_icon_digger",,,
"MasterySamurai","emoji_samurai_facepalm","player_icon_samurai1","TitleMasteryKenji",,"sc/ui.sc","mastery_brawler_icon_samurai",,,
"MasteryGhost","emoji_shade_facepalm","player_icon_shade1","TitleMasteryGhost",,"sc/ui.sc","mastery_brawler_icon_shade",,,
"MasteryVoodoo","emoji_selena_faceplam","player_icon_juju1","TitleMasteryVoodoo",,"sc/ui.sc","mastery_brawler_icon_juju",,,
"MasteryLightyear","emoji_buzzlightyear_angry","player_icon_ts_buzz","TitleMasteryLightyear","spray_ts_buzzarm","sc/ui.sc","mastery_brawler_icon_buzzlightyear","Custom1","CONTAINER","mastery_popup_collab_screen_"
,"emoji_buzzlightyear_sad",,,,,,,"MILESTONE_BAR","mastery_popup_collab_bar_milestone"
"MasteryMeeple","emoji_meeple_facepalm","player_icon_meeple1","TitleMasteryMeeple",,"sc/ui.sc","mastery_brawler_icon_meeple",,,
"MasterySkater","emoji_ollie_facepalm","player_icon_ollie1","TitleMasteryOllie",,"sc/ui.sc","mastery_brawler_icon_ollie",,,
"MasteryMorningstar","emoji_lumi_facepalm","player_icon_lumi1","TitleMasteryLumi",,"sc/ui.sc","mastery_brawler_icon_lumi",,,
"MasteryChronomancer","emoji_finn_facepalm","player_icon_finx1","TitleMasteryFinx",,"sc/ui.sc","mastery_brawler_icon_finx",,,
