"Name","NameTID","InfoTID","BgItemName","BgOfferPopup","SkinBuyRequiresExclusiveOption","EmoteBundleName","CampaignIconExportName","DisabledFromCatalog","ShowInCatalogCollectionsSection","CatalogSortingOrder","BundledUnderCatalogCategory","CatalogNameOverrideTID","CatalogDescriptionTID","UseSecondCampaing"
"RETRO","TID_SKIN_INFO_CAMPAIGN_RETRO",,"bg_campaign_retro","offer_bgr_retro2023",,,"icon_skins_retro",,,,,,,
"CLUBLEAGUE","TID_SKIN_INFO_CLUB_LEAGUE",,"bg_campaign_club_league","offer_bgr_rarity_epic",,,"icon_skins_club_league",,,,,,,
"BRAWLOWEEN","TID_SKIN_INFO_BRAWLOWEEN",,"bg_campaign_3","offer_bgr_zombie",,,"icon_skins_brawloween",,,,,,,
"LEGENDARYSET","TID_SKIN_INFO_LEGENDARYSET_SKINS",,"bg_campaign_legendary","offer_bgr_rarity_legendary",,,"icon_skins_legendary",,,,,,,
"BRAWLYWOOD","TID_SKIN_INFO_BRAWLYWOOD",,"bg_campaign_brawlywood","offer_bgr_brawlywood",,,"icon_skins_brawlywood",,,,,,,
"BRAWLPASS_BRAWLYWOOD","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE",,"bg_campaign_11","offer_bgr_brawlywood",,,"icon_skins_brawl_pass",,,,,,,
"WF_2021","TID_SKIN_INFO_WF_2021",,"bg_campaign_15","offer_bgr_wf2023",,,"icon_skins_wf",,,,"WF_2020",,,
"PIRATES","TID_SKIN_INFO_PIRATES",,"bg_campaign_pirates","offer_bgr_cursed",,,"icon_skins_pirates",,,,,,,
"BRAWLENTINES","TID_SKIN_INFO_BRAWLENTINES",,"bg_campaign_brawlentines","offer_bgr_brawlentines23",,,"icon_skins_brawlentines",,,,,,,
"LNY22","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2022",,"bg_campaign_5","offer_bgr_lny24",,"Lny22","icon_skins_lny20",,,,"LNY_2019",,,
"ANNIVERSARY2021","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2021",,"bg_campaign_16","offer_bgr_outlaw",,,"icon_skins_anniversary",,,,"ANNIVERSARY2019",,,
"BIODOME","TID_SKIN_INFO_CAMPAIGN_BIODOME",,"bg_campaign_biodome","offer_bgr_biodome",,"Biodome","icon_skins_biodome",,,,,,,
"STUNTSHOW","TID_SKIN_INFO_CAMPAIGN_STUNTSHOW",,"bg_campaign_stuntshow","offer_bgr_stuntshow",,"Stuntshow","icon_skins_stuntshow",,,,,,,
"GOLDENWEEK","TID_SKIN_INFO_CAMPAIGN_GOLDENWEEK",,"bg_campaign_goldenkawaii","offer_bgr_gw2023",,"Goldenweek","icon_skins_goldenkawaii",,,,,,,
"VILLAINS","TID_SKIN_INFO_CAMPAIGN_VILLAINS",,"bg_campaign_villains","offer_bgr_villains",,"Villains","icon_skins_villains",,,,,,,
"LANTERN","TID_SKIN_INFO_CAMPAIGN_LANTERN",,"bg_campaign_lantern","offer_bgr_ramadan2023",,,"icon_skins_lantern",,,,,,,
"DEEPSEA","TID_SKIN_INFO_DEEPSEA",,"bg_campaign_deepsea","offer_bgr_deepsea",,"Deepsea","icon_skins_deepsea",,,,,,,
"BT21","TID_SKIN_INFO_BT21",,"bg_campaign_bt21","offer_bgr_bt21",,,"icon_skins_bt21",,,,,,,
"CALAMITY","TID_SKIN_INFO_OUTLAW",,"bg_campaign_outlaw","offer_bgr_robotfactory",,,"icon_skins_outlaw",,,,,,,
"MECHA","TID_SKIN_INFO_MECHA",,"bg_campaign_mecha","offer_bgr_mecha_edgar",,,"icon_skins_mecha",,,,,,,
"GHOST_TRAIN","TID_SKIN_INFO_GHOST_TRAIN",,"bg_campaign_ghosttrain","offer_bgr_ghosttrain",,,"icon_skins_ghosttrain",,,,,,,
"ACTION","TID_SKIN_INFO_ACTION",,"bg_campaign_action","offer_bgr_action",,,"icon_skins_action",,,,,,,
"WF_2022","TID_SKIN_INFO_WF_2022",,"bg_campaign_15","offer_bgr_wf2023",,,"icon_skins_wf",,,,"WF_2020",,,
"BRAWLOWEEN22","TID_SKIN_INFO_BRAWLOWEEN",,"bg_campaign_3","offer_bgr_zombie",,,"icon_skins_brawloween",,,,"BRAWLOWEEN",,,
"RETRO22","TID_SKIN_INFO_CAMPAIGN_RETRO",,"bg_campaign_retro","offer_bgr_retro2023",,,"icon_skins_retro",,,,,,,
"LASTBOX","TID_SKIN_INFO_CAMPAIGN_LASTBOX",,"bg_campaign_lastbox","offer_bgr_blue",,,"icon_skins_lastbox",,,,,,,
"DARKMAS","TID_SKIN_INFO_DARKMAS",,"bg_campaign_darkmas","offer_bgr_darkmas",,,"icon_skins_darkmas",,,,,,,
"CANDYLAND","TID_SKIN_INFO_CANDYLAND",,"bg_campaign_candyland","offer_bgr_candyland",,,"icon_skins_candyland",,,,,,,
"LNY_2023","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2023",,"bg_campaign_5","offer_bgr_lny24",,,"icon_skins_lny20",,,,"LNY_2019",,,
"WC_2022","TID_SKIN_INFO_WC_2022",,"bg_campaign_15","offer_bgr_wf2023",,,"icon_skins_wf",,,,"WF_2020",,,
"ANNIVERSARY2022","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2022",,"bg_campaign_16","offer_bgr_outlaw",,,"icon_skins_anniversary",,,,"ANNIVERSARY2019",,,
"MASKS","TID_SKIN_INFO_MASKS",,"bg_campaign_masks","offer_bgr_masks",,,"icon_skins_masks",,,,,,,
"HUB","TID_SKIN_INFO_HUB",,"bg_campaign_hub","offer_bgr_hub",,,"icon_skins_hub",,,,,,,
"RANKED_OLD","TID_SKIN_INFO_CAMPAIGN_RANKED",,"bg_campaign_ranked","offer_bgr_blue",,,"icon_skins_ranked",,,,"RANKED",,,"TRUE"
"BUNNY_BRIGADE","TID_SKIN_INFO_CAMPAIGN_BUNNY",,"bg_campaign_bunny_brigade","offer_bgr_easter2023",,,"icon_skins_bunny_brigade",,,,,,,
"JUNGLE","TID_SKIN_INFO_CAMPAIGN_JUNGLE",,"bg_campaign_jungle","offer_bgr_jungle",,,"icon_skins_jungle",,,,,,,
"OLYMPUS","TID_SKIN_INFO_CAMPAIGN_GREEK",,"bg_campaign_olympus","offer_bgr_olympus",,,"icon_skins_olympus",,,,,,,
"CLASHIP","TID_SKIN_INFO_CAMPAIGN_CLASHIP",,"bg_campaign_claship","offer_bgr_claship",,,"icon_skins_claship",,,,,,,
"LUNAREVENT","TID_SKIN_INFO_CAMPAIGN_LUNAREVENT",,"bg_campaign_moonfestival","offer_bgr_mf24",,,"icon_skins_moonfestival",,,,,,,
"SUMMER","TID_SKIN_INFO_SUMMER",,"bg_campaign_summer","offer_bgr_velocirapids",,,"icon_skins_summer",,,,,,,
"ONCEUPON","TID_SKIN_INFO_CAMPAIGN_ONCEUPON",,"bg_campaign_onceupon","offer_bgr_onceupon",,,"icon_skins_onceupon",,,,,,,
"OUTLAWS","TID_SKIN_INFO_CAMPAIGN_OUTLAWS",,"bg_campaign_outlaws","offer_bgr_outlaw",,,"icon_skins_outlaws",,,,,,,
"ROBOTSMONSTERS","TID_SKIN_INFO_CAMPAIGN_ROBOTSMONSTERS",,"bg_campaign_robotsmonsters","offer_bgr_maxforce",,,"icon_skins_robotmonsters",,,,,,,
"LNY","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL",,"bg_campaign_5","offer_bgr_lny24",,,"icon_skins_lny20",,,,,,,
"CURSED","TID_SKIN_INFO_CAMPAIGN_CURSED",,"bg_campaign_cursed","offer_bgr_cursed",,,"icon_skins_cursed",,,,,,,
"ENCHANTED","TID_SKIN_INFO_CAMPAIGN_ENCHANTED",,"bg_campaign_enchanted","offer_bgr_enchanted",,,"icon_skins_enchanted",,,,,,,
"GOLDENBALL","TID_SKIN_INFO_CAMPAIGN_GOLDENBALL",,"bg_campaign_goldball","offer_bgr_football2024",,,"icon_skins_goldball",,,,,,,
"PHOENIX","TID_SKIN_INFO_CAMPAIGN_PHOENIX",,"bg_campaign_phoenix","offer_bgr_phoenix",,,"icon_skins_phoenix",,,,,,,
"UNIVERSITY","TID_SKIN_INFO_CAMPAIGN_UNIVERSITY",,"bg_campaign_university","offer_bgr_university",,,"icon_skins_university",,,,,,,
"WASTELAND","TID_SKIN_INFO_CAMPAIGN_WASTELAND",,"bg_campaign_wasteland","offer_bgr_wasteland",,,"icon_skins_wasteland",,,,,,,
"HARVESTFESTIVAL","TID_SKIN_INFO_CAMPAIGN_HARVESTFESTIVAL",,"bg_campaign_harvestfestival","offer_bgr_gw22",,,"icon_skins_harvestfestival",,,,,,,
"HINDU","TID_SKIN_INFO_CAMPAIGN_HINDU",,"bg_campaign_hindu","offer_bgr_hindu",,,"icon_skins_hindu",,,,,,,
"CIRCUS","TID_SKIN_INFO_CAMPAIGN_CIRCUS",,"bg_campaign_circus","offer_bgr_circus",,,"icon_skins_circus",,,,,,,
"WF_2023","TID_SKIN_INFO_WF_2023",,"bg_campaign_15","offer_bgr_wf2023",,,"icon_skins_wf",,,,"WF_2020",,,
"CARTOON","TID_SKIN_INFO_CAMPAIGN_CARTOON",,"bg_campaign_cartoon","offer_bgr_cartoon",,,"icon_skins_cartoon",,,,,,,
"CARNAVAL","TID_SKIN_INFO_CAMPAIGN_CARNAVAL",,"bg_campaign_carnaval","offer_bgr_carnaval25",,,"icon_skins_carnaval",,,,,,,
"SUPERBOWL","TID_SKIN_INFO_CAMPAIGN_SUPERBOWL",,"bg_campaign_superbowl","offer_bgr_superbowl",,,"icon_skins_superbowl",,,,,,,
"STARRPARK","TID_SKIN_INFO_CAMPAIGN_STARRPARK",,"bg_campaign_starrpark","offer_bgr_giftshop",,,"icon_skins_starrpark",,,,,,,
"MEAL","TID_SKIN_INFO_CAMPAIGN_MEAL",,"bg_campaign_meal","offer_bgr_meal",,,"icon_skins_meal",,,,,,,
"GIFTSHOP","TID_SKIN_INFO_CAMPAIGN_GIFTSHOP",,"bg_campaign_giftshop","offer_bgr_giftshop",,,"icon_skins_giftshop",,,,,,,
"WC_2023","TID_SKIN_INFO_WC_2023",,"bg_campaign_15","offer_bgr_wf2023",,,"icon_skins_wf",,,,"WF_2020",,,
"NORSEGODS","TID_SKIN_INFO_NORSEGODS",,"bg_campaign_ragnarok","offer_bgr_ragnarok",,,"icon_skins_ragnarok",,,,,,,
"BABYSHARK","TID_SKIN_INFO_BABYSHARK",,"bg_campaign_babyshark","offer_bgr_babyshark",,,"icon_skins_babyshark",,,,,,,
"APRILFOOLS","TID_SKIN_INFO_APRILFOOLS",,"bg_campaign_aprilfools","offer_bgr_aprilfools",,,"icon_skins_aprilfools",,,-5,,,,
"GODZILLA","TID_SKIN_INFO_GODZILLA",,"bg_campaign_godzilla","offer_bgr_godzilla",,,"icon_skins_godzilla",,,,,,,
"HACKER","TID_SKIN_INFO_HACKER",,"bg_campaign_hacker","offer_bgr_hackers",,,"icon_skins_hacker",,,,,,,
"SQUAD","TID_SKIN_INFO_SQUAD",,"bg_campaign_squad","offer_bgr_squad",,,"icon_skins_squad",,,,,,,
"MAXFORCE","TID_SKIN_INFO_MAXFORCE",,"bg_campaign_maxforce","offer_bgr_maxforce",,,"icon_skins_maxforce",,,,,,,
"CITY","TID_SKIN_INFO_CITY",,"bg_campaign_city","offer_bgr_city",,,"icon_skins_city",,,,,,,
"MUSIC","TID_SKIN_INFO_MUSIC",,"bg_campaign_music","offer_bgr_popstar",,,"icon_skins_music",,,,,,,
"MISC","TID_SKIN_INFO_MISC",,"bg_campaign_misc","offer_bgr_blue",,,"icon_skins_misc",,,,,,,
"ROYALS","TID_SKIN_INFO_ROYALS",,"bg_campaign_royals","offer_bgr_onceupon",,,"icon_skins_royals",,,,,,,
"GAMING","TID_SKIN_INFO_GAMING",,"bg_campaign_gaming","offer_bgr_lny23",,,"icon_skins_gaming",,,,,,,
"ANIMALS","TID_SKIN_INFO_ANIMALS",,"bg_campaign_animals","offer_bgr_jungle",,,"icon_skins_animals",,,,,,,
"CAVE","TID_SKIN_INFO_CAVE",,"bg_campaign_cave","offer_bgr_cave",,,"icon_skins_cave",,,,,,,
"SPONGEBOB","TID_SKIN_INFO_SB",,"bg_campaign_sb","offer_bgr_sb",,,"icon_skins_sb",,,,,,,
"WF_2024","TID_SKIN_INFO_WF_2024",,"bg_campaign_15","offer_bgr_wf2023",,,"icon_skins_wf",,,,"WF_2020",,,
"ANGELDEMONS","TID_SKIN_INFO_ANGELDEMONS",,"bg_campaign_angeldemons","offer_bgr_angeldemon",,,"icon_skins_angeldemons",,,,,,,
"USA","TID_SKIN_INFO_USA",,"bg_campaign_usa","offer_bgr_usa",,,"icon_skins_usa",,,,,,,
"TOYSTORY","TID_SKIN_INFO_TOYSTORY",,"bg_campaign_toystory","offer_bgr_toystory",,,"icon_skins_toystory",,,,,,,
"STARRFORCE","TID_SKIN_INFO_STARRFORCE",,"bg_campaign_arcade","offer_bgr_arcade",,,"icon_skins_starrforce",,,,,,,
"GOODRANDOMS","TID_SKIN_INFO_GOODRANDOMS",,"bg_campaign_goodrandoms","offer_bgr_goodrandoms",,,"icon_skins_goodrandoms",,,,,,,
"TOYS","TID_SKIN_INFO_TOYS",,"bg_campaign_toys","offer_bgr_toystory",,,"icon_skins_toys",,,,,,,
"DARKSANDS","TID_SKIN_INFO_DARKSANDS",,"bg_campaign_darksands","offer_bgr_darksands",,,"icon_skins_darksands",,,-30,,,,
"SUPERHEROES","TID_SKIN_INFO_SUPERHEROES",,"bg_campaign_superheroes","offer_bgr_superheroes",,,"icon_skins_superheroes",,,-20,,,,
"UNO","TID_SKIN_INFO_UNO",,"bg_campaign_uno","offer_bgr_uno",,,"icon_skins_uno",,,-10,,,,
"PROPASS","TID_SKIN_INFO_PROPASS",,"bg_campaign_propass","offer_bgr_propass",,,"icon_skins_propass",,,-15,,,,
