"Name","ParentStatusEffectForSkin","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","Damage","UltiChargePercent","AmmoReducePercent","Healing","ShieldPercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","ChainStatusEffect","ChainStatusEffect2","PersistTransformation","HapticsToSource","UseColorMod","RedAdd","GreenAdd","BlueAdd","StartEffect","LoopedEffect","LoopedEffectRemoveType","TimerBar","TriggerEffect","EndEffect"
"CrowPoison",,80,,,,,,20,,,"TRUE",80,30,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_001","end",,,
"CrowPoisonFire","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,0,,"poisoned_002","end",,,
"CrowPoisonShock","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_005","end",,,
"CrowPoisonSparkle","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_012","end",,,
"CrowPoisonStar","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",100,100,0,,,"end",,,
"LuchadorFire",,80,,,,,,20,,,"TRUE",225,0,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",150,150,0,,"poisoned_002","end",,,
"ShadowMushroomHot",,40,,,,,,20,"TRUE","TRUE",,,,,235,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",0,100,0,,"snake_oil_poison_1","end",,,
"ShadowMushroomDot",,40,,,,,,20,"TRUE","TRUE",,240,30,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,0,0,0,,"heal_over_time_3","end",,,
"AttacherUltiDot",,40,,,,,,20,,"TRUE",,125,30,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_001","end",,,
"CookerGadgetDot",,60,,,,,,20,"TRUE",,"TRUE",130,30,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",150,150,0,,"poisoned_002","end",,,
"CookerGadgetHot",,60,,,,,,20,"TRUE",,"TRUE",,,,350,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,0,0,0,,"heal_over_time_3","end",,,
"GhostIncorporeal",,120,,,,,,,,"TRUE","TRUE",,,,,,30,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,"TRUE",255,255,255,,,,"TRUE",,
"GhostShield",,120,,,,,,,,,"TRUE",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"buff_shield","remove",,,
"GhostDeadCenterReward",,20,,,,,,,,"TRUE","TRUE",,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"buff_speedUp","remove",,,
"GhostSpooked",,80,,,,,,,,,"TRUE",,,,,,,,20,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,"slowed","remove",,,
"MosquitoPoison",,80,,,,,,20,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,"TRUE",0,100,0,,"poisoned_001","end",,,
"DemonicRitualCooldown",,10,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,"end",,,
"AngelicGraceCooldown",,20,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,"end",,,
"DemonicMomentum",,9999999,,,,"TRUE",,20,,,"TRUE",,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentum002","DemonicMomentumCooldown",,,"TRUE",100,0,100,"DemonicMomentum_start","DemonicMomentum001","end",,,
"SpeedOfAnAngel",,9999999,,,,,,20,,"TRUE","TRUE",,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel002",,,,,,,,,"SpeedOfAnAngel001","end",,,
"SpeedOfAnAngel002",,9999999,,,,,,20,,"TRUE","TRUE",,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel003",,,,,0,0,0,,"SpeedOfAnAngel002","end",,,
"LastBreathCooldown",,500,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,0,0,0,,,"end",,,
"LastBreath",,30,,,,,,10,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,"LastBreathCooldown",,"TRUE",,"TRUE",70,70,70,,"Last_Breath_Shield","end",,,
"AngelicWrathCooldown",,50,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,"end",,,
"DemonicfireCooldown",,10,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,"end",,,
"InvokeAngelicPetAfterDying",,9999999,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AngelicPet","InvokeAngelicBigPetAfterDying",,,,,0,0,0,,,"end",,,
"InvokeAngelicBigPetAfterDying",,9999999,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AngelicPetBig",,,,,,0,0,0,,,"end",,,
"VoodooGadgetSpeedUp",,60,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"buff_speedUp","end",,,
"VoodooGadgetShield",,60,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"buff_shield","end",,,
"SilencerUltiOvercharged",,30,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,"TRUE",,,,,,,,,,,,,,,,,"stunned","end",,,
"BarrelbotShield",,18,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot005Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_005_ulti_loop_2","remove",,,
"Barrelbot006Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_006_ulti_shield","remove",,,
"Barrelbot007Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_007_ulti_shield","remove",,,
"Barrelbot008Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_008_ulti_shield","remove",,,
"BarrelbotShieldOvercharged","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_def_oc_ulti_shield","remove",,,
"BarrelbotAfterChargeShield",,40,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"BarrelbotAfterShieldOvercharged","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_def_oc_ulti_shield2","remove",,,
"Barrelbot005AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot006AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot007AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot008AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"DemonicMomentum002",,9999999,,,,"TRUE",,20,,,"TRUE",,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentum003","DemonicMomentumCooldown",,,"TRUE",100,0,100,"DemonicMomentum_start","DemonicMomentum002","end",,,
"DemonicMomentum003",,9999999,,,,"TRUE",,20,,,"TRUE",,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentum004","DemonicMomentumCooldown",,,"TRUE",100,0,100,"DemonicMomentum_start","DemonicMomentum003","end",,,
"DemonicMomentum004",,9999999,,,,"TRUE",,20,,,"TRUE",,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentumCooldown",,,"TRUE",100,0,100,"DemonicMomentum_start","DemonicMomentum004","end",,,
"DemonicMomentumCooldown",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DemonicRevengeCooldown",,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,
"DemonicSoulCollectorCooldown",,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,
"SpeedOfAnAngel003",,9999999,,,,,,20,,"TRUE","TRUE",,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel004",,,,"TRUE",70,70,70,,"SpeedOfAnAngel003","end",,,
"SpeedOfAnAngel004",,9999999,,,,,,20,,"TRUE","TRUE",,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel005",,,,,0,0,0,,"SpeedOfAnAngel004","end",,,
"SpeedOfAnAngel005",,9999999,,,,,,20,,"TRUE","TRUE",,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"SpeedOfAnAngel005","end",,,
"LightyearFire",,80,,,,,,20,,,"TRUE",80,30,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,"TRUE",100,20,0,,"poisoned_002","end",,,
"SkaterUltiTaunt",,50,,,,,"TRUE",,"TRUE",,"TRUE",800,100,,,,,,,,,,,,,,,,"TRUE",,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,,,,"taunt_effect","end",,,
"SkaterUltiAmmoReductionSelf",,30,,,,,,,"TRUE",,,,,50,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,
"SkaterGadgetJumpTaunt",,20,,,,,"TRUE",,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,"TRUE",,,,,"TRUE",,,,,,,,,,,,,,,,,"taunt_effect","end",,,
"SkaterGadgetProjectileTaunt",,20,,,,,"TRUE",,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,"TRUE",,,,,"TRUE",,,,,,,,,,,,,,,,,"taunt_effect","end",,,
"MeepleSuperArea",,10,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,"TRUE",100,0,100,,,,,,
"Invulnerable",,9999999,,,,,,10,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,"Spawn_Shield","end",,,
"Mbuff",,9999,,,,,,20,,,,,,,,30,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",200,0,200,,,"end",,,
"MorningstarSuperRoot",,20,,,,,,,,,"TRUE",,,,,,,,100,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,"lumi_def_ulti_explosion_03_restriction","end",,,
"MorningstarRecallSlow",,40,,,,,,,,,"TRUE",,,,,,,,30,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,"slowed","end",,,
"GusOverchargedHelingProjectile",,10,,,,,,20,"TRUE","TRUE",,,,,340,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,0,0,0,,,"end",,,
"ChronomancerTimebendSpeedReduce",,2,,,,,,,"TRUE",,"TRUE",,,,,,,,70,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,"finx_def_ulti_prj_buff_slow","remove",,,
"ChronomancerTimebendSpeedBoost",,100,,,,,,,"TRUE",,"TRUE",,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"finx_def_ulti_prj_buff_fast","end",,,
"ChronomancerTimebendBoostSelf",,100,,,,,,,"TRUE",,"TRUE",,,,,,30,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"finx_def_ulti_prj_buff_fast","end",,,
"ChronomancerGadgetProjectileStasis",,40,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,"TRUE",,,,"TRUE",,,,,,,,,,,,,,,,,"finx_def_gadget2_twinkle","end",,,
"CleanseInfiniteNoVFX",,9999999,,,,,,,,,"TRUE",,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
