"Name","BehaviorType","EquipType","CanMoveAtSameTime","Targeted","AutoAttackType","AttackFacing","Cooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","OverchargedChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","MeleeAttackPiercesEnvironment","Projectile","OverchargedProjectile","OverchargedChainProjectile","SummonedCharacter","OverchargedSummonedCharacter","AreaEffectObject","AreaEffectObject2","AreaEffect2AtEndOfCharge","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollowType","SpawnedItem","OverchargedSpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","SecondaryProjectile","ThirdProjectile","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","HealSelfOnActivationType","HealSelfOnActivationPower","LowHealthSpeedupPercent","ActivationSelfStatusEffect","ActivationSelfStatusEffectOvercharged","InterruptType","TID","Desc","CustomString","CustomString2","CustomValue","CustomValue2"
"TrickshotDudeUlti","Attack","ulti","true","true","","","50","1250","","40","","","","","","","","360","","100","20","1","1","","true","","","","","","","","","","","","TrickshotDudeUltiProjectile","TrickshotDudeUltiOverchargedProjectile","","","","","","","","","","","","","","","","rico_def_ulti","rico_008_hc_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusWeapon","Attack","weapon","true","true","","","250","150","","23","","","","","","2000","3","540","","100","","","1","","true","","","","","","","","","","","","CactusProjectile","","","","","","","","","","","","","","","","","cactus_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"CactusUlti","Attack","ulti","true","true","","","250","150","","23","","","","","","","","400","","100","0","","1","","true","","","","","","","","","","","","CactusUltiProjectile","CactusOverchargedUltiProjectile","","","","","","","","","","","","","","","","cactus_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepWeapon","Attack","weapon","true","true","","","250","150","","22","","","","","","2000","3","800","","100","0","","1","","true","","","","","","","","","","","","BarkeepProjectile","","","","","","","","","","","","","","","","","barkeep_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BarkeepUlti","Attack","ulti","true","true","","","250","1050","","28","","","","","","","","800","","200","75","9","1","","true","","","","","","","","","","","","BarkeepUltiProjectile","BarkeepOverchargedUltiProjectile","","","","","","","","","","","","","","","","barkeep_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicWeapon","Attack","weapon","true","true","","","250","150","","27","","","","","","1800","3","1060","","100","0","","1","","true","","","","","","","","","","","","MechanicProjectile1","","","","","","","","","","","","","","","","","mechanic_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"MechanicUlti","Attack","ulti","true","true","","","50","250","","15","","","","","1","","","","","200","","","1","","true","","","","","","1","1","","","","","MechanicUltiProjectile","MechanicOverchargedUltiProjectile","","MechanicTurret","","","","","","","","","","","","","","mechanic_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanWeapon","Attack","weapon","true","true","","","250","150","","18","","","","","","1100","3","960","","100","0","","1","","true","","","","","","","","","","","","ShamanProjectile","","","","","","","","","","","","","","","","","shaman_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"ShamanUlti","Attack","ulti","true","true","","","50","250","","15","","","","","1","","","","","200","","","1","","true","","","","","","1","1","","","","","ShamanUltiProjectile","ShamanOverChargedUltiProjectile","","ShamanPet","","","","","","","","","","","","","","shaman_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeWeapon","Attack","weapon","true","true","","","250","150","","22","","","","","","1600","3","800","","100","30","","2","","true","","","","","","","","","","","","TntDudeProjectile","","","","","","","","","","","","","","","","","tnt_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"TntDudeUlti","Attack","ulti","true","true","","","250","150","","22","","","","","","","","2200","","100","0","","1","","true","","","","","","","","","","","","TntDudeUltiProjectile","TntDudeOverchargedUltiProjectile","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorWeapon","Attack","weapon","true","true","","","50","650","","9","","","","","","800","3","380","","150","0","","1","true","true","","","","","","","","","","","","PrimoDefProjectile","","","","","","","","","","","","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"LuchadorUlti","Charge","ulti","","true","","","50","","","27","","","","","","","","960","","","","","","","","","130","-100","1600","3","","","","","","","","","","","","","","","","","","","","","","","","","","luchador_ulti","luchador_overcharged_ulti","luchador_ulti_ground_hit","luchador_overcharged_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerWeapon","Charge","weapon","","true","","","0","","","8","","","","","","2400","3","1000","","","","","","","","","","","2700","4","","","","","true","","","","","","","","","","","","","","","","","","","","","mortis_def_atk","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"UndertakerUlti","Attack","ulti","true","true","","","0","200","","30","","","","","","","","900","","150","","","1","","true","","","","","","","","","","","","UndertakerUltiProjectile","UndertakerOverchargedUltiProjectile","","","","","","","","","","","","","","","","undertaker_attack_ulti","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowWeapon","Attack","weapon","true","true","","","250","150","","26","","","","","","1400","3","320","","100","45","","3","","true","","","","","","","","","","","","CrowProjectile","","","","","","","","","","","","","","","","","crow_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"CrowUlti","Charge","ulti","","true","","","50","","","26","","","","","","","","320","","","","","","","","","0","","3000","2","","","","","","","","","","","","CrowUltiKnifes","","","CrowOverchargedUltiKnifes","","","","","","","","","","","crow_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiWeapon","Attack","weapon","true","true","","","250","150","","21","","","","","","1600","3","760","","100","130","","4","","true","","","","","","","","","","","","DeadMariachiProjectile","","","","","","","","","","","","","","","","","poco_def_atk_direct","","poco_def_atk_root","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"DeadMariachiUlti","Attack","ulti","true","true","","","250","150","","28","","","","","","","","2100","","100","130","","3","","true","","","","","","","","","","","","DeadMariachiUltiProjectile","DeadMariachiOverchargedUltiProjectile","","","","","","","","","","","","","","","","poco_def_atk_direct","poco_def_oc_muzzle","poco_def_ulti_root","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BowDudeWeapon","Attack","weapon","true","true","","","50","650","","26","","","","","","1700","3","640","","200","30","2","1","","true","","","","","","","","","","","","BowDudeProjectile","","","","","","","","","","","","","","","","","bow_dude_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BowDudeUlti","Attack","ulti","true","true","","","50","250","","26","","","","","1","","","1440","","200","","","1","","true","","","","","","1","1","","","","","BowDudeSpawnMineProjectile","BowDudeSpawnOverchargedMineProjectile","","","","","","","","","","BoxOfMines","BoxOfOverchargedMines","","","","","bo_def_ulti_attack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SniperWeapon","Attack","weapon","true","true","","","500","150","","30","","","","","","2300","3","1700","","100","","","1","","true","","","","","","","","","","","","SniperProjectile","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"SniperUlti","Charge","ulti","","true","","","50","","","26","","","","","","","","900","","","","","","","","","0","","1500","6","1","1","","","","","","","","","","","","","","","","BoxOfBombs","OverchargedBoxOfBombs","","","","","","","sniper_ulti","","piper_def_ulti_end","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeWeapon","Attack","weapon","true","true","","","50","950","","27","","","","","","1300","3","260","","100","60","3","1","","true","","","","","","","","","","","","MinigunDudeProjectile","","","","","","","","","","","","","","","","","pam_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"MinigunDudeUlti","Attack","ulti","true","true","","","50","250","","15","","","","","1","","","","","200","","","1","","true","","","","","","1","1","","","","","MinigunDudeUltiProjectile","MinigunDudeOverchargedUltiProjectile","","HealingStation","OverchargedHealingStation","","","","","","","","","","","","","minigun_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleWeapon","Attack","weapon","true","true","","","250","150","","24","","","","","","2000","3","480","","100","50","","3","","true","","","","","","","","","","","","BlackHoleProjectile","","","","","","","","","","","","","","","","","tara_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BlackHoleUlti","Attack","ulti","true","true","","","250","150","","20","","","","","","","","800","","100","0","","1","","true","","","","","","","","","","","","BlackHoleUltiProjectile","BlackHoleOverchargedUltiProjectile","","","","","","","","","","","","","","","","blackhole_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelBotWeapon","Attack","weapon","true","true","","","50","550","","18","","","","","","1800","3","240","","250","80","","5","true","true","","","","","","","","","","","","BarrelBotProjectile","BarrelBotOverchargedProjectile","","","","","","","","","","","","","","","","darryl_def_atk","darryl_def_oc_atk_fire","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BarrelBotUlti","Charge","ulti","","true","","","50","","","21","","","","","","","","400","","","","","","","","","70","","2400","7","","","","","true","","","","","","","","","","BarrelBotOverchargeChargeArea","","follow","","","","","","","","","barrel_bot_ulti","","","","barrel_bot_ulti_loop","","","","Barrelbot_step","","","","","","","","","","","","","","","","","BarrelbotShield","BarrelbotShieldOvercharged","","","","","","",""
"ArtilleryDudeWeapon","Attack","weapon","true","true","","","250","150","","26","","","","","","2000","3","980","","100","0","","1","","true","","","","","","","","","","","","ArtilleryDudeProjectile","","","","","","","","","","","","","","","","","penny_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"ArtilleryDudeUlti","Attack","ulti","true","true","","","50","250","","15","","","","","1","","","","","200","","","1","","true","","","","","","1","1","","","","","ArtilleryDudeUltiProjectile","ArtilleryDudeOverchargedUltiProjectile","","ArtilleryDudeTurret","","","","","","","","","","","","","","artillery_dude_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForLaserBall","Attack","utility","true","true","3","","250","150","","24","","","","","","","","","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBall","","","","","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForLaserBall","Attack","utility","true","true","3","","250","150","","36","","","","","","","","","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBall","","","","","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForLaserBallBurning","Attack","utility","true","true","3","","250","150","","24","","","","","","","","","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBallBurning","","","","","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForLaserBallBurning","Attack","utility","true","true","3","","250","150","","36","","","","","","","","","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBallBurning","","","","","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRapidFire","Attack","weapon","","true","3","","50","1850","1250","40","","","","","","1250","3","900","","300","90","3","1","","true","","","","","","","","","","","","BossProjectile","","","","","","","","","","","","","","","","","minion_missile_atk","","minion_warning_long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossCharge","Charge","ulti","","true","3","","50","","1000","33","","","","","","","","1400","","","","","","","","","130","","1800","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","minion_rush","","","","Rhinostep","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeWeapon","Attack","weapon","","true","","","50","700","","18","","","","","","800","3","1160","","600","130","","4","","","","","","","","","","","","","","HammerDudeProjectile","","","","","","","","","","","","","","","","","hammer_dude_attack","","hammer_dude_start_attack","","","","","","","","","","","","","","","","","","","","","true","","","60","","","","","","","","",""
"HammerDudeUlti","Attack","ulti","","true","","","50","1200","","21","","","","","","","","1240","","1100","130","","4","","","","","","","","","","","","","","HammerDudeUltiProjectile","HammerDudeOverchargedUltiProjectile","","","","","","","","","","","","","","","","hammer_dude_ulti","frank_def_oc_ulti","hammer_dude_start_ulti","frank_def_oc_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookWeapon","Attack","weapon","true","true","","","250","150","","17","","","","","","2000","3","1000","","100","0","","1","","true","","","","","","","","","","","","HookProjectile","","","","","","","","","","","","","","","","","gene_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"HookUlti","Attack","ulti","true","true","","","250","150","","23","","","","","","","","","","100","","","1","","true","","","","","","","","","","","","HookUltiProjectile","HookUltiOverchargedProjectile","","","","","","","","","","","","","","","","gene_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDudeWeapon","Attack","weapon","true","true","","","250","150","","26","","","","","","2400","3","640","","100","0","","1","","true","","","","","","","","","","","","ClusterBombProjectile","","","","","","","","","","","","","","","","","tick_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"ClusterBombDudeUlti","Attack","ulti","true","true","","","50","250","","10","","","","","1","","","","","200","","","1","","true","","","","","","1","1","","","","","ClusterBombSummonProjectile","ClusterBombOverchargedSummonProjectile","","ClusterBombPet","","","","","","","","","","","","","","tick_attack_ulti","","tick_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BoneThrowerWeapon","Attack","weapon","true","true","","","250","150","","27","","","","","","2000","3","","","100","0","","1","","true","","","","","","","","","","","","BoneThrowerProjectile","","","","","","","","","","","","","","","","","bonethrower_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BoneThrowerUlti","Attack","ulti","true","true","","","250","150","","27","","","","","","","","100","","500","","","1","","true","","","","","","","","","","","","BoneThrowerUltiProjectile","","","","","","","","","","","","","","","","","bonethrower_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NinjaWeapon","Attack","weapon","true","true","","","50","450","","29","","","","","","1900","3","480","","100","35","2","1","true","true","","","","","","","","","","","","LeonDefProjectile","","","","","","","","","","","","","","","","","ninja_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"NinjaUlti","Invisibility","ulti","true","","","","50","6000","","","","","","","","","","","","","","","","","","","","","","","","","true","1200","","","","","","","","","","","","","","","","","","","","","","ninja_go_invisible","ninja_go_invisible_overcharged","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"RosaWeapon","Attack","weapon","true","true","","","50","800","","11","","","","","","1000","3","460","","250","130","","3","true","true","","","","","","","","","","","","RosaProjectile","","","","","","","","","","","","","","","","","rosa_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"RosaUlti","Shield","ulti","true","","","","50","3000","","","","","","","","","","","","70","","","","","","","","","","","","","","","","","","","","","","","","","RosaOverchargedUltiArea","","","","","","","","","","","rosa_def_ulti","rosa_def_overcharge_use","","","rosa_def_ulti_loop","","rosa_def_overcharge_loop","","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"SandstormUlti","Attack","ulti","true","true","","","250","150","","22","","","","","","","","","","100","0","","1","","true","","","","","","","","","","","","SandstormUltiProjectile","SandstormOverchargedUltiProjectile","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WhirlwindWeapon","Attack","weapon","true","true","","","500","150","","25","","","","","","2000","1","740","","100","0","","1","","true","","","","","","","","","","","","WhirlwindProjectile","","","","","","","","","","","","","","","","","whirlwind_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"WhirlwindUlti","Ww","ulti","true","","","","50","3000","","7","","","","","","","","500","","600","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","carl_def_ulti_loop","carl_def_ulti_ground","carl_def_oc_ulti_loop","carl_def_oc_ulti_ground","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"BaseballWeapon","Attack","weapon","true","true","","","50","700","","11","","","","","","800","3","1400","","600","300","","1","","","","200","","2000","","","","","","","","","","","","","","","","","","","","","","","","","bibi_def_atk","","bibi_swing","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BaseballUlti","Attack","ulti","true","true","","","50","150","","120","","","","","","","","900","","100","","","","","true","","","","","","","","","","","","BaseballUltiProjectile","BaseballOverchargedUltiProjectile","","","","","","","","","","","","","","","","bibi_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeWeapon","Attack","weapon","true","true","","","50","650","","30","","","","","","1500","3","320","","100","18","3","1","","true","","","","","","","","","","","","ArcadeProjectile","","","","","","","","","","","","","","","","","arcade_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"ArcadeUlti","Attack","ulti","true","true","","","50","250","","15","","","","","1","","","","","200","","","1","","true","","","","","","1","1","","","","","ArcadeUltiProjectile","ArcadeUltiOverchargedProjectile","","DamageBooster","DamageBoosterOvercharge","","","","","","","","","","","","","","","arcade_def_ulti_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SandstormWeapon","Attack","weapon","true","true","","","250","150","","18","","","","","","1800","3","900","","100","80","4","3","","true","","","","","","","","","","","","SandstormProjectile","","","","","","","","","","","","","","","","","poco_def_atk_direct","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"BeeSniperWeapon","Attack","weapon","true","true","","","50","150","","30","","","","","","900","1","800","","100","","","1","","true","","","","","","","","","","","","BeeSniperProjectile","","","","","","","","","","","","","","","","","bea_def_atk","","","","","","","","","","","","","","","","","","BeeSniperChargedProjectile","","1","275","","true","","","","","","","","","","","",""
"BeeSniperUlti","Attack","ulti","true","true","","","50","150","","27","","","","","","","","100","","100","30","","7","","true","","","","","","","","","","","","BeeSniperUltiProjectile","BeaOverchargedUltiProjectile","","","","","","","","","","","","","","","","tick_def_atk","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MummyWeapon","Attack","weapon","true","true","","","250","150","","20","","","","","","2000","3","520","","100","80","5","5","","true","","","","","","","","","","","","MummyProjectile","","","","","","","","","","","","","","","","","emz_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"MummyUlti","AreaBuff","ulti","true","","","","50","5000","","","","","","","","","","240","","70","","","","","","","","","","","","","","","","","","","","","","MummyUltiArea","","","MummyOverchargedUltiArea","MummyOverchargedUltiAreaPushBack","follow","","","","","","","","","emz_def_ulti_use","","","","Dummy_effect","","","","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"SpawnerDudeUlti","Attack","ulti","true","true","","","50","250","","15","","","","","1","","","","","200","","","1","","true","","","","","","1","1","","","","","SpawnerDudeUltiProjectile","SpawnerDudeOverchargedUltiProjectile","","SpawnerDudeTurret","OverchargedSpawnerDudeTurret","","","","","","","","","","","","","","mrp_def_oc_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpawnerDudeWeapon","Attack","weapon","true","true","","","250","150","","21","","","","","","1600","3","760","","100","","","1","","true","","","","","","","","","","","","SpawnerDudeProjectile","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"SpeedyWeapon","Attack","weapon","true","true","","","50","450","","25","","","","","","1300","4","320","","100","30","6","1","","true","","","","","","","","","","","","SpeedyProjectile","","","","","","","","","","","","","","","","","colt_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"SpeedyUlti","AreaBuff","ulti","true","","","","50","4000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SpeedyUltiArea","","","SpeedyUltiOverchargedArea","","follow","","","","","","","","","","","","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0e9d34ed18eca9b03d3f31595b82f20876a5316d","Attack","weapon","true","true","","","250","150","","23","","","","","","1500","3","300","","100","60","","5","","true","","","","","","","","","","","","ShotgunGirlProjectile","","","","","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"77db00da316a2f4fe624c33fa1fbaeb6a63966a2","Attack","weapon","true","true","","","250","150","","23","","","","","","1500","3","300","","100","60","","5","","true","","","","","","","","","","","","ShotgunGirlProjectile","","","","","","","","","","","","","","","","","shelly_def_atk","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"DummySkillForCTF","Attack","utility","true","true","3","","250","150","","13","","200","","","","","","","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForCTF","","","","","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForCTF","Attack","utility","true","true","3","","250","150","","20","","300","","","","","","","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForCTF","","","","","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerWeapon","Attack","weapon","true","","","1","250","150","","10","","","","","","1800","3","","","1000","","","","","","","","","","","","","","","","","","","","","","DrillerDamageArea","","","","","follow","","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","",""
"DrillerUlti","Attack","ulti","true","","","1","250","500","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","DrillerUltiArea","","","DrillerOverchargedUltiArea","","follow","","","","","","","","","driller_def_ulti_use","driller_def_overcharge_use","","","Dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
