"Name","BillingPackages","Tiers"
"16.99USD","com.supercell.laser.bundle1699",100
,"com.supercell.laser.bundle999",60
,"com.supercell.laser.bundle849",50
"17.99USD","com.supercell.laser.bundle1799",100
,"com.supercell.laser.bundle999",60
,"com.supercell.laser.bundle899",50
"18.99USD","com.supercell.laser.bundle1899",100
,"com.supercell.laser.bundle1099",60
,"com.supercell.laser.bundle949",50
"19.99USD","com.supercell.laser.bundle1999",100
,"com.supercell.laser.bundle1199",60
,"com.supercell.laser.bundle999",50
"20.99USD","com.supercell.laser.bundle2099",100
,"com.supercell.laser.bundle1199",60
,"com.supercell.laser.bundle999",50
"21.99USD","com.supercell.laser.bundle2199",100
,"com.supercell.laser.bundle1299",60
,"com.supercell.laser.bundle1099",50
"22.99USD","com.supercell.laser.bundle2299",100
,"com.supercell.laser.bundle1299",60
,"com.supercell.laser.bundle1099",50
"23.99USD","com.supercell.laser.bundle2399",100
,"com.supercell.laser.bundle1399",60
,"com.supercell.laser.bundle1199",50
"24.99USD","com.supercell.laser.bundle2499",100
,"com.supercell.laser.bundle1499",60
,"com.supercell.laser.bundle1199",50
"25.99USD","com.supercell.laser.bundle2599",100
,"com.supercell.laser.bundle1499",60
,"com.supercell.laser.bundle1299",50
"26.99USD","com.supercell.laser.bundle2699",100
,"com.supercell.laser.bundle1599",60
,"com.supercell.laser.bundle1299",50
"27.99USD","com.supercell.laser.bundle2799",100
,"com.supercell.laser.bundle1599",60
,"com.supercell.laser.bundle1399",50
"28.99USD","com.supercell.laser.bundle2899",100
,"com.supercell.laser.bundle1699",60
,"com.supercell.laser.bundle1399",50
"29.99USD","com.supercell.laser.bundle2999",100
,"com.supercell.laser.bundle1799",60
,"com.supercell.laser.bundle1499",50
"30.99USD","com.supercell.laser.bundle3099",100
,"com.supercell.laser.bundle1799",60
,"com.supercell.laser.bundle1499",50
"31.99USD","com.supercell.laser.bundle3199",100
,"com.supercell.laser.bundle1899",60
,"com.supercell.laser.bundle1599",50
"32.99USD","com.supercell.laser.bundle3299",100
,"com.supercell.laser.bundle1899",60
,"com.supercell.laser.bundle1599",50
"33.99USD","com.supercell.laser.bundle3399",100
,"com.supercell.laser.bundle1999",60
,"com.supercell.laser.bundle1699",50
"34.99USD","com.supercell.laser.bundle3499",100
,"com.supercell.laser.bundle2099",60
,"com.supercell.laser.bundle1699",50
"35.99USD","com.supercell.laser.bundle3599",100
,"com.supercell.laser.bundle2099",60
,"com.supercell.laser.bundle1799",50
"36.99USD","com.supercell.laser.bundle3699",100
,"com.supercell.laser.bundle2199",60
,"com.supercell.laser.bundle1799",50
"37.99USD","com.supercell.laser.bundle3799",100
,"com.supercell.laser.bundle2199",60
,"com.supercell.laser.bundle1899",50
"38.99USD","com.supercell.laser.bundle3899",100
,"com.supercell.laser.bundle2299",60
,"com.supercell.laser.bundle1899",50
"39.99USD","com.supercell.laser.bundle3999",100
,"com.supercell.laser.bundle2399",60
,"com.supercell.laser.bundle1999",50
"40.99USD","com.supercell.laser.bundle4099",100
,"com.supercell.laser.bundle2399",60
,"com.supercell.laser.bundle1999",50
"41.99USD","com.supercell.laser.bundle4199",100
,"com.supercell.laser.bundle2499",60
,"com.supercell.laser.bundle2099",50
"42.99USD","com.supercell.laser.bundle4299",100
,"com.supercell.laser.bundle2499",60
,"com.supercell.laser.bundle2099",50
"43.99USD","com.supercell.laser.bundle4399",100
,"com.supercell.laser.bundle2599",60
,"com.supercell.laser.bundle2199",50
"44.99USD","com.supercell.laser.bundle4499",100
,"com.supercell.laser.bundle2699",60
,"com.supercell.laser.bundle2199",50
"45.99USD","com.supercell.laser.bundle4599",100
,"com.supercell.laser.bundle2699",60
,"com.supercell.laser.bundle2299",50
"46.99USD","com.supercell.laser.bundle4699",100
,"com.supercell.laser.bundle2799",60
,"com.supercell.laser.bundle2299",50
"47.99USD","com.supercell.laser.bundle4799",100
,"com.supercell.laser.bundle2799",60
,"com.supercell.laser.bundle2399",50
"48.99USD","com.supercell.laser.bundle4899",100
,"com.supercell.laser.bundle2899",60
,"com.supercell.laser.bundle2399",50
"49.99USD","com.supercell.laser.bundle4999",100
,"com.supercell.laser.bundle2999",60
,"com.supercell.laser.bundle2499",50
"52.99USD","com.supercell.laser.bundle5299",100
,"com.supercell.laser.bundle3099",60
,"com.supercell.laser.bundle2599",50
"54.99USD","com.supercell.laser.bundle5499",100
,"com.supercell.laser.bundle3299",60
,"com.supercell.laser.bundle2699",50
"57.99USD","com.supercell.laser.bundle5799",100
,"com.supercell.laser.bundle3399",60
,"com.supercell.laser.bundle2899",50
"59.99USD","com.supercell.laser.bundle5999",100
,"com.supercell.laser.bundle3599",60
,"com.supercell.laser.bundle2999",50
"62.99USD","com.supercell.laser.bundle6299",100
,"com.supercell.laser.bundle3699",60
,"com.supercell.laser.bundle3099",50
"64.99USD","com.supercell.laser.bundle6499",100
,"com.supercell.laser.bundle3899",60
,"com.supercell.laser.bundle3199",50
"67.99USD","com.supercell.laser.bundle6799",100
,"com.supercell.laser.bundle3999",60
,"com.supercell.laser.bundle3399",50
"69.99USD","com.supercell.laser.bundle6999",100
,"com.supercell.laser.bundle4199",60
,"com.supercell.laser.bundle3499",50
"72.99USD","com.supercell.laser.bundle7299",100
,"com.supercell.laser.bundle4299",60
,"com.supercell.laser.bundle3599",50
"74.99USD","com.supercell.laser.bundle7499",100
,"com.supercell.laser.bundle4499",60
,"com.supercell.laser.bundle3699",50
"77.99USD","com.supercell.laser.bundle7799",100
,"com.supercell.laser.bundle4599",60
,"com.supercell.laser.bundle3899",50
"79.99USD","com.supercell.laser.bundle7999",100
,"com.supercell.laser.bundle4799",60
,"com.supercell.laser.bundle3999",50
"82.99USD","com.supercell.laser.bundle8299",100
,"com.supercell.laser.bundle4899",60
,"com.supercell.laser.bundle4099",50
"84.99USD","com.supercell.laser.bundle8499",100
,"com.supercell.laser.bundle4999",60
,"com.supercell.laser.bundle4199",50
"87.99USD","com.supercell.laser.bundle8799",100
,"com.supercell.laser.bundle4999",60
,"com.supercell.laser.bundle4399",50
"89.99USD","com.supercell.laser.bundle8999",100
,"com.supercell.laser.bundle5299",60
,"com.supercell.laser.bundle4499",50
"92.99USD","com.supercell.laser.bundle9299",100
,"com.supercell.laser.bundle5499",60
,"com.supercell.laser.bundle4599",50
"94.99USD","com.supercell.laser.bundle9499",100
,"com.supercell.laser.bundle5499",60
,"com.supercell.laser.bundle4699",50
"97.99USD","com.supercell.laser.bundle9799",100
,"com.supercell.laser.bundle5799",60
,"com.supercell.laser.bundle4899",50
"99.99USD","com.supercell.laser.bundle9999",100
,"com.supercell.laser.bundle5999",60
,"com.supercell.laser.bundle4999",50
"104.99USD","com.supercell.laser.bundle10499",100
,"com.supercell.laser.bundle6299",60
,"com.supercell.laser.bundle4999",50
"109.99USD","com.supercell.laser.bundle10999",100
,"com.supercell.laser.bundle6499",60
,"com.supercell.laser.bundle5499",50
"114.99USD","com.supercell.laser.bundle11499",100
,"com.supercell.laser.bundle6799",60
,"com.supercell.laser.bundle5499",50
"119.99USD","com.supercell.laser.bundle11999",100
,"com.supercell.laser.bundle6999",60
,"com.supercell.laser.bundle5999",50
"124.99USD","com.supercell.laser.bundle12499",100
,"com.supercell.laser.bundle7499",60
,"com.supercell.laser.bundle5999",50
"129.99USD","com.supercell.laser.bundle12999",100
,"com.supercell.laser.bundle7799",60
,"com.supercell.laser.bundle6499",50
"134.99USD","com.supercell.laser.bundle13499",100
,"com.supercell.laser.bundle7999",60
,"com.supercell.laser.bundle6499",50
"139.99USD","com.supercell.laser.bundle13999",100
,"com.supercell.laser.bundle8299",60
,"com.supercell.laser.bundle6999",50
"144.99USD","com.supercell.laser.bundle14499",100
,"com.supercell.laser.bundle8499",60
,"com.supercell.laser.bundle6999",50
"149.99USD","com.supercell.laser.bundle14999",100
,"com.supercell.laser.bundle8999",60
,"com.supercell.laser.bundle7499",50
"159.99USD","com.supercell.laser.bundle15999",100
,"com.supercell.laser.bundle9499",60
,"com.supercell.laser.bundle7999",50
"169.99USD","com.supercell.laser.bundle16999",100
,"com.supercell.laser.bundle9999",60
,"com.supercell.laser.bundle8499",50
"179.99USD","com.supercell.laser.bundle17999",100
,"com.supercell.laser.bundle10499",60
,"com.supercell.laser.bundle8999",50
"189.99USD","com.supercell.laser.bundle18999",100
,"com.supercell.laser.bundle10999",60
,"com.supercell.laser.bundle9499",50
"199.99USD","com.supercell.laser.bundle19999",100
,"com.supercell.laser.bundle11999",60
,"com.supercell.laser.bundle9999",50
"GemPack_30_2USD","com.supercell.laser.gempack0",100
,"com.supercell.laser.gempack0.t60",60
,"com.supercell.laser.gempack0.t50",50
"GemPack_80_5USD","com.supercell.laser.gempack1",100
,"com.supercell.laser.gempack1.t60",60
,"com.supercell.laser.gempack1.t50",50
"GemPack_170_10USD","com.supercell.laser.gempack2",100
,"com.supercell.laser.gempack2.t60",60
,"com.supercell.laser.gempack2.t50",50
"GemPack_360_20USD","com.supercell.laser.gempack3",100
,"com.supercell.laser.gempack3.t60",60
,"com.supercell.laser.gempack3.t50",50
"GemPack_950_50USD","com.supercell.laser.gempack4",100
,"com.supercell.laser.gempack4.t60",60
,"com.supercell.laser.gempack4.t50",50
"GemPack_2000_100USD","com.supercell.laser.gempack5",100
,"com.supercell.laser.gempack5.t60",60
,"com.supercell.laser.gempack5.t50",50
"BrawlPassBasic","com.supercell.laser.seasonpass.basic",100
,"com.supercell.laser.seasonpass.basic.t60",60
,"com.supercell.laser.seasonpass.basic.t50",50
"BrawlPassBasicDiscounted","com.supercell.laser.seasonpass.basic.discounted",100
,"com.supercell.laser.seasonpass.basic.discounted.t60",60
,"com.supercell.laser.seasonpass.basic.discounted.t50",50
"BrawlPassPlus","com.supercell.laser.seasonpass.plus",100
,"com.supercell.laser.seasonpass.plus.t60",60
,"com.supercell.laser.seasonpass.plus.t50",50
"BrawlPassUpgrade","com.supercell.laser.seasonpass.upgrade",100
,"com.supercell.laser.seasonpass.upgrade.t60",60
,"com.supercell.laser.seasonpass.upgrade.t50",50
"CompetitivePass","com.supercell.laser.competitivepass",100
,"com.supercell.laser.competitivepass.t60",60
,"com.supercell.laser.competitivepass.t50",50
