"Name","Variation","Disabled","ShortName","TID","ChatSuggestionItemName","GameModeRoomIconName","GameModeIconName","BannerOverrideSWF","BannerOverrideExportName","SquareBannerOverrideSWF","SquareBannerOverrideExportName","ScoreSfx","OpponentScoreSfx","ScoreText","ScoreOpponentText","ScoreTextEnd","ScoreOpponentTextEnd","FriendlyMenuOrder","IntroText","IntroDescText","IntroDescText2","StartNotification","EndNotification","Color","FallbackPlayerMapEnvironment"
"DuoShowdown",9,,"Duo SD","TID_GAME_MODE_9","chat_letsplay_teamsurvival","event_gameroom_teamsurvival","event_icon_teamsurvival",,,,,,,,,,,,"TID_GAME_MODE_9","TID_BATTLE_ROYALE_TEAM_INTRO_TEXT",,,,"0xff91e136","DefaultEnvironment"
"BossFight",10,,"BossF","TID_GAME_MODE_10","chat_letsplay_raid","event_gameroom_raid","event_icon_raid","sc/ui.sc","event_raid_banner","sc/events.sc","event_raid_banner_square",,,,,,,12,"TID_GAME_MODE_10","TID_RAID_BOSS_INTRO_TEXT",,"RaidBossStart",,"0xffff6847",
"Siege",11,,"Siege","TID_GAME_MODE_11","chat_letsplay_robowars","event_gameroom_robowars","event_icon_robowars","sc/events.sc","event_robowars_banner",,,,,,,,,7,"TID_GAME_MODE_11","TID_ROBO_WARS_INTRO_TEXT",,"RoboWarsStart",,"0xffff6847","ScrapyardEnvironment"
"Tutorial",12,,"Tutorial",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,,,
"Training",13,,"Training",,,,"event_icon_gemgrab",,,,,,,,,,,,,,,,,,
"Takedown",14,"TRUE","TakeD","TID_GAME_MODE_14","chat_letsplay_takedown","event_gameroom_takedown","event_icon_takedown","sc/events.sc","event_takedown_banner","sc/events.sc","event_takedown_banner_square",,,,,,,8,"TID_GAME_MODE_14","TID_BOSS_RACE_INTRO_TEXT",,"TakedownStart",,"0xff3891ff",
"LoneStar",15,"TRUE","LoneS","TID_GAME_MODE_15","chat_letsplay_lone_star","event_gameroom_lonestar","event_icon_lone_star","sc/events.sc","event_lone_star_banner","sc/events.sc","event_lone_star_banner_square",,,,,,,9,"TID_GAME_MODE_15","TID_BOUNTY_HUNTER_INTRO_TEXT",,"LoneStarStart",,"0xffe24e5a",
"CTF",16,,"PresentP","TID_GAME_MODE_16","chat_letsplay_trophy_thieves","event_gameroom_trophy_thieves","event_icon_trophy_thieves","sc/events.sc","event_trophythieves_banner","sc/events.sc","event_trophythieves_banner_square","Brawl_xmas_flag_win","Brawl_xmas_flag_lose","TID_CTF_GOAL","TID_CTF_GOAL","TID_CTF_GOAL_MATCH_OVER","TID_CTF_GOAL_MATCH_OVER",6,"TID_GAME_MODE_16","TID_CTF_INTRO_TEXT",,"CTFStart",,"0xff2ef3e0",
"KingOfHill",17,,"HotZone","TID_GAME_MODE_17","chat_letsplay_king_of_hill","event_gameroom_king_of_hill","event_icon_king_of_hill",,,,,,,,,,,13,"TID_GAME_MODE_17","TID_KING_OF_HILL_INTRO_TEXT",,"KOHStart",,"0xffff4343","ArcadeEnvironment"
"BossFight_TownCrush",18,,"Rampage","TID_GAME_MODE_18","chat_letsplay_rampage","event_gameroom_rampage","event_icon_rampage","sc/ui.sc","event_rampage_banner","sc/events.sc","event_rampage_banner_square",,,,,,,14,"TID_GAME_MODE_18","TID_RAID_BOSS_INTRO_TEXT",,"TownCrusherStart",,"0xffff6847",
"ProtectKing",19,"TRUE","ProtectKing","TID_GAME_MODE_19","chat_letsplay_heist","event_gameroom_heist","event_icon_heist",,,,,,,,,,,3,"TID_GAME_MODE_19","TID_PROTECT_KING_INTRO_TEXT",,"AttackDefendStart",,"0xffd852ff",
"Knockout",20,,"Knockout","TID_GAME_MODE_20","chat_letsplay_knockout","event_gameroom_knockout","event_icon_knockout",,,,,,,,,,,15,"TID_GAME_MODE_20","TID_KNOCKOUT_INTRO_TEXT",,"KnockoutStart",,"0xfffd9b0e",
"HoldTheBall",21,,"HoldTheBall","TID_GAME_MODE_21","chat_letsplay_holdthetrophy","event_gameroom_holdthetrophy","event_icon_holdthetrophy","sc/events.sc","event_holdthetrophy_banner","sc/events.sc","event_holdthetrophy_banner_square",,,,,,,16,"TID_GAME_MODE_21","TID_HOLD_THE_BALL_INTRO_TEXT",,"KnockoutStart",,"0xfffd9b0e",
"BasketBrawl",22,,"BasketBrawl","TID_GAME_MODE_22","chat_letsplay_basketbrawl","event_gameroom_basketbrawl","event_icon_basketbrawl","sc/events.sc","event_basketbrawl_banner","sc/events.sc","event_basketbrawl_banner_square","Basketbrawl_goal","Basketbrawl_other_goal","TID_HOOP_GOAL","TID_HOOP_GOAL","TID_HOOP_GOAL_MATCH_OVER","TID_HOOP_GOAL_MATCH_OVER",17,"TID_GAME_MODE_22","TID_BASKET_BRAWL_INTRO_TEXT",,"KnockoutStart",,"0xff2fc4f9",
"VolleyBrawl",23,,"VolleyBrawl","TID_GAME_MODE_23","chat_letsplay_volleybrawl","event_gameroom_volleybrawl","event_icon_volleybrawl","sc/events.sc","event_volleybrawl_banner","sc/events.sc","event_volleybrawl_banner_square","Volleybrawl_goal","Volleybrawl_other_goal","TID_TEAM_GOAL","TID_OPPONENT_GOAL","TID_TEAM_GOAL_MATCH_OVER","TID_OPPONENT_GOAL_MATCH_OVER",18,"TID_GAME_MODE_23","TID_VOLLEY_BRAWL_INTRO_TEXT",,"KnockoutStart",,"0xffc2ed00",
