Name,ParentItemForSkin,Disabled,FileName,ExportName,ExportNameEnemy,ShadowExportName,GroundGlowExportName,LoopingEffect,AlignToTiles,Value,Value2,Lifetime,TriggerRangeSubTiles,TriggerAreaEffect,DestroyAreaEffect,CanBePickedUp,PickUpOnlyBySource,SpawnEffect,ActivateEffect,SCW,SCWEnemy,SCWTopLayer,UseGeneratedShadow,ShowAlways,RandomStartFrame,Layer
SpringBoardUp,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board.scw,sc3d/spring_board.scw,,TRUE,,,GroundTop
SpringBoardDown,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board.scw,sc3d/spring_board.scw,,TRUE,,,GroundTop
SpringBoardUpLeft,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal.scw,sc3d/spring_board_diagonal.scw,,TRUE,,,GroundTop
SpringBoardUpRight,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal.scw,sc3d/spring_board_diagonal.scw,,TRUE,,,GroundTop
SpringBoardDownLeft,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal.scw,sc3d/spring_board_diagonal.scw,,TRUE,,,GroundTop
SpringBoardDownRight,,,,,,,,,TRUE,600,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal.scw,sc3d/spring_board_diagonal.scw,,TRUE,,,GroundTop
TrainSpawner,,,,,,,,,,,,,,,,,,,,,,,,,,Above
ClusterMine,,,sc/effects_brawler.sc,tick_def_atk2,tick_def_atk2_red,shadow_normal_circle,,,,800,2000,,200,ClusterBombExplosion2,,TRUE,,,,,,,,TRUE,,Above
Tick002Mine,ClusterMine,,sc/effects_brawler.sc,tick_002_atk2,tick_002_atk2_red,shadow_normal_circle,,,,800,2000,,200,ClusterBombExplosion2,,TRUE,,,,,,,,TRUE,,Above
Tick003Mine,ClusterMine,,sc/effects_brawler.sc,tick_003_atk2,tick_003_atk2_red,shadow_normal_circle,,,,800,2000,,200,Tick003Explosion2,,TRUE,,,,,,,,TRUE,,Above
Tick004Mine,ClusterMine,,sc/effects_brawler.sc,tick_004_atk2,tick_004_atk2_red,,,,,800,2000,,200,Tick004Explosion2,,TRUE,,,,,,,,TRUE,2,Above
Tick005Mine,ClusterMine,,sc/effects_brawler.sc,tick_005_atk2,tick_005_atk2_red,shadow_normal_circle,,tick_005_atk2,,800,2000,,200,Tick005Explosion2,,TRUE,,,,,,,,TRUE,2,Above
MineMecha,Mine,,sc/effects_brawler.sc,bo_002_mine_blue,bo_002_mine_red,,,,,,,,,Bo_def_ulti2_area,,,,bo_def_ulti2_spawn,,,,,,,,Above
PiperdefBomb,Bomb,,sc/effects_brawler.sc,piper_def_ulti_projectile,piper_def_ulti_projectile_red,shadow_normal_circle_big,,,,,,,,Piper_def_ulti,,,,bo_def_ulti2_spawn,,,,,,,2,Above
Piper002Bomb,Bomb,,sc/effects_brawler.sc,piper_002_ulti_projectile,piper_002_ulti_projectile_red,shadow_normal_circle_big,,,,,,,,Bo_def_ulti2_area,,,,bo_def_ulti2_spawn,,,,,,,,Above
Piper003Bomb,Bomb,,sc/effects_brawler.sc,piper_003_ulti_projectile,piper_003_ulti_projectile_red,shadow_normal_circle_big,,,,,,,,Piper_003_ulti,,,,bo_def_ulti2_spawn,,,,,,,2,Above
Piper004Bomb,Bomb,,sc/effects_brawler.sc,piper_004_ulti_projectile,piper_004_ulti_projectile_red,shadow_normal_circle_big,,,,,,,,Piper_004_ulti,,,,bo_def_ulti2_spawn,,,,,,,2,Above
Piper005Bomb,Bomb,,sc/effects_brawler.sc,piper_005_ulti_projectile,piper_005_ulti_projectile_red,shadow_normal_circle_big,,,,,,,,Piper_005_ulti,,,,bo_def_ulti2_spawn,,,,,,,,Above
Piper006Bomb,Bomb,,sc/effects_brawler.sc,piper_006_ulti_projectile,piper_006_ulti_projectile_red,shadow_normal_circle_big,,,,,,,,Piper_006_ulti,,,,bo_def_ulti2_spawn,,,,,,,2,Above
Piper007Bomb,Bomb,,sc/effects_brawler.sc,piper_007_ulti_projectile,piper_007_ulti_projectile_red,shadow_normal_circle_big,,,,,,,,Piper_007_ulti,,,,bo_def_ulti2_spawn,,,,,,,,Above
MineHorus,Mine,,sc/effects_brawler.sc,bo_003_mine_blue,bo_003_mine_red,,,,,,,,,Bo_def_ulti2_area,,,,bo_def_ulti2_spawn,,,,,,,,Above
MineDemon,Mine,,sc/effects_brawler.sc,bo_004_mine_blue,bo_004_mine_red,,,,,,,,,Bo_def_ulti2_area,,,,bo_def_ulti2_spawn,,,,,,,2,Above
MineGift,Mine,,sc/effects_brawler.sc,bo_005_mine,bo_005_mine_red,,,,,,,,,Bo_005_ulti2_area,,,,bo_def_ulti2_spawn,,,,,,,2,Above
MineWasp,Mine,,sc/effects_brawler.sc,bo_006_mine_blue,bo_006_mine_red,,,,,,,,,Bo_006_ulti2_area,,,,bo_def_ulti2_spawn,,,,,,,2,Above
MineLotus,Mine,,sc/effects_brawler.sc,bo_007_mine,bo_007_mine_red,,,,,,,,,Bo_007_ulti2_area,,,,bo_def_ulti2_spawn,,,,,,,,Above
ScorePole,,,,,,,,,,,,,,,,,,Spawn_plasmoid,,sc3d/flagpole.scw,sc3d/flagpole.scw,,TRUE,,,Above
ScoreFlag,,,,,,,,,,,,,,,,,,Spawn_plasmoid,,sc3d/flag_blue.scw,sc3d/flag_red.scw,,TRUE,,,Above
ScoreFlagHoisted,,,,,,,,mode_koh_complete,,,,,,,,,,mode_koh_captured,,sc3d/flag_blue_hoisted.scw,sc3d/flag_red_hoisted.scw,,TRUE,,,Above
GroundFiller,,TRUE,,,,,,,,,,,3,,,TRUE,,,car_explo,sc3d/minicity_parked_cars.scw,sc3d/minicity_parked_cars.scw,,TRUE,,,GroundLow
SpringBoardLeft_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_gale.scw,sc3d/spring_board_gale.scw,,TRUE,,,GroundTop
SpringBoardRight_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_gale.scw,sc3d/spring_board_gale.scw,,TRUE,,,GroundTop
SpringBoardUp_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_gale.scw,sc3d/spring_board_gale.scw,,TRUE,,,GroundTop
SpringBoardDown_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_gale.scw,sc3d/spring_board_gale.scw,,TRUE,,,GroundTop
SpringBoardUpLeft_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal_gale.scw,sc3d/spring_board_diagonal_gale.scw,,TRUE,,,GroundTop
SpringBoardUpRight_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal_gale.scw,sc3d/spring_board_diagonal_gale.scw,,TRUE,,,GroundTop
SpringBoardDownLeft_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal_gale.scw,sc3d/spring_board_diagonal_gale.scw,,TRUE,,,GroundTop
SpringBoardDownRight_Gale,,,,,,,,,,300,,,3,,,,,Spawn_plasmoid,,sc3d/spring_board_diagonal_gale.scw,sc3d/spring_board_diagonal_gale.scw,,TRUE,,,GroundTop
Teleport1,,,,,,,,,,1,,,3,,,,,Spawn_plasmoid,,sc3d/teleport_tile.scw,sc3d/teleport_tile.scw,sc3d/teleport_effect.scw,TRUE,,,GroundTop
Teleport2,,,,,,,,,,2,,,3,,,,,Spawn_plasmoid,,sc3d/teleport_tile_2.scw,sc3d/teleport_tile_2.scw,sc3d/teleport_effect_2.scw,TRUE,,,GroundTop
Teleport3,,,,,,,,,,3,,,3,,,,,Spawn_plasmoid,,sc3d/teleport_tile_3.scw,sc3d/teleport_tile_3.scw,sc3d/teleport_effect_3.scw,TRUE,,,GroundTop
Teleport4,,,,,,,,,,4,,,3,,,,,Spawn_plasmoid,,sc3d/teleport_tile_4.scw,sc3d/teleport_tile_4.scw,sc3d/teleport_effect_4.scw,TRUE,,,GroundTop
RuffsBuff,,,sc/effects_brawler.sc,,,,,ruffs_def_ulti_item,,20,700,,4,,,TRUE,,Spawn_buff,,sc3d/ruffs_buff_geo.scw,sc3d/ruffs_buff_geo.scw,,,,,Above
StickyBomb,,,sc/effects_brawler.sc,sticky_def_atk_reached,sticky_def_atk_reached_red,,,,,800,1150,,3,StickyBombExplosion,,,,Spawn_buff,sticky_def_atk_hit,,,,,TRUE,,Above
StickyBombUlti,,,sc/effects_brawler.sc,sticky_def_ulti_reached,sticky_def_ulti_reached_red,,,,,800,1150,,3,StickyBombUltiExplosion,,,,Spawn_buff,sticky_def_atk_hit,,,,,TRUE,,Above
Sticky002Bomb,StickyBomb,,sc/effects_brawler.sc,sticky_002_atk_reached,sticky_002_atk_reached_red,,,,,800,1150,,3,StickyBombExplosion,,,,Spawn_buff,sticky_def_atk_hit,,,,,TRUE,,Above
Sticky002BombUlti,StickyBombUlti,,sc/effects_brawler.sc,sticky_002_ulti_reached,sticky_002_ulti_reached_red,,,,,800,1150,,3,StickyBombUltiExplosion,,,,Spawn_buff,,,,,,TRUE,,Above
Sticky003Bomb,StickyBomb,,sc/effects_brawler.sc,squeak_003_atk_reached,squeak_003_atk_reached_red,,,,,800,1150,,3,Squeak003BombExplosion,,,,Spawn_buff,squeak_003_atk_hit,,,,,TRUE,,Above
Sticky003BombUlti,StickyBombUlti,,sc/effects_brawler.sc,squeak_003_ulti_reached,squeak_003_ulti_reached_red,,,,,800,1150,,3,Squeak003UltiExplosion,,,,Spawn_buff,squeak_003_atk_hit,,,,,TRUE,,Above
Sticky004Bomb,StickyBomb,,sc/effects_brawler.sc,squeak_004_atk_reached,squeak_004_atk_reached_red,,,,,800,1150,,3,Squeak004BombExplosion,,,,Spawn_buff,squeak_004_atk_hit,,,,,TRUE,,Above
Sticky004BombUlti,StickyBombUlti,,sc/effects_brawler.sc,squeak_004_ulti_reached,squeak_004_ulti_reached_red,,,,,800,1150,,3,Squeak004UltiExplosion,,,,Spawn_buff,squeak_004_ulti_hit,,,,,TRUE,,Above
Sticky005Bomb,StickyBomb,,sc/effects_brawler.sc,squeak_005_atk_reached,squeak_005_atk_reached_red,,,,,800,1150,,3,Squeak005BombExplosion,,,,Spawn_buff,squeak_005_atk_hit,,,,,TRUE,,Above
Sticky005BombUlti,StickyBombUlti,,sc/effects_brawler.sc,squeak_005_ulti_reached,squeak_005_ulti_reached_red,,,,,800,1150,,3,Squeak005UltiExplosion,,,,Spawn_buff,squeak_005_ulti_hit,,,,,TRUE,,Above
Sticky006Bomb,StickyBomb,,sc/effects_brawler.sc,squeak_006_atk_timer,squeak_006_atk_timer_red,,,,,800,1150,,3,Squeak006BombExplosion,,,,Spawn_buff,,,,,,TRUE,,Above
Sticky006BombUlti,StickyBombUlti,,sc/effects_brawler.sc,squeak_006_ulti_timer,squeak_006_ulti_timer_red,,,,,800,1150,,3,Squeak006UltiExplosion,,,,Spawn_buff,,,,,,TRUE,,Above
ElectroTrap,,,sc/effects_brawler.sc,belle_gadget_trap,belle_gadget_trap_red,,,,,0,1,,3,ElectroTrapExplosion,,TRUE,,bo_def_ulti2_spawn,,,,,,,,Above
BasketBrawlHoop,,,,,,,,,,,,,,,,,,Spawn_plasmoid,,sc3d/basketball_hoop.scw,sc3d/basketball_hoop.scw,,,TRUE,,Above
Healing,,,,,,,,,TRUE,500,,,3,,,,,Spawn_plasmoid,,sc3d/healing_tile.scw,sc3d/healing_tile.scw,,TRUE,,,GroundLow
WindWall,,,sc/effects.sc,,,,,gadget_gale_windwall,,600,,100,,,,,,Spawn_plasmoid,,,,,,TRUE,,Above
KickerDudeMine,,,sc/effects_brawler.sc,fang_def_oc_popcorn,fang_def_oc_popcorn_red,shadow_normal_circle,,,,800,2000,,200,KickerDudeMineExplosion,,TRUE,,,,,,,,TRUE,,Above
Spray,,,,,,,,,TRUE,,,,,,,,,,,sc3d/spray_2x2.scw,sc3d/spray_2x2.scw,,,,,GroundLow
InvasionToken,,,sc/effects.sc,,,,pickup_glow_green,power_up_bottle_sparkle,,,,,4,,,TRUE,,Spawn_buff,,sc3d/item_bolt.scw,sc3d/item_bolt.scw,,TRUE,,,Above
InvasionBase,,,,,,,,,,,,200,,,,,,,,sc3d/drop_pod_platform.scw,sc3d/drop_pod_platform.scw,sc3d/drop_pod.scw,TRUE,,,GroundTop
SilencerHugger,,,sc/effects_brawler.sc,otto_def_ulti_hugger_starfish,otto_def_ulti_hugger_starfish_red,,,,,,,60,,,,,,otto_def_ulti_hugger_hit,sticky_def_atk_hit,,,,,TRUE,2,Above
SilencerHuggerMine,,,sc/effects_brawler.sc,otto_def_gajet_mine,otto_def_gajet_mine_red,shadow_normal_circle,,,,,1,,3,HuggerMineExplosion,,TRUE,,,,,,,,,,Above
Otto002Hugger,SilencerHugger,,sc/effects_brawler.sc,otto_002_ulti_hugger_bug,otto_002_ulti_hugger_bug_red,,,otto_002_ulti_hugger_loop,,,,60,,,,,,otto_002_ulti_hugger_hit,sticky_def_atk_hit,,,,,TRUE,2,Above
Otto002HuggerMine,SilencerHuggerMine,,sc/effects_brawler.sc,otto_002_gajet_mine,otto_002_gajet_mine_red,shadow_normal_circle,,,,,1,,3,Otto002MineExplosion,,TRUE,,,,,,,,,2,Above
Otis003Hugger,SilencerHugger,,sc/effects_brawler.sc,otis_003_ulti_stick_starfish,otis_003_ulti_stick_starfish_red,,,otto_002_ulti_hugger_loop,,,,60,,,,,,otis_003_ulti_hit,sticky_def_atk_hit,,,,,TRUE,2,Above
Otis003HuggerMine,SilencerHuggerMine,,sc/effects_brawler.sc,otis_003_ulti_mine,otis_003_ulti_mine_red,shadow_normal_circle,,,,,1,,3,Otto002MineExplosion,,TRUE,,,,,,,,,2,Above
Otis004Hugger,SilencerHugger,,sc/effects_brawler.sc,otis_004_ulti_hugger,otis_004_ulti_hugger_red,,,otto_002_ulti_hugger_loop,,,,60,,,,,,otis_004_ulti_hugger_hit,sticky_def_atk_hit,,,,,TRUE,2,Above
Otis004HuggerMine,SilencerHuggerMine,,sc/effects_brawler.sc,otis_004_gadget_mine,otis_004_gadget_mine_red,shadow_normal_circle,,,,,1,,3,Otto002MineExplosion,,TRUE,,,,,,,,,2,Above
Turret,,,,,,,,,,,,,,,,,,,,sc3d/generic_turret.scw,sc3d/generic_turret.scw,,TRUE,,,Above
WeaponThrowerWeapon,,,sc/effects_brawler.sc,bronson_def_ulti_gauntlet,bronson_def_ulti_gauntlet_red,,,otto_002_ulti_hugger_loop,,,,,3,,,TRUE,,Spawn_plasmoid,,,,,,,,Above
Bronson002Weapon,WeaponThrowerWeapon,,sc/effects_brawler.sc,bronson_002_ulti_reached_ryan,bronson_002_ulti_reached_ryan_red,bronson_002_ulti_reached_ryan_shadow,,,,,,,3,,,TRUE,,bo_def_ulti2_spawn,,,,,,,,Above
Bronson003Weapon,WeaponThrowerWeapon,,sc/effects_brawler.sc,bronson_003_ulti_reached_proj,bronson_003_ulti_reached_proj_red,bronson_003_ulti_reached_shadow,,,,,,,3,,,TRUE,,bo_def_ulti2_spawn,,,,,,,,Above
Bronson004Weapon,WeaponThrowerWeapon,,sc/effects_brawler.sc,bronson_004_ulti_reached_gauntlet,bronson_004_ulti_reached_gauntlet_red,bronson_004_ulti_reached_gauntlet_shadow,,,,,,,3,,,TRUE,,bo_def_ulti2_spawn,,,,,,,,Above
SoulCollectorSoul,,,sc/effects_brawler.sc,gus_def_atk_spirit,gus_def_atk_spirit_red,,,gus_def_spirit_loop,,800,,,3,SoulCollectorSoulExplosion,,TRUE,,gus_def_spirit_active,,,,,,,2,Above
Gus002Soul,SoulCollectorSoul,,sc/effects_brawler.sc,gus_002_atk_spirit,gus_002_atk_spirit_red,,,gus_def_spirit_loop,,800,,,3,SoulCollectorSoulExplosion,,TRUE,,gus_def_spirit_active,,,,,,,2,Above
LastStandCoin,,,sc/effects.sc,,,,pickup_glow_gold,laststand_coin_twinkle,,100,,,4,,,TRUE,,Spawn_plasmoid,,sc3d/item_last_stand_coin.scw,sc3d/item_last_stand_coin.scw,,TRUE,,,Above
DoorHorizontal,,,,,,,,,TRUE,,,,,,,,,,,sc3d/generic_door_3x1.scw,sc3d/generic_door_3x1.scw,,TRUE,,,Object
DoorVertical,,,,,,,,,TRUE,,,,,,,,,,,sc3d/generic_door_3x1.scw,sc3d/generic_door_3x1.scw,,TRUE,,,Object
ButtonPress,,,,,,,,,TRUE,,,,2,,,,,,,sc3d/generic_button_single_press.scw,sc3d/generic_button_single_press.scw,,TRUE,,,GroundLow
ButtonHold,,,,,,,,,TRUE,,,,2,,,,,,,sc3d/generic_button_hold.scw,sc3d/generic_button_hold.scw,,TRUE,,,GroundLow
Portal,,,sc/effects_brawler.sc,gray_def_ulti_start,gray_def_ulti_start_red,,,,,1,,,3,,,,,,gray_def_ulti_active,,,,,,,GroundTop
EventCollectToken,,,sc/effects.sc,,,,pickup_glow_gold,laststand_coin_twinkle,,100,,,4,,,TRUE,,Spawn_plasmoid,,sc3d/item_frog.glb,sc3d/item_frog.glb,,TRUE,,,Above
HealthPack,,,sc/effects.sc,,,projectile_shadow,,,,3000,,,4,,,TRUE,,Spawn_buff,,sc3d/item_health_boost.glb,sc3d/item_health_boost.glb,,TRUE,,,Above
ShadowMushroom,,,sc/effects.sc,,,projectile_shadow,,Blob_fx,,3,100,,4,,,TRUE,,Spawn_buff,,sc3d/item_cordelius_shroom_blue.glb,sc3d/item_cordelius_shroom_red.glb,,TRUE,,,Above
ShadowRealmMarker,,,sc/effects_brawler.sc,cordelius_def_realm_indicator,cordelius_def_realm_indicator,,,cordelius_def_indicator,,,,,,,,,,,,,,,,,,GroundTop
ConductorSign,,,,,,,,conductor_def_sign_warning,,,,,,ConductorSignArea,ConductorSignAreaDestroy,,,,conductor_def_sign_active,sc3d/item_chochosign_blue.glb,sc3d/item_chochosign_red.glb,,TRUE,,,Object
MineHorus_k2,Mine,,sc/effects_brawler.sc,bo_007_mine_blue_k2,bo_007_mine_blue_k2_red02,,,,,,,,,Bo_def_ulti2_area_k2,,,,bo_def_ulti2_spawn,,,,,,,,Above
