Name,SubType,Rewards,HeroLevel,ExtraRewards
,,16000009,,23000258;23000294;23000085;23000155;62000000;62000001;62000002;62000003;62000004;62000017;23000652
,,16000018,,23000313;23000260;23000094;23000157;62000000;62000001;62000002;62000003;62000004;62000017
,,16000019,,23000287;23000248;23000099;23000142;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000022,,23000355;23000253;23000114;23000161;62000000;62000001;62000002;62000003;62000004;62000017;62000007
,,16000025,,23000317;23000262;23000129;23000145;62000000;62000001;62000002;62000003;62000004;62000017
,,16000027,,23000318;23000259;23000168;23000181;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000034,,23000486;23000256;23000222;23000223;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000617
,,16000061,,23000513;23000514;23000511;23000512;62000000;62000001;62000002;62000003;62000004;62000017
BrawlerEpicPerfect,BrawlerPerfect,16000014,11,23000289;23000263;23000090;23000148;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000015,,23000268;23000291;23000091;23000152;62000000;62000001;62000002;62000003;62000004;62000017
,,16000016,,23000404;23000257;23000092;23000139;62000000;62000001;62000002;62000003;62000004;62000017;62000016
,,16000020,,23000261;23000351;23000104;23000153;62000000;62000001;62000002;62000003;62000004;62000017
,,16000026,,23000275;23000458;23000134;23000146;62000000;62000001;62000002;62000003;62000004;62000017
,,16000029,,23000312;23000271;23000192;23000193;62000000;62000001;62000002;62000003;62000004;62000017
,,16000030,,23000459;23000274;23000198;23000199;62000000;62000001;62000002;62000003;62000004;62000017
,,16000035,,23000407;23000277;23000228;23000229;62000000;62000001;62000002;62000003;62000004;62000017
,,16000036,,23000353;23000278;23000234;23000235;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000039,,23000457;23000302;23000300;23000301;62000000;62000001;62000002;62000003;62000004;62000017;23000632
,,16000043,,23000403;23000340;23000338;23000339;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000654
,,16000045,,23000401;23000364;23000362;23000363;62000000;62000001;62000002;62000003;62000004;62000017
,,16000046,,23000463;23000371;23000369;23000370;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000048,,23000460;23000383;23000384;23000385;62000000;62000001;62000002;62000003;62000004;62000017
,,16000050,,23000399;23000487;23000397;23000398;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000051,,23000416;23000465;23000414;23000415;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000053,,23000433;23000456;23000431;23000432;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000058,,23000481;23000480;23000478;23000479;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000060,,23000506;23000505;23000503;23000504;62000000;62000001;62000002;62000003;62000004;62000017
,,16000065,,23000546;23000545;23000543;23000544;62000000;62000001;62000002;62000003;62000004;62000017
,,16000068,,23000571;23000572;23000569;23000570;62000000;62000001;62000002;62000003;62000004;62000017;23000629
,,16000069,,23000580;23000579;23000577;23000578;62000000;62000001;62000002;62000003;62000004;62000017
,,16000072,,23000604;23000603;23000601;23000602;62000000;62000001;62000002;62000003;62000004;62000017;23000618
BrawlerMythicPerfect,BrawlerPerfect,16000011,11,23000290;23000265;23000087;23000154;62000000;62000001;62000002;62000003;62000004;62000017;62000018
,,16000017,,23000356;23000093;23000160;23000266;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000021,,23000352;23000252;23000109;23000159;62000000;62000001;62000002;62000003;62000004;62000017;62000008
,,16000031,,23000349;23000269;23000204;23000205;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000032,,23000254;23000311;23000210;23000211;62000000;62000001;62000002;62000003;62000004;62000017
,,16000037,,23000244;23000315;23000240;23000241;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000042,,23000333;23000461;23000331;23000332;62000000;62000001;62000002;62000003;62000004;62000017
,,16000047,,23000378;23000376;23000377;23000462;62000000;62000001;62000002;62000003;62000004;62000017
,,16000064,,23000538;23000537;23000535;23000536;62000000;62000001;62000002;62000003;62000004;62000017
,,16000067,,23000564;23000563;23000561;23000562;62000000;62000001;62000002;62000003;62000004;62000017
,,16000071,,23000596;23000595;23000593;23000594;62000000;62000001;62000002;62000003;62000004;62000017
,,16000073,,23000612;23000611;23000609;23000610;62000000;62000001;62000002;62000003;62000004;62000017
,,16000041,,23000400;23000326;23000324;23000325;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000631
,,16000044,,23000402;23000347;23000345;23000346;62000000;62000001;62000002;62000003;62000004;62000017
,,16000049,,23000390;23000391;23000490;23000392;62000000;62000001;62000002;62000003;62000004;62000017
,,16000054,,23000440;23000464;23000438;23000439;62000000;62000001;62000002;62000003;62000004;62000017;23000653
,,16000056,,23000454;23000455;23000452;23000453;62000000;62000001;62000002;62000003;62000004;62000017;62000005;62000015
,,16000057,,23000472;23000473;23000470;23000471;62000000;62000001;62000002;62000003;62000004;62000017
,,16000059,,23000498;23000497;23000495;23000496;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000062,,23000521;23000522;23000519;23000520;62000000;62000001;62000002;62000003;62000004;62000017
,,16000066,,23000555;23000556;23000553;23000554;62000000;62000001;62000002;62000003;62000004;62000017
,,16000196,,23000626;23000625;23000623;23000624;62000000;62000001;62000002;62000003;62000004;62000017;23000627
,,16000197,,23000639;23000640;23000637;23000638;62000000;62000001;62000002;62000003;62000004;62000017;23000641
BrawlerLegendaryPerfect,BrawlerPerfect,16000005,11,23000406;23000247;23000081;23000151;62000000;62000001;62000002;62000003;62000004;62000017;62000010;23000615
,,16000012,,23000286;23000243;23000088;23000143;62000000;62000001;62000002;62000003;62000004;62000017;62000009;23000650
,,16000023,,23000276;23000408;23000119;23000141;62000000;62000001;62000002;62000003;62000004;62000017;62000011;23000651
,,16000028,,23000270;23000405;23000186;23000187;62000000;62000001;62000002;62000003;62000004;62000017;62000012
,,16000040,,23000488;23000309;23000307;23000308;62000000;62000001;62000002;62000003;62000004;62000017;62000005;62000013
,,16000052,,23000423;23000489;23000421;23000422;62000000;62000001;62000002;62000003;62000004;62000017
,,16000063,,23000530;23000529;23000527;23000528;62000000;62000001;62000002;62000003;62000004;62000017
,,16000038,,23000285;23000485;23000283;23000284;62000000;62000001;62000002;62000003;62000004;62000017
,,16000070,,23000587;23000588;23000585;23000586;62000000;62000001;62000002;62000003;62000004;62000017
,,16000198,,23000648;23000649;23000646;23000647;62000000;62000001;62000002;62000003;62000004;62000017
BrawlerRareNormal,BrawlerNormal,16000001,1,
,,16000002,,
,,16000003,,
,,16000006,,
,,16000008,,
,,16000010,,
,,16000013,,
,,16000024,,
BrawlerSRNormal,BrawlerNormal,16000004,1,
,,16000007,,
,,16000009,,
,,16000018,,
,,16000019,,
,,16000022,,
,,16000025,,
,,16000027,,
,,16000034,,
,,16000061,,
BrawlerEpicNormal,BrawlerNormal,16000014,1,
,,16000015,,
,,16000016,,
,,16000020,,
,,16000026,,
,,16000029,,
,,16000030,,
,,16000035,,
,,16000036,,
,,16000039,,
,,16000043,,
,,16000045,,
,,16000046,,
,,16000048,,
,,16000050,,
,,16000051,,
,,16000053,,
,,16000058,,
,,16000060,,
,,16000065,,
,,16000068,,
,,16000069,,
,,16000072,,
BrawlerMythicNormal,BrawlerNormal,16000011,1,
,,16000017,,
,,16000021,,
,,16000031,,
,,16000032,,
,,16000037,,
,,16000042,,
,,16000047,,
,,16000064,,
,,16000067,,
,,16000071,,
,,16000073,,
,,16000041,,
,,16000044,,
,,16000049,,
,,16000054,,
,,16000056,,
,,16000057,,
,,16000059,,
,,16000062,,
,,16000066,,
,,16000196,,
,,16000197,,
BrawlerLegendaryNormal,BrawlerNormal,16000005,1,
,,16000012,,
,,16000023,,
,,16000028,,
,,16000040,,
,,16000052,,
,,16000063,,
,,16000038,,
,,16000070,,
,,16000198,,
BrawlerPerfectCount10,BrawlerPerfect,16000000,11,23000255;23000288;23000076;23000135;62000000;62000001;62000002;62000003;62000004;62000017;23000613
,,16000001,,23000319;23000273;23000077;23000138;62000000;62000001;62000002;62000003;62000004;62000017;62000005;23000614
,,16000002,,23000272;23000310;23000078;23000137;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000616
,,16000003,,23000245;23000316;23000079;23000150;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000004,,23000409;23000246;23000080;23000156;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000005,,23000406;23000247;23000081;23000151;62000000;62000001;62000002;62000003;62000004;62000017;62000010;23000615
,,16000006,,23000293;23000250;23000082;23000158;62000000;62000001;62000002;62000003;62000004;62000017
,,16000007,,23000251;23000295;23000083;23000149;62000000;62000001;62000002;62000003;62000004;62000017;62000014;23000630
,,16000008,,23000249;23000314;23000084;23000136;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000009,,23000258;23000294;23000085;23000155;62000000;62000001;62000002;62000003;62000004;62000017;23000652
,,16000010,,23000264;23000292;23000086;23000140;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000011,,23000290;23000265;23000087;23000154;62000000;62000001;62000002;62000003;62000004;62000017;62000018
,,16000012,,23000286;23000243;23000088;23000143;62000000;62000001;62000002;62000003;62000004;62000017;62000009;23000650
,,16000013,,23000350;23000267;23000089;23000144;62000000;62000001;62000002;62000003;62000004;62000017
,,16000014,,23000289;23000263;23000090;23000148;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000015,,23000268;23000291;23000091;23000152;62000000;62000001;62000002;62000003;62000004;62000017
,,16000016,,23000404;23000257;23000092;23000139;62000000;62000001;62000002;62000003;62000004;62000017;62000016
,,16000017,,23000356;23000093;23000160;23000266;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000018,,23000313;23000260;23000094;23000157;62000000;62000001;62000002;62000003;62000004;62000017
,,16000019,,23000287;23000248;23000099;23000142;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000020,,23000261;23000351;23000104;23000153;62000000;62000001;62000002;62000003;62000004;62000017
,,16000021,,23000352;23000252;23000109;23000159;62000000;62000001;62000002;62000003;62000004;62000017;62000008
,,16000022,,23000355;23000253;23000114;23000161;62000000;62000001;62000002;62000003;62000004;62000017;62000007
,,16000023,,23000276;23000408;23000119;23000141;62000000;62000001;62000002;62000003;62000004;62000017;62000011;23000651
,,16000024,,23000348;23000242;23000124;23000147;62000000;62000001;62000002;62000003;62000004;62000017;23000628
,,16000025,,23000317;23000262;23000129;23000145;62000000;62000001;62000002;62000003;62000004;62000017
,,16000026,,23000275;23000458;23000134;23000146;62000000;62000001;62000002;62000003;62000004;62000017
,,16000027,,23000318;23000259;23000168;23000181;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000028,,23000270;23000405;23000186;23000187;62000000;62000001;62000002;62000003;62000004;62000017;62000012
,,16000029,,23000312;23000271;23000192;23000193;62000000;62000001;62000002;62000003;62000004;62000017
,,16000030,,23000459;23000274;23000198;23000199;62000000;62000001;62000002;62000003;62000004;62000017
,,16000031,,23000349;23000269;23000204;23000205;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000032,,23000254;23000311;23000210;23000211;62000000;62000001;62000002;62000003;62000004;62000017
,,16000034,,23000486;23000256;23000222;23000223;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000617
,,16000035,,23000407;23000277;23000228;23000229;62000000;62000001;62000002;62000003;62000004;62000017
,,16000036,,23000353;23000278;23000234;23000235;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000037,,23000244;23000315;23000240;23000241;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000038,,23000285;23000485;23000283;23000284;62000000;62000001;62000002;62000003;62000004;62000017
,,16000039,,23000457;23000302;23000300;23000301;62000000;62000001;62000002;62000003;62000004;62000017;23000632
,,16000040,,23000488;23000309;23000307;23000308;62000000;62000001;62000002;62000003;62000004;62000017;62000005;62000013
,,16000041,,23000400;23000326;23000324;23000325;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000631
,,16000042,,23000333;23000461;23000331;23000332;62000000;62000001;62000002;62000003;62000004;62000017
,,16000043,,23000403;23000340;23000338;23000339;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000654
,,16000044,,23000402;23000347;23000345;23000346;62000000;62000001;62000002;62000003;62000004;62000017
,,16000045,,23000401;23000364;23000362;23000363;62000000;62000001;62000002;62000003;62000004;62000017
,,16000046,,23000463;23000371;23000369;23000370;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000047,,23000378;23000376;23000377;23000462;62000000;62000001;62000002;62000003;62000004;62000017
,,16000048,,23000460;23000383;23000384;23000385;62000000;62000001;62000002;62000003;62000004;62000017
,,16000049,,23000390;23000391;23000490;23000392;62000000;62000001;62000002;62000003;62000004;62000017
,,16000050,,23000399;23000487;23000397;23000398;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000051,,23000416;23000465;23000414;23000415;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000052,,23000423;23000489;23000421;23000422;62000000;62000001;62000002;62000003;62000004;62000017
,,16000053,,23000433;23000456;23000431;23000432;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000054,,23000440;23000464;23000438;23000439;62000000;62000001;62000002;62000003;62000004;62000017;23000653
,,16000056,,23000454;23000455;23000452;23000453;62000000;62000001;62000002;62000003;62000004;62000017;62000005;62000015
,,16000057,,23000472;23000473;23000470;23000471;62000000;62000001;62000002;62000003;62000004;62000017
,,16000058,,23000481;23000480;23000478;23000479;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000059,,23000498;23000497;23000495;23000496;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000060,,23000506;23000505;23000503;23000504;62000000;62000001;62000002;62000003;62000004;62000017
,,16000061,,23000513;23000514;23000511;23000512;62000000;62000001;62000002;62000003;62000004;62000017
,,16000062,,23000521;23000522;23000519;23000520;62000000;62000001;62000002;62000003;62000004;62000017
,,16000063,,23000530;23000529;23000527;23000528;62000000;62000001;62000002;62000003;62000004;62000017
,,16000064,,23000538;23000537;23000535;23000536;62000000;62000001;62000002;62000003;62000004;62000017
,,16000065,,23000546;23000545;23000543;23000544;62000000;62000001;62000002;62000003;62000004;62000017
,,16000066,,23000555;23000556;23000553;23000554;62000000;62000001;62000002;62000003;62000004;62000017
,,16000067,,23000564;23000563;23000561;23000562;62000000;62000001;62000002;62000003;62000004;62000017
,,16000068,,23000571;23000572;23000569;23000570;62000000;62000001;62000002;62000003;62000004;62000017;23000629
,,16000069,,23000580;23000579;23000577;23000578;62000000;62000001;62000002;62000003;62000004;62000017
,,16000070,,23000587;23000588;23000585;23000586;62000000;62000001;62000002;62000003;62000004;62000017
,,16000071,,23000596;23000595;23000593;23000594;62000000;62000001;62000002;62000003;62000004;62000017
,,16000072,,23000604;23000603;23000601;23000602;62000000;62000001;62000002;62000003;62000004;62000017;23000618
,,16000073,,23000612;23000611;23000609;23000610;62000000;62000001;62000002;62000003;62000004;62000017
,,16000196,,23000626;23000625;23000623;23000624;62000000;62000001;62000002;62000003;62000004;62000017;23000627
,,16000197,,23000639;23000640;23000637;23000638;62000000;62000001;62000002;62000003;62000004;62000017;23000641
,,16000198,,23000648;23000649;23000646;23000647;62000000;62000001;62000002;62000003;62000004;62000017
BrawlerPerfectCount20,BrawlerPerfect,16000000,11,23000255;23000288;23000076;23000135;62000000;62000001;62000002;62000003;62000004;62000017;23000613
,,16000001,,23000319;23000273;23000077;23000138;62000000;62000001;62000002;62000003;62000004;62000017;62000005;23000614
,,16000002,,23000272;23000310;23000078;23000137;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000616
,,16000003,,23000245;23000316;23000079;23000150;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000004,,23000409;23000246;23000080;23000156;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000005,,23000406;23000247;23000081;23000151;62000000;62000001;62000002;62000003;62000004;62000017;62000010;23000615
,,16000006,,23000293;23000250;23000082;23000158;62000000;62000001;62000002;62000003;62000004;62000017
,,16000007,,23000251;23000295;23000083;23000149;62000000;62000001;62000002;62000003;62000004;62000017;62000014;23000630
,,16000008,,23000249;23000314;23000084;23000136;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000009,,23000258;23000294;23000085;23000155;62000000;62000001;62000002;62000003;62000004;62000017;23000652
,,16000010,,23000264;23000292;23000086;23000140;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000011,,23000290;23000265;23000087;23000154;62000000;62000001;62000002;62000003;62000004;62000017;62000018
,,16000012,,23000286;23000243;23000088;23000143;62000000;62000001;62000002;62000003;62000004;62000017;62000009;23000650
,,16000013,,23000350;23000267;23000089;23000144;62000000;62000001;62000002;62000003;62000004;62000017
,,16000014,,23000289;23000263;23000090;23000148;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000015,,23000268;23000291;23000091;23000152;62000000;62000001;62000002;62000003;62000004;62000017
,,16000016,,23000404;23000257;23000092;23000139;62000000;62000001;62000002;62000003;62000004;62000017;62000016
,,16000017,,23000356;23000093;23000160;23000266;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000018,,23000313;23000260;23000094;23000157;62000000;62000001;62000002;62000003;62000004;62000017
,,16000019,,23000287;23000248;23000099;23000142;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000020,,23000261;23000351;23000104;23000153;62000000;62000001;62000002;62000003;62000004;62000017
,,16000021,,23000352;23000252;23000109;23000159;62000000;62000001;62000002;62000003;62000004;62000017;62000008
,,16000022,,23000355;23000253;23000114;23000161;62000000;62000001;62000002;62000003;62000004;62000017;62000007
,,16000023,,23000276;23000408;23000119;23000141;62000000;62000001;62000002;62000003;62000004;62000017;62000011;23000651
,,16000024,,23000348;23000242;23000124;23000147;62000000;62000001;62000002;62000003;62000004;62000017;23000628
,,16000025,,23000317;23000262;23000129;23000145;62000000;62000001;62000002;62000003;62000004;62000017
,,16000026,,23000275;23000458;23000134;23000146;62000000;62000001;62000002;62000003;62000004;62000017
,,16000027,,23000318;23000259;23000168;23000181;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000028,,23000270;23000405;23000186;23000187;62000000;62000001;62000002;62000003;62000004;62000017;62000012
,,16000029,,23000312;23000271;23000192;23000193;62000000;62000001;62000002;62000003;62000004;62000017
,,16000030,,23000459;23000274;23000198;23000199;62000000;62000001;62000002;62000003;62000004;62000017
,,16000031,,23000349;23000269;23000204;23000205;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000032,,23000254;23000311;23000210;23000211;62000000;62000001;62000002;62000003;62000004;62000017
,,16000034,,23000486;23000256;23000222;23000223;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000617
,,16000035,,23000407;23000277;23000228;23000229;62000000;62000001;62000002;62000003;62000004;62000017
,,16000036,,23000353;23000278;23000234;23000235;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000037,,23000244;23000315;23000240;23000241;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000038,,23000285;23000485;23000283;23000284;62000000;62000001;62000002;62000003;62000004;62000017
,,16000039,,23000457;23000302;23000300;23000301;62000000;62000001;62000002;62000003;62000004;62000017;23000632
,,16000040,,23000488;23000309;23000307;23000308;62000000;62000001;62000002;62000003;62000004;62000017;62000005;62000013
,,16000041,,23000400;23000326;23000324;23000325;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000631
,,16000042,,23000333;23000461;23000331;23000332;62000000;62000001;62000002;62000003;62000004;62000017
,,16000043,,23000403;23000340;23000338;23000339;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000654
,,16000044,,23000402;23000347;23000345;23000346;62000000;62000001;62000002;62000003;62000004;62000017
,,16000045,,23000401;23000364;23000362;23000363;62000000;62000001;62000002;62000003;62000004;62000017
,,16000046,,23000463;23000371;23000369;23000370;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000047,,23000378;23000376;23000377;23000462;62000000;62000001;62000002;62000003;62000004;62000017
,,16000048,,23000460;23000383;23000384;23000385;62000000;62000001;62000002;62000003;62000004;62000017
,,16000049,,23000390;23000391;23000490;23000392;62000000;62000001;62000002;62000003;62000004;62000017
,,16000050,,23000399;23000487;23000397;23000398;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000051,,23000416;23000465;23000414;23000415;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000052,,23000423;23000489;23000421;23000422;62000000;62000001;62000002;62000003;62000004;62000017
,,16000053,,23000433;23000456;23000431;23000432;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000054,,23000440;23000464;23000438;23000439;62000000;62000001;62000002;62000003;62000004;62000017;23000653
,,16000056,,23000454;23000455;23000452;23000453;62000000;62000001;62000002;62000003;62000004;62000017;62000005;62000015
,,16000057,,23000472;23000473;23000470;23000471;62000000;62000001;62000002;62000003;62000004;62000017
,,16000058,,23000481;23000480;23000478;23000479;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000059,,23000498;23000497;23000495;23000496;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000060,,23000506;23000505;23000503;23000504;62000000;62000001;62000002;62000003;62000004;62000017
,,16000061,,23000513;23000514;23000511;23000512;62000000;62000001;62000002;62000003;62000004;62000017
,,16000062,,23000521;23000522;23000519;23000520;62000000;62000001;62000002;62000003;62000004;62000017
,,16000063,,23000530;23000529;23000527;23000528;62000000;62000001;62000002;62000003;62000004;62000017
,,16000064,,23000538;23000537;23000535;23000536;62000000;62000001;62000002;62000003;62000004;62000017
,,16000065,,23000546;23000545;23000543;23000544;62000000;62000001;62000002;62000003;62000004;62000017
,,16000066,,23000555;23000556;23000553;23000554;62000000;62000001;62000002;62000003;62000004;62000017
,,16000067,,23000564;23000563;23000561;23000562;62000000;62000001;62000002;62000003;62000004;62000017
,,16000068,,23000571;23000572;23000569;23000570;62000000;62000001;62000002;62000003;62000004;62000017;23000629
,,16000069,,23000580;23000579;23000577;23000578;62000000;62000001;62000002;62000003;62000004;62000017
,,16000070,,23000587;23000588;23000585;23000586;62000000;62000001;62000002;62000003;62000004;62000017
,,16000071,,23000596;23000595;23000593;23000594;62000000;62000001;62000002;62000003;62000004;62000017
,,16000072,,23000604;23000603;23000601;23000602;62000000;62000001;62000002;62000003;62000004;62000017;23000618
,,16000073,,23000612;23000611;23000609;23000610;62000000;62000001;62000002;62000003;62000004;62000017
,,16000196,,23000626;23000625;23000623;23000624;62000000;62000001;62000002;62000003;62000004;62000017;23000627
,,16000197,,23000639;23000640;23000637;23000638;62000000;62000001;62000002;62000003;62000004;62000017;23000641
,,16000198,,23000648;23000649;23000646;23000647;62000000;62000001;62000002;62000003;62000004;62000017
BrawlerPerfectCount40,BrawlerPerfect,16000000,11,23000255;23000288;23000076;23000135;62000000;62000001;62000002;62000003;62000004;62000017;23000613
,,16000001,,23000319;23000273;23000077;23000138;62000000;62000001;62000002;62000003;62000004;62000017;62000005;23000614
,,16000002,,23000272;23000310;23000078;23000137;62000000;62000001;62000002;62000003;62000004;62000017;62000006;23000616
,,16000003,,23000245;23000316;23000079;23000150;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000004,,23000409;23000246;23000080;23000156;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000005,,23000406;23000247;23000081;23000151;62000000;62000001;62000002;62000003;62000004;62000017;62000010;23000615
,,16000006,,23000293;23000250;23000082;23000158;62000000;62000001;62000002;62000003;62000004;62000017
,,16000007,,23000251;23000295;23000083;23000149;62000000;62000001;62000002;62000003;62000004;62000017;62000014;23000630
,,16000008,,23000249;23000314;23000084;23000136;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000009,,23000258;23000294;23000085;23000155;62000000;62000001;62000002;62000003;62000004;62000017;23000652
,,16000010,,23000264;23000292;23000086;23000140;62000000;62000001;62000002;62000003;62000004;62000017;62000006
,,16000011,,23000290;23000265;23000087;23000154;62000000;62000001;62000002;62000003;62000004;62000017;62000018
,,16000012,,23000286;23000243;23000088;23000143;62000000;62000001;62000002;62000003;62000004;62000017;62000009;23000650
,,16000013,,23000350;23000267;23000089;23000144;62000000;62000001;62000002;62000003;62000004;62000017
,,16000014,,23000289;23000263;23000090;23000148;62000000;62000001;62000002;62000003;62000004;62000017;62000005
,,16000015,,23000268;23000291;23000091;23000152;62000000;62000001;62000002;62000003;62000004;62000017
,,16000016,,23000404;23000257;23000092;23000139;62000000;62000001;62000002;62000003;62000004;62000017;62000016
,,16000017,,23000356;23000093;23000160;23000266;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000018,,23000313;23000260;23000094;23000157;62000000;62000001;62000002;62000003;62000004;62000017
,,16000019,,23000287;23000248;23000099;23000142;62000000;62000001;62000002;62000003;62000004;62000017;62000014
,,16000020,,23000261;23000351;23000104;23000153;62000000;62000001;62000002;62000003;62000004;62000017
,,16000021,,23000352;23000252;23000109;23000159;62000000;62000001;62000002;62000003;62000004;62000017;62000008
