"TID","CN"
"TID_TEAM_ERROR_10","无法创建房间，您已经加入了一个房间。"
"TID_TEAM_ERROR_11","无法加入房间，活动已结束。"
"TID_TEAM_ERROR_12","无法加入房间，房间已过期。"
"TID_TEAM_ERROR_15","无法加入房间，您所处的地区与房间所处的地区不符。"
"TID_TEAM_ERROR_17","无法开始游戏，不允许使用相同的英雄。"
"TID_TEAM_ERROR_18","无法开始游戏，系统即将维护。"
"TID_TEAM_ERROR_19","房主在线时无法踢出房主。"
"TID_TEAM_ERROR_21","无法开始游戏，没有足够的门票"
"TID_TEAM_SEARCH_INVALID_CODE","房间代码无效，请检查房间代码是否正确。"
"TID_TEAM_JOIN","加入"
"TID_TEAM_CANCEL_READY","取消"
"TID_TEAM_TEAMCODE","房间代码"
"TID_TEAM_TEAMCODE_DESC","您的好友可以通过该房间代码加入这个房间"
"TID_TEAM_WAITING_FOR_PLAYER","通过房间代码邀请"
"TID_TEAM_KICK","踢出"
"TID_TEAM_SWAP","更换队伍"
"TID_TEAM_SWAP_HERE","更换至此处"
"TID_TEAM_TOGGLE_TEAM","切换队伍"
"TID_TEAM_SIDE_LABEL","队伍</c>"
"TID_TEAM_SIDE_2","<c999999>随机</c>"
"TID_TEAM_SIDE_0","<cffd700>A</c>"
"TID_TEAM_SIDE_1","<c00ffff>B</c>"
"TID_BONUS_REWARD","3胜额外奖励："
"TID_BONUS_REWARD_COLLECTED","额外奖励已领取"
"TID_INFO_SERVER_ERROR_TITLE","服务器错误"
"TID_INFO_SERVER_ERROR_BUTTON","重新载入游戏"
"TID_RARITY_NAME_1","稀有"
"TID_RARITY_NAME_2","罕见"
"TID_RARITY_NAME_3","史诗"
"TID_RARITY_NAME_4","神秘"
"TID_RARITY_NAME_5","传奇"
"TID_RANK_UP_POPUP_REWARD_BONUS","排名提升奖励"
"TID_RANK_UP_POPUP_RANK","排名<RANK>"
"TID_NAME_FAILED_TOO_SHORT","昵称太短！"
"TID_NAME_FAILED_PROFANITIES","昵称不符合要求！"
"TID_NAME_FAILED","昵称不符合要求！"
"TID_SELECT_HERO_INFO_1","<cFF8000>玩家对抗玩家</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>玩家对抗电脑</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>单人人机对战</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>玩家对抗玩家</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>单人人机对战</c>"
"TID_NAVI_1","商店"
"TID_NAVI_4","英雄"
"TID_BATTLE_MAIN_NEXT_REWARD","下一奖励：<VALUE>/<MAX>"
"TID_BATTLE_MAIN_COLLECTED_COINS","已收集<VALUE>"
"TID_HERO_INFO_BACK","返回"
"TID_HERO_INFO_UPGRADE","升级"
"TID_HERO_INFO_ABILITY_LEVEL","等级 <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","购买英雄"
"TID_HERO_INFO_ITEM_RARITY","<c<COLOR>><NAME></c>"
"TID_MATCHMAKE_FAILED_5","匹配失败：活动已结束"
"TID_MATCHMAKE_FAILED_7","匹配失败：有房间成员已断开连接"
"TID_MATCHMAKE_FAILED_9","匹配失败：维护即将开始"
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","蓝队即将获胜："
"TID_ENEMY_TEAM_WINNING","红队即将获胜："
"TID_OWN_TEAM","蓝队"
"TID_ENEMY_TEAM","红队"
"TID_COUNTDOWN","倒计时"
"TID_HERO_LIST_DO_GATCHA","购买乱斗宝箱"
"TID_HERO_LOCKED_CANNOT_VIEW","点击\q随机抽取\q按钮以解锁新英雄"
"TID_DAILY_COINS_COLLECTED","已收集"
"TID_TEAM_BATTLE","创建"
"TID_TEAM_UNREADY","尚未就绪"
"TID_TEAM_WAITING_WHILE_READY","您已准备就绪！\n等待其他玩家。"
"TID_GATCHA_SCREEN_OK","太棒了！"
"TID_GATCHA_SCREEN_TAP","轻击！"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_NAVI_BLOCKED_1","准备就绪时无法切换页面！"
"TID_TEAM_MEMBER_INFO_READY","<NAME>正在等待其他玩家准备就绪"
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME>尚未做好准备"
"TID_TEAM_MEMBER_INFO_SELF_READY","准备就绪时无法更换英雄！"
"TID_TEAM_CHANGE_EVENT_BLOCKED","准备就绪时无法更换活动！"
"TID_TEAM_INFO_TEAM_CODE","将房间代码分享给好友，邀请他们加入您的游戏房间！\n\n再次点击以复制至剪贴板。"
"TID_FREEZER","冷冻者"
"TID_GAME_OVER","对战结束"
"TID_LEVEL","等级<LVL>"
"TID_PLAYERS_IN_MM","有玩家正在匹配中！"
"TID_ONLINE_INFO","在线玩家：<ONLINE> 匹配中：<MATCHMAKE> 对战中：<BATTLES>"
"TID_INPUT_NAME","在这输入您的名称"
"TID_LEADERBOARD_YOUR_SCORE","您的分数"
"TID_LEADERBOARD_YOUR_RANK","您的排名"
"TID_LEADERBOARD_HIGHEST_SCORE","您的最高分数"
"TID_SET_REGION_RESULT_0","地区已成功切换至<REGION>"
"TID_SET_REGION_RESULT_1","地区切换失败：您需要退出战队才能切换"
"TID_SET_REGION_RESULT_2","地区切换失败：您需要退出房间才能切换"
"TID_VICTORY_CONDITION_COINRUSH_TITLE","水晶争夺战"
"TID_BATTLE_END_MY_TEAM","己方队伍"
"TID_BATTLE_END_ENEMY_TEAM","敌方队伍"
"TID_BACK","返回"
"TID_UNLOCK_SKIN_ERROR_1","宝石数量不够"
"TID_EXPERIENCE_LEVEL","经验等级"
"TID_BOT_1","机器人1号"
"TID_BOT_2","机器人2号"
"TID_BOT_3","机器人3号"
"TID_BOT_4","机器人4号"
"TID_BOT_5","机器人5号"
"TID_BOT_6","机器人6号"
"TID_BOT_7","机器人7号"
"TID_BOT_8","机器人8号"
"TID_BOT_9","机器人9号"
"TID_CRAFT_HERO_TITLE","购买英雄"
"TID_CRAFT_HERO_BUTTON_LABEL","购买"
"TID_UNLOCK_SKIN_TITLE","购买皮肤"
"TID_UNLOCK_SKIN_BUTTON_LABEL","购买"
"TID_HERO_LIST_TOTAL_TROPHIES","总奖杯数"
"TID_GAME_MODE_2","金库劫案"
"TID_GAME_MODE_3","赏金模式"
"TID_GAME_MODE_3_DESC","击败对方英雄可以获得赏金之星，英雄头上的赏金之星越多意味着该英雄的赏金越高。时间结束时赏金之星更多的队伍获胜！"
"TID_GAME_MODE_6_DESC","击败其余的九名玩家并成为最后的生还者，非常时刻得使用一些非常手段，毕竟你只有一条命。"
"TID_GAME_MODE_5","乱斗足球"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","军衔提升"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","等级提升"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","胜利"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","失败"
"TID_BATTLE_END_GAIN_LABEL_DRAW","平局"
"TID_BATTLE_END_GAIN_LABEL_MVP","全场最佳"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","排名得分"
"TID_BATTLE_END_MVP","全场最佳"
"TID_BATTLE_END_DEFEAT_INFO","祝您下次好运！"
"TID_TUTORIAL_9","您真是一名天生的英雄！\n\n现在去解决他们吧！"
"TID_HERO_SCORE_INFO_MAXED","您已经升至最高军衔。"
"TID_XP_INFO_OTHER","该玩家的经验等级"
"TID_ALLIANCE_TYPE_OPEN","允许任何人"
"TID_ALLIANCE_TYPE_INVITE_ONLY","需要批准"
"TID_ALLIANCE_TYPE_CLOSED","不可加入"
"TID_STREAM_ENTRY_AGE","<time>前"
"TID_ALLIANCE_ROLE_LEADER","首领"
"TID_ALLIANCE_ROLE_CO_LEADER","副首领"
"TID_ALLIANCE_ROLE_MEMBER","成员"
"TID_ALLIANCE_ROLE_ELDER","长老"
"TID_STREAM_SENDER_YOU","您"
"TID_GOLDRUSH_1","坚石矿井"
"TID_BANKHEIST_1","强盗据点"
"TID_WANTED_1","神殿废墟"
"TID_BATTLE_ROYALE_1","幽暗溪流"
"TID_GOLDRUSH_2","水晶洞窟"
"TID_BANKHEIST_2","轰隆峡谷"
"TID_WANTED_2","囚徒营地"
"TID_BATTLE_ROYALE_2","风暴平原"
"TID_GOLDRUSH_3","蘑菇洞穴"
"TID_BANKHEIST_3","安全区域"
"TID_WANTED_3","赤色广场"
"TID_BATTLE_ROYALE_3","绝命山谷"
"TID_WANTED_4","卷心菜园"
"TID_GOLDRUSH_4","坚骨方阵"
"TID_WANTED_5","星光峡谷"
"TID_GOLDRUSH_5","神殿迷宫"
"TID_WANTED_6","蝮蛇草场"
"TID_WANTED_7","神秘流星"
"TID_BATTLE_ROYALE_4","饥荒盛宴"
"TID_WANTED_8","旱癞地道"
"TID_BANKHEIST_4","荒漠兽栏"
"TID_CLAN_TOTAL_TROPHIES","战队奖杯"
"TID_CLAN_INFO_TAG","战队标签"
"TID_CLAN_INFO_MESSAGE","消息"
"TID_CLAN_INFO_REQUEST_JOIN","请求加入"
"TID_CLAN_SEARCH_NO_RESULTS","未找到战队"
"TID_CLAN_INFO_MEMBERS","成员"
"TID_ALLIANCE_CREATE_OK","战队创建成功"
"TID_TITLE_ALLIANCE","战队信息"
"TID_ALLIANCE_LEFT","您已退出战队"
"TID_CLAN_MEMBER_DEMOTE","降职"
"TID_CLAN_MEMBER_PROMOTE","晋升"
"TID_CLAN_MEMBER_KICK","踢出"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","查看战队"
"TID_BUTTON_INVITE","邀请"
"TID_PLAYER_INFO_GOTO_CLAN","查看战队"
"TID_PLAYER_INFO_HEROES","英雄 (<FOUND>/<TOTAL>)"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","经验等级达到<LEVEL>级时可解锁该头像"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","总奖杯数达到<TROPHIES>时可解锁该头像"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_5","赛季积分达到<POINTS>时可解锁该头像"
"TID_NO_CLAN","未加入战队"
"TID_ULTIMATE_NOT_READY","击中敌军来为终极技能充能！"
"TID_CANT_ACTIVATE_ULTI","被消灭时无法激活终极技能！"
"TID_NAME_TOO_SHORT","名称太短"
"TID_ALLIANCE_JOINED","已加入战队"
"TID_BOUNTY_HUNTER_INTRO_TEXT","消灭对方英雄以获得赏金之星"
"TID_ALLIANCE_PROMOTE_TITLE","确认晋升"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","您确定将<NAME>晋升为<ROLE>吗？"
"TID_ALLIANCE_PROMOTE_BUTTON","晋升"
"TID_ALLIANCE_KICK_TITLE","确认踢出"
"TID_ALLIANCE_KICK_CONFIRMATION","您确定将<NAME>踢出战队吗？"
"TID_ALLIANCE_KICK_BUTTON","踢出"
"TID_ALLIANCE_DEMOTE_TITLE","确认降职"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","您确定将<NAME>降职为<ROLE>吗？"
"TID_ALLIANCE_DEMOTE_BUTTON","降职"
"TID_CLAN_RESPONSE_10","设置已保存"
"TID_CLAN_RESPONSE_20","战队已创建"
"TID_CLAN_RESPONSE_22","名称不符合要求"
"TID_CLAN_RESPONSE_40","已加入战队"
"TID_CLAN_RESPONSE_42","加入失败：战队已满"
"TID_CLAN_RESPONSE_43","加入失败：战队类型为不可加入"
"TID_CLAN_RESPONSE_45","加入失败：您的奖杯数太低，无法加入该战队"
"TID_CLAN_RESPONSE_46","加入失败：您之前被该战队踢出或拒绝过"
"TID_CLAN_RESPONSE_47","加入失败：您今天加入过太多战队，您今天无法再加入战队了。"
"TID_CLAN_RESPONSE_48","加入失败：无法加入其他地区的战队。"
"TID_CLAN_RESPONSE_50","加入请求已发送成功"
"TID_CLAN_RESPONSE_51","加入请求发送失败：该战队已设置为不可加入"
"TID_CLAN_RESPONSE_52","加入请求发送失败：您已经向该战队发送过请求了"
"TID_CLAN_RESPONSE_53","加入请求发送失败：您的奖杯数太低，无法加入该战队"
"TID_CLAN_RESPONSE_54","加入请求发送失败：您之前被该战队踢出或拒绝过"
"TID_CLAN_RESPONSE_55","加入请求发送失败：无法加入其他地区的战队。"
"TID_CLAN_RESPONSE_70","已成功踢出"
"TID_CLAN_RESPONSE_80","您退出了战队"
"TID_CLAN_RESPONSE_81","晋升成功"
"TID_CLAN_RESPONSE_82","降职成功"
"TID_CLAN_RESPONSE_90","接受成功"
"TID_CLAN_RESPONSE_91","拒绝成功"
"TID_CLAN_RESPONSE_92","接受失败：目标已经加入了其他战队"
"TID_CLAN_RESPONSE_93","处理失败：无法找到请求"
"TID_CLAN_RESPONSE_94","处理失败：该请求已处理"
"TID_CLAN_RESPONSE_95","处理失败：没有权限"
"TID_CLAN_RESPONSE_96","接受失败：目标已经被战队拉黑"
"TID_CLAN_RESPONSE_100","您已被踢出战队"
"TID_CLAN_RESPONSE_101","您已被晋升"
"TID_CLAN_RESPONSE_102","您已被降职"
"TID_ALLIANCE_NAME_TOO_SHORT","战队名称太短"
"TID_CLAN_JOIN_REQUEST_TITLE","请求加入战队"
"TID_CLAN_JOIN_REQUEST_SEND","发送"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","我想加入您的战队......"
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","接受该玩家的加入战队申请？"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","接受"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","拒绝"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","<name>接受了该请求"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","<name>拒绝了该请求"
"TID_HINT_DRAG_TO_AIM","拖拽以瞄准"
"TID_HINT_RELEASE_TO_SHOOT","松开以射击"
"TID_HINT_DRAG_TO_ULTI","拖拽并按住为终极技能瞄准，松开以射击！"
"TID_HINT_GO_AFTER_ENEMY","追击敌军！"
"TID_HINT_SHOOT_ENEMIES","击败对方英雄以获得赏金之星！"
"TID_HINT_YOU_ARE_WINNING","您的队伍正在向胜利迈进！注意防守！"
"TID_HINT_YOU_ARE_LOSING","您的队伍快要输了！加强进攻！"
"TID_HINT_TAP_TO_MOVE","轻击地面移动英雄\n与您的队友一起行动"
"TID_BOUNTY_2","注意：您现在值一大笔赏金！"
"TID_BOUNTY_3","注意：您现在值一笔巨额赏金！"
"TID_BOUNTY_4","您已经被通缉！"
"TID_NO_CLAN_TITLE","寻找一个战队"
"TID_NO_CLAN_BODY","加入战队可以与志趣相投的玩家聊天并一起并肩作战！"
"TID_NO_CLAN_SUGGESTIONS","为您推荐的战队"
"TID_NO_CLAN_RESULTS","搜索结果"
"TID_NO_CLAN_EMPTY","没有推荐的战队"
"TID_NO_CLAN_WAITING_FOR_DATA","等待数据..."
"TID_CONNECTING_TO_SERVER","连接至服务器中..."
"TID_TEAM_AD_INFO_0","等待队友一起进行组队游戏"
"TID_TEAM_AD_JOIN","加入队伍"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","您需要加入一个战队才能使用该功能"
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","房间已满，无法发送邀请"
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","仅房主可用"
"TID_TEAM_LOC_INFO","位于<LOC>的<MODE>"
"TID_STREAM_EVENT_1","<target>被<sender>踢出了战队"
"TID_STREAM_EVENT_2","<sender>批准了<target>加入战队"
"TID_STREAM_EVENT_3","<sender>加入了战队"
"TID_STREAM_EVENT_4","<sender>已退出战队！"
"TID_STREAM_EVENT_5","<target>被<sender>晋升了"
"TID_STREAM_EVENT_6","<target>被<sender>降职了"
"TID_STREAM_EVENT_102","<sender>已加入"
"TID_STREAM_EVENT_103","<sender>已退出"
"TID_STREAM_EVENT_104","<target>已被<sender>踢出"
"TID_STREAM_EVENT_105","已开始匹配"
"TID_STREAM_EVENT_106","匹配已取消"
"TID_STREAM_EVENT_107","对战已开始"
"TID_STREAM_EVENT_108","对战胜利"
"TID_STREAM_EVENT_109","对战失败"
"TID_STREAM_EVENT_110","练习赛已开始"
"TID_STREAM_EVENT_111","练习赛已结束"
"TID_STREAM_EVENT_112","平局"
"TID_CHAT_BOTTOM_BUTTON","向下滚动"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count>条新消息！"
"TID_CHAT_BOTTOM_NEW_MESSAGE","新消息！"
"TID_HERO_INFO_UPGRADE_INFO","升级至等级<LVL>"
"TID_HERO_INFO_LEADERBOARD","排行榜"
"TID_HERO_INFO_LEADERBOARD_LABEL","最佳<HERO>玩家"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
"TID_CANT_DEACTIVATE_ULTI_DURING_TUTORIAL","拖拽并按住为终极技能瞄准！"
"TID_HINT_SHOOT","拖拽以瞄准，松开以射击"
"TID_HERO_SCORE_SUM_LEADERBOARD","最佳玩家"
"TID_ALLIANCE_LEADERBOARD","最佳战队"
"TID_HINT_MAKE_GOAL","拖拽并按住以瞄准，松开以踢球"
"TID_BATTLE_ROYALE_INTRO_TEXT","成为最后的生还者！"
"TID_PLAYERS_LEFT","剩余玩家：<num>"
"TID_CLAN_CREATE_COOLDOWN","无法创建战队，请在<TIME>后重试"
"TID_PLAYER_DATA_MISSING","玩家数据丢失"
"TID_ALLIANCE_DATA_MISSING","战队数据丢失"
"TID_BATTLE_END_PLAYER_NAME_YOU","<c00ff00><NAME></c>"
"TID_BATTLE_END_PLAYER_NAME_OTHER","<NAME>"
"TID_RECHARGE_HINT","等待英雄重新装填弹药！"
"TID_EVENT_EXPIRED","活动已结束"
"TID_SETTINGS_CONTROL_MODE_VALUE_0","点击移动"
"TID_SETTINGS_CONTROL_MODE_INFO_0","点击屏幕使英雄移动至点击处。拖拽以瞄准，松开以射击。"
"TID_SETTINGS_CONTROL_MODE_VALUE_1","摇杆移动（惯用右手）"
"TID_SETTINGS_CONTROL_MODE_VALUE_2","摇杆移动（惯用左手）"
"TID_EVENTS_TEASER_TIME","<TIME>"
"TID_EVENTS_TIME_ENDING","<cFFFF00><TIME></c>"
"TID_EVENTS_TIME_ENDING_SOON","<cff0000><TIME></c>"
"TID_EVENTS_NEXT_EVENT_STARTING_AT","下一个活动"
"TID_EVENTS_TIME_LEFT","剩余时间"
"TID_EVENTS_NEW","新！"
"TID_EVENTS_FREE_REWARD","<AMOUNT>"
"TID_EVENTS_XP_CAP_REACHED","已获得所有经验"
"TID_GAME_STARTING","有一场对战即将在<LOCATION>开始，快去加入他们！"
"TID_WEEKEND_EVENT","双倍经验活动"
"TID_SHOP_PURCHASED","已购买"
"TID_SHOP_ACTIVE","激活"
"TID_SHOP_DOUBLE_COINS_INFO","在对战中获得的"
