"TID","EN"
"TID_MORTAR_ULTI","BIG BARREL O' BOOM"
"TID_MORTAR_ULTI_DESC","A big-bada-barrel of dynamite blows up cover. Any surviving enemies get knocked back on impact!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo was hit by a meteor from outer space, giving him superhuman strength and unrivaled charisma."
"TID_LUCHADOR_WEAPON","FISTS OF FURY"
"TID_LUCHADOR_WEAPON_DESC","El Primo fires off a furious flurry of four fiery fists. That's a spicy jalapeno knuckle sandwich!"
"TID_LUCHADOR_ULTI","FLYING ELBOW DROP"
"TID_LUCHADOR_ULTI_DESC","Leaping high, El Primo drops an Intergalactic Elbow that knocks around enemies and destroys cover!"
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","A former Pool Bot made obsolete by a newer model, Ricochet is banking on his amazing angle-calculation skills to become a great Brawler."
"TID_TRICKSHOT_DUDE_WEAPON","BOUNCY BULLETS"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Ricochet's bullets bounce off walls, gaining range. They can hit enemies behind cover."
"TID_TRICKSHOT_DUDE_ULTI","TRICK SHOT"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet fires a long burst of bullets that pierce through enemies and bounce off walls, gaining range."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","This strange desert dweller is the last of the cactus people - as far as we know."
"TID_CACTUS_WEAPON","NEEDLE GRENADE"
"TID_CACTUS_WEAPON_DESC","Spike fires off a small cactus that explodes, shooting spikes in different directions."
"TID_CACTUS_ULTI","STICK AROUND!"
"TID_CACTUS_ULTI_DESC","Spike lobs a thorny grenade. Enemies caught in the blast area take damage and are slowed down."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley just wants to be a regular barkeeper. Grind his gears though - steam comes out and bottles start flying!"
"TID_BARKEEP_WEAPON","UNDILUTED"
"TID_BARKEEP_WEAPON_DESC","Barley lobs a bottle, breaking it on the ground. Enemies take damage from the splash, and more damage over time if they stay in the puddle."
"TID_BARKEEP_ULTI","LAST CALL"
"TID_BARKEEP_ULTI_DESC","Barley hurls a flurry of fiery bottles, covering a huge area in flames. This one's on the house!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Junker Jessie is a hillbilly girl genius who fashions dangerous gun turrets from scrap."
"TID_MECHANIC_WEAPON","SHOCK RIFLE"
"TID_MECHANIC_WEAPON_DESC","Jessie fires off an energy orb. After hitting a target, the orb bounces at the next target in range, hitting up to three enemies."
"TID_MECHANIC_ULTI","SCRAPPY!"
"TID_MECHANIC_ULTI_DESC","Jessie deploys a gun turret that automatically shoots at enemies. It's made of 100% recycled materials!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita Littlefoot is the latest in a long line of Tribal shamans. Her spirit animal is the Big Baby Bear."
"TID_SHAMAN_WEAPON","RUPTURE"
"TID_SHAMAN_WEAPON_DESC","Nita sends forth a shockwave, damaging enemies caught in the tremor."
"TID_SHAMAN_ULTI","OVERBEARING"
"TID_SHAMAN_ULTI_DESC","Nita summons the spirit of Big Baby Bear to hunt down her enemies."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis the undertaker puts people in coffins. Despite his spindly frame and apparent years, he moves with surprising speed."
"TID_UNDERTAKER_WEAPON","SHOVEL SWING"
"TID_UNDERTAKER_WEAPON_DESC","Mortis dashes forward with a sharp swing of his shovel, creating business opportunities for himself."
"TID_UNDERTAKER_ULTI","LIFE BLOOD"
"TID_UNDERTAKER_ULTI_DESC","Mortis calls forth a swarm of vampire bats that drain the health of his enemies while restoring his. Creepy!"
"TID_CROW","CROW"
"TID_CROW_DESC","This enigmatic creature just appeared in town one day. Nobody dares to ruffle his feathers - not anymore."
"TID_CROW_WEAPON","SWITCHBLADE"
"TID_CROW_WEAPON_DESC","Crow throws a triple threat of daggers. Enemies nicked by the poisoned blades will take damage over time."
"TID_CROW_ULTI","SWOOP"
"TID_CROW_ULTI_DESC","Crow takes to the skies, throwing a ring of poisoned daggers around him both on take-off and landing."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","After losing his fans to a rival band, Poco fills every waking moment trying to find the perfect riff to win it all back."
"TID_DEAD_MARIACHI_WEAPON","POWER CHORD"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco strums his guitarrón, sending forward bone-jarring sound waves. Enemies hit by the waves take damage."
"TID_DEAD_MARIACHI_ULTI","ENCORE"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco heals himself and all friends he can reach with his uplifting melody. Does not affect enemies."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo the Eagle Hunter is the greatest bowman the Tribes have ever known. His arrows are simply explosive!"
"TID_BOW_DUDE_WEAPON","EAGLE-EYED"
"TID_BOW_DUDE_WEAPON_DESC","Bo releases a trio of exploding arrows, tearing up enemies like an eagle's talons."
"TID_BOW_DUDE_ULTI","CATCH A FOX"
"TID_BOW_DUDE_ULTI_DESC","Bo hides explosive traps in the ground. When triggered by an enemy, the traps explode after a short delay, knocking back and damaging enemies."
"TID_SNIPER","PIPER"
"TID_SNIPER_DESC","Piper de la Prim is always the Belle of the Brawl. All class to begin with, she was also top of her class in sharpshooting."
"TID_SNIPER_WEAPON","GUNBRELLA"
"TID_SNIPER_WEAPON_DESC","Piper fires a sniper shot from the tip of her parasol. The shot gains more oompf the farther it flies!"
"TID_SNIPER_ULTI","POPPIN'"
"TID_SNIPER_ULTI_DESC","Piper hops away to avoid pushy suitors. She leaves them a lady's favor though: three live grenades from her garter!"
"TID_MINIGUN_DUDE","PAM"
"TID_MINIGUN_DUDE_DESC","Pam is an iron-willed lady who keeps the extended Junker family in order."
"TID_MINIGUN_DUDE_WEAPON","SCRAPSTORM"
"TID_MINIGUN_DUDE_WEAPON_DESC","Pam sprays a large area with bursts of scrap metal. Safety goggles advised!"
"TID_MINIGUN_DUDE_ULTI","MAMA'S KISS"
"TID_MINIGUN_DUDE_ULTI_DESC","Pam's healing turret will fix up her and teammates who stay in its area of effect."
"TID_BONE_THROWER","BONE THROWER"
"TID_BONE_THROWER_DESC","There's nothing mini about this gunner! Handy with his massive machine gun, the Minigunner can mow down almost any number of bad guys. (Movement speed slow, immune to pushback)"
"TID_BONE_THROWER_WEAPON","MINIGUN"
"TID_BONE_THROWER_WEAPON_DESC","The Minigunner makes wielding this massive machine gun easy. He can even walk while firing it full auto!"
"TID_BONE_THROWER_ULTI","BANDAGE DISPENSER"
"TID_BONE_THROWER_ULTI_DESC","Sometimes you get scratches and flesh wounds in a high-intensity firefight. The Bandage Dispenser helps keep your whole team in fighting shape!"
"TID_BLACK_HOLE","TARA"
"TID_BLACK_HOLE_DESC","What's in the cards for you? This mystic from a far land has come to read your fortune. It says simply: DEFEAT!"
"TID_BLACK_HOLE_WEAPON","TRIPLE TAROT"
"TID_BLACK_HOLE_WEAPON_DESC","Tara flicks her wrist, snapping off three tarot cards that pierce through enemies. Quite a trick!"
"TID_BLACK_HOLE_ULTI","GRAVITY"
"TID_BLACK_HOLE_ULTI_DESC","Tara conjures up a mind-boggling gravity well! Enemies in the area of effect get pulled in, crashing together painfully hard."
"TID_TURRET_DAMAGE","Turret Damage"
"TID_TURRET_HEALTH","Turret Health"
"TID_STAT_DAMAGE_PER_SECOND","Damage per second"
"TID_STAT_DAMAGE_PER_SECOND_EACH","Damage per second"
"TID_STAT_DAMAGE_PER_STRIKE","Damage per punch"
"TID_ROBOT","DEPUTY IRONS"
"TID_ROBOT_DESC","Built to serve. Deputized to destroy."
"TID_ROBOT_WEAPON","ROCKET SNIPE"
"TID_ROBOT_WEAPON_DESC","Deputy Irons shoots an explosive rocket at extreme ranges with mechanical precision."
"TID_ROBOT_ULTI","CROWD CONTROL"
"TID_ROBOT_ULTI_DESC","When extreme measures are called for, Deputy Irons can rain down a barrage of rockets on the unruly crowd."
"TID_ARMOR_STAT","Health"
"TID_HEALTH","Health"
"TID_STAT_GRENADE_DAMAGE","Damage per grenade"
"TID_STAT_MISSILE_DAMAGE","Damage per rocket"
"TID_STAT_HEALTH","Hit points"
"TID_STAT_SPEED","Speed"
"TID_STAT_DAMAGE","Damage"
"TID_STAT_DAMAGE_PER_SHOT","Damage per bullet"
"TID_STAT_DAMAGE_PER_SHELL","Damage per shell"
"TID_STAT_HAMMER_DAMAGE","Damage every 0.2 sec"
"TID_BATTLE","BATTLE"
"TID_QUIT","Exit"
"TID_MATCHMAKING_QUIT","Exit"
"TID_MATCHMAKING_HEADING","Searching for players"
"TID_MATCHMAKING_TIME_LABEL","Game starts in:"
"TID_MATCHMAKING_PLAYERS","Players found <x>/<y>"
"TID_BUTTON_CANCEL","Cancel"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","Welcome to Brawl Stars!"
"TID_ENTER_NAME_BODY","What's your name?"
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_MATCHMAKING_TIME","Time to start <TIME>"
"TID_SUPERCELL_ID_TITLE","Supercell ID"
"TID_SUPERCELL_ID_BUTTON_CONNECTED","Connected"
"TID_SUPERCELL_ID_BUTTON_DISCONNECTED","Connect"
"TID_SUPERCELL_ID_LOGIN_BUTTON","Login"
"TID_SUPERCELL_ID_NEW_GAME_BUTTON","Play without"
"TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID","Do you want to load another progress with XP level <number>? Load it by logging in with your Supercell ID."
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Error!"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client and server are out of sync!"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Reload game"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Connection error"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Unable to connect with the server. Check your internet connection and try again."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Try again"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Login failed"
"TID_ERROR_POP_UP_LOGIN_FAILED","Please try again later."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Try again"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Anyone there?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Click the button below to reload the game."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Reload game"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Update is available!"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Good news! A new version of Brawl Stars is available."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Update"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance break"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Sorry, the servers are under maintenance. Please try again later."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Try again"
"TID_ERROR_POP_UP_BANNED_TITLE","You have been banned!"
"TID_ERROR_POP_UP_BANNED","You have been banned temporarily"
"TID_ERROR_POP_UP_BANNED_BUTTON","Okay"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Contact Support"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","More Info"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Important Notice"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap Okay to accept our Terms and Privacy Policy."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","Okay"
"TID_SERVER_ERROR_TITLE","Server error <number>"
"TID_SERVER_ERROR","You were disconnected during combat."
"TID_SERVER_ERROR_BUTTON","Okay"
"TID_COME_BACK_NOTIFICATION_SMALL","How about another Battle?"
"TID_COME_BACK_NOTIFICATION_MEDIUM","How about another Battle?"
"TID_COME_BACK_NOTIFICATION_LARGE","How about another Battle?"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connection lost"
"TID_ERROR_POP_UP_CONNECTION_LOST","Please try logging in again!"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Retry login"
"TID_TROPHIES","Trophies"
"TID_PRACTICE","PRACTICE"
"TID_READY","Ready"
"TID_BATTLE_END_TITLE_VICTORY","VICTORY!"
"TID_BATTLE_END_TITLE_DEFEAT","DEFEAT"
"TID_BATTLE_END_TITLE_DRAW","Draw"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","Survived for <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","You are #1!"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Rank: <RANK>"
"TID_BATTLE_END_TVST_DRAW_DESC","Game ended in a draw because both teams collected the same amount of gems!"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_IN_TEAM","Boss defeated in <TIME>"
"TID_BATTLE_END_TITLE_1VS5_YOU_WIN_AS_BOSS","Survived <TIME>"
"TID_BATTLE_END_RETURN_HOME","EXIT"
"TID_BATTLE_END_NEXT","Next"
"TID_BATTLE_END_TAP","tap to proceed"
"TID_BATTLE_END_NO_PRACTISE_TROPHIES","NO TROPHIES FROM PRACTICE"
"TID_BATTLE_END_XP_CAPPED","All experience collected for today"
"TID_BATTLE_END_PLAY_AGAIN","PLAY AGAIN"
"TID_BATTLE_END_PLAY_AGAIN_CANCEL","CANCEL"
"TID_BATTLE_END_PLAY_AGAIN_READY_PLAYERS","<WAITING>/<TOTAL>"
"TID_BATTLE_END_PLAY_AGAIN_PLAYERS","<caaaaaa><TOTAL></c>"
"TID_BATTLE_END_PLAY_AGAIN_TIMER","<TIME>"
"TID_BATTLE_END_NEW_MEMBER_TO_GAMEROOM","<NAME> joined your game room"
"TID_RESPAWNING","Back in:\n<n1>"
"TID_TEAMS_POPUP_TITLE","GAME ROOMS"
"TID_TEAMS_POPUP_SUBTITLE_IN_CLAN","Band & Friend Game Rooms"
"TID_TEAMS_POPUP_SUBTITLE_NOT_IN_CLAN","JOIN A BAND TO SEE ACTIVE GAMES HERE"
"TID_TEAMS_POPUP_SEARCH","JOIN WITH CODE"
"TID_TEAMS_POPUP_CREATE","CREATE ROOM"
"TID_TEAM_SEARCH_POPUP_TITLE","JOIN ROOM WITH CODE"
"TID_TEAM_SEARCH_POPUP_SEARCH","JOIN"
"TID_TEAM_JOIN_ROOM_CODE","Input room code here..."
"TID_TEAM_CHANGE_MAP","CHANGE"
"TID_TEAM_ENTRY_GAME_INFO","<MODE> at <LOC>"
"TID_TEAM_TYPE_INFO_0","Ranked"
"TID_TEAM_TYPE_INFO_1","Friendly"
"TID_TEAM_TYPE_INFO_2","Ticketed"
"TID_TEAM_MEMBER_LEFT_0","You left the room."
"TID_TEAM_MEMBER_LEFT_1","You were kicked from room."
"TID_TEAM_MEMBER_LEFT_2","Room closed because the event expired."
"TID_TEAM_MEMBER_LEFT_3","Room closed because room creator quit the room."
"TID_TEAM_GAME_STARTING","Game starting"
"TID_TEAM_CODE_COPIED","Code copied to the clipboard"
"TID_TEAM_MEMBER_INVITE_STATUS_1","<c00ff00>INVITE PENDING</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_2","<ccc0000>DECLINED</c>"
"TID_TEAM_MEMBER_INVITE_STATUS_3","<c0000cc>TARGET OFFLINE</c>"
"TID_TEAM_MEMBER_CANCEL_INVITE_INFO","tap to cancel"
"TID_TEAM_ERROR_1","Room server error"
"TID_TEAM_ERROR_2","Cannot join room. Room is full."
"TID_TEAM_ERROR_3","Cannot join room. Room has already been disbanded."
"TID_TEAM_ERROR_5","Invalid room code. Please check that the code is correct."
"TID_TEAM_ERROR_6","Cannot find a room with the given code."
"TID_TEAM_ERROR_7","Cannot join room. You cannot rejoin a room you have been kicked out of."
"TID_TEAM_ERROR_8","Check side settings. No side can have more than 3 players."
"TID_TEAM_ERROR_10","Cannot create room. You are already in a room."
"TID_TEAM_ERROR_11","Cannot create room. Event has expired."
"TID_TEAM_ERROR_12","Cannot join room. Room has expired."
"TID_TEAM_ERROR_14","Cannot create room. This event does not support team play."
"TID_TEAM_ERROR_15","Cannot join room. This room is not in your region."
"TID_TEAM_ERROR_17","Cannot start game. Duplicate Brawlers are not allowed."
"TID_TEAM_ERROR_18","Cannot start game. Game is going down for maintenance."
"TID_TEAM_ERROR_19","Cannot kick room creator while he is online."
"TID_TEAM_ERROR_20","Cannot change map. Too many players for this map"
"TID_TEAM_ERROR_21","Cannot start game. Not enough tickets"
"TID_TEAM_ERROR_22","Cannot change map. Too many players"
"TID_TEAM_ERROR_24","Invite failed. No friend found"
"TID_TEAM_ERROR_25","Invite failed. Game room is full"
"TID_TEAM_ERROR_26","Invite rejected"
"TID_TEAM_ERROR_27","Invite failed. Player is not currently accepting game room invites"
"TID_TEAM_ERROR_28","Invite failed. Player went offline"
"TID_TEAM_ERROR_29","Invite failed. Player is already in a game room"
"TID_TEAM_ERROR_30","Cannot start game because of a pending invitation"
"TID_TEAM_ERROR_31","Cannot change event while there's a pending invitation"
"TID_SELECT_LOCATION_TITLE","CHOOSE MAP"
"TID_SELECT_LOCATION_LOCATIONS","FRIENDLY"
"TID_SELECT_LOCATION_EVENTS","RANKED"
"TID_TEAM_SEARCH_INVALID_CODE","Invalid room code. Please check that the code is correct."
"TID_TEAM_LEAVE","LEAVE"
"TID_TEAM_JOIN","Join"
"TID_TEAM_READY_BUTTON_LABEL","I'M READY"
"TID_TEAM_CANCEL_READY","Cancel"
"TID_TEAM_QUIT","EXIT"
"TID_TEAM_TEAMCODE","Room code"
"TID_TEAM_TEAMCODE_DESC","Your friends can access the room using this code"
"TID_TEAM_WAITING_FOR_PLAYER","Invite with room code"
"TID_TEAM_NO_MEMBER","BOT"
"TID_TEAM_NO_MEMBER_INVITE","INVITE"
"TID_TEAMCREATE_EVENT","Map"
"TID_TEAM_KICK","Kick"
"TID_TEAM_PROFILE","Profile"
"TID_TEAM_SWAP","Swap Side"
"TID_TEAM_SWAP_HERE","Swap Here"
"TID_TEAM_CREATOR_ONLY_FEATURE","Available for room creator only"
"TID_TEAM_PROFILE_BLOCKED","Not viewable while Ready"
"TID_TEAM_FEATURE_BLOCKED_WHILE_READY","Not available while Ready"
"TID_TEAM_TOGGLE_TEAM","Toggle side"
"TID_TEAM_SIDE_LABEL","Side</c>"
"TID_TEAM_SIDE_2","<c999999>Random</c>"
"TID_TEAM_SIDE_0","<cffd700>A</c>"
"TID_TEAM_SIDE_1","<c00ffff>B</c>"
"TID_TEAM_PRACTISE_BUTTON_LABEL","PRACTICE"
"TID_TEAM_PRACTISE_BUTTON_SUBLABEL","with bots"
"TID_TEAM_LOOT_UNLOCKS","REWARDS"
"TID_BONUS_REWARD","Bonus Reward for 3 victories:"
"TID_BONUS_REWARD_COLLECTED","Bonus Reward claimed"
"TID_INFO_SERVER_ERROR_TITLE","Server error"
"TID_INFO_SERVER_ERROR_BUTTON","Reload game"
"TID_RARITY_NAME_0","League Reward"
"TID_RARITY_NAME_1","Rare"
"TID_RARITY_NAME_2","Super Rare"
"TID_RARITY_NAME_3","Epic"
"TID_RARITY_NAME_4","Mythic"
"TID_RARITY_NAME_5","Legendary"
"TID_RARITY_COLOR_0","B9EAFF"
"TID_RARITY_COLOR_1","68FD58"
"TID_RARITY_COLOR_2","5AB3FF"
"TID_RARITY_COLOR_3","D850FF"
"TID_RARITY_COLOR_4","FE5E72"
"TID_RARITY_COLOR_5","FFF11E"
"TID_HERO_SCREEN_DIM_COLOR","164382"
"TID_RANK_UP_POPUP_TITLE","RANK UP!"
"TID_RANK_UP_POPUP_REWARD_BONUS","RANK UP BONUS"
"TID_RANK_UP_POPUP_RANK","RANK <RANK>"
"TID_RANK_UP_POPUP_HEADER","Congratulations for reaching"
"TID_NAME_FAILED_TOO_SHORT","Name too short!"
"TID_NAME_FAILED_PROFANITIES","Name not accepted!"
"TID_NAME_FAILED","Name not accepted!"
"TID_EVENT_STARTED","New <GAMEMODE> map open! New rewards available!"
"TID_SELECT_HERO_INFO_1","<cFF8000>Players vs Players</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Players vs Bots</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Play solo with Bots</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Players vs Players</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Play solo with Bots</c>"
"TID_SELECT_HERO_INFO_FRIENDLY","<c40E0D0>All Brawlers Are Fully Upgraded In Friendly Games</c>"
"TID_SELECT_HERO_INFO_RANK_REWARD","To Receive The Power Points"
"TID_SELECT_HERO_POW_INFO_TITLE","POWER POINTS REWARD"
"TID_SELECT_HERO_POW_INFO_BODY","CHOOSE A BRAWLER TO\nRECEIVE THE POWER POINTS"
"TID_NAVI_1","Shop"
"TID_NAVI_2","News"
"TID_NAVI_3","Battle"
"TID_NAVI_4","Brawlers"
