"TID","FR"
"TID_ROBOT_WEAPON_DESC","Les adjoints tirent des roquettes à une distance considérable et avec une précision redoutable."
"TID_ROBOT_ULTI_DESC","Circonstances exceptionnelles, mesures exceptionnelles : une pluie de roquettes fait généralement l'affaire."
"TID_ARMOR_STAT","Santé"
"TID_HEALTH","Santé"
"TID_STAT_GRENADE_DAMAGE","Dégâts par grenade"
"TID_STAT_MISSILE_DAMAGE","Dégâts par roquette"
"TID_STAT_HEALTH","Points de vie"
"TID_STAT_SPEED","Vitesse"
"TID_STAT_DAMAGE","Dégâts"
"TID_STAT_DAMAGE_PER_SHOT","Dégâts par balle"
"TID_STAT_DAMAGE_PER_SHELL","Dégâts par obus"
"TID_STAT_HAMMER_DAMAGE","Dégâts toutes les 0,2 sec"
"TID_QUIT","Abandonner"
"TID_MATCHMAKING_QUIT","Abandonner"
"TID_MATCHMAKING_HEADING","Recherche de joueurs"
"TID_MATCHMAKING_TIME_LABEL","Début du jeu dans :"
"TID_MATCHMAKING_PLAYERS","Joueurs trouvés <x>/<y>"
"TID_BUTTON_CANCEL","Annuler"
"TID_BUTTON_OK","OK"
"TID_ENTER_NAME_TITLE","Bienvenue à Brawl Stars !"
"TID_ENTER_NAME_BODY","Quel est votre nom ?"
"TID_TIME_DAYS","j"
"TID_TIME_HOURS","h"
"TID_MATCHMAKING_TIME","Temps avant le début <TIME>"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Erreur !"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Erreur de synchronisation client/serveur."
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Recharger le jeu"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","Erreur de connexion"
"TID_ERROR_POP_UP_CONNECTION_FAILED","La connexion au serveur a échoué. Veuillez vérifier votre connexion Internet et réessayez."
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Réessayer"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Échec de la connexion"
"TID_ERROR_POP_UP_LOGIN_FAILED","Veuillez réessayer plus tard."
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Réessayer"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Vous êtes toujours là ?"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Sélectionnez le bouton ci-dessous pour recharger le jeu."
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Recharger le jeu"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Mise à jour disponible !"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Bonne nouvelle ! Une nouvelle version de Brawl Stars est disponible."
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Mettre à jour"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Les serveurs sont en cours de maintenance. Veuillez réessayer plus tard."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Réessayer"
"TID_ERROR_POP_UP_BANNED_TITLE","Vous avez été exclu."
"TID_ERROR_POP_UP_BANNED","Vous avez été temporairement exclu"
"TID_ERROR_POP_UP_BANNED_BUTTON","OK"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","Contacter l'assistance"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Plus d'infos"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Informations importantes"
"TID_INFO_POP_UP_IAP_NOTE","Brawl Stars est un jeu gratuit mais vous pouvez progresser plus rapidement grâce aux achats intégrés (à désactiver dans les paramètres de votre appareil). Appuyez sur OK pour accepter nos conditions d'utilisation et notre politique de confidentialité."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_SERVER_ERROR_TITLE","Erreur du serveur <number>"
"TID_SERVER_ERROR","Votre connexion a été interrompue pendant le combat."
"TID_SERVER_ERROR_BUTTON","OK"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connexion interrompue"
"TID_ERROR_POP_UP_CONNECTION_LOST","Veuillez essayer de vous reconnecter"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Reconnexion"
"TID_TROPHIES","Trophées"
"TID_READY","Prêt"
"TID_BATTLE_END_TITLE_DRAW","Égalité"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","A survécu pendant <TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","Vous êtes #1 !"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","Classement : <RANK>"
"TID_BATTLE_END_NEXT","Suivant"
"TID_BATTLE_END_TAP","touchez pour continuer"
"TID_RESPAWNING","Nouvelle vie dans :\n<n1>"
"TID_TEAM_ENTRY_GAME_INFO","<MODE> à <LOC>"
"TID_TEAM_MEMBER_LEFT_0","Vous avez quitté la salle."
"TID_TEAM_MEMBER_LEFT_1","Vous avez été exclu de la salle."
"TID_TEAM_GAME_STARTING","Démarrage du jeu"
"TID_TEAM_CODE_COPIED","Code copié dans le presse papier"
"TID_TEAM_ERROR_1","Erreur du serveur de salle"
"TID_TEAM_ERROR_2","Vous ne pouvez pas rejoindre cette salle. Elle est déjà pleine."
"TID_TEAM_ERROR_3","Vous ne pouvez pas rejoindre cette salle. Elle a déjà été dissoute."
"TID_TEAM_ERROR_5","Code de salle non valide. Veuillez vérifier que le code est correct."
"TID_TEAM_ERROR_6","Nous ne trouvons pas de salle avec ce code."
"TID_TEAM_ERROR_7","Vous ne pouvez pas rejoindre cette salle. Vous en avez été exclu."
"TID_TEAM_ERROR_8","Veuillez vérifier les paramètres. Il ne peut pas y avoir plus de 3 joueurs par équipe."
"TID_TEAM_ERROR_10","La création de salle a échoué. Vous êtes déjà dans une salle."
"TID_TEAM_ERROR_11","La création de salle a échoué. L'évènement est terminé."
"TID_TEAM_ERROR_12","Vous ne pouvez pas rejoindre cette salle. Elle a expiré."
"TID_TEAM_ERROR_15","Vous ne pouvez pas rejoindre cette salle. Elle n'est pas accessible depuis votre région."
"TID_TEAM_ERROR_17","Le jeu ne peut pas démarrer. Les brawlers en double ne sont pas autorisés."
"TID_TEAM_ERROR_18","Le jeu ne peut pas démarrer. Il va être désactivé pour la maintenance."
"TID_TEAM_ERROR_19","Vous ne pouvez pas exclure le créateur d'une salle quand il est en ligne."
"TID_TEAM_ERROR_21","Le jeu ne peut pas démarrer. Pas assez de tickets."
"TID_TEAM_SEARCH_INVALID_CODE","Code de salle non valide. Veuillez vérifier que le code est correct."
"TID_TEAM_JOIN","Rejoindre"
"TID_TEAM_CANCEL_READY","Annuler"
"TID_TEAM_TEAMCODE","Code de la salle"
"TID_TEAM_TEAMCODE_DESC","Vos amis peuvent trouver votre salle grâce à ce code"
"TID_TEAM_WAITING_FOR_PLAYER","Inviter avec un code de salle"
"TID_TEAM_KICK","Exclure"
"TID_TEAM_SWAP","Changer de côté"
"TID_TEAM_SWAP_HERE","Changer ici"
"TID_TEAM_TOGGLE_TEAM","Modifier les équipes"
"TID_TEAM_SIDE_LABEL","Équipe</c>"
"TID_TEAM_SIDE_2","<c999999>Aléatoire</c>"
"TID_TEAM_SIDE_0","<cffd700>A</c>"
"TID_TEAM_SIDE_1","<c00ffff>B</c>"
"TID_BONUS_REWARD","Récompense bonus pour 3 victoires :"
"TID_BONUS_REWARD_COLLECTED","Récompense bonus récupérée"
"TID_INFO_SERVER_ERROR_TITLE","Erreur du serveur"
"TID_INFO_SERVER_ERROR_BUTTON","Recharger le jeu"
"TID_RARITY_NAME_1","Rare"
"TID_RARITY_NAME_2","Super rare"
"TID_RARITY_NAME_3","Épique"
"TID_RARITY_NAME_4","Mythique"
"TID_RARITY_NAME_5","Légendaire"
"TID_RANK_UP_POPUP_REWARD_BONUS","BONUS DE CLASSEMENT"
"TID_RANK_UP_POPUP_RANK","CLASSEMENT <RANK>"
"TID_NAME_FAILED_TOO_SHORT","Nom trop court"
"TID_NAME_FAILED_PROFANITIES","Nom non accepté"
"TID_NAME_FAILED","Nom non accepté"
"TID_SELECT_HERO_INFO_1","<cFF8000>Joueurs contre joueurs</c>"
"TID_SELECT_HERO_INFO_2","<c2288ff>Joueurs contre bots</c>"
"TID_SELECT_HERO_INFO_3","<c40E0D0>Jouer solo avec des bots</c>"
"TID_SELECT_HERO_INFO_1_6","<cFF8000>Joueurs contre joueurs</c>"
"TID_SELECT_HERO_INFO_3_6","<c40E0D0>Jouer solo avec des bots</c>"
"TID_NAVI_1","Magasin"
"TID_NAVI_4","Brawlers"
"TID_BATTLE_MAIN_NEXT_REWARD","Prochaine récompense : <VALUE>/<MAX>"
"TID_BATTLE_MAIN_COLLECTED_COINS","<VALUE> récupéré"
"TID_HERO_INFO_BACK","RETOUR"
"TID_HERO_INFO_UPGRADE","AMÉLIORER"
"TID_HERO_INFO_ABILITY_LEVEL","NIV. <LEVEL>/<MAXLEVEL>"
"TID_HERO_INFO_CRAFT_HERO","Acheter brawler"
"TID_HERO_INFO_ITEM_RARITY","<c<COLOR>><NAME></c>"
"TID_MATCHMAKE_FAILED_5","La rencontre a échoué : l'évènement est terminé"
"TID_MATCHMAKE_FAILED_7","La rencontre a échoué : le membre de la salle s'est déconnecté"
"TID_MATCHMAKE_FAILED_9","La rencontre a échoué : la maintenance va commencer"
"TID_SUDDEN_DEATH_TIMER","<n1>"
"TID_OWN_TEAM_WINNING","L'équipe bleue va gagner dans :"
"TID_ENEMY_TEAM_WINNING","L'équipe rouge va gagner dans :"
"TID_OWN_TEAM","Équipe bleue"
"TID_ENEMY_TEAM","Équipe rouge"
"TID_COUNTDOWN","COMPTE À REBOURS"
"TID_HERO_LIST_DO_GATCHA","Ouvrir la brawl box"
"TID_HERO_LOCKED_CANNOT_VIEW","Touchez le bouton roulette pour débloquer des brawlers"
"TID_DAILY_COINS_COLLECTED","Récupéré"
"TID_TEAM_BATTLE","CRÉER"
"TID_TEAM_UNREADY","pas prêt"
"TID_TEAM_WAITING_WHILE_READY","Vous êtes prêt !\nEn attente d'autres joueurs."
"TID_GATCHA_SCREEN_OK","Cool !"
"TID_GATCHA_SCREEN_TAP","Touche ! Touche !"
"TID_GATCHA_SCREEN_COIN_DOUBLER_VALUE","+ <AMOUNT>"
"TID_NAVI_BLOCKED_1","Vous ne pouvez plus changer de page une fois prêt !"
"TID_TEAM_MEMBER_INFO_READY","<NAME> attend que les autres soient prêts"
"TID_TEAM_MEMBER_INFO_NOT_READY","<NAME> n'est pas encore prêt à jouer"
"TID_TEAM_MEMBER_INFO_SELF_READY","Vous ne pouvez plus changer de brawler une fois prêt !"
"TID_TEAM_CHANGE_EVENT_BLOCKED","Vous ne pouvez plus changer d'évènement une fois prêt !"
"TID_TEAM_INFO_TEAM_CODE","Partagez le code avec vos amis pour les inviter à rejoindre votre salle de jeu !\n\nTouchez encore une fois pour copier dans le presse-papier."
"TID_FREEZER","Congélateur"
"TID_GAME_OVER","Match terminé"
"TID_LEVEL","Niv. <LVL>"
"TID_PLAYERS_IN_MM","Il y a des joueurs en attente d'une rencontre !"
"TID_ONLINE_INFO","Joueurs en ligne : <ONLINE> dans les rencontres : <MATCHMAKE> dans un match : <BATTLES>"
"TID_INPUT_NAME","Tapez votre nom ici"
"TID_LEADERBOARD_YOUR_SCORE","Votre score"
"TID_LEADERBOARD_YOUR_RANK","Votre classement"
"TID_LEADERBOARD_HIGHEST_SCORE","Votre meilleur score"
"TID_SET_REGION_RESULT_0","Votre région a été changée à <REGION>"
"TID_SET_REGION_RESULT_1","Changement de région impossible car vous êtes dans une bande"
"TID_SET_REGION_RESULT_2","Changement de région impossible car vous êtes dans une salle de jeu"
"TID_VICTORY_CONDITION_COINRUSH_TITLE","Attrape-cristal"
"TID_BATTLE_END_MY_TEAM","Votre équipe"
"TID_BATTLE_END_ENEMY_TEAM","Équipe adverse"
"TID_BACK","RETOUR"
"TID_UNLOCK_SKIN_ERROR_1","Pas assez de gemmes"
"TID_EXPERIENCE_LEVEL","Niveau d'expérience"
"TID_BOT_1","Bot 1"
"TID_BOT_2","Bot 2"
"TID_BOT_3","Bot 3"
"TID_BOT_4","Bot 4"
"TID_BOT_5","Bot 5"
"TID_BOT_6","Bot 6"
"TID_BOT_7","Bot 7"
"TID_BOT_8","Bot 8"
"TID_BOT_9","Bot 9"
"TID_CRAFT_HERO_TITLE","Acheter brawler"
"TID_CRAFT_HERO_BUTTON_LABEL","Acheter"
"TID_UNLOCK_SKIN_TITLE","Acheter skin"
"TID_UNLOCK_SKIN_BUTTON_LABEL","Acheter"
"TID_HERO_LIST_TOTAL_TROPHIES","Total des trophées"
"TID_GAME_MODE_2","HEIST"
"TID_GAME_MODE_3","BOUNTY"
"TID_GAME_MODE_3_DESC","Traquez l'équipe adverse et obtenez des étoiles. L'équipe qui termine avec le plus d'étoiles gagne le match !"
"TID_GAME_MODE_6_DESC","Descendez les neuf autres joueurs et soyez le seul survivant. Tous est permis : vous n'avez qu'une vie..."
"TID_GAME_MODE_5","BRAWL BALL"
"TID_BATTLE_END_GAIN_LABEL_RANK_UP","Amélioration classement"
"TID_BATTLE_END_GAIN_LABEL_LEVEL_UP","Niveau supérieur"
"TID_BATTLE_END_GAIN_LABEL_VICTORY","Victoire"
"TID_BATTLE_END_GAIN_LABEL_DEFEAT","Défaite"
"TID_BATTLE_END_GAIN_LABEL_DRAW","Égalité"
"TID_BATTLE_END_GAIN_LABEL_MVP","Joueur star"
"TID_BATTLE_END_GAIN_LABEL_SURVIVAL","Classement"
"TID_BATTLE_END_MVP","JOUEUR STAR"
"TID_BATTLE_END_DEFEAT_INFO","Vous gagnerez une prochaine fois !"
"TID_TUTORIAL_9","Vous êtes un brawler né !\n\nÀ l'attaque !"
"TID_HERO_SCORE_INFO_MAXED","Vous avez atteint le niveau maximum."
"TID_XP_INFO_OTHER","Niveau d'expérience du joueur"
"TID_ALLIANCE_TYPE_OPEN","Ouvert"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Sur invitation"
"TID_ALLIANCE_TYPE_CLOSED","Fermé"
"TID_STREAM_ENTRY_AGE","il y a <time>"
"TID_ALLIANCE_ROLE_LEADER","Chef"
"TID_ALLIANCE_ROLE_CO_LEADER","Sous-chef"
"TID_ALLIANCE_ROLE_MEMBER","Membre"
"TID_ALLIANCE_ROLE_ELDER","Aîné"
"TID_STREAM_SENDER_YOU","Vous"
"TID_GOLDRUSH_1","Mine hard rock"
"TID_BANKHEIST_1","Cache de bandit"
"TID_WANTED_1","Temple en ruines"
"TID_BATTLE_ROYALE_1","Crique du crâne"
"TID_GOLDRUSH_2","Caverne de cristal"
"TID_BANKHEIST_2","Boum canyon"
"TID_WANTED_2","Camp hors-la-loi"
"TID_BATTLE_ROYALE_2","Plaines orageuses"
"TID_GOLDRUSH_3","Grotte champignon"
"TID_BANKHEIST_3","Zone sûre"
"TID_WANTED_3","Place argile"
"TID_BATTLE_ROYALE_3","Vallée de la mort"
"TID_WANTED_4","Potager de choux"
"TID_GOLDRUSH_4","Boîte d'os"
"TID_WANTED_5","Ravin aux étoiles"
"TID_GOLDRUSH_5","Catacombes du temple"
"TID_WANTED_6","Prairie aux serpents"
"TID_WANTED_7","Étoile filante"
"TID_BATTLE_ROYALE_4","Famine ou festin"
"TID_WANTED_8","Terrier du sanglier"
"TID_BANKHEIST_4","G.G. Corral"
"TID_CLAN_TOTAL_TROPHIES","Trophées de la bande"
"TID_CLAN_INFO_TAG","Code de la bande"
"TID_CLAN_INFO_MESSAGE","Message"
"TID_CLAN_INFO_REQUEST_JOIN","Demander à rejoindre"
"TID_CLAN_SEARCH_NO_RESULTS","Aucune bande trouvée"
"TID_CLAN_INFO_MEMBERS","Membres"
"TID_ALLIANCE_CREATE_OK","Bande créée avec succès"
"TID_TITLE_ALLIANCE","Informations bande"
"TID_ALLIANCE_LEFT","Vous avez quitté la bande"
"TID_CLAN_MEMBER_DEMOTE","Rétrograder"
"TID_CLAN_MEMBER_PROMOTE","Promouvoir"
"TID_CLAN_MEMBER_KICK","Exclure"
"TID_CLAN_MEMBER_VIEW_ALLIANCE","Voir bande"
"TID_BUTTON_INVITE","Inviter"
"TID_PLAYER_INFO_GOTO_CLAN","Voir bande"
"TID_PLAYER_INFO_HEROES","Brawlers (<FOUND>/<TOTAL>)"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_2","Cet avatar sera débloqué au niveau <LEVEL>"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_3","Cet avatar sera débloqué avec <TROPHIES> trophées gagnés"
"TID_SELECT_PLAYER_THUMBNAIL_FAIL_5","Cet avatar sera débloqué avec <POINTS> points de saison"
"TID_NO_CLAN","Pas dans une bande"
"TID_ULTIMATE_NOT_READY","Infligez des dégâts aux ennemis pour charger la super attaque"
"TID_CANT_ACTIVATE_ULTI","Super attaque non disponible si vous avez perdu"
"TID_NAME_TOO_SHORT","Ce nom est trop court"
"TID_ALLIANCE_JOINED","Bande rejointe"
"TID_BOUNTY_HUNTER_INTRO_TEXT","Battez des brawlers pour des étoiles"
"TID_ALLIANCE_PROMOTE_TITLE","Confirmez promotion"
"TID_ALLIANCE_PROMOTE_CONFIRMATION","Êtes-vous sûr de vouloir promouvoir <NAME> à <ROLE> ?"
"TID_ALLIANCE_PROMOTE_BUTTON","Promouvoir"
"TID_ALLIANCE_KICK_TITLE","Confirmer exclusion"
"TID_ALLIANCE_KICK_CONFIRMATION","Êtes-vous sûr de vouloir exclure <NAME> de la bande ?"
"TID_ALLIANCE_KICK_BUTTON","Exclure"
"TID_ALLIANCE_DEMOTE_TITLE","Confirmer rétrograder"
"TID_ALLIANCE_DEMOTE_CONFIRMATION","Êtes-vous sûr de vouloir rétrograder <NAME> à <ROLE> ?"
"TID_ALLIANCE_DEMOTE_BUTTON","Rétrograder"
"TID_CLAN_RESPONSE_10","Paramètres sauvegardés"
"TID_CLAN_RESPONSE_20","Bande créée"
"TID_CLAN_RESPONSE_22","Nom non accepté"
"TID_CLAN_RESPONSE_40","Bande rejointe"
"TID_CLAN_RESPONSE_42","Échec : bande déjà pleine"
"TID_CLAN_RESPONSE_43","Échec : bande fermée"
"TID_CLAN_RESPONSE_45","Échec : vous n'avez pas assez de trophées pour rejoindre cette bande"
"TID_CLAN_RESPONSE_46","Échec : vous êtes exclu de cette bande à cause d'une exclusion précédente/requête pour rejoindre rejetée."
"TID_CLAN_RESPONSE_47","Échec : vous avez déjà essayé de rejoindre trop de bandes aujourd'hui."
"TID_CLAN_RESPONSE_48","Échec : cette bande n'est pas dans votre région."
"TID_CLAN_RESPONSE_50","Requête pour rejoindre envoyée"
"TID_CLAN_RESPONSE_51","Requête non envoyée : cette bande n'accepte plus de requêtes"
"TID_CLAN_RESPONSE_52","Requête non envoyée : vous avez déjà une requête en attente pour cette bande"
"TID_CLAN_RESPONSE_53","Requête non envoyée :vous n'avez pas assez de trophées pour rejoindre cette bande"
"TID_CLAN_RESPONSE_54","Votre requête a échoué : vous êtes exclu de cette bande à cause d'une exclusion précédente/requête pour rejoindre rejetée."
"TID_CLAN_RESPONSE_55","Votre requête a échoué : cette bande n'est pas dans votre région."
"TID_CLAN_RESPONSE_70","Exclusion confirmée"
"TID_CLAN_RESPONSE_80","Vous avez quitté la bande"
"TID_CLAN_RESPONSE_81","Promotion réussie"
"TID_CLAN_RESPONSE_82","Rétrogradé"
"TID_CLAN_RESPONSE_90","Accepter le succès"
"TID_CLAN_RESPONSE_91","Rejeter le succès"
"TID_CLAN_RESPONSE_92","Échec : le joueur est déjà dans une bande"
"TID_CLAN_RESPONSE_93","Échec de la commande : nous ne trouvons pas cette requête"
"TID_CLAN_RESPONSE_94","Échec de la commande : requête en cours de traitement"
"TID_CLAN_RESPONSE_95","Échec de la commande : pas de droits"
"TID_CLAN_RESPONSE_96","Échec de l'acceptation : ce joueur a déjà été banni de la bande"
"TID_CLAN_RESPONSE_100","Vous avez été exclu d'une bande"
"TID_CLAN_RESPONSE_101","Vous avez été promu"
"TID_CLAN_RESPONSE_102","Vous avez été rétrogradé"
"TID_ALLIANCE_NAME_TOO_SHORT","Nom de bande trop court"
"TID_CLAN_JOIN_REQUEST_TITLE","Demander à rejoindre la bande"
"TID_CLAN_JOIN_REQUEST_SEND","Envoyer"
"TID_CLAN_JOIN_REQUEST_DEFAULT_MESSAGE","J'aimerais rejoindre votre bande..."
"TID_CLAN_JOIN_REQUEST_ENTRY_TITLE","Accepter ce joueur dans votre bande ?"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPT","Accepter"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECT","Refuser"
"TID_CLAN_JOIN_REQUEST_ENTRY_ACCEPTED_BY","Accepté par <name>"
"TID_CLAN_JOIN_REQUEST_ENTRY_REJECTED_BY","Refusé par <name>"
"TID_HINT_DRAG_TO_AIM","Faites glisser votre doigt pour viser"
"TID_HINT_RELEASE_TO_SHOOT","Lâchez pour tirer"
"TID_HINT_DRAG_TO_ULTI","Faites glisser votre doigt pour viser, relâchez pour tirer avec la super"
"TID_HINT_GO_AFTER_ENEMY","Attaquez l'ennemi !"
"TID_HINT_SHOOT_ENEMIES","Battez vos ennemis pour des étoiles !"
"TID_HINT_YOU_ARE_WINNING","Votre équipe va gagner. N'oubliez pas la défense !"
"TID_HINT_YOU_ARE_LOSING","Votre équipe va perdre. Il faut attaquer !"
"TID_HINT_TAP_TO_MOVE","Touchez pour bouger\nRestez avec votre équipe"
"TID_BOUNTY_2","Attention : la prime sur votre tête grimpe !"
"TID_BOUNTY_3","Attention : votre prime est très élevée !"
"TID_BOUNTY_4","Mort ou vif !"
"TID_NO_CLAN_TITLE","Trouver une bande de brawlers"
"TID_NO_CLAN_BODY","Pour accéder au chat et jouer avec des gens cool, rejoignez une bande !"
"TID_NO_CLAN_SUGGESTIONS","Bandes recommandées"
"TID_NO_CLAN_RESULTS","Résultats de la recherche"
"TID_NO_CLAN_EMPTY","Aucune recommandation de bande..."
"TID_NO_CLAN_WAITING_FOR_DATA","En attente de données..."
"TID_CONNECTING_TO_SERVER","Connexion au serveur..."
"TID_TEAM_AD_INFO_0","En recherche de joueurs pour un jeu d'équipe"
"TID_TEAM_AD_JOIN","Rejoindre l'équipe"
"TID_TEAM_AD_POST_FAIL_NOT_IN_ALLIANCE","Vous devez être dans une bande pour utiliser cette fonction."
"TID_TEAM_AD_POST_FAIL_TEAM_FULL","Impossible de publier. Votre salle est pleine."
"TID_TEAM_AD_POST_FAIL_NOT_CRETOR","Autorisé uniquement pour les créateurs de salle"
"TID_TEAM_LOC_INFO","<MODE> à <LOC>"
"TID_STREAM_EVENT_1","<target> a été exclu de la bande par <sender>"
"TID_STREAM_EVENT_2","<target> a été accepté dans la bande par <sender>"
"TID_STREAM_EVENT_3","<sender> a rejoint la bande !"
"TID_STREAM_EVENT_4","<sender> a quitté la bande !"
"TID_STREAM_EVENT_5","<target> a été promu par <sender>"
"TID_STREAM_EVENT_6","<target> a été rétrogradé par <sender>"
"TID_STREAM_EVENT_102","<sender> vous a rejoint"
"TID_STREAM_EVENT_103","<sender> est parti"
"TID_STREAM_EVENT_104","<sender> a exclu <target>"
"TID_STREAM_EVENT_105","début de la rencontre"
"TID_STREAM_EVENT_106","rencontre annulée"
"TID_STREAM_EVENT_107","jeu en cours"
"TID_STREAM_EVENT_108","jeu gagné"
"TID_STREAM_EVENT_109","jeu perdu"
"TID_STREAM_EVENT_110","entraînement en cours"
"TID_STREAM_EVENT_111","entraînement terminé"
"TID_STREAM_EVENT_112","match nul"
"TID_CHAT_BOTTOM_BUTTON","Faire défiler"
"TID_CHAT_BOTTOM_NEW_MESSAGES","<count> nouveaux messages"
"TID_CHAT_BOTTOM_NEW_MESSAGE","Nouveau message"
"TID_HERO_INFO_UPGRADE_INFO","Améliorer au niv. <LVL>"
"TID_HERO_INFO_LEADERBOARD","Classement"
"TID_HERO_INFO_LEADERBOARD_LABEL","Meilleur joueurs <HERO>"
"TID_HERO_INFO_ABILITY_POWER","<BASEPOW>"
"TID_HERO_INFO_ABILITY_POWER_UPG","<BASEPOW> <c00ff00>+<UPGPOW></c>"
