"Name","FileName","StartFrame","EndFrame","FaceFreezeFrame","Speed","TransitionInMs","TransitionOutMs","AutoFadeMs","Looping","Humanoid","Priority"
"TntguyProfile","dynamike_idle.scw","20","20","","","","","","true","",""
"UndertakerIdle","mortis_idle.scw","1","32","","","200","200","","true","",""
"UndertakerAttack","mortis_attack.scw","3","30","","","","250","200","","","3"
"UndertakerWalk","mortis_walk.scw","1","32","","150","100","100","","true","","1"
"UndertakerRecoil1","mortis_attack.scw","3","30","","","","250","200","","","4"
"UndertakerUltiRecoil1","mortis_ulti.scw","5","40","","","","","200","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"UndertakerUltiAttack","mortis_ulti.scw","","5","","","","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"UndertakerPushback","mortis_pushback.scw","","-1","","","100","100","100","","","5"
"UndertakerWin","mortis_win.scw","1","77","","","","","","","","1"
"UndertakerWinloop","mortis_win.scw","77","106","","","","","","true","","1"
"UndertakerLose","mortis_lose.glb","","120","","","","","","","","1"
"UndertakerLoseloop","mortis_lose.glb","65","120","","","","","","true","","1"
"UndertakerProfile","mortis_win.scw","49","49","","","","","","","","1"
"CrowIdle","crow_idle.glb","1","29","","","100","100","","true","","1"
"CrowWalk","crow_walk.glb","1","19","","","100","100","","true","","1"
"CrowPrimary","crow_lantern_attack.glb","","5","","","100","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"CrowSecondary","crow_super.glb","","45","","","50","50","200","","","5"
"CrowRecoil","crow_attack.glb","5","20","","","","50","200","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"CrowReload","crow_idle.glb","1","20","","","100","100","200","","","hips_s#0+chest_s#5+R_clavicle_s#0+head_s#0+L_upperLeg_s#0+R_upperLeg_s#0"
"CrowPushback","crow_idle.glb","1","10","","","200","100","100","","","5"
"CrowWin","crow_win.glb","","126","","","","","","","",""
"CrowWinloop","crow_win.glb","127","165","","","","","","true","",""
"CrowLose","crow_lose.glb","","80","","","","","","","",""
"CrowLoseloop","crow_lose.glb","40","80","","","","","","true","",""
"CrowProfile","crow_idle.glb","1","1","","","","","","","",""
"BowGuyIdle","bo_idle.scw","1","29","","","100","100","","true","",""
"BowGuyWalk","bo_walk.scw","1","20","","","100","100","","true","","1"
"BowGuyAttack","bo_cupid_attack.glb","1","12","","","50","50","350","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BowGuySecondary","bo_ult.scw","1","12","","","50","50","350","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BowGuyRecoil","bo_attack.scw","13","30","","","50","50","350","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BowGuyRecoil2","bo_ult.scw","13","30","","","50","50","350","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BowGuyWin","bo_win.scw","-1","79","","","100","100","500","","",""
"BowGuyWinloop","bo_win.scw","80","120","","","100","100","200","true","",""
"BowGuyLose","bo_lose.scw","1","29","","","100","100","200","","",""
"BowGuyLoseloop","bo_lose.scw","30","79","","","100","100","200","true","",""
"BowGuyProfile","bo_idle.scw","1","1","","","","","","true","",""
"RicoIdle","rico_idle.scw","","-1","","","100","100","","true","",""
"RicoWalk","rico_walk.scw","","25","","","100","100","","true","","1"
"RicoPrimary","rico_attack.scw","5","8","","","100","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoSecondary","rico_attack.scw","5","8","","","100","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoRecoil","rico_attack.scw","8","30","","150","50","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoReload","rico_idle.scw","1","2","","","200","200","200","","",""
"RicoPushback","rico_idle.scw","","-1","","","200","100","200","","","5"
"RicoWin","rico_win.scw","1","149","","","","","","","",""
"RicoWinloop","rico_win.scw","150","210","","","","","","true","",""
"RicoLose","rico_lose.scw","1","70","","","","","","","",""
"RicoLoseloop","rico_lose.scw","70","75","","","","","","true","",""
"RicoProfile","rico_win.scw","1","1","","","","","","true","",""
"RicoPopcornIdle","rico_popcorn_idle.scw","","-1","","","100","100","","true","",""
"RicoPopcornWalk","rico_walk.scw","","-1","","120","100","100","","true","","1"
"RicoPopcornPrimary","rico_attack.scw","5","8","","","100","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoPopcornSecondary","rico_attack.scw","5","8","","","100","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoPopcornRecoil","rico_attack.scw","8","30","","150","50","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoPopcornReload","rico_popcorn_idle.scw","1","2","","","200","200","200","","",""
"RicoPopcornPushback","rico_popcorn_idle.scw","","-1","","","200","100","200","","","5"
"RicoPopcornWin","rico_popcorn_win.scw","1","149","","","","","","","",""
"RicoPopcornWinloop","rico_popcorn_win.scw","150","210","","","","","","true","",""
"RicoPopcornLose","rico_popcorn_lose.scw","1","46","","","","","","","",""
"RicoPopcornLoseloop","rico_popcorn_lose.scw","46","138","","","","","","true","",""
"RicoGoldIdle","rico_gold_idle.scw","","-1","","","100","100","","true","",""
"RicoGoldWalk","rico_gold_walk.scw","","25","","120","100","100","","true","","1"
"RicoGoldPrimary","rico_gold_attack.scw","5","8","","","100","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoGoldSecondary","rico_gold_attack.scw","5","8","","","100","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoGoldRecoil","rico_gold_attack.scw","8","30","","150","50","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RicoGoldReload","rico_gold_idle.scw","1","2","","","200","200","200","","",""
"RicoGoldPushback","rico_gold_idle.scw","","-1","","","200","100","200","","","5"
"RicoGoldWin","rico_gold_win.scw","1","150","","","","","","","",""
"RicoGoldWinloop","rico_gold_win.scw","150","210","","","","","","true","",""
"RicoGoldLose","rico_gold_lose.scw","1","82","","","","","","","",""
"RicoGoldLoseloop","rico_gold_lose.scw","82","85","","","","","","true","",""
"JunkerIdle","jessie_idle.scw","","-1","","","100","100","","true","",""
"JunkerWalk","jessie_walk.scw","","-1","","150","100","100","","true","","1"
"JunkerPrimary","jessie_attack.scw","1","5","","","","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"JunkerUltiAttack","jessie_idle.scw","","-1","","","200","200","10","true","","5"
"JunkerRecoil","jessie_attack.scw","5","15","","","","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"JunkerUltiRecoil","jessie_idle.scw","","-1","","","200","200","100","","","5"
"JunkerReload","jessie_idle.scw","","-1","","","200","200","200","","","ChestBone#2"
"JunkerPushback","jessie_pushback.scw","","-1","","","100","100","100","","","5"
"JunkerWin","jessie_win.scw","1","107","","","","","","","",""
"JunkerWinloop","jessie_win.scw","107","139","","","","","","true","",""
"JunkerLose","jessie_lose.scw","1","56","","","","","","","",""
"JunkerLoseloop","jessie_lose.scw","56","70","","","","","","true","",""
"JunkerProfile","jessie_portrait.scw","1","1","","","","","","","",""
"BarkeepIdle","barkeep_idle.scw","","-1","","","100","100","250","true","",""
"BarkeepWalk","barkeep_walk.scw","","19","","120","100","100","","true","","1"
"BarkeepPrimary","barkeep_attack1.scw","1","5","","","50","50","50","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BarkeepSecondary","barkeep_attack1.scw","1","12","","","50","50","50","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BarkeepRecoil","barkeep_attack1.scw","1","12","","60","50","50","50","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BarkeepReload","barkeep_idle.scw","","-1","","","200","200","200","","",""
"BarkeepPushback","barley_pushback.scw","","-1","","","100","100","100","","","5"
"BarkeepWin","barkeep_win.glb","","119","","","50","250","250","","",""
"BarkeepWinloop","barkeep_win.glb","40","119","","","25","","","true","",""
"BarkeepLose","barkeep_lose1.scw","","-1","","130","","","38","","",""
"BarkeepLoseloop","barkeep_loseloop1.scw","","-1","","120","","","","true","",""
"BarkeepWinidleloop","barkeep_winidleloop.scw","","-1","","","","","","true","",""
"BarkeepProfile","barkeep_win.glb","1","1","","","","","","","",""
"BarkeepIntro","barley_intro_pose.scw","","","","","","","","","",""
"SpikeIdle","spike_idle.scw","","-1","","","100","100","","true","",""
"SpikeWalk","spike_walk.scw","","-1","","","100","100","","true","","1"
"SpikePrimary","spike_attack.scw","8","20","","","","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"SpikeSecondary","spike_attack.scw","5","20","","","","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"SpikeRecoil","spike_attack.scw","8","20","","","","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"SpikeRecoil2","spike_attack.scw","5","20","","","","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"SpikeReload","spike_idle.scw","1","2","","","200","200","200","","","5"
"SpikeWin","spike_win.scw","1","43","","","","","","","","5"
"SpikeWinloop","spike_win.scw","43","63","","","","","","true","","1"
"SpikeLose","spike_lose.scw","1","79","","","","","","","","5"
"SpikeLoseloop","spike_loseloop.scw","80","-1","","","","","","true","","1"
"SpikeProfile","spike_win.scw","34","34","","","","","","","","5"
"LouchadorIdle","primo_idle.scw","1","49","","","200","200","","true","",""
"LouchadorWalk","primo_walk.scw","1","27","","120","150","150","","true","","1"
"LouchadorPrimary","primo_attack.scw","","5","","","1","100","50","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"LouchadorSecondary","primo_super.scw","","-1","","","100","100","","","","5"
"LouchadorRecoil","primo_attack.scw","5","12","","","","","50","","","hips_s#5+L_upperLeg_s#0+R_upperLeg_s#0"
"LouchadorPushback","primo_idle.scw","","20","","","100","100","400","","","5"
"LouchadorRecoil2","primo_attack.scw","16","24","","","","","50","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"LouchadorWin","primo_win.scw","1","111","","","","","","","","5"
"LouchadorWinloop","primo_win.scw","112","-1","","","","","","true","","1"
"LouchadorLose","primo_lose.scw","1","41","","","","","200","","","5"
"LouchadorLoseloop","primo_lose.scw","42","89","","","","","","true","","1"
"LouchadorProfile","primo_portrait.scw","1","1","","","","","","","","5"
"LouchadorIntro","primo_intro_pose.scw","","","","","","","","","",""
"LouchadorGadgetFlipPrimary","primo_gadget_flip_attack.scw","1","6","","","","","1","","","hips_s#0+L_upperLeg_s#0+R_upperLeg_s#0"
"LouchadorGadgetFlipRecoil","primo_gadget_flip_attack.scw","6","20","","","","","100","","","hips_s#0+L_upperLeg_s#0+R_upperLeg_s#0"
"ShamanIdle","nita_idle.scw","1","34","","","100","100","","true","",""
"ShamanWalk","nita_walk.scw","1","29","","170","100","100","","true","","1"
"ShamanAttack","nita_make_attack.glb","3","26","","","","","200","","","spine_lower_s#4"
"ShamanSecondary","nita_make_attack.glb","3","26","","","","","200","true","","spine_lower_s#4"
"ShamanRecoil","nita_make_attack.glb","3","26","","","","","200","","","spine_lower_s#4"
"ShamanReload","nita_idle.scw","","-1","","","","","100","","","ChestBone#2"
"ShamanPushback","nita_pushback.scw","","-1","","","100","100","100","","","5"
"ShamanWin","nita_win.scw","1","79","","","","","","","","5"
"ShamanWinloop","nita_win.scw","80","113","","","","","","true","","1"
"ShamanLose","nita_lose.glb","1","70","","","","","","","","5"
"ShamanLoseloop","nita_lose.glb","41","70","","","","","","true","","1"
"ShamanProfile","nita_win.scw","88","88","","","","","","true","","5"
"ShellyIdle","shelly_idle.scw","","-1","","","100","100","","true","",""
"ShellyWalk","shelly_walk.scw","1","30","","","100","100","","true","","1"
"ShellyPrimary","shelly_attack.scw","1","5","","","","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"ShellySecondary","shelly_attack.scw","1","5","","","","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ShellyRecoil","shelly_attack.scw","6","20","","","","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ShellyReload","shelly_reload.scw","1","-1","","","","","100","","","hips_s#0+L_upperLeg_s#0+R_upperLeg_s#0+R_clavicle_s#4+R_shoulder_s#4+R_elbow_s#4+R_forearm_twist_s#4+R_wrist_s#4+L_clavicle_s#4+L_shoulder_s#4+L_elbow_s#4+L_forearm_twist_s#4+L_wrist_s#4"
"ShellyPushback","shelly_pushback.scw","","-1","","","100","100","100","","","5"
"ShellyWin","shelly_win.scw","1","59","","","","","","","","5"
"ShellyWinloop","shelly_win.scw","60","102","","","","","","true","","1"
"ShellyLose","shelly_lose.scw","1","50","","","","","","","","5"
"ShellyLoseloop","shelly_lose.scw","50","130","","","","","","true","","1"
"ShellyProfile","shelly_win.scw","80","80","","","","","","true","",""
"ShellyIntro","shelly_intro_pose.scw","","","","","","","","","",""
"BearIdle","nita_bear_idle.scw","-1","-1","","","100","100","","true","",""
"BearWalk","nita_bear_walk.scw","1","40","","170","100","100","","true","","1"
"BearAttack","nita_bear_attack.scw","","-1","","","100","200","150","","","spine_lower_s#4"
"BearRecoil","nita_bear_attack.scw","-1","-1","","","1","1","50","","","spine_lower_s#4"
"BearPushback","nita_bear_idle.scw","-1","-1","","","200","300","500","","","5"
"BearWin","nita_bear_win.scw","-1","-1","","","200","300","500","","","5"
"BrockIdle","brock_redux_idle.glb","","-1","","135","74","74","","true","",""
"BrockWalk","brock_redux_run.glb","","-1","","150","100","100","","true","","1"
"BrockPrimary","brock_redux_attack.glb","","-1","","","1","300","300","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"BrockSecondary","brock_redux_attack.glb","","-1","","","1","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BrockRecoil","brock_redux_attack.glb","","-1","","","1","100","100","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"BrockRecoil2","brock_redux_attack.glb","","-1","","","1","100","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BrockPushback","brock_pushback1.scw","","-1","","","100","100","100","","","5"
"BrockWin","brock_redux_win.glb","","129","","","200","200","200","","","5"
"BrockWinloop","brock_redux_win.glb","81","129","","","100","100","100","true","","5"
"BrockLose","brock_redux_lose.glb","1","81","","","","","","","","5"
"BrockLoseloop","brock_redux_lose.glb","32","81","","","","","","true","","5"
"BrockHero","brock_win1.scw","","35","","","","200","200","","","5"
"BrockProfile","brock_redux_portrait.glb","1","1","","","","","","","","5"
"BrockBoomboxProfile","brock_boombox_idle.scw","1","1","","","","","","true","","5"
"BrockBoomboxWin","brock_boombox_win.scw","1","56","","","","","","true","","5"
"BrockBoomboxWinIntro","brock_boombox_win_intro.scw","1","95","","","","","","","","5"
"BrockCnyWalk","brock_cny_walk.scw","-1","-1","","","100","100","","true","","1"
"BullRockIdle","bull_idle.scw","","29","","","150","150","","true","",""
"BullRockWalk","bull_walk.scw","","21","","","100","100","","true","","1"
"BullRockPrimary","bull_attack.scw","1","3","","","","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"BullRockSecondary","bull_super.scw","","21","","150","66","66","133","true","","5"
"BullRockRecoil","bull_attack.scw","4","20","","","50","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BullRockReload","bull_idle.scw","1","10","","200","250","250","250","","","ChestBone#2"
"BullRockPushback","bull_rock_pushback.scw","","-1","","","100","100","100","","","5"
"BullRockWin","bull_win.glb","","54","","","","","","","","5"
"BullRockWinloop","bull_win.glb","55","91","","","","","","true","","5"
"BullRockLose","bull_lose.glb","","70","","","","","","","","5"
"BullRockLoseloop","bull_lose.glb","27","70","","","","","","true","","5"
"BullRockProfile","bull_win.glb","1","1","","","","","","true","","5"
"BullVikingIdle","bull_viking_redux_idle.glb","","29","","","150","150","","true","",""
"BullVikingWalk","bull_viking_redux_walk.glb","","21","","","100","100","","true","","1"
"BullVikingPrimary","bull_viking_redux_attack.glb","1","3","","","","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"BullVikingSecondary","bull_super.scw","","21","","150","66","66","133","true","","5"
"BullVikingRecoil","bull_viking_redux_attack.glb","4","19","","","50","","100","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BullVikingReload","bull_viking_redux_idle.glb","1","10","","200","250","250","250","","","ChestBone#2"
"BullVikingPushback","bull_rock_pushback.scw","","-1","","","100","100","100","","","5"
"BullVikingWin","bull_viking_redux_win.glb","","195","","","","","","","","5"
"BullVikingWinloop","bull_viking_redux_win.glb","149","195","","","","","","true","","5"
"BullVikingLose","bull_viking_redux_lose.glb","","49","","","","","","","","5"
"BullVikingLoseloop","bull_viking_redux_lose.glb","","49","","","","","","true","","5"
"BullFootbullLose","bull_footbull_lose.scw","","25","","","","","","","","5"
"BullFootbullLoseloop","bull_footbull_lose.scw","30","65","","","","","","true","","5"
"BullFootbullWin","bull_footbull_win.scw","","54","","","","200","200","","","5"
"BullFootbullWinloop","bull_footbull_win.scw","55","91","","","","","","true","","5"
"SniperIdle","piper_idle.scw","1","41","","","100","100","","true","",""
"SniperWalk","piper_walk.scw","1","20","","","100","100","","true","","1"
"SniperAttack","piper_attack.scw","1","12","","","","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0+R_dress_01_s#0+L_dress_01_s#0+F_dress_01_s#0+B_dress_01_s#0"
"SniperSecondary","piper_super.scw","","-1","","","50","50","50","","","5"
"SniperRecoil","piper_attack.scw","1","25","","","","","200","","","hips_s#5+L_upperLeg_s#0+R_upperLeg_s#0+R_dress_01_s#0+L_dress_01_s#0+F_dress_01_s#0+B_dress_01_s#0"
"SniperReload","piper_idle.scw","","10","","","100","100","500","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0+R_dress_01_s#0+L_dress_01_s#0+F_dress_01_s#0+B_dress_01_s#0"
"SniperPushback","piper_pushback.scw","1","10","","","50","50","100","","","5"
"SniperWin","piper_win.scw","1","114","","","","","","","","5"
"SniperWinloop","piper_win.scw","115","155","","","","","","true","","1"
"SniperLose","piper_lose.scw","1","61","","","","","","","","5"
"SniperLoseloop","piper_lose.scw","62","104","","","","","","true","","1"
"SniperProfile","piper_portrait.scw","","","","","","","","","","5"
"SniperGadgetPistolAttack","piper_gadget_pistol_attack.scw","1","13","","","","","","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0+R_dress_01_s#0+L_dress_01_s#0+F_dress_01_s#0+B_dress_01_s#0"
"SniperGadgetPistolRecoil","piper_gadget_pistol_attack.scw","13","25","","","","","200","","","hips_s#5+L_upperLeg_s#0+R_upperLeg_s#0+R_dress_01_s#0+L_dress_01_s#0+F_dress_01_s#0+B_dress_01_s#0"
"BarrelbotSecondary","darryl_super.scw","","29","","","1","1","1","true","","5"
"BarrelbotWin","darryl_win.scw","","340","","","","","200","","",""
"BarrelbotWinloop","darryl_winloop.scw","200","259","","","","","","true","",""
"BarrelbotLose","darryl_lose.scw","","141","","","","","200","","",""
"BarrelbotLoseloop","darryl_lose.scw","140","141","","","","","","true","",""
"BarrelbotShipLoop","darryl_ship_loop.scw","-1","-1","","","","","","true","","1"
"RangedBotIdle","bot_ranger_idle.glb","","-1","","","100","100","","true","",""
"RangedBotWalk","bot_ranger_walk.glb","","-1","","","100","100","","true","","1"
"RangedBotPrimary","bot_ranger_attack.glb","5","10","","","","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"RangedBotSecondary","bot_ranger_attack.glb","5","10","","","","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"RangedBotRecoil","bot_ranger_attack.glb","13","-1","","","","100","50","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"RangedBotReload","bot_ranger_idle.glb","","-1","","","200","200","200","","",""
"RangedBotPushback","bot_ranger_idle.glb","","-1","","","200","100","200","","","5"
"RangedBotWin","bot_ranger_idle.glb","","-1","","","","","200","","",""
"RangedBotWinloop","bot_ranger_idle.glb","","-1","","","","","","true","",""
"RangedBotLose","bot_ranger_idle.glb","","-1","","","","","200","","",""
"RangedBotLoseloop","bot_ranger_idle.glb","","-1","","","","","","true","",""
"FastMeleeBotIdle","bot_fast_melee_idle.glb","","-1","","","200","200","","true","",""
"FastMeleeBotWalk","bot_fast_melee_walk.glb","","-1","","150","200","200","","true","","1"
"FastMeleeBotRecoil","bot_fast_melee_attack.glb","","-1","","","1","100","150","","","3"
"FastMeleeBotPushback","bot_fast_melee_idle.glb","","20","","","100","100","400","","","5"
"FastMeleeBotWin","bot_fast_melee_idle.glb","","-1","","","","","200","","","5"
"FastMeleeBotWinloop","bot_fast_melee_idle.glb","","-1","","","","","","true","","1"
"FastMeleeBotLose","bot_fast_melee_idle.glb","","-1","","","","","200","","","5"
"FastMeleeBotLoseloop","bot_fast_melee_idle.glb","","-1","","","","","","true","","1"
"MeleeBotIdle","bot_melee_idle.glb","","-1","","","200","200","","true","",""
"MeleeBotWalk","bot_melee_walk.glb","","-1","","","200","200","","true","","1"
"MeleeBotRecoil","bot_melee_attack.glb","3","13","","","1","100","20","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"MeleeBotPushback","bot_melee_idle.glb","","-1","","","100","100","400","","","5"
"MeleeBotRecoil2","bot_melee_attack.glb","13","-1","","","1","100","20","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"MeleeBotWin","bot_melee_idle.glb","","-1","","","","","200","","","5"
"MeleeBotWinloop","bot_melee_idle.glb","","-1","","","","","","true","","1"
"MeleeBotLose","bot_melee_idle.glb","","-1","","","","","200","","","5"
"MeleeBotLoseloop","bot_melee_idle.glb","","-1","","","","","","true","","1"
"BossBotIdle","bot_boss_idle.glb","","-1","","","500","500","","true","",""
"BossBotWalk","bot_boss_walk.glb","","-1","","","120","200","","true","","1"
"BossBotAutoAttack","bot_boss_attack_a.glb","-1","5","","","50","","","","","hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0"
"BossBotAutoAttackRecoil2","bot_boss_attack_a.glb","5","17","","","50","50","50","","","hips_s#5+L_upperLeg_s#0+R_upperLeg_s#0"
"BossBotPushback","bot_boss_charge_pushback.glb","-1","-1","","","50","200","200","","","5"
"BossBotAutoAttackRecoil","bot_boss_attack_a.glb","17","34","","","50","50","50","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"BossBotWin","bot_boss_idle.glb","","-1","","","","","200","","","5"
"BossBotWinloop","bot_boss_idle.glb","","-1","","","","","","true","","1"
"BossBotLose","bot_boss_idle.glb","","-1","","","","","200","","","5"
"BossBotLoseloop","bot_boss_idle.glb","","-1","","","","","","true","","1"
"ArtilleryGalIdle","penny_bunny_redux_idle.glb","1","30","","","100","100","","true","",""
"ArtilleryGalWalk","mari_walk.scw","","28","","150","100","100","","true","","1"
"ArtilleryGalPrimary","penny_bunny_redux_attack.glb","1","20","","","","","1","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalUltiAttack","penny_bunny_redux_attack.glb","1","5","","","","","10","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalRecoil","penny_bunny_redux_attack.glb","5","20","","","","","150","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalUltiRecoil","penny_bunny_redux_ulti.glb","5","22","","","","","250","","","hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0"
"ArtilleryGalReload","penny_bunny_redux_idle.glb","","5","","","200","200","200","","",""
"ArtilleryGalPushback","penny_bunny_redux_attack.glb","","-1","","","100","100","200","","","5"
"ArtilleryGalWin","mari_win.scw","1","62","","","","","","","",""
"ArtilleryGalWinloop","mari_win.scw","63","92","","","","","","true","",""
"ArtilleryGalLose","penny_bunny_redux_lose.glb","1","105","","","","","","","",""
"ArtilleryGalLoseloop","mari_lose.scw","40","50","","","","","","true","",""
"ArtilleryGalProfile","penny_bunny_redux_portrait.glb","","","","","","","","","",""
"FrankIdle","frank_idle.scw","","-1","","","500","500","","true","",""
"FrankWalk","frank_walk.scw","1","29","","120","300","300","","true","","5"
"FrankPrimary","frank_attack.scw","1","45","","","","","100","","","5"
"FrankSecondary","frank_ulti.scw","1","50","","","100","100","","true","","5"
"FrankRecoil","frank_attack.scw","22","35","","","","","200","","","5"
"FrankPushback","frank_pushback.scw","","-1","","","120","120","400","","","5"
"FrankRecoil2","frank_ulti.scw","36","50","","","1","1","100","","","5"
"FrankWin","frank_win.scw","1","51","","","","","","","","5"
"FrankWinloop","frank_win.scw","23","50","","","","","","true","","1"
"FrankLose","frank_lose.scw","1","120","","","","","","","","5"
"FrankLoseloop","frank_lose.scw","75","119","","","","","","true","","1"
"FrankProfile","frank_idle.scw","44","44","","","","","","true","",""
"FrankIntro","frank_intro_pose.scw","","","","","","","","","",""
"FrankMortuary","frank_idle.scw","","-1","","","500","500","","true","",""
"ArtillerySpawn","turret_spawn.scw","","-1","","","","","1","","","3"
"ArtilleryIdle","penny_bunny_redux_turret_idle.glb","","-1","","","","","","true","",""
"ArtilleryAttack","turret_attack.scw","-1","-1","","100","","","1","","","4"
