"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","MasteryTrackAsset","MasterySmallRewardAsset","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset"
,,,,,,,2,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gems",16,"TRUE","TRUE",,"TRUE",,0,30,"shop_item_resourses_gems","shop_item_resourses_gems_big","shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","offer_item_gems_big","offer_item_gems_big","offer_item_gems_small","offer_item_gems_big",,,,,"offer_gems",,"brawlpass_reward_free_gems",,,"reward_profilebutton_16",,,,,"reward_popupitem_small_16",,,,"offer_item_gems_small","offer_item_gems_small","TID_SHOP_OFFER_TITLE_16","resource","icon_resource_gem"
,,,,,,,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StarPoints",17,"FALSE","TRUE",,"TRUE",,0,500,,,,,"shop_item_daily_freebie_starpoints",,,,,,,,,,,,,,,,,"mastery_reward_star_points","mastery_reward_small_star_points",,,,,,,,,"rank_reward_star_points","rank_reward_star_points","rank_reward_star_points","TID_SHOP_OFFER_TITLE_17","resource","icon_resource_starpt"
,,,,,,,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BrawlPassTokens",28,"FALSE","TRUE",,"TRUE",,0,30,"shop_item_resourses_gems",,"shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","offer_item_gems_big","offer_item_gems_big","offer_item_gems_small","offer_item_gems_big",,,,,"offer_gems",,"brawlpass_reward_free_gems",,,"reward_profilebutton_16",,,,,,,,,"offer_item_gems_small","offer_item_gems_small","TID_SHOP_OFFER_TITLE_16","resource","icon_resource_key"
"Emote",19,"TRUE","TRUE",,"TRUE",,,,,,"shop_popupitem_19",,"shop_item_daily_freebie_pin",,,,,,"offer_item_emote_big","offer_item_emote_big","offer_item_emote_small","offer_item_emote_big",,,,,,"brawlpass_reward_premium_emote","reward_popupitem_small_19","mastery_reward_emote","mastery_reward_small_emote",,,,,"reward_popupitem_collected_19","reward_popupitem_small_19",,,,"offer_item_emote_small","offer_item_emote_small","TID_SHOP_OFFER_TITLE_19","pin","reward_profilebutton_3"
"EmoteBundle",20,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_emote_bundle","shop_popupitem_22",,,,,,,"offer_item_emote_bundle_big","offer_item_emote_bundle_medium","offer_item_emote_bundle_small","offer_item_emote_bundle_medium","offer_item_emote_bundle_highlight_big","offer_item_emote_bundle_highlight_small","offer_item_emote_bundle_highlight_small","offer_item_emote_bundle_highlight_small","offer_pin_pack","brawlpass_reward_premium_emote_bundle","reward_popupitem_small_20",,,"reward_popupitem_small_20",,,,"reward_popupitem_collected_20","reward_popupitem_small_20",,"reward_popupitem_small_20",,"offer_item_emote_bundle_small","offer_item_emote_bundle_small","TID_SHOP_OFFER_TITLE_20","box","reward_popupitem_small_20"
"RandomEmotes",21,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_21",,,,,,,,"offer_item_random_emotes_big","offer_item_random_emotes_big","offer_item_random_emotes_small","offer_item_random_emotes_big",,,,,"offer_pin_pack","brawlpass_reward_premium_random_emotes","brawlpass_reward_free_random_emotes",,,,,,,"reward_popupitem_collected_21","reward_popupitem_small_21",,,,"offer_item_random_emotes_small","offer_item_random_emotes_small","TID_SHOP_OFFER_TITLE_21","box",
"RandomEmotesForBrawler",22,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_22",,,,,,,,"offer_item_random_emotes_for_brawler_big","offer_item_random_emotes_for_brawler_big","offer_item_random_emotes_for_brawler_small","offer_item_random_emotes_for_brawler_big",,,,,,,,,,,,,,"reward_popupitem_collected_22","reward_popupitem_small_22",,,,"offer_item_random_emotes_for_brawler_small","offer_item_random_emotes_for_brawler_small","TID_SHOP_OFFER_TITLE_22","box",
"RandomEmoteOfRarity",23,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_24",,,,,,,,"offer_item_random_rarity_emote_big","offer_item_random_rarity_emote_big","offer_item_random_rarity_emote_small","offer_item_random_rarity_emote_big",,,,,"offer_pin_pack",,,,,,,,,,,,,,"offer_item_random_emote_of_rarity_small","offer_item_random_emote_of_rarity_small","TID_SHOP_OFFER_TITLE_23","pin",
,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_pin_pack",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_random_epic",,,,,,,,,,,,,,,,,,
"RandomEmotesPackOfRarity",27,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_25",,,,,,,,"offer_item_rarity_emotes_big","offer_item_rarity_emotes_big","offer_item_rarity_emotes_small","offer_item_rarity_emotes_big",,,,,,,,,,,,,,,,,,,"offer_item_rarity_emotes_small","offer_item_rarity_emotes_small","TID_SHOP_OFFER_TITLE_27","box",
,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_pin_pack",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_random_epic",,,,,,,,,,,,,,,,,,
"PlayerThumbnail",25,"TRUE","TRUE",,"TRUE",,,,,,"shop_popupitem_27",,,,,,,,"offer_item_profilepic_big","offer_item_profilepic_big","offer_item_profilepic_small","offer_item_profilepic_big",,,,,,,,"mastery_reward_profile_icon","mastery_reward_small_profile_icon",,,,,,,,,"item_player_thumbnail","item_player_thumbnail","item_player_thumbnail","TID_REWARD_DESC_PLAYER_ICON_REGULAR","resource","reward_profilebutton_3"
"GuaranteedBox",2,"FALSE","FALSE",,"FALSE",,,,"shop_item_brawler",,"shop_popupitem_2",,,,,,"shop_item_brawler","shop_item_brawler","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_big",,,,,,,,,,,,,,,,,,,"offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small",,,
"GuaranteedHero",3,"TRUE","TRUE",,"TRUE",,,,,,"shop_popupitem_3",,,,,,,,"offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_skin_big",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,"reward_profilebutton_3",,,,"reward_popupitem_collected_3",,,"reward_popupitem_large_3",,"offer_item_skin_small","offer_item_skin_small",,"brawler","reward_profilebutton_3"
"Skin",4,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_4",,,"shop_item_skins","shop_item_skins_coming_soon","shop_item_event_skins","shop_item_legendary_skins","shop_item_skins","offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_skin_big",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_4",,"offer_item_skin_small","offer_item_skin_small",,"skin","reward_profilebutton_3"
"SkinAndHero",24,"FALSE","TRUE",,"FALSE",,,,,,"shop_popupitem_4",,,"shop_item_skins","shop_item_skins_coming_soon","shop_item_event_skins","shop_item_legendary_skins","shop_item_skins","offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_skin_big",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_3",,"offer_item_skin_small","offer_item_skin_small",,"skin","reward_profilebutton_3"
"PurchaseOptionSkin",26,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rank_midseason_reward_item",,"TID_REWARD_DESC_PURCHASE_OPTION_SKIN","brawler",
"Item",5,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_5",,,,,,,,"offer_item_star_power_big","offer_item_star_power_big","offer_item_star_power_small","offer_item_star_power_big",,,,,,,,,,,,,,,,,,,"offer_item_star_power_small","offer_item_star_power_small",,"resource",
"ClubFeature",29,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_13",,,,"reward_profilebutton_13",,,,,,,"reward_popupitem_large_13",,,,,,"reward_profilebutton_13"
"GuaranteedHeroWithLevel",30,"TRUE","FALSE",,"FALSE",,,,,,"shop_popupitem_3",,,,,,,,"offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_brawler_small",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_3",,"offer_item_skin_small","offer_item_skin_small",,"brawler","reward_profilebutton_3"
"GuaranteedBoxWithLevel",31,"FALSE","FALSE",,"FALSE",,,,"shop_item_brawler",,"shop_popupitem_2",,,,,,"shop_item_brawler","shop_item_brawler","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_big",,,,,,,,,,,,,,,,,,,"offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small",,,
"GearToken",32,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GearScrap",33,"FALSE","FALSE",,"FALSE",,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spray",35,"TRUE","TRUE",,"TRUE",,,,,,"shop_popupitem_26",,,,,,,,"offer_item_spray_big","offer_item_spray_big","offer_item_spray_small","offer_item_spray_big",,,,,,"brawlpass_reward_premium_spray","brawlpass_reward_premium_spray","mastery_reward_spray","mastery_reward_small_spray",,,,,,,,,,"offer_item_spray_small","offer_item_spray_small","TID_SHOP_OFFER_TITLE_35","spray",
"SprayBundle",36,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_36","reward_popupitem_small_36",,,"reward_profilebutton_36",,,,"reward_popupitem_collected_36","reward_popupitem_small_36",,"reward_popupitem_large_36",,,,,,
"SpraySlot",37,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_37","reward_popupitem_small_37",,,"reward_profilebutton_37",,,,"reward_popupitem_collected_37","reward_popupitem_small_37",,"reward_popupitem_large_37",,,,,,
"QuestsFeature",18,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_18",,,,"reward_popupitem_collected_18","reward_popupitem_small_18",,,,,,,,
"RecruitToken",38,"TRUE","TRUE",,"TRUE",,0,50,"shop_item_resourses_recruit_tokens",,"shop_popupitem_38",,"shop_item_daily_freebie_recruit_tokens",,,,"shop_item_resourses_recruit_tokens","shop_item_resourses_recruit_tokens","offer_item_recruit_tokens_big","offer_item_recruit_tokens_big","offer_item_recruit_tokens_small","offer_item_recruit_tokens_big",,,,,"offer_recruit_tokens","brawlpass_reward_premium_recruit_tokens","brawlpass_reward_free_recruit_tokens","mastery_reward_recruit_tokens","mastery_reward_small_recruit_tokens","reward_profilebutton_38","TRUE",100,250,"reward_popupitem_collected_38","reward_popupitem_small_38","reward_popupitem_small_38","reward_popupitem_large_38",,"offer_item_recruit_tokens_small","offer_item_recruit_tokens_small","TID_SHOP_OFFER_TITLE_38","resource","icon_resource_recruit_token"
,,,,,,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ChromaticToken",39,"TRUE","TRUE",,"TRUE",,0,50,"shop_item_resourses_chromatic_coins",,"shop_popupitem_39",,"shop_item_daily_freebie_chromatic_coins",,,,"shop_item_resourses_chromatic_coins","shop_item_resourses_chromatic_coins","offer_item_chromatic_coins_big","offer_item_chromatic_coins_big","offer_item_chromatic_coins_small","offer_item_chromatic_coins_big",,,,,"offer_chromatic_coins","brawlpass_reward_premium_chromatic_coins","brawlpass_reward_free_chromatic_coins","mastery_reward_chromatic_coins","mastery_reward_small_chromatic_coins","reward_profilebutton_39","TRUE",,,"reward_popupitem_collected_39","reward_popupitem_small_39","reward_popupitem_small_39","reward_popupitem_large_39",,"offer_item_chromatic_coins_small","offer_item_chromatic_coins_small","TID_SHOP_OFFER_TITLE_39","resource","icon_resource_chromatic_coin"
,,,,,,,1,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoints",41,"TRUE","TRUE",,"TRUE",,0,200,"shop_item_resourses_generic_power_points",,"shop_popupitem_12",,"shop_item_daily_freebie_powerpoints",,,,"shop_item_resourses_generic_power_points","shop_item_resourses_power_points","offer_item_generic_power_points_big","offer_item_generic_power_points_big","offer_item_generic_power_points_small","offer_item_generic_power_points_big",,,,,"offer_chromatic_coins","brawlpass_reward_premium_power_points","brawlpass_reward_free_power_points","mastery_reward_power_points","mastery_reward_small_power_points","reward_profilebutton_12","TRUE",75,350,"reward_popupitem_collected_12","reward_popupitem_small_12","reward_popupitem_small_12","reward_popupitem_large_12",,"offer_item_generic_power_points_small","offer_item_generic_power_points_small","TID_SHOP_OFFER_TITLE_41","resource","icon_resource_powerpoints"
"BrawlPassTailReward",42,"FALSE","FALSE",,"FALSE",,0,,"shop_item_resourses_boxes",,"shop_popupitem_10",,,,,,"shop_item_resourses_boxes","shop_item_resourses_boxes","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards",,,,,"offer_recruit_tokens","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards",,,"reward_profilebutton_42",,,,"reward_popupitem_collected_10",,,"reward_popupitem_large_10",,"brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards",,"box","reward_profilebutton_42"
"PlayerTitle",43,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,"mastery_reward_title","mastery_reward_small_title",,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_43",,
"DailyQuests",44,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_18",,,,"reward_popupitem_collected_41","reward_popupitem_small_41",,,,,,,,
