"Name","PowerLeagueSeasonId","SkinsInRankedStar","TicketsInSkinDraw","SpraysInRankedStar","TicketsInSprayDraw","ProfilePicsInRankedStar","TicketsInProfilePicDraw"
,,"MechaDudeJaguar",3,"spray_meg_jungle",11,,
,,"SniperMariposa",3,,,,
,,"SnakeOilWizard_white",3,,,,
,,"DrillerJetski_purple",3,,,,
,,"RopeDudeDirector_blue",3,,,,
,,"ArtilleryDudeSmuggler_orange",3,,,,
,,"ArcadePiano_black",3,,,,
,,"ShamanDragon_black",3,,,,
"Deepsea",24,"BlowerDeepsea",50,"spray_ranked_deepsea",100,"player_icon_ranked_deepsea",100
,,"AxeJugglerGreek",3,"spray_ranked_olympic",10,"player_icon_ranked_olympic",15
,,"TwinsVirus",3,"spray_ranked_hackers",10,"player_icon_ranked_hackers",15
,,"FleaGodzilla",3,"spray_ranked_godzilla",10,"player_icon_ranked_godzilla",14
,,"JesterLoki",3,"spray_ranked_ragnarok",10,"player_icon_ranked_logo",14
,,"TntDudeDynastic",3,"spray_ranked_sandsoftime",10,"player_icon_pl_logo",14
,,"TrickshotDudeDevil",3,"spray_cartoon_starr",10,"player_icon_ranked_ragnarok",14
,,"DuplicatorDarkcircus",3,"spray_lola_circus",10,"player_icon_ranked_sandsoftime",14
,,"MaisieWasteland",3,"spray_maisie_wasteland",10,,
,,"IceDudeStonetroll",3,"spray_lou_enchanted",10,,
,,"MechaDudeJaguar",3,"spray_meg_jungle",10,,
,,"SniperMariposa",2,,,,
,,"SnakeOilWizard_white",3,,,,
,,"DrillerJetski_purple",3,,,,
,,"RopeDudeDirector_blue",3,,,,
,,"ArtilleryDudeSmuggler_orange",3,,,,
,,"ArcadePiano_black",3,,,,
,,"ShamanDragon_black",3,,,,
