"Name","TID","CollabId","EventPanelExportName","EventPanelMirrorExportName","EventPanelFutureExportName","SkillRewardSlotCount","GemOfferTypeForWinSlot","GemOfferExtraForWinSlot","GemOfferTypeForLossSlot","GemOfferExtraForLossSlot","UICharacter","SkinsInReward","TicketsInSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw","ClubCollabSkin","MutantMenuVFX","MutantVFX","MutationSCW","LeaderboardTabTID","LeaderboardTitleTID","LeaderboardScoreTID"
,,,,,,,,,,,,"BanditGirlStar_remake",1,,,"player_icon_classic_shelly",1,,,,,,,,,
,,,,,,,,,,,,"ShotgunGirlClassic_white",1,,,,,,,,,,,,,
,,,,,,,,,,,,"TntDudeClassic_yellow",1,,,,,,,,,,,,,
,,,,,,,,,,,,"TrickshotDudeClassic_red",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RocketGirlClassic_white",1,,,,,,,,,,,,,
,,,,,,,,,,,,"ShamanBearPanda",1,,,,,,,,,,,,,
,,,,,,,,,,,,"GunSlingerRockstar",1,,,,,,,,,,,,,
,,,,,,,,,,,,"BarkeepGold",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RocketGirlBeach",1,,,,,,,,,,,,,
,,,,,,,,,,,,"LuchadorRudo",1,,,,,,,,,,,,,
,,,,,,,,,,,,"CactusPink",1,,,,,,,,,,,,,
,,,,,,,,,,,,"CrowWhite",1,,,,,,,,,,,,,
,,,,,,,,,,,,"LuchadorRey",1,,,,,,,,,,,,,
,,,,,,,,,,,,"MechanicSummer",1,,,,,,,,,,,,,
,,,,,,,,,,,,"MechanicKnight",1,,,,,,,,,,,,,
,,,,,,,,,,,,"UndertakerGreaser",1,,,,,,,,,,,,,
"Coral","TID_COLLAB_3",3,,,,,,,,,,"EnragerVigilante",1,"spray_godzilla_team",25,"player_icon_godzilla_event1",25,"emoji_godzilla_robot",33,,,,,,,
,,,,,,,,,,,,"SplitterPolice",1,"spray_godzilla_team_mecha",25,"player_icon_godzilla_event2",25,"emoji_godzilla_brawlball",33,,,,,,,
,,,,,,,,,,,,"CocoonerRare",1,"spray_mutation_sign",25,"player_icon_mutation",25,"emoji_mutation_heart",34,,,,,,,
,,,,,,,,,,,,"BaseballVigilante",1,"spray_godzilla_egg",25,"player_icon_mutated_logo",25,,,,,,,,,
,,,,,,,,,,,,"JetpackGirlTopgun",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RopeDudeKaiju",1,,,,,,,,,,,,,
,,,,,,,,,,,,"StickyBombVeteran",1,,,,,,,,,,,,,
,,,,,,,,,,,,"SpeedyTracksuit",1,,,,,,,,,,,,,
,,,,,,,,,,,,"ClusterBombMonster",1,,,,,,,,,,,,,
,,,,,,,,,,,,"BeeSniperMonster",1,,,,,,,,,,,,,
,,,,,,,,,,,,"DrillerMonster",1,,,,,,,,,,,,,
,,,,,,,,,,,,"Cactusmecha",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RocketGirlRanger_red",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RocketGirlRanger_blue",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RocketGirlRanger_yellow",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RocketGirlRanger_pink",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RocketGirlRanger_black",1,,,,,,,,,,,,,
,,,,,,,,,,,,"PowerLevelerKnight_red",1,,,,,,,,,,,,,
,,,,,,,,,,,,"TntDudeMecha",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RopeDudeGodzilla",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RopeDudeGodzillaRed",1,,,,,,,,,,,,,
,,,,,,,,,,,,"RopeDudeGodzillaBlack",1,,,,,,,,,,,,,
