"Name","CumulativeWins","MainMilestone","Level","CumulativeRewardStarDrops","CumulativeRewardCoins","CumulativeRewardPowerPoints","CumulativeRewardBling"
"Win99",99,,3,119,4534,1813,871
"Win100",100,,3,120,4598,1840,885
"Win101",101,,3,121,4664,1868,900
"Win102",102,,3,122,4730,1896,914
"Win103",103,,3,123,4796,1925,928
"Win104",104,,3,124,4863,1954,943
"Win105",105,,3,125,4931,1983,957
"Win106",106,,3,126,4999,2012,972
"Win107",107,,3,127,5068,2041,987
"Win108",108,,3,128,5138,2071,1002
"Win109",109,,3,129,5208,2101,1018
"Win110",110,,3,130,5279,2132,1033
"Win111",111,,3,131,5351,2162,1048
"Win112",112,,3,132,5423,2193,1064
"Win113",113,,3,133,5496,2224,1080
"Win114",114,,3,134,5570,2256,1096
"Win115",115,,3,135,5644,2287,1112
"Win116",116,,3,136,5719,2320,1128
"Win117",117,,3,137,5795,2352,1145
"Win118",118,,3,138,5871,2385,1161
"Win119",119,,3,139,5948,2418,1178
"Win120",120,"TRUE",4,200,6026,2451,1195
"Win121",121,,4,201,6104,2484,1212
"Win122",122,,4,202,6183,2518,1229
"Win123",123,,4,203,6263,2552,1246
"Win124",124,,4,204,6344,2587,1263
"Win125",125,,4,205,6425,2622,1281
"Win126",126,,4,206,6507,2657,1299
"Win127",127,,4,207,6590,2692,1317
"Win128",128,,4,208,6674,2728,1335
"Win129",129,,4,209,6758,2764,1353
"Win130",130,,4,210,6844,2801,1372
"Win131",131,,4,211,6930,2837,1390
"Win132",132,,4,212,7016,2874,1409
"Win133",133,,4,213,7104,2912,1428
"Win134",134,,4,214,7192,2950,1447
"Win135",135,,4,215,7282,2988,1467
"Win136",136,,4,216,7372,3026,1486
"Win137",137,,4,217,7463,3065,1506
"Win138",138,,4,218,7554,3104,1526
"Win139",139,,4,219,7647,3144,1546
"Win140",140,,4,220,7740,3184,1566
"Win141",141,,4,221,7834,3224,1586
"Win142",142,,4,222,7930,3265,1607
"Win143",143,,4,223,8026,3306,1628
"Win144",144,,4,224,8122,3347,1649
"Win145",145,,4,225,8220,3389,1670
"Win146",146,,4,226,8319,3431,1691
"Win147",147,,4,227,8418,3474,1713
"Win148",148,,4,228,8519,3517,1735
"Win149",149,,4,229,8620,3560,1757
"Win150",150,,4,230,8723,3604,1779
"Win151",151,,4,231,8826,3648,1801
"Win152",152,,4,232,8930,3693,1824
"Win153",153,,4,233,9035,3738,1846
"Win154",154,,4,234,9142,3783,1869
"Win155",155,,4,235,9249,3829,1893
"Win156",156,,4,236,9357,3875,1916
"Win157",157,,4,237,9466,3922,1940
"Win158",158,,4,238,9576,3969,1964
"Win159",159,,4,239,9687,4017,1988
"Win160",160,"TRUE",5,300,9799,4065,2012
"Win161",161,,5,301,9913,4113,2036
"Win162",162,,5,302,10027,4162,2061
"Win163",163,,5,303,10142,4211,2086
"Win164",164,,5,304,10259,4261,2111
"Win165",165,,5,305,10376,4311,2137
"Win166",166,,5,306,10494,4362,2163
"Win167",167,,5,307,10614,4413,2188
"Win168",168,,5,308,10735,4465,2215
"Win169",169,,5,309,10857,4517,2241
"Win170",170,,5,310,10980,4569,2268
"Win171",171,,5,311,11104,4623,2294
"Win172",172,,5,312,11229,4676,2322
"Win173",173,,5,313,11355,4730,2349
"Win174",174,,5,314,11483,4785,2377
"Win175",175,,5,315,11611,4840,2404
"Win176",176,,5,316,11741,4895,2433
"Win177",177,,5,317,11872,4951,2461
"Win178",178,,5,318,12005,5008,2490
"Win179",179,,5,319,12138,5065,2519
"Win180",180,,5,320,12273,5123,2548
"Win181",181,,5,321,12409,5181,2577
"Win182",182,,5,322,12546,5239,2607
"Win183",183,,5,323,12685,5299,2637
"Win184",184,,5,324,12824,5358,2667
"Win185",185,,5,325,12965,5419,2698
"Win186",186,,5,326,13108,5480,2729
"Win187",187,,5,327,13251,5541,2760
"Win188",188,,5,328,13396,5603,2791
"Win189",189,,5,329,13543,5666,2823
"Win190",190,,5,330,13690,5729,2855
"Win191",191,,5,331,13839,5793,2887
"Win192",192,,5,332,13990,5857,2920
"Win193",193,,5,333,14142,5922,2952
"Win194",194,,5,334,14295,5987,2986
"Win195",195,,5,335,14449,6053,3019
"Win196",196,,5,336,14605,6120,3053
"Win197",197,,5,337,14763,6187,3087
"Win198",198,,5,338,14922,6255,3121
"Win199",199,,5,339,15082,6324,3156
"Win200",200,"TRUE",6,600,15244,6393,3191
