"TID","UK"
"TID_INBOX_CAPTION_71","ПОДАРОВАНО ЖЕТОНИ ДЛЯ СЕЗОНУ BRAWL PASS <SEASON>: <AMOUNT>"
"TID_INBOX_CAPTION_70","Нагорода за перемогу у випробуванні «<CHALLENGE>»:"
"TID_INBOX_CAPTION_64","Подаровано: <AMOUNT>x для бійця <NAME>"
"TID_INBOX_CAPTION_DONATION","ПОДАРОВАНО: <TEXT>"
"TID_INBOX_NEW","НОВЕ!"
"TID_BAND_MAIL_POPUP_TITLE","КЛУБНА ПОШТА"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","напиши повідомлення тут..."
"TID_BAND_MAIL_POPUP_POST","ОПУБЛІКУВАТИ"
"TID_BAND_MAIL_POPUP_NO_MSG","Спершу потрібно ввести повідомлення"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Ця функція недоступна для облікових записів із демоверсією"
"TID_REVOKE_TITLE","Повідомлення від підтримки"
"TID_REVOKE_OK","Зрозуміло"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Не вдалося надіслати запит на приєднання. Ти вже в команді"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Не вдалося надіслати запит на приєднання. У тебе є нерозглянуте запрошення до команди"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Не вдалося надіслати запит на приєднання. У тебе вже є нерозглянутий запит на приєднання"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Запит на приєднання скасовано"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","ХОЧУ ДО ТВОЄЇ КОМАНДИ"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ПЕРЕМОГА</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>ПОРАЗКА</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>НІЧИЯ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>РАНГ <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>РАНГ <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>РАНГ <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> тому"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","РІВ."
"TID_BATTLE_LOG_TVST_VERSUS","ПРОТИ"
"TID_BATTLE_LOG_TITLE","ЖУРНАЛ БОЇВ"
"TID_BATTLE_LOG_REPLAY","ПОВТОР"
"TID_BATTLE_LOG_MVP","ЗОРЯНИЙ ГРАВЕЦЬ"
"TID_BATTLE_LOG_FRIENDLY","ДРУЖНІЙ БІЙ"
"TID_BATTLE_LOG_TOURNAMENT","ТУРНІР"
"TID_BATTLE_LOG_PVP","РАНГОВИЙ БІЙ"
"TID_BATTLE_LOG_PRO_LEAGUE","СИЛОВІ ПЕРЕГОНИ"
"TID_BATTLE_LOG_RANKED","РАНГОВИЙ БІЙ"
"TID_BATTLE_LOG_NO_ENTRIES","ПОВІДОМЛЕНЬ НЕМАЄ"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Це бот"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Повтори тимчасово вимкнено"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Повтор поки недоступний"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Повтор недоступний: замало трофеїв бійця"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Потрібно трофеїв бійця для розблокування повторів: <NUM>"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Повтор недоступний: запис не вдався"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Повтор більше недоступний"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Не вдалося додати друга"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Термін дії посилання на друга минув!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Не вдалося додати друга: у цього гравця немає місця в списку друзів!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Не вдалося додати друга: у твоєму списку друзів немає місця!"
"TID_ADD_FRIEND_FAILED_BANNED","Не вдалося додати друга: користувача заблоковано!"
"TID_KEYPOOL_KEYS_REMAINING","Залишилося: <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","Жетони: +<KEYS> за <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Наступна нагорода"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Підтвердження альтернативної нагороди"
"TID_RANK_UP_REWARD_REPLACED_POWER","Немає бійців, яким можна передати очки сили (<AMOUNT>).\n\nЗабрати альтернативну нагороду?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Оскільки в тебе вже є боєць <NAME>, ти отримаєш альтернативну нагороду."
"TID_RANK_UP_REWARD_REPLACED_PIN","Оскільки в тебе вже є цей значок, ти отримаєш альтернативну нагороду."
"TID_RANK_UP_REWARD_REPLACED_SKIN","Оскільки в тебе вже є боєць <NAME>, ти отримаєш альтернативну нагороду."
"TID_RANK_UP_REWARD_REPLACED_GEN","Оскільки в тебе вже є ця нагорода, ти отримаєш альтернативну нагороду."
"TID_RANK_UP_REWARD_REPLACED_POWER_POINTS","Твої бійці не можуть отримати очки сили: <AMOUNT>, а в тебе вже максимальна кількість очок сили.\n\nБажаєш натомість отримати альтернативну нагороду?"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","НАДІСЛАТИ ЗАПИТ У ДРУЗІ"
"TID_PLAYER_INFO_REMOVE_FRIEND","ВИЛУЧИТИ ЗІ СПИСКУ ДРУЗІВ"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","ЗАПИТ У ДРУЗІ НАДІСЛАНО"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","ДРУГ\nУ ГРІ"
"TID_POWER_POINTS","ОЧКИ СИЛИ"
"TID_HERO_INFO_LEVEL","СИЛА"
"TID_HERO_INFO_LEVEL_LONG","РІВЕНЬ СИЛИ"
"TID_HERO_INFO_RANK","РАНГ"
"TID_HERO_TIER_MAX","МАКС."
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","ПІДВИЩИТИ ДО РІВНЯ СИЛИ <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","НАТИСНИ ЩЕ РАЗ, ЩОБ ПІДТВЕРДИТИ"
"TID_HERO_INFO_MAX_LEVEL","МАКС.СИЛА"
"TID_HERO_INFO_MORE_POWER_NEEDED","Здобудь більше сили, щоб покращити!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","У бійця бракує очок сили"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","У тебе бракує монет!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Боєць уже має максимальний РІВЕНЬ СИЛИ!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","ПОЧАТКОВИЙ БОЄЦЬ"
"TID_HERO_INFO_STAR_POWER_EQUIP","ВИБРАТИ"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","ВИБРАНО"
"TID_CHOOSE_CHARACTER","ВИБІР БІЙЦЯ"
"TID_ARMOR","МІЦНІСТЬ"
"TID_ARMOR_DESC","Показує, скільки ушкодження може витримати боєць, перш ніж вибути з бою."
"TID_SHOTGUN_GIRL","ШЕЛЛІ"
"TID_SHOTGUN_GIRL_DESC","Шеллі — справжній рейнджер: надійна, витривала й чудово вправляється з дробовиком. Вона ніяк не збагне, чому саме Кольт забрав собі всю славу..."
"TID_LONG_RANGE_SHOTGUN","КАРТЕЧ"
"TID_LONG_RANGE_SHOTGUN_DESC","Дробовик Шеллі стріляє широким розсипом дробу на велику відстань. Що більше дробин влучають, то більше ушкодження."
"TID_MEGA_BLASH_ULTI","СУПЕРПОСТРІЛ"
"TID_MEGA_BLASH_ULTI_DESC","Суперпостріл Шеллі трощить укриття й противників. Тих, хто вижив, відкидає назад."
"TID_GUNSLINGER","КОЛЬТ"
