TID,MS
TID_BATTLE_END_CC_QUALIFY_INFO,Tahniah! Anda layak untuk peringkat seterusnya dalam Kejuaraan Brawl Stars.\nSemak peti masuk untuk maklumat lanjut.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Ganjaran Liga ARENA BINTANG
TID_PRO_LEAGUE_INFO_POPUP_INFO,Ganjaran berdasarkan\nmata akhir anda
TID_PRO_LEAGUE_INFO_POPUP_RANK,Kedudukan
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Mata
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Ganjaran tambahan kerana mencapai\ntempat atas papan pemimpin global
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,GANJARAN AKHIR LIGA ARENA BINTANG
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,CARTA KEDUDUKAN LIGA
TID_PRO_LEAGUE_SEASON_END_TIME,LIGA TAMAT DALAM
TID_PRO_LEAGUE_POPUP_TITLE,ARENA BINTANG
TID_EVENT_LABEL_PRO_LEAGUE,ARENA BINTANG
TID_PRO_LEAGUE_POPUP_INFO,"Uji kemahiran anda di ARENA BINTANG! Bertanding dalam tiga perlawanan harian untuk memanjat carta kedudukan liga. Apabila liga tamat, anda akan dapat mata bintang berdasarkan mata dan kedudukan anda dalam carta kedudukan liga global."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,LIGA SEMASA
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,LIGA TERDAHULU
TID_PRO_LEAGUE_LABEL,ARENA BINTANG
TID_TEAM_ERROR_38,Pilih Brawler TAHAP KUASA 10!
TID_TEAM_ERROR_39,Tiada baki permainan ARENA BINTANG untuk hari ini!
TID_PRO_LEAGUE_GAMES,<GAMESLEFT>/<MAXGAMES> BAKI PERTEMPURAN
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,LIGA ARENA BINTANG TELAH TAMAT
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Mata Anda
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Tahap Anda
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Ganjaran Mata Bintang
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,GANJARAN ARENA BINTANG: Dapat<AMOUNT> <cff00ff>mata bintang</c>!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Menang Epik (+3 mata):
TID_OVERWHELMING_VICTORY_GMV_0,Menang sebelum permata ke-15 diwujudkan
TID_OVERWHELMING_VICTORY_GMV_5,Menang 2-0
TID_OVERWHELMING_VICTORY_GMV_2,Menang dengan setidaknya baki 60% nilai nyawa pada peti keselamatan anda
TID_OVERWHELMING_VICTORY_GMV_11,Menang dengan setidaknya baki 80% nilai nyawa pada IKE anda
TID_OVERWHELMING_VICTORY_GMV_3,Menang setidaknya lebih 10 bintang daripada musuh
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Dapatkan mata berdasarkan kedudukan anda dalam perlawanan
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Dapat 30 mata untuk kemenangan, 15 mata untuk seri dan 5 mata untuk kekalahan"
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,MATA
TID_DOUBLE_TOKEN_WEEKEND,ACARA TOKEN BERGANDA
TID_COIN_SHOWER_EVENT,ACARA HUJAN SYILING
TID_RANKS_ADDED_TITLE,Pangkat Brawler Baharu
TID_RANKS_ADDED_DESC,Kami telah menambah pangkat 21-35 kepada semua Brawler.\n\nAnda memperoleh <cff00ff><STARPOINTS></c> Mata Bintang dan <TOKENS> Token daripada Brawler yang telah mencapai pangkat baharu ini
TID_SKINS_TITLE,KULIT
TID_SKINS_BUTTON_LABEL,KULIT
TID_SKIN_PREVIEW,LIHAT KULIT
TID_DEFAULT_SKIN,KULIT LALAI <HERO>
TID_HERO_LVL_UP_MATERIAL,syiling
TID_TOKENS,token
TID_FIRST_WINS,Token Bintang
TID_CLUB_COINS,Syiling Kelab
TID_BUTTON_INBOX,PETI MASUK
TID_INBOX_TITLE,PETI MASUK
TID_INBOX_SYSTEM_SENDER,Sistem
TID_INBOX_SUPPORT_SENDER,Sokongan Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> lalu
TID_INBOX_CLAIM,TUNTUT
TID_INBOX_VIEW,LIHAT
TID_INBOX_TAB_0,MEL KELAB
TID_INBOX_TAB_1,PERIBADI
TID_INBOX_NO_ENTRIES,TIADA ENTRI
TID_INBOX_CAPTION_99,Liga Trofi telah tamat
TID_INBOX_CAPTION_94,Pemberian kulit: <NAME>
TID_INBOX_CAPTION_93,Pemberian Brawler: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Pemberian Brawler: <NAME> (Tahap kuasa <LEVEL>)
TID_INBOX_CAPTION_92,Pemberian <AMOUNT> Mata Kuasa untuk <NAME>
TID_INBOX_CAPTION_91,Pemberian <AMOUNT> tiket
TID_INBOX_CAPTION_90,Pemberian <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,Pemberian <AMOUNT> Permata
TID_INBOX_CAPTION_88,Pemberian <AMOUNT> Gandaan Token
TID_INBOX_CAPTION_85,Pembatalan <AMOUNT> Permata
TID_INBOX_CAPTION_84_4,Pemberian Kuasa Bintang <ABI> untuk <NAME>
TID_INBOX_CAPTION_84_5,Pemberian Alat <ABI> untuk <NAME>
TID_INBOX_CAPTION_78,Pangkat Brawler 21-30 dah tiba!
TID_INBOX_CAPTION_76,Kelayakan dalam talian DIBUKA!
TID_INBOX_CAPTION_75,Ganjaran kemenangan <CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,Pampasan tiket
TID_INBOX_CAPTION_73,PEMBERIAN: BRAWL PASS
TID_INBOX_CAPTION_72_52,PEMBERIAN: PIN
TID_INBOX_CAPTION_71,PEMBERIAN: <AMOUNT> TOKEN UNTUK BRAWL PASS MUSIM <SEASON>
TID_INBOX_CAPTION_70,Ganjaran kemenangan <CHALLENGE>:
TID_INBOX_CAPTION_64,Pemberian: <AMOUNT>x <NAME>
TID_INBOX_CAPTION_DONATION,PEMBERIAN: <TEXT>
TID_INBOX_NEW,BAHARU!
TID_BAND_MAIL_POPUP_TITLE,MEL KELAB
TID_BAND_MAIL_POPUP_DEFAULT_TXT,tulis mesej anda di sini...
TID_BAND_MAIL_POPUP_POST,SIAR
TID_BAND_MAIL_POPUP_NO_MSG,Jangan lupa masukkan mesej
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Ciri ini tidak tersedia untuk akaun demonstrasi
TID_REVOKE_TITLE,Mesej Daripada Sokongan
TID_REVOKE_OK,Faham
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Tidak boleh menghantar permintaan penyertaan. Anda sudah berada dalam pasukan
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Tidak boleh menghantar permintaan penyertaan. Anda mempunyai jemputan pasukan tertangguh
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Tidak boleh menghantar permintaan penyertaan. Anda mempunyai permintaan penyertaan tertangguh
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Permintaan penyertaan dibatalkan
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,SAYA INGIN MENYERTAI PASUKAN ANDA
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>MENANG</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>KALAH</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>SERI</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>KEDUDUKAN <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>KEDUDUKAN <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>KEDUDUKAN <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> lalu
TID_BATTLE_LOG_HERO_LEVEL_LABEL,THP
TID_BATTLE_LOG_TVST_VERSUS,LWN
TID_BATTLE_LOG_TITLE,LOG PERTEMPURAN
TID_BATTLE_LOG_REPLAY,ULANGAN
TID_BATTLE_LOG_MVP,TERBAIK
TID_BATTLE_LOG_FRIENDLY,PERSAHABATAN
TID_BATTLE_LOG_TOURNAMENT,KEJOHANAN
TID_BATTLE_LOG_PVP,KEDUDUKAN
TID_BATTLE_LOG_PRO_LEAGUE,ARENA BINTANG
TID_BATTLE_LOG_RANKED,LIGA BINTANG
TID_BATTLE_LOG_NO_ENTRIES,TIADA ENTRI
TID_BATTLE_LOG_THIS_IS_A_BOT,Ini bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Ulangan kini dinyahdayakan
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Belum ada ulangan yang tersedia
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Tiada ulangan: trofi Brawler terlalu rendah
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Capai <NUM> trofi Brawler untuk membukaulangan
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Tiada ulangan: rakaman gagal
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Tiada lagi ulangan
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Gagal menambah rakan
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Pautan rakan telah tamat tempoh!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Tidak berjaya menambah rakan, rakan senarai dia telah penuh."
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Tidak berjaya menambah rakan, rakan senarai anda telah penuh."
TID_ADD_FRIEND_FAILED_BANNED,"Tidak berjaya menambah rakan, pengguna telah disekat."
TID_KEYPOOL_KEYS_REMAINING,Baki <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> token dalam <TIME>
TID_TOP_HUD_NEXT_REWARD,Ganjaran Seterusnya
TID_RANK_UP_REWARD_REPLACED_TITLE,Sahkan Ganjaran Alternatif
TID_RANK_UP_REWARD_REPLACED_POWER,Anda tiada Brawler yang boleh dipilih untuk menerima <AMOUNT> mata kuasa.\n\nIngin tuntut ganjaran alternatif?
TID_RANK_UP_REWARD_REPLACED_HERO,"Memandangkan anda telah memiliki <NAME>, anda akan mendapat ganjaran alternatif."
TID_RANK_UP_REWARD_REPLACED_PIN,"Memandangkan anda telah memiliki pin ini, anda akan dapat ganjaran lain."
TID_RANK_UP_REWARD_REPLACED_SKIN,"Memandangkan anda telah memiliki <NAME>, anda akan dapat ganjaran lain."
TID_RANK_UP_REWARD_REPLACED_GEN,"Memandangkan anda telah memiliki ganjaran ini, anda akan dapat ganjaran lain."
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,Tiada brawler anda yang boleh menerima <AMOUNT> mata kuasa dan anda telah mencapai bilangan had mata kuasa.\n\nTerima ganjaran lain?
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,HANTAR PERMINTAAN RAKAN
TID_PLAYER_INFO_REMOVE_FRIEND,BUANG DARI SENARAI RAKAN
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,PERMINTAAN RAKAN DIHANTAR
TID_PLAYER_INFO_IS_YOUR_FRIEND,RAKAN\nDALAM PERMAINAN
TID_POWER_POINTS,MATA KUASA
TID_HERO_INFO_LEVEL,KUASA
TID_HERO_INFO_LEVEL_LONG,TAHAP KUASA
TID_HERO_INFO_RANK,PANGKAT
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,NAIK TARAF KE KUASA TAHAP <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,KETIK SEKALI LAGI UNTUK SAHKAN
TID_HERO_INFO_MAX_LEVEL,KUASA MAKSIMUM
TID_HERO_INFO_MORE_POWER_NEEDED,Kumpul lebih kuasa untuk naik taraf!
TID_HERO_INFO_LEVEL_UP_ERROR_4,Brawler tiada Mata Kuasa yang mencukupi
TID_HERO_INFO_LEVEL_UP_ERROR_3,Anda tiada syiling yang mencukupi!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Brawler sudah berada pada TAHAP KUASA maksimum!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,BRAWLER PERMULAAN
TID_HERO_INFO_STAR_POWER_EQUIP,PILIH
TID_HERO_INFO_STAR_POWER_EQUIPPED,DIPILIH
TID_PLAYER_REPORTED_SUCCESSFULLY,Pemain dilaporkan!
TID_TOO_MANY_REPORTS_SENT,Anda telah mencapai had laporan harian!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Sila tunggu sebelum menghantar laporan lain
TID_CHOOSE_CHARACTER,PILIH BRAWLER
TID_ARMOR,NILAI NYAWA
TID_ARMOR_DESC,Menunjukkan kerosakan yang boleh diterima Brawler sebelum terkorban.
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,Tembakan Sebaran senapang patah Shelly tersebar ke pasukan lawannya. Supernya memusnahkan pengadang dan menjauhkan pihak lawan.
TID_LONG_RANGE_SHOTGUN,TEMBAKAN SEBARAN
TID_LONG_RANGE_SHOTGUN_DESC,"Senapang patah Shelly menembak butiran pelet pada jarak sederhana. Lebih banyak pelet yang terkena, lebih hebat kuasanya."
TID_MEGA_BLASH_ULTI,PELURU SUPER
TID_MEGA_BLASH_ULTI_DESC,Peluru Super Shelly memusnahkan musuh dan pengadang. Yang terselamat akan mengalami tolakan.
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,Wira tak dijangka yang sering berada di tempat yang salah pada masa yang betul. Dia suka bercermin dan penuh keyakinan!
TID_RAPID_FIRE,ENAM TEMBAKAN
TID_RAPID_FIRE_DESC,Colt melepaskan enam tembakan berterusan dengan revolvernya.
TID_RAPID_FIRE_ULTI,RIBUT PELURU
TID_RAPID_FIRE_ULTI_DESC,Colt menembak sebaran peluru yang menganjur lebih jauh memusnahkan pengadang.
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Bull melakukan kerosakan besar dekat dengan senapang patahnya. Bagi gerakan Supernya, dia meluru melalui halangan dan menolak musuh ke belakang!"
TID_SHOTGUN_BLAST,TEMBAKAN DWILARAS
TID_SHOTGUN_BLAST_DESC,"Senapang patah berlaras dua milik Bull ni melakukan kerosakan besar. Oleh itu, Bull suka berdekat-dekat sebab senapang ni berjulat dekat."
TID_CHARGE,JENTOLAK
TID_CHARGE_DESC,Bull menundukkan kepalanya dan meredah pihak lawan dan halangan. Dia itu memang keras kepala!
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Apabila Brock tidak membakar medan pertempuran dengan roket, dia lincah berjoget dan menyerikan tempat menari."
TID_FIREWORKS_WEAPON,ROKET MENGEJUT
TID_FIREWORKS_WEAPON_DESC,Brock melepaskan satu Roket Mengejut yang terbang jauh di medan pertempuran.
TID_FIREWORKS_ULTI,HUJAN ROKET
TID_FIREWORKS_ULTI_DESC,Brock melepaskan bedilan roket yang memusnahkan musuh dan halangan. Dia hanya ingin tengok awak dihujani roket!
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Lama mengelamun di dalam lombong, Dynamike gila sudah kembali dan tidak sabar untuk meletupkan segala-galanya hingga berkecai!"
TID_MORTAR,PERENGUS
TID_MORTAR_DESC,"Mike melontarkan dua batang dinamit, melepasi semua halangan. Fius dipendekkan menyebabkan ia cepat meletup seperti perangainya."
TID_MORTAR_ULTI,TONG BOM BESAR
TID_MORTAR_ULTI_DESC,Satu tong besar dinamit meledak. Musuh yang masih hidup akan kena tolak disebabkan impaknya yang besar!
TID_LUCHADOR,EL PRIMO
TID_LUCHADOR_DESC,El Primo melepaskan tumbukan bertubi-tubi pada musuhnya. Supernya ialah lompatan jatuhan siku yang melakukan kerosakan terhadap semua yang terperangkap di bawahnya!
TID_LUCHADOR_WEAPON,TUMBUKAN MELAYANG
TID_LUCHADOR_WEAPON_DESC,El Primo mengayunkan empat tumbukan melayang. Ini seperti tumbukan sambal cili padi!
TID_LUCHADOR_ULTI,JATUHAN SIKU TERBANG
TID_LUCHADOR_ULTI_DESC,El Primo melompat tinggi dan menjatuhkan siku antara galaksi yang akan menolak kuat musuh dan memusnahkan pengadang!
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,Rico menembak berbanyak-banyak peluru yang melantun di dinding. Tembakan Supernya ialah lantunan peluru berturut-turut yang menembusi sasaran!
TID_TRICKSHOT_DUDE_WEAPON,PELURU MELANTUN
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Peluru Rico melantun dari dinding, meningkatkan jaraknya. Ia boleh menembak musuh yang berselindung."
TID_TRICKSHOT_DUDE_ULTI,TEMBAKAN TEKNIK
TID_TRICKSHOT_DUDE_ULTI_DESC,"Rico menembak banyak peluru yang menembusi musuh dan melantun dari dinding, meningkatkan jaraknya."
TID_CACTUS,SPIKE
TID_CACTUS_DESC,Spike membaling grenad kaktus yang menyebarkan jarum dan Supernya mengagumkan: medan duri kaktus yang memperlahankan dan melakukan kerosakan pada musuh!
TID_CACTUS_WEAPON,GRENAD JARUM
TID_CACTUS_WEAPON_DESC,"Spike menembak kaktus kecil dan meletup, menembak menembak duri ke semua arah."
TID_CACTUS_ULTI,JANGAN KE MANA-MANA!
TID_CACTUS_ULTI_DESC,Spike membaling tinggi-tinggi grenad berduri. Musuh yang terperangkap di dalam kawasan letupan akan menerima kerosakan dan diperlahankan.
TID_BARKEEP,BARLEY
TID_BARKEEP_DESC,"Barley menghidangkan minuman paling berkualiti di Starr Park. Tapi, jika mengotorkan barnya, dia akan meradang dan botol akan berterbangan!"
TID_BARKEEP_WEAPON,SIMBAHAN PEKAT
