TID,JP
TID_CC_TEASER_INFO,<WIN>勝チャンピオンシップチャレンジが始まります！\n\nフレンドとプレイするも良し、「チームを検索」機能を使って更なるチャンスを狙うも良し。\n\nチャレンジをプレイできるのは<DURATION>時間だけです。どうぞお見逃しなく！
TID_CC_POPUP_TITLE,チャンピオンシップチャレンジ
TID_CC_POPUP_1_TITLE,PSGカップ
TID_CC_POPUP_TITLE_PSG_21,PSGカップ2021
TID_CC_POPUP_DESC,勝利するたびに豪華報酬を獲得！チャレンジは<WINS>勝でクリアできますが、<LOSSES>敗すると敗退となります！
TID_CC_POPUP_1_DESC,勝利するたびに豪華報酬を獲得！このカップは<WINS>勝でクリアできますが、<LOSSES>敗すると敗退となります！
TID_CC_POPUP_WINS,<WINS>/<MAX>勝
TID_CC_POPUP_WINS_FOR_EVENT,ステージ<LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,準々決勝
TID_POPUP_WINS_FOR_EVENT_PSG_2,準決勝
TID_POPUP_WINS_FOR_EVENT_PSG_3,決勝
TID_CC_POPUP_QUALIFY_INFO,チャレンジをクリアして、ブロスタ チャンピオンシップの次なるステージに向けて予選を突破しよう！
TID_CC_POPUP_QUALIFY_INFO_PSG,チャレンジをクリアして、PSGシェリースキンを獲得しましょう！
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,チャレンジ\nクリア！
TID_CC_POPUP_CHALLENGE_OVER,チャレンジ終了
TID_CC_POPUP_OUT_OF_LIVES,挑戦回数が上限に達しました
TID_CC_POPUP_BUY_LIVES,追加で<NUM>個購入しますか？
TID_CC_POPUP_COMPLETED,チャレンジクリア
TID_CC_POPUP_LEVEL,ステージ<LEVEL>
TID_CC_POPUP_WIN,勝利
TID_CC_POPUP_LOSSES,敗北
TID_QUALIFIED_TITLE,オンライン予選をアンロック！
TID_QUALIFIED_INFO,チャンピオンシップチャレンジをクリアしました！\nおめでとうございます！\n\nブロスタ チャンピオンシップへの挑戦を続けるには、<cFFE400><URL></c>をご覧ください。
TID_QUALIFIED_INFO_HUB,チャンピオンシップチャレンジをクリアしました！おめでとうございます！\n\nブロスタ チャンピオンシップへの挑戦を続けるには、ホーム画面に新たに登場したeスポーツのセクションをご覧ください。
TID_QUALIFIED_INFO_PSG,PSGカップで勝利しました！おめでとうございます！PSGシェリーのスキンをアンロックしました！
TID_QUALIFIED_GO,OK！
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,チャンピオンシップ\nチャレンジ
TID_BATTLE_END_CC_WIN_LABEL,<AMOUNT>勝の報酬
TID_BATTLE_END_CC_DEFEAT_0,チャレンジ終了です。\n次は頑張りましょう！
TID_BATTLE_END_CC_DEFEAT_1,もう一度負けると敗退です。\n諦めないで！
TID_BATTLE_END_CC_DEFEAT_2,今回は負けましたが\nまだ次があります！
TID_BATTLE_END_CC_DRAW_DESC,もう一度プレイして\n勝利しましょう！
TID_BATTLE_END_CC_QUALIFY_LABEL,予選通過！
TID_BATTLE_END_CC_QUALIFY_INFO,おめでとうございます！\nブロスタ チャンピオンシップの\n次なるステージへ進む予選を通過しました。\n詳しくは受信箱をご確認ください。
TID_PRO_LEAGUE_INFO_POPUP_TITLE,パワープレイ リーグ報酬
TID_PRO_LEAGUE_INFO_POPUP_INFO,報酬は最終的な\n獲得ポイントで決まります
TID_PRO_LEAGUE_INFO_POPUP_RANK,ランキング
TID_PRO_LEAGUE_INFO_POPUP_POINTS,ポイント
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,グローバルランキングの上位になると\n追加報酬がもらえます
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,パワープレイ リーグ終了後の報酬
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,リーグランキング
TID_PRO_LEAGUE_SEASON_END_TIME,リーグ終了まで
TID_PRO_LEAGUE_POPUP_TITLE,パワープレイ
TID_EVENT_LABEL_PRO_LEAGUE,パワープレイ
TID_PRO_LEAGUE_POPUP_INFO,パワープレイで自分のスキルを試しましょう。1日3回のバトルを戦ってリーグランキングのトップを目指します。リーグが終了すると、獲得ポイントやグローバルランキングの順位に基づいて、スターポイントを獲得できます。
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,現在のリーグ
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,前回のリーグ
TID_PRO_LEAGUE_LABEL,パワープレイ
TID_TEAM_ERROR_38,パワーレベル10のキャラを選択してください！
TID_TEAM_ERROR_39,本日のパワープレイバトルは\nすべて終了しました。
TID_PRO_LEAGUE_GAMES,残りのバトル回数：<GAMESLEFT>/<MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,パワープレイのリーグは終了しました
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,獲得ポイント
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,最終ランキング
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,スターポイント報酬
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,パワープレイ報酬：<AMOUNT><cff00ff>スターポイント</c>を獲得！
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,大勝利（+3ポイント）：
TID_OVERWHELMING_VICTORY_GMV_0,15個目のエメラルドが出現する前に勝利する
TID_OVERWHELMING_VICTORY_GMV_5,2-0で勝利する
TID_OVERWHELMING_VICTORY_GMV_2,金庫のHPが60％以上残っている状態で勝利する
TID_OVERWHELMING_VICTORY_GMV_11,タレットのHPが80％以上残っている状態で勝利する
TID_OVERWHELMING_VICTORY_GMV_3,敵よりも10個以上多く星を獲得して勝利する
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,ランキングに基づいてポイントを獲得します
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,勝利すると30ポイント、引き分けで15ポイント、敗北すると5ポイントを獲得します
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,ポイント
TID_DOUBLE_TOKEN_WEEKEND,トークン2倍イベント
TID_COIN_SHOWER_EVENT,コインの雨イベント
TID_RANKS_ADDED_TITLE,新たなキャラクターランク
TID_RANKS_ADDED_DESC,キャラクターの最大ランクが20から35になりました。\n\n新たなランクに到達したキャラクターに応じて、<cff00ff><STARPOINTS></c>スターポイントとトークン<TOKENS>個を獲得しました。
TID_SKINS_TITLE,スキン
TID_SKINS_BUTTON_LABEL,スキン
TID_SKIN_PREVIEW,スキンのプレビュー
TID_DEFAULT_SKIN,<HERO>のデフォルトスキン
TID_HERO_LVL_UP_MATERIAL,コイン
TID_TOKENS,トークン
TID_FIRST_WINS,スタートークン
TID_CLUB_COINS,クラブコイン
TID_BUTTON_INBOX,受信箱
TID_INBOX_TITLE,受信箱
TID_INBOX_SYSTEM_SENDER,システム
TID_INBOX_SUPPORT_SENDER,ブロスタ サポート
TID_INBOX_BRAWLSTARS_SENDER,ブロスタ
TID_INBOX_AGE,<TIME>前
TID_INBOX_CLAIM,受け取る
TID_INBOX_VIEW,見る
TID_INBOX_TAB_0,クラブメール
TID_INBOX_TAB_1,個別メール
TID_INBOX_NO_ENTRIES,メールなし
TID_INBOX_CAPTION_99,トロフィーリーグが終了しました
TID_INBOX_CAPTION_94,スキン寄付：<NAME>
TID_INBOX_CAPTION_93,キャラクター寄付：<NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,キャラクター寄付：<NAME>（パワーレベル<LEVEL>）
TID_INBOX_CAPTION_92,<NAME>に<AMOUNT>パワーポイントを寄付
TID_INBOX_CAPTION_91,チケット<AMOUNT>枚を寄付
TID_INBOX_CAPTION_90,<AMOUNT><NAME>を寄付
TID_INBOX_CAPTION_89,<AMOUNT>エメラルドを寄付
TID_INBOX_CAPTION_88,ダブルトークン<AMOUNT>個を寄付
TID_INBOX_CAPTION_85,エメラルドを<AMOUNT>個削除
TID_INBOX_CAPTION_84_4,<NAME>のスターパワー「<ABI>」を寄付
TID_INBOX_CAPTION_84_5,<NAME>のガジェット「<ABI>」を寄付
TID_INBOX_CAPTION_78,キャラクターランク21～30が登場！
TID_INBOX_CAPTION_76,オンライン予選をアンロック！
TID_INBOX_CAPTION_75,<CHALLENGE>の勝利報酬：\n<NAME>
TID_INBOX_CAPTION_74,チケットの補償
TID_INBOX_CAPTION_73,寄付：ブロスタパス
TID_INBOX_CAPTION_72_52,寄付：ピンズ
TID_INBOX_CAPTION_71,寄付：ブロスタパスシーズン「<SEASON>」のトークン<AMOUNT>個
TID_INBOX_CAPTION_70,<CHALLENGE>の勝利報酬：
TID_INBOX_CAPTION_64,寄付：<NAME> x<AMOUNT>
TID_INBOX_CAPTION_DONATION,寄付：<TEXT>
TID_INBOX_NEW,新着
TID_BAND_MAIL_POPUP_TITLE,クラブメール
TID_BAND_MAIL_POPUP_DEFAULT_TXT,ここにメッセージを入力...
TID_BAND_MAIL_POPUP_POST,送信
TID_BAND_MAIL_POPUP_NO_MSG,メッセージを\n入力してください
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,この機能はデモアカウントではご利用いただけません
TID_REVOKE_TITLE,サポートからのメッセージ
TID_REVOKE_OK,OK
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,すでにチームに参加しているため、参加申請を送信できません
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,保留中の招待があるため\n参加申請を送信できません
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,保留中の申請があるため\n参加申請を送信できません
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,参加申請が\nキャンセルされました
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,チームに入れてください
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>勝利</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>敗北</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>引き分け</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>ランク<RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>ランク<RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>ランク<RANK></c>
TID_BATTLE_LOG_AGE,<TIME>前
TID_BATTLE_LOG_HERO_LEVEL_LABEL,レベル
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,バトル履歴
TID_BATTLE_LOG_REPLAY,リプレイ
TID_BATTLE_LOG_MVP,MVP
TID_BATTLE_LOG_FRIENDLY,フレンドバトル
TID_BATTLE_LOG_TOURNAMENT,大会
TID_BATTLE_LOG_PVP,ガチバトル
TID_BATTLE_LOG_PRO_LEAGUE,パワープレイ
TID_BATTLE_LOG_RANKED,パワーリーグ
TID_BATTLE_LOG_NO_ENTRIES,履歴なし
TID_BATTLE_LOG_THIS_IS_A_BOT,これはボットです
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,リプレイは\n現在利用できません
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,リプレイは\nまだ利用できません
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,トロフィー数が足りないためリプレイできません
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,リプレイを利用するには<NUM>トロフィー必要です
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,記録エラーの発生により\nリプレイできません
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,もう利用できない\nリプレイです
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,フレンドを追加できません
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,フレンドリンクが期限切れです！
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,フレンドを追加できません。相手のフレンドリストが一杯です！
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,フレンドを追加できません。フレンドリストが一杯です！
TID_ADD_FRIEND_FAILED_BANNED,フレンドを追加できません。相手のアカウントは利用停止中です！
TID_KEYPOOL_KEYS_REMAINING,残り<VALUE>個
TID_KEYPOOL_NEXT_PATCH,<TIME>後に<KEYS>個追加
TID_TOP_HUD_NEXT_REWARD,次の報酬
TID_RANK_UP_REWARD_REPLACED_TITLE,代替報酬を確認
TID_RANK_UP_REWARD_REPLACED_POWER,<AMOUNT>パワーポイントを受け取れるキャラクターがいません。\n\n代替報酬を受け取りますか？
TID_RANK_UP_REWARD_REPLACED_HERO,すでに<NAME>を所有しているため代替報酬を受け取ります。
TID_RANK_UP_REWARD_REPLACED_PIN,すでにこのピンズを所有しているため代替報酬を受け取ります。
TID_RANK_UP_REWARD_REPLACED_SKIN,すでに<NAME>を所有しているため代替報酬を受け取ります。
TID_RANK_UP_REWARD_REPLACED_GEN,すでにこの報酬を所有しているため代替報酬を受け取ります。
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,パワーポイントの所持数が上限に達しており、<AMOUNT>パワーポイントを受け取れるキャラクターもいません。\n\n代替報酬を受け取りますか？
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,フレンド申請を\n送る
TID_PLAYER_INFO_REMOVE_FRIEND,フレンドリストから削除
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,フレンド申請を\n送信しました
TID_PLAYER_INFO_IS_YOUR_FRIEND,ゲーム内\nフレンド
TID_POWER_POINTS,パワーポイント
TID_HERO_INFO_LEVEL,パワー
TID_HERO_INFO_LEVEL_LONG,パワーレベル
TID_HERO_INFO_RANK,ランク
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,パワーレベル<LVL>にアップグレード
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,もう一度タップして確定
TID_HERO_INFO_MAX_LEVEL,最大パワー
TID_HERO_INFO_MORE_POWER_NEEDED,パワーポイントを集めてアップグレード！
TID_HERO_INFO_LEVEL_UP_ERROR_4,キャラクターの\nパワーポイントが足りません
TID_HERO_INFO_LEVEL_UP_ERROR_3,コインが足りません
TID_HERO_INFO_LEVEL_UP_ERROR_5,キャラクターのパワーレベルはすでに最大です！
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,先発キャラクター
TID_HERO_INFO_STAR_POWER_EQUIP,選択
TID_HERO_INFO_STAR_POWER_EQUIPPED,選択中
TID_PLAYER_REPORTED_SUCCESSFULLY,プレイヤーを報告しました！
TID_TOO_MANY_REPORTS_SENT,1日の最大報告数を超えています！
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,次の報告を行えるようになるまで、しばらくお待ちください
TID_CHOOSE_CHARACTER,キャラクターを選択
TID_ARMOR,HP
TID_ARMOR_DESC,キャラクターが倒されるまでに耐えられるダメージの量を示します。
TID_SHOTGUN_GIRL,シェリー
TID_SHOTGUN_GIRL_DESC,シェリーのバックショットは広範囲に広がって標的を襲う。必殺技は障害物を吹き飛ばし、敵も寄せ付けない。
TID_LONG_RANGE_SHOTGUN,バックショット
TID_LONG_RANGE_SHOTGUN_DESC,シェリーの武器は、広範囲に広がる中距離の散弾銃だ。命中した弾が多いほど、ダメージが大きくなる。
TID_MEGA_BLASH_ULTI,スーパーシェル
TID_MEGA_BLASH_ULTI_DESC,障害物も敵も吹き飛ばす高威力。攻撃に耐えた敵も押し戻してしまう。
TID_GUNSLINGER,コルト
TID_GUNSLINGER_DESC,大事な時に大事な場所にいてくれない正義の味方、コルト。どこか抜けたところがあるが、ちょっとやそっとじゃ怖気づかない自信たっぷりのヒーローだ！
TID_RAPID_FIRE,シックスシューター
TID_RAPID_FIRE_DESC,自慢のリボルバーから長射程の6連弾を放つ。
TID_RAPID_FIRE_ULTI,ブレットストーム
TID_RAPID_FIRE_ULTI_DESC,爆発的な衝撃とともに飛び出す弾丸は、障害物も粉砕するパワーと圧倒的な飛距離を誇る。
TID_BULL_DUDE,ブル
TID_BULL_DUDE_DESC,ブルのショットガンは、近距離にいる標的に大ダメージを与える。必殺技で見せる突進は障害物を押しのけ、敵もなぎ倒す。
TID_SHOTGUN_BLAST,ダブルバレル
TID_SHOTGUN_BLAST_DESC,ダブルバレルのショットガンが大ダメージを与える。射程が短いため、相手のパーソナルスペースに踏み込んでしまうことも多いようだ。
TID_CHARGE,ブルドーザー
TID_CHARGE_DESC,頭を低くして、敵や障害物に猛突進！こうなった彼は、もう誰にも止められない！
TID_ROCKET_GIRL,ブロック
TID_ROCKET_GIRL_DESC,いつもロケットで戦場を沸かせているブロック。戦っていないときは、そのしなやかな動きでダンスフロアを沸かせているという。
TID_FIREWORKS_WEAPON,ロックンロケット
TID_FIREWORKS_WEAPON_DESC,かなり射程の長いロックンロケットを1発ずつ発射する。
TID_FIREWORKS_ULTI,ロケットレイン
TID_FIREWORKS_ULTI_DESC,敵も障害物も吹き飛ばすロケットの連射。彼いわく、人はロケットの雨に打たれている姿が最も魅力的なのだとか。
TID_TNT_DUDE,ダイナマイク
TID_TNT_DUDE_DESC,噂では鉱山の奥底で行方不明になっていたダイナマイクが、ついに帰ってきた！圧倒的な爆発力はまだまだ健在だ！
TID_MORTAR,短気決戦
TID_MORTAR_DESC,どんな障害物もものともせず、2本のダイナマイトを投げ入れる。彼の異常な短気さに合わせて、導火線はすべて短くカットしてある。
TID_MORTAR_ULTI,巨大タル爆弾
TID_MORTAR_ULTI_DESC,ダイナマイトが詰まった特大なタルが障害物を吹き飛ばす。やられなかった敵も爆風で押し戻してしまう。
TID_LUCHADOR,エル・プリモ
TID_LUCHADOR_DESC,エル・プリモは、敵に連続パンチを浴びせる。必殺技は、真下にいる者すべてにダメージを与えるエルボードロップだ。
TID_LUCHADOR_WEAPON,怒りの鉄拳
TID_LUCHADOR_WEAPON_DESC,怒りに燃えた灼熱の拳で敵を打つ。ハラペニョがきいたスパイシーなパンチが炸裂だ！
TID_LUCHADOR_ULTI,エルボー・ドロップ
TID_LUCHADOR_ULTI_DESC,高く跳び上がったら、障害物まで破壊する強力なエルボードロップを敵の脳天にお見舞いする。
TID_TRICKSHOT_DUDE_OLD,リコシェ
TID_TRICKSHOT_DUDE_DESC,リコは、壁に当たると跳ねる弾丸を発射する。必殺技はさらに射程が長く、標的を貫いて壁で跳ね返る。
TID_TRICKSHOT_DUDE_WEAPON,ピンボール
TID_TRICKSHOT_DUDE_WEAPON_DESC,彼の弾丸は、壁に当たり跳ね返ると飛距離が延びる。障害物の後ろに隠れた敵もお手のもの。
TID_TRICKSHOT_DUDE_ULTI,トリックショット
TID_TRICKSHOT_DUDE_ULTI_DESC,長射程でパワフルな弾丸を放つ。敵に当たっても貫通して壁まで届き、跳ね返ると飛距離が延びる。
TID_CACTUS,スパイク
TID_CACTUS_DESC,スパイクは、トゲを飛ばすサボテンのグレネードを投げる。必殺技ではトゲトゲの地面を作り出し、敵の動きを鈍らせつつダメージを与える。
TID_CACTUS_WEAPON,サボテンボム
TID_CACTUS_WEAPON_DESC,四方八方にトゲを飛ばして爆発する、小さなサボテンを投げつける。
TID_CACTUS_ULTI,トゲトゲ地獄
TID_CACTUS_ULTI_DESC,トゲの海を生み出すグレネード。効果範囲に入った敵はダメージを負うだけでなく、動きも鈍くなる。
TID_BARKEEP,バーリー
TID_BARKEEP_DESC,スターパークで最高のドリンクを振る舞うバーリー。でも彼のバーを汚そうものなら、容赦なく瓶を投げつけられる。
TID_BARKEEP_WEAPON,オン・ザ・ロック
TID_BARKEEP_WEAPON_DESC,投げたボトルが地面で割れ、キツいアルコールが敵にダメージを与える。ダメージは効果範囲にいる時間につれて大きくなる。
TID_BARKEEP_ULTI,ラストオーダー
TID_BARKEEP_ULTI_DESC,引火性があるのは言うまでもなく... 広範囲を火の海にするボトルを、店から何本か大サービス！
TID_MECHANIC,ジェシー
TID_MECHANIC_DESC,ジェシーのライフルは、敵から敵へと飛び移るエネルギー弾を発射する。必殺技は、可愛い見た目の強力なタレットだ！
TID_MECHANIC_WEAPON,ショックライフル
TID_MECHANIC_WEAPON_DESC,球状のエネルギー弾を発射する。敵に当たった後も射程にいる次の標的に向かって跳ね返り、最大3人まで攻撃できる。与えるダメージは跳ね返るごとに<damageDecayChain>ずつ減少する。
TID_MECHANIC_ULTI,がらくタレット
TID_MECHANIC_ULTI_DESC,自動で敵を攻撃するタレットを設置する。しかもなんと100％リサイクル素材で作られた、環境に優しいタレットなのだ！
TID_SHAMAN,ニタ
TID_SHAMAN_DESC,ニタは、地面を震わす衝撃波で敵を攻撃する。必殺技では、彼女と共に戦う大きなクマを召喚する！
TID_SHAMAN_WEAPON,衝撃波
TID_SHAMAN_WEAPON_DESC,彼女の衝撃波は地面を揺らし、巻き込まれた敵にダメージを与える。
TID_SHAMAN_ULTI,威風堂々
TID_SHAMAN_ULTI_DESC,倒されるまで敵を追って攻撃し続ける、巨大な赤ちゃんクマを召喚する。
TID_UNDERTAKER,モーティス
TID_UNDERTAKER_DESC,モーティスは、シャベルを振ることで前へとダッシュする。必殺技では、敵のHPを吸い取って自身を癒すコウモリの群れを召喚する！
TID_UNDERTAKER_WEAPON,シャベルスイング
TID_UNDERTAKER_WEAPON_DESC,シャベルを素早く振ることで前方へダッシュする。新たな顧客開拓に向けた営業アピールも兼ねているのだとか。3回分の通常攻撃が溜まった状態を維持すると、長距離ダッシュがチャージされる。
TID_UNDERTAKER_ULTI,ドラキュラ
TID_UNDERTAKER_ULTI_DESC,吸血コウモリの群れを召喚し、吸い取った敵のHPを自らのHPとして取り込む。なんとも不気味である...
TID_CROW,クロウ
TID_CROW_DESC,ある日突然、町に現れた謎のクリーチャー。彼にケンカを仕掛けようとする者などいるだろうか？いや、もはやいないだろう...
TID_CROW_WEAPON,飛び出しナイフ
