TID,FR
TID_INBOX_CAPTION_72_52,DON : ÉMOTE
TID_INBOX_CAPTION_71,"DON : <AMOUNT> JETONS POUR LA SAISON DE PASS BRAWL, <SEASON>"
TID_INBOX_CAPTION_70,Récompense de victoire dans le défi <CHALLENGE>
TID_INBOX_CAPTION_64,Vous avez reçu <AMOUNT> exemplaire(s) de : <NAME>.
TID_INBOX_CAPTION_DONATION,DON : <TEXT>
TID_INBOX_NEW,NOUV.
TID_BAND_MAIL_POPUP_TITLE,CLUB-MAIL
TID_BAND_MAIL_POPUP_DEFAULT_TXT,Saisissez votre message.
TID_BAND_MAIL_POPUP_POST,ENVOYER
TID_BAND_MAIL_POPUP_NO_MSG,N'oubliez pas d'écrire un message.
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Cette fonctionnalité n'est pas disponible pour les comptes de démo.
TID_REVOKE_TITLE,Message de l'assistance
TID_REVOKE_OK,O.K.
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Envoi de la demande impossible : vous êtes déjà dans une équipe.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Envoi de la demande impossible : vous avez une invitation en attente.
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Envoi de la demande impossible : vous avez une demande en attente.
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Demande annulée
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,Je veux rejoindre votre équipe !
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>VICTOIRE</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>DÉFAITE</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>ÉGALITÉ</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>RANG <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>RANG <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>RANG <RANK></c>
TID_BATTLE_LOG_AGE,Il y a <TIME>
TID_BATTLE_LOG_HERO_LEVEL_LABEL,NIV.
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,JOURNAL DE COMBAT
TID_BATTLE_LOG_REPLAY,REPLAY
TID_BATTLE_LOG_MVP,JOUEUR STAR
TID_BATTLE_LOG_FRIENDLY,AMICAL
TID_BATTLE_LOG_TOURNAMENT,TOURNOI
TID_BATTLE_LOG_PVP,CLASSÉ
TID_BATTLE_LOG_PRO_LEAGUE,MARATHON STAR
TID_BATTLE_LOG_RANKED,COUPE STAR
TID_BATTLE_LOG_NO_ENTRIES,AUCUNE ENTRÉE
TID_BATTLE_LOG_THIS_IS_A_BOT,C'est un bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Replay momentanément désactivé
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Aucun replay disponible
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Replay non disponible : ce brawler n'a pas assez de trophées.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Atteignez <NUM> trophées avec ce brawler pour débloquer le replay.
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Aucun replay : l'enregistrement a échoué.
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Le replay n'est plus disponible.
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Impossible d'ajouter cet ami
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Demande d'ami expirée
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Impossible d'ajouter cet ami, sa liste d'amis est pleine."
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Impossible d'ajouter cet ami, votre liste d'amis est pleine."
TID_ADD_FRIEND_FAILED_BANNED,"Impossible d'ajouter cet ami, il a été banni."
TID_KEYPOOL_KEYS_REMAINING,Reste : <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> jetons dans <TIME>
TID_TOP_HUD_NEXT_REWARD,Prochaine récompense
TID_RANK_UP_REWARD_REPLACED_TITLE,Changement de récompense
TID_RANK_UP_REWARD_REPLACED_POWER,Aucun de vos brawlers ne peut être sélectionné pour recevoir <AMOUNT> points.\n\nVoulez-vous changer de récompense ?
TID_RANK_UP_REWARD_REPLACED_HERO,Vous avez déjà <NAME>. Vous recevrez une autre récompense.
TID_RANK_UP_REWARD_REPLACED_PIN,Vous avez déjà cette émote. Vous recevrez une autre récompense.
TID_RANK_UP_REWARD_REPLACED_SKIN,Vous avez déjà <NAME>. Vous recevrez une autre récompense.
TID_RANK_UP_REWARD_REPLACED_GEN,Vous avez déjà cette récompense. Vous en recevrez une autre à la place.
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,"Vous avez atteint le maximum de points de pouvoir, et aucun de vos brawlers ne peut en recevoir <AMOUNT>.\n\nRécupérer la récompense alternative ?"
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,ENVOYER DEMANDE
TID_PLAYER_INFO_REMOVE_FRIEND,SUPPRIMER DE LA LISTE D'AMIS
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,DEMANDE D'AMI ENVOYÉE
TID_PLAYER_INFO_IS_YOUR_FRIEND,AMI\nEN JEU
TID_POWER_POINTS,POINTS DE POUVOIR
TID_HERO_INFO_LEVEL,POUVOIR
TID_HERO_INFO_LEVEL_LONG,NIVEAU DE POUVOIR
TID_HERO_INFO_RANK,RANG
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,AMÉLIORER AU NIV <LVL> DE POUVOIR
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,Appuyez à nouveau pour confirmer
TID_HERO_INFO_MAX_LEVEL,POUVOIR MAX
TID_HERO_INFO_MORE_POWER_NEEDED,Gagnez plus de pouvoir pour améliorer.
TID_HERO_INFO_LEVEL_UP_ERROR_4,Ce brawler n'a pas assez de points de pouvoir.
TID_HERO_INFO_LEVEL_UP_ERROR_3,Vous n'avez pas assez de pièces.
TID_HERO_INFO_LEVEL_UP_ERROR_5,Brawler au niveau de pouvoir maximum
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,PREMIER BRAWLER
TID_HERO_INFO_STAR_POWER_EQUIP,CHOISIR
TID_HERO_INFO_STAR_POWER_EQUIPPED,CHOISI
TID_PLAYER_REPORTED_SUCCESSFULLY,Joueur signalé
TID_TOO_MANY_REPORTS_SENT,Vous avez atteint la limite quotidienne de signalements.
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Veuillez patienter avant d'envoyer un nouveau signalement.
TID_CHOOSE_CHARACTER,CHOIX DU BRAWLER
TID_ARMOR,SANTÉ
TID_ARMOR_DESC,Indique la quantité de dégâts que votre brawler peut encaisser avant d'être mis hors-jeu.
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,"Grâce à son fidèle fusil, Shelly fait pleuvoir la chevrotine sur ses adversaires. Son super détruit les obstacles et garde l'équipe adverse à distance."
TID_LONG_RANGE_SHOTGUN,CHEVROTINE
TID_LONG_RANGE_SHOTGUN_DESC,"Un coup de feu projette une volée de plombs à distance moyenne. Plus il y a de plombs qui atteignent la cible, plus les dégâts sont élevés."
TID_MEGA_BLASH_ULTI,SUPER CHEVROTINE
TID_MEGA_BLASH_ULTI_DESC,"La super chevrotine de Shelly rase tout sur son passage, abris et ennemis compris ! Les survivants sont projetés en arrière."
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,"Un héros malgré lui, qui se retrouve souvent au mauvais endroit au bon moment. Amoureux de son reflet dans le miroir, il transpire la confiance !"
TID_RAPID_FIRE,SIX-COUPS
TID_RAPID_FIRE_DESC,Colt tire six coups à longue portée grâce à ses pistolets.
TID_RAPID_FIRE_ULTI,PLUIE DE BALLES
TID_RAPID_FIRE_ULTI_DESC,C'est un vrai déluge de balles avec une portée encore plus longue et qui peuvent même détruire les abris.
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Le fusil de Bull fait des dégâts de fou à courte portée. Il aime aller au contact avec son super : il charge et passe à travers les obstacles, pour repousser ses ennemis."
TID_SHOTGUN_BLAST,DOUBLE CANON
TID_SHOTGUN_BLAST_DESC,Vous serez surpris par les dégâts que peut infliger un seul fusil. Et sa courte portée n'est pas un problème : Bull aime aller au contact.
TID_CHARGE,BULLDOZER
TID_CHARGE_DESC,"On rentre la tête dans les épaules et on fonce droit devant ! Face à Bull, ni les ennemis, ni les obstacles ne font le poids."
TID_ROCKET_GIRL,BROCK
TID_ROCKET_GIRL_DESC,"Quand Brock n'enflamme pas le combat avec ses énormes roquettes, c'est sur la piste de danse qu'il met le feu avec ses chorés endiablées."
TID_FIREWORKS_WEAPON,ROCK N' ROQUETTE
TID_FIREWORKS_WEAPON_DESC,Brock tire une seule roquette. Qui aurait cru que ce machin pouvait aller aussi loin ?
TID_FIREWORKS_ULTI,PLUIE DE ROQUETTES
TID_FIREWORKS_ULTI_DESC,"C'est une apocalypse concoctée tout spécialement par Brock, un déluge explosif qui détruit aussi bien les adversaires que les obstacles."
TID_TNT_DUDE,DYNAMIKE
TID_TNT_DUDE_DESC,"Longtemps porté disparu au fin fond d'une mine, Dynamike est de retour parmi nous. Et il a vraiment hâte de faire tout exploser !"
TID_MORTAR,PÉTAGE DE PLOMBS
TID_MORTAR_DESC,"Qui se soucie des obstacles quand on peut jeter deux bâtons de dynamite par-dessus ? Avec des mèches très courtes, bien sûr, pour une explosion imminente."
TID_MORTAR_ULTI,TONNEAU QUI FAIT BOUM
TID_MORTAR_ULTI_DESC,Un bon gros tonneau de dynamite règle tous les problèmes (ou presque). Ennemis soufflés au loin garantis !
TID_LUCHADOR,EL COSTO
TID_LUCHADOR_DESC,"El Costo attaque ses ennemis à coups de poings destructeurs et quand vient l'heure du super, il se lance sur une zone le coude en avant !"
TID_LUCHADOR_WEAPON,FUREUR DE VAINCRE
TID_LUCHADOR_WEAPON_DESC,El Costo distribue des marrons pimentés à la mexicaine : il assène quatre coups de poing rapides comme l'éclair !
TID_LUCHADOR_ULTI,COUP DE COUDE EXPLOSIF
TID_LUCHADOR_ULTI_DESC,"Il saute... Par dessus la troisième corde ! Puis il retombe, le coude d'abord, pour assommer ses adversaires et détruire les obstacles."
TID_TRICKSHOT_DUDE_OLD,RICOCHET
TID_TRICKSHOT_DUDE_DESC,Ricochet tire des balles qui rebondissent sur les murs. Son super est une volée de balles qui transpercent ses cibles.
TID_TRICKSHOT_DUDE_WEAPON,BALLES RICOCHANTES
TID_TRICKSHOT_DUDE_WEAPON_DESC,"Les balles de Ricochet ricochent contre les murs, rallongeant leur portée, et atteignent les adversaires même derrière les obstacles."
TID_TRICKSHOT_DUDE_ULTI,SNOOKER
TID_TRICKSHOT_DUDE_ULTI_DESC,Ricochet tire une longue rafale de balles qui transpercent ses ennemis et ricochent contre les murs.
TID_CACTUS,SPIKE
TID_CACTUS_DESC,Spike lance des grenades pleines d'épines. Son super crée un champ d'épines qui ralentissent les ennemis en leur causant des dégâts.
TID_CACTUS_WEAPON,GRENADE KIPIK
TID_CACTUS_WEAPON_DESC,Spike lance un petit cactus qui explose et projette des épines de partout.
TID_CACTUS_ULTI,ÉPINÉ SUR PLACE
TID_CACTUS_ULTI_DESC,Spike jette une grenade hérissée d'épines. Les ennemis à portée sont ralentis et subissent des dégâts.
TID_BARKEEP,BARTABA
TID_BARKEEP_DESC,"Bartaba propose les meilleurs cocktails de Starr Park. En revanche, il n'est pas rare de voir des bouteilles valser dans son bar fumant !"
TID_BARKEEP_WEAPON,COCKTAIL BARLOTOV
TID_BARKEEP_WEAPON_DESC,"Bartaba jette une bouteille qui se brise au sol. Les ennemis subissent des dégâts à l'impact, ainsi que des dégâts supplémentaires s'ils restent dans la flaque."
TID_BARKEEP_ULTI,TOURNÉE GÉNÉRALE
TID_BARKEEP_ULTI_DESC,"Avec une volée de cocktails qui mettent le feu à une large surface, Bartaba fait fuir tous les méchants. Tournée générale !"
TID_MECHANIC,JESSIE
TID_MECHANIC_DESC,"L'électro-fusil de Jessie tire des orbes d'énergie qui rebondissent entre les ennemis. Une fois prête, elle déploie son super, une adorable petite tourelle qui fait mal, très mal."
TID_MECHANIC_WEAPON,ÉLECTRO-FUSIL
