TID_QUEST_DESC_7_MODE_17,CHIẾM GIỮ CÁC KHU VỰC TRONG <AMOUNT> GIÂY
TID_QUEST_DESC_7_MODE_20,KHÔNG BỊ HẠ GỤC TRONG <AMOUNT> HIỆP ĐẤU
TID_QUEST_DESC_1_LEVELED,HOÀN THÀNH CẤP ĐỘ
TID_QUEST_DESC_1_BIG_GAME,THẮNG <AMOUNT> TRẬN CHIẾN
TID_QUEST_DESC_1_BIG_GAME_SINGLE,THẮNG <AMOUNT> TRẬN CHIẾN
TID_QUEST_HERO_CONDITION,\nVỚI <HERO>
TID_QUEST_MODE_CONDITION,\nTRONG CHẾ ĐỘ <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nCÙNG MỘT ĐỒNG ĐỘI
TID_QUEST_NEW,MỚI
TID_QUEST_PREMIUM,VÉ BRAWL PASS ĐỘC QUYỀN
TID_RANK_POPUP_QUESTS,NHIỆM VỤ
TID_RANK_POPUP_CLUB_FEATURE,CÂU LẠC BỘ
TID_BRAWL_PASS_POPUP_TITLE,VÉ BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,MÙA GIẢI <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,QUAY VỀ MÙA GIẢI HIỆN TẠI
TID_BRAWL_PASS_PREVIOUS_SEASON,MÙA GIẢI TRƯỚC
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,NHẤN VÀO ĐÂY ĐỂ NHẬN PHẦN THƯỞNG!
TID_BRAWL_PASS_UNLOCK_INFO,PHẦN THƯỞNG CAO CẤP BỊ KHÓA!
TID_BRAWL_PASS_UNLOCK_LABEL,MỞ KHÓA
TID_BRAWLPASS_PURCHASE_ERROR_3,Bạn đã mua Vé Brawl Pass của mùa giải này rồi.
TID_BRAWLPASS_PURCHASE_ERROR_4,"Rất tiếc, Vé Brawl Pass này không còn tồn tại!"
TID_BRAWLPASS_PURCHASE_ERROR_5,"Không thể mua GÓI VÉ BRAWL PASS, bạn đã giành được tất cả phần thưởng!"
TID_BRAWLPASS_PURCHASE_ERROR_6,Không thể mua Vé Brawl Pass khi số dư Ngọc bị âm
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,THĂNG BẬC?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Mua <NUM> Thẻ và chuyển sang Bậc tiếp theo?
TID_PURCHASE_BRAWL_PASS_TITLE,MUA VÉ BRAWL PASS!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,VÉ BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,GÓI VÉ BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Mở khóa phần thưởng Vé Brawl Pass, có thêm Nhiệm vụ và <NUM> lượt thay đổi Nhiệm vụ mỗi tuần."
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,VÉ BRAWL PASS + <NUM> BẬC
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Không thể mua Vé Brawl Pass của các mùa giải trước
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,"Không tìm thấy Vé Brawl Pass của mùa giải hiện tại, vui lòng thử lại."
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Đã mở khóa Vé Brawl Pass của mùa giải hiện tại rồi
TID_TAKEDOWNS_LABEL,HẠ GỤC
TID_DEFEAT_LABEL,BẠI TRẬN
TID_UNDERDOG,YẾU THẾ
TID_ACCESSORY,PHỤ KIỆN
TID_BATTLE_END_COIN_SHOWER,SỰ KIỆN CƠN MƯA XU
TID_LFG_POPUP_TITLE_MEMBER,TÌM THÀNH VIÊN
TID_LFG_POPUP_TITLE_TEAM,TÌM ĐỘI
TID_LFG_POPUP_INFO_MEMBER,Tìm thêm người để chơi cùng bạn
TID_LFG_POPUP_INFO_TEAM,Tìm thêm người cho đội hiện tại của bạn
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Chỉ tiêu sự kiện (nhấn để thay đổi)
TID_LFG_POPUP_EVENT_LABEL_TEAM,Tôi muốn chơi (nhấn để thay đổi)
TID_LFG_POPUP_START_SEARCH,TÌM!
TID_LFG_NO_ROOM_FOR_PLAYERS,Chế độ chơi này không hỗ trợ thêm người chơi nữa
TID_LOOKING_FOR_A_TEAM,ĐANG TÌM ĐỘI
TID_LOOKING_FOR_A_MEMBER,ĐANG TÌM THÀNH VIÊN
TID_CC_TEASER_TITLE,Sắp ra mắt!
TID_CC_TEASER_INFO,"Hãy chuẩn bị sẵn sàng và giành <WIN> trận thắng trong Thử thách Giải đấu Quán quân!\n\nChơi với bạn bè hoặc dùng tính năng \qTìm Đội\q để tăng cơ hội chiến thắng.\n\nThử thách này sẽ diễn ra trực tiếp chỉ trong <DURATION> giờ mà thôi, nên hãy tận dụng nó thật tốt nhé!"
TID_CC_POPUP_TITLE,THỬ THÁCH GIẢI ĐẤU QUÁN QUÂN
TID_CC_POPUP_1_TITLE,PSG CUP
TID_CC_POPUP_TITLE_PSG_21,PSG CUP 2021
TID_CC_POPUP_DESC,"Nhận phần thưởng hấp dẫn với mỗi trận thắng! Cần thắng <WINS> trận để hoàn tất Thử thách, nhưng bạn sẽ bị loại nếu thua <LOSSES> trận!"
TID_CC_POPUP_1_DESC,"Nhận phần thưởng hấp dẫn với mỗi trận thắng! Cần thắng <WINS> trận để đoạt được Cúp, nhưng bạn sẽ bị loại nếu thua <LOSSES> trận!"
TID_CC_POPUP_WINS,<WINS>/<MAX> TRẬN THẮNG
TID_CC_POPUP_WINS_FOR_EVENT,VÒNG <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,TỨ KẾT
TID_POPUP_WINS_FOR_EVENT_PSG_2,BÁN KẾT
TID_POPUP_WINS_FOR_EVENT_PSG_3,CHUNG KẾT
TID_CC_POPUP_QUALIFY_INFO,Hoàn tất thử thách để đạt đủ điều kiện tham gia màn tiếp theo của Giải đấu Quán quân Brawl Stars!
TID_CC_POPUP_QUALIFY_INFO_PSG,Vượt qua thử thách để giành lấy Trang phục Shelly PSG!
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Thử thách hoàn tất!
TID_CC_POPUP_CHALLENGE_OVER,THỬ THÁCH KẾT THÚC
TID_CC_POPUP_OUT_OF_LIVES,ĐÃ HẾT LƯỢT CHƠI
TID_CC_POPUP_BUY_LIVES,MUA THÊM <NUM> LƯỢT CHƠI?
TID_CC_POPUP_COMPLETED,THỬ THÁCH HOÀN TẤT
TID_CC_POPUP_LEVEL,VÒNG <LEVEL>
TID_CC_POPUP_WIN,TRẬN THẮNG
TID_CC_POPUP_LOSSES,SỐ TRẬN THUA
TID_QUALIFIED_TITLE,ĐÃ MỞ KHÓA vòng loại online!
TID_QUALIFIED_INFO,TUYỆT VỜI! Bạn đã hoàn tất Thử thách Quán quân!\n\nHãy truy cập trang <cFFE400><URL></c> để tiếp tục đi đến GIẢI ĐẤU QUÁN QUÂN BRAWL STARS
TID_QUALIFIED_INFO_HUB,TUYỆT VỜI! Bạn đã chinh phục được Thử thách Quán quân!\n\nHãy truy cập mục THỂ THAO ĐIỆN TỬ mới từ màn hình chính để tiếp tục đi đến GIẢI ĐẤU QUÁN QUÂN BRAWL STARS!
TID_QUALIFIED_INFO_PSG,Chúc mừng bạn đã chinh phục thử thách PSG CUP!\nTrang phục Shelly PSG đã được mở khóa!
TID_QUALIFIED_GO,TRUY CẬP!
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,THỬ THÁCH GIẢI ĐẤU QUÁN QUÂN
TID_BATTLE_END_CC_WIN_LABEL,THƯỞNG CHO TRẬN THẮNG #<AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,Thử thách đã kết thúc\nMay mắn hơn vào lần sau nhé!
TID_BATTLE_END_CC_DEFEAT_1,Thua một trận nữa là bị loại đấy! Cố lên nào!
TID_BATTLE_END_CC_DEFEAT_2,Bạn thua trận này nhưng vẫn có thể tiếp tục!
TID_BATTLE_END_CC_DRAW_DESC,Chơi lại để thắng!
TID_BATTLE_END_CC_QUALIFY_LABEL,ĐỦ ĐIỀU KIỆN!
TID_BATTLE_END_CC_QUALIFY_INFO,Chúc mừng! Bạn đã đủ điều kiện tham gia màn tiếp theo của Giải đấu Quán quân Brawl Stars.\nHãy kiểm tra hộp thư để biết thêm chi tiết.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Phần thưởng Giải đấu SO TÀI SỨC MẠNH
TID_PRO_LEAGUE_INFO_POPUP_INFO,Phần thưởng dựa trên\nsố Điểm chung cuộc của bạn
TID_PRO_LEAGUE_INFO_POPUP_RANK,Hạng
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Điểm
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Phần thưởng thêm khi đạt đến\nvị trí cao nhất trên bảng xếp hạng toàn cầu
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,PHẦN THƯỞNG KẾT THÚC GIẢI ĐẤU SO TÀI SỨC MẠNH
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,BẢNG XẾP HẠNG GIẢI ĐẤU
TID_PRO_LEAGUE_SEASON_END_TIME,GIẢI ĐẤU KẾT THÚC SAU
TID_PRO_LEAGUE_POPUP_TITLE,SO TÀI SỨC MẠNH
TID_EVENT_LABEL_PRO_LEAGUE,SO TÀI SỨC MẠNH
TID_PRO_LEAGUE_POPUP_INFO,"Thử thách kỹ năng của mình trong giải đấu SO TÀI SỨC MẠNH! Đấu ba trận mỗi ngày để đạt vị trí cao nhất trên Bảng xếp hạng Giải đấu. Khi Giải đấu kết thúc, bạn sẽ nhận được số Điểm Sao tương ứng với số Điểm và Hạng của bạn trên Bảng xếp hạng Giải đấu toàn cầu."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,GIẢI ĐẤU HIỆN TẠI
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,GIẢI ĐẤU TRƯỚC
TID_PRO_LEAGUE_LABEL,SO TÀI SỨC MẠNH
TID_TEAM_ERROR_38,Hãy chọn một Chiến binh Brawl có CẤP SỨC MẠNH 10!
TID_TEAM_ERROR_39,Đã hết số trận SO TÀI SỨC MẠNH hôm nay!
TID_PRO_LEAGUE_GAMES,CÒN <GAMESLEFT>/<MAXGAMES> TRẬN CHIẾN
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,GIẢI ĐẤU SO TÀI SỨC MẠNH ĐÃ KẾT THÚC
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Điểm của bạn
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Hạng của bạn
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Phần thưởng Điểm Sao
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,PHẦN THƯỞNG SO TÀI SỨC MẠNH: bạn nhận được <AMOUNT> <cff00ff>Điểm Sao</c>!
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Thắng Tuyệt đối (+3 Điểm):
TID_OVERWHELMING_VICTORY_GMV_0,Thắng trước khi viên ngọc thứ 15 xuất hiện
TID_OVERWHELMING_VICTORY_GMV_5,Thắng 2-0
TID_OVERWHELMING_VICTORY_GMV_2,Thắng khi két sắt của bạn còn tối thiểu 60% máu
TID_OVERWHELMING_VICTORY_GMV_11,Thắng khi trụ súng của bạn còn tối thiểu 80% máu
TID_OVERWHELMING_VICTORY_GMV_3,Thắng với tối thiểu 10 sao nhiều hơn đội đối thủ
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Nhận điểm dựa trên thứ hạng của bạn trong trận đấu
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Nhận 30 điểm khi thắng, 15 điểm khi hòa và 5 điểm an ủi khi thua"
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,ĐIỂM
TID_DOUBLE_TOKEN_WEEKEND,SỰ KIỆN NHÂN ĐÔI THẺ
TID_COIN_SHOWER_EVENT,SỰ KIỆN CƠN MƯA XU
TID_RANKS_ADDED_TITLE,Hạng Chiến binh Brawl mới
TID_RANKS_ADDED_DESC,Chúng tôi đã bổ sung Hạng 21-35 cho toàn bộ Chiến binh Brawl.\n\nBạn đã nhận được <cff00ff><STARPOINTS></c> Điểm Sao và <TOKENS> Thẻ từ Chiến binh Brawl đạt các Hạng này
TID_SKINS_TITLE,TRANG PHỤC
TID_SKINS_BUTTON_LABEL,TRANG PHỤC
TID_SKIN_PREVIEW,XEM TRƯỚC TRANG PHỤC
TID_DEFAULT_SKIN,TRANG PHỤC MẶC ĐỊNH CỦA <HERO>
TID_HERO_LVL_UP_MATERIAL,Xu
TID_TOKENS,Thẻ
TID_FIRST_WINS,Thẻ Sao
TID_CLUB_COINS,Xu Câu lạc bộ
TID_BUTTON_INBOX,HỘP THƯ
TID_INBOX_TITLE,HỘP THƯ
TID_INBOX_SYSTEM_SENDER,Hệ thống
TID_INBOX_SUPPORT_SENDER,Đội ngũ Hỗ trợ Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,<TIME> trước
TID_INBOX_CLAIM,NHẬN
TID_INBOX_VIEW,XEM
TID_INBOX_TAB_0,THƯ CLB
TID_INBOX_TAB_1,CÁ NHÂN
TID_INBOX_NO_ENTRIES,KHÔNG CÓ THÔNG TIN
TID_INBOX_CAPTION_99,Giải đấu Cúp đã kết thúc
TID_INBOX_CAPTION_94,Quà tặng Trang phục: <NAME>
TID_INBOX_CAPTION_93,Quà tặng Chiến binh Brawl: <NAME>
TID_INBOX_CAPTION_93_WITH_LEVEL,Quà tặng Chiến binh Brawl: <NAME> (Cấp Sức mạnh <LEVEL>)
TID_INBOX_CAPTION_92,Tặng <AMOUNT> Điểm Sức mạnh cho <NAME>
TID_INBOX_CAPTION_91,Tặng <AMOUNT> vé
TID_INBOX_CAPTION_90,Tặng <AMOUNT> <NAME>
TID_INBOX_CAPTION_89,Tặng <AMOUNT> Ngọc
TID_INBOX_CAPTION_88,Tặng <AMOUNT> Nhân đôi Thẻ
TID_INBOX_CAPTION_85,Thu hồi <AMOUNT> Ngọc
TID_INBOX_CAPTION_84_4,Quà tặng Sức mạnh Sao <ABI> cho <NAME>
TID_INBOX_CAPTION_84_5,Quà tặng Phụ kiện <ABI> cho <NAME>
TID_INBOX_CAPTION_78,Hạng 21-30 cho Chiến binh Brawl đã xuất hiện!
TID_INBOX_CAPTION_76,ĐÃ MỞ KHÓA vòng loại online!
TID_INBOX_CAPTION_75,Phần thưởng chiến thắng <CHALLENGE>:\n<NAME>
TID_INBOX_CAPTION_74,Bồi thường vé
TID_INBOX_CAPTION_73,QUÀ TẶNG: VÉ BRAWL PASS
TID_INBOX_CAPTION_72_52,QUÀ TẶNG: HUY HIỆU
TID_INBOX_CAPTION_71,QUÀ TẶNG: <AMOUNT> HUY HIỆU CHO VÉ BRAWL PASS MÙA GIẢI <SEASON>
TID_INBOX_CAPTION_70,Phần thưởng chiến thắng <CHALLENGE>:
TID_INBOX_CAPTION_64,Quà tặng: <AMOUNT> <NAME>
TID_INBOX_CAPTION_DONATION,QUÀ TẶNG: <TEXT>
TID_INBOX_NEW,MỚI!
TID_BAND_MAIL_POPUP_TITLE,THƯ CLB
TID_BAND_MAIL_POPUP_DEFAULT_TXT,nhập tin nhắn ở đây...
TID_BAND_MAIL_POPUP_POST,ĐĂNG
TID_BAND_MAIL_POPUP_NO_MSG,Đừng quên nhập tin nhắn
TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS,Tính năng này không khả dụng cho tài khoản thử nghiệm
TID_REVOKE_TITLE,Tin nhắn từ bộ phận hỗ trợ
TID_REVOKE_OK,Đã hiểu
TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS,Không thể gửi yêu cầu gia nhập. Bạn đã ở trong đội rồi
TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE,Không thể gửi yêu cầu gia nhập. Bạn có lời mời vào đội đang chờ trả lời
TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST,Không thể gửi yêu cầu gia nhập. Bạn có yêu cầu gia nhập đang chờ trả lời
TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED,Đã hủy yêu cầu gia nhập
TID_TEAM_JOIN_REQUEST_POPUP_TITLE,TÔI MUỐN GIA NHẬP ĐỘI CỦA BẠN
TID_BATTLE_LOG_TVST_RESULT_0,<c00ff00>THẮNG</c>
TID_BATTLE_LOG_TVST_RESULT_1,<ccc0000>THUA</c>
TID_BATTLE_LOG_TVST_RESULT_2,<ccccccc>HÒA</c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_0,<c00ff00>HẠNG <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_1,<ccc0000>HẠNG <RANK></c>
TID_BATTLE_LOG_DEATHMATCH_RESULT_2,<ccccccc>HẠNG <RANK></c>
TID_BATTLE_LOG_AGE,<TIME> trước
TID_BATTLE_LOG_HERO_LEVEL_LABEL,Cấp
TID_BATTLE_LOG_TVST_VERSUS,VS
TID_BATTLE_LOG_TITLE,NHẬT KÝ CHIẾN ĐẤU
TID_BATTLE_LOG_REPLAY,PHÁT LẠI
TID_BATTLE_LOG_MVP,NGƯỜI CHƠI ƯU TÚ
TID_BATTLE_LOG_FRIENDLY,GIAO HỮU
TID_BATTLE_LOG_TOURNAMENT,GIẢI ĐẤU
TID_BATTLE_LOG_PVP,LEO HẠNG
TID_BATTLE_LOG_PRO_LEAGUE,SO TÀI SỨC MẠNH
TID_BATTLE_LOG_RANKED,GIẢI ĐẤU SỨC MẠNH
TID_BATTLE_LOG_NO_ENTRIES,KHÔNG CÓ THÔNG TIN
TID_BATTLE_LOG_THIS_IS_A_BOT,Đây là bot
TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED,Tính năng phát lại hiện đang bị tắt
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE,Chưa có video phát lại nào
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW,Không có video phát lại: quá ít cúp Chiến binh Brawl
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES,Đoạt <NUM> cúp Chiến binh Brawl để mở khóa video phát lại
TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR,Không có video phát lại: không quay được video
TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED,Không thể phát lại được nữa!
TID_PLAYER_RANK_TIER_0,I
TID_PLAYER_RANK_TIER_1,II
TID_PLAYER_RANK_TIER_2,III
TID_PLAYER_RANK_TIER_3,IV
TID_PLAYER_RANK_TIER_4,V
TID_PLAYER_RANK_TIER_5,VI
TID_ADD_FRIEND_FAILED,Thêm bạn bè thất bại
TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED,Đường dẫn liên kết bạn bè đã hết hạn!
TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL,"Không thể thêm bạn, danh sách bạn bè của họ đã đầy!"
TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL,"Không thể thêm bạn, danh sách bạn bè của bạn đã đầy!"
TID_ADD_FRIEND_FAILED_BANNED,"Không thể thêm bạn, người chơi đã bị cấm!"
TID_KEYPOOL_KEYS_REMAINING,Còn lại <VALUE>
TID_KEYPOOL_NEXT_PATCH,+<KEYS> thẻ trong <TIME>
TID_TOP_HUD_NEXT_REWARD,Phần thưởng tiếp theo
TID_RANK_UP_REWARD_REPLACED_TITLE,Xác nhận phần thưởng thay thế
TID_RANK_UP_REWARD_REPLACED_POWER,Không thể chọn bất cứ Chiến binh Brawl nào của bạn để nhận <AMOUNT> điểm sức mạnh.\n\nBạn có muốn nhận phần thưởng thay thế không?
TID_RANK_UP_REWARD_REPLACED_HERO,"Vì bạn đã có <NAME>, bạn sẽ được nhận phần thưởng thay thế."
TID_RANK_UP_REWARD_REPLACED_PIN,Vì bạn đã có Huy hiệu này rồi nên bạn sẽ nhận được phần thưởng thay thế.
TID_RANK_UP_REWARD_REPLACED_SKIN,Vì bạn đã có <NAME> rồi nên bạn sẽ nhận được phần thưởng thay thế.
TID_RANK_UP_REWARD_REPLACED_GEN,Vì bạn đã có phần thưởng này rồi nên bạn sẽ nhận được phần thưởng thay thế.
TID_RANK_UP_REWARD_REPLACED_POWER_POINTS,"Không có Chiến binh Brawl nào của bạn có thể nhận <AMOUNT> điểm sức mạnh, và bạn đã đạt số điểm sức mạnh tối đa.\n\nBạn có muốn nhận phần thưởng thay thế không?"
TID_PLAYER_INFO_SEND_FRIEND_REQUEST,GỬI YÊU CẦU KẾT BẠN
TID_PLAYER_INFO_REMOVE_FRIEND,XÓA KHỎI DANH SÁCH BẠN BÈ
TID_PLAYER_INFO_FRIEND_REQUEST_SENT,ĐÃ GỬI YÊU CẦU KẾT BẠN
TID_PLAYER_INFO_IS_YOUR_FRIEND,BẠN BÈ\nTRONG TRÒ CHƠI
TID_POWER_POINTS,ĐIỂM SỨC MẠNH
TID_HERO_INFO_LEVEL,SỨC MẠNH
TID_HERO_INFO_LEVEL_LONG,CẤP SỨC MẠNH
TID_HERO_INFO_RANK,HẠNG
TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL,NÂNG CẤP LÊN CẤP SỨC MẠNH <LVL>
TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL,NHẤN LẠI LẦN NỮA ĐỂ XÁC NHẬN
TID_HERO_INFO_MAX_LEVEL,SỨC MẠNH TỐI ĐA
TID_HERO_INFO_MORE_POWER_NEEDED,Thu thập thêm điểm sức mạnh để nâng cấp!
TID_HERO_INFO_LEVEL_UP_ERROR_4,Chiến binh Brawl không có đủ Điểm Sức mạnh
TID_HERO_INFO_LEVEL_UP_ERROR_3,Bạn không có đủ Xu!
TID_HERO_INFO_LEVEL_UP_ERROR_5,Chiến binh Brawl đã đạt CẤP SỨC MẠNH tối đa!
TID_HERO_INFO_LEVEL_UP_PRICE_MISSING,<cff6034><AMOUNT></c>
TID_HERO_INFO_LEVEL_UP_PRICE,<AMOUNT>
TID_HERO_INFO_STARTING_HERO,CHIẾN BINH BRAWL KHỞI ĐẦU
TID_HERO_INFO_STAR_POWER_EQUIP,CHỌN
TID_HERO_INFO_STAR_POWER_EQUIPPED,ĐÃ CHỌN
TID_PLAYER_REPORTED_SUCCESSFULLY,Đã báo cáo người chơi!
TID_TOO_MANY_REPORTS_SENT,Bạn đã vượt quá giới hạn báo cáo hằng ngày!
TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT,Hãy chờ trước khi có thể gửi thêm báo cáo
TID_CHOOSE_CHARACTER,CHỌN CHIẾN BINH BRAWL
TID_ARMOR,MÁU
TID_ARMOR_DESC,Thể hiện lượng sát thương phải chịu mà Chiến binh Brawl có thể hấp thụ trước khi ngã xuống.
TID_SHOTGUN_GIRL,SHELLY
TID_SHOTGUN_GIRL_DESC,Shelly bắn ra loạt đạn vào đội đối thủ bằng khẩu súng săn có tầm bắn rộng của mình. Tuyệt chiêu của cô ấy sẽ phá hủy nơi ẩn nấp và khiến cho đối thủ không dám tiến đến gần!
TID_LONG_RANGE_SHOTGUN,LOẠT SIÊU ĐẠN
TID_LONG_RANGE_SHOTGUN_DESC,Khẩu súng của Shelly sẽ bắn ra loạt đạn có tầm rộng và phạm vi trung bình. Càng có nhiều viên đạn bắn trúng mục tiêu thì sát thương gây ra càng lớn.
TID_MEGA_BLASH_ULTI,TUYỆT CHIÊU SIÊU ĐẠN
TID_MEGA_BLASH_ULTI_DESC,Tuyệt chiêu Siêu Đạn của Shelly tiêu diệt cả nơi ẩn nấp lẫn kẻ địch. Những ai còn sống sót sẽ di chuyển chậm lại.
TID_GUNSLINGER,COLT
TID_GUNSLINGER_DESC,"Người hùng bất đắc dĩ, thường xuất hiện vào đúng thời điểm nhưng sai địa điểm. Anh ta rất thích soi gương và luôn tràn đầy tự tin!"
TID_RAPID_FIRE,LOẠT ĐẠN 6 VIÊN
TID_RAPID_FIRE_DESC,Colt bắn 6 phát đạn có tầm xa và đường bay thẳng từ khẩu súng lục của mình.
TID_RAPID_FIRE_ULTI,BÃO ĐẠN
TID_RAPID_FIRE_ULTI_DESC,Colt nhanh chóng bắn ra loạt đạn có kích cỡ lớn. Loạt đạn này có tầm bắn xa hơn và sức công phá của nó có thể tiêu hủy cả nơi ẩn nấp.
TID_BULL_DUDE,BULL
TID_BULL_DUDE_DESC,"Bull gây ra sát thương rất lớn ở cự ly gần với khẩu súng săn của mình. Với Tuyệt chiêu của mình, anh ta lao qua chướng ngại vật và đẩy lùi kẻ địch!"
TID_SHOTGUN_BLAST,SÚNG HAI NÒNG
TID_SHOTGUN_BLAST_DESC,Khẩu súng săn hai nòng của Bull gây ra sát thương rất lớn. Do tầm bắn của khẩu súng này rất ngắn nên Bull luôn thích tiến đến gần đối thủ hơn.
TID_CHARGE,THIẾT ĐẦU CÔNG
TID_CHARGE_DESC,Bull dùng đầu của mình ủi vào đối thủ và các chướng ngại vật. Anh ta có một cái đầu cứng như sắt!
TID_ROCKET_GIRL,BROCK
