"Name","TID","TicketsInWinGamesDraw","TicketsInCollabDraw","Rarity","IsRarityOfferContainer","CustomRewards","IsOverchargeDraw","IsRankedDraw","CollabId","MultiDropCount","PremiumDrawCountForMultiDrops","CombineCurrencies","SCW","VisualType","TransitionExportName","SlashTarget","SlashesNeeded","SoundSlash","CustomBgExportName","BackgroundFrameLabel","ChargeProgressClip","HoldChargeEffect","TouchEffectFilename","TouchEffectExportName","TapEffectClip","TapEffectClipBg","FinalContainerEffectClip","FinalContainerEffectClipBg","OpeningEffectClip","OpeningEffectClipBg","Intro3DAnimStart","Intro3DAnimEnd","Idle3DAnimStart","Idle3DAnimEnd","Miss3DAnimStart","Miss3DAnimEnd","Upgrade3DAnimStart","Upgrade3DAnimEnd","Open3DAnimStart","Open3DAnimEnd","SoundAppear","SoundCharge","SoundMiss","SoundUpgrade","SoundReadyToOpen","SoundReadyToOpen2","SoundOpen","FaceFileName","FaceIdleExportName","FaceUpgradeExportName","FaceOpenExportName","SoloOfferDefaultBgFrameName","SoloOfferDefaultTitleTID","RarityFrameLabel","AnimationSCW","PiggyTap1","PiggyTap2","PiggyTap3","PiggyTap4","PiggyTapBackground1","PiggyTapBackground2","PiggyTapBackground3","PiggyTapBackground4","PiggyTapBackgroundFinal","PiggyTapBackgroundFinalBg","CustomAnimationNames","CustomAnimationStartFrames","CustomAnimationEndFrames"
"RareCollabDrop","TID_SHOP_GODZILLA_EGG",,50,1,,,,,,,,,,,,"collab_random_reward_opening",4,"Eggslash_Sfx_01",,"rare",,,,,"gacha_vfx_tap",,"gacha_vfx_rare","gacha_vfx_rare_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Rare_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_rare","TID_SHOP_STARR_DROP_RARE","rare",,,,,,,,,,,,,,
"SuperRareCollabDrop","TID_SHOP_GODZILLA_EGG",,25,2,,,,,,,,,,,,"collab_random_reward_opening",4,"Eggslash_Sfx_05",,"super_rare",,,,,"gacha_vfx_tap",,"gacha_vfx_superrare","gacha_vfx_superrare_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_super_rare","TID_SHOP_STARR_DROP_SUPER_RARE","super_rare",,,,,,,,,,,,,,
"EpicCollabDrop","TID_SHOP_GODZILLA_EGG",,16,3,,,,,,,,,,,,"collab_random_reward_opening",5,"Eggslash_Sfx_09",,"epic",,,,,"gacha_vfx_tap",,"gacha_vfx_epic","gacha_vfx_epic_bg","gacha_vfx_open","gacha_vfx_open_light_bg",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Epic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_epic","TID_SHOP_STARR_DROP_EPIC","epic",,,,,,,,,,,,,,
"MythicCollabDrop","TID_SHOP_GODZILLA_EGG",,6,4,,,,,,,,,,,,"collab_random_reward_opening",6,"Eggslash_Sfx_14",,"mythic",,,,,"gacha_vfx_tap",,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,
"LegendaryCollabDrop","TID_SHOP_GODZILLA_EGG",,3,5,,,,,,,,,,,,"collab_random_reward_opening",18,"Eggslash_Sfx_20",,"legendary",,,,,"gacha_vfx_tap",,"gacha_vfx_legendary","gacha_vfx_legendary_bg","gacha_vfx_open","gacha_vfx_open_bg",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_legendary","TID_SHOP_STARR_DROP_LEGENDARY","legendary",,,,,,,,,,,,,,
"MegaBox",,,,,,,,,2,10,,,"sc3d/zombie_megabox_geo.glb","CHEST","gacha_whiteflash",,,,"gatcha_screen_zombiebox_appear","no_rarity",,,,,,,,,,,,,,,,,,,,,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade",,"Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic",,"no_rarity",,,,,,,,,,,,,,
"AngelicStar",,,,,,,,,5,,,,"sc3d/star_angel_level_3.glb","CHARGING",,,,,"collab_bg_star_angels","no_rarity","collab_gacha_radial_progress_angels",,"sc/effects.sc","dynamike_spark","gacha_vfx_tap",,"gacha_vfx_superrare","gacha_vfx_superrare_bg","gacha_vfx_open","gacha_vfx_open_bg",0,54,55,80,0,0,0,0,84,119,"Angelic_Drop_Appear","Angelic_Drop_Tap_Open_6secs","UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_rare","Angelic_Drop_Open","characters.sc","starr_angel_idle","starr_angel_charge","starr_angel_open","offer_rarity_super_rare","TID_SHOP_STARR_DROP_SUPER_RARE","super_rare",,,,,,,,,,,,,,
"DemonicStar",,,,,,,,,5,,,,"sc3d/star_demon_level_3.glb","CHARGING",,,,,"collab_bg_star_demons","no_rarity","collab_gacha_radial_progress_demons",,"sc/effects.sc","dynamike_spark","gacha_vfx_tap",,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg",0,54,55,80,0,0,0,0,84,119,"Demonic_Drop_Appear","Demonic_Drop_Tap_Open_6secs","UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic","Demonic_Drop_Open","characters.sc","starr_demon_idle","starr_demon_charge","starr_demon_open","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,
"SeasonBoxLevel1","TID_SEASON_BOX_LEVEL_1",,,,,,,,,4,1,,"sc3d/bling_box_1_geo.glb",,,,,,"gatcha_screen_blingbox_level1_appear","no_rarity",,,,,"gacha_vfx_tap",,"gacha_vfx_rare","gacha_vfx_rare_bg","blingbox_vfx_open_lvl_1",,0,49,50,199,199,199,199,199,200,260,"Blingbox_1_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Rare_VO","Reveal_rare","Blingbox_1_Open",,,,,"offer_rarity_rare","TID_SEASON_BOX_LEVEL_1","rare",,,,,,,,,,,,,,
"SeasonBoxLevel2","TID_SEASON_BOX_LEVEL_2",,,,,,,,,8,1,,"sc3d/bling_box_2_geo.glb",,,,,,"gatcha_screen_blingbox_level2_appear","no_rarity",,,,,"gacha_vfx_tap",,"gacha_vfx_superrare","gacha_vfx_superrare_bg","blingbox_vfx_open_lvl_2",,0,49,50,199,199,199,199,199,200,260,"Blingbox_2_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_rare","Blingbox_2_Open",,,,,"offer_rarity_super_rare","TID_SEASON_BOX_LEVEL_2","super_rare",,,,,,,,,,,,,,
"SeasonBoxLevel3","TID_SEASON_BOX_LEVEL_3",,,,,,,,,12,1,,"sc3d/bling_box_3_geo.glb",,,,,,"gatcha_screen_blingbox_level3_appear","no_rarity",,,,,"gacha_vfx_tap",,"gacha_vfx_epic","gacha_vfx_epic_bg","blingbox_vfx_open_lvl_3",,0,49,50,199,199,199,199,199,200,260,"Blingbox_3_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Epic_VO","Reveal_epic","Blingbox_3_Open",,,,,"offer_rarity_epic","TID_SEASON_BOX_LEVEL_3","epic",,,,,,,,,,,,,,
"SeasonBoxLevel4","TID_SEASON_BOX_LEVEL_4",,,,,,,,,16,1,,"sc3d/bling_box_4_geo.glb",,,,,,"gatcha_screen_blingbox_level4_appear","no_rarity",,,,,"gacha_vfx_tap",,"gacha_vfx_mythic","gacha_vfx_mythic_bg","blingbox_vfx_open_lvl_4",,0,49,50,199,199,199,199,199,200,260,"Blingbox_4_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic","Blingbox_4_Open",,,,,"offer_rarity_mythic","TID_SEASON_BOX_LEVEL_4","mythic",,,,,,,,,,,,,,
"SeasonBoxLevel5","TID_SEASON_BOX_LEVEL_5",,,,,,,,,20,1,,"sc3d/bling_box_5_geo.glb",,,,,,"gatcha_screen_blingbox_level5_appear","no_rarity",,,,,"gacha_vfx_tap",,"gacha_vfx_legendary","gacha_vfx_legendary_bg","blingbox_vfx_open_lvl_5",,0,49,50,199,199,199,199,199,200,260,"Blingbox_5_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_legendary","Blingbox_5_Open",,,,,"offer_rarity_legendary","TID_SEASON_BOX_LEVEL_5","legendary",,,,,,,,,,,,,,
