"Name","TID","CollabId","EventPanelExportName","SpecialEventPanelExportName","EventPanelMirrorExportName","EventPanelFutureExportName","SkillRewardSlotCount","GemOfferTypeForWinSlot","GemOfferExtraForWinSlot","GemOfferTypeForLossSlot","GemOfferExtraForLossSlot","UICharacter","SkinsInReward","TicketsInSkinDraw","TicketsInSkinAltDraw","SpecialSkinsInReward","TicketsInSpecialSkinDraw","SpraysInReward","TicketsInSprayDraw","TicketsInSprayAltDraw","ProfilePicsInReward","TicketsInProfilePicDraw","TicketsInProfilePicAltDraw","PinsInReward","TicketsInPinDraw","TicketsInPinAltDraw","ClubCollabSkin","HideSkinRewardsInClubTrack","Modifier","CollabMenuVFX","CollabVFX","MutationSCW","LeaderboardTabTID","LeaderboardTitleTID","LeaderboardScoreTID","ThemeAngelic","ThemeDemonic"
,,,,,,,,,,,,,"HookDudeSwamp",1,0,,,"spray_ghost_wagon2",1,0,"player_icon_brawloween1",1,0,"emoji_brawloween_gg",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"SpawnerDudeDracula",1,0,,,"spray_ghost_wagon3",1,0,"player_icon_brawloween2",1,0,"emoji_brawloween_happy",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"StickyBombGhost",1,0,,,"spray_zombies_1",1,0,"player_icon_brawloween3",1,0,"emoji_brawloween_phew",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"RollerHeadless",1,0,,,"spray_zombies_2",1,0,"player_icon_brawloween4",1,0,"emoji_brawloween_special",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"ShotgunGirlBrawloween",1,0,,,"spray_zombies_3",1,0,"player_icon_brawloween5",1,0,"emoji_brawloween_thanks",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"NinjaBrawloween",1,0,,,"spray_saw_robot_01",1,0,,,,"emoji_zombies_coffin",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"SoulCollectorZombie",1,0,,,"spray_saw_robot_02",1,0,,,,"emoji_zombies_frankie",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"MinigunDudeZombie",1,0,,,"spray_saw_robot_03",1,0,,,,"emoji_zombies_spider",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"TntDudeZombie",1,0,,,"spray_hole",1,0,,,,"emoji_zombie_box",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"PercenterCursed",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"LuchadorVampire",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RocketGirlGhost",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ShieldTankChainsaw",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"JesterGhost",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ArtilleryDudeZombie",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ConductorRare",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PercenterInspector",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"CrossBomberFranken",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"KickerDudeMake",1,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RosaRosaBrawloween",1,0,,,,,,,,,,,,,,,,,,,,,,
"Coral","TID_COLLAB_3",3,"collab_event_panel_1_screen_hud_left","collab_event_panel_2_screen_hud_left",,"collab_event_teaser",,,,,,,"WallyHawaii",2,0,"RopeDudeSB",25,"spray_event_sb_gary",33,0,"player_icon_event_sb_1",33,0,"emoji_event_mrkrabs_sb",20,0,"LuchadorSB","TRUE",39,"ArchetypeItemMenuEffect","ArchetypeItemBrawler",,"TID_COLLAB_3_LEADERBOARD_TAB","TID_COLLAB_3_LEADERBOARD_TITLE","TID_COLLAB_3_LEADERBOARD_SCORE",,
,,,,,,,,,,,,,"RocketGirlBeach",5,0,"BarrelBotSB",25,"spray_event_sb_patty",33,0,"player_icon_event_sb_2",33,0,"emoji_event_patrick_sb",20,0,,,,,,,,,,,
,,,,,,,,,,,,,"UndertakerBeach",5,0,"MechanicSB",25,"spray_event_sb_sponge",34,0,"player_icon_event_sb_3",34,0,"emoji_event_plankton_sb",20,0,,,,,,,,,,,
,,,,,,,,,,,,,"NinjaDino",5,0,"ClusterBombDudeSB",25,,,,,,,"emoji_event_sandy_sb",20,0,,,,,,,,,,,
,,,,,,,,,,,,,"MinigunDudeSummer",5,0,,,,,,,,,"emoji_event_spongebob_sb",20,0,,,,,,,,,,,
,,,,,,,,,,,,,"NinjaShark",5,0,,,,,,,,,"emoji_event_squidward_sb",20,0,,,,,,,,,,,
,,,,,,,,,,,,,"MechanicSummer",5,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"RosaCoco",8,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"KickerDudeOcto",5,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SnakeOilTropical",3,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"HammerDudeVacation",3,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ShamanSummer",5,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"BaseballPirate",8,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PowerLevelerKraken",8,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"AssaultShotgunTreasure",8,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"MechaDudePirate",10,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"FishTankShark",2,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ElectroSniperCoral",8,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chaos","TID_COLLAB_4",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Demons","TID_COLLAB_5",5,"event_gameroom_possession_square",,,"collab_event_teaser",,,,,,,"EnragerAngel",1,0,,,"spray_angelsdemons_4",1,0,"player_icon_good_angelsdemons",1,0,"emoji_angel1",1,0,,,42,"AngelicMenuEffect","AngelicBrawler",,,,,"Angels","Demons"
,,,,,,,,,,,,,"EnragerAngelChroma1",1,0,,,"spray_angelsdemons_3",1,0,"player_icon_angelsdemons1",1,0,"emoji_angel2",1,0,,,,"DemonicMenuEffect","DemonicBrawler",,,,,,
,,,,,,,,,,,,,"EnragerAngelChroma2",1,0,,,"spray_skullwings",1,0,"player_icon_angelsdemons4",1,0,"emoji_olympus_fire",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"SpeedyAngel",1,0,,,"spray_janet_popstar",1,0,"player_icon_angelsdemons6",1,0,"emoji_olympus_fist",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"HookDudeAngel",1,0,,,"spray_heartarrow",1,0,"player_icon_brawlentines",1,0,"emoji_olympus_lightning",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"GunslingerDarkAngelChroma",1,0,,,"spray_drop",1,0,"player_icon_olympus",1,0,"emoji_popstar",1,0,,,,,,,,,,,
,,,,,,,,,,,,,"ControllerEaster",1,0,,,"spray_angrycloud",1,0,"player_icon_starr",1,0,"emoji_demon1",0,1,,,,,,,,,,,
,,,,,,,,,,,,,"BlackHoleBlue",1,0,,,"spray_brawlentines_heart1",1,0,"player_icon_bad_angelsdemons",0,1,"emoji_demon2",0,1,,,,,,,,,,,
,,,,,,,,,,,,,"CannonGirlUnicorn",1,0,,,"spray_brawlentines_heart2",1,0,"player_icon_angelsdemons2",0,1,"emoji_stop",0,1,,,,,,,,,,,
,,,,,,,,,,,,,"InsectManGreek",1,0,,,"spray_angelsdemons_1",0,1,"player_icon_angelsdemons3",0,1,"emoji_fire",0,1,,,,,,,,,,,
,,,,,,,,,,,,,"SandstormMake",1,0,,,"spray_angelsdemons_2",0,1,"player_icon_angelsdemons5",0,1,"emoji_summer_sweat",0,1,,,,,,,,,,,
,,,,,,,,,,,,,"UndertakerDemon",0,1,,,"spray_denied",0,1,"player_icon_outlaw",0,1,"emoji_burning_ball",0,1,,,,,,,,,,,
,,,,,,,,,,,,,"UndertakerDemonChroma1",0,1,,,"spray_allfine",0,1,"player_icon_phoenix_fire",0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,"UndertakerDemonChroma2",0,1,,,"spray_salt",0,1,"player_icon_masks",0,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PuppeteerDemon",0,1,,,"spray_fire_love",0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SilencerDemon",0,1,,,"spray_footstep",0,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"PercenterChromaDemonRed",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"MummyDemon",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"BowDudeDemonic",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"SplitterCultist",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"DragonRiderRare",0,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"ConductorRare",0,1,,,,,,,,,,,,,,,,,,,,,,
