"CodeName","Group","Data","ConstructFromBlocks","MetaData"
111,,"............................................................",,
112,,"............................................................",,
113,,"............................................................",,
114,,"............................................................",,
115,,"...1....................................................1...",,
116,,"............................................................",,
117,,"............................................................",,
118,,"............................................................",,
119,,"............................................................",,
120,,"............................................................",,
121,,"............................................................",,
122,,"............................................................",,
123,,"......................1..............1......................",,
124,,"............................................................",,
125,,"............................................................",,
126,,"............................................................",,
127,"Template_Survival_2","............................................................",,
128,,"............................................................",,
129,,"............................................................",,
130,,"...........1................2.2..............1..............",,
131,,"............................................................",,
132,,"............................................................",,
133,,"............................................................",,
134,,"............................................................",,
135,,"............................................................",,
136,,"............................................................",,
137,,"............................................................",,
138,,"............................................................",,
139,,"............................................................",,
140,,"............................................................",,
141,,"............................................................",,
142,,"............................................................",,
143,,"............................................................",,
144,,"............................................................",,
145,,"...1....................................................1...",,
146,,"............................................................",,
147,,"............................................................",,
148,,"............................................................",,
149,,"............................................................",,
150,,"............................................................",,
151,,"............................................................",,
152,,"...2.2................................................2.2...",,
153,,"............................................................",,
154,,"............................................................",,
155,,"............................................................",,
156,,"............................................................",,
157,,"............................................................",,
158,,"............................................................",,
159,,"............................................................",,
160,,"............................................................",,
161,,"............................................................",,
162,,"............................................................",,
163,,"............................................................",,
164,,"...1....................................................1...",,
165,,"............................................................",,
166,,"............................................................",,
167,,"............................................................",,
168,,"............................................................",,
169,,"............................................................",,
170,,"............................................................",,
171,,"............................................................",,
172,,"............................................................",,
173,,"............................................................",,
174,,"............................................................",,
175,,"...1....................................................1...",,
176,,"............................................................",,
177,,"............................................................",,
178,,"............................................................",,
179,,"............................................................",,
180,,"............................................................",,
181,,"............................................................",,
182,,"............................................................",,
183,,"...........2.2........1..............1........2.2...........",,
184,,"............................................................",,
185,,"............................................................",,
186,,"............................................................",,
187,"Template_Siege","YY.........2.2.2.........YY",,"{""data"":[{""x"":16,""y"":19,""id"":0}, {""x"":10,""y"":19,""id"":1}, {""x"":18,""y"":16,""id"":2}, {""x"":8,""y"":22,""id"":3}, {""x"":11,""y"":17,""id"":4}, {""x"":15,""y"":21,""id"":5}, {""x"":13,""y"":19,""id"":6}]}"
188,,"C.........................C",,
189,,"...........................",,
190,,".............8.............",,
191,,"...CY.................YC...",,
192,,"...........................",,
193,,"...........................",,
194,,"...........................",,
195,,"...........................",,
196,,"...........................",,
197,,"...........................",,
198,,"...........................",,
199,,"...........................",,
200,,"...........................",,
201,,"...........................",,
202,,"...........................",,
203,,"..................g........",,
204,,"...........g........G......",,
205,,"...........................",,
206,,"..........g..g..g..........",,
207,,".....H.....................",,
208,,"...............g...........",,
209,,"........g..................",,
210,,"...........................",,
211,,"...........................",,
212,,"...........................",,
213,,"...........................",,
214,,"...........................",,
215,,"...........................",,
216,,"...........................",,
217,,"...........................",,
218,,"...........................",,
219,,"...........................",,
220,,"...........................",,
221,,"...CY.................YC...",,
222,,".............8.............",,
223,,"...........................",,
224,,"C.........................C",,
225,,"YY.........1.1.1.........YY",,
