"Name","Conf","Disabled","Campaigns","IconOverride","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID"
"BarkeepDefault","BarkeepDefault","","","","","","","","","","","","","","","","","","","","","","","barley_tex.pvr","barley_tex.pvr","barley_tex.pvr","barley_tex.pvr","","","","","","","","",""
"MechanicDefault","MechanicDefault","","","","","","","","","TurretDefault","","","","","","","","","","","","","","jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr","","","","","","","","",""
"ShamanDefault","ShamanDefault","","","","","","","","","ShamanBearDefault","","","","","","","","","","","","","","nita_tex.pvr","nita_tex.pvr","nita_tex.pvr","nita_tex.pvr","","","","","","","","",""
"ShamanPanda","ShamanPanda","","","","","","","","","ShamanBearPanda","","","","1000","29","","","RARE","TID_SHAMAN_PANDA_SKIN","TID_SHAMAN_PANDA_SKIN_SHOP","MODEL,PET","","","nita_panda_tex.pvr","nita_panda_tex.pvr","nita_panda_tex.pvr","nita_panda_tex.pvr","","","","","","","","",""
"ShamanBearDefault","ShamanBearDefault","","","","","","","","","","","","","","","","","","","","","","","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","","","","","","","","",""
"ShamanBearPanda","ShamanBearPanda","","","","","","","","","","","","","","","","","","","","","","","nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr","","","","","","","","",""
"UndertakerDefault","UndertakerDefault","","","","1","","","","","","","","","","","","","","","","","","","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","","","","","","","","",""
"CrowDefault","CrowDefault","","","","","","","","","","","","","","","","","","","","","","","crow_tex.pvr","crow_tex.pvr","crow_tex.pvr","crow_tex.pvr","","","","","","","","",""
"CrowWhite","CrowWhite","","","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_CROW_WHITE_SKIN","TID_CROW_WHITE_SKIN_SHOP","MODEL,TEXTURE","","","crow_white_tex.pvr","crow_white_tex.pvr","crow_white_tex.pvr","crow_white_tex.pvr","","","","","","","","",""
"DeadMariachiDefault","DeadMariachiDefault","","","","","","","","","","","","","","","","","","","","","","","poco_tex.pvr","poco_tex.pvr","poco_tex.pvr","poco_tex.pvr","","","","","","","","",""
"BowDudeDefault","BowDudeDefault","","","","","","","","","BowDudeTotemDefault","","","","","","","","","","","","","","bo_tex.pvr","bo_tex.pvr","bo_tex.pvr","bo_tex.pvr","","","","","","","","",""
"SniperDefault","SniperDefault","","","","","","","","","","","","","","","","","","","","","","","piper_tex.pvr","piper_tex.pvr","piper_tex.pvr","piper_tex.pvr","","","","","","","","",""
"MinigunDudeDefault","MinigunDudeDefault","","","","","","","","","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullGuyHair","BullGuyHair","","","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_BULL_HAIR_SKIN","TID_BULL_HAIR_SKIN_SHOP","MODEL","","","bull_viking_tex.pvr","bull_viking_tex.pvr","bull_viking_tex.pvr","bull_viking_tex.pvr","","","","","","","","",""
"TrickshotGold","TrickshotGold","","","","","","","","","","","","","5000","149","129","","EPIC","TID_TRICKSHOT_GOLD_SKIN","TID_TRICKSHOT_GOLD_SKIN_SHOP","MODEL,VFX","","","rico_gold_tex.pvr","rico_gold_tex.pvr","rico_gold_tex.pvr","rico_gold_tex.pvr","","","-300","-550","","","","",""
"BarkeepGold","BarkeepGold","","","","","","","","","","","","","1000","29","","","RARE","TID_BARKEEP_GOLD_SKIN","TID_BARKEEP_GOLD_SKIN_SHOP","MODEL,VFX","","","barley_banker_tex.pvr","barley_banker_tex.pvr","barley_banker_tex.pvr","barley_banker_tex.pvr","","","","","","","","",""
"LuchadorRudo","LuchadorRudo","","","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_LUCHADOR_RUDO_SKIN","TID_LUCHADOR_RUDO_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrudo_tex.pvr","primo_elrudo_tex.pvr","primo_elrudo_tex.pvr","primo_elrudo_tex.pvr","","","","","","","","",""
"BanditGirlBandita","BanditGirlBandita","","","","","","8","","","","","","","1000","29","","","RARE","TID_SHOTGUN_BANDITA_SKIN","TID_SHOTGUN_BANDITA_SKIN_SHOP","MODEL","","","shelly_bandita_tex.pvr","shelly_bandita_tex.pvr","shelly_bandita_tex.pvr","shelly_bandita_tex.pvr","","","","","","","","",""
"LuchadorRey","LuchadorRey","","","","","","","","","","","","","5000","149","129","","EPIC","TID_LUCHADOR_KING_SKIN","TID_LUCHADOR_KING_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrey_tex.pvr","primo_elrey_tex.pvr","primo_elrey_tex.pvr","primo_elrey_tex.pvr","","","","","","","","",""
"BallDefault","BallDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackholeDefault","BlackholeDefault","","","","","","","","","","","","","","","","","","","","","","","tara_tex.pvr","tara_tex.pvr","tara_tex.pvr","tara_tex.pvr","","","","","","","","",""
"HealstationDefault","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","pam_turret_blue_tex.pvr","pam_turret_red_tex.pvr","pam_turret_blue_tex.pvr","pam_turret_red_tex.pvr","","","","","","","","",""
"BarrelbotDefault","BarrelbotDefault","","","","","","","","","","","","","","","","","","","","","","","darryl_tex.pvr","darryl_tex.pvr","darryl_tex.pvr","darryl_tex.pvr+value(masks/darryl/darryl_msk.png,0.698000)","","","","","","","","",""
"BlackholePetDefault","BlackholePetDefault","","","","","","","","","","","","","","","","","","","","","","","tara_superability_tex.pvr","tara_superability_tex.pvr","tara_superability_tex.pvr","tara_superability_tex.pvr","","","","","","","","",""
"TntPetDefault","TntPetDefault","","","","","","","","","","","","","","","","","","","","","","","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","","","","","","","","",""
"RangedBotDefault","RangedBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_ranger_tex.pvr","bot_ranger_tex.pvr","bot_ranger_tex.pvr","bot_ranger_tex.pvr","","","","","","","","",""
"MeleeFastBotDefault","MeleeFastBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_fast_melee_tex.pvr","bot_fast_melee_tex.pvr","bot_fast_melee_tex.pvr","bot_fast_melee_tex.pvr","","","","","","","","",""
"MeleeBotDefault","MeleeBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_melee_tex.pvr","bot_melee_tex.pvr","bot_melee_tex.pvr","bot_melee_tex.pvr","","","","","","","","",""
"BossBotDefault","BossBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_boss_tex.pvr","bot_boss_tex.pvr","bot_boss_tex.pvr","bot_boss_tex.pvr","","","","","","","","",""
"ArtilleryGalDefault","ArtilleryGalDefault","","","","","","","","","ArtilleryTurretDefault","ArtilleryDudeCoverDefault","","","","","","","","","","","","","penny_tex.pvr","penny_tex.pvr","penny_tex.pvr","penny_tex.pvr","","","","","","","","",""
"FrankDefault","FrankDefault","","","","","","","","","","","","","","","","","","","","","","","frank_tex.pvr","frank_tex.pvr","frank_tex.pvr","frank_tex.pvr","","","","","","","","",""
"ArtilleryTurretDefault","ArtilleryTurretDefault","","","","","","","","","","","","","","","","","","","","","","","penny_tex.pvr","penny_tex.pvr","penny_tex.pvr","penny_tex.pvr","","","","","","","","",""
"MechanicKnight","MechanicKnight","","","","","","","","","TurretDragon","","","","5000","149","129","","EPIC","TID_MECHANIC_KNIGHT_SKIN","TID_MECHANIC_KNIGHT_SKIN_SHOP","MODEL,TURRET,VFX,ANIM","","","jessie_knight_redux_tex.pvr","jessie_knight_redux_tex.pvr","jessie_knight_redux_tex.pvr","jessie_knight_redux_tex.pvr","","","","","","","","",""
"FrankCaveman","FrankCaveman","","","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_FRANK_CAVEMAN_SKIN","TID_FRANK_CAVEMAN_SKIN_SHOP","MODEL","","","frank_caveman_01.pvr","frank_caveman_01.pvr","frank_caveman_01.pvr","frank_caveman_01.pvr","","","","","","","","",""
"TurretDragon","TurretDragon","","","","","","","","","","","","","","","","","","","","","","","jessie_knight_redux_turret_tex.pvr","jessie_knight_redux_turret_tex.pvr","jessie_knight_redux_turret_tex.pvr","jessie_knight_redux_turret_tex.pvr","","","","","","","","",""
"MechanicSummer","MechanicSummer","","SUMMER","","","","","","","TurretSummertime","","","","2750","79","69","","SUPER_RARE","TID_MECHANIC_SUMMER_SKIN","TID_MECHANIC_SUMMER_SKIN_SHOP","MODEL,TURRET,VFX","","","jessie_beach_tex.pvr","jessie_beach_tex.pvr","jessie_beach_tex.pvr","jessie_beach_tex.pvr","","","","","","","","",""
"TurretSummertime","TurretSummertime","","","","","","","","","","","","","","","","","","","","","","","jessie_beach_duck_tex.pvr","jessie_beach_duck_tex.pvr","jessie_beach_duck_tex.pvr","jessie_beach_duck_tex.pvr","","","","","","","","",""
"CrowPheonix","CrowPheonix","","PHOENIX","","","","","","","","","","","","299","269","","LEGENDARY","TID_CROW_PHEONIX_SKIN","TID_CROW_PHEONIX_SKIN_SHOP","MODEL,VFX,ANIM","","","","","","","","","-300","-50","","","","",""
"UndertakerGreaser","UndertakerGreaser","","RETRO","emoji_mortis_retro","","","","","","","","","","5000","149","129","","EPIC","TID_UNDERTAKER_GREASER_SKIN","TID_UNDERTAKER_GREASER_SKIN_SHOP","MODEL,ANIM","","","mortis_greaser_tex_02.pvr","mortis_greaser_tex_02.pvr","mortis_greaser_tex_02.pvr","mortis_greaser_tex_02.pvr","","","","","","","","",""
"BigBotDefault","BigBotDefault","","","","","","","","","","","","","","","","","","","","","","","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","","","","","","","","",""
"BanditGirlPrereg","BanditGirlPrereg","","","","","1","3","","","","","","","","","","","","TID_SHOTGUN_STAR_SKIN","TID_SHOTGUN_STAR_SKIN_SHOP","MODEL,VFX","","","shelly_prereg_01.pvr","shelly_prereg_01.pvr","shelly_prereg_01.pvr","shelly_prereg_01.pvr","","","","","","","","",""
"LootBox","LootBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntBox","TntBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Safe","Safe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntGuySanta","TntGuySanta","","BRAWLIDAYS","","","3","3","","","","","","","2750","79","","","SUPER_RARE","TID_DYNAMIKE_SANTA_SKIN","TID_DYNAMIKE_SANTA_SKIN_SHOP","MODEL,VFX","","","dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,221.860001)","dynamike_santa_tex.pvr","dynamike_santa_tex.pvr+hue(masks/dynamike/dynamike_santa_msk.png,213.488007)","dynamike_santa_tex.pvr","","","","","","","","",""
"TntGuyChef","TntGuyChef","","","","","","","","","","","","","5000","149","129","","EPIC","TID_DYNAMIKE_CHEF_SKIN","TID_DYNAMIKE_CHEF_SKIN_SHOP","MODEL,VFX","","","dynamike_chef_tex.pvr+hue(masks/dynamike/dynamike_chef_msk.png,221.860001)","dynamike_chef_tex.pvr","dynamike_chef_tex.pvr+hue(masks/dynamike/dynamike_chef_msk.png,213.488007)","dynamike_chef_tex.pvr","","","","","","","","",""
"RocketGirlBoombox","RocketGirlBoombox","","","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_BROCK_BOOMBOX_SKIN","TID_BROCK_BOOMBOX_SKIN_SHOP","MODEL","","","brock_boombox_tex.pvr+hue(masks/brock/brock_ammo_boombox_msk.png,230.233002)","brock_boombox_tex.pvr","brock_boombox_tex.pvr+hue(masks/brock/brock_ammo_boombox_msk.png,213.488007)","brock_boombox_tex.pvr","","","","","","","","",""
"BarkeepWizard","BarkeepWizard","","","","","2","4","","","","","","","","","","","","TID_BARLEY_WIZARD_SKIN","TID_BARLEY_WIZARD_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","barley_wizard_tex.pvr","barley_wizard_tex.pvr","barley_wizard_tex.pvr","barley_wizard_tex.pvr","","","","","","","","",""
"ShamanReindeer","ShamanReindeer","","BRAWLIDAYS","","","3","3","","","ShamanBearReindeer","","","","5000","149","","","EPIC","TID_NITA_REINDEER_SKIN","TID_NITA_REINDEER_SKIN_SHOP","MODEL,PET","","","nita_reindeer_tex.pvr","nita_reindeer_tex.pvr","nita_reindeer_tex.pvr","nita_reindeer_tex.pvr","","","","","","","","",""
"ArtilleryGalElf","ArtilleryGalElf","","BRAWLIDAYS","","","3","3","","","ArtilleryTurretElf","ArtilleryDudeCoverDefault","","","2750","79","","","SUPER_RARE","TID_PENNY_ELF_SKIN","TID_PENNY_ELF_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr","","","","","","","","",""
"NinjaDefault","NinjaDefault","","","","","","","","","","","","","","","","","","","","","","","leon_tex.pvr","leon_tex.pvr","leon_tex.pvr","leon_tex.pvr","","","","","","","","",""
"UndertakerHat","UndertakerHat","","","","1","5","5","","UndertakerDefault","","","","","","","","","","TID_UNDERTAKER_HAT_SKIN","TID_UNDERTAKER_HAT_SKIN_SHOP","MODEL","","","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","","","","","","","","",""
"BullGuyFootbull","BullGuyFootbull","","","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_SKIN_FOOTBULL","TID_SKIN_FOOTBULL_SHOP","MODEL","","","bull_footbull_tex.pvr","bull_footbull_tex.pvr","bull_footbull_tex.pvr","bull_footbull_tex.pvr","","","","","","","","",""
"ShamanBearReindeer","ShamanBearReindeer","","","","","","","","","","","","","","","","","","","","","","","nita_bear_reindeer_tex.pvr","nita_bear_reindeer_tex.pvr","nita_bear_reindeer_tex.pvr","nita_bear_reindeer_tex.pvr","","","","","","","","",""
"ArtilleryTurretElf","ArtilleryTurretElf","","","","","","","","","","","","","","","","","","","","","","","penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr","penny_elf_tex.pvr","","","","","","","","",""
"HookDefault","HookDefault","","","","","","","","","","","","","","","","","","","","","","","gene_tex.pvr","gene_tex.pvr","gene_tex.pvr","gene_tex.pvr","","","","","","","","",""
"TrickshotPopcorn","TrickshotPopcorn","","","","","","","","","","","","","5000","149","129","","EPIC","TID_SKIN_POPCORN_RICO","TID_SKIN_POPCORN_RICO_SHOP","MODEL,VFX","","","rico_popcorn_tex.pvr","rico_popcorn_tex.pvr","rico_popcorn_tex.pvr","rico_popcorn_tex.pvr","","","","","","","","",""
"GunSlingerHanbok","GunSlingerHanbok","","LNY","","","3","3","","","","","","","5000","149","","","EPIC","TID_SKIN_LUNAR_COLT","TID_SKIN_LUNAR_COLT_SHOP","MODEL,TEXTURE,VFX","","","colt_hanbok_tex.pvr","colt_hanbok_tex.pvr","colt_hanbok_tex.pvr","colt_hanbok_tex.pvr","","","","","","","","",""
"BarrelbotCny","BarrelbotCny","","LNY","","","3","3","","","","","","","2750","79","","","SUPER_RARE","TID_SKIN_DUMPLING_DARRYL","TID_SKIN_DUMPLING_DARRYL_SHOP","MODEL,TEXTURE,VFX","","","darryl_cny_tex.pvr","darryl_cny_tex.pvr","darryl_cny_tex.pvr","darryl_cny_tex.pvr","","","","","","","","",""
"PocoValentine","PocoValentine","","BRAWLENTINES","emoji_poco_stvalentines","","","","","","","","","","5000","149","129","","EPIC","TID_SKIN_VALENTINE_POCO","TID_SKIN_VALENTINE_POCO_SHOP","MODEL,VFX","","","poco_valentine_tex.pvr","poco_valentine_tex.pvr","poco_valentine_tex.pvr","poco_valentine_tex.pvr","","","","","","","","",""
"RocketGirlCny","RocketGirlCny","","LNY","","","3","3","","","","","","","5000","149","","","EPIC","TID_SKIN_LUNAR_BROCK","TID_SKIN_LUNAR_BROCK_SHOP","MODEL,TEXTURE,VFX","","","brock_cny_tex.pvr","brock_cny_tex.pvr","brock_cny_tex.pvr","brock_cny_tex.pvr","","","","","","","","",""
"WhirlwindDefault","WhirlwindDefault","","","","","","","","","","","","","","","","","","","","","","","carl_tex.pvr","carl_tex.pvr","carl_tex.pvr","carl_tex.pvr","","","","","","","","",""
"RoboWarsBox","RoboWarsBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerNightwitch","UndertakerNightwitch","","CLASHIP","","","","","","","","","","","5000","149","129","","EPIC","TID_UNDERTAKER_NIGHTWITCH_SKIN","TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP","MODEL,VFX","","","mortis_nightwitch_tex.pvr","mortis_nightwitch_tex.pvr","mortis_nightwitch_tex.pvr","mortis_nightwitch_tex.pvr","","","","","","","","",""
"RoboWarsBaseDefault","RoboWarsBaseDefault","","","","","","","","","","","","","","","","","","","","","","","siege_base.pvr","siege_base_red.pvr","","","","","","","","","","",""
"RosaDefault","RosaDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCart","MineCart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanShiba","ShamanShiba","","GOLDENWEEK","emoji_nita_gw","","","","","","ShamanBearShiba","","","","5000","149","129","","EPIC","TID_SHAMAN_SHIBA_SKIN","TID_SHAMAN_SHIBA_SKIN_SHOP","MODEL,PET,VFX,ANIM,SFX","","","nita_shiba_tex.pvr","nita_shiba_tex.pvr","nita_shiba_tex.pvr","nita_shiba_tex.pvr","","","","","","","","",""
"ShamanBearShiba","ShamanBearShiba","","","","","","","","","","","","","","","","","","","","","","","nita_bear_shiba_tex.pvr","nita_bear_shiba_tex.pvr","nita_bear_shiba_tex.pvr","nita_bear_shiba_tex.pvr","","","","","","","","",""
"BaseballDefault","BaseballDefault","","","","","","","","","","","","","","","","","","","","","","","bibi_tex.pvr","bibi_tex.pvr","bibi_tex.pvr","bibi_tex.pvr","","","","","","","","",""
"MineCartB","MineCartB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartC","MineCartC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartD","MineCartD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartE","MineCartE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDefault","ClusterBombDefault","","","","","","","","","ClusterBombPetDefault","","","","","","","","","","","","","","tick_tex.pvr","tick_tex.pvr","tick_tex.pvr","tick_tex.pvr","","","","","","","","",""
"ClusterBombPetDefault","ClusterBombPetDefault","","","","","","","","","","","","","","","","","","","","","","","tick_tex.pvr","tick_tex.pvr","tick_tex.pvr","tick_tex.pvr","","","","","","","","",""
"ArtilleryGalBunny","ArtilleryGalBunny","","BUNNY_BRIGADE","","","","","","","ArtilleryTurretBunny","ArtilleryDudeCoverDefault","","","2750","79","69","","SUPER_RARE","TID_PENNY_BUNNY_SKIN","TID_PENNY_BUNNY_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_bunny_redux_tex.pvr","penny_bunny_redux_tex.pvr","penny_bunny_redux_tex.pvr","penny_bunny_redux_tex.pvr","","","","","","","","",""
"ArtilleryTurretBunny","ArtilleryTurretBunny","","","","","","","","","","","","","","","","","","","","","","","penny_bunny_redux_tex.pvr","penny_bunny_redux_tex.pvr","penny_bunny_redux_tex.pvr","penny_bunny_redux_tex.pvr","","","","","","","","",""
"BarkeepMs","BarkeepMs","","RETRO","emoji_barley_retro","","3","3","","","","","","","5000","149","","","EPIC","TID_BARLEY_MS_SKIN","TID_BARLEY_MS_SKIN_SHOP","MODEL,VFX,ANIM","","","barley_ms_tex.pvr","barley_ms_tex.pvr","barley_ms_tex.pvr","barley_ms_tex.pvr","","","","","","","","",""
"RocketGirlHotrod","RocketGirlHotrod","","RETRO","emoji_brock_retro","","3","3","","","","","","","5000","149","","","EPIC","TID_BROCK_HOTROD_SKIN","TID_BROCK_HOTROD_SKIN_SHOP","MODEL,VFX","","","brock_hotrod_tex.pvr","brock_hotrod_tex.pvr","brock_hotrod_tex.pvr","brock_hotrod_tex.pvr","","","","","","","","",""
"BarkeepMaple","BarkeepLumberjack","","","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_BARLEY_MAPLE_SKIN","TID_BARLEY_MAPLE_SKIN_SHOP","MODEL,VFX","","","barley_lumberjack_tex.pvr","barley_lumberjack_tex.pvr","barley_lumberjack_tex.pvr","barley_lumberjack_tex.pvr","","","","","","","","",""
"WhirlwindRR","WhirlwindHotrod","","RETRO","emoji_carl_retro","","3","3","","","","","","","2750","79","","","SUPER_RARE","TID_CARL_RR_SKIN","TID_CARL_RR_SKIN_SHOP","MODEL,VFX","","","carl_hotrod_tex.pvr","carl_hotrod_tex.pvr","carl_hotrod_tex.pvr","carl_hotrod_tex.pvr","","","","","","","","",""
"BoMecha","BoMecha","","MECHA","","8","","","","","","","","","","299","269","","LEGENDARY","TID_BO_MECHA_SKIN","TID_BO_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png","bo_mecha_tex.png+hue(masks/bo/bo_mecha_ammo_msk.png,205.115997)","bo_mecha_tex.png","","","","","","","","",""
"CrowMecha","CrowMecha","","MECHA","","9","","","","","","","","","","299","269","","LEGENDARY","TID_CROW_MECHA_SKIN","TID_CROW_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mecha_tex.png","crow_mecha_tex.png","crow_mecha_tex.png","crow_mecha_tex.png","","","","","","","","",""
"Cactusmecha","Cactusmecha","","ROBOTSMONSTERS","","","","","","","","","","","5000","149","129","","EPIC","TID_SPIKE_ROBO_SKIN","TID_SPIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","spike_mecha_tex.pvr","spike_mecha_tex.pvr","spike_mecha_tex.pvr","spike_mecha_tex.pvr","","","","","","","","",""
"TntDudeMecha","TntDudeMecha","","ROBOTSMONSTERS","","","","","","","","","","","","299","269","","LEGENDARY","TID_MIKE_ROBO_SKIN","TID_MIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)+value(masks/dynamike/dynamike_mecha_ammo_msk.png,1.279000)","dynamike_mecha_tex.pvr","dynamike_mecha_tex.pvr+hue(masks/dynamike/dynamike_mecha_ammo_msk.png,198.000000)","dynamike_mecha_tex.pvr","","","","","","","","",""
