"Name","NameTID","InfoTID","BgItemName","SkinBuyRequiresExclusiveOption","EmoteBundleName","CampaignIconExportName","DisabledFromCatalog","ShowInCatalogCollectionsSection","CatalogSortingOrder","BundledUnderCatalogCategory","CatalogNameOverrideTID","CatalogDescriptionTID"
"LNY_2023","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2023",,"bg_campaign_5",,,"icon_skins_lny20",,,,"LNY_2019",,
"WC_2022","TID_SKIN_INFO_WC_2022",,"bg_campaign_15",,,"icon_skins_wf",,,,"WF_2020",,
"ANNIVERSARY2022","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2022",,"bg_campaign_16",,,"icon_skins_anniversary",,,,"ANNIVERSARY2019",,
"MASKS","TID_SKIN_INFO_MASKS",,"bg_campaign_masks",,,"icon_skins_masks",,,,,,
"HUB","TID_SKIN_INFO_HUB",,"bg_campaign_hub",,,"icon_skins_hub",,,,,,
"RANKED_OLD","TID_SKIN_INFO_CAMPAIGN_RANKED",,"bg_campaign_ranked",,,"icon_skins_ranked",,,,"RANKED",,
"BUNNY_BRIGADE","TID_SKIN_INFO_CAMPAIGN_BUNNY",,"bg_campaign_bunny_brigade",,,"icon_skins_bunny_brigade",,,,,,
"JUNGLE","TID_SKIN_INFO_CAMPAIGN_JUNGLE",,"bg_campaign_jungle",,,"icon_skins_jungle",,,,,,
"OLYMPUS","TID_SKIN_INFO_CAMPAIGN_GREEK",,"bg_campaign_olympus",,,"icon_skins_olympus",,,,,,
"CLASHIP","TID_SKIN_INFO_CAMPAIGN_CLASHIP",,"bg_campaign_claship",,,"icon_skins_claship",,,,,,
"LUNAREVENT","TID_SKIN_INFO_CAMPAIGN_LUNAREVENT",,"bg_campaign_moonfestival",,,"icon_skins_moonfestival",,,-20,,,
"SUMMER","TID_SKIN_INFO_CAMPAIGN_SUMMER",,"bg_campaign_summer",,,"icon_skins_summer",,,,,,
"ONCEUPON","TID_SKIN_INFO_CAMPAIGN_ONCEUPON",,"bg_campaign_onceupon",,,"icon_skins_onceupon",,,,,,
"OUTLAWS","TID_SKIN_INFO_CAMPAIGN_OUTLAWS",,"bg_campaign_outlaws",,,"icon_skins_outlaws",,,,,,
"ROBOTSMONSTERS","TID_SKIN_INFO_CAMPAIGN_ROBOTSMONSTERS",,"bg_campaign_robotsmonsters",,,"icon_skins_robotmonsters",,,,,,
"LNY","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL",,"bg_campaign_5",,,"icon_skins_lny20",,,,,,
"CURSED","TID_SKIN_INFO_CAMPAIGN_CURSED",,"bg_campaign_cursed",,,"icon_skins_cursed",,,,,,
"ENCHANTED","TID_SKIN_INFO_CAMPAIGN_ENCHANTED",,"bg_campaign_enchanted",,,"icon_skins_enchanted",,,,,,
"GOLDENBALL","TID_SKIN_INFO_CAMPAIGN_GOLDENBALL",,"bg_campaign_goldball",,,"icon_skins_goldball",,,,,,
"PHOENIX","TID_SKIN_INFO_CAMPAIGN_PHOENIX",,"bg_campaign_phoenix",,,"icon_skins_phoenix",,,,,,
"UNIVERSITY","TID_SKIN_INFO_CAMPAIGN_UNIVERSITY",,"bg_campaign_university",,,"icon_skins_university",,,-10,,,
"WASTELAND","TID_SKIN_INFO_CAMPAIGN_WASTELAND",,"bg_campaign_wasteland",,,"icon_skins_wasteland",,,-15,,,
"HARVESTFESTIVAL","TID_SKIN_INFO_CAMPAIGN_HARVESTFESTIVAL",,"bg_campaign_harvestfestival",,,"icon_skins_harvestfestival",,,-25,,,
