"Name","Disabled","TileSetPrefix","BannerSWF","BannerExportName","Island","Music","GroundSCW","EnvironmentSCW","MaskedEnvironmentSCW","CampaignGroundSCW","Blocking1SCW","Blocking1Mesh","Blocking1AngleStep","Blocking2SCW","Blocking2Mesh","Blocking2AngleStep","Blocking3SCW","Blocking3Mesh","Blocking3AngleStep","Blocking4SCW","Blocking4Mesh","Blocking4AngleStep","RespawningWallSCW","RespawningWallMesh","RespawningWallAngleStep","RespawningForestSCW","ForestSCW","DestructableSCW","DestructableMesh","DestructableAngleStep","DestructableSCW_CN","DestructableMesh_CN","DestructableAngleStep_CN","FragileSCW","FragileMesh","FragileAngleStep","FragileSCW_CN","FragileMesh_CN","FragileAngleStep_CN","WaterTileSCW","FenceSCW","RopeFenceSCW","RoadSCW","IndestructibleFenceSCW","IndestructibleSCW","IndestructibleMesh","Damageable1SCW","Damageable1Mesh","Damageable1AngleStep","Damageable2SCW","Damageable2Mesh","Damageable2AngleStep","Damageable3SCW","Damageable3Mesh","Damageable3AngleStep","Damageable4SCW","Damageable4Mesh","Damageable4AngleStep","IndestructibleDeco1SCW","IndestructibleDeco1Mesh","IndestructibleDeco1AngleStep","IndestructibleDeco2SCW","IndestructibleDeco2Mesh","IndestructibleDeco2AngleStep","IndestructibleDeco3SCW","IndestructibleDeco3Mesh","IndestructibleDeco3AngleStep","IndestructibleDeco4SCW","IndestructibleDeco4Mesh","IndestructibleDeco4AngleStep","GroundFillerSCW","LaserBallSkinOverride","MineGemSpawnSCWOverride","LootBoxSkinOverride","SafeSkinOverride","SafeCharacterOverride","ShowdownBoostSCWOverride","MapPreviewBGColorRed","MapPreviewBGColorGreen","MapPreviewBGColorBlue","MapPreviewSkyColorRed","MapPreviewSkyColorGreen","MapPreviewSkyColorBlue","MapPreviewGemGrabSpawnHoleExportName","MapPreviewBallExportName","MapPreviewGoal1ExportName","MapPreviewGoal2ExportName","MapPreviewSafeExportName","MapPreviewCNOverrides","MapWidth","MapHeight"
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_themed.glb","potted_plant_1b",1,,,"sc3d/oldtown_clutter.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/oldtown_clutter.glb","bone_skull",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mine",,"mine_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_mine_ground.glb","sc3d/bgr_mine.glb",,,"sc3d/mine_wall1.glb","Rock_1",90,"sc3d/mine_wall2.glb",,90,"sc3d/default_crate.glb","crate_1",0,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/mine_themed.glb","mushroom_1",1,"sc3d/mine_grass.glb","sc3d/mine_grass.glb","sc3d/mine_clutter.glb",,1,,,,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/mine_fragile_cn.glb","fragile_mushroom",1,"sc3d/mine_water.glb","sc3d/default_fence.glb","sc3d/mine_rope.glb","sc3d/mine_payload_track.glb","sc3d/default_fence.glb","sc3d/default_indestructible.glb",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/default_gem_spawn.glb",,,,,96,68,84,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>fragile_mushroom;destructable_mid_1>fragile_mushroom",21,33
,,,,,,,,,,,"sc3d/mine_wall1.glb","Rock_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MineTrainTracks",,"mine_","sc/events.sc","event_gemmine_banner",,"BattleMusic","sc3d/bgr_mine_tracks_1_ground.glb","sc3d/bgr_mine_tracks_1.glb",,,"sc3d/mine_wall1.glb","Rock_1",90,"sc3d/mine_wall2.glb",,90,"sc3d/default_crate.glb","crate_1",0,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/mine_themed.glb","mushroom_1",1,"sc3d/mine_grass.glb","sc3d/mine_grass.glb","sc3d/mine_clutter.glb",,1,,,,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/mine_fragile_cn.glb","fragile_mushroom",1,"sc3d/mine_water.glb","sc3d/default_fence.glb","sc3d/mine_rope.glb",,"sc3d/default_fence.glb","sc3d/default_indestructible.glb",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/default_gem_spawn.glb",,,,,96,68,84,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>fragile_mushroom;destructable_mid_1>fragile_mushroom",21,33
,,,,,,,,"sc3d/bgr_mine_tracks_1_lights.glb",,,"sc3d/mine_wall1.glb","Rock_1b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_l_top.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_l_bot.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_r_top.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"sc3d/bgr_mine_tracks_1_boom_r_bot.glb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warehouse","TRUE","town_","sc/events.sc","event_robowars_banner",,"BattleMusic","sc3d/bgr_warehouse_ground.scw","sc3d/bgr_warehouse.scw",,,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/rock_town_1.scw","rock_town_1",90,"sc3d/crate1.scw","crate_1",0,"sc3d/barrel1.scw","barrel_1",1,"sc3d/potted_plant_1.scw","potted_plant_1",1,"sc3d/grass_town.scw","sc3d/grass_town.scw","sc3d/bone_single.scw","bone_single",1,"sc3d/plant_town_small.scw",,1,"sc3d/bone_pile.scw","bone_pile",1,"sc3d/traffic_cone.scw","traffic_cone",1,"sc3d/water_tile_town.scw","sc3d/wooden_fence_town.scw","sc3d/generic_rope_fence.scw",,"sc3d/wooden_fence_town.scw","sc3d/indestructible_metal_1.scw",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,,,,,,148,90,115,69,136,255,"town_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>retropolis_fragile_mid_1;destructable_mid_1>retropolis_fragile_mid_1",27,39
,,,,,,,,,,,,,,,,,,,,,,,"sc3d/potted_plant_1.scw","potted_plant_1b",1,,,"sc3d/bone_ribs.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/bone_skull.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oasis","TRUE","oasis_","sc/events.sc","event_oasis_banner",,"BattleMusic","sc3d/bgr_oasis_ground.glb","sc3d/bgr_oasis.glb",,,"sc3d/default_wall1.glb","Rock_2",90,"sc3d/oasis_wall2.glb","stone_ruin_1",90,"sc3d/default_crate.glb","crate_1",0,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/default_themed.glb","ball_cactus",1,"sc3d/oasis_grass.glb","sc3d/oasis_grass.glb","sc3d/oasis_clutter.glb",,1,,,,"sc3d/oasis_fragile.glb","vase_1",1,,,,"sc3d/default_water.glb","sc3d/default_fence.glb","sc3d/oasis_rope.glb",,"sc3d/default_fence.glb","sc3d/default_indestructible.glb",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,"BallBeach","sc3d/default_gem_spawn.glb",,,,,234,180,119,69,136,255,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe",,21,33
,,,,,,,,,,,"sc3d/default_wall1.glb","Rock_2b",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OasisBeach","TRUE","grassfield_","sc/events.sc","event_beach_banner",,"BattleMusic","sc3d/bgr_oasis_beach_ground.glb","sc3d/bgr_oasis_beach.glb",,,"sc3d/default_wall1.glb","Rock_2",90,"sc3d/default_wall1.glb","Rock_2",90,"sc3d/default_crate.glb","crate_1",0,"sc3d/default_barrel.glb","barrel_1",1,"sc3d/default_themed.glb","ball_cactus",1,"sc3d/grassfield_grass.glb","sc3d/grassfield_grass.glb","sc3d/default_clutter.glb","bone_single",1,"sc3d/grassfield_clutter_cn.glb",,1,"sc3d/default_fragile.glb","bone_pile",1,"sc3d/grassfield_fragile_cn.glb","vase_1",1,"sc3d/default_water.glb","sc3d/default_fence.glb","sc3d/grassfield_rope.glb",,"sc3d/default_fence.glb","sc3d/default_indestructible.glb",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,"BallBeach","sc3d/default_gem_spawn.glb",,,,,60,150,87,15,150,223,"spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,"sc3d/default_wall1.glb","Rock_2b",90,"sc3d/default_wall1.glb","Rock_2b",90,,,,,,,,,,,,"sc3d/default_clutter.glb","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"sc3d/default_clutter.glb","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortuary","TRUE","mortuary_","sc/events.sc","event_mortuary_banner",,"Halloween_ingame","sc3d/bgr_mortuary_ground.scw","sc3d/bgr_mortuary.scw",,,"sc3d/rock_mortuary_1.scw","rock_mortuary",90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/plant_1_small_mine.scw",,1,"sc3d/candles_1.scw","candles1",0,,,,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/mortuary_rope_fence.scw",,"sc3d/mortuary_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/mine_gem_spawn_mortuary.scw",,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MortuaryHW","TRUE","mortuary_","sc/events.sc","event_mortuary_banner",,"Halloween_ingame","sc3d/bgr_mortuary_ground.scw","sc3d/bgr_mortuary.scw+sc3d/bgr_mortuary_decos_hw.scw",,,"sc3d/rock_mortuary_1.scw","rock_mortuary",90,"sc3d/tombstones_1.scw","tombstone_1",0,"sc3d/crate_mortuary.scw","crate_1",0,"sc3d/barrel_mortuary.scw","barrel_1",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,"sc3d/grass6.scw","sc3d/grass6.scw","sc3d/bone_single_mortuary.scw","bone_single",1,"sc3d/plant_1_small_mine.scw",,1,"sc3d/candles_1.scw","candles1",0,,,,"sc3d/water_tile_mortuary.scw","sc3d/mortuary_fence.scw","sc3d/mortuary_rope_fence.scw",,"sc3d/mortuary_fence.scw","sc3d/indestructible_metal_1.scw",,"sc3d/godzilla_damageable1.glb","building1",90,"sc3d/godzilla_damageable2.glb","building2",90,"sc3d/godzilla_damageable3.glb","building3",90,"sc3d/godzilla_damageable4.glb","building4",90,,,,,,,,,,,,,,,"sc3d/mine_gem_spawn_mortuary.scw",,,,,74,52,82,69,136,255,"mortuary_spawn_hole","icon_hud_brawl_ball","brawl_ball_goal_red","brawl_ball_goal_blue","heist_safe","fragile_mid_1>oasis_fragile_mid_1;destructable_mid_1>oasis_fragile_mid_1",21,33
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_2",0,"sc3d/crate_mortuary.scw","crate_1b",0,"sc3d/barrel_mortuary.scw","barrel_1b",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_ribs_mortuary.scw","bone_ribs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_3",0,"sc3d/crate_mortuary.scw","crate_1c",0,"sc3d/barrel_mortuary.scw","barrel_1c",1,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,"sc3d/bone_skull_mortuary.scw","bone_pile_002",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_4",0,"sc3d/crate_mortuary.scw","crate_1d",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"sc3d/tombstones_1.scw","tombstone_5",0,"sc3d/crate_mortuary.scw","crate_1e",0,,,,"sc3d/mortuary_tree_stump.scw","mortuary_tree_stump_2",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
