"Name","Conf","Disabled","Campaigns","IconOverride","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","PriceClubCoins","PriceStarPoints","PriceBling","PriceGems","DiscountPriceGems","PriceCoins","Rarity","TID","ShopTID","Features","CommunityCredit","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular","OutlineShader","PackOfferAnimOverride","BattleIntroXOffset","BattleIntroZOffset","BattleIntroVFX","DisableCatalogRelease","CatalogPreRequirementSkin","CatalogNewDaysAdjustment","NotInCatalogTID"
"TrickshotDefault","TrickshotDefault","","","","","","","","","","","","","","","","","","","","","","","rico_tex.ktx","rico_tex.ktx","rico_tex.ktx","rico_tex.ktx","","","","","","","","",""
"CactusDefault","CactusDefault","","","","","","","","","","","","","","","","","","","","","","","spike_tex.ktx","spike_tex.ktx","spike_tex.ktx","spike_tex.ktx","","","","","","","","",""
"CactusPink","CactusPink","","GOLDENWEEK","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_CACTUS_PINK_SKIN","TID_CACTUS_PINK_SKIN_SHOP","MODEL,VFX","","","spike_blossom_tex.ktx","spike_blossom_tex.ktx","spike_blossom_tex.ktx","spike_blossom_tex.ktx","","","","","","","","",""
"BarkeepDefault","BarkeepDefault","","","","","","","","","","","","","","","","","","","","","","","barley_tex.ktx","barley_tex.ktx","barley_tex.ktx","barley_tex.ktx","","","","","","","","",""
"MechanicDefault","MechanicDefault","","","","","","","","","TurretDefault","","","","","","","","","","","","","","jessie_tex.ktx","jessie_tex.ktx","jessie_tex.ktx","jessie_tex.ktx","","","","","","","","",""
"ShamanDefault","ShamanDefault","","","","","","","","","ShamanBearDefault","","","","","","","","","","","","","","nita_tex.ktx","nita_tex.ktx","nita_tex.ktx","nita_tex.ktx","","","","","","","","",""
"ShamanPanda","ShamanPanda","","ANIMALS","","","","","","","ShamanBearPanda","","","","1000","29","","","RARE","TID_SHAMAN_PANDA_SKIN","TID_SHAMAN_PANDA_SKIN_SHOP","MODEL,PET","","","nita_panda_tex.ktx","nita_panda_tex.ktx","nita_panda_tex.ktx","nita_panda_tex.ktx","","","","","","","","",""
"ShamanBearDefault","ShamanBearDefault","","","","","","","","","","","","","","","","","","","","","","","nita_bear_tex.ktx","nita_bear_tex.ktx","nita_bear_tex.ktx","nita_bear_tex.ktx","","","","","","","","",""
"ShamanBearPanda","ShamanBearPanda","","","","","","","","","","","","","","","","","","","","","","","nita_bear_panda_tex.ktx","nita_bear_panda_tex.ktx","nita_bear_panda_tex.ktx","nita_bear_panda_tex.ktx","","","","","","","","",""
"UndertakerDefault","UndertakerDefault","","","","1","","","","","","","","","","","","","","","","","","","mortis_v2_tex.ktx","mortis_v2_tex.ktx","mortis_v2_tex.ktx","mortis_v2_tex.ktx","","","","","","","","",""
"CrowDefault","CrowDefault","","","","","","","","","","","","","","","","","","","","","","","crow_tex.ktx","crow_tex.ktx","crow_tex.ktx","crow_tex.ktx","","","","","","","","",""
"CrowWhite","CrowWhite","","MISC","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_CROW_WHITE_SKIN","TID_CROW_WHITE_SKIN_SHOP","MODEL,TEXTURE","","","crow_white_tex.ktx","crow_white_tex.ktx","crow_white_tex.ktx","crow_white_tex.ktx","","","","","","","","",""
"DeadMariachiDefault","DeadMariachiDefault","","","","","","","","","","","","","","","","","","","","","","","poco_tex.ktx","poco_tex.ktx","poco_tex.ktx","poco_tex.ktx","","","","","","","","",""
"BowDudeDefault","BowDudeDefault","","","","","","","","","BowDudeTotemDefault","","","","","","","","","","","","","","bo_tex.ktx","bo_tex.ktx","bo_tex.ktx","bo_tex.ktx","","","","","","","","",""
"SniperDefault","SniperDefault","","","","","","","","","","","","","","","","","","","","","","","piper_tex.ktx","piper_tex.ktx","piper_tex.ktx","piper_tex.ktx","","","","","","","","",""
"MinigunDudeDefault","MinigunDudeDefault","","","","","","","","","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullGuyHair","BullGuyHair","","NORSEGODS","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_BULL_HAIR_SKIN","TID_BULL_HAIR_SKIN_SHOP","MODEL,VFX","","","bull_viking_tex.ktx","bull_viking_tex.ktx","bull_viking_tex.ktx","bull_viking_tex.ktx","","","","","","","","",""
"TrickshotGold","TrickshotGold","","ROYALS","","","","","","","","","","","5000","149","129","","EPIC","TID_TRICKSHOT_GOLD_SKIN","TID_TRICKSHOT_GOLD_SKIN_SHOP","MODEL,VFX","","","rico_gold_tex.ktx","rico_gold_tex.ktx","rico_gold_tex.ktx","rico_gold_tex.ktx","","","-300","-550","","","","",""
"BarkeepGold","BarkeepGold","","OUTLAWS","","","","","","","","","","","1000","29","","","RARE","TID_BARKEEP_GOLD_SKIN","TID_BARKEEP_GOLD_SKIN_SHOP","MODEL,VFX","","","barley_banker_tex.ktx","barley_banker_tex.ktx","barley_banker_tex.ktx","barley_banker_tex.ktx","","","","","","","","",""
"LuchadorRudo","LuchadorRudo","","MISC","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_LUCHADOR_RUDO_SKIN","TID_LUCHADOR_RUDO_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrudo_tex.ktx","primo_elrudo_tex.ktx","primo_elrudo_tex.ktx","primo_elrudo_tex.ktx","","","","","","","","",""
"BanditGirlBandita","BanditGirlBandita","","OUTLAWS","","","","8","","","","","","","1000","29","","","RARE","TID_SHOTGUN_BANDITA_SKIN","TID_SHOTGUN_BANDITA_SKIN_SHOP","MODEL","","","shelly_bandita_tex.ktx","shelly_bandita_tex.ktx","shelly_bandita_tex.ktx","shelly_bandita_tex.ktx","","","","","","","","",""
"LuchadorRey","LuchadorRey","","ROYALS","","","","","","","","","","","5000","149","129","","EPIC","TID_LUCHADOR_KING_SKIN","TID_LUCHADOR_KING_SKIN_SHOP","MODEL,VFX,ANIM","","","primo_elrey_tex.ktx","primo_elrey_tex.ktx","primo_elrey_tex.ktx","primo_elrey_tex.ktx","","","","","","","","",""
"BallDefault","BallDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackholeDefault","BlackholeDefault","","","","","","","","","","","","","","","","","","","","","","","tara_tex.ktx","tara_tex.ktx","tara_tex.ktx","tara_tex.ktx","","","","","","","","",""
"HealstationDefault","HealstationDefault","","","","","","","","","","","","","","","","","","","","","","","pam_turret_blue_tex.ktx","pam_turret_blue_tex.ktx","pam_turret_blue_tex.ktx","pam_turret_blue_tex.ktx","","","","","","","","",""
"BarrelbotDefault","BarrelbotDefault","","","","","","","","","","","","","","","","","","","","","","","darryl_tex.ktx","darryl_tex.ktx","darryl_tex.ktx","darryl_tex.ktx","","","","","","","","",""
"BlackholePetDefault","BlackholePetDefault","","","","","","","","","","","","","","","","","","","","","","","tara_superability_tex.ktx","tara_superability_tex.ktx","tara_superability_tex.ktx","tara_superability_tex.ktx","","","","","","","","",""
"TntPetDefault","TntPetDefault","","","","","","","","","","","","","","","","","","","","","","","nita_bear_tex.ktx","nita_bear_tex.ktx","nita_bear_tex.ktx","nita_bear_tex.ktx","","","","","","","","",""
"RangedBotDefault","RangedBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_ranger_tex.ktx","bot_ranger_tex.ktx","bot_ranger_tex.ktx","bot_ranger_tex.ktx","","","","","","","","",""
"MeleeFastBotDefault","MeleeFastBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_fast_melee_tex.ktx","bot_fast_melee_tex.ktx","bot_fast_melee_tex.ktx","bot_fast_melee_tex.ktx","","","","","","","","",""
"MeleeBotDefault","MeleeBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_melee_tex.ktx","bot_melee_tex.ktx","bot_melee_tex.ktx","bot_melee_tex.ktx","","","","","","","","",""
"BossBotDefault","BossBotDefault","","","","","","","","","","","","","","","","","","","","","","","bot_boss_tex.ktx","bot_boss_tex.ktx","bot_boss_tex.ktx","bot_boss_tex.ktx","","","","","","","","",""
"ArtilleryGalDefault","ArtilleryGalDefault","","","","","","","","","ArtilleryTurretDefault","ArtilleryDudeCoverDefault","","","","","","","","","","","","","penny_tex.ktx","penny_tex.ktx","penny_tex.ktx","penny_tex.ktx","","","","","","","","",""
"FrankDefault","FrankDefault","","","","","","","","","","","","","","","","","","","","","","","frank_tex.ktx","frank_tex.ktx","frank_tex.ktx","frank_tex.ktx","","","","","","","","",""
"ArtilleryTurretDefault","ArtilleryTurretDefault","","","","","","","","","","","","","","","","","","","","","","","penny_tex.ktx","penny_tex.ktx","penny_tex.ktx","penny_tex.ktx","","","","","","","","",""
"MechanicKnight","MechanicKnight","","ONCEUPON","","","","","","","TurretDragon","","","","5000","149","129","","EPIC","TID_MECHANIC_KNIGHT_SKIN","TID_MECHANIC_KNIGHT_SKIN_SHOP","MODEL,TURRET,VFX,ANIM","","","jessie_knight_redux_tex.ktx","jessie_knight_redux_tex.ktx","jessie_knight_redux_tex.ktx","jessie_knight_redux_tex.ktx","","","","","","","","",""
"FrankCaveman","FrankCaveman","","MISC","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_FRANK_CAVEMAN_SKIN","TID_FRANK_CAVEMAN_SKIN_SHOP","MODEL","","","frank_caveman_01.ktx","frank_caveman_01.ktx","frank_caveman_01.ktx","frank_caveman_01.ktx","","","","","","","","",""
"TurretDragon","TurretDragon","","","","","","","","","","","","","","","","","","","","","","","jessie_knight_redux_turret_tex.ktx","jessie_knight_redux_turret_tex.ktx","jessie_knight_redux_turret_tex.ktx","jessie_knight_redux_turret_tex.ktx","","","","","","","","",""
"MechanicSummer","MechanicSummer","","SUMMER","","","","","","","TurretSummertime","","","","2750","79","69","","SUPER_RARE","TID_MECHANIC_SUMMER_SKIN","TID_MECHANIC_SUMMER_SKIN_SHOP","MODEL,TURRET,VFX","","","jessie_beach_tex.ktx","jessie_beach_tex.ktx","jessie_beach_tex.ktx","jessie_beach_tex.ktx","","","","","","","","",""
"TurretSummertime","TurretSummertime","","","","","","","","","","","","","","","","","","","","","","","jessie_beach_duck_tex.ktx","jessie_beach_duck_tex.ktx","jessie_beach_duck_tex.ktx","jessie_beach_duck_tex.ktx","","","","","","","","",""
"CrowPheonix","CrowPheonix","","PHOENIX","","","","","","","","","","","","299","269","","LEGENDARY","TID_CROW_PHEONIX_SKIN","TID_CROW_PHEONIX_SKIN_SHOP","MODEL,VFX,ANIM","","","","","","","","","-300","-50","","","","",""
"UndertakerGreaser","UndertakerGreaser","","RETRO","emoji_mortis_retro","","","","","","","","","","5000","149","129","","EPIC","TID_UNDERTAKER_GREASER_SKIN","TID_UNDERTAKER_GREASER_SKIN_SHOP","MODEL,ANIM","","","mortis_greaser_tex_02.ktx","mortis_greaser_tex_02.ktx","mortis_greaser_tex_02.ktx","mortis_greaser_tex_02.ktx","","","","","","","","",""
"BigBotDefault","BigBotDefault","","","","","","","","","","","","","","","","","","","","","","","meleebot_tex.ktx","meleebot_tex.ktx","meleebot_tex.ktx","meleebot_tex.ktx","","","","","","","","",""
"BanditGirlPrereg","BanditGirlPrereg","","","","","1","3","","","","","","","","","","","","TID_SHOTGUN_STAR_SKIN","TID_SHOTGUN_STAR_SKIN_SHOP","MODEL,VFX","","","shelly_prereg_01.ktx","shelly_prereg_01.ktx","shelly_prereg_01.ktx","shelly_prereg_01.ktx","","","","","","","","",""
"LootBox","LootBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntBox","TntBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Safe","Safe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntGuySanta","TntGuySanta","","BRAWLIDAYS","","","3","3","","","","","","","2750","79","","","SUPER_RARE","TID_DYNAMIKE_SANTA_SKIN","TID_DYNAMIKE_SANTA_SKIN_SHOP","MODEL,VFX","","","dynamike_santa_tex.ktx","dynamike_santa_tex.ktx","dynamike_santa_tex.ktx","dynamike_santa_tex.ktx","","","","","","","","",""
"TntGuyChef","TntGuyChef","","MEAL","","","","","","","","","","","5000","149","129","","EPIC","TID_DYNAMIKE_CHEF_SKIN","TID_DYNAMIKE_CHEF_SKIN_SHOP","MODEL,VFX","","","dynamike_chef_tex.ktx","dynamike_chef_tex.ktx","dynamike_chef_tex.ktx","dynamike_chef_tex.ktx","","","","","","","","",""
"RocketGirlBoombox","RocketGirlBoombox","","MUSIC","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_BROCK_BOOMBOX_SKIN","TID_BROCK_BOOMBOX_SKIN_SHOP","MODEL","","","brock_boombox_tex.ktx","brock_boombox_tex.ktx","brock_boombox_tex.ktx","brock_boombox_tex.ktx","","","","","","","","",""
"BarkeepWizard","BarkeepWizard","","CLASHIP","","","2","4","","","","","","","","","","","","TID_BARLEY_WIZARD_SKIN","TID_BARLEY_WIZARD_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","barley_wizard_tex.ktx","barley_wizard_tex.ktx","barley_wizard_tex.ktx","barley_wizard_tex.ktx","","","","","","","","",""
"ShamanReindeer","ShamanReindeer","","BRAWLIDAYS","","","3","3","","","ShamanBearReindeer","","","","5000","149","","","EPIC","TID_NITA_REINDEER_SKIN","TID_NITA_REINDEER_SKIN_SHOP","MODEL,PET","","","nita_reindeer_tex.ktx","nita_reindeer_tex.ktx","nita_reindeer_tex.ktx","nita_reindeer_tex.ktx","","","","","","","","",""
"ArtilleryGalElf","ArtilleryGalElf","","BRAWLIDAYS","","","3","3","","","ArtilleryTurretElf","ArtilleryDudeCoverDefault","","","2750","79","","","SUPER_RARE","TID_PENNY_ELF_SKIN","TID_PENNY_ELF_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_elf_tex.ktx","penny_elf_tex.ktx","penny_elf_tex.ktx","penny_elf_tex.ktx","","","","","","","","",""
"NinjaDefault","NinjaDefault","","","","","","","","","","","","","","","","","","","","","","","leon_tex.ktx","leon_tex.ktx","leon_tex.ktx","leon_tex.ktx","","","","","","","","",""
"UndertakerHat","UndertakerHat","","","","1","5","5","","UndertakerDefault","","","","","","","","","","TID_UNDERTAKER_HAT_SKIN","TID_UNDERTAKER_HAT_SKIN_SHOP","MODEL","","","mortis_v2_tex.ktx","mortis_v2_tex.ktx","mortis_v2_tex.ktx","mortis_v2_tex.ktx","","","","","","","","",""
"BullGuyFootbull","BullGuyFootbull","","SUPERBOWL","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_SKIN_FOOTBULL","TID_SKIN_FOOTBULL_SHOP","MODEL","","","bull_footbull_tex.ktx","bull_footbull_tex.ktx","bull_footbull_tex.ktx","bull_footbull_tex.ktx","","","","","","","","",""
"ShamanBearReindeer","ShamanBearReindeer","","","","","","","","","","","","","","","","","","","","","","","nita_bear_reindeer_tex.ktx","nita_bear_reindeer_tex.ktx","nita_bear_reindeer_tex.ktx","nita_bear_reindeer_tex.ktx","","","","","","","","",""
"ArtilleryTurretElf","ArtilleryTurretElf","","","","","","","","","","","","","","","","","","","","","","","penny_elf_tex.ktx","penny_elf_tex.ktx","penny_elf_tex.ktx","penny_elf_tex.ktx","","","","","","","","",""
"HookDefault","HookDefault","","","","","","","","","","","","","","","","","","","","","","","gene_tex.ktx","gene_tex.ktx","gene_tex.ktx","gene_tex.ktx","","","","","","","","",""
"TrickshotPopcorn","TrickshotPopcorn","","BRAWLYWOOD","","","","","","","","","","","5000","149","129","","EPIC","TID_SKIN_POPCORN_RICO","TID_SKIN_POPCORN_RICO_SHOP","MODEL,VFX","","","rico_popcorn_tex.ktx","rico_popcorn_tex.ktx","rico_popcorn_tex.ktx","rico_popcorn_tex.ktx","","","","","","","","",""
"GunSlingerHanbok","GunSlingerHanbok","","LNY","","","3","3","","","","","","","5000","149","","","EPIC","TID_SKIN_LUNAR_COLT","TID_SKIN_LUNAR_COLT_SHOP","MODEL,TEXTURE,VFX","","","colt_hanbok_tex.ktx","colt_hanbok_tex.ktx","colt_hanbok_tex.ktx","colt_hanbok_tex.ktx","","","","","","","","",""
"BarrelbotCny","BarrelbotCny","","LNY","","","3","3","","","","","","","2750","79","","","SUPER_RARE","TID_SKIN_DUMPLING_DARRYL","TID_SKIN_DUMPLING_DARRYL_SHOP","MODEL,TEXTURE,VFX","","","darryl_cny_tex.ktx","darryl_cny_tex.ktx","darryl_cny_tex.ktx","darryl_cny_tex.ktx","","","","","","","","",""
"PocoValentine","PocoValentine","","BRAWLENTINES","emoji_poco_stvalentines","","","","","","","","","","5000","149","129","","EPIC","TID_SKIN_VALENTINE_POCO","TID_SKIN_VALENTINE_POCO_SHOP","MODEL,VFX","","","poco_valentine_tex.ktx","poco_valentine_tex.ktx","poco_valentine_tex.ktx","poco_valentine_tex.ktx","","","","","","","","",""
"RocketGirlCny","RocketGirlCny","","LNY","","","3","3","","","","","","","5000","149","","","EPIC","TID_SKIN_LUNAR_BROCK","TID_SKIN_LUNAR_BROCK_SHOP","MODEL,TEXTURE,VFX","","","brock_cny_tex.ktx","brock_cny_tex.ktx","brock_cny_tex.ktx","brock_cny_tex.ktx","","","","","","","","",""
"WhirlwindDefault","WhirlwindDefault","","","","","","","","","","","","","","","","","","","","","","","carl_tex.ktx","carl_tex.ktx","carl_tex.ktx","carl_tex.ktx","","","","","","","","",""
"RoboWarsBox","RoboWarsBox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerNightwitch","UndertakerNightwitch","","CLASHIP","","","","","","","","","","","5000","149","129","","EPIC","TID_UNDERTAKER_NIGHTWITCH_SKIN","TID_UNDERTAKER_NIGHTWITCH_SKIN_SHOP","MODEL,VFX","","","mortis_nightwitch_tex.ktx","mortis_nightwitch_tex.ktx","mortis_nightwitch_tex.ktx","mortis_nightwitch_tex.ktx","","","","","","","","",""
"RoboWarsBaseDefault","RoboWarsBaseDefault","","","","","","","","","","","","","","","","","","","","","","","siege_base.ktx","siege_base.ktx","siege_base.ktx","siege_base.ktx","","","","","","","","",""
"RosaDefault","RosaDefault","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCart","MineCart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanShiba","ShamanShiba","","GOLDENWEEK","emoji_nita_gw","","","","","","ShamanBearShiba","","","","5000","149","129","","EPIC","TID_SHAMAN_SHIBA_SKIN","TID_SHAMAN_SHIBA_SKIN_SHOP","MODEL,PET,VFX,ANIM,SFX","","","nita_shiba_tex.ktx","nita_shiba_tex.ktx","nita_shiba_tex.ktx","nita_shiba_tex.ktx","","","","","","","","",""
"ShamanBearShiba","ShamanBearShiba","","","","","","","","","","","","","","","","","","","","","","","nita_bear_shiba_tex.ktx","nita_bear_shiba_tex.ktx","nita_bear_shiba_tex.ktx","nita_bear_shiba_tex.ktx","","","","","","","","",""
"BaseballDefault","BaseballDefault","","","","","","","","","","","","","","","","","","","","","","","bibi_tex.ktx","bibi_tex.ktx","bibi_tex.ktx","bibi_tex.ktx","","","","","","","","",""
"MineCartB","MineCartB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartC","MineCartC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartD","MineCartD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MineCartE","MineCartE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDefault","ClusterBombDefault","","","","","","","","","ClusterBombPetDefault","","","","","","","","","","","","","","tick_tex.ktx","tick_tex.ktx","tick_tex.ktx","tick_tex.ktx","","","","","","","","",""
"ClusterBombPetDefault","ClusterBombPetDefault","","","","","","","","","","","","","","","","","","","","","","","tick_tex.ktx","tick_tex.ktx","tick_tex.ktx","tick_tex.ktx","","","","","","","","",""
"ArtilleryGalBunny","ArtilleryGalBunny","","BUNNY_BRIGADE","","","","","","","ArtilleryTurretBunny","ArtilleryDudeCoverDefault","","","2750","79","69","","SUPER_RARE","TID_PENNY_BUNNY_SKIN","TID_PENNY_BUNNY_SKIN_SHOP","MODEL,TURRET,VFX","","","penny_bunny_redux_tex.ktx","penny_bunny_redux_tex.ktx","penny_bunny_redux_tex.ktx","penny_bunny_redux_tex.ktx","","","","","","","","",""
"ArtilleryTurretBunny","ArtilleryTurretBunny","","","","","","","","","","","","","","","","","","","","","","","penny_bunny_redux_tex.ktx","penny_bunny_redux_tex.ktx","penny_bunny_redux_tex.ktx","penny_bunny_redux_tex.ktx","","","","","","","","",""
"BarkeepMs","BarkeepMs","","RETRO","emoji_barley_retro","","3","3","","","","","","","5000","149","","","EPIC","TID_BARLEY_MS_SKIN","TID_BARLEY_MS_SKIN_SHOP","MODEL,VFX,ANIM","","","barley_ms_tex.ktx","barley_ms_tex.ktx","barley_ms_tex.ktx","barley_ms_tex.ktx","","","","","","","","",""
"RocketGirlHotrod","RocketGirlHotrod","","RETRO","emoji_brock_retro","","3","3","","","","","","","5000","149","","","EPIC","TID_BROCK_HOTROD_SKIN","TID_BROCK_HOTROD_SKIN_SHOP","MODEL,VFX","","","brock_hotrod_tex.ktx","brock_hotrod_tex.ktx","brock_hotrod_tex.ktx","brock_hotrod_tex.ktx","","","","","","","","",""
"BarkeepMaple","BarkeepLumberjack","","MEAL","","","","","","","","","","","2750","79","69","","SUPER_RARE","TID_BARLEY_MAPLE_SKIN","TID_BARLEY_MAPLE_SKIN_SHOP","MODEL,VFX","","","barley_lumberjack_tex.ktx","barley_lumberjack_tex.ktx","barley_lumberjack_tex.ktx","barley_lumberjack_tex.ktx","","","","","","","","",""
"WhirlwindRR","WhirlwindHotrod","","RETRO","emoji_carl_retro","","3","3","","","","","","","2750","79","","","SUPER_RARE","TID_CARL_RR_SKIN","TID_CARL_RR_SKIN_SHOP","MODEL,VFX","","","carl_hotrod_tex.ktx","carl_hotrod_tex.ktx","carl_hotrod_tex.ktx","carl_hotrod_tex.ktx","","","","","","","","",""
"BoMecha","BoMecha","","MECHA","","8","","","","","","","","","","299","269","","LEGENDARY","TID_BO_MECHA_SKIN","TID_BO_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_tex.ktx","bo_mecha_tex.ktx","bo_mecha_tex.ktx","bo_mecha_tex.ktx","","","","","","","","",""
"CrowMecha","CrowMecha","","MECHA","","9","","","","","","","","","","299","269","","LEGENDARY","TID_CROW_MECHA_SKIN","TID_CROW_MECHA_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mecha_tex.ktx","crow_mecha_tex.ktx","crow_mecha_tex.ktx","crow_mecha_tex.ktx","","","","","","","","",""
"Cactusmecha","Cactusmecha","","MAXFORCE","","","","","","","","","","","5000","149","129","","EPIC","TID_SPIKE_ROBO_SKIN","TID_SPIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX","","","spike_mecha_tex.ktx","spike_mecha_tex.ktx","spike_mecha_tex.ktx","spike_mecha_tex.ktx","","","","","","","","",""
"TntDudeMecha","TntDudeMecha","","MAXFORCE","","","","","","","","","","","","299","269","","LEGENDARY","TID_MIKE_ROBO_SKIN","TID_MIKE_ROBO_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","dynamike_mecha_tex.ktx","dynamike_mecha_tex.ktx","dynamike_mecha_tex.ktx","dynamike_mecha_tex.ktx","","","","","","","","",""
"BowDudeMechaWhite","BoMecha","","MECHA","","8","","","","","BowDudeTotemDefault","","","","","49","","","LEGENDARY","TID_BO_MECHA_LIGHT_SKIN","TID_BO_MECHA_LIGHT_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_white_tex.ktx","bo_mecha_white_tex.ktx","bo_mecha_white_tex.ktx","bo_mecha_white_tex.ktx","","","","","","","BoMecha","",""
"BowDudeMechaGold","BoMecha","","MECHA","","8","","","","","BowDudeTotemDefault","","","","","49","","","LEGENDARY","TID_BO_MECHA_GOLD_SKIN","TID_BO_MECHA_GOLD_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","bo_mecha_gold_tex.ktx","bo_mecha_gold_tex.ktx","bo_mecha_gold_tex.ktx","bo_mecha_gold_tex.ktx","","","","","","","BoMecha","",""
"CrowMechaGold","CrowMecha","","MECHA","","9","","","","","","","","","","49","","","LEGENDARY","TID_CROW_MECHA_GOLD_SKIN","TID_CROW_MECHA_GOLD_SKIN_SHOP","MODEL,VFX,ANIM,SFX,VOICE","","","crow_mechagold_tex.ktx","crow_mechagold_tex.ktx","crow_mechagold_tex.ktx","crow_mechagold_tex.ktx","","","","","","","CrowMecha","",""
