"Name","Character","Model","ModelCNOverride","GadgetModel","BigHeroIconOverrideSWF","BigHeroIconOverrideExportName","SmallHeroIconOverrideSWF","SmallHeroIconOverrideExportName","PortraitCameraFile","MirrorIntro","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","OverchargedSecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","DeployAnim","HappyAnim","HappyLoopAnim","RecruitRoadOverrideAnim","SadAnim","SadLoopAnim","LobbyAnim","LobbyLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","GachaOverrideAnim","HappyEnterAnim","SadEnterAnim","ProfileAnim","ShopGroupProfileAnim","BrawlPassPopupProfileAnim","IntroAnim","EnvAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","GadgetActiveAnim","GadgetRecoilAnim","IdleFace","WalkFace","HappyFace","HappyLoopFace","RecruitRoadOverrideFace","SadFace","SadLoopFace","LobbyFace","LobbyLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","ProfileFace","IntroFace","LobbyEffect","LobbyLoopEffect","HeroScreenEffect","SignatureEffect","HappyEffect","SadEffect","PetInSameSprite","AttackLocksAttackAngle","UltiLocksAttackAngle","MainAttackProjectile","OverchargedMainAttackProjectile","UltiProjectile","OverchargedUltiProjectile","AlternativeSkillProjectile","UltiAlternativeSkillProjectile","MainAttackEffect","MainAttackEffect2","MainAttackEffect3","OverchargedMainAttackEffect","OverchargedMainAttackEffect2","OverchargedMainAttackEffect3","AlternatingMainAttackEffect","UltiAttackEffect","UltiAttackEffect2","UltiAttackEffect3","OverchargedUltiAttackEffect","OverchargedUltiAttackEffect2","OverchargedUltiAttackEffect3","ShieldEffect","UseBlueTextureInMenus","MainAttackUseEffect","OverchargedMainAttackUseEffect","UltiUseEffect","OverchargedUltiUseEffect","UltiEndEffect","MeleeHitEffect","OverchargedMeleeHitEffect","OverchargedUltiMeleeHitEffect","SpawnAreaEffect","SpawnEffect","SpawnShieldEffect","ReloadEffect","UltiLoopEffect","UltiLoopEffect2","OverchargedUltiLoopEffect","OverchargedUltiLoopEffect2","StarPower1Effect","OverchargedStarPower1Effect","StarPower2Effect","OverchargedStarPower2Effect","AreaEffect","AreaEffectStarPower","AreaEffectStarPowerOvercharged","AreaEffectStarPower2","AreaEffectStarPower2Overcharged","AreaEffectAttack","AreaEffectAttack2","AreaEffectUlti","AreaEffectUlti2","OverchargedAreaEffectUlti","OverchargedAreaEffectUlti2","ActivationSelfStatusEffectAttack","ActivationSelfStatusEffectUlti","StatusEffectSP1","StatusEffectSP2","PetrolEffect","SpawnedItem","SpawnedItem2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","UnlockVO","UnlockVOIndex","BoneEffect1","BoneEffectUse1","BoneEffect2","BoneEffectUse2","BoneEffect3","BoneEffectUse3","BoneEffect4","BoneEffectUse4","BoneEffect5","BoneEffectUse5","BoneEffect6","BoneEffectUse6","AutoAttackProjectile","ProjectileForShockyStarPower","OverchargedProjectileForShockyStarPower","IncendiaryStarPowerAreaEffect","KillEffect","DeathEffect","MoveEffect","MoveEffect2","ChargeMoveEffect","UltiChargeMoveEffect","OverchargedChargeMoveEffect","OverchargedUltiChargeMoveEffect","StillEffect","StillEffect2","LoopingEffect","ChargedShotEffect","DisableHeadRotation","BuffEffect","AttackBuildUpEffect","SpecialMaterialSetup","FaceCoversWholeTexture","FaceScaledUpTexture","TransformWhenOvercharged","ShadowRealmEnterEffect","ShadowRealmExitEffect","ShadowRealmFrameEffect","CustomEffect1","CustomEffect2","OverchargedCustomEffect1","OverchargedCustomEffect2","CustomAnim1","CustomAnim1Face","CustomAnim2","CustomAnim2Face","CustomAnim3","CustomAnim3Face","CustomAnim4","CustomAnim4Face","HighlightAnimSequence","SortOrder","SpawnedItemClip","SpawnedItemLoopingEffect","SpawnedItemActiveEffect","SpawnedItemStartClip","SpawnedItemReadyEffect","CustomAreaEffect1","CustomAreaEffect2","SurpriseAnim","SurpriseAnimDelay","SurpriseAnimProbability"
"BowDudeTotemDefault","BowDudeTotem","bo_gadget_totem_geo.scw","","","","","","","portrait_cam.scw","","8bitTurretIdle","8bitTurretIdle","8bitTurretIdle","8bitTurretIdle","8bitTurretIdle","8bitTurretIdle","","8bitTurretIdle","","8bitTurretIdle","8bitTurretIdle","","8bitTurretSpawn","8bitTurretIdle","","","8bitTurretIdle","8bitTurretSpawn","8bitTurretIdle","8bitTurretIdle","","8bitTurretIdle","","","8bitTurretIdle","8bitTurretIdle","8bitTurretIdle","","","8bitTurretIdle","8bitTurretIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PamOriginal","MinigunDude","pam_geo.scw","","","","","","","pam_base_cam.scw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PamFace","PamFace","PamHappy","PamFace","","PamFace","PamFace","PamHappy","PamFace","PamFace","PamHappy","PamFace","PamHappy","PamFace","PamFace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeBazaar","TrickshotDude","rico_dark_geo.scw","","","","","","","rico_dark_cam.scw","","RicoDarkIdle","RicoDarkWalk","RicoDarkPrimary","RicoDarkSecondary","RicoDarkSecondary","RicoDarkRecoil","","RicoDarkRecoil","","RicoDarkReload","RicoDarkPushback","","RicoDarkWin","RicoDarkWinloop","","RicoDarkLose","RicoDarkLoseloop","RicoDarkWin","RicoDarkWinloop","RicoDarkIdle","RicoDarkWin","RicoDarkWinloop","RicoDarkWin","","RicoDarkIdle","RicoDarkIdle","RicoDarkProfile","","","RicoDarkProfile","RicoDarkIdle","","","","","","Rico004Still","Rico004Still","Rico004Win","Rico004WinLoop","","Rico004Lose","Rico004LoseLoop","Rico004Win","Rico004WinLoop","Rico004WinLoop","Rico004Win","Rico004WinLoop","Rico004Win","Rico004Still","Rico004Still","","","","","","","","","","Rico004Projectile","","Rico004UltiProjectile","","","","rico_004_atk","","","","","","","rico_004_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Evil_Rick_kill_vo","Evil_Rick_lead_vo","Evil_Rick_start_vo","Evil_Rick_ulti_vo","Evil_Rick_hurt_vo","Evil_Rick_die_vo","","Evil_Rick_start_vo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookDudeBazaar","HookDude","gene_dark_geo.scw","","","","","","","gene_dark_cam.scw","","GeneDarkIdle","GeneDarkWalk","GeneDarkAttack","GeneDarkSecondary","GeneDarkSecondary","GeneDarkAttackRecoil","","GeneDarkSecondaryRecoil","","GeneDarkReload","GeneDarkPushback","","GeneDarkWin","GeneDarkWinloop","","GeneDarkLose","GeneDarkLoseloop","GeneDarkWin","GeneDarkWinloop","GeneDarkIdle","GeneDarkWin","GeneDarkWinloop","GeneDarkWin","","GeneDarkIdle","GeneDarkIdle","GeneDarkProfile","","","GeneDarkProfile","GeneDarkIdle","","","","","","GeneBazaarIdle","GeneBazaarIdle","GeneBazaarHappy","GeneBazaarIntro","","GeneBazaarSad","GeneBazaarIdle","GeneBazaarHappy","GeneBazaarIntro","GeneBazaarIntro","GeneBazaarHappy","GeneBazaarIntro","GeneBazaarHappy","GeneBazaarIdle","GeneBazaarIdle","","","","","","","","true","true","Gene003Projectile","","Gene003UltiProjectile","","","","gene_003_atk","","","","","","","gene_003_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Evil_Gene_VO","Evil_Gene_VO","Evil_Gene_VO","Evil_Gene_VO","Evil_Gene_VO","Evil_Gene_VO","","Evil_Gene_VO","","gene_003_idle_hand_L","always","gene_003_idle_hand_R","always","","","","","","","","always","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerBazaar","Undertaker","mortis_dark_geo.scw","","","","","","","mortis_dark_cam.scw","","MortisDarkIdle","MortisDarkWalk","MortisDarkAttack","MortisDarkUltiAttack","MortisDarkUltiAttack","MortisDarkRecoil","","MortisDarkUltiRecoil","","","UndertakerPushback","","MortisDarkWin","MortisDarkWinloop","","MortisDarkLose","MortisDarkLoseloop","MortisDarkWin","MortisDarkWinloop","MortisDarkIdle","MortisDarkWin","MortisDarkWinloop","MortisDarkWin","","MortisDarkIdle","MortisDarkIdle","MortisDarkProfile","","","MortisDarkProfile","MortisDarkIdle","","","","","","Mortis002Face","Mortis002Face","Mortis002Win","Mortis002Idle","","Mortis002Lose","Mortis002Idle","Mortis002Win","Mortis002Idle","Mortis002Idle","Mortis002Win","Mortis002Idle","Mortis002Win","Mortis002Face","Mortis002Face","","","","","","","","true","true","","","Mortis003UltiProjectile","","","","","","","","","","","mortis_003_ulti","","","","","","","","mortis_003_atk","","","","","mortis_003_atk_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Evil_Mortis_kill_vo","Evil_Mortis_lead_vo","Evil_Mortis_start_vo","Evil_Mortis_ulti_vo","Evil_Mortis_hurt_vo","Evil_Mortis_die_vo","Evil_Mortis_atk_vo","Evil_Mortis_start_vo","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicRedDragon","Mechanic","jessie_red_dragon_geo.glb","","","","","","","jessie_red_dragon_portrait.glb","","MechanicRedDragonIdle","MechanicRedDragonWalk","MechanicRedDragonPrimary","MechanicRedDragonUltiAttack","MechanicRedDragonUltiAttack","MechanicRedDragonRecoil","","MechanicRedDragonUltiRecoil","","MechanicRedDragonReload","MechanicRedDragonPushback","","MechanicRedDragonWin","MechanicRedDragonWinloop","","MechanicRedDragonLose","MechanicRedDragonLoseloop","MechanicRedDragonWin","MechanicRedDragonWinloop","MechanicRedDragonIdle","MechanicRedDragonWin","MechanicRedDragonWinloop","MechanicRedDragonWin","","MechanicRedDragonIdle","MechanicRedDragonIdle","MechanicRedDragonProfile","","","MechanicRedDragonProfile","JunkerIdle","","","","","","JessieRenewStill","JessieRenewStill","JessieRenewWin","JessieRenewWinLoop","","JessieRenewLose","JessieRenewLoseLoop","JessieRenewWin","JessieRenewWinLoop","JessieRenewIdle","JessieRenewWin","JessieRenewWinLoop","JessieRenewWin","JessieRenewStill","JessieRenewStill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TurretRedDragon","MechanicTurret","jessie_red_dragon_turret_geo.glb","","","","","","","portrait_cam.scw","","TurretRedDragon","TurretRedDragon","TurretRedDragon","TurretRedDragon","TurretRedDragon","TurretRedDragonAttack","","TurretRedDragon","","TurretRedDragon","TurretRedDragonIdle","","TurretRedDragonSpawn","TurretRedDragonIdle","","","TurretRedDragonIdle","TurretRedDragonSpawn","TurretRedDragonIdle","TurretRedDragonIdle","TurretRedDragonSpawn","TurretRedDragonIdle","","","TurretRedDragonIdle","TurretRedDragonIdle","TurretRedDragon","","","TurretRedDragon","TurretRedDragon","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerConstructor","Driller","jacky_constructor_geo.scw","","","","","","","jacky_portrait.scw","","JackyIdle","JackyWalk","JackyAttack","JackySuper","JackySuper","JackyRecoil","","JackySuperRecoil","","JackyIdle","JackyIdle","","JackyHappy","JackyHappyLoop","","JackyLose","JackyLoseloop","JackyHappy","JackyHappyLoop","JackyIdle","JackyHappy","JackyHappyLoop","JackyHappy","","JackyIdle","JackyIdle","JackyPortrait","","","JackyPortrait","JackyIdle","","","","","","JackyStill","JackyStill","JackyWin","JackyWinLoop","","JackyLose","JackyLoseLoop","JackyWin","JackyWinLoop","JackyWinLoop","JackyWin","JackyWinLoop","JackyWinLoop","JackyStill","JackyStill","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","driller_def_moving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyHawaii","Wally","sprout_hawaii_geo.scw","","","","","","","sprout_hawaii_cam.scw","","SproutHawaiiIdle","SproutHawaiiWalk","SproutHawaiiPrimary","SproutHawaiiPrimary","SproutHawaiiPrimary","SproutHawaiiRecoil","","SproutHawaiiRecoil","","SproutHawaiiReload","SproutHawaiiPushback","","SproutHawaiiWin","SproutHawaiiWinloop","","SproutLose","SproutLoseloop","SproutHawaiiWin","SproutHawaiiWinloop","SproutHawaiiIdle","SproutHawaiiWin","SproutHawaiiWinloop","SproutHawaiiWin","","SproutHawaiiIdle","SproutHawaiiIdle","SproutHawaiiProfile","","","SproutPortrait","SproutHawaiiIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeBarbking","BullDude","bull_barbking_geo.scw","","","","","","","bull_barbking_cam.scw","","BullBarbkingIdle","BullBarbkingWalk","BullBarbkingPrimary","BullBarbkingSecondary","BullBarbkingSecondary","BullBarbkingRecoil","","BullBarbkingRecoil","","BullBarbkingReload","BullBarbkingPushback","","BullBarbkingWin","BullBarbkingWinloop","","BullBarbkingLose","BullBarbkingLoseloop","BullBarbkingWin","BullBarbkingWinloop","BullBarbkingIdle","BullBarbkingWin","BullBarbkingWinloop","BullBarbkingWin","","BullBarbkingIdle","BullBarbkingIdle","BullBarbkingProfile","","","BullBarbkingProfile","BullBarbkingIdle","","","","","","Bull002Still","Bull002Still","Bull002Win","Bull002WinLoop","","Bull002Lose","Bull002LoseLoop","Bull002Win","Bull002WinLoop","Bull002WinLoop","Bull002Win","Bull002WinLoop","Bull002Win","Bull002Still","Bull002Still","","","","","","","","true","","Bull002Projectile","","","","","","bull_002_atk","","","","","","","","","","","","","","","bull_002_atk_use","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeSummer","MinigunDude","pam_summer_geo.glb","","","","","","","pam_base_cam.scw","","PamIdle","PamWalk","PamAttack","PamSecondary","PamSecondary","PamRecoil","","PamSecondaryRecoil","","PamReload","PamPushback","","PamWin","PamWinloop","","PamLose","PamLoseloop","PamWin","PamWinloop","PamIdle","PamWin","PamWinloop","PamWin","","PamIdle","PamIdle","PamPortrait","","","PamPortrait","PamIdle","","","","","","PamFace","PamFace","PamHappy","PamFace","","PamFace","PamFace","PamHappy","PamFace","PamFace","PamHappy","PamFace","PamFace","PamStill","PamStill","","","","","","","","true","true","Pam002Projectile","","Pam002UltiProjectile","","","","pam_002_atk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlowerTrader","Blower","gale_trader_geo.scw","","","","","","","gale_trader_cam.scw","","GaleTraderIdle","GaleTraderWalk","GaleTraderPrimary","GaleTraderPrimary","GaleTraderPrimary","GaleTraderRecoil","","GaleTraderRecoil","","GaleTraderIdle","GaleTraderPushback","","GaleTraderWin","GaleTraderWinloop","","GaleTraderLose","GaleTraderLoseloop","GaleTraderWin","GaleTraderWinloop","GaleTraderIdle","GaleTraderWin","GaleTraderWinloop","GaleTraderWin","","GaleTraderIdle","GaleTraderIdle","GaleTraderProfile","","","GaleTraderProfile","GaleTraderIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","Gale002Projectile","","Gale002UltiProjectile","","","","gale_002_atk","","","","","","","gale_002_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ControllerDefaultAddon","","peep_geo.scw","","","","","","","","","PeepIdle","","","","","","","","","","","","PeepIdle","PeepIdle","","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","PeepIdle","","PeepIdle","PeepIdle","PeepPortrait","","","PeepPortrait","PeepIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealingStationSummer","HealingStation","pam_summer_turret_geo.scw","","","","","","","portrait_cam.scw","","PamTurretIdle","PamTurretIdle","PamTurretIdle","PamTurretIdle","PamTurretIdle","PamTurretIdle","","PamTurretIdle","","PamTurretIdle","PamTurretIdle","","PamTurretSpawn","PamTurretIdle","","","PamTurretIdle","PamTurretSpawn","PamTurretIdle","PamTurretIdle","","PamTurretIdle","","","PamTurretIdle","PamTurretIdle","PamTurretIdle","","","PamTurretIdle","PamTurretIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorGold","Luchador","primo_geo.scw:torsoGeo+braceletGeo+legsGeo+beltGeo","","","","","","","primo_portrait.scw","","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil","","","LouchadorPushback","","LouchadorWin","LouchadorWinloop","","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorWinloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","","LouchadorIdle","LouchadorIdle","LouchadorProfile","","","LouchadorIntro","LouchadorIdle","","","","LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil","","","","","","","","","","","","","","","","gen_gold_lobby_aura","","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","","","","","","","","","","luchador_attack","gen_gold_atk_speedline_single","","","","","","","","","","","","","","","","primo_def_ulti","","primo_def_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_gold_moving","","","","","","gen_gold_moving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PowerLevelerDefault","PowerLeveler","surge_geo.glb","","","","","","","surge_portrait.scw","","SurgeIdle","SurgeWalk","","SurgeSecondary","SurgeSecondary","SurgeAttackRecoil","","","","SurgeReload","SurgePushback","","SurgeWin","SurgeWinloop","","SurgeLose","SurgeLoseloop","SurgeWin","SurgeWinloop","SurgeIdle","SurgeWin","SurgeWinloop","SurgeWin","","SurgeIdle","SurgeIdle","SurgeProfile","","","SurgeIdle","SurgeIdle","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MummyGold","Mummy","emz_geo.scw","","","","","","","emz_base_cam.scw","","EmzIdle","EmzWalk","EmzPrimary","EmzPrimary","EmzPrimary","EmzRecoil","EmzSecondary","EmzRecoil","EmzSecondaryRecoil","EmzReload","EmzPushback","","EmzWin","EmzWinloop","","EmzLose","EmzLoseloop","EmzWin","EmzWinloop","EmzIdle","EmzWin","EmzWinloop","EmzWin","","EmzIdle","EmzIdle","EmzProfile","","","EmzIntro","EmzIdle","","","","","","","","","","","","","","","","","","","","","gen_gold_lobby_aura","","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","gen_gold_lobby_aura","","true","","","","","","","","emz_def_atk","gen_gold_atk_spray","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_gold_moving","","","","","","gen_gold_moving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MummySilver","Mummy","emz_geo.scw","","","","","","","emz_base_cam.scw","","EmzIdle","EmzWalk","EmzPrimary","EmzPrimary","EmzPrimary","EmzRecoil","EmzSecondary","EmzRecoil","EmzSecondaryRecoil","EmzReload","EmzPushback","","EmzWin","EmzWinloop","","EmzLose","EmzLoseloop","EmzWin","EmzWinloop","EmzIdle","EmzWin","EmzWinloop","EmzWin","","EmzIdle","EmzIdle","EmzProfile","","","EmzIntro","EmzIdle","","","","","","","","","","","","","","","","","","","","","gen_silver_lobby_aura","","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_silver_moving","","","","","","gen_silver_moving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorSilver","Luchador","primo_geo.scw:torsoGeo+braceletGeo+legsGeo+beltGeo","","","","","","","primo_portrait.scw","","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil","","","LouchadorPushback","","LouchadorWin","LouchadorWinloop","","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorWinloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","","LouchadorIdle","LouchadorIdle","LouchadorProfile","","","LouchadorIntro","LouchadorIdle","","","","LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil","","","","","","","","","","","","","","","","gen_silver_lobby_aura","","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","gen_silver_lobby_aura","","","","","","","","","","luchador_attack","","","","","","","","","","","","","","","","","primo_def_ulti","","primo_def_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","gen_silver_moving","","","","","","gen_silver_moving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BeeSniperMonster","BeeSniper","bea_bug_geo.glb","","","","","","","bea_portrait.scw","true","BeaBugIdle","BeaBugWalk","BeaBugAttack","BeaBugAttack","BeaBugAttack","BeaBugRecoil","","BeaBugRecoil","","BeaBugReload","BeaBugPushback","","BeaBugWin","BeaBugWinloop","","BeaBugLose","BeaBugLoseloop","BeaBugWin","BeaBugWinloop","BeaBugIdle","BeaBugWin","BeaBugWinloop","BeaBugWin","","BeaBugIdle","BeaBugIdle","BeaBugPortrait","","","BeaBugIntro","BeaBugIdle","","","","","","Bea002Still","Bea002Still","Bea002Win","Bea002WinLoop","","Bea002Lose","Bea002LoseLoop","Bea002Win","Bea002WinLoop","Bea002WinLoop","Bea002Win","Bea002WinLoop","Bea002Win","Bea002Still","Bea002Still","","","","","","","","true","true","Bea002Projectile;Bea002ChargedProjectile","","Bea002UltiProjectile","","","","","","","","","","","bea_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bea_Mon_Kill_VO","Bea_Mon_Lead_VO","Bea_Mon_Start_VO","Bea_Mon_Ulti_VO","Bea_Mon_Start_VO","Bea_Mon_Die_VO","Bea_Mon_Atk_VO","Bea_Mon_Start_VO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bea_def_atk_charged","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerMonster","Driller","jacky_driller_geo.glb","","","","","","","jacky_portrait.scw","","JackyDrillerIdle","JackyDrillerWalk","JackyDrillerAttack","JackyDrillerSuper","JackyDrillerSuper","JackyDrillerRecoil","","JackyDrillerSuperRecoil","","JackyDrillerIdle","JackyDrillerIdle","","JackyDrillerHappy","JackyDrillerHappyLoop","","JackyDrillerLose","JackyDrillerLoseloop","JackyDrillerHappy","JackyDrillerHappyLoop","JackyDrillerIdle","JackyDrillerHappy","JackyDrillerHappyLoop","JackyDrillerHappy","","JackyDrillerIdle","JackyDrillerIdle","JackyDrillerPortrait","","","JackyDrillerPortrait","JackyDrillerIdle","","","","","","Jacky002WinLoop","Jacky002WinLoop","Jacky002Win","Jacky002WinLoop","","Jacky002Lose","Jacky002LoseLoop","Jacky002Win","Jacky002WinLoop","Jacky002WinLoop","Jacky002Win","Jacky002WinLoop","Jacky002Win","JackyStill","Jacky002WinLoop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Driller_002_atk","","","","","","","","","","","","","Jackie_Drill_Kill_VO","Jackie_Drill_Lead_VO","Jackie_Drill_Start_VO","Jackie_Drill_Ulti_VO","Jackie_Drill_Hurt_VO","Jackie_Drill_Die_VO","","Jackie_Drill_Start_VO","","","","","","","","","","","","","","","","","","","","driller_002_moving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
