"Name","ParentStatusEffectForSkin","DurationTicks","GradualWearOffAfter","CancelOnDamage","CancelOnCharge","CancelOnChargeEnd","CancelOnHealthRegen","CancelOnSourceDeath","TriggerRate","TriggerOnFirstTick","Stacking","Refreshable","PulsatingActiveTicksOn","PulsatingActiveTicksOff","Damage","DamageHealSource","UltiChargePercent","AmmoReducePercent","Healing","ShieldPercent","SpeedBoostPercent","SpeedBoostAbsolute","SpeedReducePercent","SpeedReduceAbsolute","DamageBoostPercent","DamageReducePercent","DamageBoostTargetCurrentHealthPercent","DamageReceivedBoostPercent","DamageReceivedBoostAbsolute","Cleanse","DoBlinkClear","CcImmunity","AttackImmunity","Invisibility","ForceShow","LosePlayerControl","FullStun","Taunt","Stasis","Silence","ScaleWithUpgrades","ScaleWithBuffs","IsDebuff","AttackPierceCharacters","AttackThroughWalls","UltiAttackThroughWalls","MoveThroughWalls","MoveThroughWater","ServerOnly","SpawnCharacterOnDeath","SpawnAreaEffectOnDeath","ChainStatusEffect","ChainStatusEffect2","PersistTransformation","BooleanAttributes","HapticsToSource","UseColorMod","RedAdd","GreenAdd","BlueAdd","FullScreenAdd","FullScreenMul","FullScreenEffectFile","FullScreenEffectName","StartEffect","LoopedEffect","LoopedEffectRemoveType","TimerBar","TriggerEffect","EndEffect"
"PuppeteerPoison",,40,,,,,,,20,"TRUE","TRUE",,,,400,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,,,,,"willow_def_atk_poison","end",,,
"Puppeteer002Poison","PuppeteerPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,,,,,"willow_def_atk_poison","end",,,
"Puppeteer003Poison","PuppeteerPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,,,,,"poisoned_002","end",,,
"SharpenedAmmoBleed",,60,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,"TRUE",150,0,0,,,,,,"status_blood","end",,,
"CollabAssassinBleed",,120,,,,,,,20,,,,,,65,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,,,"TRUE",150,0,0,,,,,,"status_blood","end",,,
"JesterUltiPoison",,120,,,,,,,20,"TRUE",,"TRUE",,,290,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,,
"FleaPetDot",,80,,,,,,,20,,"TRUE",,,,200,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_006","end",,,
"FleaPetHot",,80,,,,,,,20,,"TRUE",,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,0,0,0,,,,,,"heal_over_time_3","end",,,
"FleaExtraPetDot",,40,,,,,,,20,,"TRUE",,,,200,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_006","end",,,
"SamuraiShield",,9999999,,"TRUE",,,,,,,,"TRUE",,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,"buff_shield","remove",,,
"SamuraiHide",,120,,,"TRUE",,,,,,,"TRUE",,,,,,,,100,,,100,,,,,,,"TRUE","TRUE","TRUE","TRUE","full",,"TRUE",,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
"SnakeOilDot",,40,,,,,,,20,"TRUE","TRUE",,,,380,,68,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,,,,,"poisoned_001","end",,,
"SnakeOilHot",,40,,,,,,,20,"TRUE","TRUE",,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,0,0,0,,,,,,"heal_over_time_3","end",,,
"SnakeOilGadgetDot",,40,,,,,,,20,"TRUE","TRUE",,,,304,,82,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,"TRUE","TRUE",0,100,0,,,,,,"poisoned_001","end",,,
"SnakeOilGadgetHot",,40,,,,,,,20,"TRUE","TRUE",,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,0,0,0,,,,,,"heal_over_time_3","end",,,
"CrowPoison",,80,,,,,,,20,,,"TRUE",,,80,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,,
"CrowPoisonFire","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,,
"CrowPoisonShock","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_005","end",,,
"CrowPoisonSparkle","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_012","end",,,
"CrowPoisonStar","CrowPoison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",100,100,0,,,,,,,"end",,,
"CrowCrippleSP",,80,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"crippled","end",,,
"LuchadorFire",,80,,,,,,,20,,,"TRUE",,,225,,0,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,,
"ShadowMushroomHot",,40,,,,,,,20,"TRUE","TRUE",,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"snake_oil_poison_1","end",,,
"ShadowMushroomDot",,40,,,,,,,20,"TRUE","TRUE",,,,240,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,0,0,0,,,,,,"heal_over_time_3","end",,,
"AttacherUltiDot",,40,,,,,,,20,,"TRUE",,,,125,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,,
"CookerGadgetDot",,60,,,,,,,20,"TRUE",,"TRUE",,,130,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",150,150,0,,,,,,"poisoned_002","end",,,
"CookerGadgetHot",,60,,,,,,,20,"TRUE",,"TRUE",,,,,,,350,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,0,0,0,,,,,,"heal_over_time_3","end",,,
"GhostIncorporeal",,120,,,,,,,,,"TRUE","TRUE",,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,"TRUE",255,255,255,,,,,,,,"TRUE",,
"GhostShield",,120,,,,,,,,,,"TRUE",,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,"buff_shield","remove",,,
"GhostDeadCenterReward",,20,,,,,,,,,"TRUE",,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,"buff_speedUp","remove",,,
"GhostSpooked",,80,,,,,,,,,,"TRUE",,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"slowed","remove",,,
"MosquitoPoison",,80,,,,,,,20,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_001","end",,,
"MosquitoPoisonShock","MosquitoPoison",80,,,,,,,20,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,"TRUE",0,100,0,,,,,,"poisoned_005","end",,,
"DemonicRitualCooldown",,10,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,"end",,,
"AngelicGraceCooldown",,20,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,"end",,,
"DemonicMomentum",,9999999,,,,,"TRUE",,20,,,"TRUE",,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentum002","DemonicMomentumCooldown",,,,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum001","end",,,
"SpeedOfAnAngel",,9999999,,,,,,,20,,"TRUE","TRUE",,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel002",,,,,,,,,,,,,,"SpeedOfAnAngel001","end",,,
"SpeedOfAnAngel002",,9999999,,,,,,,20,,"TRUE","TRUE",,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel003",,,,,,0,0,0,,,,,,"SpeedOfAnAngel002","end",,,
"LastBreathCooldown",,500,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,0,0,0,,,,,,,"end",,,
"LastBreath",,30,,,,,,,10,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LastBreathCooldown",,"TRUE",,,"TRUE",70,70,70,,,,,,"Last_Breath_Shield","end",,,
"AngelicWrathCooldown",,50,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,"end",,,
"DemonicfireCooldown",,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,"end",,,
"InvokDemonicPetAfterDying",,9999999,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DemonicPet",,"InvokeAngelicBigPetAfterDying",,,,,,0,0,0,,,,,,,"end",,,
"InvokeAngelicBigPetAfterDying",,9999999,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,"end",,,
"VoodooGadgetSpeedUp",,60,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,"buff_speedUp","end",,,
"VoodooGadgetShield",,60,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,"buff_shield","end",,,
"SilencerUltiOvercharged",,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"stunned","end",,,
"BarrelbotShield",,18,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot005Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_005_ulti_loop_2","remove",,,
"Barrelbot006Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_006_ulti_shield","remove",,,
"Barrelbot007Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_007_ulti_shield","remove",,,
"Barrelbot008Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_008_ulti_shield","remove",,,
"Barrelbot009Shield","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_009_ulti_shield","remove",,,
"BarrelbotShieldOvercharged","BarrelbotShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_def_oc_ulti_shield","remove",,,
"BarrelbotAfterChargeShield",,40,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"BarrelbotAfterShieldOvercharged","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"darryl_def_oc_ulti_shield2","remove",,,
"Barrelbot005AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot006AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot007AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot008AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"Barrelbot009AfterChargeShield","BarrelbotAfterChargeShield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_shield","remove",,,
"DemonicMomentum002",,9999999,,,,,"TRUE",,20,,,"TRUE",,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentum003","DemonicMomentumCooldown",,,,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum002","end",,,
"DemonicMomentum003",,9999999,,,,,"TRUE",,20,,,"TRUE",,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentum004","DemonicMomentumCooldown",,,,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum003","end",,,
"DemonicMomentum004",,9999999,,,,,"TRUE",,20,,,"TRUE",,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DemonicMomentumCooldown",,,,"TRUE",100,0,100,,,,,"DemonicMomentum_start","DemonicMomentum004","end",,,
"DemonicMomentumCooldown",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DemonicRevengeCooldown",,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,
"DemonicSoulCollectorCooldown",,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,
"SpeedOfAnAngel003",,9999999,,,,,,,20,,"TRUE","TRUE",,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel004",,,,,"TRUE",70,70,70,,,,,,"SpeedOfAnAngel003","end",,,
"SpeedOfAnAngel004",,9999999,,,,,,,20,,"TRUE","TRUE",,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SpeedOfAnAngel005",,,,,,0,0,0,,,,,,"SpeedOfAnAngel004","end",,,
"SpeedOfAnAngel005",,9999999,,,,,,,20,,"TRUE","TRUE",,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,"SpeedOfAnAngel005","end",,,
"LightyearFire",,80,,,,,,,20,,,"TRUE",,,80,,30,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,"TRUE",100,20,0,,,,,,"poisoned_002","end",,,
"SkaterUltiTaunt",,50,,,,,,"TRUE",,"TRUE",,"TRUE",,,800,,100,,,,,,,,,,,,,,,,,,,,,"TRUE",,,"TRUE","TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,"taunt_effect","end",,,
"SkaterUltiAmmoReductionSelf",,30,,,,,,,,"TRUE",,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,
"SkaterGadgetJumpTaunt",,20,,,,,,"TRUE",,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"taunt_effect","end",,,
"SkaterGadgetProjectileTaunt",,20,,,,,,"TRUE",,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"taunt_effect","end",,,
"MeepleSuperArea",,10,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,"TRUE",100,0,100,,,,,,,,,,
"Invulnerable",,9999999,,,,,,,10,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,"end",,,
"ArenaBuff",,1300,,,,,,,20,,,,,,,,,,,30,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,"ArenaKaijuBuff","end",,,
"MorningstarSuperRoot",,20,,,,,,,,,,"TRUE",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"lumi_def_ulti_explosion_03_restriction","remove",,,
"MorningstarRecallSlow",,20,,,,,,,,,,"TRUE",,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"slowed","end",,,
"Morningstar002RecallSlow","MorningstarRecallSlow",40,,,,,,,,,,"TRUE",,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"slowed","end",,,
"GusOverchargedHealingProjectile",,10,,,,,,,20,"TRUE","TRUE",,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,0,0,0,,,,,,,"end",,,
"ChronomancerTimebendSpeedReduce",,2,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"finx_def_ulti_prj_buff_slow","remove",,,
"ChronomancerTimebendSpeedBoost",,100,,,,,,,,"TRUE",,"TRUE",,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"finx_def_ulti_prj_buff_fast","end",,,
"ChronomancerTimebendBoostSelf",,100,,,,,,,,"TRUE",,"TRUE",,,,,,,,,30,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"finx_def_ulti_prj_buff_fast","end",,,
"ChronomancerGadgetProjectileStasis",,40,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"finx_def_gadget2_twinkle","end",,,
"CleanseInfiniteNoVFX",,9999999,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AlternatorProjectileHeal",,2,,,,,,,,"TRUE",,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,"TRUE",,,,,,,,,,"heal_over_time_3","end",,,
"AlternatorHealAura",,2,,,,,,,,"TRUE",,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,"TRUE",,,,,,,,,,"heal_over_time_3","end",,,
"AlternatorSpeedAura",,40,,,,,,,,,,"TRUE",,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,"buff_speedUp","remove",,,
"AlternatorDamageAura",,2,,,,,,,,"TRUE",,,,,650,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,
"AlternatorSlowAura",,40,,,,,,,,,,"TRUE",,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,,,,,,,,,"slowed","remove",,,
"AlternatorProjectileSpeedTrail",,15,,,,,,,,,,"TRUE",,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_speedUp","remove",,,
"AlternatorProjectileSlowTrail",,15,,,,,,,,,,"TRUE",,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"slowed","remove",,,
"GeishaStormDebuff",,2,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HasStormVision",,,,,,"40;0;40","-150;-150;-150","sc/effects_brawler_kaze.sc","kaze_def_ulti_screen_glow_shadowed",,,,,,
"GeishaTransformedUltiDamageMark",,50,,,,,,,50,,"TRUE",,,,1500,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,,,,"TRUE",,"TRUE",,,,,,,,,,"kaze_def_ulti2_mark","remove",,,"kaze_def_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkSp",,50,,,,,,,50,,"TRUE",,,,1500,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,"GeishaTransformedMarkExplosionSP",,,"TRUE",,"TRUE",,,,,,,,,,"kaze_def_ulti2_mark","remove",,,"kaze_def_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkOvercharged",,50,,,,,,,50,,"TRUE",,,,1500,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,"GeishaTransformedMarkDamagedOvercharged",,,"TRUE","InstantTriggerIfKills","TRUE",,,,,,,,,,"kaze_def_oc_ulti2_mark","remove",,,"kaze_def_oc_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkSpOvercharged",,50,,,,,,,50,,"TRUE",,,,1500,,100,,,,,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE","TRUE",,,,,,,,"GeishaTransformedMarkExplosionSPOvercharged",,,"TRUE","InstantTriggerIfKills","TRUE",,,,,,,,,,"kaze_def_oc_ulti2_mark","remove",,,"kaze_def_oc_ulti2_mark_explosion"
"GeishaTransformSpeedBoost",,50,,,,,,,,,,"TRUE",,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"buff_speedUp","end",,,
