"Name","Disabled","IconSWF","IconExportName","IconExportNameFront","IconExportNameLevels","Banner","IconOnTop","Tier","Season","FrameType","UnlockedByFame","DelayMilliseconds","DescriptionTID"
"battle_card_frame_ranked_diamond_bg_2",,"sc/ui.sc","battle_card_frame_ranked_diamond_bg_2","battle_card_frame_ranked_diamond_front_2","battle_card_frame_ranked_diamond_levels_2","battle_card_frame_ranked_diamond_2025_ui",,4,2,"Ranked",,200,"TID_BATTLE_CARD_NAME_DIAMOND_2025"
"battle_card_frame_ranked_mythic_bg_2",,"sc/ui.sc","battle_card_frame_ranked_mythic_bg_2","battle_card_frame_ranked_mythic_front_2","battle_card_frame_ranked_mythic_levels_2","battle_card_frame_ranked_mythic_2025_ui",,5,2,"Ranked",,200,"TID_BATTLE_CARD_NAME_MYTHIC_2025"
"battle_card_frame_ranked_legendary_bg_2",,"sc/ui.sc","battle_card_frame_ranked_legendary_bg_2","battle_card_frame_ranked_legendary_front_2","battle_card_frame_ranked_legendary_levels_2","battle_card_frame_ranked_legendary_2025_ui",,6,2,"Ranked",,200,"TID_BATTLE_CARD_NAME_LEGENDARY_2025"
"battle_card_frame_ranked_masters_bg_2",,"sc/ui.sc","battle_card_frame_ranked_masters_bg_2","battle_card_frame_ranked_masters_front_2","battle_card_frame_ranked_masters_levels_2","battle_card_frame_ranked_masters_2025_ui",,7,2,"Ranked",,200,"TID_BATTLE_CARD_NAME_MASTERS_2025"
"battle_card_frame_ranked_pro_bg_2",,"sc/ui.sc","battle_card_frame_ranked_pro_bg_2","battle_card_frame_ranked_pro_front_2","battle_card_frame_ranked_pro_levels_2","battle_card_frame_ranked_pro_2025_ui",,8,2,"Ranked",,200,"TID_BATTLE_CARD_NAME_PRO_2025"
"records_frame_level_1",,"sc/ui_achievements.sc","battle_card_frame_records_tier1_bg",,,"battle_card_frame_records_tier1_ui","battle_card_frame_records_tier1_levels",1,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_1"
"records_frame_level_2",,"sc/ui_achievements.sc","battle_card_frame_records_tier2_bg",,,"battle_card_frame_records_tier2_ui","battle_card_frame_records_tier2_levels",2,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_2"
"records_frame_level_3",,"sc/ui_achievements.sc","battle_card_frame_records_tier3_bg",,,"battle_card_frame_records_tier3_ui","battle_card_frame_records_tier3_levels",3,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_3"
"records_frame_level_4",,"sc/ui_achievements.sc","battle_card_frame_records_tier4_bg",,,"battle_card_frame_records_tier4_ui","battle_card_frame_records_tier4_levels",4,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_4"
"records_frame_level_5",,"sc/ui_achievements.sc","battle_card_frame_records_tier5_bg",,,"battle_card_frame_records_tier5_ui","battle_card_frame_records_tier5_levels",5,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_5"
"records_frame_level_6",,"sc/ui_achievements.sc","battle_card_frame_records_tier6_bg",,,"battle_card_frame_records_tier6_ui","battle_card_frame_records_tier6_levels",6,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_6"
"records_frame_level_7",,"sc/ui_achievements.sc","battle_card_frame_records_tier7_bg",,,"battle_card_frame_records_tier7_ui","battle_card_frame_records_tier7_levels",7,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_7"
"records_frame_level_8",,"sc/ui_achievements.sc","battle_card_frame_records_tier8_bg",,,"battle_card_frame_records_tier8_ui","battle_card_frame_records_tier8_levels",8,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_8"
"records_frame_level_9",,"sc/ui_achievements.sc","battle_card_frame_records_tier9_bg",,,"battle_card_frame_records_tier9_ui","battle_card_frame_records_tier9_levels",9,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_9"
"records_frame_level_10",,"sc/ui_achievements.sc","battle_card_frame_records_tier10_bg",,,"battle_card_frame_records_tier10_ui","battle_card_frame_records_tier10_levels",10,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_10"
"records_frame_level_11",,"sc/ui_achievements.sc","battle_card_frame_records_tier11_bg",,,"battle_card_frame_records_tier11_ui","battle_card_frame_records_tier11_levels",11,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_11"
"records_frame_level_12",,"sc/ui_achievements.sc","battle_card_frame_records_tier12_bg",,,"battle_card_frame_records_tier12_ui","battle_card_frame_records_tier12_levels",12,,"Records",,200,"TID_RECORD_CARD_NAME_LEVEL_12"
