"Name","PoolTickets","Disabled","Sprays","DiscountPercentage","DropRate","TID"
,,,"spray_willow_wasteland",0,100,
,,,"spray_sushi_1",0,100,
,,,"spray_bp_starrforce",0,100,
,,,"spray_ghost_wagon2",0,100,
,,,"spray_challenge_duels",0,100,
,,,"spray_glowbert3",0,100,
,,,"spray_bp_kaiju",0,100,
,,,"spray_angelsdemons_4",0,100,
,,,"spray_event_moon_1",0,100,
,,,"spray_bp_feudaljapan",0,100,
,,,"spray_super1",0,100,
,,,"spray_ziggy_2",0,100,
,,,"spray_brawlentine_2024_2",0,100,
,,,"spray_brawlentines_heart1",0,100,
,,,"spray_sushi_3",0,100,
,,,"spray_floaty_flamingo",0,100,
,,,"spray_cartoon_starr",0,100,
,,,"spray_zombies_1",0,100,
,,,"spray_bp_darkonce",0,100,
,,,"spray_sirius3",0,100,
,,,"spray_bp_toons2",0,100,
,,,"spray_cartoon_cloud",0,100,
,,,"spray_allfine",0,100,
,,,"spray_carreta_1",0,100,
,,,"spray_bp_olympic",0,100,
,,,"spray_glowbert2",0,100,
,,,"spray_floaty_hotdog",0,100,
,,,"spray_floaty_donut",0,100,
,,,"spray_hub1",0,100,
,,,"spray_challenge_ball",0,100,
,,,"spray_bp_super",0,100,
,,,"spray_ghost_train",0,100,
,,,"spray_brawlentines_heart2",0,100,
,,,"spray_sad_clown",0,100,
,,,"spray_brawlentine_2024_1",0,100,
,,,"spray_feudaljapan_lily",0,100,
,,,"spray_willow_lny25",0,100,
,,,"spray_demon_wing",0,100,
,,,"spray_pierce_2",0,100,
,,,"spray_lou_enchanted",0,100,
,,,"spray_mushroom",0,100,
,,,"spray_feudaljapan_stinky",0,100,
,,,"spray_kaiju_win",0,100,
,,,"spray_salt",0,100,
,,,"spray_sushi_6",0,100,
,,,"spray_crymask",0,100,
,,,"spray_feudaljapan_eye",0,100,
,,,"spray_zombies_2",0,100,
,,,"spray_candyland2",0,100,
,,,"spray_icecreamcactus",0,100,
,,,"spray_cheese",0,100,
,,,"spray_demon_helmet",0,100,
,,,"spray_zerof",0,100,
,,,"spray_lola_circus",0,100,
,,,"spray_gigi_2",0,100,
,,,"spray_bp_steampunk",0,100,
,,,"spray_deepsea_2",0,100,
,,,"spray_sushi_4",0,100,
,,,"spray_bp_hackers",0,100,
,,,"spray_event_moon_2",0,100,
,,,"spray_banana",0,100,
,,,"spray_thumbsup",0,100,
,,,"spray_jungle",0,100,
,,,"spray_university_equal",0,100,
,,,"spray_bp_mecha",0,100,
,,,"spray_fire_love",0,100,
,,,"spray_skullwings",0,100,
,,,"spray_womenday",0,100,
,,,"spray_bp_angelsdemons",0,100,
,,,"spray_bp_greekmortis",0,100,
,,,"spray_hole",0,100,
,,,"spray_drop",0,100,
,,,"spray_ghost_wagon3",0,100,
,,,"spray_angel_wing",0,100,
,,,"spray_angeldemon_pet",0,100,
,,,"spray_deepsea_1",0,100,
,,,"spray_angelsdemons_1",0,100,
,,,"spray_gigi_3",0,100,
,,,"spray_comedian_mic",0,100,
,,,"spray_heist",0,100,
,,,"spray_gemgrab",0,100,
,,,"spray_steampunk_suit",0,100,
,,,"spray_mila_3",0,100,
,,,"spray_robotfactory_2",0,100,
,,,"spray_robotfactory_1",0,100,
,,,"spray_sushi_7",0,100,
,,,"spray_graffiti_2",0,100,
,,,"spray_ghost_tunnel",0,100,
,,,"spray_gw",0,100,
,,,"spray_moai",0,100,
,,,"spray_bounty",0,100,
,,,"spray_angeldemon_fanfare",0,100,
,,,"spray_bp_deepsea-extra1",0,100,
,,,"spray_university_minus",0,100,
,,,"spray_feudaljapan_wasabee",0,100,
,,,"spray_graffiti_1",0,100,
,,,"spray_darkgreek_sheep",0,100,
,,,"spray_brawlentine_handheart",0,100,
,,,"spray_najia_2",0,100,
,,,"spray_najia_3",0,100,
,,,"spray_brawlentine_potion",0,100,
,,,"spray_sandsoftime_machete",0,100,
,,,"spray_fairy_dust",0,100,
,,,"spray_bp_dragon",0,100,
,,,"spray_aprilfool_balloons",0,100,
,,,"spray_sandsoftime_jar",0,100,
,,,"spray_bp_sandsoftime26",0,100,
"TEST_spray_bp_steampunk",,,"spray_bp_steampunk",0,100,
