"Name","Accessory","Traits","Components","Value","NameTID","DescriptionTID","DifferenceTID","DescriptionReplacements","DifferenceReplacements","OverchargeExtendTicks"
"Enrager_Starpower_2",,"EnragerBuddySp2",,,,"TID_ENRAGER_BUDDY_STARPOWER_2_DESC","TID_ENRAGER_BUDDY_STARPOWER_2_DIFF",,,
"Enrager_Overcharge",,,,,,"TID_ENRAGER_BUDDY_OVERCHARGE_DESC","TID_ENRAGER_BUDDY_OVERCHARGE_DIFF",,,40
"Percenter_Overcharge",,,,,,"TID_PERCENTER_BUDDY_OVERCHARGE_DESC","TID_PERCENTER_BUDDY_OVERCHARGE_DIFF",,,40
"Percenter_Gadget_1","Percenter_CharmAttack_Buddy",,,,,"TID_PERCENTER_BUDDY_GADGET_1_DESC","TID_PERCENTER_BUDDY_GADGET_1_DIFF",,,
"Percenter_Gadget_2","Percenter_Lifesteal_Buddy","ColetteLifestealBuddyOverheal",,,,"TID_PERCENTER_BUDDY_GADGET_2_DESC","TID_PERCENTER_BUDDY_GADGET_2_DIFF",,,
"Percenter_Starpower_1",,"PercenterBuddySp1",,,,"TID_PERCENTER_BUDDY_STARPOWER_1_DESC","TID_PERCENTER_BUDDY_STARPOWER_1_DIFF",,,
"Percenter_Starpower_2",,"PercenterBuddySp2",,,,"TID_PERCENTER_BUDDY_STARPOWER_2_DESC","TID_PERCENTER_BUDDY_STARPOWER_2_DIFF",,,
"MechaDude_Gadget_1","MechaDude_Buddy_Heal",,,,,"TID_MECHADUDE_BUDDY_GADGET_1_DESC","TID_MECHADUDE_BUDDY_GADGET_1_DIFF",,,
"MechaDude_Gadget_2","MechaDude_Buddy_Toolbox",,,,,"TID_MECHADUDE_BUDDY_GADGET_2_DESC","TID_MECHADUDE_BUDDY_GADGET_2_DIFF",,,
"MechaDude_Starpower_1",,"MechaDudeSpSpeedWithShield",,,,"TID_MECHADUDE_BUDDY_STARPOWER_1_DESC","TID_MECHADUDE_BUDDY_STARPOWER_1_DIFF",,,
"MechaDude_Starpower_2",,,"StealAmmoOnUltiHitMechaDude",,,"TID_MECHADUDE_BUDDY_STARPOWER_2_DESC","TID_MECHADUDE_BUDDY_STARPOWER_2_DIFF",,,
"MechaDude_Overcharge",,,,,,"TID_MECHADUDE_BUDDY_OVERCHARGE_DESC","TID_MECHADUDE_BUDDY_OVERCHARGE_DIFF",,,40
"Arcade_Gadget_1","Arcade_Teleport_Buddy","ArcadeGadget1HealSelf",,,,"TID_ARCADE_BUDDY_GADGET_1_DESC","TID_ARCADE_BUDDY_GADGET_1_DIFF",,,
,,"ArcadeGadget1HealPet",,,,,,,,
"Arcade_Gadget_2","Arcade_Double_Buddy",,,,,"TID_ARCADE_BUDDY_GADGET_2_DESC","TID_ARCADE_BUDDY_GADGET_2_DIFF",,,
"Arcade_Starpower_1",,"ArcadeStarpower1PetComponent",,,,"TID_ARCADE_BUDDY_STARPOWER_1_DESC","TID_ARCADE_BUDDY_STARPOWER_1_DIFF",,,
"Arcade_Starpower_2",,"ArcadeStarpower2ForTeammates",,,,"TID_ARCADE_BUDDY_STARPOWER_2_DESC","TID_ARCADE_BUDDY_STARPOWER_2_DIFF",,,
"Arcade_Overcharge",,,,,,"TID_ARCADE_BUDDY_OVERCHARGE_DESC","TID_ARCADE_BUDDY_OVERCHARGE_DIFF",,,40
"TrickshotDude_Gadget_1","TrickshotDude_ShootAroundBuddy",,,,,"TID_TRICKSHOTDUDE_BUDDY_GADGET_1_DESC","TID_TRICKSHOTDUDE_BUDDY_GADGET_1_DIFF",,,
"TrickshotDude_Gadget_2","TrickshotDude_BounceHealBuddy",,,,,"TID_TRICKSHOTDUDE_BUDDY_GADGET_2_DESC","TID_TRICKSHOTDUDE_BUDDY_GADGET_2_DIFF",,,
"TrickshotDude_Starpower_1",,"TrickshotDudeAddUltiPercentOnBounceHit",,,,"TID_TRICKSHOTDUDE_BUDDY_STARPOWER_1_DESC","TID_TRICKSHOTDUDE_BUDDY_STARPOWER_1_DIFF",,,
"TrickshotDude_Starpower_2",,,,,,"TID_TRICKSHOTDUDE_BUDDY_STARPOWER_2_DESC","TID_TRICKSHOTDUDE_BUDDY_STARPOWER_2_DIFF",,,
"TrickshotDude_Overcharge",,,,,,"TID_TRICKSHOTDUDE_BUDDY_OVERCHARGE_DESC","TID_TRICKSHOTDUDE_BUDDY_OVERCHARGE_DIFF",,,40
"Speedy_Gadget_1","Speedy_Dash_Buddy",,,,,"TID_SPEEDY_BUDDY_GADGET_1_DESC","TID_SPEEDY_BUDDY_GADGET_1_DIFF",,,
"Speedy_Gadget_2","Speedy_Rewind","SpeedyBuddyRewindGiveAmmo",,,,"TID_SPEEDY_BUDDY_GADGET_2_DESC","TID_SPEEDY_BUDDY_GADGET_2_DIFF",,,
,,"SpeedyBuddyRewindHealAllies",,,,,,,,
"Speedy_Starpower_1",,"SpeedyBuddyAreaAdditionalStatus",,,,"TID_SPEEDY_BUDDY_STARPOWER_1_DESC","TID_SPEEDY_BUDDY_STARPOWER_1_DIFF",,,
"Speedy_Starpower_2",,,"SpeedyBuddyOnHitSpeedBoost",,,"TID_SPEEDY_BUDDY_STARPOWER_2_DESC","TID_SPEEDY_BUDDY_STARPOWER_2_DIFF",,,
"Speedy_Overcharge",,,,,,"TID_SPEEDY_BUDDY_OVERCHARGE_DESC","TID_SPEEDY_BUDDY_OVERCHARGE_DIFF",,,40
"PowerLeveler_Gadget_1","PowerLeveler_ExtraLevels_Buddy",,,,,"TID_POWER_LEVELER_BUDDY_GADGET_1_DESC","TID_POWER_LEVELER_BUDDY_GADGET_1_DIFF",,,
"PowerLeveler_Gadget_2","PowerLeveler_Shield_Buddy",,,,,"TID_POWER_LEVELER_BUDDY_GADGET_2_DESC","TID_POWER_LEVELER_BUDDY_GADGET_2_DIFF",,,
"PowerLeveler_Starpower_1",,"PowerLevelerBouncyProjectilesSpBuddy",,,,"TID_POWER_LEVELER_BUDDY_STARPOWER_1_DESC","TID_POWER_LEVELER_BUDDY_STARPOWER_1_DIFF",,,
"PowerLeveler_Starpower_2",,"PowerLevelerSpeedBurstOnUltiAt2","Brawler_PowerLeveler",,,"TID_POWER_LEVELER_BUDDY_STARPOWER_2_DESC","TID_POWER_LEVELER_BUDDY_STARPOWER_2_DIFF",,,
"PowerLeveler_Overcharge",,,,,,"TID_POWER_LEVELER_BUDDY_OVERCHARGE_DESC","TID_POWER_LEVELER_BUDDY_OVERCHARGE_DIFF",,,40
"RocketGirl_Gadget_1","RocketGirl_Jump_Buddy",,"RocketGirlGadgetSkillExplosionSpeedGain",,,"TID_ROCKETGIRL_BUDDY_GADGET_1_DESC","TID_ROCKETGIRL_BUDDY_GADGET_1_DIFF",,,
"RocketGirl_Gadget_2","RocketGirl_MegaRocket_Buddy",,,,,"TID_ROCKETGIRL_BUDDY_GADGET_2_DESC","TID_ROCKETGIRL_BUDDY_GADGET_2_DIFF",,,
"RocketGirl_Starpower_1",,"RocketGirlSP1SpeedBuff",,,,"TID_ROCKETGIRL_BUDDY_STARPOWER_1_DESC","TID_ROCKETGIRL_BUDDY_STARPOWER_1_DIFF",,,
"RocketGirl_Starpower_2",,"RocketGirlSP2ChargeUpTypeOverride","RocketGirlSP2",,,"TID_ROCKETGIRL_BUDDY_STARPOWER_2_DESC","TID_ROCKETGIRL_BUDDY_STARPOWER_2_DIFF",,,
,,"RocketGirlSP2ChargeUpMaxOverride",,,,,,,,
"RocketGirl_Overcharge",,,,,,"TID_ROCKETGIRL_BUDDY_OVERCHARGE_DESC","TID_ROCKETGIRL_BUDDY_OVERCHARGE_DIFF",,,40
,,,,,,,,,,
