"Name","ServerOnly","NeverRemove","Stackable","Type","Value","Projectile","AreaEffect","Character","Skill","StatusEffect","Item","Components","OverchargeActive","SpawnedObjectDamage","SpawnedObjectRange","BooleanAttributes"
"Melodie2","TRUE","","","AddChainBulletsMaxProjectile","2","","","","","","","","","","",""
"Poco1","TRUE","","","TriggerAreaEffectWhenReceivingDmg","1","","PocoMutantRegenArea","","","","","","","","",""
"Brock1","TRUE","","","OverrideSpawnAreaEffect2BasicAttack","","","MorningstarUltiArea3SP","","","","","","","","",""
"Brock2","TRUE","","","OverrideAreaEffect2DamagePercent","150","","","","","","","","","","",""
"Meg1","","","","OverrideBasicAttackCastingRange","32","","","","","","","","","","",""
"Meg1_Transform","","","","OverrideBasicAttackCastingRange","32","","","","","","","","","","",""
"Meg2_Transform","TRUE","","","OverrideSpreadBasicAttack","50","","","","","","","","","","",""
"Colt1","TRUE","","","OverridePierceEnvironment","1","","","","","","","","","","",""
"Colt2","","","","OverrideBasicAttackCastingRange","35","","","","","","","","","","",""
"Sprout1","TRUE","","","OverrideMaxDistanceAddBounces","4","","","","","","","","","","",""
"Sprout2","","","","OverrideDistanceAddFromBounce","1500","","","","","","","","","","",""
"Sprout3","TRUE","","","ChainProjectileTriggersSpawnAreaEffect","","","","","","","","","","","",""
"Sprout4","TRUE","","","ProjectileBounceTriggersSpawnAreaEffect","","","","","","","","","","","",""
"Ruffs1","TRUE","","","OverrideMaxDistanceAddBounces","6","","","","","","","","","","",""
"Ruffs2","","","","OverrideDistanceAddFromBounce","2300","","","","","","","","","","",""
"Ruffs3","TRUE","","","OverrideNumBulletsInBasicAttack","3","","","","","","","","","","",""
"Gray1","TRUE","","","SpawnAreaEffectWhenGoingThrowPortal","","","GrayMutationArea","","","","","","","","",""
"Gray2","","","","OverrideUltiCharge","130","","","","","","","","","","",""
"Squeak1","","","","OverrideUltiCharge","110","","","","","","","","","","",""
"Mandy1","TRUE","","","OverrideNumBulletsInUlti","3","","","","","","","","","","",""
"Mandy2","","","","OverrideSpreadUlti","200","","","","","","","","","","",""
"Hank1","TRUE","","","TriggerAreaEffectWhenReceivingDmg","0.1","","FishTankUltiArea","","","","","","","","",""
"Rosa1","TRUE","","","TriggerAreaEffectOnBasicAttack","","","MutantBushGrowArea","","","","","","","","",""
"Rosa2","TRUE","","","ApplyStatusEffectToEnemiesAllTime","","","","","","MutantRosaForceShow","","","","","",""
"Rico1","TRUE","","","OverrideMaxDistanceAddBounces","5","","","","","","","","","","",""
"Rico2","","","","OverrideDistanceAddFromBounce","2000","","","","","","","","","","",""
"Eve1","TRUE","","","SpawnCharacterOnGetHurt","1","","","FleaPet","","","","","","","",""
"Belle1","","","","AddChainTravelDistancePercent","50","","","","","","","","","","",""
"Belle2","","","","OverrideNumsChainsForward","3","","","","","","","","","","",""
"Belle3","","","","OverrideChainProjectile","","ElectroSniperMutantProjectile","","","","","","","","","",""
"Belle4","","","","OverrideChainProjectileTravelType","13","","","","","","","","","","",""
"Ash1","TRUE","","","OverrideMaxSpawns","20","","","","","","","","","","",""
"Ash2","TRUE","","","OverrideNumSpawns","2","","","","","","","","","","",""
"ASh3","","","","OverrideUltiCharge","150","","","","","","","","","","",""
"Piper1","TRUE","","","OverrideMsBetweenBasicAttacks","200","","","","","","","","","","",""
"Piper2","TRUE","","","OverrideActiveTimeBasicAttack","400","","","","","","","","","","",""
"Janet1","TRUE","","","OverrideMsBetweenAttackUlti","460","","","","","","","","","","",""
"Janet2","","","","OverrideUltiCharge","85","","","","","","","","","","",""
"Buzz1","","","","OverrideUltiCastingRange","60","","","","","","","","","","",""
"Buzz2","TRUE","","","IncreaseMaxHp","20","","","","","","","","","","",""
"Buzz3","","","","OverrideUltiCharge","120","","","","","","","","","","",""
"Grom1","","","","OverrideUltiCharge","80","","","","","","","","","","",""
"Grom2","TRUE","","","OverrideNumBulletsInUltiExplosionUlti","8","","","","","","","","","","",""
"Bonnie1","TRUE","","","OverrideNumBulletsInBasicAttack","3","","","","","","","","","","",""
"Bonnie2","TRUE","","","OverrideSpreadBasicAttack","150","","","","","","","","","","",""
"Bonnie3","TRUE","","","TriggerStunWithCharge","10","","","","","","","","","","",""
"Carl2","","","","IncreaseSpeedPercentWhileSkillActive","100","","","","WhirlwindUlti","","","","","","",""
"Emz1","TRUE","","","OverridePushBack","50","","","","","","","","","","",""
"Stu1","TRUE","","","TriggerAreaEffectWhenUlti","","","RollerMutationArea","","","","","","","","",""
"8bit1","TRUE","","","OverrideMaxSpawns","6","","","","","","","","","","",""
"8bit2","","","","OverrideUltiCharge","170","","","","","","","","","","",""
"8bit3","TRUE","","","AddExtraHealthToSummonedMinions","2000","","","","","","","","","","",""
"Gene1","","","","OverrideUltiCharge","120","","","","","","","","","","",""
"Gene2","TRUE","","","AddUltiSteerStrength","20","","","","","","","","","","",""
"Gene3","TRUE","","","OverrideUltiSteerIgnoreTicks","5","","","","","","","","","","",""
"Gene4","TRUE","","","OverrideUltiHomeDistance","20","","","","","","","","","","",""
"Gene5","TRUE","","","OverrideUltiSteerLifeTime","15","","","","","","","","","","",""
"Gene6","TRUE","","","OverrideUltiTravelType","4","","","","","","","","","","",""
"Berry1","TRUE","","","SpawnAreaEffectWhileMoving","20","","PainterAreaEffectMutant","","","","","","","","",""
"Charlie1","TRUE","","","SpawnCharacterWhileMoving","40","","","CocoonerPet","","","","","","","",""
"Bull1","TRUE","","","AddChargeUltiAutomaticallyPerSecond","500","","","","","","","","","","",""
"Jessie1","TRUE","","","OverridePetAttackPattern","20","","","","","","","","","","",""
"Jessie2","TRUE","","","AddExtraHealthToSummonedMinions","2000","","","","","","","","","","",""
"Jessie3","","","","AddExtraScaleToPets","100","","","","","","","","","","",""
"Finx1","TRUE","","","AddAreaEffectThatFollows","","","ChronomancerUltiTimebend","","","","","","","","",""
"Kenji1","TRUE","","","OverrideBasicAttackRechargeTime","100","","","","","","","","","","",""
"Juju1","TRUE","","","AddExtraHealthToSummonedMinions","5000","","","","","","","","","","",""
"Juju2","","","","AddExtraScaleToPets","140","","","","","","","","","","",""
"Lily1","TRUE","","","OverrideMaxDistanceAddBouncesUlti","8","","","","","","","","","","",""
"Lily2","TRUE","","","OverrideDistanceAddFromBounceUlti","5000","","","","","","","","","","",""
"Lily3","","","","OverrideIsBouncing","1","","","","","","","","","","",""
"Lily4","","","","OverrideUltiCastingRange","50","","","","","","","","","","",""
"Barley1","TRUE","","","OverrideChainAreaEffectBasicAttack","","","BarleyMutationAreaEffect","","","","","","","","",""
"Leon1","TRUE","","","SpawnCharacterOnUlti","2","","","NinjaMutation","","","","","","","",""
"Leon2","TRUE","","","OverrideMaxSpawns","6","","","","","","","","","","",""
"Leon3","TRUE","","","OverrideSpawnCharacterRandomDist","600","","","","","","","","","","",""
"Leon4","","","","OverrideUltiCharge","125","","","","","","","","","","",""
"Leon5","TRUE","","","OverrideUltiSkillTargetSelf","","","","","","","","","","","",""
"Tara1","TRUE","","","SpawnCharacterOnUlti","3","","","BlackHolePet","","","","","","","",""
"Tara2","TRUE","","","OverrideMaxSpawns","10","","","","","","","","","","",""
"Tara3","TRUE","","","OverrideSpawnCharacterRandomDist","600","","","","","","","","","","",""
"Tara4","","","","OverrideUltiCharge","100","","","","","","","","","","",""
"Gus1","","","","OverrideChargeUpMax","1","","","","","","","","","","",""
"Gus2","","","","OverrideChargeUp","1","","","","","","","","","","",""
"Gus3","TRUE","","","IgnoreChargeReset","1","","","","","","","","","","",""
"Olli1","","","","OverrideAreaEffectStatusEffectEnemy","","","SkaterUltiTaunt","","","SkaterMutantTaunt","","","","","",""
"Olli2","TRUE","","","IncreaseMaxHp","20","","","","","","","","","","",""
"MrP1","","","","OverrideSpawnAreaEffect1BasicAttack","","","MrpMutationArea","","","","","","","","",""
"Draco1","","","","OverrideMountUpDurationTicks","-1","","","","","","","","","","",""
"Amber1","TRUE","","","OverrideSpreadBasicAttack","20","","","","","","","","","","",""
"Amber2","TRUE","","","OverrideNumBulletsInBasicAttack","2","","","","","","","","","","",""
"Amber3","TRUE","","","SpawnAreaEffectWhileMoving","10","","PetrolDistributionTrail","","","","","","","","",""
"Byron1","TRUE","","","OverrideSpreadBasicAttack","60","","","","","","","","","","",""
"Byron2","TRUE","","","OverrideNumBulletsInBasicAttack","3","","","","","","","","","","",""
"Edgar1","","","","OverrideChargeSpeed","4000","","","","","","","","","","",""
"Edgar2","","","","OverrideUltiCastingRange","50","","","","","","","","","","",""
"Fang1","","","","OverrideChainChargeRange","60","","","","","","","","","","",""
"Fang2","","","","OverrideUltiCharge","110","","","","","","","","","","",""
"Fang3","TRUE","","","IncreaseMaxHp","15","","","","","","","","","","",""
"Meeple1","TRUE","","","AddBasicAttackSteerStrength","10","","","","","","","","","","",""
"Meeple2","TRUE","","","OverrideBasicAttackSteerIgnoreTicks","8","","","","","","","","","","",""
"Meeple3","TRUE","","","OverrideBasicAttackHomeDistance","40","","","","","","","","","","",""
"Meeple4","TRUE","","","OverrideBasicAttackSteerLifeTime","15","","","","","","","","","","",""
"Meeple5","TRUE","","","OverrideNumBulletsInBasicAttack","3","","","","","","","","","","",""
"Meeple6","TRUE","","","OverrideSpreadBasicAttack","250","","","","","","","","","","",""
"Meeple7","","","","OverrideBasicAttackCastingRange","25","","","","","","","","","","",""
"Colette1","TRUE","","","SpawnAreaEffectWhileCharging","5","","PercenterAreaEffectMutant","","","","","","","","",""
"Colette2","TRUE","","","BulletExplosionAlignBrawlerFacing","","","","","","","","","","","",""
"Shade1","TRUE","","","ApplyStatusEffectWhenDeadCenter","","","","","","MutantGhostIncorporeal","","","","","",""
"Shade2","","","","OverrideUltiCharge","120","","","","","","","","","","",""
"Surge1","TRUE","","","OverrideLvlUpValue","3","","","","","","","","","","",""
"Surge2","TRUE","","","OverrideBasicAttackRechargeTime","500","","","","","","","","","","",""
"Jae1","TRUE","","","SpawnAreaEffectWhileMoving","8","","AlternatorProjectileSpeedTrail","","","","","","","","",""
"Jae2","","","","OverrideUltiCharge","300","","","","","","","","","","",""
"Mortis1","TRUE","","","ShootProjectileIfChargeUpReadyOnBasicAttack","1500","UndertakerUltiProjectile","","","","","","","","","",""
"Moe1","TRUE","","","OverrideTransformTicks","500","","","","","","","","","","",""
"Moe1_Transform","TRUE","","","OverrideTransformTicks","500","","","","","","","","","","",""
"Moe2","","","","OverrideChargeSpeed","4500","","","","","","","","","","",""
"Maisie1","TRUE","","","AddBasicAttackSteerStrength","10","","","","","","","","","","",""
"Maisie2","TRUE","","","OverrideBasicAttackSteerIgnoreTicks","8","","","","","","","","","","",""
"Maisie3","TRUE","","","OverrideBasicAttackHomeDistance","40","","","","","","","","","","",""
"Maisie4","TRUE","","","OverrideBasicAttackSteerLifeTime","15","","","","","","","","","","",""
"Maisie5","TRUE","","","OverrideBasicAttackTravelType","4","","","","","","","","","","",""
"Maisie6","TRUE","","","OverrideMsBetweenBasicAttacks","300","","","","","","","","","","",""
"Maisie7","TRUE","","","OverrideActiveTimeBasicAttack","600","","","","","","","","","","",""
"Pearl1","","","","OverrideChargeUp","12000","","","","","","","","","","",""
"Pearl2","TRUE","","","IgnoreChargeReset","1","","","","","","","","","","",""
"Pearl3","TRUE","","","PreventLosingCharge","1","","","","","","","","","","",""
"Penny4","TRUE","","","OverrideSpawnCharacterRandomDist","350","","","","","","","","","","",""
"Tick3","TRUE","","","OverrideSpawnCharacterRandomDist","480","","","","","","","","","","",""
"Angels1_1","TRUE","","","AddChargeUltiAutomaticallyPerSecond","200","","","","","","","","","","",""
"Angels1_2","TRUE","","","AddReloadSpeedBuffToPets","20","","","","","","","","","","",""
"Angels2_1","TRUE","","","ChargeUltiByHealing","30","","","","","","","","","","",""
"Angels2_2","TRUE","","","AddStatusEffectToProjectileForAllies","","AngelicProjectile","","","","AngelicHot","","","","","",""
"Angels3_1","TRUE","","","ShootProjectileOnBasicAttack","","AngelicProjectile","","","","ShootProjectileOnBasicAttackCooldown","","","","","",""
"Angels4_1","TRUE","","","ApplyStatusEffectWhenUsingUlti","","","","","","SpeedWhenUsingUltiAngels","","","","","",""
"Angels4_2","TRUE","","","SpawnCharacterOnAreaEffect","","","AngelicAreaEffect","AngelicPet","","","","","","","",""
"Angels5_1","TRUE","","","AddConsumableShieldWhenDealingDamage","10;100;5000","","","","","","","","","","",""
"Angels5_2","TRUE","","","AddExtraHealthToSummonedMinions","2000","","","","","","","","","","",""
"Angels6_1","TRUE","","","SpawnAreaEffectWhileMoving","100","","AngelicAreaEffect","","","","","","","","",""
"Angels7_1","TRUE","","","TriggerAreaEffectWhenUlti","","","AngelicAreaEffect","","","SpeedWhenUsingUltiAngels","","","","","",""
"Angels8_1","TRUE","","","AddReloadSpeedPercent","60","","","","","","","","","","",""
"Angels8_2","TRUE","","","AddChainAreaEffectToAreaEffect","","","AngelicBulletAreaEffect;AngelicAreaEffect","","","","","","","","",""
"Demons1_1","TRUE","","","SetInvisibleOnKill","4","","","","","","","","","","",""
"Demons1_2","TRUE","","","AddChainProjectileToProjectile","","DemonicProjectileBoomerang;DemonicProjectile","","","","","","","","","",""
"Demons1_3","TRUE","","","AddBoomerangToProjectile","1","DemonicProjectile","","","","","","","","","",""
"Demons2_1","TRUE","","","ApplyStatusEffectToAlliesAllTime","","","","","","InvokDemonicPetAfterDying","","","","","",""
"Demons2_2","TRUE","","","AddChainAreaEffectToProjectile","","DemonicProjectile","DemonicAreaEffect","","","","","","","","",""
"Demons3_1","TRUE","","","AddChargeUltiWhenReceivingDmg","20","","","","","","","","","","",""
"Demons3_2","TRUE","","","AddDeathAreaEffectToPets","","","DemonicAreaEffect","","","","","","","","",""
"Demons4_1","TRUE","","","ShootProjectileOnBasicAttack","","DemonicProjectile","","","","ShootProjectileOnBasicAttackCooldown","","","","","",""
"Demons5_1","TRUE","","","TriggerAreaEffectWhenUlti","","","DemonicBulletAreaEffect","","","","","","","","",""
"Demons6_1","","","","BoostUltiCharge","20","","","","","","","","","","",""
"Demons6_2","TRUE","","","AddExtraHealthToSummonedMinions","2000","","","","","","","","","","",""
"Demons7_1","TRUE","","","SpawnAreaEffectOnKillX","","","DemonicAreaEffect","","","InvokDemonicPetAfterDying","","","","","",""
"Demons8_1","TRUE","","","SpawnCharacterOnKill","1","","","DemonicPet","","","","","","","",""
"Demons8_2","TRUE","","","AddChainAreaEffectToAreaEffect","","","DemonicAreaEffectFire;DemonicAreaEffect","","","","","","","","",""
"DuplicatorPet1","TRUE","TRUE","","PetTooClose","3","","","","","DuplicatorPetTooCloseCripple","","","","","",""
"ColtSpeedSp","","TRUE","TRUE","AddStatusEffectOnStart","","","","","","GunslingerStarPowerMovementSpeed","","","","","",""
"R_MaxHp_S","TRUE","","TRUE","IncreaseMaxHp","20","","","","","","","","","","",""
"R_MaxHp_E","TRUE","","TRUE","IncreaseMaxHp","30","","","","","","","","","","",""
"R_MaxHp_L","TRUE","","TRUE","IncreaseMaxHp","50","","","","","","","","","","",""
"R_MaxHp_Absolute_S","TRUE","","TRUE","IncreaseMaxHpAbsolute","1000","","","","","","","","","","",""
"R_MaxHp_Absolute_E","TRUE","","TRUE","IncreaseMaxHpAbsolute","1500","","","","","","","","","","",""
"R_MaxHp_Absolute_L","TRUE","","TRUE","IncreaseMaxHpAbsolute","2500","","","","","","","","","","",""
"R_MaxHp_Absolute_ULTRA","TRUE","","TRUE","IncreaseMaxHpAbsolute","10000","","","","","","","","","","",""
"R_MaxHp_Absolute_Mini_S","TRUE","","TRUE","IncreaseMaxHpAbsolute","500","","","","","","","","","","",""
"R_MaxHp_Absolute_Mini_E","TRUE","","TRUE","IncreaseMaxHpAbsolute","1000","","","","","","","","","","",""
"R_MaxHp_Absolute_Mini_L","TRUE","","TRUE","IncreaseMaxHpAbsolute","2000","","","","","","","","","","",""
"R_Reload_S","TRUE","","TRUE","AddReloadSpeedPercent","20","","","","","","","","","","",""
"R_Reload_E","TRUE","","TRUE","AddReloadSpeedPercent","30","","","","","","","","","","",""
"R_Reload_L","TRUE","","TRUE","AddReloadSpeedPercent","50","","","","","","","","","","",""
"R_Reload_Mini_S","TRUE","","TRUE","AddReloadSpeedPercent","10","","","","","","","","","","",""
"R_Reload_Mini_E","TRUE","","TRUE","AddReloadSpeedPercent","20","","","","","","","","","","",""
"R_Reload_Mini_L","TRUE","","TRUE","AddReloadSpeedPercent","40","","","","","","","","","","",""
"R_MoveSpeed_S","","","TRUE","IncreaseSpeedPercent","10","","","","","","","","","","",""
"R_MoveSpeed_E","","","TRUE","IncreaseSpeedPercent","20","","","","","","","","","","",""
"R_MoveSpeed_L","","","TRUE","IncreaseSpeedPercent","30","","","","","","","","","","",""
"R_MoveSpeed_Max_L","","","TRUE","IncreaseSpeedPercent","50","","","","","","","","","","",""
"R_MoveSpeed_WithPet_S","","","TRUE","IncreasePetSpeedPercent","10","","","","","","","","","","",""
"R_MoveSpeed_WithPet_E","","","TRUE","IncreasePetSpeedPercent","20","","","","","","","","","","",""
"R_MoveSpeed_WithPet_L","","","TRUE","IncreasePetSpeedPercent","30","","","","","","","","","","",""
"R_MoveSpeed_Mini_S","","","TRUE","IncreaseSpeedPercent","15","","","","","","","","","","",""
"R_MoveSpeed_Mini_E","","","TRUE","IncreaseSpeedPercent","20","","","","","","","","","","",""
"R_MoveSpeed_Mini_L","","","TRUE","IncreaseSpeedPercent","25","","","","","","","","","","",""
"R_Damage_S","TRUE","","TRUE","AddDamagePercent","15","","","","","","","","","","",""
"R_Damage_E","TRUE","","TRUE","AddDamagePercent","25","","","","","","","","","","",""
"R_Damage_L","TRUE","","TRUE","AddDamagePercent","35","","","","","","","","","","",""
"R_Damage_ULTRA","TRUE","","TRUE","AddDamagePercent","100","","","","","","","","","","",""
"R_Damage_Mini_S","TRUE","","TRUE","AddDamagePercent","10","","","","","","","","","","",""
"R_Damage_Mini_E","TRUE","","TRUE","AddDamagePercent","20","","","","","","","","","","",""
"R_Damage_Mini_L","TRUE","","TRUE","AddDamagePercent","30","","","","","","","","","","",""
"R_SuperRate_S","","","TRUE","AddUltiOnlyChargePercent","30","","","","","","","","","","",""
"R_SuperRate_E","","","TRUE","AddUltiOnlyChargePercent","60","","","","","","","","","","",""
"R_SuperRate_L","","","TRUE","AddUltiOnlyChargePercent","100","","","","","","","","","","",""
"R_HCRate_S","","","TRUE","AddHCOnlyChargePercent","30","","","","","","","","","","",""
"R_HCRate_E","","","TRUE","AddHCOnlyChargePercent","60","","","","","","","","","","",""
"R_HCRate_L","","","TRUE","AddHCOnlyChargePercent","100","","","","","","","","","","",""
"R_SuperRate_Mini_S","","","TRUE","AddUltiOnlyChargePercent","25","","","","","","","","","","",""
"R_SuperRate_Mini_E","","","TRUE","AddUltiOnlyChargePercent","50","","","","","","","","","","",""
"R_SuperRate_Mini_L","","","TRUE","AddUltiOnlyChargePercent","75","","","","","","","","","","",""
"R_HCRate_Mini_S","","","TRUE","AddHCOnlyChargePercent","25","","","","","","","","","","",""
"R_HCRate_Mini_E","","","TRUE","AddHCOnlyChargePercent","50","","","","","","","","","","",""
"R_HCRate_Mini_L","","","TRUE","AddHCOnlyChargePercent","75","","","","","","","","","","",""
"R_AttackRange_E","","","TRUE","AddCastingRange","1","","","","","","","","","","",""
"R_AttackRange_L","","","TRUE","AddCastingRange","2","","","","","","","","","","",""
"R_AttackRange_ULTRA","","","TRUE","AddCastingRange","2","","","","","","","","","","",""
"R_AttackRange_Max_L","","","TRUE","AddCastingRange","3","","","","","","","","","","",""
"R_AttackRange_Mini_L","","","TRUE","AddCastingRange","1","","","","","","","","","","",""
"R_AttackRange_Cone_E_1","","","TRUE","AddCastingRange","1","","","","","","","","","","",""
"R_AttackRange_Cone_E_2","","","TRUE","AddSpreadBasicAttackPercent","-15","","","","","","","","","","",""
"R_AttackRange_Cone_E_3","TRUE","","TRUE","AddSpreadUltiAttackPercent","-15","","","","","","","","","","",""
"R_AttackRange_Cone_L_1","","","TRUE","AddCastingRange","2","","","","","","","","","","",""
"R_AttackRange_Cone_L_2","","","TRUE","AddSpreadBasicAttackPercent","-35","","","","","","","","","","",""
"R_AttackRange_Cone_L_3","TRUE","","TRUE","AddSpreadUltiAttackPercent","-35","","","","","","","","","","",""
"R_AttackRange_Cone_Mini_L_1","","","TRUE","AddCastingRange","1","","","","","","","","","","",""
"R_AttackRange_Cone_Mini_L_2","","","TRUE","AddSpreadBasicAttackPercent","-40","","","","","","","","","","",""
"R_AttackRange_Cone_Mini_L_3","TRUE","","TRUE","AddSpreadUltiAttackPercent","-40","","","","","","","","","","",""
"R_ProjectileSpeed_S","TRUE","","TRUE","AddProjectileSpeedPercent","15","","","","","","","","","","",""
"R_ProjectileSpeed_E","TRUE","","TRUE","AddProjectileSpeedPercent","25","","","","","","","","","","",""
"R_ProjectileSpeed_L","TRUE","","TRUE","AddProjectileSpeedPercent","35","","","","","","","","","","",""
"R_ProjectileSpeed_Max_S","TRUE","","TRUE","AddProjectileSpeedPercent","20","","","","","","","","","","",""
"R_ProjectileSpeed_Max_E","TRUE","","TRUE","AddProjectileSpeedPercent","35","","","","","","","","","","",""
"R_ProjectileSpeed_Max_L","TRUE","","TRUE","AddProjectileSpeedPercent","50","","","","","","","","","","",""
"R_GadgetCooldown_S","","","TRUE","DecreaseGadgetCooldownPercent","10","","","","","","","","","","",""
"R_GadgetCooldown_E","","","TRUE","DecreaseGadgetCooldownPercent","30","","","","","","","","","","",""
"R_GadgetCooldown_L","","","TRUE","DecreaseGadgetCooldownPercent","60","","","","","","","","","","",""
"R_GadgetCooldown_Mini_S","","","TRUE","DecreaseGadgetCooldownPercent","15","","","","","","","","","","",""
"R_GadgetCooldown_Mini_E","","","TRUE","DecreaseGadgetCooldownPercent","25","","","","","","","","","","",""
"R_GadgetCooldown_Mini_L","","","TRUE","DecreaseGadgetCooldownPercent","50","","","","","","","","","","",""
"R_BulletSize_S","","","TRUE","AddBulletSizePercent","20","","","","","","","","","","",""
"R_BulletSize_E","","","TRUE","AddBulletSizePercent","35","","","","","","","","","","",""
"R_BulletSize_L","","","TRUE","AddBulletSizePercent","50","","","","","","","","","","",""
"R_BulletSize_ULTRA","","","TRUE","AddBulletSizePercent","150","","","","","","","","","","",""
"R_BulletSize_Mini_S","","","TRUE","AddBulletSizePercent","15","","","","","","","","","","",""
"R_BulletSize_Mini_E","","","TRUE","AddBulletSizePercent","25","","","","","","","","","","",""
"R_BulletSize_Mini_L","","","TRUE","AddBulletSizePercent","40","","","","","","","","","","",""
"R_BulletSizeArea_Mini_WithItem_S","","","TRUE","AddAreaEffectPercent","5","","","","","","","","","","",""
"R_BulletSizeArea_Mini_WithItem_E","","","TRUE","AddAreaEffectPercent","10","","","","","","","","","","",""
"R_BulletSizeArea_Mini_WithItem_L","","","TRUE","AddAreaEffectPercent","15","","","","","","","","","","",""
"R_AreaEffectSize_S","","","TRUE","AddAreaEffectPercent","20","","","","","","","","","","",""
"R_AreaEffectSize_E","","","TRUE","AddAreaEffectPercent","30","","","","","","","","","","",""
"R_AreaEffectSize_L","","","TRUE","AddAreaEffectPercent","50","","","","","","","","","","",""
"R_AreaEffectSize_ULTRA","","","TRUE","AddAreaEffectPercent","100","","","","","","","","","","",""
"R_AreaEffectSize_Mini_S","","","TRUE","AddAreaEffectPercent","10","","","","","","","","","","",""
"R_AreaEffectSize_Mini_E","","","TRUE","AddAreaEffectPercent","20","","","","","","","","","","",""
"R_AreaEffectSize_Mini_L","","","TRUE","AddAreaEffectPercent","35","","","","","","","","","","",""
"R_AreaEffectSize_Melee_S","","","TRUE","AddAreaEffectPercent","15","","","","","","","","","","",""
"R_AreaEffectSize_Melee_E","","","TRUE","AddAreaEffectPercent","20","","","","","","","","","","",""
"R_AreaEffectSize_Melee_L","","","TRUE","AddAreaEffectPercent","25","","","","","","","","","","",""
"R_AreaEffect_BulletSize_S_1","","","TRUE","AddBulletSizePercent","15","","","","","","","","","","",""
"R_AreaEffect_BulletSize_S_2","","","TRUE","AddAreaEffectPercent","10","","","","","","","","","","",""
"R_AreaEffect_BulletSize_E_1","","","TRUE","AddBulletSizePercent","25","","","","","","","","","","",""
"R_AreaEffect_BulletSize_E_2","","","TRUE","AddAreaEffectPercent","20","","","","","","","","","","",""
"R_AreaEffect_BulletSize_L_1","","","TRUE","AddBulletSizePercent","35","","","","","","","","","","",""
"R_AreaEffect_BulletSize_L_2","","","TRUE","AddAreaEffectPercent","30","","","","","","","","","","",""
"R_BulletSizeThrower_S","","","TRUE","AddBulletSizePercent","15","","","","","","","","","","",""
