"Name","AlbumType","Skins","AcquireLocation","CompletionRewardSprays","CompletionRewardEmotes","CompletionRewardThumbnails","Collabs","TID","AvailabilityDesc","ExcludeFromCompletionCheck","ExcludeFromView","JustDecoration","AnimStart","AnimNext","OwnedAnimStart","OwnedAnimNext","CompletionRequirementGroup","SyncAnimations","SceneExportName","UseCombinedRenderingArea","RenderingAreaName","ShowPet","OverlayEffect","BGEffect","CameraFile","NewsLinkId"
,,"MechaDudeAngel","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"HookDudeAngel","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"ArcadeAngel","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"AmbusherAngel","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
"DemonsCollabSkinAlbum","Collab","UndertakerDemon","EventGacha","spray_demon_door",,,,,"TID_AVAILABILITY_ANGELSDEMONSv2_TIME_LIMITED_ALBUM",,,,,,,,,,,,,,,,,
,,"PuppeteerDemon","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"BullDudeDemon","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SilencerDemon","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SoulCollectorDemon","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"MummyDemon","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"KickerDudeDemon","EventMenu",,,,,,,,,,,,,,,,,,,,,,,
"SubwayCollabSkinAlbum","Collab","MummySurfer","BrawlPass","spray_graffiti_5",,,"Surfers",,"TID_AVAILABILITY_SUBWAY_TIME_LIMITED_ALBUM",,,,,,,,,,,,,,,,,
,,"FishTankSurfer","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SkaterSurfer","EventMenu",,,,,,,,,,,,,,,,,,,,,,,
,,"JetpackGirlSurfer","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SnakeOilSurfer","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"NinjaGraffitiSpecial","ClubChallenge",,,,,,,,,,,,,,,,,,,,,,,
,,"RollerGraffitiSpecial","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"StalkerGraffitiSpecial","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"DancerGraffitiSpecial","EventGacha",,,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,
,,"PocoSurferOvercharge","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
"Brawloween2025CollabSkinAlbum","Collab","CrowBrawloween","BrawlPass","spray_brawloween_candy",,,"Brawloween2025",,"TID_AVAILABILITY_BRAWLOWEEN2025_TIME_LIMITED_ALBUM",,,,,,,,,,,,,,,,,
,,"TrickshotBrawloween","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"BeeSniperBrawloween","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SplitterBrawloween","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"RuffsBrawloween","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"ClusterBombBrawloween","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SamuraiJapanOverchargeChroma1","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
"StrangerCollabSkinAlbum","Collab","MorningstarStrange","BrawlPass","spray_st_brawl",,,"Stranger",,"TID_AVAILABILITY_STRANGER_TIME_LIMITED_ALBUM",,,,,,,,,,,,,,,,,
,,"DragonRiderStrange","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"SoulCollectorStrange","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"PainterStrange","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"BullGuyStrange","EventGacha",,,,,,,,,,,,,,,,,,,,,,,
,,"ShamanStrangeOvercharge","EventMenu",,,,,,,,,,,,,,,,,,,,,,,
"AnimeSkinAlbum","Collab","VoodooStarrGirls","EventGacha","spray_anime_starrnova",,,"Anime",,"TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM",,,,,,"CUSTOM_1","CUSTOM_1",,"TRUE",,,,,,,,
,,"FireDudeStarrGirls","EventGacha",,,,,,,,,,,,"CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"BeeSniperStarrGirls","EventGacha",,,,,,,,,,,,"CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"CactusStarrGirls","BrawlPass",,,,,,,,,,,,"CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"ChronomancerStarrGirls","EventMenu",,,,,,,,,,,,"CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"PercenterStarrGirls","BrawlPass",,,,,,,,,,,,"CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"FireDudeStarrGirlsChroma1","EventGacha",,,,,,,,,,,,"CUSTOM_1","CUSTOM_1",,,,,,,,,,
"NanoNoodlesSkinAlbumScene1","Collab","BlackholeCybernoodles","EventGacha",,,,"NanoNoodles","TID_NANO_WIND_SKIN_SCENE_1","TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM",,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,"TRUE","scene_1","TRUE",,,"album_001",,"katanakingdom_scene_1_camera.glb","nano_noodles_chapter_1"
,,"ClusterBombKatanakingdom","EventGacha",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"PainterKatanakingdom","EventMenu",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
"NanoNoodlesSkinAlbumScene2","Collab","BanditGirlCybernoodles","EventGacha",,,,"NanoNoodles","TID_NANO_WIND_SKIN_SCENE_2","TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM",,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,"TRUE","scene_2","TRUE",,,"album_002",,"katanakingdom_scene_2_camera.glb","nano_noodles_chapter_2"
,,"AlternatorCybernoodles","BrawlPass",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"LeaperKatanakingdom","BrawlPass",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
"NanoNoodlesSkinAlbumCollection","Collab","ClusterBombKatanakingdom","EventGacha","spray_nano_1",,,"NanoNoodles","TID_NANO_WIND_SKIN_COLLECTION_1","TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM",,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,"scene_collection_1",,,,,,,
,,"BlackholeCybernoodles","EventGacha",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"PainterKatanakingdom","EventMenu",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"BanditGirlCybernoodles","EventGacha",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"AlternatorCybernoodles","BrawlPass",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"LeaperKatanakingdom","BrawlPass",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"KatanaKidCybernoodles","SideQuest",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
"WindstockSkinAlbumScene1","Collab","DiggerDiggerWindstock","EventGacha",,,,"Windstock","TID_NANO_WIND_SKIN_SCENE_3","TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM",,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,"TRUE","scene_3","TRUE",,,"album_003",,,"wind_noodles_chapter_1"
,,"MechaDudeCybernoodlesOvercharge","EventMenu",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"DoorManWindstock","EventGacha",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
,,"MechaDudeBigCybernoodlesOvercharge","EventGacha",,,,,,,"TRUE",,"TRUE","CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
"WindstockSkinAlbumScene2","Collab","RosaWindstock","BrawlPass",,,,"Windstock","TID_NANO_WIND_SKIN_SCENE_4","TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM",,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,"TRUE","scene_4","TRUE","skins/scene_area_front",,"album_004",,,"wind_noodles_chapter_2"
,,"WallyWindstock","EventGacha",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,"skins/scene_area_front",,,,,
,,"SnakeOilWindstock","BrawlPass",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
"WindstockSkinAlbumScene3","Collab","KatanaKidDefault","EventGacha",,,,"Windstock","TID_NANO_WIND_SKIN_SCENE_5","TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM","TRUE",,"TRUE","CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,"scene_5","TRUE","skins/scene_area_front",,"album_005",,"windstock_scene_5_camera.glb","wind_noodles_chapter_3"
,,"KatanaKidCybernoodles","SideQuest",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,"TRUE",,,,,,,,
,,"SamuraiWindstock","EventGacha",,,,,,,,,,"CUSTOM_1","CUSTOM_1","CUSTOM_1","CUSTOM_1",,,,,,,,,,
"WindstockSkinAlbumCollection","Collab","DoorManWindstock","EventGacha","spray_windstock_2",,,"Windstock","TID_NANO_WIND_SKIN_COLLECTION_2","TID_AVAILABILITY_ANIME_TIME_LIMITED_ALBUM",,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,"scene_collection_2",,,,,,,
,,"DiggerDiggerWindstock","EventGacha",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"MechaDudeCybernoodlesOvercharge","EventMenu",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,"TRUE",,,,
,,"SnakeOilWindstock","BrawlPass",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"WallyWindstock","EventGacha",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"RosaWindstock","BrawlPass",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
,,"SamuraiWindstock","EventGacha",,,,,,,,,,"HAPPY_LOOP","HAPPY_LOOP","WALK","WALK",,,,,,,,,,
