"Name","Hero","TicketIconExportPath","InfoFlow","EventInfoFlow","BrawlerBoxRewardContainer","TitleTID","SubtitleTID","BoxIcon","HeroFrameLabel","BoxStampInstanceName","EventIcon","ChatSuggestionItem","GameModeRoomIcon","BoxIdle3DAnimStart","BoxIdle3DAnimEnd","BoxRotations","BoxStartFrameOffsets","GachaBgExportPath","EventBgExportPath"
"BulletstormEarlyAccess","Bulletstorm","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","PierceBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_pierce","pierce",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_pierce_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
"MenderEarlyAccess","Mender","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","GlowbertBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_glowbert","glowbert",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_glowbert_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
"ShadowdemonEarlyAccess","Shadowdemon","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","ShadowdemonBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_sirius","sirius",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_sirius_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,60,4,,
"RedirecterEarlyAccess","Redirecter","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","RedirecterBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_najia","najia",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_najia_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
"GladiatorEarlyAccess","Gladiator","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","GladiatorBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_damian","damian",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_damian_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,60,4,,
"MagicalGirlEarlyAccess","MagicalGirl","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","MagicalGirlBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_stella","stella",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_stella_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,60,4,,
"RockEarlyAccess","Rock","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","RockBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_rock","rock",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_bolt_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,60,4,,
"KatanaKidEarlyAccess","KatanaKid","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","KatanaKidBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_nori","nori",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_nori_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,60,4,,
"FutureGirlEarlyAccess","FutureGirl","sc/ui_brawler_event.sc#icon_ticket_brawler_generic","GenericBrawlerEarlyAccessInfo","GenericBrawlerEarlyAccessEventInfo","FutureGirlBox","TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT","TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT","sc/ui_brawler_event.sc#emoji_box_wendy","wendy",,"sc/ui.sc#event_icon_brawler_early_access_generic","sc/ui.sc#chat_letsplay_brawler_early_access_generic",,50,199,0,8,"sc/ui.sc#gatcha_screen_brawler_wendy_appear","sc/ui.sc#event_brawler_early_access_bg_unique"
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,60,4,,
