"Name","Disabled","Speed","PreExplosionTimeMs","Radius","IgnoreCloseWalls","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","DamageReduction","Gravity","EarlyTicks","OnAllyHitActions","OnEnemyHitActions","AreaEffect2DamagePercent","SpawnCharacter","AreaEffectTrailMinDistance","AreaEffectTrailInitialMinDistance","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","MaxDistanceBounces","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","PushbackType","OverridePushbackSpeed","MaxZDuringPushback","ChainsToEnemies","ChainBullets","ChainBulletsMax","ChainSpread","ChainTravelDistance","ExecuteChainSpecialCase","DamagePercentStart","DamagePercentEnd","DamageChangeStartPromille","DamageChangeEndPromille","IgnoreDamageChangeForUltiCharge","DamagesConstantlyTickDelay","StunLengthMS","PartialStunPromille","SilenceDurationMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","SuppressHealing","SuppressHealingTicks","ConsumableShield","ConsumableShieldTicks","DamageOnlyWithOneProj","HealOwnPercent","GrapplesEnemy","KickBack","MinDistanceForSpread","IsFriendlyHomingMissile","BoomerangType","CanHitAgainAfterBounce","IsHomingMissile","UltiChargeChangePercent","TravelType","TravelTypeVariable","TravelTypeVariable2","IgnoreLevelBorder","SteerStrength","SteerIgnoreTicks","HomeDistance","SteerLifeTime","DoNotForceShow","UniqueProperty","CustomUniquePropertyValue","Zoffset","SuperChargeScalePercent","BooleanAttributes"
"TntDudeUltiProjectile","","1600","","0","","true","","1300","35","","330","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeOverchargedUltiProjectile","","1600","","0","","true","","1300","35","","330","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeNanoChainProjectile","","1900","","0","","true","","1000","35","","430","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","",""
"BoneThrowerProjectile","","1305","","0","","true","","4000","35","","150","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BoneThrowerUltiProjectile","","1305","","0","","true","","15000","35","","150","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyProjectileForLaserBall","","2499","","0","","","","","","","0","1","","","","","","","false","","true","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","",""
"DummyProjectileForLaserBallBurning","","2499","","0","","","","","","","0","1","","","","","","","false","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","","","","","","","","","","","",""
"MechanicTurretProjectile","","3478","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicOverchargedTurretProjectile","","3478","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerAfterChargeOverchargedProjectile","","3478","","280","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerUltiProjectile","","3000","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","100","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerOverchargedUltiProjectile","","3500","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","100","true","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"UndertakerOverchargedUltiProjectileReturn","","3500","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","100","true","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowProjectile","","3261","","50","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowOverchargedProjectile","","3261","","50","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"CrowOverchargedProjectile2","","3261","","50","","","","","","30","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"CrowUltiProjectile","","3261","","50","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowThrowPoisonDaggerSkillProjectile","","3261","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"CrowThrowPoisonDaggerSkillProjectileBuddy","","3261","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"CrowThrowPoisonDaggerSkillProjectileBuddyChain","","3261","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","50","80","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"DeadMariachiProjectile","","2500","","150","","","","","","","0","4","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiUltiProjectile","","5000","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","true","100","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiOverchargedUltiProjectile","","5000","","400","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","true","100","","","","","","","","","","","","","","","","","","","","","",""
"BowDudeSpawnMineProjectile","","2391","","0","","true","","","","","405","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BowDudeProjectile","","2800","","70","","","","","","","0","5","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SniperProjectile","","4000","","101","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","20","100","0","850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeProjectile","","4130","","50","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeUltiProjectile","","1196","","0","","true","","","","","170","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeProjectileNano","","4130","","50","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","5","5","5","","","","","","",""
"PrimoDefProjectile","","3261","","150","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","20","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleProjectile","","3152","","100","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleUltiProjectile","","1522","","0","","true","","","","","200","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelBotProjectile","","4000","","0","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelBotOverchargedProjectile","","4000","","0","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeProjectile","","3400","","150","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","3","","20","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeProjectile2","","2500","","101","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","75","75","0","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeUltiProjectile","","1196","","0","","true","","","","","139","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeTurretProjectile","","750","1200","0","","true","true","","","","90","1","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeOverchargedUltiProjectile","","1196","","0","","true","","","","","139","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeOverchargedTurretProjectile","","750","1200","0","","true","true","","","","90","1","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShotgunGirlPetProjectile","","2826","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHolePetProjectile","","3152","","50","","","","","","","0","2","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeProjectile","","5000","","150","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeUltiProjectile","","6000","","250","","","","","","","0","2","","","","","","","true","","","","","true","true","true","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"HookProjectile","","3200","","150","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","6","","40","17","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookProjectile2","","3200","","101","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookUltiProjectile","","3200","","200","","","","","","","0","4","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","","","","","","","","","","","","","","","","","","","","",""
"HookUltiProjectile2","","2000","","200","","","","","","","0","2","","","","","","","true","","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombProjectile","","450","","0","","true","true","900","","","25","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombProjectile2","","2000","","0","","true","true","","","","200","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombSummonProjectile","","1196","","0","","true","","","","","170","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeUltiProjectile","","1196","","0","","true","","","","","170","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeOverchargedBuddyProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeItemDispenserProjectile","","2000","","0","","true","","","","","300","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDoubleBonusSkillProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDoubleBonusSkillBuddyProjectile","","4500","","50","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","1","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDoubleBonusSkillBuddyProjectile2","","3000","","50","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","1","","","","20","","75","75","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDoubleBonusSkillBuddyProjectile3","","3000","","50","","","","","","","0","1","","","","","","","true","","","","","","","","","","","","","","","","","","75","75","0","1000","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LeonDefProjectile","","3500","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","100","35","150","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LeonDefProjectileMutation","","2000","","100","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","100","35","150","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RosaProjectile","","5000","","150","","","","","","","0","2","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"CoopRangedEnemyProjectile","","4000","","100","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossProjectile","","3000","","150","","","","","","","0","3","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossRangedEnemyProjectile","","4000","","100","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossProjectileRed","","5000","","150","","","","","","","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossProjectileRedDestroyEnv","","5000","","150","","","","","","","0","3","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossProjectileGold","","5000","","150","","","","","","","0","3","","","","","","","","","","","","true","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossRocketProjectile","","480","","0","","true","true","","","","20","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanStarPowerProjectile","","3000","","0","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"UndertakerStarPowerProjectile","","3000","","0","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"HammerDudeStarPowerProjectile","","3000","","0","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"RoboWarsBaseProjectile","","6000","","0","","true","","","","","1900","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","",""
"WhirlwindProjectile","","3000","","250","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","6","","","",""
"WhirlwindProjectile2","","3000","","250","","","","","","","0","1","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","1","","","","","","","","","","","","","6","","","",""
"BaseballUltiProjectile","","3000","","250","","","","","","","0","3","","","","","","","true","","true","","","true","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BaseballOverchargedUltiProjectile","","3000","","250","","","","","","","0","3","","","","","","","true","","true","","","false","","","","","","","","2","","20","100","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BaseballOverchargedUltiProjectileChain","","3000","","250","","","","","","","0","3","","","","","","","true","","true","","","true","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TurretElecProj","","3478","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","1","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TurretElecProj2","","2000","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","1","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-100","","","","","","","","","","","","","",""
"TurretElecProj3","","2000","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-100","","","","","","","","","","","","","",""
"BlackHolePet2Projectile","","3000","","0","","","","","","","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","true","","","","","","","","","","","","","","","","","",""
"BeeSniperProjectile","","3255","","150","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BeeSniperChargedProjectile","","3255","","150","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","",""
"BeeSniperUltiProjectile","","2500","","150","","","","","","","0","2","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","",""
"BeeProjectile","","4000","","0","","","","","","","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SandstormProjectile","","3500","","200","","","","","","","0","4","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"SandstormUltiProjectile","","2000","","0","","true","","","","","300","1","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MummyProjectile","","1500","","200","","","","","","","0","3","","","","","","","true","","","","","true","","","","","","","","","","","","","","","","","","7","","","","35","125","","","","","","","","true","","","","","","","","","","1","","","","","","","","","","","","",""
"BossRaceBossProjectile","","5000","","150","","","","","","","0","3","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRaceBossLightningProjectile1","","3500","","250","","","","","","","0","3","","","","","","","true","","","","","","","","","","","","1","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
