"Name","TicketsInRareStar","TicketsInSuperRareStar","TicketsInEpicStar","TicketsInMythicStar","TicketsInLegendaryStar","TicketsInOverchargeStar","TicketsInRankedStar","TicketsInRareCollabDrop","TicketsInSuperRareCollabDrop","TicketsInEpicCollabDrop","TicketsInMythicCollabDrop","TicketsInLegendaryCollabDrop","TicketsInMegaBox","TicketsInAngelicStar","TicketsInDemonicStar","TicketsInSeasonBoxLevel1","TicketsInSeasonBoxLevel2","TicketsInSeasonBoxLevel3","TicketsInSeasonBoxLevel4","TicketsInSeasonBoxLevel5","TicketsInRarePresentDrop","TicketsInSuperRarePresentDrop","TicketsInEpicPresentDrop","TicketsInMythicPresentDrop","TicketsInLegendaryPresentDrop","TicketsInSplitterRare","TicketsInSplitterSuperRare","TicketsInSplitterEpic","TicketsInSplitterMythic","TicketsInGraffitiBox","TicketsInPumpkinBox","TicketsInDeadBox","TicketsInRareSplittingStar","TicketsInSuperRareSplittingStar","TicketsInEpicSplittingStar","TicketsInMythicSplittingStar","TicketsInLegendarySplittingStar","TicketsInUltraSplittingStar","TicketsInMechBox","TicketsInChocolateBox","TicketsInAnimeStar","TicketsInNanoDrop","TicketsInWindDrop","TicketsInCommunityDrop1","TicketsInCommunityDrop2","TicketsInCommunityDrop3","TypeName","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization"
"Power Points M",,50,,,,,,,,,,,,50,50,,,,,,50,,,,,6,4,3,2,20,,,,50,,,,,,,,20,20,,,,"PowerPoints",,,,,50,50,,,,,1
"Power Points L",,,20,,,,,,,,,,,20,20,,,,,,,25,,,,1,1,1,1,10,,,,,20,,,,,,,1,1,,,,"PowerPoints",,,,,100,100,,,,,1
"Power Points XL",,,,30,,,,,,,,,,10,10,,,,,,,,,10,,,,,,2,,,,,,30,,,,,,,,,,,"PowerPoints",,,,,200,200,,,,,2
"Credits S",5,,,,,,,,,,,,150,,,,,,,,,,,,,15,15,15,15,100,150,,5,,,,,,150,,,33,33,,,,"Credits",,,,,10,10,,,,,
"Credits M",,5,,,,,,,,,,,10,,,,,,,,25,,,,,2,2,2,2,2,,,,5,,,,,10,,,15,15,,,,"Credits",,,,,30,30,,,,,
"Credits L",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,5,,,2,2,,,,"Credits",,,,,75,75,,,,,
"Credits XL",,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,1,1,,,,"Credits",,,,,150,150,,,,,
"Brawler Rare",,,,,,,,,,,,,10,,,,,,,,,10,,,,3,3,3,3,,,5,,,,,,,,,,,,,,,"Brawler",1,,,,,,"Credits",100,,,2
"Brawler Super Rare",,,,,,,,,,,,,5,,,,,,,,,5,,,,2,2,2,2,,,3,,,,,,,,,,,,,,,"Brawler",2,,,,,,"Credits",200,,,2
"Brawler Epic",,,,14,15,,,,,,,,3,9,9,,,,,,,,,15,,1,1,1,1,5,5,2,,,,14,15,,,,6,,,,,,"Brawler",3,,,,,,"Credits",500,,,3
"Brawler Mythic",,,,4,5,,,,,,,,2,2,2,,,,,,,,,,6,,,,,2,3,1,,,,4,5,50,,,2,,,,,,"Brawler",4,,,,,,"Credits",1000,,,3
"Brawler Legendary",,,,,2,,,,,,,,1,1,1,,,,,,,,,,2,,,,,1,1,1,,,,,2,20,,,1,,,,,,"Brawler",5,,,,,,"Credits",1000,,,3
"Bling S",5,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,300,,,5,,,,,,,,,47,41,,,,"Bling",,,,,20,20,,,,,
"Bling M",,5,,,,,,,,,,,,,,200,150,100,50,,,,,,,10,10,10,10,50,,,,5,,,,,,,,15,15,,,,"Bling",,,,,50,50,,,,,
"Bling L",,,,,,,,,,,,,,,,,50,100,100,100,25,,,,,1,1,1,1,25,,,,,,,,,,,,2,2,,,,"Bling",,,,,50,150,,,,,
"Bling XL",,,,,,,,,,,,,,,,,,,50,100,,,,,,,,,,10,,,,,,,,,,,,1,1,,,,"Bling",,,,,100,300,,,,,
"Skin 1-29 Gem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,,1,29,,,"Bling",100,,,
"Skin 30-79 Gem",,,,2,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,"Skin",,,30,79,,,"Bling",200,,,
"Skin 80-149 Gem",,,,,10,,,,,,,,,,,,,4,5,1,,,,,,,,,,,,,,,,,10,10,,,,,,,,,"Skin",,,80,149,,,"Bling",500,,,
"Pin 1-9 Gem",,5,15,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,,,,,,,,,,,,,,,,,"Pin",,,1,9,,,"Bling",50,,,
"Pin 10-29 Gem",,,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pin",,,10,29,,,"Bling",50,,,
"Pin 30-39 Gem",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pin",,,30,999,,,"Bling",50,,,
"Spray 1-19 Gem",,2,15,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,,,,,,,,,,,,,,,,,"Spray",,,1,19,,,"Bling",50,,,
"Spray 20-29 Gem",,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spray",,,20,999,,,"Bling",50,,,
"Profile Pic",,,,10,,,,,,,,,,,,20,20,20,20,20,,,,,,9,9,9,9,,,,,,,,,,,,,,,,,,"ProfilePic",,,,,,,"Bling",50,,,
"Token Doubler S",45,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TokenDoubler",,,,,100,100,"Credits",100,,,
"Skin 150-199 Gem",,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,4,,,,,,,,,"Skin",,,150,199,,,"Bling",500,,,
"Skin 200-999 Gem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,,200,999,,,"Bling",1000,,,
"Token Doubler M",,20,,,,,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,,,,,,,,,,,,,,"TokenDoubler",,,,,200,200,"Credits",100,,,
"Token Doubler L",,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TokenDoubler",,,,,500,500,"Credits",100,,,
"Overcharge",,,,,15,1,,,,,,,1,3,3,,,,,,,,,,15,1,1,1,1,1,3,1,,,,,15,50,1,1,10,,,,,,"Overcharge",,,,,,,"Coins",1000,,,3
"RankedStarSkin",,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RankedStarSkin",,,,,,,"Bling",100,,,
"RankedStarSpray",,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RankedStarSpray",,,,,,,"Bling",100,,,
"RankedStarProfilePic",,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RankedStarProfilePic",,,,,,,"Bling",100,,,
"Bling Ranked S",,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,100,100,,,,,
"Bling Ranked M",,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,250,250,,,,,
"Bling Ranked L",,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,"Bling",,,,,1000,1000,,,,,
"CollabMutation S",,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabMutation",,,,,,,"Credits",20,,,
"CollabSkin 1-29 Gem",,,,,,,,,,,78,,14,,,,,,,,,,5,22,,,,,,150,6,8,,,,,,,15,15,,,,,,,"CollabSkin",,,1,29,,,"Bling",100,,,
"CollabSkin 30-79 Gem",,,,,,,,,,,22,,8,,,,,,,,,,5,23,,,,,,50,6,5,,,,,,,,28,8,1,2,,,,"CollabSkin",,,30,79,,,"Bling",200,,,3
"CollabSkin 80-149 Gem",,,,,,,,,,,,80,4,,,,,,,,,,,5,50,,,,,30,9,3,,,,,,,10,15,12,1,3,,,,"CollabSkin",,,80,149,,,"Bling",500,,,3
"CollabSkin 150-299 Gem",,,,,,,,,,,,8,,,,,,,,,,,,,2,,,,,25,4,1,,,,,,,5,,,,,,,,"CollabSkin",,,150,299,,,"Bling",1000,,,
"CollabSkin 300-799 Gem",,,,,,,,,,,,12,1,3,,,,,,,,,,,,,,,,9,1,,,,,,,,1,,,,,,,,"CollabSkin",,,300,999,,,"Bling",1000,,,3
"CollabSpray",,,,,,,,,,18,,,,60,,,,,,,,,10,,,30,30,30,30,100,40,40,,,,,,,20,20,60,,,,,,"CollabSpray",,,,,,,"Bling",50,,,1
"CollabProfilePic",,,,,,,,,,18,,,60,40,,,,,,,,,30,,,9,9,9,9,100,40,30,,,,,,,60,60,60,15,15,,,,"CollabProfilePic",,,,,,,"Bling",50,,,1
"Coins S Collab",,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,100,100,,,,,
"Coins M Collab",,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,200,200,,,,,
"Coins L Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,500,500,,,,,
"Coins XL Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,"Coins",,,,,1000,1000,,,,,
"Power Points S Collab",,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,50,50,,,,,
"Power Points M Collab",,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,100,100,,,,,
"Power Points L Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,250,250,,,,,
"Power Points XL Collab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,500,500,,,,,
"Bling S Collab",,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,50,50,,,,,
"Bling M Collab",,,,,,,,,15,,,,,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,100,100,,,,,1
"Bling L Collab",,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,250,250,,,,,1
"Bling XL Collab",,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,500,500,,,,,2
"CollabPin",,,,,,,,,,14,,,30,40,,,,,,,,,50,,,30,30,30,30,100,50,50,,,,,,,40,40,60,15,15,,,,"CollabPin",,,,,,,"Bling",50,,,1
"CollabMutation M",,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabMutation",,,,,,,"Credits",50,,,
"CollabMutation L",,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabMutation",,,,,,,"Credits",100,,,
"Coins VS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,300,,,,,,,,,,,,,,,"Coins",,,,,10,110,,,,,
"Coins Jackpot",,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,4,1,1,,,,,,,1,,1,,,,,,"Coins",,,,,1000,1000,,,,,3
"Power Points VS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,1,1,,,,"PowerPoints",,,,,10,20,,,,,
"Power Points Jackpot",,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,,,,,,"PowerPoints",,,,,1000,1000,,,,,3
"Bling VS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,10,30,,,,,
"Bling Jackpot",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,"Bling",,,,,1000,1000,,,,,3
"Gems VS",,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,5,,,,,,,,,10,,,,,,,,"Gems",,,,,3,3,,,,,
"Gems Jackpot",,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,"Gems",,,,,100,100,,,,,3
"XP Doubler VS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,100,,,70,70,,,,"TokenDoubler",,,,,100,100,,,,,
"XP Doubler JACKPOT",,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,"TokenDoubler",,,,,2000,2000,,,,,2
"Bling Jackpot XL",,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bling",,,,,2000,2000,,,,,
"XP Doubler S",,,,,,,,,,,,,,162,162,200,150,100,75,50,,,,,,,,,,,149,110,45,,,,,,,,,,,,,,"TokenDoubler",,,,,100,300,,,,,1
"XP Doubler JACKPOT 2",,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"TokenDoubler",,,,,5000,5000,,,,,
"Pin 1-999 Gem",,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pin",,,1,999,,,"Bling",50,,,
"Spray 1-999 Gem",,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spray",,,1,999,,,"Bling",50,,,
"Skin 1-29 Gem x1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,"TRUE",1,29,,,"Bling",50,,,
"Skin 30-79 Gem x1",,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,"TRUE",30,79,,,"Bling",200,,,
"Skin 80-149 Gem x1",,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,"TRUE",80,149,,,"Bling",500,,,
"Skin 159-199 Gem x1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,"TRUE",150,199,,,"Credits",1000,,,
"Skin 200-299 Gem",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,,200,299,,,"Credits",1000,,,
"Skin 300-499 Gem",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skin",,,300,499,,,"Credits",1000,,,
"CollabSkin 1-199 Gem",,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabSkin",,,1,199,,,"Bling",500,,,3
"CollabSpray2",,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,"CollabSpray",2,,,,,,"Bling",50,,,2
"CollabProfilePic2",,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabProfilePic",2,,,,,,"Bling",50,,,2
"CollabPin2",,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabPin",2,,,,,,"Bling",50,,,2
"CollabSkin 1-199 Gem2",,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabSkin",2,,1,199,,,"Bling",500,,,3
"CollabSkin 300-799 Gem2",,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabSkin",2,,300,999,,,"Bling",1000,,,3
"Pro Pass Pro XP",,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ProXP",,,,,250,250,,,,,
"Wasabi Power Hot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WasabiPower",1,,,,,,"Coins",50,"Coins",25,2
"Wasabi Power Very Hot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WasabiPower",2,,,,,,"Coins",50,"Coins",25,2
"Wasabi Power Crazy Hot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WasabiPower",3,,,,,,"Coins",50,"Coins",25,2
"Wasabi Power Inferno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WasabiPower",4,,,,,,"Coins",50,"Coins",25,2
"SplitterPremium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CollabSkin",,"TRUE",,,,,"Bling",1000,,,3
"SurfersBonusSkillLevel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BonusSkillLevel",,"TRUE",,,,,"Coins",100,"Coins",50,
"Mech Chroma 49 Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,"CollabSkin",,,49,49,,,"Bling",100,,,
"Mech Collab 79 Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,"CollabSkin",,,79,79,,,"Bling",500,,,
"Wasabi Non Hypercharge Skin",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,10,,,,,,,,,,,,,,,,,,"CollabSkin",,"TRUE",1,498,,,"Bling",500,,,3
"Wasabi Hypercharge Skin",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,"CollabSkin",,"TRUE",499,799,,,"Bling",1000,,,3
"Brawler Ultra Legendary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,"Brawler",6,,,,,,"Credits",1500,,,3
"Coins (69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,,,,,"Coins",,,,,69,69,,,,,1
"Coins (666)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Coins",,,,,666,666,,,,,1
"Power Points (67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,"PowerPoints",,,,,67,67,,,,,
"Power Points (420)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"PowerPoints",,,,,420,420,,,,,
"Credits (34)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,"Credits",,,,,34,34,,,,,
"Credits (42)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,"Credits",,,,,42,42,,,,,
"Credits (66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,"Credits",,,,,66,66,,,,,
"Bling (39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,"Bling",,,,,39,39,,,,,
"Bling (1337)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Bling",,,,,1337,1337,,,,,
"XP Doubler (8008)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"TokenDoubler",,,,,8008,8008,,,,,
"Gem (21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,"Gems",,,,,21,21,,,,,
"CollabSkin 150-199 Gem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,3,6,,,,"CollabSkin",,,150,199,,,"Bling",1000,,,3
"CollabSkin 200-299 Gem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,1,,,,"CollabSkin",,,200,299,,,"Bling",1000,,,3
"Buddy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,25,1,1,,,,"Buddy",,,,,,,"PowerPoints",1000,,,3
"Skin 200-299 Gem (Ultra)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,"Skin",,,200,299,,,"Bling",1000,,,
"ProSkinLevel",,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ProSkinLevel",,,,,,,"Bling",100,,,
"Brawler Temp Transformation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,"BrawlerTempTransform",,,,,,,"Credits",30,"Credits",30,2
"Coins (300)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,"Coins",,,,,300,300,,,,,1
"Power Points (300)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,"PowerPoints",,,,,300,300,,,,,1
"Bling (300)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,"Bling",,,,,300,300,,,,,
"Nano Power",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,105,,,,"NanoPower",,,,,,,"Bling",100,"Bling",99,
"Coins (10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coins",,,,,5,15,,,,,
"Power Points (10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerPoints",,,,,5,15,,,,,
"Coins (25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,"Coins",,,,,20,30,,,,,
