"Name","Logic","ChainStatusEffect","ChainStatusEffect2","StatusToApplyOnEnd","UseColorMod","RedAdd","GreenAdd","BlueAdd","FullScreenAdd","FullScreenMul","FullScreenEffectFile","FullScreenEffectName","StartEffect","LoopedEffect","LoopedEffectRemoveType","TriggerEffect","EndEffect"
"SnakeOilDot","SnakeOilDot","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"SnakeOilHot","SnakeOilHot","","","","","0","0","0","","","","","","heal_over_time_3","end","",""
"SnakeOilGadgetDot","SnakeOilGadgetDot","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"SnakeOilGadgetHot","SnakeOilGadgetHot","","","","","0","0","0","","","","","","heal_over_time_3","end","",""
"CrowPoison","CrowPoison","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"CrowPoisonFire","CrowPoison","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"CrowPoisonShock","CrowPoison","","","","TRUE","0","100","0","","","","","","poisoned_005","end","",""
"CrowPoisonSparkle","CrowPoison","","","","TRUE","0","100","0","","","","","","poisoned_012","end","",""
"CrowPoisonStar","CrowPoison","","","","TRUE","100","100","0","","","","","","","end","",""
"CrowPoisonVirus","CrowPoison","","","","TRUE","100","100","0","","","","","","poisoned_014","end","",""
"CrowPoisonDragon","CrowPoison","","","","TRUE","100","100","0","","","","","","poisoned_015","end","",""
"CrowCrippleSP","CrowCrippleSP","","","","","","","","","","","","","buff_damage_down","end","",""
"LuchadorFire","LuchadorFire","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"ShadowMushroomHot","ShadowMushroomHot","","","","TRUE","0","100","0","","","","","","snake_oil_poison_1","end","",""
"ShadowMushroomDot","ShadowMushroomDot","","","","","0","0","0","","","","","","heal_over_time_3","end","",""
"AttacherUltiDot","AttacherUltiDot","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"CookerGadgetDot","CookerGadgetDot","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"CookerGadgetHot","CookerGadgetHot","","","","","0","0","0","","","","","","heal_over_time_3","end","",""
"GhostIncorporeal","GhostIncorporeal","","","","TRUE","255","255","255","","","","","","","","",""
"GhostShield","GhostShield","","","","","0","0","0","","","","","","buff_shield","remove","",""
"GhostDeadCenterReward","GhostDeadCenterReward","","","","","0","0","0","","","","","","buff_speedup","remove","",""
"GhostSpooked","GhostSpooked","","","","","","","","","","","","","slowed","remove","",""
"MosquitoPoison","MosquitoPoison","","","","TRUE","0","100","0","","","","","","poisoned_001","end","",""
"MosquitoPoisonShock","MosquitoPoison","","","","TRUE","0","100","0","","","","","","poisoned_005","end","",""
"DemonicRitualCooldown","DemonicRitualCooldown","","","","","0","0","0","","","","","","","end","",""
"AngelicGraceCooldown","AngelicGraceCooldown","","","","","0","0","0","","","","","","","end","",""
"DemonicMomentum","DemonicMomentum","DemonicMomentum002","DemonicMomentumCooldown","","TRUE","100","0","100","","","","","demonicmomentum_start","demonicmomentum001","end","",""
"SpeedOfAnAngel","SpeedOfAnAngel","SpeedOfAnAngel002","","","","","","","","","","","","speedofanangel001","end","",""
"SpeedOfAnAngel002","SpeedOfAnAngel002","SpeedOfAnAngel003","","","","0","0","0","","","","","","speedofanangel002","end","",""
"LastBreathCooldown","LastBreathCooldown","","","","","0","0","0","","","","","","","end","",""
"LastBreath","LastBreath","LastBreathCooldown","","","TRUE","70","70","70","","","","","","last_breath_shield","end","",""
"AngelicWrathCooldown","AngelicWrathCooldown","","","","","0","0","0","","","","","","","end","",""
"DemonicfireCooldown","DemonicfireCooldown","","","","","0","0","0","","","","","","","end","",""
"InvokDemonicPetAfterDying","InvokDemonicPetAfterDying","InvokeAngelicBigPetAfterDying","","","","0","0","0","","","","","","","end","",""
"InvokeAngelicBigPetAfterDying","InvokeAngelicBigPetAfterDying","","","","","0","0","0","","","","","","","end","",""
"VoodooGadgetSpeedUp","VoodooGadgetSpeedUp","","","","","0","0","0","","","","","","buff_speedup","end","",""
"VoodooGadgetShield","VoodooGadgetShield","","","","","0","0","0","","","","","","buff_shield","end","",""
"SilencerUltiOvercharged","SilencerUltiOvercharged","","","","","","","","","","","","","stunned","end","",""
"BarrelbotShield","BarrelbotShield","","","","","","","","","","","","","buff_shield","remove","",""
"Barrelbot005Shield","BarrelbotShield","","","","","","","","","","","","","darryl_005_ulti_loop_2","remove","",""
"Barrelbot006Shield","BarrelbotShield","","","","","","","","","","","","","darryl_006_ulti_shield","remove","",""
"Barrelbot007Shield","BarrelbotShield","","","","","","","","","","","","","darryl_007_ulti_shield","remove","",""
"Barrelbot008Shield","BarrelbotShield","","","","","","","","","","","","","darryl_008_ulti_shield","remove","",""
"Barrelbot009Shield","BarrelbotShield","","","","","","","","","","","","","darryl_009_ulti_shield","remove","",""
"BarrelbotShieldOvercharged","BarrelbotShield","","","","","","","","","","","","","darryl_def_oc_ulti_shield","remove","",""
"BarrelbotAfterChargeShield","BarrelbotAfterChargeShield","","","","","","","","","","","","","buff_shield","remove","",""
"BarrelbotAfterShieldOvercharged","BarrelbotAfterChargeShield","","","","","","","","","","","","","darryl_def_oc_ulti_shield2","remove","",""
"Barrelbot005AfterChargeShield","BarrelbotAfterChargeShield","","","","","","","","","","","","","buff_shield","remove","",""
"Barrelbot006AfterChargeShield","BarrelbotAfterChargeShield","","","","","","","","","","","","","buff_shield","remove","",""
"Barrelbot007AfterChargeShield","BarrelbotAfterChargeShield","","","","","","","","","","","","","buff_shield","remove","",""
"Barrelbot008AfterChargeShield","BarrelbotAfterChargeShield","","","","","","","","","","","","","buff_shield","remove","",""
"Barrelbot009AfterChargeShield","BarrelbotAfterChargeShield","","","","","","","","","","","","","buff_shield","remove","",""
"BarrelBotGadgetSlow","BarrelBotGadgetSlow","","","","","","","","","","","","","slowed","end","",""
"DemonicMomentum002","DemonicMomentum002","DemonicMomentum003","DemonicMomentumCooldown","","TRUE","100","0","100","","","","","demonicmomentum_start","demonicmomentum002","end","",""
"DemonicMomentum003","DemonicMomentum003","DemonicMomentum004","DemonicMomentumCooldown","","TRUE","100","0","100","","","","","demonicmomentum_start","demonicmomentum003","end","",""
"DemonicMomentum004","DemonicMomentum004","","DemonicMomentumCooldown","","TRUE","100","0","100","","","","","demonicmomentum_start","demonicmomentum004","end","",""
"DemonicMomentumCooldown","DemonicMomentumCooldown","","","","","","","","","","","","","","","",""
"DemonicRevengeCooldown","DemonicRevengeCooldown","","","","","","","","","","","","","","","",""
"DemonicSoulCollectorCooldown","DemonicSoulCollectorCooldown","","","","","","","","","","","","","","","",""
"SpeedOfAnAngel003","SpeedOfAnAngel003","SpeedOfAnAngel004","","","TRUE","70","70","70","","","","","","speedofanangel003","end","",""
"SpeedOfAnAngel004","SpeedOfAnAngel004","SpeedOfAnAngel005","","","","0","0","0","","","","","","speedofanangel004","end","",""
"SpeedOfAnAngel005","SpeedOfAnAngel005","","","","","0","0","0","","","","","","speedofanangel005","end","",""
"LightyearFire","LightyearFire","","","","TRUE","100","20","0","","","","","","poisoned_002","end","",""
"SkaterUltiTaunt","SkaterUltiTaunt","","","","","","","","","","","","","taunt_effect","end","",""
"SkaterUltiHCTaunt","SkaterUltiHCTaunt","","","","","","","","","","","","","","","",""
"SkaterUltiAmmoReductionSelf","SkaterUltiAmmoReductionSelf","","","","","","","","","","","","","","","",""
"SkaterGadgetJumpTaunt","SkaterGadgetJumpTaunt","","","","","","","","","","","","","taunt_effect","end","",""
"SkaterGadgetProjectileTaunt","SkaterGadgetProjectileTaunt","","","","","","","","","","","","","taunt_effect","end","",""
"MeepleSuperArea","MeepleSuperArea","","","","TRUE","100","0","100","","","","","","","","",""
"Invulnerable","Invulnerable","","","","","0","0","0","","","","","","","end","",""
"ArenaBuff","ArenaBuff","","","","","","","","","","","","","arenakaijubuff","end","",""
"MorningstarSuperRoot","MorningstarSuperRoot","","","","","","","","","","","","","lumi_def_ulti_explosion_03_restriction","remove","",""
"MorningstarRecallSlow","MorningstarRecallSlow","","","","","","","","","","","","","slowed","end","",""
"Morningstar002RecallSlow","MorningstarRecallSlow","","","","","","","","","","","","","slowed","end","",""
"Morningstar003RecallSlow","MorningstarRecallSlow","","","","","","","","","","","","","slowed","end","",""
"GusOverchargedHealingProjectile","GusOverchargedHealingProjectile","","","","","0","0","0","","","","","","","end","",""
"ChronomancerTimebendSpeedReduce","ChronomancerTimebendSpeedReduce","","","","","","","","","","","","","finx_def_ulti_prj_buff_slow","remove","",""
"ChronomancerTimebendSpeedBoost","ChronomancerTimebendSpeedBoost","","","","","","","","","","","","","finx_def_ulti_prj_buff_fast","end","",""
"ChronomancerTimebendBoostSelf","ChronomancerTimebendBoostSelf","","","","","","","","","","","","","finx_def_ulti_prj_buff_fast","end","",""
"ChronomancerGadgetProjectileStasis","ChronomancerGadgetProjectileStasis","","","","","","","","","","","","","finx_def_gadget2_twinkle","end","",""
"CleanseInfiniteNoVFX","CleanseInfiniteNoVFX","","","","","","","","","","","","","","","",""
"AlternatorProjectileHeal","AlternatorProjectileHeal","","","","","","","","","","","","","heal_over_time_3","end","",""
"AlternatorHealAura","AlternatorHealAura","","","","","","","","","","","","","heal_over_time_3","end","",""
"AlternatorSpeedAura","AlternatorSpeedAura","","","","","","","","","","","","","buff_speedup","remove","",""
"AlternatorDamageAura","AlternatorDamageAura","","","","","","","","","","","","","","","",""
"AlternatorSlowAura","AlternatorSlowAura","","","","","","","","","","","","","slowed","remove","",""
"AlternatorProjectileSpeedTrail","AlternatorProjectileSpeedTrail","","","","","","","","","","","","","buff_speedup","remove","",""
"AlternatorProjectileSlowTrail","AlternatorProjectileSlowTrail","","","","","","","","","","","","","slowed","remove","",""
"AlternatorHealAuraOvercharged","AlternatorHealAuraOvercharged","","","","","","","","","","","","","heal_over_time_3","end","",""
"AlternatorSpeedAuraOvercharged","AlternatorSpeedAuraOvercharged","","","","","","","","","","","","","buff_speedup","remove","",""
"GeishaStormDebuff","GeishaStormDebuff","","","","","","","","40;0;40","-150;-150;-150","sc/effects_brawler_kaze.sc","kaze_def_ulti_screen_glow_shadowed","","","","",""
"GeishaTransformedUltiDamageMark","GeishaTransformedUltiDamageMark","","","","","","","","","","","","","kaze_def_ulti2_mark","remove","","kaze_def_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkSp","GeishaTransformedUltiDamageMarkSp","","","","","","","","","","","","","kaze_def_ulti2_mark","remove","","kaze_def_ulti2_mark_explosion"
"GeishaTransformed003UltiDamageMark","GeishaTransformedUltiDamageMark","","","","","","","","","","","","","kaze_002_ulti2_mark","remove","","kaze_002_ulti2_mark_explosion"
"GeishaTransformed003UltiDamageMarkSp","GeishaTransformedUltiDamageMarkSp","","","","","","","","","","","","","kaze_002_ulti2_mark","remove","","kaze_002_ulti2_mark_sp_explosion"
"GeishaTransformedUltiDamageMarkOvercharged","GeishaTransformedUltiDamageMarkOvercharged","","","","","","","","","","","","","kaze_def_oc_ulti2_mark","remove","","kaze_def_oc_ulti2_mark_explosion"
"GeishaTransformedUltiDamageMarkSpOvercharged","GeishaTransformedUltiDamageMarkSpOvercharged","","","","","","","","","","","","","kaze_def_oc_ulti2_mark","remove","","kaze_def_oc_ulti2_mark_explosion"
"GeishaTransformSpeedBoost","GeishaTransformSpeedBoost","","","","","","","","","","","","","buff_speedup","end","",""
"GeishaTransformInvisibility","GeishaTransformInvisibility","","","","","","","","","","","","","","","",""
"GeishaWeakSpotSlowdown","GeishaWeakSpotSlowdown","","","","","","","","","","","","","slowed","remove","",""
"SkaterMutantTaunt","SkaterMutantTaunt","","","","","","","","","","","","","taunt_effect","end","",""
"TriggerProjectileOnHittingCooldown","TriggerProjectileOnHittingCooldown","","","","","","","","","","","","","","","",""
"MegaBossVulnerableGen","MegaBossVulnerableGen","","","","TRUE","128","64","","","","","","","samurai_mega_stun","remove","",""
"ForceShow","ForceShow","","","","","","","","","","","","","","","",""
"RosaOverchargedUltiAreaSlow","RosaOverchargedUltiAreaSlow","","","","","","","","","","","","","slowed","end","",""
"MutantRosaForceShow","MutantRosaForceShow","","","","","","","","","","","","","","","",""
"MutantGhostIncorporeal","MutantGhostIncorporeal","","","","TRUE","255","255","255","","","","","","","","",""
"SafeInvulnerability","SafeInvulnerability","","","","","","","","","","","","","buff_shield_heist","remove","",""
"Debug","Debug","","","","","","","","","","","","","lumi_def_ulti_explosion_03_restriction","remove","",""
"GusOverchargedDmgProjectile","GusOverchargedDmgProjectile","","","","","","","","","","","","","","","",""
"SpeedWhenUsingUltiAngels","SpeedWhenUsingUltiAngels","SpeedOfAnAngel003","","","","0","0","0","","","","","","speedofanangel002","end","",""
"SpeedBoostOnKillDemons","SpeedBoostOnKillDemons","","","","TRUE","100","0","100","","","","","demonicmomentum_start","demonicmomentum004","end","",""
"ShootProjectileOnBasicAttackCooldown","ShootProjectileOnBasicAttackCooldown","","","","","","","","","","","","","","","",""
"DemonicStatusEffectForProjectiles","DemonicStatusEffectForProjectiles","","","","TRUE","150","150","0","","","","","","poisoned_002","end","",""
"CannonGirlOverchargedStun","CannonGirlOverchargedStun","","","","","","","","","","","","","stunned","end","",""
"DomainOnAreaBuff","DomainOnAreaBuff","","","","","","","","","","","","","buff_speedup","","",""
"DomainDamageReduceSP","DomainDamageReduceSP","","","","","","","","","","","","","buff_damage_down","end","",""
"DomainForceShowSP","DomainForceShowSP","","","","","","","","","","","","","","","",""
"DomainInverseDamageGadget","DomainInverseDamageGadget","","","","","","","","","","","","","trunk_def_gadget2_shield","remove","",""
"DomainOverchargedUltiDamage","DomainOverchargedUltiDamage","","","","","","","","","","","","","trunk_def_oc_ulti_dotdamage","end","",""
"AngelicHot","AngelicHot","","","","","0","0","0","","","","","","heal_over_time_3","end","",""
"IceDudeHypothermia","IceDudeHypothermia","","","","","","","","","","","","","","","",""
"DuplicatorPetTooCloseCripple","DuplicatorPetTooCloseCripple","","","","","","","","","","","","","buff_damage_down","end","",""
"StalkerUltiInvisible","StalkerUltiInvisible","","","","","","","","","","","","","","","",""
"StalkerUltiDamageTargetCurrentHpBoost","StalkerUltiDamageTargetCurrentHpBoost","","","","","","","","","","","","","alli_def_ulti_hp_boost","","",""
"Stalker002UltiDamageTargetCurrentHpBoost","StalkerUltiDamageTargetCurrentHpBoost","","","","","","","","","","","","","alli_002_ulti_hp_boost","","",""
"ElectroSniperCurse","ElectroSniperCurse","","","","","","","","","","","","","gen_debuff_curse","remove","",""
"ElectroSniperTrapExplosionSlow","ElectroSniperTrapExplosionSlow","","","","","","","","","","","","","slowed","end","",""
"DragonRaiderMark","DragonRaiderMark","","","","","","","","","","","","","gen_debuff_curse","remove","",""
"SplitterTag","SplitterTag","","","","","","","","","","","","","rt_def_atk_target","remove","",""
"Splitter002Tag","SplitterTag","","","","","","","","","","","","","rt_002_atk_target","remove","",""
"Splitter004Tag","SplitterTag","","","","","","","","","","","","","rt_004_atk_target","remove","",""
"Splitter005Tag","SplitterTag","","","","","","","","","","","","","rt_005_atk_target","remove","",""
"BullGadgetStun","BullGadgetStun","","","","","","","","","","","","","stunned","end","",""
"BullAreaSlow","BullAreaSlow","","","","","","","","","","","","","slowed","end","",""
"DodgeballDeathStun","DodgeballDeathStun","","","","","","","","","","","","","dodgeball_stun","remove","",""
"SS_JetpackSlow","SS_JetpackSlow","","","","","","","","","","","","","slowed","end","",""
"TrailRunSpeedBoostOnKill","TrailRunSpeedBoostOnKill","","","","","","","","","","","","","trailrun_rubberspeed_3","end","",""
"TrailRunRubberBandSpeedBoost1","TrailRunRubberBandSpeedBoost1","","","","","","","","","","","","","trailrun_rubberspeed_1","end","",""
"TrailRunRubberBandSpeedBoost2","TrailRunRubberBandSpeedBoost2","","","","","","","","","","","","","trailrun_rubberspeed_1","end","",""
"TrailRunRubberBandSpeedBoost3","TrailRunRubberBandSpeedBoost3","","","","","","","","","","","","","trailrun_rubberspeed_2","end","",""
"FurySlowdown","FurySlowdown","","","","","","","","","","","","","slowed","end","",""
"StickyBombUltiSlow","StickyBombUltiSlow","","","","","","","","","","","","","slowed","end","",""
"StickyBombGadgetSlow","StickyBombGadgetSlow","","","","","","","","","","","","","slowed","end","",""
"MaisieUltiSlow","MaisieUltiSlow","","","","","","","","","","","","","slowed","end","",""
"SignalStrikeReload","SignalStrikeReload","","","","","","","","","","","","","","","",""
"MegaCrowPoisonVirus","MegaCrowPoison","","","","TRUE","100","100","0","","","","","","poisoned_014","end","",""
"MegaCrowPoisonVirusStrong","MegaCrowPoisonStrong","","","","TRUE","100","100","0","","","","","","poisoned_014","end","",""
"DancerRootSp","DancerRootSp","","","","","","","","","","","","","mina_def_sp2","remove","",""
"MeepleOverchargedPassWall","MeepleOverchargedPassWall","","","","TRUE","120","120","120","","","","","","","","",""
"MegaBossInvulnerability","SafeInvulnerability","","","","","","","","","","","","","buff_shield_boss_invincible","remove","",""
"MegaBossSplitterTag","MegaBossSplitterTag","","","","","","","","","","","","","rt_005_atk_target","remove","",""
"TrailRunRubberBandSpeedBoost4","TrailRunRubberBandSpeedBoost4","","","","","","","","","","","","","trailrun_rubberspeed_2","end","",""
"TrailRunRubberBandSpeedBoost5","TrailRunRubberBandSpeedBoost5","","","","","","","","","","","","","trailrun_rubberspeed_2","end","",""
"TrailRunRubberBandSpeedBoost6","TrailRunRubberBandSpeedBoost6","","","","","","","","","","","","","trailrun_rubberspeed_3","end","",""
"TrailRunRubberBandSpeedBoost7","TrailRunRubberBandSpeedBoost6","","","","","","","","","","","","","trailrun_rubberspeed_3","end","",""
"ActorPlaceholderRoot","ActorPlaceholderRoot","","","","","","","","","","","","","lumi_def_ulti_explosion_03_restriction","remove","",""
"BulletstormUltiMark","BulletstormUltiMark","","","","","","","","","","","","","pierce_def_ulti_target","remove","",""
"BulletstormUltiOverchargedMark","BulletstormUltiOverchargedMark","","","","","","","","","","","","","pierce_def_oc_target","remove","",""
"BulletstormLastShotSlow","BulletstormLastShotSlow","","","","","","","","","","","","","slowed","end","",""
"BulletstormShellPickupSpeedUp","BulletstormShellPickupSpeedUp","","","","","","","","","","","","","buff_speedup","end","",""
"Bulletstorm002UltiMark","BulletstormUltiMark","","","","","","","","","","","","","pierce_002_ulti_target","remove","",""
"MarksmanHitPoison_S","MarksmanHitPoison_S","","","","TRUE","0","50","0","","","","","","poisoned_001","end","",""
