"Name","Disabled","TimeMs","MinTimeMs","Radius","Damage","DontOverrideDmg","DamageScaleType","CustomValue","CustomValue2","Type","StatusEffectSelf","StatusEffectAlly","StatusEffectEnemy","StatusEffectTickInterval","ActionsSelf","ActionsAlly","ActionsEnemy","ActionsTickInterval","DelayFirstTick","IsPersonal","TargetEnemiesOnly","BulletExplosionBullet","BulletExplosionBulletDistance","BulletExplosionBulletOffset","BulletExplosionItem","ExpandOnDistance","BulletAngleOffset","BulletApplyAngle","DestroysEnvironment","DestroysDecorations","DestroysOnlyBushes","PushbackStrength","PushbackStrengthSelf","PushbackDeadzone","CanStopGrapple","StunTicks","SameAreaEffectCanNotDamageMs","RelatedImmunityAreas","DontShowToEnemy","RequireLineOfSight","ChainAreaEffect","ChainAreaEffect2","ChainAreaEffect3","OverchargedChainAreaEffect","OverchargedChainAreaEffect2","OverchargedChainAreaEffect3","SpawnItem","SnapToTile","DamageScaleDistanceNear","DamageScaleDistanceFar","SourceType","OverHealTicks","StackOverHeal","MaxOverHeal","OverHealMultiplier","AffectOnlyHeroes","AffectProjectiles","IgnoreCharacters","InnerRadius","InnerRadiusDamagePercent","ExpireTypes","CurveBall","CurveBallAddDistance","BooleanAttributes","LifeStealPercent","StatusEffectPassiveMultiplierValues","StatusEffectPassiveMultiplierTickStamps","SuperChargeScalePercent","ReloadDebuffPercent","ReloadDebuffTicks"
"SniperBombExplosion","","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleUltiExplosion","","1400","","450","","","","700","","DelayedDamage","","","","","","","","","","","","","","","","","","","true","","","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BlackHoleUltiSuck","","700","","1200","","","","","","Pushback","","","","","","","","","","","","","","","","","","","","","","-150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeTurretExplosion","","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SelfDestructExplosion","","700","","450","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealWithAutoAttack","","250","","1000","-320","","","","","Heal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BurnMainAttack","","2900","","300","","","","","","Dot","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PowerupSpawn","","5000","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossSpawn","","5000","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EventExplosion","","700","","1200","2000","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ExplosionSpawn","","2500","","800","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombExplosion","","700","","400","","","","3","","BulletExplosion","","","","","","","","","","","","","4","","ClusterMine","90","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombExplosion2","","700","","468","99","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombExplosion_SB","","700","","468","99","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SbcontrollerAreaDestroy","","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sandy_def_ulti","","9000","","2000","","","","","","SmokeScreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EventHealing","","5000","","1000","-1000","","","","","Hot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealingSpawn","","2500","","800","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossExplosion","","700","","1000","2000","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossExplosionSpawn","","2000","","800","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RaidBossRocketBurn","","6900","","1000","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HeroSpawn","","2100","","300","","","","","","HeroSpawn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AutoHeal","","350","","1000","-320","","","","","Heal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RoboWarsBoxSpawn","","2500","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RoboWarsBaseExplosion","","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RoboWarsBaseAreaIndicator","","600000","","4000","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombPetExplosion","","700","","600","99","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BurnUlti","","3900","","600","","","","","","Dot","","","","","","","","","true","","","","","","","","","","","","","","","","","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpikeExplosionLowHealth","","700","","300","","","","6","","BulletExplosion","","","","","","","","","","","","CactusSpike","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DamageBoost","","600000","","1000","35","","1","","","DamageBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DamageBoost_larger","","600000","","1500","50","","1","","","DamageBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDoubleGadget","","1700","","300","340","","","1","","BulletExplosion","","","","2","","","","","","","","ArcadeDoubleBonusSkillProjectile","30","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArcadeDoubleGadgetBuddy","","1700","","300","340","","","1","6","BulletExplosion","","","","2","","","","","","","","ArcadeDoubleBonusSkillBuddyProjectile","30","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MummyUltiArea","","5000","","1700","240","","","","","Dot","","","MummyUltiAreaSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyUltiArea","","850","","1200","300","","","80","","StatusEffect","SpeedyUltiAreaSpeedBoost","SpeedyUltiAreaSpeedBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyUltiOverchargedArea","","850","","1200","300","","","80","","StatusEffect","SpeedyOverchargedUltiAreaSpeedBoost","SpeedyOverchargedUltiAreaSpeedBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyOverchargedArea","","100","","800","200","","","200","","StatusEffect","SpeedyOverchargedAreaSpeedBoost","SpeedyOverchargedAreaSpeedBoost","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyOverchargedArea2","","100","","800","200","","","1000","","ChargeSuper","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyOverchargedBuddyWeaponArea","","250","","1200","350","","","","","GiveUlti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyRewindArea","","3000","","200","100","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SpeedyRewindAllyHealArea","","250","","1000","0","","","","","Heal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTFHomeBase","","600000","","1000","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerUltiArea","","1000","","1500","","","","","","Pushback","","","","","","","","","","","","","","","","","","","","","","-150","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerOverchargedUltiArea","","1000","","1500","","","","","","Pushback","","","DrillerOverchargedUltiAreaSlow","","","","","","","","","","","","","","","","","","","-150","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerDamageArea","","300","","1000","1240","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KingOfHillArea","","600000","","1000","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KingOfHillAreaCapture","","600000","","1000","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KingOfHillAreaGauge","","600000","","1000","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KingOfHillAreaComplete","","600000","","1000","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyUltiArea","","500","","400","800","","","","","WallSpawn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyExplosion","","700","","600","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyOverchargedUltiArea","","500","","400","800","","","1","","WallSpawn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WallyOverchargedUltiWallDamageArea","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyOverchargedUltiWallDamageArea","","10000","","400","500","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BushGrowArea","","500","","600","800","","","","","WallSpawn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketJumpExplosion","","700","","800","25","","1","","","Damage","","","","","","","","","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeAccessoryExplosion","","700","","600","200","","5","8","","BulletExplosion","","","","","","","","","","","","TrickshotDudeGadgetProjectile","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeNanoExplosion","","700","","600","120","","1","4","","BulletExplosion","","","","","","","","","","","","TrickshotDudeNanoProjectile","35","","","","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TrickshotDudeNanoSuperExplosion","","700","","600","120","","1","8","","BulletExplosion","","","","","","","","","","","","TrickshotDudeNanoProjectile","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CactusAccessoryExplosion","","700","","600","100","","1","3","","BulletExplosion","","","","","","","","","","","","CactusSpikeGadget","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeAccessoryExplosion","","700","","800","1500","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanBearSlam","","4500","","1000","","","","20","","Stun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepSlowPuddle","","4000","","1000","","","","","","StatusEffect","","","BarkeepPuddleSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepSlowPuddleSmall","","1000","","500","","","","","","StatusEffect","","","BarkeepPuddleSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MechanicSlowArea","","1000","","1300","","","","","","StatusEffect","","","MechanicTurretAreaSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookDudePushback","","700","","800","","","","","","Pushback","","","","","","","","","","","","","","","","","","","","","","150","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDashMine","","700","","800","700","","1","1","","BulletExplosion","","","","","","","","","","","","","0","","ClusterMine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeTowerBurstHeal","","250","","1000","-20","","2","","","Heal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WhirlwindTrail","","3900","","300","","","","","","StatusEffect","","","WhirlwindTrailFire","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MummyAccessoryPushback","","700","","800","65","","1","","","Damage","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PocoRegenArea","","250","","1000","-10","","2","100","","HealRegen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerSwingDamage","","300","","1000","100","","1","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BeeSniperSlowArea","","600000","","1200","","","","","","StatusEffect","","","BeeSniperAreaSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BeeSniperSlowAreaNanoPower","","6000","","480","","","","","","StatusEffect","","","BeeSniperAreaSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BowDudeSuperChargeArea","","600000","","1600","","","","50","","ExtraSuperCharge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DrillerReflectArea","","500","","1200","0","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WallyExplosionBig","","700","","750","","","","","","Damage","","","","","","","","","","","","","","","","","","","","","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ControllerUltiExplosion","","700","","500","","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossTownCrushAoEArea","","500","","1000","1200","","","40","","Stun","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRaceBossRocketExplosion","","700","","1000","2000","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRaceBossRocketBurn","","6900","","1000","","","","","","Dot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorMeteorSpawn","","2500","","800","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LuchadorMeteorExplosion","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorMeteorSpawnSmall","","2500","","800","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LuchadorMeteorExplosionPassive","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorMeteorExplosion","","700","","1000","","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorMeteorExplosionPassive","","700","","1000","1000","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarkeepHealingArea","","4500","","800","","","","","","Hot","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PetrolDistributionArea","","500","","800","","","","","","PetrolDistribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OverchargedPetrolDistributionArea","","500","","1600","","","","","","PetrolDistribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PetrolDistributionTrail","","500","","300","","","","","","PetrolDistribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PetrolFire","","500","","300","","","","","","StatusEffect","","","PetrolFire","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PetrolFireOvercharged","","2000","","300","","","","","","StatusEffect","","","PetrolFireOvercharged","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DamageBoostPlugInLogic","","600000","","1000","35","","","","","DamageBoost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullSlowArea","","1000","","900","","","","","","StatusEffect","","","BullAreaSlow","2","","","","","","","true","","","","","","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullStunArea","","100","","900","","","","","","StatusEffect","","","BullGadgetStun","2","","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelBotSlowArea","","4000","","700","","","","","","StatusEffect","","","BarrelBotGadgetSlow","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PetrolDistributionGadget","","500","","600","","","","","","PetrolDistribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BrockAttackAreaGadget","","700","","600","","","","","","Damage","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TeleportTileLeave","","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TeleportTileArrive","","700","","300","","","","","","Effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IceDudeUltiArea","","10000","","1100","","","","90","7","Slippery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SnakeOilUltiExplosion","","500","","800","","","3","","","HealAndDamage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
