"Name","TID","TicketsInWinGamesDraw","TicketsInCollabDraw","TicketsInPresentDraw","Rarity","IsRarityOfferContainer","GroupType","ShuffleRandomizeRewards","CustomRewards","IsOverchargeDraw","IsRankedDraw","CollabId","MultiDropCount","DropCountRates","SplitCount0Tickets","SplitCount1Tickets","SplitCount2Tickets","SplitCount3Tickets","PremiumDrawCountForMultiDrops","SCW","VisualType","TransitionExportName","SCFilename","TargetClip","SlashesNeeded","SlashClawEffect","SlashClawShadow","SlashClawCount","SoundSlash","CustomBgExportName","BackgroundFrameLabel","ChargeProgressClip","HoldChargeEffect","TouchEffectFilename","TouchEffectExportName","TapEffectClip1","TapEffectClip2","TapEffectClip3","TapEffectClipBg","UpgradeEffectClip","UpgradeEffectClipBg","FinalContainerEffectClip","FinalContainerEffectClipBg","OpeningEffectClip","OpeningEffectClipBg","RewardsLeftIcon","OpeningInstruction","Intro3DAnimStart","Intro3DAnimEnd","Idle3DAnimStart","Idle3DAnimEnd","Miss3DAnimStart","Miss3DAnimEnd","Upgrade3DAnimStart","Upgrade3DAnimEnd","Open3DAnimStart","Open3DAnimEnd","SoundAppear","SoundCharge","SoundMiss","SoundUpgrade","SoundReadyToOpen","SoundReadyToOpen2","SoundOpen","FaceFileName","FaceIdleExportName","FaceUpgradeExportName","FaceOpenExportName","SoloOfferDefaultBgFrameName","SoloOfferDefaultTitleTID","RarityFrameLabel","AnimationSCW","PiggyTap1","PiggyTap2","PiggyTap3","PiggyTap4","PiggyTapBackground1","PiggyTapBackground2","PiggyTapBackground3","PiggyTapBackground4","PiggyTapBackgroundFinal","PiggyTapBackgroundFinalBg","CustomAnimationNames","CustomAnimationStartFrames","CustomAnimationEndFrames","DescriptionExportName","GachaSummaryExportNameOverride","SeasonBox","SeasonBoxLevel","TextLinePrefix","TextLineVOPrefix"
"SuperRareCollabDrop",,,25,,2,,,,,,,,,,,,,,,,"SLASHING",,,"collab_random_reward_opening",4,,,4,"Eggslash_Sfx_05",,"super_rare",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_superrare","gacha_vfx_superrare_bg","gacha_vfx_open","gacha_vfx_open_light_bg","gacha_random_reward_icon",,0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_super_rare","TID_SHOP_STARR_DROP_SUPER_RARE","super_rare",,,,,,,,,,,,,,,,,,,,
"EpicCollabDrop",,,16,,3,,,,,,,,,,,,,,,,"SLASHING",,,"collab_random_reward_opening",5,,,4,"Eggslash_Sfx_09",,"epic",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_epic","gacha_vfx_epic_bg","gacha_vfx_open","gacha_vfx_open_light_bg","gacha_random_reward_icon",,0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Epic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_epic","TID_SHOP_STARR_DROP_EPIC","epic",,,,,,,,,,,,,,,,,,,,
"MythicCollabDrop",,,6,,4,,,,,,,,,,,,,,,,"SLASHING",,,"collab_random_reward_opening",6,,,4,"Eggslash_Sfx_14",,"mythic",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg","gacha_random_reward_icon",,0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,,,,,,,
"LegendaryCollabDrop",,,3,,5,,,,,,,,,,,,,,,,"SLASHING",,,"collab_random_reward_opening",18,,,4,"Eggslash_Sfx_20",,"legendary",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_legendary","gacha_vfx_legendary_bg","gacha_vfx_open","gacha_vfx_open_bg","gacha_random_reward_icon",,0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_legendary","TID_SHOP_STARR_DROP_LEGENDARY","legendary",,,,,,,,,,,,,,,,,,,,
"MegaBox",,,,,,,,,,,,2,10,,,,,,,"sc3d/megabox_geo.glb","CHEST","gacha_whiteflash",,,,,,,,"gatcha_screen_lootbox_appear","no_rarity",,,,,,,,,,,,,,,"gacha_random_reward_icon",,,,,,,,,,,,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade",,"Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic",,"no_rarity",,,,,,,,,,,,,,,,,,,,
"AngelicStar",,,,,,,,,,,,9,,,,,,,,"sc3d/star_angel_level_3.glb","CHARGING",,,,,,,,,"collab_bg_star_angels","no_rarity","collab_gacha_radial_progress_angels",,"sc/effects.sc","dynamike_spark","gacha_vfx_tap",,,,,,"gacha_vfx_superrare","gacha_vfx_superrare_bg","gacha_vfx_open","gacha_vfx_open_bg","gacha_random_reward_icon",,0,54,55,80,0,0,0,0,84,119,"Angelic_Drop_Appear","Angelic_Drop_Tap_Open_6secs","UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_rare","Angelic_Drop_Open","characters.sc","starr_angel_idle","starr_angel_charge","starr_angel_open","offer_rarity_super_rare","TID_SHOP_STARR_DROP_SUPER_RARE","super_rare",,,,,,,,,,,,,,,,,,,,
"DemonicStar",,,,,,,,,,,,9,,,,,,,,"sc3d/star_demon_level_3.glb","CHARGING",,,,,,,,,"collab_bg_star_demons","no_rarity","collab_gacha_radial_progress_demons",,"sc/effects.sc","dynamike_spark","gacha_vfx_tap",,,,,,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg","gacha_random_reward_icon",,0,54,55,80,0,0,0,0,84,119,"Demonic_Drop_Appear","Demonic_Drop_Tap_Open_6secs","UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic","Demonic_Drop_Open","characters.sc","starr_demon_idle","starr_demon_charge","starr_demon_open","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,,,,,,,
"SeasonBoxLevel1","TID_SEASON_BOX_LEVEL_1",,,,,,"SEASON_BOX",,,,,,4,,,,,,,"sc3d/bling_box_1_geo.glb",,,,,,,,,,"gatcha_screen_blingbox_level1_appear","no_rarity",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_rare","gacha_vfx_rare_bg","blingbox_vfx_open_lvl_1",,"gacha_random_reward_icon",,0,49,50,199,199,199,199,199,200,260,"Blingbox_1_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Rare_VO","Reveal_rare","Blingbox_1_Open",,,,,"offer_rarity_rare","TID_SEASON_BOX_LEVEL_1","level_1",,,,,,,,,,,,,,,,,"TRUE",1,,
"SeasonBoxLevel2","TID_SEASON_BOX_LEVEL_2",,,,,,"SEASON_BOX",,,,,,8,,,,,,1,"sc3d/bling_box_2_geo.glb",,,,,,,,,,"gatcha_screen_blingbox_level2_appear","no_rarity",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_superrare","gacha_vfx_superrare_bg","blingbox_vfx_open_lvl_2",,"gacha_random_reward_icon",,0,49,50,199,199,199,199,199,200,260,"Blingbox_2_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_rare","Blingbox_2_Open",,,,,"offer_rarity_super_rare","TID_SEASON_BOX_LEVEL_2","level_2",,,,,,,,,,,,,,,,,"TRUE",2,,
"SeasonBoxLevel3","TID_SEASON_BOX_LEVEL_3",,,,,,"SEASON_BOX",,,,,,12,,,,,,1,"sc3d/bling_box_3_geo.glb",,,,,,,,,,"gatcha_screen_blingbox_level3_appear","no_rarity",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_epic","gacha_vfx_epic_bg","blingbox_vfx_open_lvl_3",,"gacha_random_reward_icon",,0,49,50,199,199,199,199,199,200,260,"Blingbox_3_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Epic_VO","Reveal_epic","Blingbox_3_Open",,,,,"offer_rarity_epic","TID_SEASON_BOX_LEVEL_3","level_3",,,,,,,,,,,,,,,,,"TRUE",3,,
"SeasonBoxLevel4","TID_SEASON_BOX_LEVEL_4",,,,,,"SEASON_BOX",,,,,,16,,,,,,1,"sc3d/bling_box_4_geo.glb",,,,,,,,,,"gatcha_screen_blingbox_level4_appear","no_rarity",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_mythic","gacha_vfx_mythic_bg","blingbox_vfx_open_lvl_4",,"gacha_random_reward_icon",,0,49,50,199,199,199,199,199,200,260,"Blingbox_4_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic","Blingbox_4_Open",,,,,"offer_rarity_mythic","TID_SEASON_BOX_LEVEL_4","level_4",,,,,,,,,,,,,,,,,"TRUE",4,,
"SeasonBoxLevel5","TID_SEASON_BOX_LEVEL_5",,,,,,"SEASON_BOX",,,,,,20,,,,,,1,"sc3d/bling_box_5_geo.glb",,,,,,,,,,"gatcha_screen_blingbox_level5_appear","no_rarity",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_legendary","gacha_vfx_legendary_bg","blingbox_vfx_open_lvl_5",,"gacha_random_reward_icon",,0,49,50,199,199,199,199,199,200,260,"Blingbox_5_Drop",,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_legendary","Blingbox_5_Open",,,,,"offer_rarity_legendary","TID_SEASON_BOX_LEVEL_5","level_5",,,,,,,,,,,,,,,,,"TRUE",5,,
"RarePresentDrop","TID_SHOP_OFFER_TITLE_60",,,40,1,,,,,,,7,,,,,,,,,"SLASHING",,"sc/gacha.sc","gacha_gift_random_reward_opening",4,"gacha_slash_green","false",1,"Eggslash_Sfx_01","gacha_gift_random_reward_opening_bg","rare",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_rare","gacha_vfx_rare_bg","gacha_vfx_open","gacha_vfx_open_light_bg","gacha_gift_icon","collab_godzilla_gacha_opening_hint",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Rare_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_rare","TID_SHOP_STARR_DROP_RARE","rare",,,,,,,,,,,,,,,,,,,,
"SuperRarePresentDrop","TID_SHOP_OFFER_TITLE_60",,,25,2,,,,,,,7,,,,,,,,,"SLASHING",,"sc/gacha.sc","gacha_gift_random_reward_opening",4,"gacha_slash_blue","false",1,"Eggslash_Sfx_05","gacha_gift_random_reward_opening_bg","super_rare",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_superrare","gacha_vfx_superrare_bg","gacha_vfx_open","gacha_vfx_open_light_bg","gacha_gift_icon","collab_godzilla_gacha_opening_hint",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Super_Rare_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_super_rare","TID_SHOP_STARR_DROP_SUPER_RARE","super_rare",,,,,,,,,,,,,,,,,,,,
"EpicPresentDrop","TID_SHOP_OFFER_TITLE_60",,,20,3,,,,,,,7,,,,,,,,,"SLASHING",,"sc/gacha.sc","gacha_gift_random_reward_opening",5,"gacha_slash_pink","false",1,"Eggslash_Sfx_09","gacha_gift_random_reward_opening_bg","epic",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_epic","gacha_vfx_epic_bg","gacha_vfx_open","gacha_vfx_open_light_bg","gacha_gift_icon","collab_godzilla_gacha_opening_hint",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Epic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_epic","TID_SHOP_STARR_DROP_EPIC","epic",,,,,,,,,,,,,,,,,,,,
"MythicPresentDrop","TID_SHOP_OFFER_TITLE_60",,,10,4,,,,,,,7,,,,,,,,,"SLASHING",,"sc/gacha.sc","gacha_gift_random_reward_opening",6,"gacha_slash_red","false",1,"Eggslash_Sfx_14","gacha_gift_random_reward_opening_bg","mythic",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_mythic","gacha_vfx_mythic_bg","gacha_vfx_open","gacha_vfx_open_bg","gacha_gift_icon","collab_godzilla_gacha_opening_hint",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Mythic_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic","TID_SHOP_STARR_DROP_MYTHIC","mythic",,,,,,,,,,,,,,,,,,,,
"LegendaryPresentDrop","TID_SHOP_OFFER_TITLE_60",,,5,5,,,,,,,7,,,,,,,,,"SLASHING",,"sc/gacha.sc","gacha_gift_random_reward_opening",18,"gacha_slash_yellow","false",1,"Eggslash_Sfx_20","gacha_gift_random_reward_opening_bg","legendary",,,,,"gacha_vfx_tap",,,,,,"gacha_vfx_legendary","gacha_vfx_legendary_bg","gacha_vfx_open","gacha_vfx_open_bg","gacha_gift_icon","collab_godzilla_gacha_opening_hint",0,11,15,45,65,75,65,75,125,157,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade","UI_Meta_Star_Legendary_VO","Reveal_epic",,"characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_legendary","TID_SHOP_STARR_DROP_LEGENDARY","legendary",,,,,,,,,,,,,,,,,,,,
"SplitterRare",,,35,,,,,,,,,8,1,,,,,,,,"SPLITTER",,"sc/gacha.sc","gacha_sushi_random_reward_opening",4,,,,,,"rare",,,,,"sushi_gacha_tap","sushi_gacha_tap2","sushi_gacha_tap3",,,,,,"sushi_gacha_open_anim","gacha_vfx_open_bg",,,,,,,,,,,,,,,,,,,,,,,,,,"rare",,,,,,,,,,,,,,,"gacha_sushi_opening_description_screen_hud_bottom",,,,,
"SplitterSuperRare",,,22,,,,,,,,,8,2,,,,,,,,"SPLITTER",,"sc/gacha.sc","gacha_sushi_random_reward_opening",4,,,,,,"super_rare",,,,,"sushi_gacha_tap","sushi_gacha_tap2","sushi_gacha_tap3",,,,,,"sushi_gacha_open_anim","gacha_vfx_open_bg",,,,,,,,,,,,,,,,,,,,,,,,,,"super_rare",,,,,,,,,,,,,,,"gacha_sushi_opening_description_screen_hud_bottom",,,,,
"SplitterEpic",,,2,,,,,,,,,8,4,,,,,,1,,"SPLITTER",,"sc/gacha.sc","gacha_sushi_random_reward_opening",4,,,,,,"epic",,,,,"sushi_gacha_tap","sushi_gacha_tap2","sushi_gacha_tap3",,,,,,"sushi_gacha_open_anim","gacha_vfx_open_bg",,,,,,,,,,,,,,,,,,,,,,,,,,"epic",,,,,,,,,,,,,,,"gacha_sushi_opening_description_screen_hud_bottom",,,,,
"SplitterMythic",,,1,,,,,,,,,8,8,,,,,,1,,"SPLITTER",,"sc/gacha.sc","gacha_sushi_random_reward_opening",4,,,,,,"mythic",,,,,"sushi_gacha_tap","sushi_gacha_tap2","sushi_gacha_tap3",,,,,,"sushi_gacha_open_anim","gacha_vfx_open_bg",,,,,,,,,,,,,,,,,,,,,,,,,,"mythic",,,,,,,,,,,,,,,"gacha_sushi_opening_description_screen_hud_bottom",,,,,
"DancerBrawlerBox","TID_BRAWLER_BOX_DANCER",,,,,,"BRAWLER_BOX",,,,,,8,,,,,,,"sc3d/dancer_brawlerbox_geo.glb","CHEST","gacha_whiteflash",,,,,,,,"gatcha_screen_brawler_mina_appear","no_rarity",,,,,,,,,,,,,"brawlerbox_vfx_open",,"gacha_random_reward_icon",,,,,,,,,,,,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade",,"Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","dancer",,"no_rarity",,,,,,,,,,,,,,,,"gatcha_summary_dancer_brawler_box",,,,
"GraffitiBox","TID_SHOP_OFFER_TITLE_73",,,,,,"GRAFFITI_BOX",,,,,10,6,,,,,,1,"sc3d/graffiti_box_geo.glb","CHEST","gacha_whiteflash",,,,,,,,"gatcha_screen_graffitibox_appear","no_rarity",,,,,,,,,,,,,"graffitibox_vfx_open",,"gacha_random_reward_icon",,,,,,,,,,,,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade",,"Reveal_epic","BSX_Toy_Hoverboard_Use","characters.sc","starr_01_idle","starr_01_change","starr_01_final","offer_rarity_mythic",,"no_rarity",,,,,,,,,,,,,,,,,,,,
"FuryBrawlerBox","TID_BRAWLER_BOX_FURY",,,,,,"BRAWLER_BOX",,,,,,8,,,,,,,"sc3d/fury_brawlerbox_geo.glb","CHEST","gacha_whiteflash",,,,,,,,"gatcha_screen_brawler_ziggy_appear","no_rarity",,,,,,,,,,,,,"brawlerbox_vfx_open",,"gacha_random_reward_icon",,,,,,,,,,,,,,"UI_Meta_Star_Tap_No_Upgrade","UI_Meta_Star_Tap_Upgrade",,"Reveal_epic","UI_Meta_Star_Tap_Explode","characters.sc","starr_01_idle","starr_01_change","starr_01_final","fury",,"no_rarity",,,,,,,,,,,,,,,,"gatcha_summary_fury_brawler_box",,,,
