"Name","Characters","BlingSkins","BlingIconExportName","SkinGachaPrice","GachaPrice","FallbackForDonation","PurchasePrice","BuddyCards","BuddySkin","CardIconExportName","InfoPopupSfx","ShopScreen","ClawScreen","ClawMachinePanelExportName","BlingClawScreen","BlingMachinePanelExportName","ClawJoystickExportName","ClawButtonExportName","BlingClawJoystickExportName","BlingClawButtonExportName","Disabled"
"RetropolisClawMachine","Baseball","BaseballBuddyBlingChroma","buddy_icon_bibi_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","Baseball_Buddy_Gadgets","BaseballBuddyGadget","buddy_icon_bibi_gadget","Claw_Gacha_Show_Gadget_Buffie","buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_retropolis","claw_machine_screen_","buddy_shop_claw_machine_retropolis","claw_machine_retropolis_screen_hud_bottom_left","claw_machine_retropolis_screen_hud_bottom_right","claw_machine_retropolis_bling_screen_hud_bottom_left","claw_machine_retropolis_bling_screen_hud_bottom_right",
,"Crow","CrowBuddyBlingChroma","buddy_icon_crow_skin_bling",,"COINS#1000",,"GEMS#179","Baseball_Buddy_Starpowers","BaseballBuddySP","buddy_icon_bibi_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,"BullDude","BullBuddyBlingChroma","buddy_icon_bull_skin_bling",,,,"GEMS#199","Baseball_Buddy_Overcharge","BaseballBuddyHC","buddy_icon_bibi_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Crow_Buddy_Gadgets","CrowBuddyGadget","buddy_icon_crow_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Crow_Buddy_Starpowers","CrowBuddySP","buddy_icon_crow_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Crow_Buddy_Overcharge","CrowBuddyHC","buddy_icon_crow_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","BullDude_Buddy_Gadgets","BullBuddyGadget","buddy_icon_bull_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","BullDude_Buddy_Starpowers","BullBuddySP","buddy_icon_bull_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","BullDude_Buddy_Overcharge","BullBuddyHC","buddy_icon_bull_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
"MortuaryClawMachine","Mummy","MummyBuddyBlingChroma","buddy_icon_emz_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","Mummy_Buddy_Gadgets","MummyGirlBuddyGadget","buddy_icon_emz_gadget","Claw_Gacha_Show_Gadget_Buffie","buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_mortuary","claw_machine_screen_","buddy_shop_claw_machine_mortuary","claw_machine_mortuary_screen_hud_bottom_left","claw_machine_mortuary_screen_hud_bottom_right","claw_machine_mortuary_bling_screen_hud_bottom_left","claw_machine_mortuary_bling_screen_hud_bottom_right",
,"HammerDude","HammerDudeBuddyBlingChroma","buddy_icon_frank_skin_bling",,"COINS#1000",,"GEMS#179","Mummy_Buddy_Starpowers","MummyGirlBuddySP","buddy_icon_emz_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,"Undertaker","UndertakerBuddyBlingChroma","buddy_icon_mortis_skin_bling",,,,"GEMS#199","Mummy_Buddy_Overcharge","MummyGirlBuddyHC","buddy_icon_emz_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","HammerDude_Buddy_Gadgets","HammerDudeBuddyGadget","buddy_icon_frank_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","HammerDude_Buddy_Starpowers","HammerDudeBuddySP","buddy_icon_frank_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","HammerDude_Buddy_Overcharge","HammerDudeBuddyHC","buddy_icon_frank_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Undertaker_Buddy_Gadgets","UndertakerBuddyGadget","buddy_icon_mortis_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Undertaker_Buddy_Starpowers","UndertakerBuddySP","buddy_icon_mortis_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Undertaker_Buddy_Overcharge","UndertakerBuddyHC","buddy_icon_mortis_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
"RumbleJungleClawMachine","BowDude","BowDudeBuddyBlingChroma","buddy_icon_bo_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","Bowdude_Buddy_Gadgets","BowDudeBuddyGadget","buddy_icon_bo_gadget","Claw_Gacha_Show_Gadget_Buffie","buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_rumblejungle","claw_machine_screen_","buddy_shop_claw_machine_rumblejungle","claw_machine_rumblejungle_screen_hud_bottom_left","claw_machine_rumblejungle_screen_hud_bottom_right","claw_machine_rumblejungle_bling_screen_hud_bottom_left","claw_machine_rumblejungle_bling_screen_hud_bottom_right",
,"Shaman","ShamanBuddyBlingChroma","buddy_icon_nita_skin_bling",,"COINS#1000",,"GEMS#179","Bowdude_Buddy_Starpowers","BowDudeBuddySP","buddy_icon_bo_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,"Ninja","NinjaBuddyBlingChroma","buddy_icon_leon_skin_bling",,,,"GEMS#199","BowDude_Buddy_Overcharge","BowDudeBuddyHC","buddy_icon_bo_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Shaman_Buddy_Gadgets","ShamanBuddyGadget","buddy_icon_nita_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Shaman_Buddy_Starpowers","ShamanBuddySP","buddy_icon_nita_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Shaman_Buddy_Overcharge","ShamanBuddyHC","buddy_icon_nita_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Ninja_Buddy_Gadgets","NinjaBuddyGadget","buddy_icon_leon_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Ninja_Buddy_Starpowers","NinjaBuddySP","buddy_icon_leon_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Ninja_Buddy_Overcharge","NinjaBuddyHC","buddy_icon_leon_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
"GiftshopClawMachine","Enrager","EnragerBuddyBlingChroma","buddy_icon_edgar_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","Enrager_Buddy_Gadgets","EnragerBuddyGadget","buddy_icon_edgar_gadget","Claw_Gacha_Show_Gadget_Buffie","buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_giftshop","claw_machine_screen_","buddy_shop_claw_machine_giftshop","claw_machine_giftshop_screen_hud_bottom_left","claw_machine_giftshop_screen_hud_bottom_right","claw_machine_giftshop_bling_screen_hud_bottom_left","claw_machine_giftshop_bling_screen_hud_bottom_right",
,"Percenter","PercenterBuddyBlingChroma","buddy_icon_colette_skin_bling",,"COINS#1000",,"GEMS#179","Enrager_Buddy_Starpowers","EnragerBuddySP","buddy_icon_edgar_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,"AssaultShotgun","AssaultShotgunBuddyBlingChroma","buddy_icon_griff_skin_bling",,,,"GEMS#199","Enrager_Buddy_Overcharge","EnragerBuddyHC","buddy_icon_edgar_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Percenter_Buddy_Gadgets","PercenterBuddyGadget","buddy_icon_colette_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Percenter_Buddy_Starpowers","PercenterBuddySP","buddy_icon_colette_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Percenter_Buddy_Overcharge","PercenterBuddyHC","buddy_icon_colette_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","AssaultShotgun_Buddy_Gadgets","AssaultShotgunBuddyGadget","buddy_icon_griff_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","AssaultShotgun_Buddy_Starpowers","AssaultShotgunBuddySP","buddy_icon_griff_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","AssaultShotgun_Buddy_Overcharge","AssaultShotgunBuddyHC","buddy_icon_griff_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
"ArcadeClawMachine","RocketGirl","RocketGirlBuddyBlingChroma","buddy_icon_brock_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","RocketGirl_Buddy_Gadgets","RocketGirlBuddyGadget","buddy_icon_brock_gadget","Claw_Gacha_Show_Gadget_Buffie","buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_arcade","claw_machine_screen_","buddy_shop_claw_machine_arcade","claw_machine_arcade_screen_hud_bottom_left","claw_machine_arcade_screen_hud_bottom_right","claw_machine_arcade_bling_screen_hud_bottom_left","claw_machine_arcade_bling_screen_hud_bottom_right",
,"Arcade","ArcadeBuddyBlingChroma","buddy_icon_8bit_skin_bling",,"COINS#1000",,"GEMS#179","RocketGirl_Buddy_Starpowers","RocketGirlBuddySP","buddy_icon_brock_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,"TrickshotDude","TrickshotDudeBuddyBlingChroma","buddy_icon_rico_skin_bling",,,,"GEMS#199","RocketGirl_Buddy_Overcharge","RocketGirlBuddyHC","buddy_icon_brock_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","TrickshotDude_Buddy_Gadgets","TrickshotDudeBuddyGadget","buddy_icon_rico_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","TrickshotDude_Buddy_Starpowers","TrickshotDudeBuddySP","buddy_icon_rico_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","TrickshotDude_Buddy_Overcharge","TrickshotDudeBuddyHC","buddy_icon_rico_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Arcade_Buddy_Gadgets","ArcadeBuddyGadget","buddy_icon_8bit_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Arcade_Buddy_Starpowers","ArcadeBuddySP","buddy_icon_8bit_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Arcade_Buddy_Overcharge","ArcadeBuddyHC","buddy_icon_8bit_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
"SuperCityMachine","MechaDude","MechaDudeBuddyBlingChroma","buddy_icon_meg_skin_bling","BLING#10000","POWER_POINTS#2000","POWER_POINTS#1000","GEMS#149","MechaDude_Buddy_Gadgets","MechaDudeBuddyGadget","buddy_icon_meg_gadget","Claw_Gacha_Show_Gadget_Buffie","buddy_shop_screen_","claw_machine_screen_","buddy_shop_claw_machine_supercity","claw_machine_screen_","buddy_shop_claw_machine_supercity","claw_machine_supercity_screen_hud_bottom_left","claw_machine_supercity_screen_hud_bottom_right","claw_machine_supercity_bling_screen_hud_bottom_left","claw_machine_supercity_bling_screen_hud_bottom_right",
,"Speedy","SpeedyBuddyBlingChroma","buddy_icon_max_skin_bling",,"COINS#1000",,"GEMS#179","MechaDude_Buddy_Starpowers","MechaDudeBuddySP","buddy_icon_meg_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,"PowerLeveler","PowerLevelerBuddyBlingChroma","buddy_icon_surge_skin_bling",,,,"GEMS#199","MechaDude_Buddy_Overcharge","MechaDudeBuddyHC","buddy_icon_meg_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","PowerLeveler_Buddy_Gadgets","PowerLevelerBuddyGadget","buddy_icon_surge_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","PowerLeveler_Buddy_Starpowers","PowerLevelerBuddySP","buddy_icon_surge_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","PowerLeveler_Buddy_Overcharge","PowerLevelerBuddyHC","buddy_icon_surge_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
,,,,,,,"GEMS#149","Speedy_Buddy_Gadgets","SpeedyBuddyGadget","buddy_icon_max_gadget","Claw_Gacha_Show_Gadget_Buffie",,,,,,,,,,
,,,,,,,"GEMS#179","Speedy_Buddy_Starpowers","SpeedyBuddySP","buddy_icon_max_star_power","Claw_Gacha_Show_Star_Buffie",,,,,,,,,,
,,,,,,,"GEMS#199","Speedy_Buddy_Overcharge","SpeedyBuddyHC","buddy_icon_max_hypercharge","Claw_Gacha_Show_Hyper_Buffie",,,,,,,,,,
