"Name","Collab","Contest","EventSlot","ExtendedSpecialEventHero","GameModeVariation","EventModifier","TomlClipConfig","ClipOverrideSWF","ClipOverrideExportName","ModeOverrideSWF","ModeOverrideIconName","ModeOverrideRoomIconName","ModeOverrideRoomFrameLabel","BannerOverrideSWF","BannerOverrideExportName","ModeBigCoverSWF","ModeBigCoverExportName","HideDefaultTextsFromBanner","HideDefaultTimeFromBanner","HideGameModeGraphicsWhileTall","IdleFrameLabel","DefaultModeTID","ChatSuggestionItemNameOverride","EventIconNameOverride","UseBrawlerEarlyAccessItems"
"ToyStoryScoreboardBrawlBall2v2","Toys","ArcadePlanetContest","Contest",,"BrawlBall2v2",,,,,,"event_icon_brawlball_2v2","event_2v2_brawlball_contest_banner",,,,,"event_2v2_brawlball_contest_cover","TRUE","TRUE","TRUE","contest",,,,
"ToyStoryScoreboardKnockout2v2","Toys","ArcadePlanetContest","Contest",,"Knockout2v2",,,,,,"event_icon_knockout_2v2","event_2v2_knockout_contest_banner",,,,,"event_2v2_knockout_contest_cover","TRUE","TRUE","TRUE","contest",,,,
"ToyStoryScoreboardKingOfHill2v2","Toys","ArcadePlanetContest","Contest",,"KingOfHill2v2",,,,,,"event_icon_king_of_hill_2v2","event_2v2_king_of_hill_contest_banner",,,,,"event_2v2_king_of_hill_contest_cover","TRUE","TRUE","TRUE","contest",,,,
"ToyStoryScoreboardBasketBrawl2v2","Toys","ArcadePlanetContest","Contest",,"BasketBrawl2v2",,,,,,"event_icon_basketbrawl_2v2","event_2v2_basketbrawl_contest_banner",,,,,"event_2v2_basketbrawl_contest_cover","TRUE","TRUE","TRUE","contest",,,,
"ToyStoryScoreboardPayloadSingle2v2","Toys","ArcadePlanetContest","Contest",,"PayloadSingle2v2",,,,,,"event_icon_payload_single","event_2v2_payload_single_contest_banner",,,,,"event_2v2_payload_single_contest_cover","TRUE","TRUE","TRUE","contest",,,,
"ToyStoryScoreboardAirHockey2v2","Toys","ArcadePlanetContest","Contest",,"AirHockey2v2",,,,,,"event_icon_air_hockey","event_2v2_air_hockey_contest_banner",,,,,"event_2v2_air_hockey_contest_cover","TRUE","TRUE","TRUE","contest",,,,
"ToyStoryAirHockey",,,,,"AirHockey",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryGemGrab2v2",,,,,"GemGrab2v2",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryPayloadSingle",,,,,"PayloadSingle",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryBrawlBall2v2",,,,,"BrawlBall2v2",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryKnockout2v2",,,,,"Knockout2v2",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryKingOfHill2v2",,,,,"KingOfHill2v2",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryBasketBrawl2v2",,,,,"BasketBrawl2v2",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryPayloadSingle2v2",,,,,"PayloadSingle2v2",,,,,,,,,,,,,"TRUE",,,,,,,
"ToyStoryAirHockey2v2",,,,,"AirHockey2v2",,,,,,,,,,,,,"TRUE",,,,,,,
"WasabiContestSamuraiSmashOverrides",,,"Contest",,"SamuraiSmash",,,,"event_samuraismash_contest_banner",,,"event_samuraismash_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"WasabiContestHeistOverrides",,,"Contest",,"Heist",,,,"event_heist_contest_banner",,,"event_heist_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"WasabiContestSamuraiSmashOverrides5v5",,,"Contest",,"SamuraiSmash5v5",,,,"event_samuraismash_contest_banner",,,"event_samuraismash_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"WasabiContestBrawlBallOverrides",,,"Contest",,"BrawlBall",,,,"event_brawlball_contest_banner",,,"event_brawlball_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"WasabiContestGemGrabOverrides",,,"Contest",,"GemGrab",,,,"event_gemgrab_contest_banner",,,"event_gemgrab_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"WasabiContestKnockoutOverrides",,,"Contest",,"Knockout",,,,"event_knockout_contest_banner",,,"event_knockout_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"WasabiContestWipeoutOverrides",,,"Contest",,"Deathmatch",,,,"event_wipeout_contest_banner",,,"event_wipeout_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"WasabiSamuraiSmashOverrides",,,,,"SamuraiSmash",,,,,,,,,,,,,"TRUE",,"TRUE",,,,,
"WasabiMegaBossOverrides",,,,,"MegaBoss",,,,,,,,,,,,,"TRUE",,"TRUE",,,,,
"WasabiWipeoutOverrides",,,,,"Deathmatch",,,,,,,,,,,,,"TRUE",,"TRUE",,,,,
"WasabiSamuraiSmash5v5Overrides",,,,,"SamuraiSmash5v5",,,,,,,,,,,,,"TRUE",,"TRUE",,,,,
"KillConfirmOverrides",,"DemonicContest","Contest",,"KillConfirmed",,,,"event_killconfirm_contest_banner",,,"event_killconfirm_contest_banner",,,,,,"TRUE",,,,,,,
"PetWarsOverrides",,"DemonicContest","Contest",,"Siege",,,,"event_petwars_contest_banner",,,"event_petwars_contest_banner",,,,,,"TRUE",,,,,,,
"DodgeballOverrides",,,,,"Dodgeball",,,,,,,,,,,,,"TRUE",,"TRUE",,,,,
"TrophyThievesOverrides",,,,,"CTF",,,,,,,,,,,,,"TRUE",,"TRUE",,,,,
"DancerShowdown",,,"MirrorMatch","Dancer","Showdown",,,"sc/events.sc","event_mina_mirror_match_banner_square","sc/ui.sc",,"event_gameroom_mirrormatch_square","showdown","sc/events.sc","event_mina_mirror_match_banner_square",,,"TRUE",,"TRUE","showdown",,,,
"FuryShowdown",,,"MirrorMatch","Fury","Showdown",,,"sc/events.sc","event_ziggy_mirror_match_banner_square","sc/ui.sc",,"event_gameroom_mirrormatch_square","showdown","sc/events.sc","event_ziggy_mirror_match_banner_square",,,"TRUE",,"TRUE","showdown",,,,
"SubwayContestTrailRunOverrides",,"SubwayContest","Contest",,"TrailRun",,,,"event_trailrun_contest_banner",,,"event_trailrun_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"SubwayContestHeistOverrides",,"SubwayContest","Contest",,"Heist",,,,"event_heist_contest_banner",,,"event_heist_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"SubwayContestSamuraiSmashOverrides5v5",,"SubwayContest","Contest",,"PaintBall",,,,"event_paintball_contest_banner",,,"event_paintball_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"SubwayContestBrawlBallOverrides",,"SubwayContest","Contest",,"BrawlBall",,,,"event_brawlball_contest_banner",,,"event_brawlball_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"SubwayContestGemGrabOverrides",,"SubwayContest","Contest",,"GemGrab",,,,"event_gemgrab_contest_banner",,,"event_gemgrab_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"SubwayContestKnockoutOverrides",,"SubwayContest","Contest",,"Knockout",,,,"event_knockout_contest_banner",,,"event_knockout_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"SubwayContestWipeoutOverrides",,"SubwayContest","Contest",,"Deathmatch",,,,"event_wipeout_contest_banner",,,"event_wipeout_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"SubwayRainingCoinsKnockout5v5",,,,,"Knockout5v5","EventCollectToken",,,,,,"event_gameroom_knockout_5v5_coins_square",,,,,,"TRUE",,"TRUE",,,,,
"SubwayContestHotzoneOverrides",,"SubwayContest","Contest",,"KingOfHill",,,,"event_hotzone_contest_banner",,,"event_hotzone_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
"BrawloweenShowdown",,,,,"Showdown","InvisibleBrawlers",,,,,,"event_gameroom_survival_square",,,,,,,,"TRUE",,,,,
"DaredevilShowdown",,,"MirrorMatch","Daredevil","Showdown",,,"sc/events.sc","event_gigi_mirror_match_banner_square","sc/ui.sc",,"event_gameroom_mirrormatch_square","showdown","sc/events.sc","event_gigi_mirror_match_banner_square",,,"TRUE",,"TRUE","showdown",,,,
"BulletstormShowdown",,,"MirrorMatch","Bulletstorm","Showdown",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"MenderShowdown",,,"MirrorMatch","Mender","KingOfHill",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"BombHeist",,,,,"BombHeist",,,,,"sc/ui.sc",,,,,,,,"TRUE",,"TRUE",,,,,
"SteampunkLineofSightShowdown",,,"SeasonalEvents",,"Showdown","LineOfSight","SteampunkLosShowdown",,,,,,,,,,,,,,,,,,
"SteampunkLineofSightGemGrab",,,"SeasonalEvents",,"GemGrab","LineOfSight",,,,"sc/ui.sc",,"event_gameroom_steampunk_gemgrab_override",,,,,,"TRUE",,,,,,,
"SteampunkLineofSightWanted",,,"SeasonalEvents",,"Bounty","LineOfSight",,,,"sc/ui.sc",,"event_gameroom_steampunk_wanted_override",,,,,,"TRUE",,,,,,,
"BrawlentinesLoveBombing",,,,,"Dodgeball2v2",,,,,,"event_icon_dodge_ball_2v2","event_gameroom_dodge_ball_2v2_square",,,,,,,,"TRUE",,,,,
"ShadowdemonShowdown",,,"MirrorMatch","Shadowdemon","Knockout",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"RedirecterShowdown",,,"MirrorMatch","Redirecter","Bounty",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"GladiatorShowdown",,,"MirrorMatch","Gladiator","Showdown",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"GladiatorGemGrab",,,"MirrorMatch","Gladiator","GemGrab",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"GladiatorBrawlBall",,,"MirrorMatch","Gladiator","BrawlBall",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"GladiatorHeist",,,"MirrorMatch","Gladiator","Heist",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"GladiatorBounty",,,"MirrorMatch","Gladiator","Bounty",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"MagicalGirlShowdown",,,"MirrorMatch","MagicalGirl","Showdown",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"MagicalGirlGemGrab",,,"MirrorMatch","MagicalGirl","GemGrab",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"MagicalGirlBrawlBall",,,"MirrorMatch","MagicalGirl","BrawlBall",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"MagicalGirlHeist",,,"MirrorMatch","MagicalGirl","Heist",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"MagicalGirlBounty",,,"MirrorMatch","MagicalGirl","Bounty",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"RockShowdown",,,"MirrorMatch","Rock","Showdown",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"RockGemGrab",,,"MirrorMatch","Rock","GemGrab",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"RockBrawlBall",,,"MirrorMatch","Rock","BrawlBall",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"RockHeist",,,"MirrorMatch","Rock","Heist",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"RockBounty",,,"MirrorMatch","Rock","Bounty",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"RockBrawlBallV2",,,"MirrorMatch","Rock","BrawlBallV2",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"KatanaKidShowdown",,,"MirrorMatch","KatanaKid","Showdown",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"FutureGirlShowdown",,,"MirrorMatch","FutureGirl","Showdown",,,,,"sc/ui.sc",,"event_brawler_early_access_fringe",,,,,,"TRUE",,"TRUE",,"TID_GAME_MODE_MIRROR_BANNER","chat_letsplay_brawler_early_access_fringe","event_icon_brawl_early_access_fringe_ph","TRUE"
"WasabiContestBountyOverrides",,,"Contest",,"Bounty",,,,"event_bounty_contest_banner",,,"event_bounty_contest_banner",,,,,,"TRUE",,"TRUE",,,,,
