"Name","PoolTickets","Disabled","PlayerThumbnails","DiscountPercentage","DropRate","TID"
,,,"player_icon_angelsdemons1",0,100,
,,,"player_icon_ohlala",0,100,
,,,"player_icon_gw1",0,100,
,,,"player_icon_squeak_veteran2",0,100,
,,,"player_icon_greek_cannon",0,100,
,,,"player_icon_starrforce6",0,100,
,,,"player_icon_angelsdemons3",0,100,
,,,"player_icon_gw3",0,100,
,,,"player_icon_toys3",0,100,
,,,"player_icon_bp_deepsea",0,100,
,,,"player_icon_thank_you",0,100,
,,,"player_icon_mecha_edgar_event",0,100,
,,,"player_icon_goldenkawaii",0,100,
,,,"player_icon_bp_darkgreek",0,100,
,,,"player_icon_boba_squeak",0,100,
,,,"player_icon_angelsdemons4",0,100,
,,,"player_icon_m",0,100,
,,,"player_icon_bp_cartoon",0,100,
,,,"player_icon_villains",0,100,
,,,"player_icon_mrbat1",0,100,
,,,"player_icon_bp_angelsdemons",0,100,
,,,"player_icon_pl_logo",0,100,
,,,"player_icon_gw2",0,100,
,,,"player_icon_stuntshow",0,100,
,,,"player_icon_wall_mortis_stuck",0,100,
,,,"player_icon_mrbat2",0,100,
,,,"player_icon_bp_jungle",0,100,
,,,"player_icon_wall_mortis_stuck_butt",0,100,
,,,"player_icon_sandsoftime3",0,100,
,,,"player_icon_bp_dragon",0,100,
,,,"player_icon_deepsea",0,100,
,,,"player_icon_boba_nita",0,100,
,,,"player_icon_angelsdemons2",0,100,
,,,"player_icon_bp_mecha",0,100,
,,,"player_icon_samurai_robot2",0,100,
,,,"player_icon_lny24_5",0,100,
,,,"player_icon_academy",0,100,
,,,"player_icon_jungle",0,100,
,,,"player_icon_mecha_loverobot",0,100,
,,,"player_icon_samurai_robot3",0,100,
,,,"player_icon_lny24_4",0,100,
,,,"player_icon_pirates",0,100,
,,,"player_icon_carreta_bottle",0,100,
,,,"player_icon_lny24_3",0,100,
,,,"player_icon_amazon_frog",0,100,
,,,"player_icon_brawlball",0,100,
,,,"player_icon_badrandoms",0,100,
,,,"player_icon_sandsoftime_anubis",0,100,
,,,"player_icon_aprilfools",0,100,
,,,"player_icon_bp_dragons",0,100,
,,,"player_icon_steampunk_bulb",0,100,
,,,"player_icon_xmas_fireplace",0,100,
,,,"player_icon_xmas_panoro",0,100,
,,,"player_icon_bo_valentine_kiss",0,100,
,,,"player_icon_bp_sandsoftime26",0,100,
,,,"player_icon_fairy",0,100,
"TEST_player_icon_bp_wasteland",,,"player_icon_bp_wasteland",0,100,
