"Name","Type","Values","BoolValues","Projectiles","AreaEffects","Characters","Skills","StatusEffects","StatusEffectsOvercharged","Items","Traits","TraitsOvercharged","BooleanAttributes"
"MagicalGirl_MountUp","MountUp","","","","","","","MagicalGirlUltiStatus","MagicalGirlUltiStatusOvercharged","","","",""
"Levitation_Generic","Levitation","","","","","","","","","","","",""
"Friendship_Bond_Modifier","FriendshipBond","","","","","","","","","","","",""
"SuperNovaCactus","Brawler_TempTransform","200","","","","SuperNovaCactus","","","","SuperNovaTransformCactus","SN_Spike_ChargeSuper","","StarNovaTempTransform"
"","","","","","","","","","","","SN_ChargeRateNerf","",""
"","","","","","","","","","","","SN_Spike_ProjectileSize","",""
"","","","","","","","","","","","SN_Spike_ProjectileSpeed","",""
"","","","","","","","","","","","SN_Damage_Buff","",""
"","","","","","","","","","","","SN_HP_Buff","",""
"SuperNovaBeeSniper","Brawler_TempTransform","200","","","","SuperNovaBeeSniper","","","","SuperNovaTransformBeeSniper","SN_Bea_ChargeSuper","","StarNovaTempTransform"
"","","","","","","","","","","","SN_ChargeRateNerf","",""
"","","","","","","","","","","","SN_Bea_ProjectileSize","",""
"","","","","","","","","","","","SN_Bea_ProjectileSpeed","",""
"","","","","","","","","","","","SN_Damage_Buff","",""
"","","","","","","","","","","","SN_HP_Buff","",""
"SuperNovaFireDude","Brawler_TempTransform","200","","","","SuperNovaFireDude","","","","SuperNovaTransformFireDude","SN_ChargeRateNerf","","StarNovaTempTransform"
"","","","","","","","","","","","SN_Amber_ChargeSuper","",""
"","","","","","","","","","","","SN_Amber_ProjectileSize","",""
"","","","","","","","","","","","SN_SpeedUpOnAtk","",""
"","","","","","","","","","","","SN_Damage_Buff","",""
"","","","","","","","","","","","SN_HP_Buff","",""
"SuperNovaVoodoo","Brawler_TempTransform","200","","","","SuperNovaVoodoo","","","","SuperNovaTransformVoodoo","SN_Juju_ChargeSuper","","StarNovaTempTransform"
"","","","","","","","","","","","SN_ChargeRateNerf","",""
"","","","","","","","","","","","SN_Juju_ProjectileSize","",""
"","","","","","","","","","","","SN_Juju_ProjectileSpeed","",""
"","","","","","","","","","","","SN_Damage_Buff","",""
"","","","","","","","","","","","SN_HP_Buff","",""
"SuperNovaMagicalGirl","Brawler_TempTransform","200","","","","SuperNovaMagicalGirl","","","","SuperNovaTransformStella","SN_Stella_ChargeSuper","","StarNovaTempTransform"
"","","","","","","","","","","","SN_Stella_AttackRange","",""
"","","","","","","","","","","","SN_Stella_EffectSize","",""
"","","","","","","","","","","","SN_Stella_ChargeSpeed","",""
"","","","","","","","","","","","SN_Damage_Buff","",""
"","","","","","","","","","","","SN_HP_Buff","",""
"Brawler_Rock","Brawler_Rock","900","","","RockUltiTrail","","","RockSpeedUpMovement","","","","",""
"","","13","","","","","","RockUltiOverchargedWallPass","","","","",""
"","","500","","","","","","","","","","",""
"","","740","","","","","","","","","","",""
"","","4","","","","","","","","","","",""
"","","21","","","","","","","","","","",""
"","","75","","","","","","","","","","",""
"","","490","","","","","","","","","","",""
"Carryable","Carryable","","","","","","","","","","","",""
"Brawler_KatanaKid","Brawler_KatanaKid","10","","","","","KatanaKidWeaponRanged","KatanaKidGadgetSkillFishNetStatusEffect","","","KatanaKidUltiAreaSizeBoost","",""
"","","4","","","","","KatanaKidWeaponFullChargeRanged","KatanaKidHide","","","","",""
"","","300","","","","","","","","","","",""
"","","720","","","","","","","","","","",""
"Brawler_MechaDude","Brawler_MechaDude","0","","","MechaDudeUltiSpawnExplosion","","","","","","","",""
"","","80","","","MechaDudeUltiSpawnExplosionHyperCharged","","","","","","","",""
"","","0","","","MechaDudeUltiSpawnExplosionHyperChargedStatusArea","","","","","","","",""
"","","0","","","MechaDudeBulletHitExplosionOvercharged","","","","","","","",""
"ArcadeItemDispenser","ItemDispenser","60","","ArcadeItemDispenserProjectile","","","","","","","","",""
"","","60","","","","","","","","","","",""
"","","600","","","","","","","","","","",""
"StealAmmoOnUltiHitMechaDude","StealAmmoOnHit","30","","","","","","","","","","","MeleeUltiOnly"
"","","100","","","","","","","","","","",""
"TrickshotDudeGadgetSkillContainer","TrickshotDudeGadgetSkillContainer","50","","","TrickshotDudeAccessoryExplosion","","","","","","","",""
"","","30","","","","","","","","","","",""
"TrickshotDudeStarPowerNormalAndBuddyComponent","Brawler_TrickshotDudeStarPowerBuddy","40","","","","","","TrickShotDudeStarpowerAndNormalSpeedBoostBuddyStatus","","","","",""
"","","10","","","","","","","","","","",""
"","","35","","","","","","","","","","",""
"","","60","","","","","","","","","","",""
"SpeedyRewind","Brawler_SpeedyRewind","","","","SpeedyRewindArea","","SpeedyRewindBonusSkill","","","","","",""
"","","","","","ArcadeTeleport","","","","","","","",""
"","","","","","ArcadeTeleport","","","","","","","",""
"SpeedyIncreaseSpeedDurationSP","IncreaseStatusEffectDurationOnHit","5","","","","","","SpeedyUltiAreaSpeedBoost","","","","",""
"SpeedyBuddyOnHitSpeedBoost","StatusEffectSelfOnHit","","","","","","","SpeedyBuddyOnHitSpeedBoost","","","","",""
"RocketGirlGadgetSkillExplosionSpeedGain","RocketGirlGadgetSkillExplosionSpeedGain","0","","","RocketGirlGadgetJumpAreaBuddy","","","RocketGirlGadgetSkillLandingSpeedBoost","","","","",""
"","","","","","","","","","","","","",""
"Brawler_PowerLeveler","Brawler_PowerLeveler","","","","","","","","","","","",""
"RocketGirlSP2","RocketGirlSP2","1","","","","","","RocketGirlSP2AimVisual","","","RocketGirlAddCastingRangeSP2","",""
"Boss_MegaKatanaKid","Boss_MegaKatanaKid","4000","","","MegaKatanaKidDashTrail","","MegaKatanaKidWeaponRanged","","","","","",""
"","","1000","","","","","","","","","","",""
"MegaBossBlackHoleShieldPet","Boss_MegaBossBlackHoleShieldPet","90","","","","","","MenderWeaponAllyTether","","","","",""
"","","110","","","","","","MenderWeaponEnemyTether","","","","",""
"","","4","","","","","","MenderStarPowerAllyDamageBuff","","","","",""
"","","","","","","","","MenderStarPowerEnemyDamageDebuff","","","","",""
"Bot_Component","Bot","","","","","","","","","","","","PersistTransformation"
