"Name","PoolTickets","Disabled","Emotes","DiscountPercentage","DropRate","TID"
,,,"emoji_bp_fantasy_sad",0,100,
,,,"emoji_bp_steampunk_special",0,100,
,,,"emoji_selena_thanks",0,100,
,,,"emoji_skulltoon_sad",0,100,
,,,"emoji_otto_thanks",0,100,
,,,"emoji_jacky_clap",0,100,
,,,"emoji_skulltoon_gg",0,100,
,,,"emoji_max_clap",0,100,
,,,"emoji_cameron_phew",0,100,
,,,"emoji_skulltoon_happy",0,100,
,,,"emoji_angel2",0,100,
,,,"emoji_lny_happy",0,100,
,,,"emoji_womensday_25",0,100,
,,,"emoji_lny",0,100,
,,,"emoji_stu_clap",0,100,
,,,"emoji_greek_atlas",0,100,
,,,"emoji_chester_phew",0,100,
,,,"emoji_bp_kaiju_sad",0,100,
,,,"emoji_sandclock_gg",0,100,
,,,"emoji_grom_clap",0,100,
,,,"emoji_bp_mecha",0,100,
,,,"emoji_pierce_angry",0,100,
,,,"emoji_bp_cursed_angry",0,100,
,,,"emoji_skull_mindblown",0,100,
,,,"emoji_brawlentine_grenade",0,100,
,,,"emoji_charlotte_angry",0,100,
,,,"emoji_miko_angry",0,100,
,,,"emoji_kit_gg",0,100,
,,,"emoji_glowbert_sad",0,100,
,,,"emoji_bp_brawlentines_angry",0,100,
,,,"emoji_rt_clap",0,100,
,,,"emoji_skulltoon_angry",0,100,
,,,"emoji_nani_clap",0,100,
,,,"emoji_fang_gg",0,100,
,,,"emoji_bp_darkgreek_clap",0,100,
,,,"emoji_squeak_phew",0,100,
,,,"emoji_janet_thanks",0,100,
,,,"emoji_skull_ragnarock_special",0,100,
,,,"emoji_bp_goodrandoms_happy",0,100,
,,,"emoji_lili_thanks",0,100,
,,,"emoji_gray_clap",0,100,
,,,"emoji_chuck_angry",0,100,
,,,"emoji_gus_gg",0,100,
,,,"emoji_dino_angry",0,100,
,,,"emoji_ruffs_phew",0,100,
,,,"emoji_sandy_clap",0,100,
,,,"emoji_sandclock_clap",0,100,
,,,"emoji_gigi_thanks",0,100,
,,,"emoji_draco_gg",0,100,
,,,"emoji_berry_gg",0,100,
,,,"emoji_dragon_angry",0,100,
,,,"emoji_frank_clap",0,100,
,,,"emoji_foldable_robot",0,100,
,,,"emoji_kaze_assassin_phew",0,100,
,,,"emoji_samurai_clap",0,100,
,,,"emoji_selena_angry",0,100,
,,,"emoji_bp_superheroes_sad",0,100,
,,,"emoji_bp_feudaljapan_angry",0,100,
,,,"emoji_spicy",0,100,
,,,"emoji_sandclock_phew",0,100,
,,,"emoji_bp_toon_thanks",0,100,
,,,"emoji_alli_clap",0,100,
,,,"emoji_olympus_lightning",0,100,
,,,"emoji_toxic_mushroom",0,100,
,,,"emoji_lolla_thanks",0,100,
,,,"emoji_amber_clap",0,100,
,,,"emoji_chuck_gg",0,100,
,,,"emoji_sandclock_angry",0,100,
,,,"emoji_bp_mecha_gg",0,100,
,,,"emoji_bp_greek_happy",0,100,
,,,"emoji_griff_thanks",0,100,
,,,"emoji_sandsoftime2_catgod",0,100,
,,,"emoji_charlotte_clap",0,100,
,,,"emoji_bp_darkgreek_thanks",0,100,
,,,"emoji_grom_angry",0,100,
,,,"emoji_bp_cursed_special",0,100,
,,,"emoji_miko_gg",0,100,
,,,"emoji_starr_happy",0,100,
,,,"emoji_diwali_diya",0,100,
,,,"emoji_shade_phew",0,100,
,,,"emoji_finn_sad",0,100,
,,,"emoji_bp_darkonceupon_phew",0,100,
,,,"emoji_skull_ragnarock_clap",0,100,
,,,"emoji_bp_toon_clap",0,100,
,,,"emoji_graffiti_pink",0,100,
,,,"emoji_hacker_special",0,100,
,,,"emoji_chester_clap",0,100,
,,,"emoji_trunk_sad",0,100,
,,,"emoji_bp_darkgreek_sad",0,100,
,,,"emoji_noodles_thanks",0,100,
,,,"emoji_stu_phew",0,100,
,,,"emoji_shelly_clap",0,100,
,,,"emoji_eve_gg",0,100,
,,,"emoji_clown",0,100,
,,,"emoji_gigi_gg",0,100,
,,,"emoji_janet_sad",0,100,
,,,"emoji_dragon_clap",0,100,
,,,"emoji_lilt_sad",0,100,
,,,"emoji_starr_gg",0,100,
,,,"emoji_mrbat_pink",0,100,
,,,"emoji_starr_phew",0,100,
,,,"emoji_chuck_phew",0,100,
,,,"emoji_gene_clap",0,100,
,,,"emoji_bronson_gg",0,100,
,,,"emoji_bp_mecha_special",0,100,
,,,"emoji_starr_clap",0,100,
,,,"emoji_twin_angry",0,100,
,,,"emoji_alli_gg",0,100,
,,,"emoji_bonnie_gg",0,100,
,,,"emoji_dragon_gg",0,100,
,,,"emoji_meeple_phew",0,100,
,,,"emoji_bp_deep_thanks",0,100,
,,,"emoji_bp_brawlentines_sad",0,100,
,,,"emoji_tox_gg",0,100,
,,,"emoji_tox_clap",0,100,
,,,"emoji_angelo_sad",0,100,
,,,"emoji_glowbert_thanks",0,100,
,,,"emoji_alli_thanks",0,100,
,,,"emoji_ziggy_phew",0,100,
,,,"emoji_bronson_phew",0,100,
,,,"emoji_meeple_clap",0,100,
,,,"emoji_finn_gg",0,100,
,,,"emoji_dragon_thanks",0,100,
,,,"emoji_summer_parasol",0,100,
,,,"emoji_gus_angry",0,100,
,,,"emoji_buzz_sad",0,100,
,,,"emoji_bronson_angry",0,100,
,,,"emoji_kaze_geisha_angry",0,100,
,,,"emoji_alli_phew",0,100,
,,,"emoji_piggybank_thanks",0,100,
,,,"emoji_bp_starrforce_sad",0,100,
,,,"emoji_bp_sandsoftime2_thanks",0,100,
,,,"emoji_hacker_clap",0,100,
,,,"emoji_digger_gg",0,100,
,,,"emoji_gw_cat",0,100,
,,,"emoji_bp_starrforce_special",0,100,
,,,"emoji_lumi_gg",0,100,
,,,"emoji_bp_deep_gg",0,100,
,,,"emoji_mecha_thanks",0,100,
,,,"emoji_bp_starrforce_angry",0,100,
,,,"emoji_hacker_sad",0,100,
,,,"emoji_dragon_phew",0,100,
,,,"emoji_noodles_happy",0,100,
,,,"emoji_football_vuvuzela",0,100,
,,,"emoji_glowbert_clap",0,100,
,,,"emoji_feudaljapan_wasabi",0,100,
,,,"emoji_hacker_thanks",0,100,
,,,"emoji_willow_sad",0,100,
,,,"emoji_bp_goodrandoms_angry",0,100,
,,,"emoji_ziggy_angry",0,100,
,,,"emoji_moonfestival",0,100,
,,,"emoji_cartoon_ball",0,100,
,,,"emoji_bp_brawlentines_special",0,100,
,,,"emoji_bp_feudaljapan_happy",0,100,
,,,"emoji_skulltoon",0,100,
,,,"emoji_bp_goodrandoms",0,100,
,,,"emoji_dino_clap",0,100,
,,,"emoji_ziggy_gg",0,100,
,,,"emoji_bp_deep_angry",0,100,
,,,"emoji_mecha_sword",0,100,
,,,"emoji_bp_steampunk",0,100,
,,,"emoji_mandy_sad",0,100,
,,,"emoji_bp_goodrandoms_special",0,100,
,,,"emoji_grom_challenge_special",0,100,
,,,"emoji_bp_toon",0,100,
,,,"emoji_ash_gg",0,100,
,,,"emoji_maisie_clap",0,100,
,,,"emoji_bp_toon_special",0,100,
,,,"emoji_ollie_sad",0,100,
,,,"emoji_alli_angry",0,100,
,,,"emoji_tox_phew",0,100,
,,,"emoji_digger_angry",0,100,
,,,"emoji_ollie_angry",0,100,
,,,"emoji_pierce_sad",0,100,
,,,"emoji_whitespray",0,100,
,,,"emoji_belle_thanks",0,100,
,,,"emoji_mortis_clap",0,100,
,,,"emoji_lolla_phew",0,100,
,,,"emoji_mooncake_happy",0,100,
,,,"emoji_bp_steampunk_sad",0,100,
,,,"emoji_alli_sad",0,100,
,,,"emoji_bp_cursed_thanks",0,100,
,,,"emoji_crysmile",0,100,
,,,"emoji_finn_thanks",0,100,
,,,"emoji_squeak_clap",0,100,
,,,"emoji_lolla_angry",0,100,
,,,"emoji_bp_mecha_thanks",0,100,
,,,"emoji_lny_thanks",0,100,
,,,"emoji_angelo_thanks",0,100,
,,,"emoji_dragon_sad",0,100,
,,,"emoji_hacker_gg",0,100,
,,,"emoji_bp_deep_sad",0,100,
,,,"emoji_bp_darkonceupon_sad",0,100,
,,,"emoji_mina_phew",0,100,
,,,"emoji_kaze_assassin_gg",0,100,
,,,"emoji_pearl_thanks",0,100,
,,,"emoji_bp_feudaljapan",0,100,
,,,"emoji_mecha_champi",0,100,
,,,"emoji_ziggy_sad",0,100,
,,,"emoji_rt_angry",0,100,
,,,"emoji_fire",0,100,
,,,"emoji_digger_thanks",0,100,
,,,"emoji_angeldemon_stardemon",0,100,
,,,"emoji_bp_starrforce_clap",0,100,
,,,"emoji_bp_cursed_sad",0,100,
,,,"emoji_colette_clap",0,100,
,,,"emoji_bp_sandsoftime2_gg",0,100,
,,,"emoji_mina_thanks",0,100,
,,,"emoji_ruffs_gg",0,100,
,,,"emoji_skull_ragnarock_phew",0,100,
,,,"emoji_diwali_kaju",0,100,
,,,"emoji_mina_sad",0,100,
,,,"emoji_hacker_angry",0,100,
,,,"emoji_maisie_phew",0,100,
,,,"emoji_finn_clap",0,100,
,,,"emoji_lumi_thanks",0,100,
,,,"emoji_feudaljapan_8bitsushi",0,100,
,,,"emoji_lilt_gg",0,100,
,,,"emoji_sandsoftime2_skull",0,100,
,,,"emoji_bp_greek_phew",0,100,
,,,"emoji_bp_darkonceupon_thanks",0,100,
,,,"emoji_clancy_gg",0,100,
,,,"emoji_sandclock",0,100,
,,,"emoji_rico_clap",0,100,
,,,"emoji_meg_thanks",0,100,
,,,"emoji_berry_angry",0,100,
,,,"emoji_shade_gg",0,100,
,,,"emoji_bp_goodrandoms_phew",0,100,
,,,"emoji_zombie_box",0,100,
,,,"emoji_bp_goodrandoms_clap",0,100,
,,,"emoji_glowbert_gg",0,100,
,,,"emoji_digger_phew",0,100,
,,,"emoji_bp_cursed",0,100,
,,,"emoji_bp_fantasy",0,100,
,,,"emoji_leon_clap",0,100,
,,,"emoji_maisie_thanks",0,100,
,,,"emoji_dino_thanks",0,100,
,,,"emoji_greek_ares",0,100,
,,,"emoji_hacker",0,100,
,,,"emoji_kaze_geisha_sad",0,100,
,,,"emoji_bp_fantasy_phew",0,100,
,,,"emoji_stu_sad",0,100,
,,,"emoji_belle_gg",0,100,
,,,"emoji_ruffs_clap",0,100,
,,,"emoji_bp_darkgreek_happy",0,100,
,,,"emoji_pam_clap",0,100,
,,,"emoji_clover_special",0,100,
,,,"emoji_lny_snake",0,100,
,,,"emoji_bp_superheroes_gg",0,100,
,,,"emoji_ollie_phew",0,100,
,,,"emoji_bp_superheroes_thanks",0,100,
,,,"emoji_belle_phew",0,100,
,,,"emoji_berry_thanks",0,100,
,,,"emoji_piggybank_angry",0,100,
,,,"emoji_mrp_clap",0,100,
,,,"emoji_cameron_angry",0,100,
,,,"emoji_bp_cursed_phew",0,100,
,,,"emoji_kaze_geisha_happy",0,100,
,,,"emoji_bp_cursed_happy",0,100,
,,,"emoji_kaze_geisha_phew",0,100,
,,,"emoji_rt_sad",0,100,
,,,"emoji_buzz_gg",0,100,
,,,"emoji_rt_thanks",0,100,
,,,"emoji_charlotte_thanks",0,100,
,,,"emoji_bp_sandsoftime2_clap",0,100,
,,,"emoji_sandclock_happy",0,100,
,,,"emoji_feudaljapan_baoninja",0,100,
,,,"emoji_belle_angry",0,100,
,,,"emoji_melodie_phew",0,100,
,,,"emoji_ruffs_angry",0,100,
,,,"emoji_colt_clap",0,100,
,,,"emoji_lny_kite",0,100,
,,,"emoji_gray_phew",0,100,
,,,"emoji_lou_clap",0,100,
,,,"emoji_gus_sad",0,100,
,,,"emoji_gigi_angry",0,100,
,,,"emoji_sprout_clap",0,100,
,,,"emoji_mandy_thanks",0,100,
,,,"emoji_olympus_fire",0,100,
,,,"emoji_kaiju_dino",0,100,
,,,"emoji_bp_deep_special",0,100,
,,,"emoji_jae_phew",0,100,
,,,"emoji_samurai_phew",0,100,
,,,"emoji_bp_toon_sad",0,100,
,,,"emoji_melodie_sad",0,100,
,,,"emoji_bp_kaiju_gg",0,100,
,,,"emoji_ruffs_sad",0,100,
,,,"emoji_willow_phew",0,100,
,,,"emoji_pearl_sad",0,100,
,,,"emoji_bp_starrforce_phew",0,100,
,,,"emoji_bp_sandsoftime2_phew",0,100,
,,,"emoji_bp_kaiju_angry",0,100,
,,,"emoji_selena_gg",0,100,
,,,"emoji_bp_toon_happy",0,100,
,,,"emoji_gray_gg",0,100,
,,,"emoji_melodie_clap",0,100,
,,,"emoji_bp_greek_gg",0,100,
,,,"emoji_belle_sad",0,100,
,,,"emoji_bea_clap",0,100,
,,,"emoji_buzz_clap",0,100,
,,,"emoji_fang_clap",0,100,
,,,"emoji_bp_mecha_sad",0,100,
,,,"emoji_brock_clap",0,100,
,,,"emoji_cameron_sad",0,100,
,,,"emoji_zombies_frankie",0,100,
,,,"emoji_angelo_clap",0,100,
,,,"emoji_bp_feudaljapan_thanks",0,100,
,,,"emoji_bronson_thanks",0,100,
,,,"emoji_jae_thanks",0,100,
,,,"emoji_bronson_sad",0,100,
,,,"emoji_ramadan_angry",0,100,
,,,"emoji_mandy_phew",0,100,
,,,"emoji_gus_clap",0,100,
,,,"emoji_gray_angry",0,100,
,,,"emoji_bp_darkonceupon_clap",0,100,
,,,"emoji_bp_toon_gg",0,100,
,,,"emoji_ollie_clap",0,100,
,,,"emoji_statue",0,100,
,,,"emoji_fang_sad",0,100,
,,,"emoji_fang_angry",0,100,
,,,"emoji_buzz_angry",0,100,
,,,"emoji_greek_temple",0,100,
,,,"emoji_gray_sad",0,100,
,,,"emoji_jessie_clap",0,100,
,,,"emoji_selena_sad",0,100,
,,,"emoji_fang_phew",0,100,
,,,"emoji_lny_tiger",0,100,
,,,"emoji_bonnie_angry",0,100,
,,,"emoji_crow_clap",0,100,
,,,"emoji_janet_angry",0,100,
,,,"emoji_penny_clap",0,100,
,,,"emoji_jae_angry",0,100,
,,,"emoji_pirates_skull",0,100,
,,,"emoji_dragon_happy",0,100,
,,,"emoji_otto_sad",0,100,
,,,"emoji_bp_superheroes_clap",0,100,
,,,"emoji_bp_cursed_clap",0,100,
,,,"emoji_ollie_gg",0,100,
,,,"emoji_otto_gg",0,100,
,,,"emoji_mandy_clap",0,100,
,,,"emoji_bp_kaiju_thanks",0,100,
,,,"emoji_clancy_sad",0,100,
,,,"emoji_summer_sun",0,100,
,,,"emoji_lumi_sad",0,100,
,,,"emoji_squeak_angry",0,100,
,,,"emoji_bp_brawlentines",0,100,
,,,"emoji_lny_horse",0,100,
,,,"emoji_griff_clap",0,100,
,,,"emoji_eve_clap",0,100,
,,,"emoji_bp_feudaljapan_special",0,100,
,,,"emoji_bp_deep_clap",0,100,
,,,"emoji_bp_steampunk_phew",0,100,
,,,"emoji_american_football",0,100,
,,,"emoji_hacker_happy",0,100,
,,,"emoji_bp_darkgreek",0,100,
,,,"emoji_bp_deep",0,100,
,,,"emoji_bp_starrforce_thanks",0,100,
,,,"emoji_skulltoon_phew",0,100,
,,,"emoji_kit_sad",0,100,
,,,"emoji_bp_kaiju_phew",0,100,
,,,"emoji_sandsoftime2_pyramid",0,100,
,,,"emoji_bp_kaiju",0,100,
,,,"emoji_bp_deep_phew",0,100,
,,,"emoji_dynamike_clap",0,100,
,,,"emoji_eve_angry",0,100,
,,,"emoji_zombies_coffin",0,100,
,,,"emoji_bp_feudaljapan_phew",0,100,
,,,"emoji_twin_thanks",0,100,
,,,"emoji_bp_darkonceupon_happy",0,100,
,,,"emoji_hacker_phew",0,100,
,,,"emoji_bp_greek_angry",0,100,
,,,"emoji_digger_sad",0,100,
,,,"emoji_pearl_phew",0,100,
,,,"emoji_miko_thanks",0,100,
,,,"emoji_bp_darkonceupon_angry",0,100,
,,,"emoji_bp_mecha_angry",0,100,
,,,"emoji_glowbert_angry",0,100,
,,,"emoji_meg_clap",0,100,
,,,"emoji_lolla_clap",0,100,
,,,"emoji_grom_phew",0,100,
,,,"emoji_draco_sad",0,100,
,,,"emoji_bp_greek_sad",0,100,
,,,"emoji_kaze_geisha_special",0,100,
,,,"emoji_trunk_thanks",0,100,
,,,"emoji_bronson_clap",0,100,
,,,"emoji_hammer",0,100,
,,,"emoji_gigi_clap",0,100,
,,,"emoji_grom_gg",0,100,
,,,"emoji_lili_angry",0,100,
,,,"emoji_tox_angry",0,100,
,,,"emoji_bp_brawlentines_thanks",0,100,
,,,"emoji_twin_clap",0,100,
,,,"emoji_eve_thanks",0,100,
,,,"emoji_twin_sad",0,100,
,,,"emoji_bp_darkonceupon_special",0,100,
,,,"emoji_pierce_clap",0,100,
,,,"emoji_draco_angry",0,100,
,,,"emoji_bp_sandsoftime2_special",0,100,
,,,"emoji_brawlentine_date",0,100,
,,,"emoji_meg_angry",0,100,
,,,"emoji_starrforce_2",0,100,
,,,"emoji_football_whistle",0,100,
,,,"emoji_bp_sandsoftime2_angry",0,100,
,,,"emoji_monkey_dumb",0,100,
,,,"emoji_chuck_thanks",0,100,
,,,"emoji_skull_ragnarock_thanks",0,100,
,,,"emoji_bibi_clap",0,100,
,,,"emoji_champi_knight",0,100,
,,,"emoji_harvestmoonfestival",0,100,
,,,"emoji_twin_phew",0,100,
,,,"emoji_moonharvest_lanterns",0,100,
,,,"emoji_clancy_clap",0,100,
,,,"emoji_primo_stvalentines_special",0,100,
,,,"emoji_eve_phew",0,100,
,,,"emoji_chester_angry",0,100,
,,,"emoji_bp_kaiju_happy",0,100,
,,,"emoji_kaiju_fish",0,100,
,,,"emoji_dragon_special",0,100,
,,,"emoji_tox_thanks",0,100,
,,,"emoji_draco_thanks",0,100,
,,,"emoji_buzz_phew",0,100,
,,,"emoji_shade_angry",0,100,
,,,"emoji_mooncake_sad",0,100,
,,,"emoji_trunk_phew",0,100,
,,,"emoji_mrbat",0,100,
,,,"emoji_skull_ragnarock_sad",0,100,
,,,"emoji_kaze_geisha_thanks",0,100,
,,,"emoji_griff_gg",0,100,
,,,"emoji_barley_clap",0,100,
,,,"emoji_cameron_clap",0,100,
,,,"emoji_fireworks",0,100,
,,,"emoji_university_bookworm",0,100,
,,,"emoji_cotton_candy",0,100,
,,,"emoji_dragon",0,100,
,,,"emoji_willow_clap",0,100,
,,,"emoji_amazon_frog",0,100,
,,,"emoji_bp_mecha_clap",0,100,
,,,"emoji_bp_feudaljapan_clap",0,100,
,,,"emoji_lilt_angry",0,100,
,,,"emoji_starr_special",0,100,
,,,"emoji_trunk_angry",0,100,
,,,"emoji_ramadan_special",0,100,
,,,"emoji_sandclock_sad",0,100,
,,,"emoji_bp_superheroes_special",0,100,
,,,"emoji_diwali_lotus",0,100,
,,,"emoji_miko_sad",0,100,
,,,"emoji_skull_ragnarock_angry",0,100,
,,,"emoji_kaze_geisha_facepalm",0,100,
,,,"emoji_bp_fantasy_gg",0,100,
,,,"emoji_gigi_phew",0,100,
,,,"emoji_kaze_assassin_sad",0,100,
,,,"emoji_bp_darkgreek_phew",0,100,
,,,"emoji_bp_fantasy_clap",0,100,
,,,"emoji_tara_clap",0,100,
,,,"emoji_summer_dive",0,100,
,,,"emoji_chuck_sad",0,100,
,,,"emoji_rt_phew",0,100,
,,,"emoji_mina_clap",0,100,
,,,"emoji_glowbert_phew",0,100,
,,,"emoji_maisie_gg",0,100,
,,,"emoji_sandclock_thanks",0,100,
,,,"emoji_western_tumbleweed",0,100,
,,,"emoji_kaze_assassin_clap",0,100,
,,,"emoji_tick_clap",0,100,
,,,"emoji_ash_clap",0,100,
,,,"emoji_football_redcard",0,100,
,,,"emoji_bp_superheroes",0,100,
,,,"emoji_trunk_gg",0,100,
,,,"emoji_piggybank_special",0,100,
,,,"emoji_bp_steampunk_angry",0,100,
,,,"emoji_kaze_assassin_thanks",0,100,
,,,"emoji_kaze_geisha_thumbsup",0,100,
,,,"emoji_bp_fantasy_special",0,100,
,,,"emoji_spike_clap",0,100,
,,,"emoji_starr_sad",0,100,
,,,"emoji_chester_gg",0,100,
,,,"emoji_olympus_fist",0,100,
,,,"emoji_gale_clap",0,100,
,,,"emoji_basket_ball",0,100,
,,,"emoji_chester_thanks",0,100,
,,,"emoji_starr_thanks",0,100,
,,,"emoji_kit_angry",0,100,
,,,"emoji_carnaval_mask",0,100,
,,,"emoji_rosa_clap",0,100,
,,,"emoji_finn_phew",0,100,
,,,"emoji_grom_thanks",0,100,
,,,"emoji_lilt_clap",0,100,
,,,"emoji_janet_clap",0,100,
,,,"emoji_kaze_assassin_angry",0,100,
,,,"emoji_pirates_thumbdown",0,100,
,,,"emoji_darryl_clap",0,100,
,,,"emoji_starr_angry",0,100,
,,,"emoji_ash_phew",0,100,
,,,"emoji_burning_ball",0,100,
,,,"emoji_skulltoon_clap",0,100,
,,,"emoji_stop",0,100,
,,,"emoji_samurai_thanks",0,100,
,,,"emoji_poco_clap",0,100,
,,,"emoji_lolla_sad",0,100,
,,,"emoji_football_yellowcard",0,100,
,,,"emoji_chuseok",0,100,
,,,"emoji_lny_gg",0,100,
,,,"emoji_finn_angry",0,100,
,,,"emoji_cameron_gg",0,100,
,,,"emoji_bp_darkgreek_special",0,100,
,,,"emoji_kit_clap",0,100,
,,,"emoji_bp_greek_special",0,100,
,,,"emoji_bp_kaiju_special",0,100,
,,,"emoji_lny_special",0,100,
,,,"emoji_lny_gold",0,100,
,,,"emoji_bp_superheroes_phew",0,100,
,,,"emoji_bp_steampunk_clap",0,100,
,,,"emoji_tox_sad",0,100,
,,,"emoji_kaiju_robot",0,100,
,,,"emoji_8bit_clap",0,100,
,,,"emoji_emz_clap",0,100,
,,,"emoji_ash_angry",0,100,
,,,"emoji_bp_darkgreek_angry",0,100,
,,,"emoji_mina_angry",0,100,
,,,"emoji_pearl_gg",0,100,
,,,"emoji_kit_thanks",0,100,
,,,"emoji_samurai_angry",0,100,
,,,"emoji_bull_clap",0,100,
,,,"emoji_eve_sad",0,100,
,,,"emoji_noodles_angry",0,100,
,,,"emoji_western_bang",0,100,
,,,"emoji_got_this",0,100,
,,,"emoji_bp_superheroes_angry",0,100,
,,,"emoji_skulltoon_special",0,100,
,,,"emoji_twin_gg",0,100,
,,,"emoji_brawlentines_kiss2",0,100,
,,,"emoji_willow_thanks",0,100,
,,,"emoji_pirates_chest",0,100,
,,,"emoji_skull_cartoon",0,100,
,,,"emoji_bp_greek_thanks",0,100,
,,,"emoji_jae_sad",0,100,
,,,"emoji_griff_angry",0,100,
,,,"emoji_shade_clap",0,100,
,,,"emoji_mrbat_cool",0,100,
,,,"emoji_bp_feudaljapan_sad",0,100,
,,,"emoji_university_diploma",0,100,
,,,"emoji_charlotte_phew",0,100,
,,,"emoji_meeple_thanks",0,100,
,,,"emoji_lumi_clap",0,100,
,,,"emoji_bp_starrforce_happy",0,100,
,,,"emoji_surge_clap",0,100,
,,,"emoji_meg_gg",0,100,
,,,"emoji_janet_phew",0,100,
,,,"emoji_chester_sad",0,100,
,,,"emoji_otto_angry",0,100,
,,,"emoji_stu_gg",0,100,
,,,"emoji_griff_phew",0,100,
,,,"emoji_bp_fantasy_thanks",0,100,
,,,"emoji_lilt_thanks",0,100,
,,,"emoji_pearl_angry",0,100,
,,,"emoji_pirates_thumbup",0,100,
,,,"emoji_pearl_clap",0,100,
,,,"emoji_berry_clap",0,100,
,,,"emoji_bp_goodrandoms_sad",0,100,
,,,"emoji_moonharvest_bunny25",0,100,
,,,"emoji_brawlentines_kiss1",0,100,
,,,"emoji_angelo_phew",0,100,
,,,"emoji_lili_clap",0,100,
,,,"emoji_edgar_clap",0,100,
,,,"emoji_shade_sad",0,100,
,,,"emoji_primo_clap",0,100,
,,,"emoji_bp_starrforce_gg",0,100,
,,,"emoji_ziggy_thanks",0,100,
,,,"emoji_demon2",0,100,
,,,"emoji_bp_goodrandoms_gg",0,100,
,,,"emoji_selena_clap",0,100,
,,,"emoji_mandy_gg",0,100,
,,,"emoji_monkey_blind",0,100,
,,,"emoji_summer_sweat",0,100,
,,,"emoji_charlotte_gg",0,100,
,,,"emoji_maisie_angry",0,100,
,,,"emoji_cameron_thanks",0,100,
,,,"emoji_angelo_gg",0,100,
,,,"emoji_ruffs_thanks",0,100,
,,,"emoji_stu_angry",0,100,
,,,"emoji_squeak_gg",0,100,
,,,"emoji_mandy_angry",0,100,
,,,"emoji_quiet",0,100,
,,,"emoji_berry_phew",0,100,
,,,"emoji_france_cock",0,100,
,,,"emoji_bp_toon_angry",0,100,
,,,"emoji_squeak_thanks",0,100,
,,,"emoji_samurai_sad",0,100,
,,,"emoji_popstar",0,100,
,,,"emoji_clancy_thanks",0,100,
,,,"emoji_dino_sad",0,100,
,,,"emoji_gigi_sad",0,100,
,,,"emoji_pierce_phew",0,100,
,,,"emoji_willow_gg",0,100,
,,,"emoji_angel1",0,100,
,,,"emoji_mina_gg",0,100,
,,,"emoji_bp_kaiju_clap",0,100,
,,,"emoji_nita_clap",0,100,
,,,"emoji_gus_thanks",0,100,
,,,"emoji_lny_orange",0,100,
,,,"emoji_bp_sandsoftime2_sad",0,100,
,,,"emoji_bonnie_thanks",0,100,
,,,"emoji_zombies_spider",0,100,
,,,"emoji_berry_sad",0,100,
,,,"emoji_digger_clap",0,100,
,,,"emoji_demon1",0,100,
,,,"emoji_meeple_angry",0,100,
