"Name","TicketsInDancerBrawlerBox","TicketsInFuryBrawlerBox","TicketsInDaredevilBrawlerBox","TicketsInPierceBox","TicketsInGlowbertBox","TicketsInShadowdemonBox","TicketsInRedirecterBox","TicketsInGladiatorBox","TicketsInMagicalGirlBox","TicketsInRockBox","TicketsInKatanaKidBox","TicketsInFutureGirlBox","TypeName","SpecificBrawler","TypeValue","InPremiumDraw","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount","NoEventFallbackTypeName","NoEventFallbackAmount","TierForVisualization","SkinsInReward","TicketsInSkinDraw","SpraysInReward","TicketsInSprayDraw","ProfilePicsInReward","TicketsInProfilePicDraw","PinsInReward","TicketsInPinDraw"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_mina_phew",1
"Fury Brawler",,2,,,,,,,,,,,"SpecificBrawler","Fury",,,,,,,"Credits",1000,,,,,,,,,,,
"Fury Skin 29",,,,,,,,,,,,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"TntGuyRare",1,,,,,,
"Fury Skin 79",,10,,,,,,,,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"RollerPunk",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BaseballWarrior",1,,,,,,
"Fury Skin 149",,10,,,,,,,,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"UndertakerGreaser",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"RocketGirlHotrod",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"JesterLoki",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DeadMariachiPunk",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"SnakeOilWizard_white",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"SplitterCultist",1,,,,,,
"Fury Skin 199",,6,,,,,,,,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"Fury199Gem",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Fury199GemChroma1",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Fury199GemChroma2",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DeadMariachiOnceupon",1,,,,,,
"Fury Skin 299",,1,,,,,,,,,,,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"DragonRiderOnceupon",1,,,,,,
"Fury Spray",,40,,,,,,,,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_saw_robot_01",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_saw_robot_02",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_saw_robot_03",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_ziggy_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_ziggy_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_ziggy_3",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_box_ziggy",1,,,,
"Fury Icon",,20,,,,,,,,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_action",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_badrandoms",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_super1",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_ziggy_box",1,,
"Fury Pin",,93,,,,,,,,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_monkey_blind",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_monkey_dumb",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_champie_lighter",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_fire",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_box_ziggy",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_ziggy_clap",1
"Daredevil Brawler",,,3,,,,,,,,,,"SpecificBrawler","Daredevil",,,,,,,"Credits",1000,,,,,,,,,,,
"Daredevil Skin 29",,,,,,,,,,,,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"PuppeteerAxl",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"CocoonerRare",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"VoodooRare",1,,,,,,
"Daredevil Skin 79",,,5,,,,,,,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"WeaponThrowerDarkcircus",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"JesterWoodspirit",1,,,,,,
"Daredevil Skin 149",,,8,,,,,,,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"DuplicatorDarkcircus",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ArcadeHauntedHouse",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DuplicatorOutlaw",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DeadMariachiOutlaw",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"JetpackGirlDarkFairy",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"CrowVulture",1,,,,,,
"Daredevil Skin 199",,,5,,,,,,,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"DaredevilScarecrow",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DaredevilScarecrow199GemChroma1",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DaredevilScarecrow199GemChroma2",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"SnakeOilDarkcircus",1,,,,,,
"Daredevil Skin 299",,,1,,,,,,,,,,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"ShamanDarkcircus",1,,,,,,
"Daredevil Spray",,,80,,,,,,,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_gigi",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_crymask",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_wasteland",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_sad_clown",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_saw_robot_01",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_saw_robot_02",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_saw_robot_03",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_gigi_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_gigi_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_gigi_3",1,,,,
"Daredevil Icon",,,20,,,,,,,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_gigi_box",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_toys1",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_toys2",1,,
"Daredevil Pin",,,60,,,,,,,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_gigi",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_clown",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_fire",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_football_vuvuzela",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_gigi_clap",1
"Bulletstorm Brawler",,,,2,,,,,,,,,"SpecificBrawler","Bulletstorm",,,,,,,"Credits",1000,,,,,,,,,,,
"Bulletstorm Skin 29",,,,,,,,,,,,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"DomainRare",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ElectroSniperRare",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"HammerDudeVacation",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"WallyHawaii",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"SnakeOilTropical",1,,,,,,
"Bulletstorm Skin 79",,,,8,,,,,,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"NinjaDino",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"UndertakerBeach",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"MinigunDudeSummer",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"RocketGirlBeach",1,,,,,,
"Bulletstorm Skin 149",,,,5,,,,,,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"RosaCoco",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"RopeDudeLollipop",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ReviverFantasy",1,,,,,,
"Bulletstorm Skin 199",,,,5,,,,,,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"Bulletstorm199Gem",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Bulletstorm199GemChroma1",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Bulletstorm199GemChroma2",1,,,,,,
"Bulletstorm Skin 299",,,,2,,,,,,,,,"ListedSkin",,,,200,299,,,"Bling",1000,,,,"FireDudeFrost",1,,,,,,
"Bulletstorm Spray",,,,50,,,,,,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_pierce",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_floaty_donut",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_floaty_flamingo",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_floaty_palmtree",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_floaty_hotdog",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_icecreamcactus",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_pierce_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_pierce_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_pierce_3",1,,,,
"Bulletstorm Icon",,,,20,,,,,,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_pierce_box",1,,
"Bulletstorm Pin",,,,50,,,,,,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_pierce",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_pierce",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_pierce_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_pierce_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_pierce_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_pierce_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_pierce_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_pierce_clap",1
"Mender Brawler",,,,,2,,,,,,,,"SpecificBrawler","Mender",,,,,,,"Credits",1000,,,,,,,,,,,
"Mender Skin 29",,,,,,,,,,,,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"BeeSniperLadyBug",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"NinjaCat",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AmbusherRare",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"SilencerSewer",1,,,,,,
"Mender Skin 79",,,,,8,,,,,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"ElectroSniperPlanthunter",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"SpawnerDudeFly",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ShamanKoala",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"WallyWeirdPlant",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"PuppeteerWasteland",1,,,,,,
"Mender Skin 149",,,,,7,,,,,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"BaseballPirate",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BullDudeLion",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"DuelistWasteland",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AssaultShotgunTreasure",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"RosaMantis",1,,,,,,
"Mender Skin 199",,,,,6,,,,,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"MechaDudePirate",1,,,,,,
"Mender Spray",,,,,50,,,,,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_bp_deepsea-extra2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_bp_deepsea-extra1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_box_glowbert",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_feudaljapan_stinky",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_feudaljapan_lily",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_glowbert1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_glowbert2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_glowbert3",1,,,,
"Mender Icon",,,,,20,,,,,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_glowbert_box",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_kaiju_eye",1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"player_icon_steampunk_skull",1,,
"Mender Pin",,,,,50,,,,,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_glowbert",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_glowbert",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_glowbert_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_glowbert_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_glowbert_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_glowbert_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_glowbert_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_glowbert_clap",1
"Shadowdemon Brawler",,,,,,1,,,,,,,"SpecificBrawler","Shadowdemon",,,,,,,"Credits",1500,,,,,,,,,,,
"Redirecter Brawler",,,,,,,3,,,,,,"SpecificBrawler","Redirecter",,,,,,,"Credits",1000,,,,,,,,,,,
"Redirecter Skin 29",,,,,,,10,,,,,,"ListedSkin",,,,1,29,,,"Bling",500,,,,"ChronomancerRare",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"HookDudeMonkey",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandstormsleepy",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BlackHoleBlue",1,,,,,,
"Redirecter Skin 79",,,,,,,8,,,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"RuffsSandsOfTimes",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"VoodooSandsOfTimes",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"CrowWhite",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"PuppeteerWasteland",1,,,,,,
"Redirecter Skin 149",,,,,,,7,,,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"MeepleSandsOfTimes",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"SkaterSandsOfTimes",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"PowerLevelerGenie",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"WhirlwindRamadan",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"TrickshotDudeBazaar",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"UndertakerBazaar",1,,,,,,
"Redirecter Skin 199",,,,,,,6,,,,,,"ListedSkin",,,,150,199,,,"Bling",1000,,,,"EnragerThief",1,,,,,,
"Redirecter Spray",,,,,,,50,,,,,,"ListedSpray",,,,,,,,"Bling",75,,,,,,"spray_box_najia",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_najia_1",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_najia_2",1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"spray_najia_3",1,,,,
"Redirecter Icon",,,,,,,20,,,,,,"ListedProfilePic",,,,,,,,"Bling",50,,,,,,,,"player_icon_najia_box",1,,
"Redirecter Pin",,,,,,,50,,,,,,"ListedPin",,,,,,,,"Bling",100,,,,,,,,,,"emoji_box_najia",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_naji",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_naji_sad",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_naji_angry",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_naji_gg",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_naji_thanks",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_naji_phew",1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"emoji_naji_clap",1
"Gladiator Brawler",,,,,,,,3,,,,,"SpecificBrawler","Gladiator",,,,,,,"Credits",1000,,,,,,,,,,,
"Gladiator Skin 79",,,,,,,,8,,,,,"ListedSkin",,,,30,79,,,"Bling",750,,,,"MorningstarGreekGod",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BarkeepUnicorn",1,,,,,,
"Gladiator Skin 149",,,,,,,,7,,,,,"ListedSkin",,,,80,149,,,"Bling",1000,,,,"MechanicKnight",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LuchadorDragonChroma",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"BeamerOnceupon",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"AttacherOnceupon",1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"ControllerOnceupon",1,,,,,,
