"Name","BehaviorType","EquipType","OverchargedVersion","CanMoveAtSameTime","Targeted","AutoAttackTargetingType","AttackFacing","Cooldown","BonusSkillCooldown","ActiveTime","CastingTime","CastingRange","RangeVisual","RangeInputScale","MaxCastingRange","AllowAimOutsideMap","ForceValidTile","RechargeTime","MaxCharge","Damage","DamageForUlti","PercentDamage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","MovementSpeed","ChargePushback","OverchargedChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","BreakInvisibilityOnAttack","SeeInvisibilityDistance","AlwaysCastAtMaxRange","RestrictCastOnSkillActive","Projectiles","OverchargedProjectiles","OverchargedChainProjectile","SummonedCharacters","OverchargedSummonedCharacters","AreaEffectObject","DontTriggerAreaAtEndOfCharge","AreaEffectObject2","AreaEffect2AtEndOfCharge","OverchargedAreaEffectObject","OverchargedAreaEffectObject2","AreaEffectFollowType","MeleeAttackPiercesEnvironment","MeleeAttackOnHitActions","ConsumableShieldValue","ConsumableShieldTicks","SpawnedItem","OverchargedSpawnedItem","SpawnItemTriggerType","ButtonSWF","ButtonExportName","ButtonExportNameBlue","CastingEffect","AttackEffect","OverchargedAttackEffect","UseEffect","OverchargedUseEffect","EndEffect","OverchargedEndEffect","LoopEffect","LoopEffect2","OverchargedLoopEffect","OverchargedLoopEffect2","OverrideMusicWhenEquipped","ChargeMoveSound","MultiShot","SkillChangeType","SecondarySkill","SecondarySkill2","SecondarySkill3","SecondarySkill4","ShowTimerBar","ChargedShotCount","DamageModifier","HoldToShoot","UsableInShadowRealm","HealSelfOnActivationType","HealSelfOnActivationPower","LowHealthSpeedupPercent","ActivationSelfStatusEffects","ActivationSelfStatusEffectsOvercharged","OnChargeHitStatusEffect","OnChargeHitStatusEffectOvercharged","InterruptType","TID","Desc","BooleanAttributes","CustomString","CustomString2","CustomValue","CustomValue2","BotUsageHint","ForceWalkAnim","AttackAnimationSpeed","OnChargeHitSelfStatusEffect","ShowChainIndicator"
"MechanicUlti","Attack","ulti","","true","true","","","50","","250","","15","","","","","1","","","","-1","","200","","","1","","true","","","","","","1","1","","","","","MechanicUltiProjectile","MechanicOverchargedUltiProjectile","","MechanicTurret","","","","","","","","","","","","","","","","","","","","mechanic_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ShamanWeapon","Attack","weapon","ShamanOverchargedWeapon","true","true","","","250","","150","","18","","","","","","1100","3","960","-1","","100","0","","1","","true","","","","","","","","","","","","ShamanProjectile","","","","","","","","","","","","","","","","","","","","","","","shaman_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ShamanOverchargedWeapon","Attack","weapon","","true","true","","","250","","150","","20","","","","","","1100","3","960","-1","","100","0","","1","","true","","","","","","","","","","","","ShamanOverchargedProjectile","ShamanOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","shaman_attack","nita_def_buddy_oc_atk","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ShamanUlti","Attack","ulti","","true","true","","","50","","250","","15","","","","","1","","","","-1","","200","","","1","","true","","","","","","1","1","","","","","ShamanUltiProjectile","ShamanOverChargedUltiProjectile","","ShamanPet","","","","","","","","","","","","","","","","","","","","shaman_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TntDudeWeapon","Attack","weapon","","true","true","","","250","","150","","22","","","","","","1400","3","800","-1","","100","30","","2","","true","","","","","","","","","","","","TntDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","tnt_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"TntDudeUlti","Attack","ulti","","true","true","","","250","","150","","22","","","","","","","","2200","-1","","100","0","","1","","true","","","","","","","","","","","","TntDudeUltiProjectile","TntDudeOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LuchadorWeapon","Attack","weapon","","true","true","","","50","","650","","9","","","","","","800","3","380","-1","","150","0","","1","true","true","","","","","","","","","","","","PrimoDefProjectile","","","","","","","","","","","","","","","","","","","","","","","luchador_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"LuchadorUlti","Charge","ulti","","","true","","","50","","","","27","","","","","","","","960","-1","","","","","","","","","130","-100","1600","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","luchador_ulti","luchador_overcharged_ulti","luchador_ulti_ground_hit","luchador_overcharged_ulti_ground_hit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UndertakerWeapon","Charge","weapon","UndertakerOverchargedWeapon","","true","","","0","","","","8","","","","","","2400","3","1000","-1","","","","","","","","","","","2700","4","","","","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","mortis_def_atk","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"UndertakerUlti","Attack","ulti","","true","true","","","0","","200","","30","","","","","","","","900","-1","","150","","","1","","true","","","","","","","","","","","","UndertakerUltiProjectile","UndertakerOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","undertaker_attack_ulti","","dummy_effect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowWeapon","Attack","weapon","CrowOverchargedWeapon","true","true","","","250","","150","","26","","","","","","1600","3","420","-1","","100","45","","3","","true","","","","","","","","","","","","CrowProjectile","","","","","","","","","","","","","","","","","","","","","","","crow_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"CrowOverchargedWeapon","Attack","weapon","","true","true","","","250","","150","","26","","","","","","1600","3","420","-1","","100","45","","3","","true","","","","","","","","","","","","CrowOverchargedProjectile","CrowOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","crow_attack","crow_def_buddy_oc_atk","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"CrowUlti","Charge","ulti","","","true","","","50","","","","26","","","","","","","","320","-1","","","","","","","","","0","","3000","2","","","","","","","","","","","","CrowUltiKnifes","","","","CrowOverchargedUltiKnifes","","","","","","","","","","","","","","","","crow_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiWeapon","Attack","weapon","","true","true","","","250","","150","","21","","","","","","1600","3","760","-1","","100","130","","4","","true","","","","","","","","","","","","DeadMariachiProjectile","","","","","","","","","","","","","","","","","","","","","","","poco_def_atk_direct","","poco_def_atk_root","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiUlti","Attack","ulti","","true","true","","","250","","150","","28","","","","","","","","2100","-1","","100","130","","3","","true","","","","","","","","","","","","DeadMariachiUltiProjectile","DeadMariachiOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","poco_def_atk_direct","poco_def_oc_muzzle","poco_def_ulti_root","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DeadMariachiWeaponNanoPower","Attack","weapon","","true","true","","","250","","150","","21","","","","","","1600","3","760","-1","","100","180","28","12","","true","","","","","","","","","","","","DeadMariachiProjectile","","","","","","","","","","","","","","","","","","","","","","","poco_def_atk_direct","","poco_def_atk_root","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BowDudeWeapon","Attack","weapon","BowDudeOverchargedWeapon","true","true","","","50","","650","","26","","","","","","1700","3","640","-1","","200","30","2","1","","true","","","","","","","","","","","","BowDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","bow_dude_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BowDudeUlti","Attack","ulti","","true","true","","","50","","250","","26","","","","","1","","","1440","-1","","200","","","1","","true","","","","","","1","1","","","","","BowDudeSpawnMineProjectile","BowDudeSpawnOverchargedMineProjectile","","","","","","","","","","","","","","","BoxOfMines","BoxOfOverchargedMines","","","","","","bo_def_ulti_attack","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SniperWeapon","Attack","weapon","","true","true","","","500","","150","","30","","","","","","2300","3","1800","-1","","100","","","1","","true","","","","","","","","","","","","SniperProjectile","","","","","","","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"SniperUlti","Charge","ulti","","","true","","","50","","","","26","","","","","","","","900","-1","","","","","","","","","0","","1500","6","1","1","","","","","","","","","","","","","","","","","","","","","BoxOfBombs","OverchargedBoxOfBombs","","","","","","","","sniper_ulti","","piper_def_ulti_end","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SniperWeaponNanoPower","Attack","weapon","","true","true","","","500","","500","","30","","","","","","2300","3","1800","-1","","250","","","1","","true","","","","","","","","","","","","SniperProjectile","","","","","","","","","","","","","","","","","","","","","","","sniper_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeWeapon","Attack","weapon","","true","true","","","50","","950","","27","","","","","","1300","3","300","-1","","100","60","3","1","","true","","","","","","","","","","","","MinigunDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","pam_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeUlti","Attack","ulti","","true","true","","","50","","250","","15","","","","","1","","","","-1","","200","","","1","","true","","","","","","1","1","","","","","MinigunDudeUltiProjectile","MinigunDudeOverchargedUltiProjectile","","HealingStation","OverchargedHealingStation","","","","","","","","","","","","","","","","","","","minigun_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MinigunDudeWeaponNano","Attack","weapon","","true","true","","","50","","950","","27","","","","","","1300","3","300","-1","","100","60","3","1","","true","","","","","","","","","","","","MinigunDudeProjectileNano","","","","","","","","","","","","","","","","","","","","","","","pam_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BlackHoleWeapon","Attack","weapon","","true","true","","","250","","150","","24","","","","","","1800","3","480","-1","","100","50","","3","","true","","","","","","","","","","","","BlackHoleProjectile","","","","","","","","","","","","","","","","","","","","","","","tara_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BlackHoleUlti","Attack","ulti","","true","true","","","250","","150","","20","","","","","","","","800","-1","","100","0","","1","","true","","","","","","","","","","","","BlackHoleUltiProjectile","BlackHoleOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","blackhole_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BarrelBotWeapon","Attack","weapon","","true","true","","","50","","550","","18","","","","","","1800","3","240","-1","","250","80","","5","true","true","","","","","","","","","","","","BarrelBotProjectile","BarrelBotOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","darryl_def_atk","darryl_def_oc_atk_fire","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BarrelBotUlti","Charge","ulti","","","true","","","50","","","","21","","","","","","","","660","-1","","","","","","","","","70","","2400","7","","","","","true","","","","","","","","","","","BarrelBotOverchargeChargeArea","","follow","","","","","","","","","","","","","","barrel_bot_ulti","","","","barrel_bot_ulti_loop","","","","","Barrelbot_step","","","","","","","","","","","","","","","BarrelbotShield","BarrelbotShieldOvercharged","","","","","","","","","","","","","","",""
"BarrelBotWeaponNanoPower","Attack","weapon","","true","true","","","50","","550","","18","","","","","","1800","3","240","-1","","250","","19","24","","true","","","","","","","","","","","","BarrelBotProjectile","BarrelBotOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","darryl_def_atk","darryl_def_oc_atk_fire","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeWeapon","Attack","weapon","","true","true","","","250","","150","","26","","","","","","2000","3","980","-1","","100","0","","1","","true","","","","","","","","","","","","ArtilleryDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","penny_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ArtilleryDudeUlti","Attack","ulti","","true","true","","","50","","250","","15","","","","","1","","","","-1","","200","","","1","","true","","","","","","1","1","","","","","ArtilleryDudeUltiProjectile","ArtilleryDudeOverchargedUltiProjectile","","ArtilleryDudeTurret","","","","","","","","","","","","","","","","","","","","artillery_dude_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForLaserBall","Attack","utility","","true","true","3","","250","","150","","24","","","","TRUE","","","","","-1","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBall","","","","","","","","","","","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForLaserBall","Attack","utility","","true","true","3","","250","","150","","36","","","","TRUE","","","","","-1","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBall","","","","","","","","","","","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummySkillForLaserBallBurning","Attack","utility","","true","true","3","","250","","150","","24","","","","TRUE","","","","","-1","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBallBurning","","","","","","","","","","","","","","","","","","","","","","","laser_ball_throw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DummyUltiSkillForLaserBallBurning","Attack","utility","","true","true","3","","250","","150","","36","","","","TRUE","","","","","-1","","100","","","1","","true","","","","","","","","","","","","DummyProjectileForLaserBallBurning","","","","","","","","","","","","","","","","","","","","","","","laser_ball_throw_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossRapidFire","Attack","weapon","","","true","3","","50","","1850","1250","40","","","","","","1250","3","900","-1","","300","90","3","1","","true","","","","","","","","","","","","BossProjectile","","","","","","","","","","","","","","","","","","","","","","","minion_missile_atk","","minion_warning_long","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BossCharge","Charge","ulti","","","true","3","","50","","","1000","33","","","","","","","","1400","-1","","","","","","","","","130","","1800","1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","minion_rush","","","","","Rhinostep","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HammerDudeWeapon","Attack","weapon","HammerDudeOverchargedWeapon","","true","","","50","","700","","18","","","","","","800","3","1160","-1","","600","130","","4","","","","","","","","","","","","","true","HammerDudeProjectile","","","","","","","","","","","","","","","","","","","","","","","hammer_dude_attack","","","","","","","","","","","","","","","","","","","","","","true","","","60","","","","","","","","","","","","","","","","",""
"HammerDudeUlti","Attack","ulti","","","true","","","50","","1200","","21","","","","","","","","1240","-1","","1100","130","","4","","","","","","","","","","","","","true","HammerDudeUltiProjectile","HammerDudeOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","hammer_dude_ulti","frank_def_oc_ulti","hammer_dude_start_ulti","frank_def_oc_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HookWeapon","Attack","weapon","","true","true","","","250","","150","","17","","","","","","2000","3","1000","-1","","100","0","","1","","true","","","","","","","","","","","","HookProjectile","","","","","","","","","","","","","","","","","","","","","","","gene_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"HookUlti","Attack","ulti","","true","true","","","250","","150","","23","","","","","","","","","-1","","100","","","1","","true","","","","","","","","","","","","HookUltiProjectile","HookUltiOverchargedProjectile","","","","","","","","","","","","","","","","","","","","","","gene_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDudeWeapon","Attack","weapon","","true","true","","","250","","150","","26","","","","","","2400","3","680","-1","","100","0","","1","","true","","","","","","","","","","","","ClusterBombProjectile","","","","","","","","","","","","","","","","","","","","","","","tick_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"ClusterBombDudeUlti","Attack","ulti","","true","true","","","50","","250","","10","","","","","1","","","","-1","","200","","","1","","true","","","","","","1","1","","","","","ClusterBombSummonProjectile","ClusterBombOverchargedSummonProjectile","","ClusterBombPet","","","","","","","","","","","","","","","","","","","","","","tick_def_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BoneThrowerWeapon","Attack","weapon","","true","true","","","250","","150","","27","","","","","","2000","3","","-1","","100","0","","1","","true","","","","","","","","","","","","BoneThrowerProjectile","","","","","","","","","","","","","","","","","","","","","","","bonethrower_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"BoneThrowerUlti","Attack","ulti","","true","true","","","250","","150","","27","","","","","","","","100","-1","","500","","","1","","true","","","","","","","","","","","","BoneThrowerUltiProjectile","","","","","","","","","","","","","","","","","","","","","","","bonethrower_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NinjaWeapon","Attack","weapon","NinjaOverchargedWeapon","true","true","","","50","","450","","29","","","","","","1900","3","480","-1","","100","35","2","1","true","true","","","","","","","","","","","","LeonDefProjectile","","","","","","","","","","","","","","","","","","","","","","","ninja_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"NinjaUlti","Invisibility","ulti","","true","","","","50","","6000","","","","","","","","","","","-1","","","","","","","","","","","","","","","true","1200","","","","","","","","","","","","","","","","","","","","","","","","","","","","ninja_go_invisible","ninja_go_invisible_overcharged","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","",""
"RosaWeapon","Attack","weapon","","true","true","","","50","","800","","11","","","","","","1000","3","500","-1","","250","130","","3","true","true","","","","","","","","","","","","RosaProjectile","","","","","","","","","","","","","","","","","","","","","","","rosa_def_atk","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"RosaUlti","Shield","ulti","","true","","","","50","","4000","","","","","","","","","","","-1","","70","","","","","","","","","","","","","","","","","","","","","","","","","","RosaOverchargedUltiArea","","","","","","","","","","","","","","","","rosa_def_ulti","rosa_def_overcharge_use","","","rosa_def_ulti_loop","","rosa_def_overcharge_loop","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","",""
"SandstormUlti","Attack","ulti","","true","true","","","250","","150","","22","","","","","","","","","-1","","100","0","","1","","true","","","","","","","","","","","","SandstormUltiProjectile","SandstormOverchargedUltiProjectile","","","","","","","","","","","","","","","","","","","","","","tnt_attack_ulti","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WhirlwindWeapon","Attack","weapon","","true","true","","","500","","150","","25","","","","","","2000","1","820","-1","","100","0","","1","","true","","","","","","","","","","","","WhirlwindProjectile","","","","","","","","","","","","","","","","","","","","","","","whirlwind_attack","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","",""
"WhirlwindUlti","Ww","ulti","","true","","","","50","","3000","","7","","","","","","","","500","-1","","600","","","","","","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","carl_def_ulti_loop","carl_def_ulti_ground","carl_def_oc_ulti_loop","carl_def_oc_ulti_ground","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","",""
