"Name","Logic","Disabled","FileName","OwnExportName","BlueExportName","RedExportName","NeutralExportName","Layer","ExportNameTop","ExportNameTopRed","ExportNameObject","Effect","LoopingEffect","ScaleLoopingEffect","HitEffect","AllowEffectInterrupt","PlaybackType","RotationType","Scale","IgnoreFadeout","SkinnedCustomValue","BlueSCW","RedSCW","SCWLayer"
"Brock_011_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_011_explosion_blue","","100","","","","","100","","","","",""
"Brock_012_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_012_atk_explosion_blue","","100","","","","","70","","","","",""
"Brock_012_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_012_explosion_blue","","100","","","","","100","","","","",""
"Brock_012_oc_atk_area","Brock_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_012_oc_atk_explosion_blue","","100","","","","","70","","","","",""
"Brock_012_oc_ulti_area","Brock_def_ulti_area","","sc/effects.sc","","","","","GroundHigh","","","","brock_012_oc_explosion_blue","","100","","","","","100","","","","",""
"Brock_012_spawn","HeroSpawn","","sc/effects_brawler.sc","","","","","GroundHigh","","","","brock_012_spawn","","100","","","","","100","","","","",""
"RocketGirlExplosion","RocketGirlExplosion","","sc/effects.sc","range400_blue","range400_blue","range400_red","","GroundHigh","","","","explosion_rocket_rose","","100","","","","","70","","","","",""
"RocketGirlUltiExplosion","RocketGirlUltiExplosion","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","explosion_rocket_rose_ulti","","100","","","","","100","","","","",""
"CactusExplosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_def_atk1_explosion","","100","","","","","70","","","","",""
"CactusSpikeExplosion","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"CactusUltiExplosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_def_ulti_explosion","","100","","","","","170","","","","",""
"Spike_002_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_002_atk1_explosion","","100","","","","","70","","","","",""
"Spike_002_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_002_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_002_ulti_explosion","","100","","","","","170","","","","",""
"Spike_003_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_003_atk1_explosion","","100","","","","","70","","","","",""
"Spike_003_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_003_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_003_ulti_explosion","","100","","","","","170","","","","",""
"Spike_004_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_004_atk1_explosion","","100","","","","","70","","","","",""
"Spike_004_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_004_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_004_ulti_explosion","","100","","","","","170","","","","",""
"Spike_005_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_005_atk1_explosion","","100","","","","","70","","","","",""
"Spike_005_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_005_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_005_ulti_explosion","","100","","","","","170","","","","",""
"Spike_006_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_006_atk1_explosion","","100","","","","","70","","","","",""
"Spike_006_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_006_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_006_ulti_explosion","","100","","","","","170","","","","",""
"Spike_007_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_007_atk1_explosion","","100","","","","","100","","","","",""
"Spike_007_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_007_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_007_ulti_explosion","","100","","","","","170","","","","",""
"Spike_008_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_008_atk1_explosion","","100","","","","","100","","","","",""
"Spike_008_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_008_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_008_ulti_explosion","","100","","","","","170","","","","",""
"Spike_009_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_009_atk1_explosion","","100","","","","","100","","","","",""
"Spike_009_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_009_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_009_ulti_explosion","","100","","","","","170","","","","",""
"Spike_010_atk1_explosion","CactusExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_010_atk1_explosion","","100","","","","","100","","","","",""
"Spike_010_atk2","CactusSpikeExplosion","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Spike_010_ulti_explosion","CactusUltiExplosion","","sc/effects.sc","","","","","GroundHigh","","","","spike_010_ulti_explosion","","100","","","","","170","","","","",""
"Barley_def_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_def_atk","","100","","","","","55","","","","",""
"Barley_def_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_def_ulti","","100","","","","","55","","","","",""
"Barley_002_atk","Barley_def_atk","","sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","","GroundHigh","","","","barley_002_atk","","100","","","","","55","","","","",""
"Barley_002_ulti","Barley_def_ulti","","sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","","GroundHigh","","","","barley_002_ulti","","100","","","","","55","","","","",""
"Barley_004_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_004_atk","","100","","","","","55","","","","",""
"Barley_004_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_004_ulti","","100","","","","","55","","","","",""
"Barley_005_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_005_atk","","100","","","","","55","","","","",""
"Barley_005_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_005_ulti","","100","","","","","55","","","","",""
"Barley_006_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_006_atk","","100","","","","","55","","","","",""
"Barley_006_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_006_ulti","","100","","","","","55","","","","",""
"Barley_007_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_007_atk","","100","","","","","55","","","","",""
"Barley_007_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_007_ulti","","100","","","","","55","","","","",""
"Barley_008_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_008_atk","","100","","","","","55","","","","",""
"Barley_008_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_008_ulti","","100","","","","","55","","","","",""
"Barley_009_atk","Barley_def_atk","","sc/effects.sc","","","","","GroundHigh","","","","barley_009_atk","","100","","","","","55","","","","",""
"Barley_009_ulti","Barley_def_ulti","","sc/effects.sc","","","","","GroundHigh","","","","barley_009_ulti","","100","","","","","55","","","","",""
"Bo_def_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_def_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_def_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_def_ulti2_explosion","","100","","","","","133","","","","",""
"Bo_def_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_def_explosion_blue","","100","","","","","70","","","","",""
"Bo_003_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_003_atk_explosion","","100","","","","","70","","","","",""
"Bo_003_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_003_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_004_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_004_atkhit_blue","","100","","","","","70","","","","",""
"Bo_004_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_004_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_005_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_005_atk_hit","","100","","","","","70","","","","",""
"Bo_005_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_005_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_005_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_005_ulti2_explosion","","100","","","","","133","","","","",""
"Bo_006_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_006_atkhit_blue","","100","","","","","70","","","","",""
"Bo_006_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_006_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_006_ulti2_area","Bo_006_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_006_ulti2_explosion","","100","","","","","133","","","","",""
"Bo_007_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_007_atkhit","","100","","","","","70","","","","",""
"Bo_007_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_007_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_007_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_007_ulti2_explosion","","100","","","","","133","","","","",""
"Bo_008_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_008_atk_hit","","100","","","","","70","","","","",""
"Bo_008_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_008_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_008_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_008_ulti2_explosion","","100","","","","","133","","","","",""
"Bo_009_atk_area","Bo_def_atk_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_009_atk_hit","","100","","","","","70","","","","",""
"Bo_009_ulti1_area","Bo_def_ulti1_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_009_ulti1_explosion","","100","","","","","70","","","","",""
"Bo_009_ulti2_area","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","bo_009_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_def_ulti","SniperBombExplosion","","sc/effects.sc","","","","","GroundHigh","","","","piper_def_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_003_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_003_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_004_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_004_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_005_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_005_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_006_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_006_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_007_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_007_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_008_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_008_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_009_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_009_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_010_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_010_ulti2_explosion","","100","","","","","133","","","","",""
"Piper_010_hc_ulti","Bo_def_ulti2_area","","sc/effects.sc","","","","","GroundHigh","","","","piper_010_hc_ulti2_explosion","","100","","","","","133","","","","",""
"BarkeepExplosion","BarkeepExplosion","","sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_blue","toxic_area_effect_red","","GroundHigh","","","","explosion_barkeep","","100","","","","","55","","","","",""
"BarkeepWizardExplosion","BarkeepExplosion","","sc/effects.sc","fireball_ground","fireball_ground","fireball_ground_red","","GroundHigh","","","","explosion_barkeep_wizard","","100","","","","","55","","","","",""
"BarkeepUltiExplosion","BarkeepUltiExplosion","","sc/effects.sc","toxic_area_effect_ulti_blue","toxic_area_effect_ulti_blue","toxic_area_effect_red","","GroundHigh","","","","explosion_barkeep_ulti","","100","","","","","55","","","","",""
"BarkeepWizardUltiExplosion","BarkeepUltiExplosion","","sc/effects.sc","fireball_ground","fireball_ground","fireball_ground_red","","GroundHigh","","","","explosion_ulti_barkeep_wizard","","100","","","","","55","","","","",""
"ExplodingBarrelExplosion","ExplodingBarrelExplosion","","sc/effects.sc","gen_explosion_ring1_area","gen_explosion_ring1_area","gen_explosion_ring1_area","","GroundHigh","","","","explosion_600","","100","","","","","100","","","","",""
"PoisonBarrelExplosion","PoisonBarrelExplosion","","sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_blue","toxic_area_effect_red","","GroundHigh","","","","explosion_800","","100","","","","","100","","","","",""
"TntDudeExplosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","explosion_tnt_dude","","100","","","","","100","","","","",""
"TntDudeUltiExplosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","explosion_tnt_dude_ulti","","100","","","","","165","","","","",""
"SpawnerDudeExplosion","SpawnerDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","explosion_generic_small","","100","","","","","100","","","","",""
"SpawnerDudeOverchargedExplosion","SpawnerDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","mrp_def_oc_ulti_explosion","","100","","","","","100","","","","",""
"PengulaExplosion","SpawnerDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","explosion_pengula","","100","","","","","100","","","","",""
"Mrp_003_atk_explosion","SpawnerDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","mrp_003_atk_explosion","","100","","","","","100","","","","",""
"Mrp_004_atk_explosion","SpawnerDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","mrp_004_atk_explosion","","100","","","","","100","","","","",""
"Mrp_005_atk_explosion","SpawnerDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","mrp_005_atk_explosion","","100","","","","","100","","","","",""
"Mrp_006_atk_explosion","SpawnerDudeExplosion","","sc/effects_brawler_mrp.sc","","","","","GroundHigh","","","","mrp_006_atk_explosion","","100","","","","","100","","","","",""
"Mike_005_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_005_ulti_explosion","","100","","","","","165","","","","",""
"Mike_007_explosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_007_explosion","","100","","","","","100","","","","",""
"Mike_007_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_007_ulti_explosion","","100","","","","","165","","","","",""
"Mike_008_explosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_008_explosion","","100","","","","","100","","","","",""
"Mike_008_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_008_ulti_explosion","","100","","","","","165","","","","",""
"Mike_009_explosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_009_explosion","","100","","","","","100","","","","",""
"Mike_009_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_009_ulti_explosion","","100","","","","","165","","","","",""
"Mike_010_explosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_010_explosion","","100","","","","","100","","","","",""
"Mike_010_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_010_ulti_explosion","","100","","","","","165","","","","",""
"Mike_011_explosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_011_explosion","","100","","","","","100","","","","",""
"Mike_011_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_011_ulti_explosion","","100","","","","","165","","","","",""
"Mike_012_explosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_012_explosion","","100","","","","","100","","","","",""
"Mike_012_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_012_ulti_explosion","","100","","","","","165","","","","",""
"Mike_012_oc_explosion","TntDudeExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_012_oc_explosion","","100","","","","","100","","","","",""
"Mike_012_oc_cluster_explosion","TntDudeOverchargedUltiClusterExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_012_oc_explosion","","100","","","","","100","","","","",""
"Mike_012_oc_ulti_explosion","TntDudeUltiExplosion","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_012_oc_ulti_explosion","","100","","","","","165","","","","",""
"Mike_012_oc_spawn","HeroSpawn","","sc/effects_brawler.sc","","","","","GroundHigh","","","","dynamike_012_oc_spawn","","100","","","","","100","","","","",""
"BowDudeExplosion","BowDudeExplosion","","sc/effects.sc","range400_blue","range400_blue","range400_red","","GroundHigh","","","","explosion_bow_dude","","100","","","","","70","","","","",""
"CrowUltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow002UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow003UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow004UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow005UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow006UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow007UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow009UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"Crow010UltiKnifes","CrowUltiKnifes","","sc/effects.sc","","","","","GroundHigh","","","","","","100","","","","","100","","","","",""
"crow_010_spawn","HeroSpawn","","sc/effects_brawler.sc","","","","","GroundHigh","","","","crow_010_spawn","","100","","","","","100","","","","",""
"mecha_007_spawn","HeroSpawn","","sc/effects_brawler.sc","","","","","GroundHigh","","","","mecha_007_spawn","","100","","","","","100","","","","",""
"HealingStationHeal","HealingStationHeal","","sc/effects_brawler.sc","","","","","GroundHigh","","","","pam_def_ulti_area_active","pam_def_ulti_area_loop","100","","","","","125","","","","",""
"HealingStationHeal2","HealingStationHeal","","sc/effects_brawler.sc","","","","","GroundHigh","","","","pam_003_ulti_area_active","pam_003_ulti_area_loop","100","","","","","125","","","","",""
"HealingStationHeal3","HealingStationHeal","","sc/effects_brawler.sc","","","","","GroundHigh","","","","pam_006_ulti_area_active","pam_006_ulti_area_loop","100","","","","","125","","","","",""
"HealingStationHeal4","HealingStationHeal","","sc/effects_brawler.sc","","","","","GroundHigh","","","","pam_007_ulti_area_active","pam_007_ulti_area_loop","100","","","","","125","","","","",""
"Heal","Heal","","sc/effects.sc","heal_area_effect_blue","heal_area_effect_blue","heal_area_effect_red","","GroundHigh","","","","","","100","","","","","100","","","","",""
"MineExplosion","MineExplosion","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","explosion_600","","100","","","","","133","","","","",""
"SniperBombExplosion","SniperBombExplosion","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","explosion_600","","100","","","","","133","","","","",""
"BlackHoleUltiExplosion","BlackHoleUltiExplosion","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","blackhole_ulti_damage","","100","","","","","100","","","","",""
"BlackHoleUltiSuck","BlackHoleUltiSuck","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","blackhole_ulti_suck","","100","","","","","235","","","","",""
"Tara004UltiExplosion","BlackHoleUltiExplosion","","sc/effects.sc","range450_blue","range450_blue","range450_red","","GroundHigh","","","","tara_004_ulti_explosion","","100","","","","","100","","","","",""
"Tara004UltiSuck","BlackHoleUltiSuck","","sc/effects.sc","range450_blue_tara","range450_blue_tara","range450_red","","GroundHigh","","","","tara_004_ulti_suck","","100","","","","","200","","","","",""
"Tara005UltiSuck","BlackHoleUltiSuck","","sc/effects.sc","range450_blue_tara","range450_blue_tara","range450_red","","GroundHigh","","","","tara_005_ulti_suck","","100","","","","","200","","","","",""
"Tara006UltiSuck","BlackHoleUltiSuck","","sc/effects.sc","range450_blue_tara","range450_blue_tara","range450_red","","GroundHigh","","","","tara_006_ulti_suck","","100","","","","","200","","","","",""
"Tara007UltiSuck","BlackHoleUltiSuck","","sc/effects.sc","range450_blue_tara","range450_blue_tara","range450_red","","GroundHigh","","","","tara_007_ulti_suck","","100","","","","","200","","","","",""
"Tara008UltiSuck","BlackHoleUltiSuck","","sc/effects.sc","range450_blue_tara","range450_blue_tara","range450_red","","GroundHigh","","","","tara_008_ulti_suck","","100","","","","","200","","","","",""
"ArtilleryDudeTurretExplosion","ArtilleryDudeTurretExplosion","","sc/effects.sc","","","","","GroundHigh","","","","penny_def_turret_explosion","","100","","","","","100","","","","",""
"ArtilleryDudeOverchargedTurretExplosion","ArtilleryDudeTurretExplosion","","sc/effects.sc","","","","","GroundHigh","","","","penny_def_oc_ulti_spawn","","100","","","","","100","","","","",""
"ArtilleryDudeOverchargedExplosion","BurnUlti","","sc/effects_brawler.sc","penny_def_oc_turret_exp_ring","penny_def_oc_turret_exp_ring","penny_def_oc_turret_exp_ring_red","","GroundHigh","","","","penny_def_oc_turret_exp_ground","","100","","","","","55","","","","",""
"Penny005TurretExplosion","ArtilleryDudeTurretExplosion","","sc/effects.sc","","","","","GroundHigh","","","","penny_005_turret_explosion","","100","","","","","100","","","","",""
"Penny006TurretExplosion","ArtilleryDudeTurretExplosion","","sc/effects.sc","","","","","GroundHigh","","","","penny_006_turret_explosion","","100","","","","","100","","","","",""
"Penny007TurretExplosion","ArtilleryDudeTurretExplosion","","sc/effects.sc","","","","","GroundHigh","","","","penny_007_turret_explosion","","100","","","","","100","","","","",""
"penny007BurnUlti","BurnUlti","","sc/effects_brawler.sc","fireball_ground","fireball_ground","fireball_ground_red","","GroundHigh","","","","penny_007_ulti_burn","","100","","","","","55","","","","",""
