"Name","Mode","IncludedCampaigns","SectionTitleTID","SectionItemTID","SectionInfoTID","LastChanceSectionSeparately","LastChanceSectionTID","GroupCampaign","GroupShopItem","ShopItemCharacters","CheckDataFromOffers","PurchasePopupBg","EmotesBundle"
"GoldenWeek",16,"GOLDENWEEK","TID_SHOP_GOLDENWEEK_SKINS","TID_SHOP_GOLDENWEEK_TITLE","TID_SHOP_GOLDENWEEK_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","SpawnerDude","TRUE","goldenweek","Goldenweek"
,,,,,,,,,,"BeeSniper",,,
,,,,,,,,,,"Shaman",,,
,,,,,,,,,,"Mechanic",,,
"Villains",17,"VILLAINS","TID_SHOP_VILLAINS_SKINS","TID_SHOP_VILLAINS_TITLE","TID_SHOP_VILLAINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","Duplicator","TRUE","villains","Villains"
,,,,,,,,,,"CannonGirl",,,
,,,,,,,,,,"SnakeOil",,,
"Deepsea",18,"DEEPSEA","TID_SHOP_DEEPSEA_SKINS","TID_SHOP_DEEPSEA_TITLE","TID_SHOP_DEEPSEA_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","ElectroSniper","TRUE","deepsea","Deepsea"
,,,,,,,,,,"Gunslinger",,,
,,,,,,,,,,"KickerDude",,,
"Brawloween22",19,"BRAWLOWEEN22","TID_SHOP_BRAWLOWEEN_SKINS","TID_SHOP_BRAWLOWEEN_TITLE","TID_SHOP_BRAWLOWEEN_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk",,"TRUE","brawloween",
"Retro22",20,"RETRO22","TID_SKIN_INFO_CAMPAIGN_RETRO_TITLE","TID_SKIN_INFO_CAMPAIGN_RETRO_TITLE","TID_RETRO_SKINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","Whirlwind","TRUE","retro",
,,,,,,,,,,"Undertaker",,,
,,,,,,,,,,"Arcade",,,
,,,,,,,,,,"Barkeep",,,
,,,,,,,,,,"RocketGirl",,,
"Darkmas",21,"DARKMAS","TID_SHOP_DARKMAS_SKINS","TID_SKIN_INFO_CAMPAIGN_DARKMAS_TITLE","TID_DARKMAS_SKINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","WeaponThrower","TRUE","darkmas",
,,,,,,,,,,"FireDude",,,
,,,,,,,,,,"Knight",,,
"Candyland",22,"CANDYLAND","TID_SHOP_CANDYLAND_SKINS","TID_SKIN_INFO_CAMPAIGN_CANDYLAND_TITLE","TID_CANDYLAND_SKINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","RopeDude","TRUE","candyland",
,,,,,,,,,,"Shaman",,,
,,,,,,,,,,"BarrelBot",,,
"Masks",23,"MASKS","TID_SHOP_MASKS_SKINS","TID_SKIN_INFO_CAMPAIGN_MASKS_TITLE","TID_MASKS_SKINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","Silencer","TRUE","masks",
,,,,,,,,,,"TntDude",,,
,,,,,,,,,,"Duplicator",,,
"Hub",24,"HUB","TID_SHOP_HUB_SKINS","TID_SKIN_INFO_CAMPAIGN_HUB_TITLE","TID_HUB_SKINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","Luchador","TRUE","hub",
,,,,,,,,,,"BullDude",,,
,,,,,,,,,,"DoorMan",,,
"Jungle",25,"JUNGLE","TID_SHOP_JUNGLE_SKINS","TID_SKIN_INFO_CAMPAIGN_JUNGLE_TITLE","TID_JUNGLE_SKINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","Speedy","TRUE","jungle",
,,,,,,,,,,"Gunslinger",,,
,,,,,,,,,,"ShieldTank",,,
"Olympus",26,"OLYMPUS","TID_SHOP_OLYMPUS_SKINS","TID_SKIN_INFO_CAMPAIGN_OLYMPUS_TITLE","TID_OLYMPUS_SKINS_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","Controller","TRUE","olympus",
,,,,,,,,,,"RocketGirl",,,
,,,,,,,,,,"ClusterBombDude",,,
"Cursed",27,"CURSED","TID_SHOP_CURSED_SKINS","TID_SKIN_INFO_CAMPAIGN_CURSED_TITLE","TID_SKIN_SET_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","AssaultShotgun","TRUE","cursed",
,,,,,,,,,,"MechaDude",,,
,,,,,,,,,,"PowerLeveler",,,
,,,,,,,,,,"Baseball",,,
"Goldenball",28,"GOLDENBALL","TID_SHOP_GOLDENBALL_SKINS","TID_SKIN_INFO_CAMPAIGN_GOLDENBALL_TITLE","TID_SKIN_SET_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","BarrelBot","TRUE","goldenball",
,,,,,,,,,,"TntDude",,,
,,,,,,,,,,"CannonGirl",,,
"Enchanted",29,"ENCHANTED","TID_SHOP_ENCHANTED_SKINS","TID_SKIN_INFO_CAMPAIGN_ENCHANTED_TITLE","TID_SKIN_SET_INFO","FALSE","TID_SHOP_LAST_CHANCE_SKINS","TRUE","offer_1_item_skin_pack_punk","IceDude","TRUE","enchanted",
,,,,,,,,,,"Arcade",,,
,,,,,,,,,,"JetpackGirl",,,
