"Name","SpawnCondition","SpawnConditionData","BossTraits","SetupHpThresholds","VulnerableStateStartTicks","VulnerableStateDurationTicks","VulnerableStatusEffect","AwakeDistance","MovableTileUpDownLeftRight","EscapeDistance","NumSkills","AttackSkills","AttackMaxCount","DamageIncrease","ProjectileSpeedIncrease","AttackPreDelayTicks","AttackCooldownTicks","AttackIndicatorStyles","AttackIndicatorAreaEffects","AttackIndicatorDistances","AttackIndicatorAddWidth","MoveStyle","SkipForWin","SpawnBossOnDeath","PlayLoseAnimOnDeath","CountToKill","PhaseNumber","DropPowerCubeCount","SpawnTeamMateTime","SkillTPCameraType","BattleIntroFrameLabel","BattleIntroTomlConfigId","BossModeNameTID","ChatSuggestionItemName","GameModeIconName","GameModeRoomIconName","ChargeRadiusMod","SpawnedPetRandomSkin","HideInMapPreview"
"MegaBossSplitterHead",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,4,"MegaBossSplitterAtk;MegaBossSplitterWeapon;MegaBossSplitterWeaponRange;MegaBossSplitterCharge","1;1;0;0",0,-15,"40;25;30;30","40;30;40;50","0;0;3;3","-;-;-;-","0;-1;-1;-1","0;0;300;550","1;1;1;1","TRUE",,"TRUE","TRUE",,,-1,"0;0;0;0","boss_rt_brawloween",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_rt_brawloween","event_icon_boss_rt_brawloween","event_gameroom_boss_rt_brawloween",,,
,,,,,350,60,,,,,,,"1;2;1;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;3;2;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3;2;2",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3;3;2",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3;4;3",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossKenjiGhost",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaKenjiPushAway;MegaKenjiAttackSlowProjectiles;MegaKenjiSpawnRobots;MegaKenjiCharge;MegaKenji360Madness;MegaKenjiSpawnKenji","1;3;2;1;0;0",0,-15,"20;20;30;30;40;35","20;30;30;30;40;35","0;0;0;3;1;1","-;-;-;-;MegaBossWarning360;MegaBossCrowMidSizeIndicator","0;-1;-1;-1;100;3000","0;0;0;350;0;0","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_kenji_ghost",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_kenji_ghost","event_icon_boss_kenji_ghost","event_gameroom_boss_kenji_ghost",,,
,,,,,350,60,,,,,,,"1;3;2;1;2;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;3;3;1;2;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3;3;1;2;1",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;3;1;3;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;3;2;3;1",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossCrow",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,-15,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_crow_brawloween",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween",,,
,,,,,350,60,,,,,,,"1;3;1;3;1;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;3;1;3;2;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;1;4;2;1",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;4;4;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;4;4;1",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossCrowRed",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,-15,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_crow_brawloween",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween",,,
,,,,,350,60,,,,,,,"1;3;1;3;0;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;3;1;3;1;0",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;1;4;1;0",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;4;3;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;4;3;1",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossCrowWhite",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossCrowPushAway;MegaBossCrowWeapon;MegaBossCrowUltiBack;MegaBossCrowSecondWeapon;MegaBossCrowSecondUlti;MegaBossCrowUlti","1;2;0;2;0;0",0,-15,"20;30;30;30;40","20;30;32;35;40","0;0;0;0;1;1","-;-;-;-;MegaBossCrowUltiIndicator;MegaBossCrowMidSizeIndicator","-1;-1;0;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_crow_brawloween",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_crow_brawloween","event_icon_boss_crow_brawloween","event_gameroom_boss_crow_brawloween",,,
,,,,,350,60,,,,,,,"1;3;1;3;0;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;3;1;3;1;0",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;1;4;1;0",50,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;4;3;1",100,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;4;3;1",150,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossFrank",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossFrankAttackPushAway;MegaBossFrankAttackUlti;MegaBossFrankAttackCharge;MegaBossFrankAoePull;MegaBossFrankAttackHyper;MegaBossFrankSpawnAdds","1;2;1;0;1;0",0,-15,"10;10;20;10;10;15","10;10;30;10;10;20","0;0;0;0;0;0","-;-;-;-;-;-","-1;-1;-1;-1;-1;-1","0;0;650;0;0;0","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_frank_knight",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_st_frank","event_icon_boss_st_frank","event_gameroom_boss_st_frank",2,,
,,,,,350,60,,,,,,,"1;3;2;0;1;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;4;2;1;2;1",0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;1;3;1",50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;1;4;2",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;4;2;1;4;2",150,20,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossFang",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaBossFangPushAway;MegaBossFangAttack2;MegaBossFangAttack3;MegaBossFangAttack4;MegaBossFangAttack5","1;2;1;1;0",0,-15,"20;20;10;20;15","20;20;10;40;20","0;0;1;3;1","-;-;MegaBossAreaIndicatorSmall;-;MegaBossWarning360","0;-1;4000;-1;100","0;0;0;400;0","1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0","default",,"TID_MEGA_BOSS_TITLE_GENERAL",,,,,,
,,,,,350,60,,,,,,,"1;2;1;2;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;1;2;1;1",0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;2;1",50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",150,20,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossEmz",,,,,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaBossEmzPushAway;MegaBossEmzAttack2;MegaBossEmzAttack3;MegaBossEmzAttack4;MegaBossEmzAttack5","1;2;1;1;0",0,-15,"20;20;10;20;15","20;20;10;40;20","0;0;1;3;1","-;-;MegaBossAreaIndicatorSmall;-;MegaBossWarning360","0;-1;4000;-1;100","0;0;0;400;0","1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0","default",,"TID_MEGA_BOSS_TITLE_GENERAL",,,,,,
,,,,,350,60,,,,,,,"1;2;1;2;1",0,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;1;2;1;1",0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;2;1",50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;5;4;2",150,20,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossSTDg",,,,,0,0,"MegaBossVulnerableGen",25,"50;50;50;50",-1,2,"MegaBossDgPushAway;MegaBossDgAttackCharge","1;3",0,-15,"20;20","20;30","0;3","-;-","-1;-1","0;300","1;1",,,"TRUE","TRUE",,,-1,"0;0","boss_demogorgon",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_st_demogorgon","event_icon_boss_st_demogorgon","event_gameroom_boss_st_demogorgon",,,
,,,,,0,0,,,,,,,"1;3",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3",100,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3",150,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3",200,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3",250,20,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossSTVec",,,,,0,0,"MegaBossVulnerableGen",25,"50;50;50;50",-1,6,"MegaBossVecPushAway;MegaBossVecAttackBlackholeDistance;MegaBossVecAttackDropClock;MegaBossVecAttackSlowProjectile;MegaBossVecAttackBigBlackhole;MegaBossVecAttackRockExplosion","1;1;1;0;0;1",0,-15,"10;20;30;30;15;20","10;20;30;30;15;20","0;0;0;0;0;0","-;-;-;-;-;-","-1;-1;-1;-1;-1;-1","0;0;0;0;0;0","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_vecna","boss_vecna","TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_st_vecna","event_icon_boss_st_vecna","event_gameroom_boss_st_vecna",,,
,,,,,0,0,,,,,,,"1;1;1;1;0;1",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;1;1;1;1;1",100,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;2;1;1",150,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;2;1;2",200,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;1;2;2;2",250,20,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossStickyBomb",,,"MB_StickyBomb_Slow",,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,5,"MegaBossStickyPushAway;MegaBossStickyBombWeapon;MegaBossStickyBombUlti;MegaBossStickyBombWeaponSecond;MegaBossStickyBombUltiSecond","0;1;1;1;0",0,-15,"20;25;30;35;40","20;30;35;35;40","0;3;1;3;1;","''-;-;MegaBossCrowMidSizeIndicator;-;MegaBossWarning360","0;-1;-1;-1;-1","0;200;0;300;0","1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0","boss_valentines_squeak",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_squeak","event_icon_boss_brawlentines_squeak","event_gameroom_boss_squeak_brawlentines",,,
,,,,,350,60,,,,,,,"0;2;2;2;1",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;2;2;2;1",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;2",75,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;2",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;2;3;2",200,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossGhost",,,,,250,100,"MegaBossVulnerableGen",20,"50;50;50;50",-1,4,"MegaBossGhostPushAway;MegaBossGhostDash;MegaBossGhostSlap;MegaBossGhostSlapLarge","0;1;4;0",0,-15,"0;10;22;25","0;10;13;16","0;0;3;3","-;-;-;-","0;-1;-1;-1","0;0;550;1000","1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0","boss_valentines_shade",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_shade","event_icon_boss_brawlentines_shade","event_gameroom_boss_shade_brawlentines",,,
,,,,,350,60,,,,,,,"0;1;4;1",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"0;2;4;1",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;5;2",75,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;5;2",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"0;2;5;3",200,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossInsectMan",,,,,250,100,"MegaBossVulnerableGen",20,"50;50;50;50",-1,6,"MegaBossInsectManJump;MegaBossInsectManUlti;MegaBossInsectManWeapon;MegaBossInsectManWeaponSecond;MegaBossInsectManWeapon;MegaBossInsectManUltiSecond","1;1;1;1;0;0",0,-15,"20;18;37;50;37;20","20;18;37;50;37;20","0;0;0;0;0;0","'-;-;-;-;-;-","-6000;-1;-1;-1;-1;-1","0;120;180;250;0;400","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_valentines_angelo",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_angelo","event_icon_boss_brawlentines_angelo","event_gameroom_boss_angelo_brawlentines",,,
,,,,,350,60,,,,,,,"1;2;2;2;1;1",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;2;2;2;2;1",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;2;2;2;2;1",75,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3;2;3;3;2",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;3;2;3;3;3",200,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossTrickshotBrawlentines",,,"MB_Rico_BulletExplode_1",,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossTrickshot2PushAway;MegaBossTrickshot2Weapon;MegaBossTrickshot2DudeUlti;MegaBossTrickshot2WeaponSecond;MegaBossTrickshot2Dash;MegaBossTrickshot2UltraSuper","1;1;0;0;0;0",0,-15,"20;25;30;35;40;40","20;30;30;35;40;40","0;0;0;0;1;0","'-;-;-;-;MegaBossIndicatorLarge;-","0;-1;-1;-1;0;-1","0;120;180;250;0;400","1;1;1;1;1;1",,"MegaBossTrickshotBrawlentines2",,"TRUE",,,-1,"0;0;0;0;0;0","boss_valentines_rico",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_rico","event_icon_boss_brawlentines_rico","event_gameroom_boss_rico_brawlentines",,,
,,,,,350,60,,,,,,,"1;1;0;0;0;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;1;0;0;0;0",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;1;0;0;0;0",75,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;1;0;0;0;0",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;1;0;0;0;0",200,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossTrickshotBrawlentines2",,,"MB_Rico_BulletExplode_2",,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossTrickshot2PushAway;MegaBossTrickshot2Weapon;MegaBossTrickshot2DudeUlti;MegaBossTrickshot2WeaponSecond;MegaBossTrickshot2Dash;MegaBossTrickshot2UltraSuper","1;0;0;1;0;0",0,-15,"20;25;30;35;40;40","20;30;30;35;40;40","0;0;0;0;1;0","'-;-;-;-;MegaBossIndicatorLarge;-","0;-1;-1;-1;0;-1","0;120;180;250;0;400","1;1;1;1;1;1",,"MegaBossTrickshotBrawlentines3",,"TRUE",,,-1,"0;0;0;0;0;0","boss_valentines_rico",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_rico","event_icon_boss_brawlentines_rico","event_gameroom_boss_rico_brawlentines",,,
,,,,,350,60,,,,,,,"1;0;0;1;0;0",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,400,30,,,,,,,"1;0;0;1;0;0",50,-5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;0;1;0;0",75,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;0;1;0;0",100,10,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,0,,,,,,,"1;0;0;1;0;0",200,15,,,,,,,,,,,,,,,,,,,,,,,,
"MegaBossTrickshotBrawlentines3",,,"MB_Rico_BulletExplode_3",,250,100,"MegaBossVulnerableGen",10,"50;50;50;50",-1,6,"MegaBossTrickshot2PushAway;MegaBossTrickshot2Weapon;MegaBossTrickshot2DudeUlti;MegaBossTrickshot2WeaponSecond;MegaBossTrickshot2Dash;MegaBossTrickshot2UltraSuper","1;0;1;0;2;2",0,-15,"20;25;35;35;45;45","20;25;35;35;45;45","0;0;0;0;3;0","'-;-;-;-;-;-","0;-1;-1;-1;-1;-1","0;120;180;250;400;400","1;1;1;1;1;1",,,"TRUE","TRUE",,,-1,"0;0;0;0;0;0","boss_valentines_rico",,"TID_MEGA_BOSS_TITLE_GENERAL","chat_letsplay_boss_brawlentines_rico","event_icon_boss_brawlentines_rico","event_gameroom_boss_rico_brawlentines",,,
,,,,,350,60,,,,,,,"1;0;1;0;2;2",0,-10,,,,,,,,,,,,,,,,,,,,,,,,
