Name,WingType,WingPivot_Std,WingOffset_Std,WingScalePercent_Std,WingPivot_Spc,WingOffset_Spc,WingScalePercent_Spc,HaloPivot,HaloOffset,HaloScalePercent,HaloRotateEuler,NothingHereAfterIsExtension,WidgetEffects,ClientShowToHeroSkin,ClientShowPivot,ClientShowOffset,ClientShowPercent,ClientShowRotateEuler,QualifierId,QualifierFrame
BaseballDefault,,chest_s,0;0;-1.7,70,chest_s,0;0.5;-1.2,48,head_s,0;0;165,75,0;0;5,,,,,,,,,
MineCartB,,,,,,,,,,,,,,,,,,,,
MineCartC,,,,,,,,,,,,,,,,,,,,
MineCartD,,,,,,,,,,,,,,,,,,,,
MineCartE,,,,,,,,,,,,,,,,,,,,
ClusterBombDefault,,chest_s,0;-2;-3.8,90,chest_s,0;-2.6;-3.2,60,head_s,0;0;170,75,,,,,,,,,,
ClusterBombPetDefault,,,,,,,,,,,,,,,,,,,,
ArtilleryGalBunny,,chest_s,0;-0.5;-1.2,65,chest_s,0;-0.9;-3.2,55,head_s,0;0;230,85,0;0;-6,,,,,,,,,
ArtilleryTurretBunny,,,,,,,,,,,,,,,,,,,,
BarkeepMs,,chest_s,0;-0.5;-2,90,chest_s,0;-1;-3,64,head_s,0;0;170,75,0;0;-4,,,,,,,,,
RocketGirlHotrod,,hips_s,0;-3;-5,75,hips_s,0;-3.8;-5.3,60,head_s,0;25;180,75,0;0;-10,,,,,,,,,
WhirlwindHotrod,,chest_s,0;-0.5;-2,65,chest_s,0;-1.6;-4.6,52,head_s,0;0;215,85,,,,,,,,,,
BarkeepLumberjack,,chest_s,0;-0.5;-2,90,chest_s,0;-1;-3.2,64,head_s,0;0;170,75,0;0;-4,,,,,,,,,
BoMecha,,chest_s,0;-2;-6.2,100,chest_s,0;-1.5;-5.7,84,head_s,0;0;175,85,,,,,,,,,,
CrowMecha,,chest_s,0;-0.5;-1.8,80,chest_s,0;-0.6;-2.6,56,head_s,0;0;190,75,0;0;28,,,,,,,,,
Cactusmecha,,chest_s,0;-0.5;-3.3,85,chest_s,0;-1.1;-3.2,58,head_s,0;0;200,80,,,,,,,,,,
TntDudeMecha,,chest_s,0;-2.4;-3.5,80,back_item_01_s,0;-1.2;-3.3,70,head_s,0;0;80,85,0;0;6,,,,,,,,,
WhirlwindHogrider,,chest_s,0;-0.5;-2,65,chest_s,0;-0.7;-2.5,58,head_s,0;0;270,85,,,,,,,,,,
BallBeach,,,,,,,,,,,,,,,,,,,,
ArcadeDefault,,chest_s,0;-1;-3.7,85,chest_s,0;-1;-3.4,79,chest_s,0;0;200,95,0;0;22,,,,,,,,,
DamageBoosterDefault,,,,,,,,,,,,,,,,,,,,
DamageBoosterVirus,,,,,,,,,,,,,,,,,,,,
SniperPink,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;145,60,0;0;23,,,,,,,,,
ArcadeClassic,,chest_s,0;-1;-3.7,85,chest_s,0;-1;-3.4,79,chest_s,0;0;200,95,0;0;22,,,,,,,,,
NinjaShark,,chest_s,0;-0;-2,80,chest_s,0;-0;-2.3,45,head_s,0;0;175,75,0;0;22,,,,,,,,,
BlackHoleBlue,,chest_s,0;-0.7;-2,90,chest_s,0;-1.2;-1.6,50,head_s,0;0;160,75,,,,,,,,,,
LootBoxMoonFestival,,,,,,,,,,,,,,,,,,,,
SandstormDefault,,chest_s,0;0.5;-2,75,spine_upper_s,0;0.7;-2,45,head_fixed_s,0;0;180,75,0;0;-30,,,,,,,,,
SandstormKoya,,chest_s,0;0.5;-3,75,chest_s,0;0;-3,45,head_s,0;0;195,80,0;0;20,,,,,,,,,
BeeSniperDefault,,chest_s,0;0;-2,70,chest_s,0;0;-2.2,48,head_s,0;0;180,75,0;0;15,,,,,,,,,
BossRaceBossDefault,,,,,,,,,,,,,,,,,,,,
BarkeepWizardRed,,chest_s,0;-0.5;-2.5,90,chest_s,0;-1;-3.2,64,head_s,0;0;170,75,0;0;15,,,,,,,,,
HookPirate,,spine_upper_s,0;-0.5;-2.5,90,spine_upper_s,0;-1.1;-4.1,42,head_s,0;0;184,90,,,,,,,,,,
Sandstormsleepy,,chest_s,0;0.5;-2,75,spine_upper_s,0;0.5;-2,45,head_fixed_s,0;0;180,75,0;0;-30,,,,,,,,,
MummyDefault,,chest_s,0;-1;-2.2,80,chest_s,0;-1;-2.2,60,head_s,0;0;180,85,0;0;15,,,,,,,,,
Sniperrose,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;160,60,0;0;23,,,,,,,,,
SpawnerDudeDefault,,chest_s,0;-0.5;-2.2,85,chest_s,0;-1;-2.6,46,head_s,0;0;180,75,0;0;-7,,,,,,,,,
ShotgunGirlWitch,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.5,58,head_s,0;30;190,70,0;0;-8,,,,,,,,,
MechanicKnightDark,,chest_s,0;3;-3.5,65,hips_s,0;-2.2;-3,58,head_s,0;0;202,75,0;0;27,,,,,,,,,
TurretDragonDark,,,,,,,,,,,,,,,,,,,,
HammerDudeDJ,,chest_s,0;-2;-3.4,90,chest_s,0;-2;-2.8,80,head_s,0;0;150,90,,,,,,,,,,
NinjaWolf,,chest_s,0;-0;-2,80,hips_s,0;-2;-1.8,54,head_s,0;0;175,75,0;0;-12,,,,,,,,,
SpeedyDefault,,chest_s,0;-0.9;-2.4,80,spine_upper_s,0;-0.4;-2,50,head_s,0;0;210,75,0;0;6,,,,,,,,,
LuchadorBrown,,chest_s,0;-1;-3.4,100,chest_s,0;-2.5;-3.4,74,head_squash_s,0;0;200,110,,,,,,,,,,
HomerDefault,,,,,chest_top_s,,,,,,,,,,,,,,,
TrickshotDudeTotal,,chest_s,0;-3;-3.7,90,chest_s,0;-3.5;-3,73,head_s,0;0;190,75,,,,,,,,,,
NinjaSally,,chest_s,0;-0;-2,80,chest_s,0;-0;-2.3,45,head_s,0;0;175,75,0;0;22,,,,,,,,,
WhirlwindLeonard,,chest_s,0;-0.5;-2,65,chest_s,0;-0.9;-2.8,56,head_s,0;0;240,85,,,,,,,,,,
TntDudeSantaRope,,,,,chest_top_s,,,,,,,,,,,,,,,
WhirlwindPirate,,chest_s,0;-0.5;-3.1,65,chest_s,0;-0.9;-3.8,60,head_s,0;0;290,85,0;0;35,,,,,,,,,
GunslingerPirate,,chest_s,0;-0.5;-2.5,80,chest_s,0;-1.2;-2,64,head_s,0;15;170,80,,,,,,,,,,
CtfGift,,,,,,,,,,,,,,,,,,,,
SpeedyGT,,chest_s,0;-0.9;-2.4,80,spine_upper_s,0;-0.4;-2,50,head_s,0;0;210,75,0;0;6,,,,,,,,,
BeeSniperDefaultAddonBee,,,,,,,,,,,,,,,,,,,,
BeeSniperLadyBug,,chest_s,0;0;-2,70,chest_s,0;0;-2.2,48,head_s,0;0;180,75,0;0;15,,,,,,,,,
PocoPirate,,chest_s,0;-1;-1.5,65,chest_s,0;-1.6;-2,45,head_s,0;0;190,75,0;0;20,,,,,,,,,
BeeSniperLadyBugAddonBee,,,,,,,,,,,,,,,,,,,,
DrillerDefault,,chest_s,0;-0.5;-2,65,chest_s,0;-0.5;-2.6,50,head_s,0;0;175,75,0;0;-15,,,,,,,,,
ArcadeVirus,,chest_s,0;-1;-3.7,85,chest_s,0;-1;-3.4,79,chest_s,0;0;200,95,0;0;-10,,,,,,,,,
BlackHoleStreetNinja,,chest_s,0;-0.7;-2,90,chest_s,0;-1.2;-1.6,50,head_s,0;0;160,75,,,,,,,,,,
BaseballGamer,,chest_s,0;0;-1.7,70,chest_s,0;0.7;-1.5,48,head_s,0;0;165,75,0;0;5,,,,,,,,,
SniperValentines,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;160,60,0;0;23,,,,,,,,,
ShamanKoala,,chest_s,0;-0.4;-2.2,65,chest_s,0;-0.4;-3.8,46,head_s,0;15;170,80,,,,,,,,,,
ShamanBearKoala,,,,,,,,,,,,,,,,,,,,
SpawnerPetDefault,,,,,,,,,,,,,,,,,,,,
SpawnerDudeTurretDefault,,,,,,,,,,,,,,,,,,,,
SpawnerDudeAgentP,,chest_s,0;-0.5;-2.2,85,chest_s,0;-1;-2.6,46,head_s,0;0;180,75,0;0;-7,,,,,,,,,
SpawnerPetAgentP,,,,,,,,,,,,,,,,,,,,
SpawnerDudeTurretAgentP,,,,,,,,,,,,,,,,,,,,
BlowerDefault,,chest_s,0;0;-2.2,70,chest_s,0;-0.4;-2.6,54,head_s,0;20;220,75,0;0;15,,,,,,,,,
ControllerDefault,,chest_s,0;-2;-3.4,100,chest_s,0;-2.5;-3.4,58,chest_s,0;0;190,90,0;0;-9,,,,,,,,,
WallyDefault,,chest_s,0;-0.5;-3.1,85,chest_s,0;-0.9;-3.7,55,chest_s,0;0;190,80,0;0;20,,,,,,,,,
BarrelBotFootball,,chest_s,0;0;-4,100,chest_s,0;-1;-3.5,70,head_s,0;0;180,85,0;0;10,,,,,,,,,
ShotgunGirlFootball,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
TntDudeFootball,,chest_s,0;-0.5;-1.3,80,back_item_01_s,0;-1.5;-6.2,48,head_s,0;0;200,75,,,,,,,,,,
BallArena,,,,,,,,,,,,,,,,,,,,
MechanicTanuki,,chest_s,0;-0.5;-4,65,hips_s,0;-2.2;-4.7,46,head_s,0;0;202,75,0;0;-8,,,,,,,,,
BowDudeHorus,,chest_s,0;-1;-5,100,chest_s,0;-1;-4,85,head_s,0;0;175,85,,,,,,,,,,
BallArenaPSG,,,,,,,,,,,,,,,,,,,,
ArtilleryDudeDarkBunny,,chest_s,0;-0.5;-1.2,65,chest_s,0;-0.9;-3.2,55,head_s,0;0;240,85,0;0;-6,,,,,,,,,
ArtilleryTurretDarkBunny,,,,,,,,,,,,,,,,,,,,
MummyCollege,,chest_s,0;-1;-2.2,80,chest_s,0;-1;-2.2,60,head_s,0;0;180,85,0;0;15,,,,,,,,,
BeeSniperSlowPotDefault,,,,,,,,,,,,,,,,,,,,
MechanicTurretTanuki,,,,,,,,,,,,,,,,,,,,
BowDudeTotemDefault,,chest_s,0;-1;-3.2,220,,,,,,,,,,,,,,,,
PamOriginal,,ChestBone,0;0;0,100,ChestBone,4;5.5;0,88,HeadBone,0;0;224,85,0;0;6,,,,,,,,,
TrickshotDudeBazaar,,chest_s,0;-3;-3.7,90,chest_s,0;-3.5;-3,73,head_s,0;0;200,75,0;0;-18,,,,,,,,,
HookDudeBazaar,,spine_upper_s,0;-0.5;-2.5,90,spine_upper_s,0;-1.3;-3.2,46,hat_01_s,0;0;190,90,0;0;-25,,,,,,,,,
UndertakerBazaar,,chest_s,0;-0.3;-2,90,spine_upper_s,0;0;-2,58,head_s,0;0;280,80,0;0;40,,,,,,,,,
MechanicRedDragon,,chest_s,0;0.7;-4,65,hips_s,0;-0.5;-4,55,head_s,0;0;192,75,0;0;27,,,,,,,,,
TurretRedDragon,,,,,,,,,,,,,,,,,,,,
DrillerConstructor,,chest_s,0;-0.5;-2,65,chest_s,0;-0.5;-2.6,50,head_s,0;0;175,75,0;0;-15,,,,,,,,,
WallyHawaii,,chest_s,0;-0.5;-3.1,85,chest_s,0;-0.9;-4.5,55,chest_s,0;65;190,80,0;0;20,,,,,,,,,
BullDudeBarbking,,chest_s,0;-2;-3.5,110,chest_s,0;-2.2;-3,88,head_s,0;30;220,85,0;0;-11,,,,,,,,,
MinigunDudeSummer,,ChestBone,1.3;6.3;0,100,ChestBone,4;5.5;0,88,HeadBone,0;0;224,85,,,,,,,,,,
BlowerTrader,,chest_s,0;0.9;-2.8,80,chest_s,0;0.6;-3.6,50,head_s,0;30;245,75,0;0;-23,,,,,,,,,
ControllerDefaultAddon,,,,,,,,,,,,,,,,,,,,
HealingStationSummer,,,,,,,,,,,,,,,,,,,,
LuchadorGold,,chest_s,0;-1;-3.4,100,chest_s,0;-2;-2.8,80,head_s,0;15;170,90,0;0;10,,,,,,,,,
PowerLevelerDefault,,chest_s,0;-4;-6.5,110,chest_s,0;-4;-6.2,100,head_s,0;0;220,100,0;0;10,,,,,,,,,
MummyGold,,chest_s,0;-1;-2.2,80,chest_s,0;-1;-2.2,60,head_s,0;0;180,85,0;0;15,,,,,,,,,
MummySilver,,chest_s,0;-1;-2.2,80,chest_s,0;-1;-2.2,60,head_s,0;0;180,85,0;0;15,,,,,,,,,
LuchadorSilver,,chest_s,0;-1;-3.4,100,chest_s,0;-2;-2.8,80,head_s,0;15;170,90,0;0;10,,,,,,,,,
BeeSniperMonster,,chest_s,0;0;-2.2,70,chest_s,0;1;-3,62,head_s,0;0;290,75,,,,,,,,,,
DrillerMonster,,chest_s,0;-0.5;-2.2,65,chest_s,0;-0.2;-3.6,60,head_s,0;0;195,75,0;0;-10,,,,,,,,,
ClusterBombMonster,,chest_s,0;-2;-3.8,90,chest_s,0;-2.6;-3.2,60,head_s,0;0;170,75,,,,,,,,,,
BossKaijuDefault,,,,,,,,,,,,,,,,,,,,
SafeBank,,,,,,,,,,,,,,,,,,,,
BeeSniperMonsterAddonBee,,,,,,,,,,,,,,,,,,,,
ControllerRetro,,chest_s,0;-2;-3.4,100,chest_s,0;-2.5;-3.4,58,chest_s,0;0;190,90,0;0;-9,,,,,,,,,
ShotgunGirlGold,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
ShotgunGirlSilver,,chest_s,0;-1;-1.7,80,chest_s,0;-1;-1.3,58,head_s,0;30;190,70,0;0;-5,,,,,,,,,
SniperGold,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;145,60,0;0;23,,,,,,,,,
SniperSilver,,chest_s,0;-1;-2,80,chest_s,0;-1.2;-3.2,48,head_s,0;0;145,60,0;0;23,,,,,,,,,
NinjaGold,,chest_s,0;-0;-2,80,chest_s,0;-0;-2.3,45,head_s,0;0;175,75,0;0;22,,,,,,,,,
NinjaSilver,,chest_s,0;-0;-2,80,chest_s,0;-0;-2.3,45,head_s,0;0;175,75,0;0;22,,,,,,,,,
RocketGirlRanger,,hips_s,0;-2.5;-4,75,hips_s,0;-2;-4.3,60,head_s,0;20;155,75,0;0;10,,,,,,,,,
SpeedyTracksuit,,chest_s,0;-0.9;-2.4,80,spine_upper_s,0;-0.4;-2,50,head_s,0;0;210,75,0;0;6,,,,,,,,,
PowerLevelerKnight,,chest_s,0;-4;-6.5,110,chest_s,0;-4;-5.9,105,head_s,0;0;220,100,0;0;-12,,,,,,,,,
ClusterBombPetMonster,,,,,,,,,,,,,,,,,,,,
ControllerRetroAddon,,,,,,,,,,,,,,,,,,,,
PercenterDefault,,chest_s,0;0;-2,80,chest_s,0;0;-1.4,50,head_s,0;0;180,75,0;0;10,,,,,,,,,
FireDudeDefault,,chest_s,0;-0.8;-2.4,75,chest_s,0;-0.8;-2.2,50,head_s,0;0;195,70,0;0;13,,,,,,,,,
MummyGiftShop,,chest_s,0;-1;-2.2,80,chest_s,0;-0;-3.2,55,head_s,0;0;180,85,0;0;-15,,,,,,,,,
SandstormGiftShop,,chest_s,0;0.5;-2,75,spine_upper_s,0;0.5;-2,45,head_fixed_s,0;0;180,75,0;0;-30,,,,,,,,,
WallyMoon,,chest_s,0;-0.5;-4,85,chest_s,0;-0.9;-3.7,65,chest_s,0;0;220,80,,,,,,,,,,
CactusMask,,chest_s,0;-0.5;-3.3,85,chest_s,0;-1.1;-3.2,56,head_s,0;0;190,80,,,,,,,,,,
PercenterTrixie,,chest_s,0;0;-3.7,80,chest_s,0;0;-2.6,55,head_s,0;0;195,75,0;0;5,,,,,,,,,
PocoStarr,,chest_s,0;-1;-1.5,65,chest_s,0;-1.6;-2,45,head_s,0;0;210,75,0;0;20,,,,,,,,,
LuchadorAtomic,,chest_s,0;-1.7;-3.4,100,chest_s,0;-2;-2.8,80,head_s,0;15;170,90,0;0;10,,,,,,,,,
RosaRosaBrawloween,,chest_s,0;0;-2.6,90,spine_upper_s,0;1.2;-5.3,72,head_s,0;0;200,80,0;0;-8,,,,,,,,,
BowDudeDemonic,,chest_s,0;-1;-5,100,chest_s,0;-1;-5.7,88,head_s,0;0;180,85,,,,,,,,,,
GunslingerPlayer,,chest_s,0;-0.5;-2.8,80,chest_s,0;-1;-2.5,68,head_s,0;15;170,80,0;0;8,,,,,,,,,
BullDudeGold,,chest_s,0;-2;-3.5,110,chest_s,0;-1.6;-3,88,head_s,0;30;190,85,0;0;-11,,,,,,,,,
BullDudeSilver,,chest_s,0;-2;-3.5,110,chest_s,0;-1.6;-3,88,head_s,0;30;190,85,0;0;-11,,,,,,,,,
BarkeepTrueGold,,chest_s,0;-0.5;-2,90,chest_s,0;-1;-2.4,64,head_s,0;0;170,75,0;0;9,,,,,,,,,
BarkeepTrueSilver,,chest_s,0;-0.5;-2,90,chest_s,0;-1;-2.4,64,head_s,0;0;170,75,0;0;9,,,,,,,,,
BaseballZombibi,,chest_s,0;0;-1.7,70,chest_s,0;0.5;-1.2,48,head_s,0;0;165,75,0;0;5,,,,,,,,,
TrickshotDudeTrueGold,,chest_s,0;-3;-3.7,90,chest_s,0;-3.5;-3,75,head_s,0;0;170,75,,,,,,,,,,
TrickshotDudeSilver,,chest_s,0;-3;-3.7,90,chest_s,0;-3.5;-3,75,head_s,0;0;170,75,,,,,,,,,,
HammerDudeGold,,chest_s,0;-2;-3.4,90,chest_s,0;-2;-3,80,head_s,0;0;150,90,,,,,,,,,,
HammerDudeSilver,,chest_s,0;-2;-3.4,90,chest_s,0;-2;-3,80,head_s,0;0;150,90,,,,,,,,,,
